 November 2022,5,Great place to stay in Rabat,"Fabulous place to stay! Gorgeous grounds and pool. Room was very nice, quiet, comfortable. Waterfall shower! Ate at least 3 meals here (B, L, D) - food was outstanding, service also. If nice weather, eat in the outdoor area. Room had a little patio.",hotelName,city
 September 2019,5,Part of Gate 1 tour,"Hubby and I spent 2 nights here as part of our Gate 1 tour of Morocco. Absolutely beautiful! The grounds, pool, interior rooms, etc, all are decorated with Moroccan flair. Breakfast was tasty with many options, although the coffee was just so-so...wish more places would have automatic machines or Keurigs where you can choose your strength, etc. Reminded us of instant Nescafé. Also teabags with a hot water kettle in the rooms would be nice since breakfast doesn’t start until 7am. We had dinner one night here and it was very good...portions were huge. The chocolate cake was divine! We were in room #1...included a big bed, couch, several chairs, desk, TV, private patio, large bathroom. Front desk can exchange money which is a nice bonus. Great way to start our tour.",Villa_Mandarine,Rabat
 September 2019,5,Most beautiful grounds ever,This hotel is a gem. Warm. Efficient and friendly staff and the most beautiful grounds imaginable. Yes it is a $5 cab ride out of the center of the city but so worth a stay. From providing hats and bathrobes and noodles at the pool to robes and slippers in the room no area of service is missed.,Villa_Mandarine,Rabat
 July 2019,5,"An oasis in Souissi, Rabat's upscale neighborhood","Clean, well-appointed rooms and bathrooms, beautiful and spacious garden to relax in, a wonderful lap pool, and a restaurant with delicious international (and Moroccan) food. Nestled in the Embassy quarters, it is not too close to the business district, but Rabat traffic flows, so it is still near all destinations within the city.",Villa_Mandarine,Rabat
 July 2019,4,Beautiful garden,"This hotel is a private home converted i to a hotel, that makes you feel at home all the time. Very Moroccan style, with a lot of rooms. The restaurant is delicious, you have traditional Moroccan cuisine.",Villa_Mandarine,Rabat
 April 2019,5,Excellent family run hotel. Location is out of main downtown areas.,"Villa Mandarine was an excellent hotel in Rabat. Family owned and run, it was a very interesting mixture of Morocco and France. The food, service and the room were good. The hotel was a long way from down town, we could have used a cab, but we did walk the local shops and had an excellent burger in a food court of all places. I had the lamb dish for dinner at Villamarine and it was tough and dry - not very good. Breakfast was minimal continental style, we were not offered eggs.",Villa_Mandarine,Rabat
 October 2018,5,Like Staying at a Friend's Estate!,"This was our absolute favorite hotel throughout our whole tour in Morocco! There was something we liked in many of the others, but this lovely boutique/resort type hotel was just wonderful. As soon as we arrived, we loved the feel of the whole place. It was like as if you were invited to a friend's estate and that feeling stayed with you whenever you walked around the grounds and the inside of the hotel also. The flow from one room or area of the hotel to the next was just so warm and inviting. I loved the decor. Loved our room. I wished we could have stayed longer. Had our own little private garden. Again the decor is so unlike most hotels. Just like a home. Anyway, everything else was great. Outside gardens lovely. Food was great, service, very very good. We were…",Villa_Mandarine,Rabat
 May 2019,5,Perfect,"Set in and around beautiful gardens, our accommodation was very nice and comfortable, all the requirements for an enjoyable stay, coffee and tea making facilities in the room, a comfortable bed a lovely outlook from our room. We did indeed enjoy our time here. Drinks can be had overlooking the tranquil gardens. They have a great restaurant attached the food very good. Only negative comment was when my husband ordered a glass of St Emilion red with his dinner and was given a cheaper wine instead for the same price. He mentioned this to the owner who apologised. We recommend you see the bottle and have it poured at your table.",Villa_Mandarine,Rabat
 April 2019,5,Very luxurious and full of interesting art,"I must of taken a couple dozen photos of the courtyard and other public spaces as this was one very well displayed hotel. We had some time to kill so we toured the gardens, swam in the pool and played pool while waiting for the rest of our group to make it through the airport. It was a great place to relax and enjoy the area from. I would highly recommend it.",Villa_Mandarine,Rabat
 March 2019,5,Excellent stay! Gardens incredible!,The rooms are appointed so lovely. Large and spacious. Lovely artwork. Huge comfortable king size bed. Comfy pillows and blankets. Room air conditioning worked great. Bathroom has its own heater so after showering it’s warm. Luxurious robes and towels. Breakfast was a buffet. Enough to choose from. But the gardens are incredible. Please take a walk through the property to smell the plants and see the well maintained garden. We stayed here for one night on our National Geographic trip and wished we could have stayed longer.,Villa_Mandarine,Rabat
 March 2019,4,Taste of Morocco,"Nice to forego big hotels and stay in a riad with lots of tile, rugs, and fruit trees on the grounds. Our room also had a veranda that afforded nice views of the gardens. Our fresh squeezed morning orange juice was a delight.",Villa_Mandarine,Rabat
 March 2019,4,great place and wonderful chef,"my stay was not really for long as it was for a quick lunch, but I had the chance to experience a great time, especially with imane she is really helpful and really nice and the best thing was that she can speak English as I had really some difficulties with French language, so thank you, and for sure i'll come back or ill try this time to book a room.",Villa_Mandarine,Rabat
 January 2019,5,Excellent experience in lodging,"Beautiful converted villa set in a beautiful garden. From the moment we entered the vibe was unpretentious comfort and service. Excellent staff from front end to restaurant and housekeeping. We joined with a group tour from the U.S. and we pleasantly surprised at the high standard of a tour lodging. Very nicely decorated and visually interesting. Very nice touches through out the property, including fireplaces and fire pits to ward off the winter chill. Our room was in the main building on the first floor with a balcony overlooking the gardens. The room was in good order, very clean, and well maintained. The bedding, linens, and robes were top quality. Sleep quality was excellent due to the quiet grounds. Room wifi worked but not fast. The food service was excellent.…",Villa_Mandarine,Rabat
 February 2019,3,Disappointing,"This was one of the most expensive hotels on our trip to Morocco and Spain and by far the most disappointing. Upon arrival we spent the first two hours trying to get the internet to work in our room. For us this is essential to plan the rest of our day and evening. The problem could not be resolved so we went on our afternoon tour. When we returned the internet still did not work, so we spent another hour trying to get it to work. Finally the issue was resolved but it was very frustrating. The weather while we were in Rabat was not great, cool and raining, so I am sure we did not see the hotel at its best. We found the hotel cold and damp and the dining room musty. There is nothing around the hotel so you can’t just go for a walk to find a shop or restrauant. Dinner in the…",Villa_Mandarine,Rabat
 December 2018,5,best group of people,"I was referred to this Hotel by a friend. My stay and experience turned out to be one of my best ones. The staff are the sweetest people, bilingual mostly. At the restaurant, Emre ( I hope i spelled it correctly) , a lady server, fluent in English was the most attentive and kind one. At the lobby, Ait Allah Chafii is the sweetest man with a smiling face, ready to help any minute of the day. His help throughout my stay was just superb; poolside, lobby, ...... I loved the owners whom I met and we became friends at the first encounter, quite worldly and kind.",Villa_Mandarine,Rabat
 December 2018,5,A lovely secret off the main road,"We booked Villa Mandarine as a one night stay on our way from the coast to Fes. What a treat for us! The room was wonderful, bed comfortable and absolutely a restful stay. We do wish we could have stayed longer to enjoy the property gardens and pool. Staff was great and always helpful. We had a nice dinner, not exceptional but adequate. Service was stellar. The only area of slight improvement would be in the breakfast buffet offerings. A little lackluster compared to the rest of this property.",Villa_Mandarine,Rabat
 February 2018,5,Marvelous Lodging and Dining,A wonderful hotel located in an orange grove. Beautiful gardens and relaxing atmosphere. The hotel was a family home that had been expanded into a welcoming pleasant lodge. Our room had intriguing decor and patio.,Villa_Mandarine,Rabat
 January 2019,5,beautiful hotel in the middle of a garden,A lovely hotel in the midst of a garden. each room has a patio and is a lovely place to relax especially for us as we were finishing our hectic tour of Morocco and taking our flight back home . The reception staff were very hospitable and friendly. The only bad experience we had was at the restaurant where the maitre d felt that it was infra dig to serve indian guests . . So if you are not of a particular skin coulour avoid the restraunt otherwise a lovely and hospitable hotel. we stayed in room 14 on the 1st nght checked out on the 2nd morning,Villa_Mandarine,Rabat
 December 2018,5,An hotel with a soul,"This place is well handled by the owning family who is displaying a good command of hospitality standards including a talent to hire, train and retain happy staff. Villa Mandarine is a tribute to Moroccan tourism industry. A place to recommend for relaxing, a stone’s throw away from the busy Rabat city center.",Villa_Mandarine,Rabat
 March 2018,5,A Villa to Be,"This was our first ever visit to Morocco. We landed at the international airport and saw how hectic it was. First we were overwhelmed by it and we started questioning how we were ever gonna get to the Villa. Anyhow, we made it through the airport craziness and ended up at the footsteps of the Villa. We were welcomed with such energy and smiles and they helped us settle in the place. The staff are well trained, friendly and super helpful. They wanted us to be comfortable and happy during our stay here at the Villa. Before we went to our room, we were pretty hungry so we ate at the hotel's restaurant and the food was simply amazing. I think we had dinner here every night until we checked out.The villa has both the best features of French and Berber/Arab beauty. The place was just…",Villa_Mandarine,Rabat
 November 2018,5,Wonderful peaceful stay in Rabat,We arrived from Boston after the flight and were welcomed at the Villa. Its a wonderful family owned property in the City but surrounded by gardens. Peaceful and beautiful its a great place to shake off jet lag. The food and service was wonderful!,Villa_Mandarine,Rabat
 November 2018,5,A Perfect Introduction to the Mysteries of Morocco,"This small boutique hotel was once the home of a French family who had moved to Morocco several generations previously. After the children had grown and moved out, the matriarch realized a long-held dream of creating a warm, inviting abode for weary travelers. After two years of unrelenting effort, the home was transformed into a very welcoming oasis that combines the best features of Moroccan and French beauty and sensibility. The hotel is located within a botanical paradise of mature orange trees, Birds of Paradise and innumerable other species of flowering, tropical plants. The grounds are meticulously maintained. The staff are well trained, friendly and very helpful. The hotel's restaurant is one of the best in Rabat. Our room on the second floor had a balcony that…",Villa_Mandarine,Rabat
 October 2018,5,Rabat lodging - beauty + care for worriers,We began our tour of Morocco in Rabat and through experience we’ve found that an extra day to recover from jet lag is a good idea. I waited too long to book the extra room and ended up in a suite for one night. The hotel helped relocate us to our regular ‘part of the tour’ room. I expected to feel a little disappointed but every room is stellar. The attention to detail is what sets it apart. We used the hotel to arrange transportation from Casablanca to the hotel and they were wonderful at confirming all the detail - super for a worrier like me. Thank you Anass Kabourim and Imane Louali! Be sure to look at ‘The Story’ to learn how it came to be AND absolutely take a stroll through the gardens.,Villa_Mandarine,Rabat
 October 2018,5,Wonderful Hotel/Wonderful Restaurant,"Villa Mandarine is a fascinating rabbit Warren of rooms and corridors and beautiful courtyards set in the middle of a spectacularly manicured garden. The public rooms and corridors are furnished with beautiful and fascinating Moroccan antiques. The ground floor rooms offer sliding glass doors to individual small enclosed private gardens. The staff are friendly and accommodating and speak excellent English. The restaurant at Villa Mandarine is considered one of the best restaurants in Rabat. It offers Moroccan specialties, tagines and cous cous, as well as European-inspired dishes. One of our dinners was a chicken tagine with olives and preserved lemons with a spectacular Grand Marnier soufflé for dessert. A buffet breakfast is offered with fresh-squeezed orange juice and a…",Villa_Mandarine,Rabat
 November 2018,4,Beautiful grounds and Helpful Staff,"The grounds of this hotel are beautiful - we really enjoyed eating outside and taking a walk around each morning. The hotel staff was very helpful, Chafi in particular. We had a situation where the petit-taxi driver who drove us from downtown Rabat to the villa was charging us double what the meter showed and there was language barrier between us. I went to reception for help and Chafi immediately came to our assistance - he asked security to stop the petit-taxi and prevent him from leaving. He ran down to the taxi then returned a couple of minutes later (slightly out of breath since he had ran) with our money. We were amazed that he went the extra mile just so we were not swindled on taxi fare. We also had a situation where my husband lost his wallet during one of our…",Villa_Mandarine,Rabat
 September 2018,5,A very nice break from the hustle and bustle,"We spent some time in the Medinas around the north of Morocco. They are busy and dense and sometimes even a bit dirty. Fun for a while, but this spot is a little bit away from the center of Rabat. It was so nice to spend a few days in pampered luxury outside the busiest parts of town. We had a car which made getting in and out of the rest of Rabat easy.",Villa_Mandarine,Rabat
 October 2018,4,Nice find in Rabat,"Very pretty hotel in a lush garden setting. Rooms are large and are nicely appointed. Not situated in the city center but has a very nice restaurant that has an innovative and varied menu. We didn't find the staff to be overly friendly here compared to other places in Morocco, especially in the restaurant. My wife asked to taste a wine with which she was not familiar and the waiter never came back to see if she liked it and wanted a glass.",Villa_Mandarine,Rabat
 October 2018,5,One of our favorite hotels,The hotel is beautiful inside and out. The grounds are expertly manicured with statues scattered throughout the property. The inside of the hotel is spacious but cozy with all the connected common rooms and open atrium There is a nearby mall with a grocery store and food court. We bought some jams to take home as souvenirs since they were in Arabic and very inexpensive. We ate at the second floor burger restaurant and had onion rings and an Oreo shake which were delicious. The breakfast buffet at the hotel was good. The servers will bring you eggs to order which we appreciated. There is a bar and billiard room at the hotel and a library tucked into a cozy room that leads outside. A great hotel!,Villa_Mandarine,Rabat
 October 2018,4,Lovely stay,We stayed here for a few days at the start of a tour. What a treat! Our room on the ground floor so I only had to step out onto a patio and into the Great gardens. Book your hammam in advance as there is limited availability. The dining room served up some fabulous food and the maitre D was great. There have been some posted. comments about the location not being right in Rabat. The location for me was a plus. Our entire group rated this hotel with 2 thumbs up!,Villa_Mandarine,Rabat
 October 2018,5,1000 nights.,"The beautiful building and the really original and different rooms were only upstaged by the views and the food. The service was outstanding. It felt like the Arabian nights, really. I highly recommend it.",Villa_Mandarine,Rabat
 August 2018,5,Moroccan Holiday,Visited here as part of a tour! The staff were friendly and the accommodation was huge! It is an a oasis in a suburb about 6kms from Rabat port! It had a gym spa large pool lovely restaurant and games area! Food at the restaurant was awesome! Very French! If you a driving it’s a great place to stay out of city centre! Car parked Ng available!,Villa_Mandarine,Rabat
 April 2018,3,Lovely Villa away from Rabat city center with pretty garden,"There are flowering trees along the walk to the Villa entrance which makes for a nice entry. My room was one of the suites. There was a separate room with a central seating area and another area where you could sit by windows overlooking the beautiful courtyard. The furniture feels a little dated. There was fruit and biscotti on the table. A nice welcoming touch. I ordered tea from room service and it arrived with the hot water but no tea. Had to call again to get the tea. They were very apologetic about the mistake. The bedroom was very nice, comfortable and I slept well. Once the rain cleared a bit I took a walk around the gardens. Very pretty garden with fruit trees, exotic flowering trees and sculptures. I was with a small group for dinner and we had…",Villa_Mandarine,Rabat
 July 2018,5,Lowell15,"Had the opportunity to stay at this lovely hotel which was recommended to us by Kensington Tours The staff were amazing, the service great and the food excellent no need to leave the property after most days touring Highly recommended for individuals and families",Villa_Mandarine,Rabat
 July 2018,5,A beautiful hotel in a beautiful garden,At the reception it all started. A warm welcome by a very nice receptionist. The room was so nice. You saw that personal attention had been given to it and ... the bed was very good. On the balcony I could enjoy the beautiful garden. Later in the evening I ate delicious in the restaurant again with a beautiful view of the garden. Overall a wonderful stay!,Villa_Mandarine,Rabat
 April 2018,4,A very comfortable stay despite the weather,We were only 1 night and the rain and winds were howling. Despite that the room was a great treat and the restaurant is excellent. Courtyards and balconies all contribute to a relaxed comfortable atmosphere,Villa_Mandarine,Rabat
 July 2018,5,A beautiful place,After a lomg working day this was a great place to stay in or to start the day in. Amazing views... beautiful green... clean and very quiet... It was a great experience and i ll be back for sure. Thanks for this beautiful moment,Villa_Mandarine,Rabat
 June 2018,5,Beautiful oasis,"This is one of the nicest properties I have ever stayed at! 28 room boutique hotel with most rooms situated around a gorgeous courtyard of trees, plants, fountain that opens up to the sky. Was once a private home and still owned by the same French family that used to live there.",Villa_Mandarine,Rabat
 May 2018,4,Quiet and relaxing accommodation,"We only stayed for the one night. The room and small terrace were lovely, and the meal delightful, and had beautiful tiling throughout. Would definitely return again. It was an oasis of green in the busy city of Rabat.",Villa_Mandarine,Rabat
 May 2018,5,Beautiful hotel,"My wife and I stayed here a couple weeks ago. This is a lovely and authentic hotel. Gorgeous internal garden, beautiful rooms. Family owned and managed. Quiet. Excellent service. We could not have asked for more. Highly recommended .",Villa_Mandarine,Rabat
 April 2018,4,VERY PLEASANT,"Hotel is located in a high end residential district, surrounded by a very wooded citrus gardens and landscaping. The overall impression is mostly very pleasant in the classic Moroccan fashion with the all the standard Moorish motif although it is not as heavily decorated like the riads in Fes. The hotel rooms are quite large and comfortable with lots of space and the beds are comfortable enough for the 2 night stays. I would not think that it's an exceptional hotel but base in its rating in TripAdvisor, it is one of the top hotels in town.",Villa_Mandarine,Rabat
 April 2018,5,HIGHLY RECOMMEND!!!,"This hotel is the real and authentic Moroccan style you want!! First off the hotel is beautiful inside and out. The grounds of the property are unreal, and the amenities inside are nothing but the best. The rooms were very spacious, we had a lovely living area that connect to a good size bedroom and nice bathroom. However the best part of Villa Mandarine was the hospitality of all the workers. My sister fried her phone their because our converter we had was not the proper kind and the service we received to fix it was amazing. We must of had about 6 people helping us, even one of the owners. They couldn't have been anymore helpful and willing to go out of their way to fix this. I would certainly recommend this hotel to everyone and if I'm ever in Rabat again I know where I'll be…",Villa_Mandarine,Rabat
 April 2018,5,Amazing !,"The hotel, the gardens, the restaurant, the service - all simply perfect ! The rooms are beautifully decorated. The gardens are stunning. Can’t wait to be back to this amazing place if and when I’m back in Rabat.",Villa_Mandarine,Rabat
 April 2018,5,The Real Morocco,"A gorgeous old private home converted to a hotel. Located in a citrus grove the property was beautiful. Orange and Kumquat trees, the smell of orange blossoms filled the air. Our room was authentic Moroccan and very comfortable. The owner was an art teacher We had a private patio and small backyard. The large pool was heated and the restaurant served excellent food. Both traditional Moroccan and classic French. Wonderful classic art adorns the walls. There is a pool table in a cozy room. The staff was attentive and friendly. Highly enjoyable place to stay.",Villa_Mandarine,Rabat
 April 2018,5,Charming and cosy!,I really fell in love with this place. The hotel is set in a lovely surrounding with lots of places to enjoy a drink outside. The pool is lovely and the gardens around the pool are just perfect. Staff was very friendly and dinner more than perfect. Just one drawback: the gym is in the same area as the spa. During my massage (terrific!!!) you hear the running belt. The lady tried to cover up by relaxing music but the sound was too hard. A pity. Would certainly go back again!,Villa_Mandarine,Rabat
 April 2018,5,Wonderful introductin to Marocco,"A great start of a 15 day tour of Morocco. Our first floor room was very spacious, with a large bathroom which had a full tub with shower. The private grassed patio area off the bedroom was a bonus, although the weather was cool at the beginning of April, so we could not take advantage of it. The smell orange blossoms by the front entrance to the hotel was wonderful. We had an excellent opening dinner to the start of our trip in the dining room. Staff were very professional and accommodating.",Villa_Mandarine,Rabat
 April 2018,5,Relaxing in every way.,A very nice and spacious hotel that had a lot of charisma and uniqueness to it. It was decorated well and all fixtures and fittings were in a good state of repair with the exception to some furniture in the pool area that could do with an upgrade and general clean. The room service was efficient. We enjoyed a massage from the spa followed by a drink in the lounge. Would certainly visit again.,Villa_Mandarine,Rabat
 March 2018,5,I love this place,"Nicest, coziest hotel in Rabat. Beautifully and eclectically furnished. Set in lovely gardens full of citrus trees and flowers. Nice restaurant and good breakfast. Staff are very friendly. Sitting by the fireplace sipping a glass of wine before dinner -what more could one ask? Feels like home; a very nice home.",Villa_Mandarine,Rabat
 February 2018,5,Lovely,"We stayed here as part of a tour and really enjoyed it. Our room was spacious and had a patio with orange trees. Walking through the property was a pleasure. Not only were there orange trees- there were also loquats, palms and huge hydrangeas. The courtyard was lovely, too. The bathroom had a great bath and the heater below the towel rack dried everything beautifully.",Villa_Mandarine,Rabat
 February 2018,5,"""Setting the tone for a fabulous Moroccan experience"".....","Whilst my wife has been to Europe 3 times, this was my first experience ""traveling abroad"". I had no idea what to expect, but since most of my travel has been to ""fishing destinations"" in Central America, I seem to prefer a ""Third World Experience"" with a ""dash of panache"". I realize that Morocco is a dichotomy of 21st century hustle & bustle in Casa Blanca & Rabat contrasted by an old world experience that can be had east of the Atlas Mountains for example in Erfoud, Merzouga & Ouarzazet. When we arrived at Villa Mandarine we were greeted with the traditional tea by a very accommodating staff. The grounds of the villa were lush & the orange trees heavy with fruit. The rooms & courtyard were delightful and there were all manner ""eye treats"" to be enjoyed on ones…",Villa_Mandarine,Rabat
