 December 2022,5,"Comfortable Central Accommodation...staffed with helpful, kind & friendly people","Maybe the hotel is 3-star but the 5-star rating from me is for Mohammed from breakfast as I promised! Also a big Thank-You & 5* to Ahmed my big man at reception and ichrak & karima who turned over cleaned my room. The bed was extremely comfortable. It's central, I stayed at this Ibis hotel for 1 week.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 February 2022,1,Bad,"Other than the cheap price and decent breakfast, this hotel is really bad. Rooms, elevators, and everything in the rooms are not cleaned, floors are sticky meaning that you can’t walk barefoot or with socks on, the view and the bed sucks, and none of the basic items were found in the room (no hand soap, no slippers, no safe, nothing). I DO NOT recommend this hotel at all! Really bad",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2021,1,Bad experience,One of the worst hotels that I stayed in. Dirty full of cockroaches. Old furnitures. We changed the hotel at 9 pm bkz we can’t sleep there. The staff isn’t helpful.not experienced. The first room was small and building under construction view the second was looking to the mall but also dirty and full of cockroaches. The guy in the reception said that he can’t do any thing.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2021,3,Needs improvement,First tried calling the hotel multiple times no answer. Once I reached there I understood why the reception isn’t picking up the phone. One receptionist for lot of people. Hotel needs refurbishment a little bit. I am neutral in recommending this hotel.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2021,4,Good Hotel Good Location,"The hotel was very nice and in a great location. The room was also nice and clean. The A/C wasn't working. I brought it to the staff, but it still wasn't fixed during our three day stay. Depite being close to a main road, the hotel wasn't loud.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,3,Standard IBIS offering,"Went here on business. Generally it is OK but nothing out of the ordinary. As is also typical of an IBIS, the staff are generally unhelpful (it must be part of their training to be miserable and unhelpful). Rooms are ""ok"" but in need of some maintenance as they are looking a little tired. There is some building work in the area but thankfully the double glazing deadened the noise. Think i would try an alternative over this place as the hotels are as cheap as chips in Tangier",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,4,Business trip to Tanger,"Thanks a lot to personnel of the Hotel all our problems were sorted out in a most pleasant way. Thanks go to M K and Issam! OK for this business trip hotel. Very good place, has a bar and pool. Not so much to talk about, all is in order.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2019,1,Stupid Policy,"This hotel has stupid policy by not letting my male friend who live in Tangier to come inside my room to help me pack my things and some other stuff. They only allow guests to talk in the lobby and common room, while I want to talk and manage some stuff simultaneously in the room.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2019,5,Unforgettable stay,"I had a very nice stay, I got the timevto visit Tangier with the help of the staff who were incredibly friendly and so satisfying, thank you very much for your kindness , I recommend this one , thank you",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,the best reccptionist,It was a great stay in ibis Tangier I was already there many times and its always a pleasure to come back. Thanks to receptionnist (MK) for making my stay comfortable and thank for being helpful and so much kind with me Thanks agaaain for little thing.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,5,Thank u ibis tangier,I visited ibis city center in August. I really appreciated the quality of the service . The staff was very friendly and kind . I won't miss the opportunity to come back very soon. I thank all the staff for their welcome,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Birthday Spent well,A great sense of hospitality! Great staff ! Friendly environment. Loved the breakfast buffet. The best thing was the view I got from my room. I must give 10 out of 10 on cleanliness! Great job guys. Love ❤,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Short but very comfortable stay,I stayed for two nights for a business meeting in town. Very happy to find that the rooms are well maintained and very clean and the hotel is quite modern. Great breakfast!! Very friendly front desk staff.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Wonderful place,"I spent a lovely weekend at this wonderful small paradis well organized with amazing staff very helpful and professional, I got a very nice room ; clean and well equipped ! I will definitely come back as I found this hotel the sum of all my needs ! Thank you ibis tanger .",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,3,Disappointing stay,"Booked a night's stay after a day trip to Chefchauen, primarily due it's proximity to the railway station and central location. While, expectation was a no frills but comfortable stay synonymous with the Ibis name,mosquitoes in the room and air conditioning which just did not cool efficiently even when we turned it down to the minimum temperature, was not just unexpected but shocking for an internationally known brand.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Doctor Visits,"My husband needed to see a doctor in Tanger. When we finished the visit, we were told we would need to stay 2 extra nights for the surgery and prep for the surgery. The front desk was very helpful in getting us our extra days. They were fabulous at check in and out. We had breakfast 2 of our 3 mornings. We both felt it is the best breakfast of all of the Ibis chain. Thank you for making this stay the best!",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,2,Don’t waste your money,"This is the worst Intl Branded hotel I have ever stayed in. The Front Desk is rude, lazy and incompetent, and the quality of the food and beverage is terrible. The staff spend a lot of time talking to each other, this includes when they are serving you. The physical hotel itself is fine for a select service hotel, clean and reasonably maintained (except one of the lifts was out of service 4 times during our 10 day stay). The room setup is so cheap, only a soap and a shampoo, nothing else. No glasses, cups, kettle, fridge, tea & coffee, pen & notepad, bottled water, nothing. And the towels and sheets have been used for so long they have gone a light grey colour and were thread bare. The housekeeping staff do work very hard and are happy to assist your requests. The location of…",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,1,Loss of Card,"I stayed there for 2 nights last weekend. The air-conditioner was so bad. To keep the room cool, I had no alternative but to put my Priority Pass membership card in the power slot when I went out. When I returned, the card was gone. I asked the front desk to check for me who made up my room that particular day and it must be her who took away my card. They were unable to identify who cleaned my room before I checked out on Monday morning. I have heard nothing from the hotel up until now. The shower of the room was also hopeless.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,1,Hamad Eghdani,"The room was not cleaned properly, dust on the closet, and bed sheets was not changed as there were some stains and they kept it for the entier stay, the AC was hot, elevator for first floor is not working just you have to wait for one only. Good things about the hotel is staff is amazing, location is wonderful near to the station and beach area.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2018,4,Comfortable room,"within a walking distance from the main station, and commercial area but check in and check out process take a long time, In a early morning, nobody attended at frontdesk and a security staff tried to help me to check out. the room is clean and organised, simple and modern furnitures,for comfortable stay.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2019,4,Decent hotel in a good location,The hotel is well located near the beach and in a new area of town with lots of hotels and restaurants; very near to the train station. The staff was friendly and reasonably efficient. The room was typical ibis...clean and a decent size. The only problem being one of the beds which had a few wooden slats missing/broken and this wasn't fixed even after reporting it. Breakfast was pretty good. There is a small pool which was quite busy but a bonus for an ibis. There were plenty of places to eat within an easy walk.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2019,5,Great Hotel,"I Had a blast again in this hotel. I’m not changing my previous review. A wonderful Hotel, great staff, great food. Rooms always clean. And I love the location. My registration went very fast. Clean and spacious room. The bed was great. Special thumbs up to the director who’s always inquiring and looking to help.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,3,Ibis city centre Tangier,Located beside the ONCF train station. Room was very small and hard bed. No views from windows and bare basics. Spend only minimum time here. Walking distance to beach and about 35 minutes walk to Medina. Take petite taxis and meter on is about 18 dirhams to Medina. Hotel was clean and served its purpose. One night.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,5,Really nice hotel!,"The hotel exceeded our expectations. They had a really good service, a bar, a restaurant, pool, and other good amenities. The beds are really comfortable and the room has a good size. The bathroom is not so big, but sufficient.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,5,"Amazing service, quality rooms, great Iftar wonderful""","My husband and I recently stayed for 6 nights at the Ibis center ville Tanger. What a wonderful experience we had there. We had the best care and attention you could ask for. The evening meals were always delicious, just what we needed after a day of fasting during this holy month of Ramadan. The room was spacious and very clean. Thank you for making our stay memorable. I will definitely come back. Highly recommended to anyone who wants to enjoy Tangier.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,4,Nice experience,"Just a short stay in Tánger for one day... Ibis is a good choice with a convenient location with good services and friendly staff, especially Ibrahim at the Reception (who had offered a great help for my trip)... thanks again 🙏",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,5,IBIS quality hotel in center of Tangers,Good hotel with usual worldwide IBIS quality. Would recommend as a central hotel in Tangier for business. Friendly and helpful staff. Restaurant open extended hours even during Ramadan to cater for everybody. Brahim at reception knows what he is doing.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,5,Mo Fakher,"I arrived early, the front office staff were really friendly and helpful, Nabil checked me in so smoothly and made me feel it’s home. I had some enquiries and he clarified them all to me, he also helped me exchange currency. I highly recommend to any business/ leisure visitors.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,5,Description ibis tanger,5 star hotel with good staff and an excellent board of directors ho managed their power to give the visitors an excellent vacation from the restaurant to the rooms ho they are managed and cleand so perfectly.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,5,amazing experience,It was amazing experience.The staff was Professional they pay attention to the small detail. the breakfast is very rich and diversify. the room was clean and the housekeeper is a reak sweatheart because she touched my heart during my stay! which i appreciat.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,5,Super nice hotel,"We felt so welcome , my family and myself such a great and memorable experience , special thanks to all the hotel stamp for their listening problems handling and the warm welcome , very high and delightful service",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,5,Excellent service,"I was here for business and they told me to go there, first experience in ibis City center of Tangier, and I wasn’t disappointed! The service and the quality of the people and restauration made me feel much better. Kind of psychological place ! Because my job is stressful and I enjoyed, to stay here, Peace, silence, and good environment. Recommend this Hotel if u are here for business or any kind of activity!",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,5,Very friendly staff/Great customer service!,I didn't stay here but upon arriving in tangier and having a 7 hour wait before my train. I looked for a place to leave my luggage while I could explore the city. The staff at the Ibis gladly helped and stored my luggage for free. Lovely staff!,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,5,Lovely hotel and staff,"We were stuck in Tangier due to inclement weather, and luckily we booked a night in this lovely budget hotel. The rooms were clean and comfortable, the food of good standard and the service very efficient and friendly. Mohamed at the front desk stood out as providing excellent service - an authentic smile along with outstanding service.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,5,Very good budget hotel,Every thing was fine. No complains. Breakfast was very good. Everything was there. Alae managed breakfast well. Room was clean. Bathroom was clean. One fridge could be there. All the systems were good.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,4,Tangier le détroit,Vert Nice location clean Nice breakfast à lot of choice and the staff are very helpful 'ice and professional. Close to everything. There is à mall Just near by the beach at walking distance. There is Nice cozy swiming pool and terrace also close to public transport and taxis.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2019,2,"Location good, but hotel bad","The location is very good. It is just a few minutes' walk from the train station. The lobby is also quite pleasant looking and in line with when I have stayed at Hotel Ibis in various European cities. However, the rooms bear no resemblance to the European Hotel Ibis rooms, which are quite nice. The room was very rundown and the bed was rock hard. Also, don't believe them when they say that they have air conditioning. It doesn't work at all. And you can't open the windows to compensate as there are no screens on them and it is loud outside.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,4,Pleasant stay at a good location,"Next to the railway station, little fun park, little shopping center, walkable distance to the beach...Nice, very helpful and professional staff but they had some helpers? that weren't able to speak with us (in English) and were always pointing at the other receptionists.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,5,Highly recommend!,We had a great stay at Ibis Tangier. All the staff were very helpful and polite- especially the Manager. Accommodation is clean and modern. 5-stars for service! Would definitely stay again and recommend to all!,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,5,I can honestly recommend this hotel,"My opinion Very friendly place,near center😉 & friendly staff speaking English. I tried the delicious dish for dinner wonderful fresh tajine🍲 applauding for the chef👏👏👏 A well-kept and clean room I am a satisfied guest,",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,4,Good for some days in Tanger.,"Good having in mind quality to price. Good staff. Good localisation, near of train station, beach and restantants. When I come back to Tanger in sure that I will stay again in this hotel. I save a good impression of all people that belongs to this hotel.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,1,Smell of Sewage,"Even though our previous experience was dire, we thought we will try again. We asked for a nice room as per poor experience last time. We didn’t sleep till 5am because of sewage and burning smell. It was vile. We went for breakfast, no staff to be seen in the restaurant at 8.15 am but guests having their breakfast. We went to reception to ask if anybody was working in the restaurant. Eventually this woman came out to make Moroccan bread and looked at us as if she was doing us a favour. Waste of money ! As a silver card holder of Accorhotels we got no previledges. Reception manager not bothered and general manager non existent. I wouldn’t stay here again even if it was free. DISGUSTING !",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,3,Disappointingly Sad,"This place although not Uber expensive should have a certain standard. On the whole I found the place poorly maintained, in average to poor condition and generally looking very sad and decrepit. Although the cleaning staff and breakfast staff were attentive and friendly it’s very hard to feel the ibis name can be justified due to the generally very average condition of rooms . Towels and linen were very old and worn and in general I wouldn’t return to this plac e",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,4,OK Stay....,You get what you have paid for with this hotel..... It is clean and in a good location. The rooms are OK but basic and not for lovers of white fluffy towels. We ate out as there are lots of food options outside the hotel. There is a shopping mall close by with a good supermarket and food court. The train station is very close by - 5 mins walking so great for our early train to Fes. We asked for an extra pillow three times at reception over our two day stay but it never arrived.... We would stay there again.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2018,2,"Poor, unprofessional desk staff","Been several times in different IBIS hotels worldwide. This was a first - experienced a very uncomfortable situation, showing the lack of tact, discretion and professionalism of the desk clerk. Went with 3 female friends who checked-in prior to my arrival. While returning with one of my female friends who had checked-in earlier in her own room, I was asked /doube-checked about her name, her room number etc. I find it appauling that they dont know which guests are checked in, and when not knowing, - ask other guests for their information! Bottom line - Poor experience.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2018,5,A great Ibis,"One of the best Ibis i have stayed in. Great location just a few minutes from beach. Very clean and well kept. Friendly staff. Excellent rooms, fantastic wifi all for a great price. Highly recommended",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2018,3,A typical Ibis hotel,"This hotel was booked for me, for one night. It is clean and the staff is very friendly and helpful. Lunch and diner are good but not much choice and the breakfast was a nice buffet. The room was small and not very modern ...",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2018,4,"Clean rooms, friendly staff","I had a 3 nights /4 days stay in this Hotel, it's near the Mall, the beach and the Train Station. loved the stay there and if someone is visiting Tangier with limited budget, you can book there The staff are helpful and Friendly.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2018,2,Dirty!,"Well placed but my bedroom was dirty, the floor of the bedroom, the small table next to the bed and the bathroom. It was not well cleaned. Breakfast room was also dirty. Many personal but doing nothing. I couldn't believe it. Even the chairs were sticky.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2018,4,Fine for the night,We arrived in the lateevening. We just had 1 night and there for it is more than ok. The location is good near a lot of restaurants. Please be aware there is a lot of construction work. The room is what you are used from ibis compact. We booked one night for eur 35,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2017,3,Tangier Ibis,Welcoming and friendly staff. Was as per my expectation. Clean and average hotel. Breakfast was simple eggs yoghurt nuts fruits juices etc but was good. We spent a lot of our time eating outside the hotel but the one dinner I had here was tagine lamb with vegetables and it was excellent. For the amount we paid ie b&b it was well worth the amount.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
