 October 2022,4,Nice riad in a nice locality,"The riad is located in a nice locality, very close to the beach and kasbah of the udayas. Riad is nice, room is also nice, the breakfast is also nice. The bathroom is clean and has a electric water heater which is always on, so there is hot water all the time(24 hours)The staff are friendly and hospitable. The stay was comfortable. Overall, nice experience. I recommend this riad.",hotelName,city
 April 2019,5,Restful stay in beautiful room,"Not only are the rooms gorgeous, the kind attentive service was appreciated. Meticulously clean and tidy with a generous breakfast. Would definitely stay here again. Warm blankets for cool nights and hot peppermint tea.",Dar_Zouhour,Rabat
 December 2018,5,"Cute, simple, great value in the old Medina - would stay again!","This Riad was really cute, simple, great value in the old Medina - would stay again! A short walk to the Kasbah, as well as all of the souks in the Medina. had a basic but tasty breakfast In the lovely lobby too! :)",Dar_Zouhour,Rabat
 October 2018,4,Holiday,Had a comfortable and pleasant stay. Staff very friendly and polite. Good breakfast. Located about 50 meters from road. Located near to the Medina. Very clean and tidy. Sure to stay if visit Rabat again.,Dar_Zouhour,Rabat
 April 2018,3,All good until we were told we had to move to another Riad,"We were on a tour with 16 people and after being given refreshments and shown to our rooms which were exactly what you expect from a Riad (very Moroccan, colourful, great mosaics and quite roomy), ourselves an another couple who had also been put upstairs in the really double rooms were told we would have to move to another Riad as other people were coming and had booked our rooms. Hard to understand how this could happen after being shown to the rooms and dragging our bags up the stairs. Eventually we were taken to another Riad at the other end of the laneway and told that we would however have to go back to the original Riad for Dinner and Breakfast. The strange thing was that at Dinner and Breakfast there were only the 16 guests that were on our tour. Neither we nor the…",Dar_Zouhour,Rabat
 October 2018,5,Dar Zouhour,This simple but beautiful and well located riad excels in service. The women who run the riad are warm and consider no question or need unnecessary. Plus they know their city and gave my niece and me excellent advice about must sees in Rabat. They can also call upon a small stable of excellent taxi drivers with fair prices.,Dar_Zouhour,Rabat
 October 2018,5,Perfect place to stay,"This was a great place for a couple of nights in Rabat. It was our first experience of Morocco. The location just inside the medina makes it easy to find amd then to navigate the rest of the medina. It is quiet and very clean with lovely roof terraces and traditional courtyard. The staff, particularly, Asia, were extremely helpful and charming. We would recommend this Riad.",Dar_Zouhour,Rabat
 March 2018,4,Well located in the Medina,"We travelled with a group of 16 and stayed here one night. We also had an evening meal here as a group. Drinks were quite expensive. We were the only occupants of the Dar. Breakfast was a basic Moroccan fare, but there was ample food for the group, which was replenished as required. As with most Dars and Riads, the rooms vary in size and arrangements. We had a room up one flight of stairs. It was a large double room and was well furnished with a reverse cycle air conditioner. The bathroom was large with shower etc., but we only managed to get a trickle of hot water in the morning. Others in the group had no problems with hot water. The room was clean. The staff were friendly and pleased to provide mint tea for a group of 6 after our walk through the souks. There were restaurants…",Dar_Zouhour,Rabat
 May 2018,4,Great Riad,"This was our first stop in Morocco and when we arrived it was a pleasant surprise, we were a bit annoyed that we had to climb many stairs with our suitcases, however when we reached the top our room was amazing, it had it's own sitting room and was beautifully decorated, we went downstairs to meet our group and after approx 20 min's we were told we had to move to another Riad as the room we were shown was already booked, so we went up stairs and brought our bags down and then the staff wheeled them down to the other Riad, this was very annoying as we were not with our tour group and we had to walk back to Dar Zouhour Riad for our Dinner and Breakfast, fair enough it wasn't a long walk but it should never have happened, the staff were very appologetic and nice about the mix up,…",Dar_Zouhour,Rabat
 March 2018,3,nothing stands out,"Our tour company booked us one night at this place. After stayed at two outstanding Riads in Marrakesh and Fez, we were a little disappointed. it feels a budget hotel. Honestly it was a very average riad though nothing went wrong. Diner and breakfast are ok.",Dar_Zouhour,Rabat
 March 2018,5,highly recommend!,"It is a hotel that managed pretty well. All rooms are decorated with charming details. It is located in a quite neighborhood in the Medina of Rabat, just few minutes walking distance to local market. The staff is nice and hospitality, upgrade our room upon our request at their convenience.",Dar_Zouhour,Rabat
 February 2018,5,Excellent Riad,"Cute and charming Riad. My fiance and I spent 3 nights at Dar Zouhour. We found it to be well kept and in close proximity to the Kasbah (5-7 minute walk). Located in the medina, we thought it was going to be noisy however, it turned out to be a quiet getaway from the hustle and bustle on the main strip. The staff was excellent especially Nora who went above and beyond to make our stay pleasant and memorable. We would highly recommend this Riad!",Dar_Zouhour,Rabat
 December 2017,4,Nice and quiet getaway,"Rooms downstairs are beautiful, with amazing Moroccan details, rooms upstairs have a more basic design but are more quiet because of breakfast downstairs. The breakfast was really nice with fresh eggs, juice, coffee, tea, local delights, yoghurt etc. Nice atmospheric terrace inside and upstairs if you like. The staff is really helpfull, friendly and we could easily store our luggage during our last day. We slept very well, it is a quiet place at the edge of the medina!",Dar_Zouhour,Rabat
 September 2017,3,Charming and Nice Riad,"Dar Zouhour is a very good standard riad. It is well restored and the rooms have very good bathrooms and comfortable facilities, During my visit the light above the small desk did not work and was not fixed which made doing any work difficult. The breakfasts in the courtyard were good. It is located at the coast side of the medina of Rabat.",Dar_Zouhour,Rabat
 September 2017,4,"Beautiful, a bit hard to find","Really nice quant riad hidden away in a quiet neighborhood. It’s a bit hard to find so be sure to call ahead and have someone meet you out on the main road to avid lugging your luggage up and down the alleyways. Service is friendly and helpful and breakfast was good. TV, AC, and free WIFI.",Dar_Zouhour,Rabat
 September 2017,5,Typical Riad in the Medina of Rabat,Wounderful Riad with closly indoor place and terrace on the top with view over the medina; historically and well equiped rooms for tourists on 3 floors; perfect morrocan breakfast; Close to the historical places of the town,Dar_Zouhour,Rabat
 October 2017,4,Lovely and perfectly located,"A lovely clean Riad perfectly located, in the medina. Like a lot of Riads, when you get to the door you're not sure what to expect. This little Riad was lovely inside and the owners were very helpful whenever we needed anything. It's a short walk to the kasbah, and near some lovely little restaurants. The restaurants can be hard to find... but they're there! Sleep quality was great. It was lovely and quiet.",Dar_Zouhour,Rabat
 September 2017,5,Highly recommended,"This is a very nice and clean Riad in the Medina of Rabat. Each room is named by a flower and the entrance door has this flower painted on it. The room has a nice size and, like every corner of the Riad, is clean. The staff is very friendly, helpful and speaks pretty good english",Dar_Zouhour,Rabat
 July 2017,5,Perfect place to stay in Rabat,"I stayed in this lovely riad for my 3-week business trip, and it was absolutely a relief to come home here from the hectic working days. The place is beautifully Morocco-authentic, always clean, with a cosy terrace to chill out in the evening or during the day. Suites are the most comfortable with a lot of space. Staff is very kind and friendly, the ladies are there for you anytime. Very good breakfast. Excellent choice!",Dar_Zouhour,Rabat
 May 2017,4,An authentic stay in a traditional Moroccan hotel,"The support staff made the difference in every way. From checking in at 2:00 AM to check out a week later, the staff went above and beyond in accomodating our requests. The hotel location was at first disconcerting however finding our way around made that concern go away real quick. The room was clean and very comfy. Breakfast was delightful. Steps leading up to the second floor are steep and challenging however we got used to them. All in all a very good experience at Dar Zouhour.",Dar_Zouhour,Rabat
 April 2017,4,A pleasant surprise.,"We arrived at the Riad after a long flight from Australia. We were made welcome and given a cup of mint tea. The room we had was large and the aminities great. Local maps were provided for us. Dinner was genourous and the breakfast fresh, nutrous and satisfying.",Dar_Zouhour,Rabat
 March 2017,4,Centrally located,We recently spent 3 nights in this Riad and the staff and location suited our needs. 5 mins from the markets and close to restaurants this was a good choice organised by our tour company. My only criticism is the hard mattresses and the omelette for breakfast just wasn't quite up there. Good value and central location.,Dar_Zouhour,Rabat
 February 2017,4,A wonderful surprise,"Located in the medina, this Riad was a wonderful surprise. This is not the place to stay of you want modern, pristine accommodation. This is where you come to stay so that you will feel you are in Morocco. The staff were helpful and focussed, our room was spacious and delightfully furnished, the bed was comfortable and the en-suite , while a little tight, offered all that was necessary. The ambience of Riad Dar Zouhour with its beautiful tiling and colours got us away to a great start on our tour of Morocco. I would highly recommend the place.",Dar_Zouhour,Rabat
 February 2017,4,Friendly Staff and Nice Decoration,"The Riad is located in the medina, at walking distance from the Kasbah and the Hassan Tower. The staff was very friendly. The room was nicely decorated and calm, a bit cold (visited in February). The breakfast was good.",Dar_Zouhour,Rabat
 November 2016,5,Lovely riad,"Hidden away in the old city, this is a very comfortable place to stay. We stayed here for 3 nights. The riad is in a quiet area, and less than a 5 minute walk from a number of attractions and markets. The staff are excellent and accommodating. Our stay had breakfast included.",Dar_Zouhour,Rabat
 November 2016,3,Pleasant stay in a good road,On arrival as usual in a road you have no idea from the outside what the inside will be like. This was attractive but our stay was slightly let down by the bedding which could have been off better quality. The pillows were not great. However the show was excellent and breakfast was OK,Dar_Zouhour,Rabat
 October 2016,5,Lovely Riad,"Delightful and charming Riad in Rabat. Welcomed by Noura and the friendly staff. Very warm and homely place. We stayed in Ibiscus room which was clean and inviting, but a bit small especially with baggage. Walking distance to shopping area. Would highly recommend Dar Zouhour.",Dar_Zouhour,Rabat
 October 2016,4,Friendly and helpful staff,"Very comfortable riad near the ocean and kasbah. The staff were very accommodating and helpful. Note, though: If you wish to have dinner, order it at breakfast the day of (we got our wires crossed thinking we had done so the night we arrived for the following night, but evidently we needed to do so at breakfast). They do have beer and wine -- a nice touch for us westerners.",Dar_Zouhour,Rabat
 June 2016,4,Quaint Nice Raid,Very pretty and great staff. The food was good but the portions were not as large as the other raids I have stayed in. My room was beautifully appointed and clean. The only issue I had is that my room was steps from the garden area where the meals were served and people gathered and it was very noisy if you are trying to sleep. Recommended but ask for a second floor room.,Dar_Zouhour,Rabat
 June 2016,5,Dar Zouhour is amazing!,"Nora was very communicative with me prior to the trip there, and answered all of my questions immediately. Our room was large, comfortable, with plenty of space for walking about, stowing clothes and suitcases. The bathroom was large, with faucet, shower and toilet all operating perfectly. The atrium was a sheer delight in which to eat breakfasts and drink tea/coffee throughout the day. The provided breakfasts were bountiful and tasty, providing us with much needed energy in the mornings to be able to negotiate the souks and explore the palaces. Nora and her staff were always present to provide wonderful service - the best - and were always friendly. I would stay here again next time in Rabat!!!",Dar_Zouhour,Rabat
 April 2016,3,"Simple, but nice riad","We stayed two nights in this riad. The location is excellent (in the medina), which also means that a car cannot park in front of the door. The rooms are OK, a bit weary, but sufficient. Staff is extremely friendly and helpful. Breakfast is typical Moroccan: Moroccan pancakes, fruit, but enough. The inner yard is surrounded by rooms on the ground (and first) floor, which means that people in the rooms rightfully presume that people in the inner yard can hear what they say/do and vice versa. The hotel does not serve lunch or dinner, but is fortunately about 100-200 meter away from one of the best restaurants in Rabat (Dinarjat), so ask the hotel staff to point you in the right direction (even with google maps it is daunting to find).",Dar_Zouhour,Rabat
 April 2016,5,Return to Dar Zouhour,"I recently made another trip to Rabat and chose to stay at Dar Zouhour again. I was not disappointed. It was wonderful to return to the peaceful, welcoming environment of this Riyad. The staff does its best to make guests feel at home. The breakfast is filling and excellent and dinner is available on request. Nora and her staff can also help arrange transportation to other cities or to/from the hotel. The location is excellent.",Dar_Zouhour,Rabat
 March 2016,4,A lovely surprise behind the walls!,"As a first-time visitor to Morocco wanting to avoid American-style hotels and get a cozier and more informal feel for the place, I was delighted to discover the lovely interior of this riad inside the medina. The location is perfect - easy walking to the beach, the Kasbah, the souq in the old medina and a bank. Nora was very friendly and helpful - she even bought a small box of coffee for my friend who asked about it at breakfast (which was delicious and served on time). The rooftop terrace was pleasant and quiet - a nice spot to relax after a trans-Atlantic flight. A word of advice - sound travels via the central courtyard inside most riads, so bring along some good earplugs if you're a light sleeper. I would be happy to stay here again!",Dar_Zouhour,Rabat
 April 2016,5,Beautiful riad in the old town,"Beautiful hotel in the old town of Rabat. All rooms (8 in total) are furnished in a typical moroccan style and the employeers are very friendly and always helpful. I prefer a room to the back side of the hotel, because in front of the hotel kids sometimes play football during the day which may a little loud if the windows should be opened. Alltogether a real nice place far away from the noisy downtown.",Dar_Zouhour,Rabat
 March 2016,5,Very friendly relexing environment,"We had a very good time. Wonderful food (breakfast and dinner), very clean rooms with comfortable bed, so you can get a good night sleep. Although in the Medina the rooms are very quite and the top roof tarrace a nice place to relax during the day. The staff is the most friendly of all. Coming back from a day exploring Rabat and it's environment it is the perfect place. We had one of the suites at the ground floor. Very nice Marrocan style rooms. The breakfast area is just in front of the room. Was not a problem at all for us, but at high season it may become noice. Would not hold be back from going back !!!!",Dar_Zouhour,Rabat
 February 2016,5,Lovely Riad in the Old Medina with Superb Service,"Dar Zouhour is an unpretentious, lovely little Riad in the old medina of Rabat. It is in a prime location; just a short walk to the Kasbah, the beach, and to the souq in the old medina. The staff was very accommodating, especially considering we booked very last minute. Each room is colorful, comfortable and unique, and there is also a pleasant rooftop terrace. There was a small plumbing issue in the first room we stayed in, but this was quickly seen to and we were moved to a different room immediately. A nice breakfast is served in the central dining area in the mornings as well. The best part of this place, however, is the service. Shayma and Nora were both extremely helpful, accommodating and pleasures to talk to, and made us feel very welcome!",Dar_Zouhour,Rabat
 December 2015,3,"Comfortable, Clean & Colorful","This little riad in the medina of Rabat was our first stop on a 14 day tour of Morocco. We landed in Casablanca and drove to Rabat. We were ready for sleep and didn't explore the city at all that day. We did find the staff friendly and were able to communicate enough to find our way to breakfast on time. The rooms were pretty, though we found much prettier later on the trip. None of us were unhappy with anything so that merits a strong three star rating. If I had reviewed it directly after the stay I may have leaned toward a 4 star rating as I found it colorful and very pretty -- but then I saw the rest of our accommodations in the country.",Dar_Zouhour,Rabat
 January 2016,1,Tried to extort us,"I found this place on a booking website for a great price, 3 people on a suit for 102$ the 2 nights we were planing to stay. Then I called them to confirm with the hotel, but they said that couldn't be right, the price is 97€ per night. After some negotiation they agreed to offer the room for 500 something dirham per night. But then, when we finally arrived past midnight after a long road-trip, they informed us that it wasn't possible to have that price anymore! we needed to pay 300Dh extra for a suppletory bed (if this is not extortion, then you tell me). Fortunately I knew a great affordable hotel a couple blocks away (Hotel Darna) that was happy to receive us and had a roo for 3 people with breakfast included for 650Dh/night. Shame on youDar Zouhour, this is the real spirit…",Dar_Zouhour,Rabat
 January 2016,2,Dar Zouhour,"I met one member of staff only on my stay. She was helpful but didn't speak a word of English. I complained on the first night about the smell in my room and asked for another room the second night. The second room had exactly the same smell. I couldn't find what was causing the chemical smell which affected my nose and throat and, I think, gave me a terrible cough. I seemed like the room had been soaked in some sort of fresh air 'Airwick' and everything including bedclothes reeked of this smell. The price was absolutely outrageous for this property. Way overpriced. I travelled to six places in Morocco and this was the worst I experienced.",Dar_Zouhour,Rabat
 December 2015,5,Comfortable stay in the Rabat Medina,"Lovely riad in the medina of Rabat. Its located close to boulevard Mohammed V, which runs right through the medina and the center of town. Its also an easy walk to the ocean and the kasbah. Breakfast is good. The room was very comfortable with a good bed and bathroom facilities. The staff were also very nice. I would definitely stay here again.",Dar_Zouhour,Rabat
 December 2015,3,The price is not right,"The staff is friendly however the owner is not up to par. The architecture is interesting but the added cheap features, such as craft material or terribly cheap paintings hanging on the walls should be given away. Breakfast is good but coffee should be served not stored in a thermos bottle. Rooms are small but convenient, bathrooms are clean. If the price was reduced by at least 25% I would rate it 4 stars, but at that price I expect more.",Dar_Zouhour,Rabat
 November 2015,4,brilliant breakfast,"lovely quiet riad in the medina, helpful staff, comfortable clean room and an excellent breakfast with freshly squeezed juice and pancakes, honey , fig jam and fruit etc.reasonably priced . My only minor criticism would be that when I asked for a restaurant recommendation I was guided to a place with a fixed price menu- although quality was excellent it was more than I wanted or needed...",Dar_Zouhour,Rabat
 November 2015,5,Small pleasant hotel right in the middle of the medina,"This is a very nice small local hotel with very pleasant and helpful staff (they speak English). The hotel is an old riad and is right in middle of the medina, close to the buzzling Ave Mohammad and to the many small colorful streets in the medina. There are many good kebab-type of places in the medina. The hotel is also close to the beach, the kasbah, the closeby city Sale (by rowing boat) and the modern neighbourhoods of Rabat. One can easily walk to most places. Our room was quite and clean, and very dark at night. The breakfast was varied and included several traditional things - a nice treat. We had mint tea or beers in the afternoon/evening at the terasse or in the common area (the old yard/garden). The staff was very helpful and assisted us to a nearby restaurant with…",Dar_Zouhour,Rabat
 November 2015,5,"Excellent, peaceful, welcoming. This is a perfect place to stay in the Medina.","I stayed for just over a week and loved every minute of it. The riad is well situated Though you do have to walk from main street to the riad which takes about 3 minutes. This is what you'll have to do with any riad in the medina, so this one is no exception. The reception and service are excellent. The rooms are clean, spacious, and very well taken care of. Noura and Shama and the other staff did everything possible to make sure my stay would be a comfortable one. The breakfast is excellent. You do have to notify them in advance if you want to have dinner there, and they will make it fresh for you. I prefer this experience to staying in any of the large hotels in Morocco. I would definitely return to stay here.",Dar_Zouhour,Rabat
 October 2015,5,All you want from a Riad,"Our room on the 1st floor is clean, functional and spacious enough for our 3 night stay. Staff are friendly and helpful and breakfast is more than sufficient to set us up for the day. Great location for exploring the medina and Kasbah.",Dar_Zouhour,Rabat
 October 2015,4,"Well situated, but difficult to find","A beautiful riad, within the medina. Therefore not easy to find, but once you are inside: beautiful. Correct reception, fine breakfast, nice soacy room. The royal palace is around the corner, as is the market. If you drive your own car: drive the Avenue Mohamed V to its end (there starts the sauare of the palace); call one of the oarking guys, pay him and ask if he can arrange somebody to bring your luggage and you in the medina and to the hotel. No hassle, and it will coast you next to nothing.",Dar_Zouhour,Rabat
 September 2015,5,Nice riad close to Rabat Medina,"Close to the Medina, not far from the main road, clean, beautiful decor, good food and hospitable and helpful owner. We like the code door system allowing us to get in/out freely without disturbing the owner.",Dar_Zouhour,Rabat
 July 2015,5,"Best Place In Old Town, But... !!","I've been there for one day visit ,staff really helpful. Clean place, organized ,you feel like in your own house ,quiet, everything is awesome, except the prices for the bigger rooms, hope the owner will understand that .If the prices were a little bit lower we would then extend our stay .",Dar_Zouhour,Rabat
 July 2015,5,Great escape,"Beautifully decorated riad with incredible attention to detail in every aspect. The hostess was really friendly and made us feel at home. She was available at all times, day or night. She gave us the information and guidance needed about Rabat such as places to visit and restaurants. She was a person that really cared about our satisfaction. The riad is very well situated and everything is in a walking distance, the medina, Oudaia, Kasbah, the beach. The riad has everything you may need, food, drinks, Hammam, Wifi… The room was nicely decorated with air-conditioning and a really comfortable bed. My room's name was ""Warda""!!!!!",Dar_Zouhour,Rabat
 June 2015,5,"Charming property in a lovely, walkable, quiet, neighborhood","I absolutely loved my time at Dar Zouhour. Check-in was incredibly easy--staff speak French, English, and Arabic. After check in, I sat up on the rooftop terrace and the staff brought me mint tea and pastries--a great way to de-tense after arrival. The space was incredibly peaceful after a hectic day exploring the souqs and I really appreciated the staff's attentiveness. Room was comfortable--big bed, AC, lovely wardrobe and light fixtures. Huge shower, which was a nice plus, as were the swanky local shampoos. Was very pleased with the breakfast options the next morning--crepes, pastries, omlettes, honey, jam, cereal, fruit, etc.. Wifi was good enough for Skype. As a single, female traveler, I felt perfectly safe in the neighborhood, even walking back alone at night from where…",Dar_Zouhour,Rabat
 December 2015,3,The price is not right,"The staff is friendly however the owner is not up to par. The architecture is interesting but the added cheap features, such as craft material or terribly cheap paintings hanging on the walls should be given away. Breakfast is good but coffee should be served not stored in a thermos bottle. Rooms are small but convenient, bathrooms are clean. If the price was reduced by at least 25% I would rate it 4 stars, but at that price I expect more.",Dar_Zouhour,Rabat
 November 2015,4,brilliant breakfast,"lovely quiet riad in the medina, helpful staff, comfortable clean room and an excellent breakfast with freshly squeezed juice and pancakes, honey , fig jam and fruit etc.reasonably priced . My only minor criticism would be that when I asked for a restaurant recommendation I was guided to a place with a fixed price menu- although quality was excellent it was more than I wanted or needed...",Dar_Zouhour,Rabat
 November 2015,5,Small pleasant hotel right in the middle of the medina,"This is a very nice small local hotel with very pleasant and helpful staff (they speak English). The hotel is an old riad and is right in middle of the medina, close to the buzzling Ave Mohammad and to the many small colorful streets in the medina. There are many good kebab-type of places in the medina. The hotel is also close to the beach, the kasbah, the closeby city Sale (by rowing boat) and the modern neighbourhoods of Rabat. One can easily walk to most places. Our room was quite and clean, and very dark at night. The breakfast was varied and included several traditional things - a nice treat. We had mint tea or beers in the afternoon/evening at the terasse or in the common area (the old yard/garden). The staff was very helpful and assisted us to a nearby restaurant with…",Dar_Zouhour,Rabat
 November 2015,5,"Excellent, peaceful, welcoming. This is a perfect place to stay in the Medina.","I stayed for just over a week and loved every minute of it. The riad is well situated Though you do have to walk from main street to the riad which takes about 3 minutes. This is what you'll have to do with any riad in the medina, so this one is no exception. The reception and service are excellent. The rooms are clean, spacious, and very well taken care of. Noura and Shama and the other staff did everything possible to make sure my stay would be a comfortable one. The breakfast is excellent. You do have to notify them in advance if you want to have dinner there, and they will make it fresh for you. I prefer this experience to staying in any of the large hotels in Morocco. I would definitely return to stay here.",Dar_Zouhour,Rabat
 October 2015,5,All you want from a Riad,"Our room on the 1st floor is clean, functional and spacious enough for our 3 night stay. Staff are friendly and helpful and breakfast is more than sufficient to set us up for the day. Great location for exploring the medina and Kasbah.",Dar_Zouhour,Rabat
 October 2015,4,"Well situated, but difficult to find","A beautiful riad, within the medina. Therefore not easy to find, but once you are inside: beautiful. Correct reception, fine breakfast, nice soacy room. The royal palace is around the corner, as is the market. If you drive your own car: drive the Avenue Mohamed V to its end (there starts the sauare of the palace); call one of the oarking guys, pay him and ask if he can arrange somebody to bring your luggage and you in the medina and to the hotel. No hassle, and it will coast you next to nothing.",Dar_Zouhour,Rabat
 September 2015,5,Nice riad close to Rabat Medina,"Close to the Medina, not far from the main road, clean, beautiful decor, good food and hospitable and helpful owner. We like the code door system allowing us to get in/out freely without disturbing the owner.",Dar_Zouhour,Rabat
 July 2015,5,"Best Place In Old Town, But... !!","I've been there for one day visit ,staff really helpful. Clean place, organized ,you feel like in your own house ,quiet, everything is awesome, except the prices for the bigger rooms, hope the owner will understand that .If the prices were a little bit lower we would then extend our stay .",Dar_Zouhour,Rabat
 July 2015,5,Great escape,"Beautifully decorated riad with incredible attention to detail in every aspect. The hostess was really friendly and made us feel at home. She was available at all times, day or night. She gave us the information and guidance needed about Rabat such as places to visit and restaurants. She was a person that really cared about our satisfaction. The riad is very well situated and everything is in a walking distance, the medina, Oudaia, Kasbah, the beach. The riad has everything you may need, food, drinks, Hammam, Wifi… The room was nicely decorated with air-conditioning and a really comfortable bed. My room's name was ""Warda""!!!!!",Dar_Zouhour,Rabat
 June 2015,5,"Charming property in a lovely, walkable, quiet, neighborhood","I absolutely loved my time at Dar Zouhour. Check-in was incredibly easy--staff speak French, English, and Arabic. After check in, I sat up on the rooftop terrace and the staff brought me mint tea and pastries--a great way to de-tense after arrival. The space was incredibly peaceful after a hectic day exploring the souqs and I really appreciated the staff's attentiveness. Room was comfortable--big bed, AC, lovely wardrobe and light fixtures. Huge shower, which was a nice plus, as were the swanky local shampoos. Was very pleased with the breakfast options the next morning--crepes, pastries, omlettes, honey, jam, cereal, fruit, etc.. Wifi was good enough for Skype. As a single, female traveler, I felt perfectly safe in the neighborhood, even walking back alone at night from where…",Dar_Zouhour,Rabat
 April 2015,1,Moroccan wedding next door - very effective at keeping you up till midnight,"I don't know how often this happens. I don't see any other reviewers mentioning it, but it was like we were at the wedding. Blasting, I mean blasting, music till almost midnight. No chance of getting a good night's sleep before 12 hours of travel the next day. No refund, no attempt to help find other accommodations. Just sit there with your 4 year old till midnight and enjoy the traditional blasting Moroccan music. Also, the help speaks very little English, further complicating matters. Congratulations on your 1 star Dar Zouhour, you earned it.",Dar_Zouhour,Rabat
 February 2015,5,Experiencing authentic Moroccan hospitality in Rabat,"My first visit to Riad Dar Zouhour was booked because in February 2015, I needed one night’s accommodation before moving to one of the big Rabat hotels to meet a group embarking on a tour of the entire country. I’ve been to Morocco many times, stayed in many hotels, and dined in many restaurants located in riads. But this was my first night in a small, intimate, riad boutique hotel, and within minutes of arriving at Dar Zouhour I began having regrets: I regretted not having allowed for more than one night there, and I regretted not having my wife with me for such a wonderful experience. The approach to the entrance of Riad Dar Zouhour is exactly as it should be for an authentic Moroccan experience. One leaves the streets and traffic for a short walk through quiet, narrow…",Dar_Zouhour,Rabat
