 December 2022,5,Fifth visit to Le Pietri - My home away from home,"Le Pietri is in a great location with very friendly helpful staff. The low floor street side rooms are a bit noisy at times. They have a nice variety and tasty breakfast and dinner menu with good wine options and a bar all in a comfortable space. We enjoyed an amazing jazz concert on a Saturday night. All in all a comfortable place to hang out with friends, be alone and get around the city. I will defiantly return.",hotelName,city
 April 2019,5,"CLEAN, MODERN, AND YOU CAN’T BEAT THE LOCATION!","This small business hotel was just perfect for our first night in Morocco. Fresh from the trans-Atlantic flight, we needed a place for a good shower and some sleep. Le Pietri delivers on both fronts. If the traditional Moroccan riad is what you are looking for, keep moving. But Le Pietri is clean, the staff are polite and helpful, and I just wish we could have spent more time on our Terrace! To top it off, Le Pietri is located just 5 minutes’ walk from the Rabat Train Station making it an ideal launching or midway spot for your Moroccan adventures!",Le_Pietri_Urban_Hotel,Rabat
 April 2019,4,We'd decided to stay another night!,"Very nice hotel. When we arrived by car, they let us park just in front of the hotel – while we were really afraid of not finding a slot in the city. We liked our room but it was so convenient and clean it made us almost forget being in Morocco. Also the hotel's food was really enjoyable. Breakfast though was average.",Le_Pietri_Urban_Hotel,Rabat
 April 2019,5,A great boutique hotel,"Located near the Medina, a small boutique hotel in a walking distance from the market and Rabat ville. There’s a nice restaurant with live music. Nice modern and clean rooms, generous breakfast and friendly stuff.",Le_Pietri_Urban_Hotel,Rabat
 April 2019,5,At home,"Very nice and helpful personel, inspiring location with the restaurant and bar downstairs, good rooms. Le Pietri is definitely my home in Rabat. The location is great as well close to the train station and center o the city.",Le_Pietri_Urban_Hotel,Rabat
 April 2019,5,A comfortable hotel in town center,"Very well located. Clean and comfortable. Everything in perfect working order, which is seldom to be found ib lical hotels. Nice welcome at reception. To be recommended. No parking facilities, so this might be tricky.",Le_Pietri_Urban_Hotel,Rabat
 March 2019,4,"2nd visit, after 9 years","The hotel has been completely renovated. For the best ? I dont know because in our room, end of March, it was so warm... the ventilation system was still on winter programming so no way to have a bit of air conditioning and with the window open it was a bit noisy. The staff is polite and professionnal period, they dont offer more than what is asked. The restaurant is quite excellent.",Le_Pietri_Urban_Hotel,Rabat
 February 2019,5,Great Hotel and Excellent Staff!,"This hotel is nice and modern and very clean. The staff have been exceptionally good. The restaurant food and service were both fantastic. And breakfast is included with the room! If you’re looking for a nice place to stay in Rabat, Morocco, you should give this place a try.",Le_Pietri_Urban_Hotel,Rabat
 February 2019,5,"Very comfortable, friendly service, and clean","I was very satisfied with my stay in Le Pietri Hotel. The Junior Suite was very comfortable and had a nice view towards the city. It was very clean and the bed extremely comfortable! The service was nice and the breakfast also very good and diversified (olives, sweet bakery things, fruits and tomatoes/cucumber etc.)",Le_Pietri_Urban_Hotel,Rabat
 December 2018,5,Very pleasant stay,"Everything worked out great. Nice location near the train station. Location was quiet and central to shopping and restaurants. Walking distance to the old city souks and medina. Great restaurant on ground floor. Rooms were clean, not cramped, and tidy.",Le_Pietri_Urban_Hotel,Rabat
 January 2019,5,"Solid Three-Star with Helpful, Considerate Staff, and Jazz","Property appears popular with younger travelers. Close to the central train station in a district rich with restaurants, museums, and shopping. Hotel is co-located with a restaurant that has live music. Hotel rooms and their appointments are as expected in a well-run, three-star property. Breakfast is terrific. Staff were exceptionally helpful. A special thanks to Hicham who went far beyond the call in helping with a delayed luggage problem. Only downside: with live jazz, it can be a bit of a challenge for those who go to bed early. It may help to ask for a quieter room it this is a concern. Still, it's jazz, not that loud, and doesn't go that late.",Le_Pietri_Urban_Hotel,Rabat
 December 2018,5,Really good surprice - we will be back,"We came quite late one evening and met a very friendly, helpfull and positive reception - and stayed for three nights, because we enjoyed everything. This small hotel has fine design details, comfortable beds, clean and well-functioning in every way, and very good service. Relaxingly unpretentious and professional. Breakfast is really good - just ask for youghurt, fried eggs, espresso or.... The morning waitress is such a pleasure. We also enjoyed the luxury of dining in the delicious Bistro, and having a very short way back to the room. Service in Bistro also excellent. An easy walk from the Central Train Station, the pram and the Museum for Contemporary and Modern Art. A special thanks for the wonderful New Years party - a memory to treasure.",Le_Pietri_Urban_Hotel,Rabat
 December 2018,5,A gem of a hotel,"Clean and comfortable rooms (we had a superior on the 5th floor, which had a spacious balcony) with tea/coffee making facilities and a little fridge. Extremely helpful and friendly front desk staff. Very professional feel. Less than 10 mins walk from the train station. Close to places of interest... Hassan II Tower and Mohammed V Mausoleum c. 20 mins walk, Kasbah of the Udayas c. 30 mins walk, Medina c. 15 mins walk, Royal Palace c. 10 mins walk. Highlight is the restaurant. We rarely eat in hotels, preferring to find special places off the tourist route BUT the Bistrot du Pietri at this hotel is not to be missed. Superb....like eating in top Paris or Brussels establishments. Attention to detail, flavour, freshness. Wonderful. Bravo!! Oh, and it has live jazz music on…",Le_Pietri_Urban_Hotel,Rabat
 November 2018,5,Vacation,"Excellent stay, friendly staff and outstanding restaurant!!!, the food and show at the restaurant of the hotel was amazing, rooms are very comfy, clean and nicely decorated, excellent location, close to train station",Le_Pietri_Urban_Hotel,Rabat
 October 2018,4,Decent hotel,This hotel is very decent. Well located. Walking distance to most of the important sites in Rabat. The medina is about 15 minutes walk which is quite pleasant. The room is basic but comfortable. The breakfast was excellent and service was wonderful.,Le_Pietri_Urban_Hotel,Rabat
 October 2018,4,Rabat in a cool mood,"Nice central hotel, near train station,internet acess could be better,ask for a room in a lower floor.Breakfast is ok ,but staff at restaurant is not very caring towards guests requirements.Jazz nights are not a good idea if you want to have dinner.",Le_Pietri_Urban_Hotel,Rabat
 October 2018,5,"Fun hotel, exactly as described","We really enjoyed our stay at Le Pietri. The rooms were very clean and modern and the beds were great. The in house restaurant was fantastic and a great option for someone who didn't want to have to go out for dinner.Additionally, I had accidentally double booked the rooms for our party and the hotel was very accommodating at making the necessary changes so that I would not get double charged.Location was right near city center which made it really easy to walk to the train center (5 min), to the mosque (20 min) and to the beach (45 min) for those who like to explore the city.",Le_Pietri_Urban_Hotel,Rabat
 March 2018,4,Nice Hotel very close to the train station,"I choosed the Hotel because its very close to the train station, its like 5 minutes walking distance the Room is nice and clean, The bathroom had everything, The breakfast was good as well, The surrounding area is nice and quiet, also having all you need, super market, resturants, etc.",Le_Pietri_Urban_Hotel,Rabat
 September 2018,5,A lovely return,"About 18 months since my last visit. Still clean, friendly, great food. Good position, handy for rail station , tramway, tourist sites. Enjoyed myself here again. Very quick and efficient check in / check out. Could not hope for better at the price.",Le_Pietri_Urban_Hotel,Rabat
 August 2018,5,We recommend this,"Another great place found thanks to TripAdvisor. It was clean, comfortable. Staff were very friendly. In addition at a walkable distance from the main train station (Rabat Ville). Not to forget breakfast was great. Really recommend this.",Le_Pietri_Urban_Hotel,Rabat
 March 2018,4,Attractive modern hotel in very good location,"We spent a few night at Le Pietri Urban and liked it a lot. It's a very nice, modern place in a very good location where we could walk everywhere we wanted to go. We had an attractive room with 2 single beds, a desk, a large bathroom, and a luggage rack which could hold for two suitcases and this seemed a rarity in .Morocco. Breakfast was buffet style, coffee, juice, eggs, sausage, fruits, breads, pastries, crepes. The front desk staff were friendly and helpful. I recommend this place and wouldn't hesitate to stay there again.",Le_Pietri_Urban_Hotel,Rabat
 July 2018,3,Good location and Nice Room,We were upgraded to a bigger room but I booked twin beds and we had a king. They said they would come change it but they never did. The room was very nice. We had trouble getting pool towels 2 days in a row . They said we needed a blue card and the front desk said they were out of blue cards.,Le_Pietri_Urban_Hotel,Rabat
 July 2018,4,Great especially for a short stay!,The service at reception was very welcoming. Hamza was very good. All our requests were well taken care of and all staff are helpful. The breakfast room smelled strongly of smoke so that was very dissapointing.,Le_Pietri_Urban_Hotel,Rabat
 July 2018,5,Clean quiet and amazing staff!,Do you like quality food at reasonable prices? Le Pietri Urban is just the place for you. It is near the ministries and close to a market downtown. The hotel is clean and quiet with a pleasant staff always ready to help out. I enjoyed my stay and highly recommend it.,Le_Pietri_Urban_Hotel,Rabat
 May 2018,4,Very nice urban Rabat Hotel,We had a nice two nights at this hotel. Seems to cater to French and Euro clients. Breakfast is very nice and plentiful! Full bar with restaurant! Staff is very helpful. Room and beds are very comfortable. Air conditioning works well.,Le_Pietri_Urban_Hotel,Rabat
 March 2018,3,Satisfactory,"Hotel with small rooms, poorly responsive staff (safe which required re-set, was not addressed in the more than 36 hours of my stay. They did supply bottled water. Location is central, on a side street, which was surprisingly noisy.",Le_Pietri_Urban_Hotel,Rabat
 February 2018,4,Convenient hotel in central Rabat with all mod cons,"The rooms are what you would expect from a 3 star European hotel. They have live music a couple of times a week, and restaurant onsite, albeit a bit pricey It is walking distance to Rabat central station, tramstop Al Joulane, the archaeological museum and the St. Pierre cathedral The staff are courteous and professional",Le_Pietri_Urban_Hotel,Rabat
 February 2018,4,Professional personal,"Very pleasant hotel,clean modern.possibly first floor rooms to avoid,since traffic and restaurant business may disturb.perfect buffet,breakfast,and very kind and professionnel personnel. The bathrooms are modern and spotless and there is an attempt to conserve energy.",Le_Pietri_Urban_Hotel,Rabat
 February 2018,5,Excellent Service!,"The entire experience was phenomenal. Great and kind staff. Clean room. Attention to detail. I was a solo traveller and found the location quite central with respect to the main sites, markets, and restaurants. I would stay here again.",Le_Pietri_Urban_Hotel,Rabat
 January 2018,5,Ideal location,Very happy with stay. Friendly helpfull staff. Ideal location close to shops and resturants. Ans station.very clean inside. Room service everyday. Wifi bit wrak on one end of building.can arrange taxi pickup and drop from airport.Will recommend.,Le_Pietri_Urban_Hotel,Rabat
 January 2018,5,"Affordable, comfortable hotel","The beds were comfortable. The rooms were clean. The staff was friendly. Only negative was breakfast not really being hot by the time we got there. Also the bathtub is high, so be careful getting in and out of it. Otherwise, no complaints about this hotel. Located 3 blocks from train station with abundant restaurants all around.",Le_Pietri_Urban_Hotel,Rabat
 January 2018,5,Just Awesome!!,"The services has been awesome and the stuff was more than active and very helpful. The room is so clean and the bed is so confortable. ""Le Pietri"" is one of my best hotels in Rabat. Thank you again for your great service.",Le_Pietri_Urban_Hotel,Rabat
 January 2018,5,"This place is ""Urban""","People who tired of Moroccan style hotels/foods, visit this quartier and stay this hotel, it's totally urban and European. This hotel is the best in the middle range( and there are few budget hotels worth staying in Rabat, who want cleanliness don't stay at the hotels less than 400dh). Their restaurant is also incredibly great.",Le_Pietri_Urban_Hotel,Rabat
 December 2017,5,Hip oasis,"Clean, pleasant, friendly, modern, and central. The restaurant is amazing fusion Moroccan with jazz. I got a last-minute reservation easily when my itinerary changed, at a reasonable price. There is a wee bit of street noise if you are sensitive for sleep. Best of all: it is non-smoking!",Le_Pietri_Urban_Hotel,Rabat
 December 2017,5,"nice place, great location","The rooms are clean and comfy. The location, near the train station, is just far enough away from the medina and just near enough everything else -- including the great art museum and coffee shops. The staff is nice, the restaurant good. Great music on weekends.",Le_Pietri_Urban_Hotel,Rabat
 November 2017,4,Great Hotel for 3 Stars,"I spent one night in Le Pietri Urban Hotel, it was a lovely stay. The check in was easy and fast, the receptionist was very helpul and smiley, nice clean room as described with amenities such as shower gel, hand soap, clean towels, the breakfast was a fresh buffet, comparing with other hotels in Rabat, they should be four stars instead. A small highlight is that there was no top sheet only a comforter.",Le_Pietri_Urban_Hotel,Rabat
 October 2017,5,Excellent city centre hotel,This hotel is new to me. Normally stay in the Balima (now closed)or Majliss. What a loveley surprise! Great location just off the main boulevard and a good breakfast. The bonus is having a superb bistro next door as part of the same establishment. Can't fault it.,Le_Pietri_Urban_Hotel,Rabat
 November 2017,3,Hotel is just OK,"We stayed here because we were on a Gate 1 tour, which is excellent, but the room was just OK. Asked for extra towels and was told, no. Upgrade yourself from this hotel. The bed was good but not enough pillows.",Le_Pietri_Urban_Hotel,Rabat
 November 2017,5,Brilliant small hotel - great location,"Excellent location a short walk from the railway station. Very comfortable rooms, simply and elegantly furnished. Very quiet. Comfortable bed, good quality bedlinen and towels. Excellent restaurant. Impeccable service. Discreet, efficient management. Super-fast check-in and check out. My favourite hotel in Rabat - I think this was my third stay at le Pietri My only grumble - No coffee/tea in the room (chambre Business)",Le_Pietri_Urban_Hotel,Rabat
 October 2017,4,Delightful stay!,"Great breakfast spread with meats and fresh orange juice! Location was great, being near museums, the cathedral and walking distance to the center of town. The sheets smelled of curry so we had them changed and they came right away.",Le_Pietri_Urban_Hotel,Rabat
 October 2017,3,Close to the train station,"Good place to stay close to the train station. Patio is nice, and the rooms were clean and in good condition. The food the next morning was tasty and there was a good variety. They made the checkin painless, and were willing to exchange money too if you need.",Le_Pietri_Urban_Hotel,Rabat
 September 2017,5,Everything was great!,"Very nice, clean and spacious room. Convenient loacation. close to train station, restaurants, shops, and old and new town. Outstanding staff who went out of their way to take care of my needs. I'd recommend very highly.",Le_Pietri_Urban_Hotel,Rabat
 September 2017,5,Breakfast Bar,"I chose the Pietri as it is within easy walking distance of Rabat Ville station. Purpose of this was to decide whether to terminate my journey from Tanger, on the new TGV next year, at Rabat or Casalanca. (The Moroccan TGV is being bult for 2 billion Euro compared to 50 billion for HS2!), The hotel is one of the best I have stopped at during many trips in Morocco.There is a very relaxed atmosphere on the premises which in no way impairs an excellent and friendly service by all staff. The dining and bar area are called the Bistro and cater for non residents as well. The restaurant is excellent with an extensive choice of food and wine. The bar is blessed with 2 draught beers Casa and Flag and quality is well ahead of other nearby licensed establishments The beer prices are…",Le_Pietri_Urban_Hotel,Rabat
 September 2017,3,Modern Hotel Could Use Some Improvements,"The bed and location are fantastic as it is within walking distance to all the great sites in Rabat. Even Chellah was not a super long walk from this hotel. My biggest issues were in regards to the wifi, shower and TV. The shower itself is an accident waiting to happen as it sits very high up and invites the very real possibility of a slip and fall accident. The wifi was spotty at best and often lagged when needed most. The TV though was both small and noisy. Every channel would emit a loud buzzing/static noise every 10 minutes or so as you watch a movie. It felt as if I was watching a VHS tape that had been worn out with all the lines and static running through it. There was also several floorboards that we displaced and gaps running through them. The breakfast service was…",Le_Pietri_Urban_Hotel,Rabat
 August 2017,4,Pretty good,We stayed two nights on our way from Fes to Agadir. This wasn't our first visit here. We got the largest room available I'd suggest the room without the balcony since that will give a larger interior. Make sure to pay the parking meter or pay a 40 dh fine,Le_Pietri_Urban_Hotel,Rabat
 August 2017,4,Happy customer 😎,First time in Rabat and I'm glad I made the right choice for my stay. Very nice and friendly staff specially Mr. Esaam. A very good restaurant and the breakfast has many choices to eat. I would say all is well for this hotel.,Le_Pietri_Urban_Hotel,Rabat
 July 2017,5,Brilliant week in Rabat,"Le Pietri is a nice hotel, very friendly staff, good breakfast the restaurant is excellent with live jazz. If you can get a room with a balcony it's worth the extra. I will certainly use the Pietri again.",Le_Pietri_Urban_Hotel,Rabat
 September 2016,4,Friendly and a touch of jazz,"This is good little hotel, clean with friendly people. I have stayed quite a few times ,the food is good and you can also have great band playing times to times. Just be aware ig you want to listen to the jazz band you need to reserved your table in advanced.",Le_Pietri_Urban_Hotel,Rabat
 May 2017,5,Excellent frienfly service,"I have stayed numerous times at the Hotel Le Pietri over the last 10 years. Everyone I have encountered there has been friendly, helpful, and many, especially the manager, have gone out of their way to help me and my colleagues with our specific needs during work stays. It feels very much like a second home. I also return for private stays and certainly will again. The hotel staff provides excellent service, the food is very good, and the music venue always gives a very special atmosphere. A real pearl in the heart of Rabat.",Le_Pietri_Urban_Hotel,Rabat
 May 2017,4,Rita,I recommend Le Pietri. The restaurant is magnificent. Everything was great. I just wish that Le Pietri had a swimming pool. Rabat is a great city with friendly people and very coloured. See you soon again!,Le_Pietri_Urban_Hotel,Rabat
 May 2017,4,"Comfortable, clean, cool","We stayed at the Le Pietri for two nights. Our room was on the fourth floor facing the street. Very quiet room even with music going on in the bistro downstairs. The queensize bed was comfortable. The bathroom clean and well furnished. Free WiFi was speedy enough. Over 20 of us arrived as a group and were very efficiently checked in. The second floor courtyard is a pleasant spot to enjoy a cold beer or a glass of wine on a hot afternoon, or evening.",Le_Pietri_Urban_Hotel,Rabat
 May 2017,5,The best staff,"The staff was very helpful and charming, answered all my questions and helped me arrange for cabs in the kindest manner. Strongly recommend this hotel. Other than that, the breakfast was light and tasty.",Le_Pietri_Urban_Hotel,Rabat
 April 2017,5,A great stay,"Having lived in Rabat for over three years and visited the restaurant at Pietri in the past it was an obvious choice for a 5 night stay. Central, near the Gare de Ville and tram line. We were not disappointed. Lovely clean, quiet room, great, helpful staff. We knew the restaurant was good, again the staff were excellent. Les sessions Pietri are worth attending. Breakfast was simple but good. Great venue for other cafes, restaurants, Oudayas, casbah, Chellah, the medina and all the other touristy stuff. Free an good WIFI. Just loved it. Thought we would and we were not disappointed.",Le_Pietri_Urban_Hotel,Rabat
 April 2017,5,best Hotel in Morroco,"This Hotel located near train and tram station so easy access to sight seeing area. The room is wide and clean we could stay comfortably. the bathroom and bathtub is wide, so could enjoy relax time. Stuffs were very kind to us. Nothing complain.",Le_Pietri_Urban_Hotel,Rabat
 March 2017,4,Spring trip to Morocco,"I found the hotel to be good value, clean and with good service. It is conveniently close to the station which was an added bonus as I was travelling by train, and I enjoyed the restaurant listening live jazz.",Le_Pietri_Urban_Hotel,Rabat
 March 2017,5,Impeccable oasis of calm and comfort,"I have stayed at Le Pietri many times in the past six years and every time it is a pleasure to return and be welcomed by the lovely staff and relaxing atmosphere in this oasis of calm in the heart of Rabat. There is no other place where I could imagine staying while on my visits to the city. The service, room and restaurant are all impeccable each time! I highly recommend the Pietri to anyone traveling for either business of pleasure.",Le_Pietri_Urban_Hotel,Rabat
 March 2017,5,Great location,"Wonderful location. Close to the museum and the train station and also close to the medina, Central location. Just a few blocks from the train station, the room was a bit small but well equipped. Nice shower, The restaurant has a lovely lounge and bar. Great atmosphere for n evening rest. Also very good breakfast selection,",Le_Pietri_Urban_Hotel,Rabat
 March 2017,4,A trendy place for a pleasant stop-over,"Nicely looked after, conveniently located just minutes away from Rabat-ville train station and just a 10-minute walk from the medina, this hotel does what it says and proved to be even nicer than expected. The room was certainly clean and quiet. It is situated right at the heart of the ville nouvelle, modern part of Rabat and close enough to most points of interest. One of the perks is that one of the trendiest bars in town, Le Bistrot du Pietri, is actually part of the hotel! Live music on Fridays and Saturdays which is mostly jazz oriented and the place does boast that typical jazz bar atmosphere for those who are used to it; hopefully you'll know what I mean! All in all, a positive experience and a value for money hotel. However if you're after a more typical Moroccan host…",Le_Pietri_Urban_Hotel,Rabat
 February 2017,3,One night in Rabat,Hotel was very new. Room was small but clean. We liked the wooden floor. Located in a small road near the train station. Souks and shops nearby. Not advisable to travel by road because of heavy traffic everywhere!,Le_Pietri_Urban_Hotel,Rabat
 February 2017,5,Excellent Hotel,"Excellent Hotel - very friendly staff - good menue - multilingual staff (german, french, english, arabic) - clean rooms - nice ambiente. Near the Market of Rabat - only 5 minutes away by walk. moneychange-offices are nearby the hotel",Le_Pietri_Urban_Hotel,Rabat
 January 2017,4,Excellent Hotel,"This is a Value for Money hotel, I had a very good experience during my stay. I had a very fast and easy Checkin with very professional front desk staff member. Rooms size is good comfortable bed and pillow. Clean rooms and good cleaning service. Check out is also nice and fast. Hotel location is very good and it's a walkin distance to a lot of shops and food places. The only thing is breakfast has very small variety and not a lot of things on the table. It's a highly recommended hotel",Le_Pietri_Urban_Hotel,Rabat
 January 2017,4,Very Enjoyable Stay,"My sister and I stayed at Le Petri Urban Hotel for two nights in January. One of the great advantages of this hotel is that it is ideally situated. It is an easy 10 minute walk from the main train station and also the tram. Additionally, there is a lovely Contemporary Art Museum two minutes from the hotel. We took a taxi to the Kasbah, Medina and Chellah, but were able to walk back to the hotel after our visits. When we arrived at the hotel we were offered an upgrade to a suite, as our rooms were on a lower floor and there was going to be a private party in the Jazz Club that evening. We appreciated the offer! The room was clean, spacious and very comfortable. The staff are very pleasant and were helpful in answering our questions and providing information. The breakfast was…",Le_Pietri_Urban_Hotel,Rabat
 December 2016,4,Thank you veru much !,"Thank you very much for everything, you are doing great. The room was very nice and also the bathroom. The restaurant where we had breakfast is even nicer and the staff is kind and organised. I would recommend this hotel to friends & family, and I look forward to go again!",Le_Pietri_Urban_Hotel,Rabat
 December 2016,4,Good Hotel with a good Restaurant,"Our experience at Le Pietri is positive. We enjoyed the bar-restaurant a lot. The staff is helpful, the room was clean and comfortable. Just two little negative things: the shower didn't work, so we had a bath; breakfast was good, but not the bread, it was old and tough.",Le_Pietri_Urban_Hotel,Rabat
 December 2016,4,My Stay at LaPietri,"I would say it was a pretty good experience to stay at LaPietri ... Staff was very cordial, in particular Mr. Hamza who made a huge difference right from the bookings till the moment I left. The guy in the restaurant was also impressive and very cooperative. The restaurant at the dinner time was too crowded, however, the food was excellent. In sum, I enjoyed my stay at LaPietri and I would be happy to recommend it to my friends and whosoever is intending to visit Rabat. I wish all the best to the management and associated team.",Le_Pietri_Urban_Hotel,Rabat
 November 2016,3,Week-end in Rabat center....,Everything's was ok!!!! The bistro' it's a very nice place!!!!clean Romaand kind people!!!!near the center... And the breakfast was simply but good!!!!!the restaurant too very good!!!!i hope to retourn here soon!!!!!',Le_Pietri_Urban_Hotel,Rabat
 December 2016,4,Solid choice,"All the basics done right: easy check-in, clean room, great bed, good bathroom, hot water, good breakfast, helpful luggage storage..... No major complaints. There was a slight off smell in the room that we didn't bother calling about. We had to call for a second set of towels. The 1st Fl (2nd Fl in USA) room could here the music from the Bistro/club downstairs until it closed at midnight. You may want to ask for a room on a higher floor if you go to bed early. For us the music was not an issue as we had a great time in the Bistro. We had looked for dinner in the medina and were not impressed. We came back and we're surprised to find the Bistro crowded. We drank wine at the bar until a table was available. The food (international/Moroccan) was very good and the live band…",Le_Pietri_Urban_Hotel,Rabat
