 December 2022,5,Warm and welcoming - Reflective of the great Moroccan culture! Highly recommended.,"Abdallah (hotel manager), Hamdi, Yassine and the entire Hyatt team at Casablanca made us feel like coming back home after long hours of travel. This is my 5-6th stay with the Casablanca Hyatt over 15 years and I cannot recommend it higher. They took care of everything!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,hotelName,city
 August 2022,5,Five star hotel with excellent friendly service. Highest recommendation!,"The Hyatt Casablanca is located in a perfect spot close to the Medina and Art Deco area. The hotel is elegant and sophisticated inside, as well as spotless. Welcome on arrival by the extremely helpful Abdellah the guest relations manager and that special touch continued throughout the stay. Room service food was excellent with polished service. Seddik in the lounge is a true gem, attentive and thoughtful, as you are in his 'house'. Was lucky enough to be in one of the best duplex suites I have stayed in with modern tasteful decor and very comfortable bed, sofa etc. Beautiful pool with excellent service and a relaxed vibe. One of the best Hyatts I have stayed at and up there with the best hotels. It should really be branded a Grand or Park Hyatt. Highly recommended.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2022,5,Excellent Experience,"The hotel is beautiful with an amazing staff, welcoming and always available to nicely assist you. One of the best hotel breakfast experience so far! While staying there you must assist to one of the Moroccan night diners they offer!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2022,2,The worst hotel I ever stayed at,"The hotel is so old, literally old door knobs are falling, door frame is broken. The hotel is managed by a person who doesn’t care about anything but their salary it’s so obvious. I will never stay in this hotel again. Door is broken Old furniture and torn Stinky Smelly towels with spots of dirt or something nasty. Carpet cigarette burns are everywhere Torn furniture is so visible Even the ice for soft drinks is dirty not clear 🤢 I’m so worried about my safety in this hotel after writing this review. When you enter the hotel you feel you are in the right place, but afterwards you will feel the old and worn out hotel. My advice to anyone is to try the hotel for a day or two and then decide if you will stay for the whole trip. I paid in advance for 5 days and I regret it.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2022,5,family vacation stay,Very helpful and welcoming staff. Room service was amazingly fast. In room food was great and so was the food and service in the on-site restaurant. I would stay there again if I am in Casablanca again.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2022,5,Smiling faces always around to you for Help,"Great Team , excellent support . Lobby Bar team & Bfast team GREAT X GREAT ! I loved their smiling faces. Try olives both bfast & bar lobby. Rich food taste and very clean service . I will stay again in this lovely Hotel.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2022,5,5 stars all around - relaxing oasis in the centre of Casablanca,Wonderful staff & service. Great location to walk to lots of things in Casablanca and we felt safe walking around this area as two women (also nice the hotel is gated and have staff on 24/7). They will also call you taxis if you want to go to the mosque or airport etc. Rooms were heavenly with big fluffy bath towels & robes. Separate toilet to bathroom and big bath tub to soak in. We had a higher level room with view of the mosque that was stunning. Pool is huge and was pretty quiet even though we went on a weekend. For $300 AUD a night it was expensive for Morocco but we felt we got our moneys worth as it is a 5 star hotel and lived up to it!,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2022,5,Amazing hotel with outstanding and professional staff,"This is a top notch Hyatt Regency hotel. We stayed there couple weeks ago. It is centrally and very conveniently located near the port central train station, old town, central market and tram station in Casablanca. What impressed us the most, was the high standards of the hotel in every aspect and the professional and the so well trained staff at every level. The pool, lobby restaurant, Dar al Beida restaurant with great food and evening music and dance entertainments, the regency club and its staff were all exceptional, and so was everyone at the front desk, and really every one at the hotel. We felt very special and the staff treated guests and welcomed all so well. The facilities are so clean and well maintained from lobby to rooms, outdoor and indoor spaces. Many thanks to…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2022,4,Most central & comfortable,"The location of this hotel is the best. It is within walking distance of all the places, and most of the city restaurants. Rooms are comfortable and spacious, and toilets well planned and stocked. The resident lounge is very comfortable for the evenings, and service is very good. Would highly recommend it.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2022,1,I don’t recommend anyone to go to that Hotel,The front desk unprofessional They delayed our entrance for more than 1/2 hour although we came after 2pm The pool was closed almost all my 6 nights stay The room is designed in a very uncomfortable way,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2022,2,Do not stay here if there is a conference on,"The staff at this hotel simply can't handle leisure guests and conferencing at the same time, so call in advance and make sure there's no conference on the dates you're looking at booking. On the second day of our two-day stay, we found the doors out to pool locked shut. A cleaner nearby told us it was because of the conference having lunch... but it was 3pm. On enquiring at reception, we were told the pool was open. After some baffled phone calls, the manager eventually told us that they had sent someone to unlock the pool for us. Unfortunately, we were met with a wall of conference delegates, and various barricades of benches and shelving arranged to block access to the pool and loungers. Upon negotiating those, we were offered menus by a lost-looking pool attendant. He…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2022,5,Egyptian Express Group,We brought our 2nd group to stay at the Hyatt Regency Casablanca for a 2 night stay. Our accommodations were lovely and the breakfast very delicious. Only disadvantage was that a check in fir our 7 rooms took more than an hour although we arrived to the hotel at 3pm.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2022,5,near perfection!,"Everything was great from start to finish... truly a 5-star world-class operation. Espcially Hamdi concierge, Leila front desk and club room, Sekked club room - each of them couldn't do enough to assist me in every way requested. Certainly I will return! [security also top notch and professional]",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2022,5,A great hotel in a great location,"A great hotel in a great location, opposite the medina and half hours walk to the mosque. We paid a modest amount extra for a club room that gave us access to the club lounge where we were looked after by very well by a very attentive gentleman in the evening and the wonderful Leila at breakfast.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2022,5,An oasis of calm in a busy city centre,Wonderful hotel Right balance of service from the moment you walk through the door Main restaurant has limited choice but excellent food and fabulous outdoor space. Serves alcohol even during Ramadan. Breakfast fabulous and able to cater for dairy free diet Great gym,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2022,5,"Wonderful Hotel, Superb Concierge","The location of this hotel is absolutely ideal. It is right in the center of the city and walking to nearby attractions is easy. I will note that the surrounding area can get a little weird at night, so keep your wits about. The concierge service is ideal, we were able to covid test for return to USA easily. Concierge helped with that process immensely and we did not even have to leave hotel. Concierge brought a nurse in to do it. Excellent service! Breakfast was very good, but a little underwhelming. It's a simple breakfast with not many options. But, what is available is really good. Finally, the rooms were some of the best I saw in Morocco. Very comfortable and clean.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2022,5,Excellence all round!,"I stayed in a junior suite and had an amazing view over the souk across to the mosque, exactly like in the advertising photo. The room is huge & well appointed, with a bath tub, coffee machine, big tv, iron & board, hairdryer etc. The welcome was friendly & warm, including welcome tea and a little later a plate of biscuits delivered to the room. My Covid test was easily arranged for my flight back a few days after. I forgot about the drinks in the lounge area 6pm to 8pm, oh well I missed out because my memory is failing me these days. The hotel is elegant and beautiful. Unfortunately for me the pool was closed, I did have plans to lounge around the pool, but I was able to take some photos and it’s a lovely area too. Across the road from the hotel are cafés and food outlets such…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2022,5,Amazing stay at the Hyatt!!,Loved this hotel. All the staff were amazing - so friendly and helpful. We booked a room with free breakfast and lounge access- Seddik in the lounge was so friendly and told us all the good Hallam spots around town. I can’t wait to come back and spend a longer time.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2022,1,Incompétent propre,"Arrive at 23h with 2.children’s , room not ready even if I send 3 emails prior coming , bad incompetent people , had to wait, had people in the room to bring extra bed, all children want to sleep but was impossible, nobody is running this hotel, no answer to my complain to the hotel , very bad",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2021,4,Positive end to vacation,"My husband and I stayed here for two nights at the end of our Moroccan vacation. The hotel is in a convenient location that is easily reached by public transit. It's a large property with a grand lobby and staff who are generally helpful. Our room was large and comfortable, with lots of nice touches, but was a bit worn and in need of some minor repairs. Special thanks to the Concierge, who helped us secure onsite COVID testing and enlisted a courier to get our paper test results when there was an issue with email delivery.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2021,5,Fantastic location and extraordinary customer service,Yassine one of the concierge was extremely great in helping us in obtaining PCR tests to return back to US. The hotel was close to many places of interest and a must if you are going to the mosque nearby.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2021,5,Thank you Yassine!!!!,"It is very nice hotel. But more than that we want to mention that they have wonderful staff, Yassine!!! We really want to thank Yassine for all the help he has done while we stayed there!!! We arrived on the day when Morocco closed border to any outside country, which we didn't know anything about it. After we found out, Yassine helped out for us to find the way to go back home. Since the county was supposed to close for next 14 days, he found us for nearby apartment. Called all the train, ferry, airline for us to find out what can be done. Without his help, it could take us much longer to go back home if we could. For the hotel itself, it is very nice hotel. It has Cartier shop inside the hotel, so you can tell how nice and luxury the hotel is. they have compliment mint…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2021,2,"Not what I expected from a Hyatt,","This hotel is not what you expect from a Hyatt Regency. When we arrived to check in, we had to go looking for someone to help us unload our luggage from the rental car. We later found out the there is no valet and that you must park your own car. Once inside the hotel the gentleman checking us in asked if I wanted two rooms, since it is illegal for unmarried couple to share a room, even though I requested one room for my wife and myself. The lobby of the hotel is nice, but once we arrived on the 5th floor the hallway was dark and looked like it was stuck in the 1950's. In the room there was a smell of cigarette, (even though I requested a non smoking room) and there was a cigarette burn on the carpet. The chair at the desk was covered in scratches a looked like it had not…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2021,2,Dated hotel,The hotel entrance and lobby are grand. The service is very good. Restaurant has a good dinner menu and the food was quite good. Rooms however are very dated and in poor condition. Bathroom is old as is the toilet. The minute I walked in the room I was quite surprised and disappointed. Didn’t feel like a Hyatt and was to expensive for what it was. There are much better options for less money in Casablanca.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2021,1,Worst Hyatt Experience!,"Worst Hyatt experience ever. I have stayed 200+ nights in Hyatts all over the world and this is by far the worst experience. After traveling all day, we arrived at 10pm at the hotel for a one night stay and we didn't get to our rooms until 11pm. As a Hyatt Globalist, I always get suite upgrades but the manager at this property Leprou Pascal refused to give us the suite upgrade. There were at least 7 suites available at the time of our check-in. My daughter slept in the lobby for 45 minutes because it took me so long to check-in. If you are traveling with family or expecting the same service as other Hyatts, DO NOT stay here!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
