 December 2022,5,Luxury in Town,"Such a treat!!! The hotel is beautiful - the interior courtyard where breakfast is served & the rooftop terrace in particular. You don't want to miss sunset on the roof. The service we had was top notch. The food was excellent. It is in a great location, too, so that you can walk to everything in the old Medina and the beach.",hotelName,city
 October 2021,5,Excellent location and service,"L heure bleue is in the Medina of Essaouira, the perfect location to explore on foot the Medina, the port ( not to be missed) and the remparts. The service is outstanding with the Director very attentive to details. The hotel is well kept and the rooms have great amenities. The spa was excellent and so was the restaurant, including breakfast. All in all an excellent experience.",L_Heure_Bleue_Palais,Essaouira
 May 2021,5,An Unforgettable Experience,"Essaouira. This is one of several locations typically included as a day trip on many Moroccan tours, in this instance from Marrakech. It is often offered along with other options, such attending a cooking school where you can learn to make typical Moroccan dishes, or a day of pampering at your hotel spa. I made the choice to stay in Essaouira because there is a Relais et Chateaux hotel there, L’Heure Bleue Palais, and so I knew this would be a special place. The hotel had been closed briefly and being at the end of Ramadan, the hotel was not yet re-opened, but when we inquired about the possibility of my staying with them, they more than graciously offered to open a day early to accommodate my stay, yet another clue that this experience was going to be exceptional. …",L_Heure_Bleue_Palais,Essaouira
 August 2021,5,Hidden gem,"Stayed overnight, very convenient location with easy car parking and straight out to medina. Within seconds you are in the “jungle” and within seconds you are in an “oasis”. Hotel has great facilities which we enjoyed like a cigar room with piano, rooftop bar with a pool & sunbath area, riad type patio and even fireplace inside your rooms. Service was also amazing. Will come again",L_Heure_Bleue_Palais,Essaouira
 August 2021,5,Character filled,"A wonderful choice to stay in Essaouira. Easy access with a guarded parking lot just outside the hotel. Well appointed rooms and public spaces, sort of an old English colonial look and feel. I will say that the heated pool is still a little cool for American tastes.",L_Heure_Bleue_Palais,Essaouira
 August 2021,5,Top Notch Service in Essaouria!,"I spent 2 nights at Huere Bleue Palais towards the end of my trip to Morocco. The hotel is beautifully appointed and they truly thought about everything one might need in a hotel room. They even did a nightly turndown service as well as a departure gift (bottled water and some of their homemade cookies!). The service here was impeccable. Naima answered all of my questions and even helped me get a PCR Covid test (for my return to the states). She was friendly and informative! I had sprained my ankle the day before arriving there, and when I asked for ice for it, within minutes they were at my door with ice in a vacuum sealed bag - perfect for what I needed. I had dinner there my first night, and it was absolutely incredible. They started me off with an amuse bouche of a melon…",L_Heure_Bleue_Palais,Essaouira
 August 2021,5,Great experience,"I was in Essaouira twenty years ago. The city has changed and developed a lot. Its becoming more and more crowded. This hotel was an incredible finding. Inside the gates of the castle L´heure Bleu is a great choice for someone that values a little bit of peace and “luxury” after the outside experiences. The rooms are not big and have the issues of any rooms in a converted building. But service is impeccable, the front desk was incredible delivering everything in a short time and all the amenities are premium. Being there make sure you have the time to look at both main rooms in the ground floor. They are incredible craftmanship masterpieces. By the way, the hotel restaurant was the best restaurant we went during our stay in Essaouira. A great surprise.",L_Heure_Bleue_Palais,Essaouira
 July 2021,5,Best place to end our trip in Morocco!,"We felt so fortunate to spend the last three nights of our summer adventure in Morocco at this hotel. The two suites could not have been more perfect for our family of six to fully immerse ourselves in the gorgeous, easy-going vibe of the medina in Essaouira. The hotel staff were always gracious and accommodating, and we particularly loved the design and decor of this hotel since they manage to keep so many of the details from prior periods alive like the lovely tinted windows with single pane window shutters. Would highly recommend a stay at this hotel and city if possible!",L_Heure_Bleue_Palais,Essaouira
 March 2020,5,Best staff ever....,"The staff really makes a difference. From the moment we walked in, through the tour of the property, to the excellent restaurant and courtyard dining, to remarkably fast room service, to the comfortable and quiet rooms, the cherry on top of our wonderful stay here was the staff and the friendly, accommodating people who work here. My room was comfortable and quiet with nice appointments. You might hear some street sounds during the busy day, but my room was very quiet at night and I slept without any interrruptions. Everything I ate was absolutely delicious and served with expert hospitality. There is no doubt this will be my home away from home when I'm in Essa.",L_Heure_Bleue_Palais,Essaouira
 February 2020,5,"Great Location, Large Rooms","This is a very nice hotel just inside the Medina walls. The location is great and the rooms are large and well appointed. There is a lounge and there is cocktail service, though I would recommend ordering simple drinks or something from their specialty cocktail list. Breakfast is served in the central courtyard, heaters available if you need them. The staff were very friendly and helpful.",L_Heure_Bleue_Palais,Essaouira
 February 2020,5,Great value for old school elegance & service,"The location, immediately inside the Bab al Marrakech, is extremely convenient -- allowing ready access for walking out into the Medina, to the beach and the city. Our room was lovely and elegant but with modern conveniences. Best of all, however, was the quality of the service from the hotel staff. We enjoyed an exquisite, private couple's hammam and massage. And, when I phoned the concierge from the middle of the Medina, seeking a last minute restaurant recommendation for lunch, she was unfazed and quickly provided advice and clear directions for a couple of nearby alternatives. Having L'Heure Bleu as our sanctuary made the whole experience of Essaouira wonderful.",L_Heure_Bleue_Palais,Essaouira
 February 2020,5,On 4th visit,"Near perfect room, service and restaurant. Breakfasts on the courtyard an embarrassment of variety. Heaters provided it being February. Staff exceeding polite and multi-lingual. Excellent selection of quality local wines.",L_Heure_Bleue_Palais,Essaouira
 December 2019,5,Perfect,"Wonderful location inside the Medina. Room spacious and roof top area would be a great place to hang out in the warmer months. Loved the atrium breakfast area. Very personal and private. Don’t get up early though, they turned the lights on for us at 8 am one morning. Loved the casual top class feel of this hotel.",L_Heure_Bleue_Palais,Essaouira
 January 2020,5,"Unique, calm hotel located right in the Medina.",This hotel is perfectly located right by Bab Marrakech gate into the Medina. You step off the crowded streets and into an oasis of calm. This hotel has got a lot of character and immediately makes you feel at home and relaxed. The best part is the roof top with a heated pool and amazing views over the medina and out to sea. The rooms all have a lot of character and history about them and overall it was a great stay. I would recommend to anyone visiting Essaouira.,L_Heure_Bleue_Palais,Essaouira
 January 2020,5,Great visit,Everyone at L'Heure Bleue went out of their way to be sure our stay was excellent. The room was spotless and spacious. The breakfasts were delicious and generous. Everyone at the front desk was helpful and kind. I would highly recommend this riad/hotel and would definitely stay here again. Thank you all for a great visit.,L_Heure_Bleue_Palais,Essaouira
 January 2020,3,Spa Treatment,"Average quality of service, hammam wasn’t the real “discovery”, the sauna room was bautiful and warm but the scrub was very fast and the room where I have been scrubbed felt cold after the steam room. The massage therapist didn’t seem to be experienced as her touch and technique felt a bit mechanical and anxious, massage room is so small that she kept bumping on the table. Overall nice as I ended up clean and relaxed enough but not up the the expectations, I had the same quality of services in more affordable places and this was supposed to feel like a treat but it didn’t 🤷🏻‍♀️",L_Heure_Bleue_Palais,Essaouira
 January 2020,5,Super relaxing time!,"My husband and I have spent three nights at this hotel, one of the best we have ever been at. The attention to detail, the hospitality, the relaxing atmosphere... all make for the perfect stay. After a few days in busy Marrakech and a long trip to the desert, staying at HB was like arriving at an oasis for us. The rooms are very comfy (we had the deluxe room) and breakfast is just amazing. Thank you to all the team at the hotel for your efforts!!!",L_Heure_Bleue_Palais,Essaouira
 December 2019,4,Holiday Trip,"Great location, delicious breakfast, wonderful rooftop view with pool! It's definitely one of the nicest in the town, but our room was small. Curious to see about the larger suites! Otherwise, it was a great spot for our trip.",L_Heure_Bleue_Palais,Essaouira
 October 2019,4,Charming Small Hotel in the Old Town,We spent two nights at this charming hotel with a lovely rooftop pool and bar. The classic rooms are small but nicely decorated. The excellent hotel restaurant is around an interior garden. The bar is nice and they have a piano player at night. The location is close to the beach and the old market. The hotel is pretty and convenient. I would highly recommend this hotel.,L_Heure_Bleue_Palais,Essaouira
 November 2019,5,Beautiful Oasis on the edge of the bustling Medina.,"We stayed here for 5 nights. We have enjoyed every minute of our stay. It is on the edge of the Medina opposite the car park, we drove from Marrakech. You can walk everywhere. Essaouira is a lovely place. The hotel is so full of atmosphere, we thought very well kept due to its age. Staff were helpful & always smiling. Breakfasts were fabulous, so much choice. Pool has luxurious towels. New Wi-fi has been installed whilst we were here and is fast! Agree with the fine dining- just not our ‘cup of tea’. We ate in the Medina for lunch & had a snack from room service in the evening. Our room over looked the walls & was great. Really enjoyed our stay.",L_Heure_Bleue_Palais,Essaouira
 November 2019,4,Interesting stay,"My husband and I had three nights here at the end of our travels in Morocco. It was definitely more posh than we needed with fancy people sitting around sipping cognac and smoking cigarettes in the courtyard like they were in an old film in Casablanca, but it was fun to watch! They have all the great comforts you'd expect for the price - rooms are fully supplied with endless coffee and water and snacks, slippers, robes, lovely bath products. We were so cold during our stay we had multiple baths in the large tub. They returned our laundry much quicker than we expected on our fist day which was a nice surprise. The food wasn't the best we'd experienced while in Morocco but still lovely. The setting in the courtyard for dinner was more spectacular than the food. Thoroughly enjoyed…",L_Heure_Bleue_Palais,Essaouira
 November 2019,5,Stunning hotel in the medina!,"A friend and I stayed at L’Heure Bleue for three nights in November and loved it, the hotel feels like a palatial embassy with dark wooden cosy rooms that are a haven from the windy beach in Essaouira, the courtyard is just beautiful and a perfect place to have breakfast (grab a heater if you’re there in winter!). The rooftop pool has lovely views and is a quiet spot for lunch or a cocktail, even in the wind they have some covered alcoves. Our room was huge and even had a lovely window seat over looking the courtyard with original (I assume!) wooden screens and little glass windows. Our bathroom was fit for a king with big double sinks, a bath, separate shower and separate toilet room. The staff were so helpful and friendly, they knew who we were from day one and were happy to…",L_Heure_Bleue_Palais,Essaouira
 November 2019,3,Falls short compared to other experiences in Morocco.,"The rooms are okay and the hotel is well located but it was the only place we stayed where the service was sub-par. We requested water several times, called more than 2 times about coffee machine not working. No one wrote anything down so I am sure they forgot. The hotel seemed more than 1/2 empty and the front desk had no ideas about dinner suggestions. All that said, the staff was very friendly and welcoming. Not sure whether it would be better in summer. All and all this was not my favorite city.",L_Heure_Bleue_Palais,Essaouira
 November 2019,3,Nice hotel,"Essaouira is a very nice city by the ocean , we choose to stay in this hotel because of the location, it is well designed and near the old souq , rooms are spacious, specially those looking the road . The only thing we didn’t like about the rooms that they have bad smell , they tried to spray them with some perfumes but that didn’t work well . Breakfast is very limited.",L_Heure_Bleue_Palais,Essaouira
 October 2019,4,Lovely place in need of TLC,The staff and courtyard are lovely. The pool which was supposed to be open until 6. The cushions were taken away at 4::45. The towels in the pool area and for the beach need an upgrade. But the one glaring issue especially for a Relais property is the inability to control the air conditioning. There is essentially none. While the building is old perhaps it is time to figure out an improvement to this.,L_Heure_Bleue_Palais,Essaouira
 October 2019,5,The best located hotel in Essaouira,"It may not be PC to refer to Europe’s colonial past but walking into this beautiful hotel one cannot help but feel transported to that era. With its colonnades, courtyard garden and English bar complete with wood panelled walls and leather arm chairs it’s an experience worth travelling to Essaouira for. The hotel is in a perfect location within the Médina but right by the wall so easy to access and quiet but within walking distance of the souk and restaurants. If you are coming here from within Morocco I can recommend the super efficient air conditioned state coach company- Supratours. The stop is a 2 minute walk from the hotel and you don’t need a porter with “un chariot” but beware there will be a fight over you when you step off the coach. A firm “Non merci” will suffice. …",L_Heure_Bleue_Palais,Essaouira
 September 2019,1,Needs an update,"As mentioned by many others, the courtyard is beautiful and location is good. But the room we stayed in, was quite outdated. Scratches everywhere, the rug was shredding in pieces. And the AC thermostat was a joke, you could not select a temperature. Need more light inside the room. We had a deluxe twin room. However, the beds were extremely small, if you were turning on your side, you will fall off the bed. Zero view whatsoever, we were lucky to have an outdoor window, but you could only see the parking lot (disappointing). Breakfast was by far the worst we had in our entire 14 day tour.",L_Heure_Bleue_Palais,Essaouira
 September 2019,4,Outstanding Riad.,"The inner courtyard of this beautiful Riad is extraordinarily attractive, with a multitude of plants. Diners eat their breakfasts in this courtyard in this setting. Breakfast is buffet, but orders for hot items can be placed. although our room was attractive, its location allowed us to hear people outside in the Medina or piano playing in the lobby which is why 5 star is not awarded. An upgraded room is recommended to assure quiet. It is, though, a highly attractive Riad in a great location.",L_Heure_Bleue_Palais,Essaouira
 September 2019,5,Superb,"Service, location, food was fantastic. All personnel at hotel were incredible. The location in the medina could not be beat. The staff anticipated our needs & went out of their way to make sure everything was perfect.",L_Heure_Bleue_Palais,Essaouira
 August 2019,5,Excellent experience in a traditional palace,"Magnificent palace full of history and charme. The culinary experience made the real difference, with a delicious mix of local ingredients, innovative cuisine by the Moroccan chef and an excellent service. We enjoyed very much our stay even if the room is very noisy on top of the kitchen and too close to the laundry. The rooftop terrace is very nice too, the personnel is extremely gentle and the food, again, worth the visit. The pool is small but pleasant. The room service is a bit rough, and we had to ask for a better service. The weather during our visit was very windy and spoiled a bit our experience. The music in the evening was very pleasant, too. We suggest a better acoustic for improving the room comfort. Overall an excellent experience, we will be back!",L_Heure_Bleue_Palais,Essaouira
 July 2019,1,Overpriced and dated with poor service,"We stayed for two nights. The hotel is very dated and needs a complete overhaul. The rooms are dark and the only thing in the mini bar was two small bottles of water. The bar on the roof is supposed to close at 6pm (not sure why as most in the city open late) but when we went up there with friends around 5.45pm the waiter told us his shift was finished and made it clear he didn’t want to serve us. All the cushions for the benches, chairs etc were all put away already and so we ended up dragging them out and setting up the table ourselves. The lunch we had up there on the day we arrived was bland and my boyfriend’s had to be sent back as he is allergic to egg and his burger for some reason arrived with slices of egg in it. The waiter wasn’t happy when we explained this but he did…",L_Heure_Bleue_Palais,Essaouira
 July 2019,5,"Best hotel in the city - luxury, service, location - everything!","Bottom line: fantastic luxury right inside Essaouria medina. Delightful, luxurious, great service. Enthusiastic recommendation! Here is more detail. Our travel group consisted of a total of two families, each with two parents and two kids. The kids were aged 13 and 11. We were on a two week trip through Morocco. We are seasoned travelers and have stayed in a wide range of accommodations. We eagerly wanted to stay inside the medina in Essaouria. From our research, this seemed like the ""must stay"" hotel. It deserves the title! The location is superb. Right inside the old medina walls, easy walking throughout the entire medina, about a 7 minute walk to the nearest beach. We found Essaouria to be a delightful town. Hours of interesting walking, good restaurants, shopping…",L_Heure_Bleue_Palais,Essaouira
 July 2019,5,Heaven!,"I booked two nights here seeking tranquility and a bit of pampering after a 12 day tour of Morocco. From a gracious welcome in the beautiful courtyard to a well appointed and quiet room with all the amenities to the gem of a spa, L’Heure Bleue exceeded my every expectation. The staff went above and beyond assisting with tours and confirmations for my onward travel. Advance emails to the spa resulted in very helpful advice about scheduling treatments in the evening. The breakfast buffet features something for every possible taste and the pastries were a delight. Finally, the roof top pool was a perfect place to relax after touring. Do treat yourself to lunch there!",L_Heure_Bleue_Palais,Essaouira
 July 2019,5,A great hotel,"From the outside doesn’t look nice, so I was worried but once in, everything is beautiful, the gardens and rooms are great, service is superb and the swimming pool on the rooftop has spectacular view of the city. Recommended!",L_Heure_Bleue_Palais,Essaouira
 July 2019,5,The hotel that sets the bar for elegance and charm,"My husband and I spent 2 nights here during our travels in Morocco....our only regret was not being able to stay longer. It was so perfect in every way. The rooms were gorgeous and very clean, the location was excellent and just a short walk from the beach, and the staff was so helpful and classy. There were so many little touches in service that took the level from being great to being outstanding without being pretentious. I told my husband that this hotel is the hotel all other hotel employees should come to train and learn how to provide quality customer service. Their breakfast is superior to any other hotel breakfast we had in Morocco and their rooftop pool, deck and bar is the perfect, private escape from the bustle of the market. While we were there, the general…",L_Heure_Bleue_Palais,Essaouira
 April 2019,2,"Everything was ""Just Fine""","A Bit of a disappointment.to stay at L’Heure Bleu, which has a great location just inside the Medina but the property is overdue for an upgrade. The property still boasts a Relais & Chateaux badge but I have to say the place could use an update. The rooms were fine and the breakfast was fine and the bedding was fine and the pool area was fine and the internet was awful but the showers were great….so you decide based on your priorities. There are other newer hotel options located outside of the that I might decide to stay otherwise.",L_Heure_Bleue_Palais,Essaouira
 June 2019,5,An oasis!,"Stayed 2 nights on a road trip. Parking is free and just outside the walls. Welcome tea and cakes delicious. Room was very comfortable with phenomenal shower. The roof terrace has very comfortable sun loungers, and there’s a nice bar where you can offer food and drinks. We ate st the hotel restaurant 1 night, it was so so, probably because I didn’t really like much on the menu, but the atmosphere was nice and the service good. Also had a drink in the library which was pleasant. You can buy cigars there too if you wish. Breakfast was a delicious buffet with eggs and pancakes made to order. Great espresso.",L_Heure_Bleue_Palais,Essaouira
 June 2019,5,Excellent,"We first stayed in a well rated Riad in Essaouira and then decided to give us an upgrade. Absolutely clean and nice hotel, friendly staff and a breakfast under Palm trees. We checked the ratings before and I can honestly not understand how some folks were downrating this hotel. It's excellent and probably the best adress to stay in Essaouira",L_Heure_Bleue_Palais,Essaouira
 May 2019,5,Médina hotel of quality,"A small group of friends had a very enjoyable stay at this quality hotel just inside the Médina walls. The staff were very friendly and considerate of our needs at all times. A beautiful Riad style courtyard was a great place for breakfast with a nice range of local and international foods on offer. We had one dinner in the restaurant that was a mix of international and Moroccan food, while expensive by local standards, was of a high standard. Staff even put the dining room fire on which added to the atmosphere even though it wasn’t very cold. A very enjoyable stay for all of our party in a very conveniently located large Riad in the Médina that is easily accessible for arriving guests.",L_Heure_Bleue_Palais,Essaouira
 May 2019,5,1st Class Hotel,"We have visited l'Heure Bleue,Essaouira on two occasions and on both visits the service, hospitality and attention to detail was of the highest standard. The choice of food for buffet breakfast is very good (but be aware the courtyard can be quite cool so some warm clothing may prove to be useful).",L_Heure_Bleue_Palais,Essaouira
 May 2019,3,Charming but in need of an update,Full of character but in need of a bit of TLC especially in the bathroom and the pool terrace. Staff are friendly and helpful. Location is good if a little noisy at night. Breakfast average but dinner on the terrace was good ( can be a bit chilly - take a sweater!).,L_Heure_Bleue_Palais,Essaouira
 April 2019,5,A Moroccan Jewel,"This was by far our favorite hotel in Morocco, complemented by the fact that Essaouira is just such an excellent place to visit. From welcome to departure the staff treated us extremely well and our room, a junior suite, was outstanding. Located just inside one of the main entrances to the medina their restaurant is excellent and breakfast is served in an open atrium buffet style, which is outstanding. Book this hotel and you will not be disappointed.",L_Heure_Bleue_Palais,Essaouira
 May 2019,5,Weekend in Essoauria,Sweet hotel in the heart of the city. French Colonial with lovely public areas and a very nice breakfast. Suite Rooms were very comfy and nice bathrooms. A great rooftop pool area with very relaxed vibe and good food and wine. Staff were excellent.,L_Heure_Bleue_Palais,Essaouira
