 August 2022,4,Aug 31- Sep 1,"In a quiet location, this hotel was really good. was very comfortable on their bed and had a good night sleep, their AC was working very well. I had a complaint in the shower but they fixed it immediately so no harm, the staff were nice, I recommend it.",Hotel_Astrid-Casablanca_Casablanca_Settat,hotelName,city
 January 2014,4,Was Food for an Overnight Stay,"The room was simple but clean and comfortable. It was close to the market and the restaurant next door, considered onsite, was very good. We took a walk, however, we had to cut it short because it poured and we got drenched. Romantic nonetheless.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 July 2014,4,"Good place to stay, close to central and good price!","The hotel staff are friendly. The location is good and the room is clean. We stay here for 3 nights and we had a wonderful days here. The wifi is available on the ground floor but not in the room. Many restaurants,tea houses, grocery shops and others shops nearby and also fast food chain like Mc D, KFC and Pizza Hut. We went here during Ramadhan -fasting mounth and all restaurants are closed and only Mc D is available from 11 am. The hotel didnt provide food during fasting month , so pls take a note. Walkable to the medina too.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 September 2014,4,Good budget option,"I visited with my girlfriend and chose hotel astrid because it was the cheapest option we could find. Our room ended up being really nice, the wifi worked and the staff was very friendly. A great option for a low price.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 September 2014,4,"Affordable, good location","Clean and simple, perfect for our overnight stay. Great location right next to a fantastic restaurant al-mounia and the central city sights. Patchy free wifi available in the lobby. English speaking helpful staff.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2014,3,Average,"Our air-conditioning worked, our TV worked, our toilet and bathroom were a bit shabby but use-able. We used it as a stop over, not to hang out at or spend time at, and this is what i'd recommend it for.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 August 2014,2,Awful Hotel,"I don't know if it was because Casablanca is such an awful city but I was already well fed up before I even checked into this hotel. ""At least we can just sit in our room for the rest of the night and chill out until the morning"" exclaimed James, hoping to avoid having to spend any time in the city of Casablanca. I nodded and made my way to the room. The first issue we had to deal with was an influx of flies (at least 15) flying in a pack in the middle of the bedroom. This wasn't such a big issue as it allowed us to kill 30 - 45 minutes as we hunted down every fly and destroyed them. After that minor victory we realised that WI-FI didn't work in our room, conveniently it only worked on the first two floors and we were situated on the third floor. Not to worry - I'll just…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2014,4,Average,This hotel was average. The room was clean with an en-suit bathroom. However our window into our bedroom didn't lock but thankfully nothing was taken. There was no breakfast included in the room. I cannot comment on the location as I wasn’t in Casablanca long enough.,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2014,4,A good choice for those on a budget,"We stayed in Hotel Astrid for two nights in June 2014. The rooms were clean although a little drab, however for the price it was quite nice. The staff were friendly and helpful and the airport taxi pickup was a great service.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 April 2014,4,Good price/quality ratio!,"i've been there for one night because I had a stopover in Casablanca. The price is ok, the hotel is clean and it has all the primary services. I would recommend the hotel. The staff is really kind. The only thing I didn't like it was the area around the hotel during the night, I didn't feel confident, It doesn't look safe. Thank you!",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 January 2014,3,Simple and clean,This hotel is just simple and recommended if you stay there and not lounge inside your room or the hotel because you can’t do much inside and there isn’t much amenities to go with it. The rooms are clean and tidy though. Their restaurant was okay. Their interior though is outdated but they had friendly employees who would help you if you needed some guide around Morocco. It’s in the basic location of all the important places too which is a plus. The upside of it all is the price. They really affordable.,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 January 2014,2,Wouldn't stay again,"It doesn't take much to please me, but I really found our room quite unclean and dirty. I was quite uncomfortable here. It was also extremely noisy during the night and the morning. I was glad to have only stayed one night.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 December 2013,3,"Basic, clean, fine","We stayed here one night because our flight got in late and we couldn't take the train directly to Marrakesh. It was fine. Nothing too memorable either positive or negative. It was inexpensive, clean, and had everything we needed for one night. The shower was warm and had good pressure, but was apparently intended for a very short person. The decor was interestingly mismatched, kind of like my grandma decorated it or something. The cable wires were not hooked up and we had to get tape from the front desk to try to tape them together so that we could watch TV, which kind of worked. The person at the front desk spoke very minimal English, but enough to get by. We didn't have any problems with noise however. It was perfect for our needs for one night because we aren't…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 December 2013,3,Decent budget option in Casa,"I stayed here two different times in December, and have 2 slightly different impressions. The first time I stayed here, my room was on the back side of the hotel, and there was no street noise. The room was also very clean. The second time I stayed, my room was facing the street and was a little nosier. My room was also not quite as clean the second time around (hair in the bathroom, a random bar of soap on the floor in the room). Also, the first stay, the man at the front desk was moderately helpful with giving me information. The second time, the kid at the front desk didn’t understand much English and so I had a difficult time arranging a taxi to the airport with him. Both times, my room had a bathtub with a shower handle, but the handle was not mounted on the wall. I…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 November 2013,4,Good price/quality ratio,The hotel is very well located and you can visit the historic center on foot. The breakfast buffet is plentiful and its price justified because it avoids a big lunches. You can also pay for an underground parking which is useful if you got a car. The room could have a better soundproofing to cover the sounds of the cobbled street. The staff is great and makes sure that your stay in this hotel is comfortable. Good value for the services provided (we arrived at 11am and we got our room). We recommend it.,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 December 2013,5,Good and Bad,I recommend this hotel while staying in Casablanca. Good Elevator so you do not have to lug your luggage up the stairs. Hot water Bathtub Bidet Clean Very nice personal Safe English speaking Bad If you like showers the shower head is handheld.,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 October 2013,5,Wonderful experience in Casablanca....,"This hotel was just the sort of thing we were looking for for our stay in Casablanca-- a period hotel that was centrally located--we could walk to almost everything--was in good shape and was very reasonable. We loved the décor--very sort of 1930's and 40's--and gave us the sort of ambiance we wanted to have for this wonderful city. The rooms were clean and in very good shape and the breakfast was a compete treat. They also had free wifi and internet which we had access to without any trouble. We found places to eat and places to shop and just to look at, all within very very easy walking distance of the hotel. And the staff was always there and always helpful. We couldn't have asked for anything more.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 October 2013,4,Centrally located and still reasonable,"We arrived from the airport at 5.30am and after a flown-through night were offered for free a temporary room to stay. At 10am we could change into our reserved room, which was airy and fine, and nothing was charged additionally - even the many people at the reception smiled! The breakfast, which is to pay, was fine and was worth every dirham.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 September 2013,4,Cheap hotel in the midst of Casablanca,"We stayed at the Hotel Astrid for two nights during our trip to Morocco and had a lovely stay. Overall the hotel is average, no great amenities or anything but for the price, you can't go wrong! We spent approximately 700 dirhams ($85 Cdn) for two nights. We had hot water at any time and it was never lacking, the washroom was basic but spacious and clean. There were no noticeable issues, granted this is Morocco and standards are different from North America but things were clean and there weren't any questionable items visible. The staff were very friendly, despite language barriers they did try to provide assistance as best as possible. We only booked for one night but they were more than accommodating for us to stay an extra night. The location, while advertised on a quiet…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 August 2013,3,Nothing special,"Stayed here for a night, I wouldn't want to stay any longer. Very old fashioned hotel, decor ugly, A/C didn't work, bath absolutely tiny (not that I wanted to use it), the balcony was filthy. But, it was cheap and the bed was very comfortable. One other comment - we must have asked at least 15 taxis to take us to the hotel in the 24 hours we were in Casablanca - not one had heard of the hotel OR the road it is situated on. That probably says more about the incompetence of the city's taxi drivers, one of whom drove us around aimlessly for 40 minutes, promising we were nearly there - he had no idea where he was going and we ended up jumping out in the middle of town!",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2013,3,absolutely ok for a few days,"I've stayed here for 2 or 3 nights last months when visiting Casablanca and there is neither anything to rave about nor anything to complain: * clean * good location (central, but in a quiet street) * good breakfast * affordable (esp. for Casablanca standards) Next time I'm in Casablanca, I'll probably stay there again.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 July 2013,3,Great for a night,"We had a minor hiccup in our travels and had to quickly find lodging for one night in Casablanca. Hotel Astrid ended up being great for that. The price was reasonable, the location was good and seemed safe. The room and the bathroom were quite large with a lot of natural light. The cleanliness of the room left a bit to be desired though. The wifi worked only in the lobby, but it was quite fast. They had just put in an AC unit in our room, but it wasn't working yet as of July 7. The staff was very friendly and helpful. Their English was quite basic, but they did their best to accommodate our requests and questions.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 May 2013,4,Nice hotel in good location,This is a nice hotel at a reasonable price for a large city in Morocco. We stayed here two nights as we arrived in country. It's location is good for nearby restaurants and to see the sights in Casablanca. It is an easy walk from a tramway stop so I would recommend that unless you are traveling with a lot of luggage (we had backpacks).,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2013,4,Pleasant Stay,"We stayed for two nights and had an overall pleasant experience. The Wifi was a little spotty in the room but it worked great in the lobby. The hotel staff was very pleasant and stored our bags even after we checked out and ran to get some lunch. Rooms were very clean. I had originally booked a double bed but was given a twin (perhaps on account of the fact that my traveling companion and I are not married?) but we didn't mind and overall had a very pleasant experience. This hotel might be a little rougher for light sleepers, as the street outside is kind of noisy at night and the windows don't shut perfectly tight.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 March 2013,3,"good service and location, clean rooms to a fair price","The hotel can arrange a pick-up service from the hotel that is very good, especially if you land at night and you want to avoid to be annoyed by the people offering taxi, hotel and so on. THe room are clean and quite large. No international TV but free WiFi in the lobby. Breakfast is quite good with fresh made pancake and many different kind of jams. The are is quite and safe but not many restaurant around.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 December 2012,3,decent and cheap,"We stayed a couple of nights in December. The place is OK and the price is honest for Casablanca standards. Our room was sunny, with terrace. Some Moroccan decorations. The bathroom needed some reforms; hot water was leaking. Nevertheless breakfast was quite good (we tried many in Morocco) and included croissants! Two useful computers in the hall to check internet. Staff was kind (but not much communicative). One thing was very bad. Though our sheets looked laudered there were long standing stains. And the blankets smelled terribly of sweat (like never washed)!! Now, I really don't care about falling parts or style or missing commodities but SMELLY BLANKETS ARE UNACCEPTABLE! That seriously ruined my sleep. If they fix that you could think of choosing this place.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 January 2013,3,A clean little hotel,"The staf at this little hotel are friendly and adept in several languages. We only had to ask and something was done ASAP. There was a problem with the plumbing in our first room (106). The waste water pipes for the sink and the bidet leaked. At first we thought it was us just splashing around too much ,but we proved that it was the pipework later in the week by filling a sink full of water and letting it drain away (we usually carry a universal plug, as the are often not supplied) water everywhere from the back of the sink. When we told the management they moved us to another room (202). Same problems with the plumbiing, The wash hand basin was cracked and the toilet cubicle had a distinct smell of propane gas at night. Another day another room. 104 this time, plumbing…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 November 2012,3,Ok for a stop over.,"This hotel is alright, but nothing special. The plus points are its location and its price. Also, the rooms are spacious and the bathroom is of good quality. The negative ones are that i found the staff unfriendly (in fact it was like they were doing me a favour for staying, not that i was a paying guest) and not really that helpful? Might have been a bad 24 hours for them, but i would expect more and got it everywhere else in Morocco? The hotel is the noisest one i have ever stayed in with banging and comotion all night and i wore ear plugs and could still hear a constant banging? I would stay here again as an overnight if i couldnt find anything of the same value, but only for a 1 night stay.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2012,4,"Decent pace, nothing phenomenal","They arrange for airport pick ups, however you have to pay, almost 250 dh. Its a basic hotel offering you comfortable beds. The location is fine, and its not very tough to get taxis all day long. This hotel is value for money. The only problem is in some rooms the Bath tubs are very high and its humanly impossible for shorter or older people to cross over in to the bath tub... plus they dont offer Breakfast!",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 May 2012,3,good value for money but no A/C,"We were visiting in May and stayed here for two nights. Definitely good value for money hotel with basic amenities. I would rate it as a 2* hotel. Good location as well as everything is walking distance with some good restaurants nearby. It had a pretty good wi-fi connection in the lobby as well. One of the major downfalls is that there was no A/C in our room and we were visiting in the summer time. Just if they work on their A/C issue, it would be a great place to stay!",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 August 2012,3,Wasn't anything special,"Hotel Astrid was alright. I wish there was air conditioning in our room as it got a little bit muggy during the day. We had a window and a little balcony though so we were able to create a small draft by opening both of them. There wasn't a whole lot around the hotel to do and at times it was hard finding transportation to places that were further away. The breakfast was pretty average, the rooms were clean. It was pretty cheap though so overall a good value for the money we paid.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2012,2,Simple and cheaply decorated,"Stayed here for 2 nights. Reserved because it is in the Lonely Planet guide and to be honest the Lonely Planet description is very generous. I think we had one of the more basic rooms in this hotel. Very old fashioned and ugly decoration (old faded florals), the bed spread looked very old and worn. We had a little balcony with a two cracked window and badly maintained balcony. The bathroom very cheap (plastic shelf over the sink) and a VERY OLD shower curtain in desperate need of replacing (mould and ripped at the bottom)! Nothing included in the bathroom (no soap). The tv was modern though and the bed was comfortable. This hotel is need of a renovation and a little tlc. The reception staff efficient but not overly friendly. BTW this hotel is located right next to a 'dodgy…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 January 2012,4,Fairly cheap and central good for all occasions,In a quiet but central area of Casablanca. Hotel fairly cheap but clean and cozy. The staff is courteous and helpful. Near the hotel there is a great restaurant and several other fast food. Good for groups. WIFI available. The staff will arrange a service taxi to the airport which is about an hour from the hotel,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 November 2010,3,Decent and clean,"It is quite a decent hotel, located close to the city center. Rooms are not very spacious but clean and have comfortable beds. All of them have bathrooms and some of them have balconies. The have free internet access, which definetely is a bonus. Backpackers will find it a good option for staying for a night or two, while they visit Casablanca.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 March 2010,4,"Good budget hotel and best of all, clean!","Nothing fancy or new, but was very clean! The beds were fairly comfortable and the room was quiet. The staff wasn't overly friendly, just quiet and kept to themselves. The location was good, easy cab ride to the train station and a decent walk/short cab ride to the mosque.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 November 2009,2,Only if you're not fussy at all!,"I'm very much a budget traveller so never expect much from my hotel rooms but this place was......grubby. Walls, rugs, sheets, bathrom, everything, run down, shabby and mildewy. The bed was very lumpy and saggy too. Lots of crashing and banging from the rooms above. Additionally, the place was near impossible to find as no-one seemed to know the street it was on! The lobby gives a good impression and that, as well as the free internet terminal, is the best thing about the place. Other than that it's a depressing place to stay, dirty as rhe city that surrounds it.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
