 November 2019,5,Recommended!,"the room is very nice and clean, the staff very kind, the breakfast service is very good and abundant, with various typical specialties,the value for money is excellent, we hope to return soon. absolutely recommended!",Manzil_Hotel-Casablanca_Casablanca_Settat,hotelName,city
 October 2016,3,Decent Location,"The rooms are clean, though a bit dark. It is close (about 2km) away from the Train Station (walkable in the daytime), but fairly dark streets at night. The front staff gave us a good recommendation for a nearby local restaurant (best pastelle's!) but were not entirely helpful when we were needing a taxi to get across town the next day. The breakfast was okay. Had some cut up veggies, porridge (like cream of wheat), breads, cereals, boiled or rubbery scrambled eggs, coffee/tea, and jams. A bit overpriced for what they offered. I'd had rather gone to the supermarket a few blocks away and got myself some yogurt and muesli (but we were in a rush).",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 April 2016,4,A good 5 night stay,"I was pleasantly surprised by this hotel considering the price per night. It is a few km from the centre of Casablanca, ideal for me to miss the traffic to Mohammedia. The rooms are nice and large and the wifi is a good speed. I did not try the breakfast so can't comment.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 March 2016,2,You get nothing but just a room,"I always say I would give low rating to a hotel only if the staff is rude, but this property managed my booking really bad. After one night spent there I received a no show e-mail from Booking.com. I went to the reception and they said it was a mistake. Then, the second day, the card of the room was not working and the room hadn't been cleaned. Besides, the staff had changed, so the new guy there had no idea how many nights would I stay. The breakfast is very poor, with old cut vegetables - you could clearly see that they were cut hours before they were served. The bathroom has no shelves, no spaces where you can put your things, so it all ends up on the floor or on the small, small space near the sink. The sheets were grey, but I want to believe they were cleaned. So…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 April 2016,4,You definitely get what you pay for,"If you have a very low budget, enjoy the cold and mould then this is the place for you! The staff are friendly but in terms or area... it's extremely run down and fly infested. There's one pizza shop nearby which is okay but I wouldn't recommend it to anyone. The breakfast was cold, hard and also fly infested.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 October 2015,4,A good hotel in Casablanca,"We stayed here on our last day in Morocco and it was enough good for us. It is far from the city center, but you can catch a taxi for a little amount of money. It is a well-equipped hotel and the bathroom was great! (which is not too common in Morocco) The location is not too friendly, you should arrive here by taxi, not on foot, just to be sure. For it's price this is a great choice in Casablanca, I can recommend it!",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 December 2015,3,Ok price but far away.,"Its ok but its quite a long walk to the city centre. Dodgy place to stay, but if you want to be in a cheap hotel outside the city centre then its ok. Rooms were clean and had TV (not many channnels but fair enough two or three in English). Bathroom also ok and clean.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 March 2015,5,Modern and comfortable,"Located near the Hassan II Mosque. It's a beautiful hotel, in a modern style. Really nice rooms with comfortable beds. Some of them have balcony. Free Wi-Fi. Room service available. Front desk people are kind. Highly recommended.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 October 2015,5,"For short stay - great price, great place","The room was cozy, nicely decorated, tv, free wifi ... only air conditioning was not working. Helpful staff, nice facilities, great patio - it was possible to bring food from outside ... close to the tram to the center. And near the train station.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 October 2015,4,All I needed for the night,"By the time I arrived the staff had already arranged for me to park my moto securely under the hotel next to the staff change rooms - a request I made at the time of booking. Very tight down there, only big enough for bicycles and motos. That done I moved into my room (501), which was spacious, clean, had a comfortable bed and also a balcony. The bathroom and shower was very good, although the drains smelt - quite common in Morocco. I walked to the nearby pizza restaurant / take away for dinner because it was close. My pizza was only average. Other dining options are available within walking distance too and I'd try that next time. The staff spoke English well enough and were courteous and helpful to me. Breakfast was mediocre but quite OK for 4€. Overall I'd rate Manzil…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 October 2015,2,Out of the way hotel,This hotel is located in a very poor industrial area of Casablanca. The hotel looks lovely from the street but definitely out of place as everything around it is dirty and run down. The room was well presented and clean. I Would not venture out at night in this area. We were given a ground floor room which was extremely noisy. Aircon blew hot air all night so we sweltered. The bathroom had lots of mould around the shower and under the rim of the hand basin. Wifi was very good though. We paid for breakfast which was from 7am. We arrived at 8.30 am to find there was no food only bread available. They did eventually make us some scrambled eggs. Because of the location - 30 minutes from the airport would only use it for a stopover or if you were in transit. I'm sure you could…,Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 August 2015,3,"looks cheap, but the room was clean","In a scary part of Casablanca [well, most of Casablanca is scary...]. The hotel looks cheap, but the room was clean. Was no way to take a shower without flooding the bathroom, as the shower doors are useless… Asked the receptionist to print a plane ticket and they did, so that was nice. Far from the mosque.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 September 2015,3,Absolutely ok,Not much to say about this place. It's not special but everything was fine so far. Rooms are clean tho pretty average. The breakfast is not very good and the mosque is a bit too far away from this place but apart from that there is not much to complain about,Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 September 2015,4,great place,"great value. big rooms, quiet, clean, peaceful. Big double bed in my room and a single bed, good sheets, strong shower, nice towels nice breakfast yeah the area is scruffy but the staff are professional and very helpful and more than makes up for the area,,,",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 July 2015,4,A quiet place to sleep,"The hotel is clean and the rooms are good, AC was not functioning in the first room, but the staff solved the problem. The breakfast buffet was poor, maybe because it was the Ramadan period. The location is very safe even if not at walking distance to the center: a petit taxi or the tramway are needed. Cost/quality is OK.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 July 2015,2,Did not feel safe!,"The hotel is located in a somewhat industrial area, surrounded by car mechanics and the like. 10 minutes in a taxi from the CTM bus station. There was one restaurant about five minutes walk, again located on top of a car wash/service centre. The hotel claims 24hr food service, however neglect to provide a phone number to call reception for this. Twice during the night we were woken by someone attempting to get into the room, the door has keyless card access but thankfully a dead bolt on the inside as well, which prevented them getting in. We heard two male voices outside the room and they hung around for a while. Again with the lack of information on how to call reception from the room we were unable to alert anyone and our only option was to stay awake half the night and hope…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 July 2015,3,Big rooms and air con,"Big room, air con worked fine but that's it. I would not want to stay here longer than the one night, hands down worst breakfast we've ever been presented. We only stayed here because it was cheaper than the Ibis whilst waiting for a train to Fes, retrospectively I'd pay the extra $ for the ibis if I'd known. Not worth the walk from the station and there's nothing else around.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 June 2015,4,Nice / Agradable,"Nice people, clean room and an awesome breakfast buffet too. Nothing to complain. 5 minutes in red taxi from the city center (only 20-30 dirhams - 2 or 3€). Gente agradable, habitación limpia y el desayuno bufet fantástico. A 5 minutos en taxi rojo del centro de la ciudad (solo 20-30 dirhams - 2 o 3€).",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 April 2015,3,"Could be better, basic","Compare to other 2 start hotel, I had previously stayed in in Morocco. This one was OK. The bathroom was clean,the room was nice and had some space. TV worked but the window was a bit small for my liking. The hotel has a nice Moroccan room to relax and an outside small place. The breakfast was fresh, the pastries were still warm. If you arrive after half way during the breakfast period chances are they would be not much food left. The coffee machine only gives you espresso or hot water which is same for cappuccino lovers. WIFI was the highlight because finding good fast internet is rare. The double room are basics but the triple room/communicating are more spacious and had a fridge.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 April 2015,3,Not quite as satisfied as I expected to be after reading other reviews,"I stayed at the Manzil Hotel for one night in early April 2015. I reserved the room after reading several positive reviews of the hotel on tripadvisor.com and other sites. My experience was not terrible, but it was also not as positive as some other reviewers’. Unlike other hotels at which I stayed in Morocco, the Manzil Hotel charged the full room rate to my credit card at the time I made the reservation (over a month before my arrival). I was not informed in advance that my card would be charged when I made the reservation. I sent an email to the hotel a few days before arriving to reconfirm the reservation and ask if I could check in a few hours early. A hotel staff responded that I could check in early, but when I arrived at the agreed time, the room was not ready. It…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 April 2015,3,Basic and clean,"This is a 2 star hotel so it does live to that standard. The rooms are basic, the area where it is located is not great. It was quiet at night which is very important for me as I am light sleeper and anything wakes me up. The beds are clean as well as the bathrooms BUT the towels were clean BUT they are probably very old and I don't know if it was the lighting in there but they were not white. Agree with other reviewers that the room is cold but our heater did work.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 March 2015,2,Very Average,"Room was very basic, floor was cold and room was cold, I couldn’t see any way to adjust temperature, no heating etc. Small balcony. Room was clean. Internet worked fine. Decoration was very basic. Lift inside the hotel. You are issued with the tv remote when you check in. It is a very basic room and does not look as nice as the pictures. We didn't have the breakfast so can't comment on that. Far from everywhere. When we caught a taxi to hasan mosque it was 16 Dirhams from the main road towards the water. It is about a 5 minute walk to the nearest tram station and a one way tram ticket is 7 Dirhams. When we left we hailed a taxi on the street to take us to the train station he used the meter. Be warned though when we wanted to catch a taxi in to town, we walked a couple of…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 March 2015,3,Good value in Casablanca,"It took a while to find anywhere in our price range with good reviews. We arrived around sunset so hard to orientate ourselves, especially as the hotel had run out of maps. Reception that evening wasn't very friendly but told us we needed to take a petit taxi to the centre. Taxis range from 11-30 dirham. Most use the meter where you will get a cheaper price. The room was ok and quiet. During the early morning the bathroom smelled very bad but this disappeared by 9am. Reception in the morning was a friendly, smiling young lady. So this hotel has some faults but is ok for its price. I would rather be more central though.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 February 2015,3,Nice place,"I stayed here for two nights after flying into Casablanca. The rooms was nice, with hot water. A bit out of the way from town, but only a 20 dirham taxi ride way from the city center. Breakfast was good, but not included in price of the hotel.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 February 2015,3,OK hotel for a quick stay,"We were only in Casablanca for a couple of days as it was our entry point into Morocco. This hotel seemed to be the only one we could find with OK reviews that was at all affordable. The room was fine but without much character. It's location was in a pretty isolated part of the city near the port so the dimly lit streets with groups of young men hanging around each corner was a bit confronting and did not feel entirely safe. Although the floors were quite dirty, the sheets and towels were clean. For those travellers just travelling quickly through Casa, this hotel is fine.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 January 2015,2,Just passable,"This hotel is a bit rough around the edges. But I suppose the low price makes it barely passable. I spent a couple of nights there with no major disasters. But it didn't seem particularly clean and the breakfast was not all that good. Nor was it particularly friendly. The location is also not the best. I couldn't see any decent restaurants nearby. But if you are looking for an authentic inner city Casablanca neighborhood, then it fits the bill for that. It seemed safe enough. The French-speaking staff can give you directions to the nearest tram / light rail stop which is a short hike away and from there you can reach downtown Casablanca. Incidentally, Casa is ideal if you're into art deco much of which remains, if in a faded state, from the 1920s and 1930s.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 February 2015,4,Great on a budget.,"If you're in your twenty-somethings, I'd say this is a great stay for a short time. If you're in your fifties, and looking to celebrate your twenty-fifth anniversary, I'd look elsewhere. You have a hot shower, a warm room, and plenty to choose from for breakfast.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 December 2014,4,"Excellent budget option, a bit out of the way","We spent four nights in Casablanca and moved from our first hotel to the Manzil after two not so good nights. The Manzil had all the things our first hotel did not: quiet, a good bed, good hot shower, nice TV with movie channels, and good wifi in the room. The room itself was huge with a sitting area and couch which was very nice. The only down side at all is that it's not really walking distance to anything you'd want to see. It was about a ten minute walk to the nearest tram stop and maybe 15-20 minutes to Casa Voyageurs train station. There's also not many restaurants around, as it's a residential and not toursity area, but there is a good bakery about a block away that we stopped at for breakfast goodies. Desk staff was helpful in calling us a cab when needed, and…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 November 2014,5,Great hotel in Casablanca,"Excellent services, good location near to Casa Tramway and Casa Voyageurs train station. Rooms very clean and modern. Good internet service. Staff very helpful and friendly. Particularly one receptionist, Leila, was so kind, friendly and helpful to me. She always made sure that I was pleased and happy and made my stay a very enjoyable one. I highly recommend this hotel. Also not expensive.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 November 2014,4,Nice stay in a residential\port area.,"We were forced to stay in Casablanca because of a super long layover. We chose this hotel because of the reviews and the tight budget. Fortunetely we were not disappointed. It is a nice hotel in a residential lower middle class neighbourhood not too far from downtown. The hotel itself is a bit difficult to find, but all the taxis we used were able to find it without much problem. We are not sure that someone not used to the area, or not using a GPS could find it easily. The closest Tram station is a good 15 minutes walking distance. We were able to do it though with our three kids. There are many roads to cross, the sidewalks are in bad shape and there is an amazing amount of cats on the streets. It all adds to the charm of this quaint neighbourhood though. In fact…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 September 2014,4,"good, clean and friendly","We stayed at Manzil hotel just one night. The room was very clean, beds were comfortable and there was a free wifi in the room. Hotel location is not the best, but the tram is on 5-10 minutes from the hotel and taxi is 10-20Dh to Casa Voyagers or little more to the main square. But, if you call the taxi from the reception it is about 50 Dh plus (taxi on call is charged extra). The breakfast was ok if you like sweat as well as in most hotels of this category in Morocco. This hotel is a very good choice if you don't mind to walk a little.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 October 2014,4,Pleasant stay,"Stayed in room 404. Arrived in own car that we rented at airport. Found it quiet easily but did have GPS. Did not struggle finding a place to park outside the hotel. For the price we thought it was reasonable. Unfortunately no view and a little far away from any places if interest. Rooms were great, clean and cool.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 September 2014,2,No hot water,"No hot water in shower. After grumpy reception upon arrival and in arranging cab to airport (although I had paid 250 to get there, concierge told me 300 to return), I did not have the energy to ask for this to be fixed. Good bed. Noisy AC. Basic place.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 September 2013,5,Excellent,"Nice staff, helpful and friendly. Had an excellent and quiet room on the fourth floor. Breakfast was a bit basic but okay. There's a nice unoccupied terrace up on the fifth of sixth floor, just go looking for it. We spent some hours up there drinking a beer and looking over the harbour at night, even being able to see the mosque on the other side of the city!",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 June 2014,3,decent out of town location,"We ended up staying here twice on our journey around Morocco but had slightly different experience each time. The first room we enjoyed far more than the second. The first room (505) was excellent and really enjoyed it. Was large, comfortable and quiet. The second room (18) on the first floor was much smaller and you noticed the lack of light much more as its only window faced onto the terrace so had to keep the curtain shut for privacy and was quite noisy at night (people watching the world cup I think) though the shower was larger and looked nicer, but otherwise was a bit rougher around the edges. I liked the decoration of both rooms though very clean and crisp and both rooms were very clean. The one thing that may put you off is the location though tis did not bother us. It…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 June 2014,3,Close to Shippers Offices and Port Facilities,"This is basic, but comfortable, accommodation, situated in an area where there is not very much available. The room was functional and clean with a bit of an outlook (on to some roof terraces, etc.). And it was not expensive. The breakfast was included - but it was nothing special at all. If you have to be in Casablanca to do business around the port area then this is a safe and secure place to put your head down. And there are one or two restaurants and cafes around - you just need to do a bit of a walk around to find these places in this part of the city.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 May 2014,3,"Plusses and minuses … overall, average","I stayed at the Manzil Hotel for one night after flying into Casablanca. I stayed on the top floor in room 505 (which didn't actually have a number on the door). The place has positives and negatives. On the plus side, the room was reasonably large, with a nice firm bed, clean linens, fresh paint, large bathroom (with hot water), reasonably close to Casa Voyaguers station (petit taxi fare from station was 10 dirham), fast/free wifi. Staff were efficient, multilingual, and welcoming. Minuses: a cockroach in the bathroom, breakfast (served downstairs in a rather ""institutional"" feeling room; baguette with butter/jam, olives, cucumbers, etc) was only average, flakes of something (paint or plaster?) on bath/room floors. But what really got me was that the taxi the hotel called…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 April 2014,4,"Clean, friendly, authentic Moroccan neighbourhood","The rooms are clean with nice bathrooms. The breakfast is not too bad and the staff quite friendly and helpful. While the hotel is not centrally located (~5-10 minutes by petit taxi to city center or a 25 minute walk), it is located in a nice Moroccan neighbourhood with good local bakeries around it. Would go back!",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 March 2014,3,Good budget rooms but in the middle of nowhere,"The hotel has consideray good and clean rooms, which is a big plus. But the hotel is really in the middle of nowhere plus the reception tries to make you take taxis that charge 3-4 times the official price. I would not recommend this hotel to anyone since you have literally nothing in walking distance",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 January 2014,5,Very very clean nice view,This was a very cheep and cheerful hotel. The cleanest hotel I have stayed in casablanca. Im quite fussy when it comes to cleanliness and this was amazing. Clean hot water. Exceptionally ckean bedding. Nice staff and big rooms. The only problem you may find is the location slightly far from the tram but taxis are near .,Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 September 2013,5,Cozy stay and lively surrounding,"Manzil منزل, home, casa, ホーム, Zuhause...all words return the same meaning of the hotel name to make you feel home, but if you want stars with Luxury so try somewhere else. I found Manzil hotel as a small home that's not far from the city center and many attractions but maybe the only turn-off for you is...finding yourself in the middle of a housing area with all the traditional views and people and the area local market and school kids & living for a few days in (the pure Moroccan Neighborhood) :) which turned out a bit cool for me ! anyway, don't worry about service, staff & management friendliness, food or drink... just relax, enjoy & be ready for a good stay experience over all, and if you book online you probably will get the best rates. i personally had a good customer…",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 December 2013,4,A cozy hotel to spend time in Dubai,"My friend and I went to Morocco for a business deal. We spent 4 days and 3 nights in Casablanca, which is the capital of Morocco. We enjoyed our entire stay in Manzil hotel, as food is so tasty with different varieties of dishes. The multilingual staffs in the hotel are very kind and rendered good service to us. The bathrooms are so clean with hot water supply. The bedrooms are equipped with air-conditioners, newspapers, telephones and flat screen TV with satellite channels so that you will not get bored during your stay. In this hotel, you can also enjoy free Wi-Fi facility. The partial oceanic view from the hotel floor is so beautiful. I would say that if you spend your days in Casablanca never miss to stay in Manzil hotel.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 January 2014,4,Manzil Hotal Casablanca,"Good value for money, its a little off the city centre. Therefore, taxi go in and out is a must. We got a rental car with driver, so its not a problem with us. Rooms are clean, rate I book doesn't included breakfast. If need breakfast add US$5. Good wifi connection in room. Toilet is a bit small, specially the shower, but its bearable if you are a shinny person, if you are fat, you may accidentally hit the water tab while you are moving around the shower, and the water will turn either too hot or cold. The water is hot enough so if its winter, nice to have hot shower. There are coffee shops near by the hotel, and a restaurant which is about 5 min. walk, serves pizza and a la carte, The owner is a nice man, speaker both good English and French. Food is good and price are good.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 December 2013,5,"Manzil Hotel, Casablanca, Morocco","A taxi ride from Casablanca railway station to Manzil Hotel should cost 15 dirhams or less. This is a very clean, comfortable hotel, with spotless en-suite bathrooms. There was always hot water. We stayed here two nights & we felt this was an efficiently-run hotel. Staff were pleasant, friendly & courteous. There is a buffet breakfast at extra cost (less than £3/person). Getting to the Medina or Hasan II Mosque necessitates taxis (which are not expensive as long as their meters are used). We strongly recommend staying at this hotel when in Casablanca.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 November 2013,4,good hotel ..remote location,"Similar to Ibis series, although it is not of them … good…clean …good breakfast…few but enough channels…no mini cooler…free Wi-Fi…but compared to Ibis casa voyageurs (for example) it's smaller in size, cheaper in price, and (this is important) it's far about 12 min. (by walking) to Bu Hmad tram station, and 21 min to Casa voyageurs.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 June 2013,5,"Very Helpful, Friendly, Clean, Comfortable Hotel","The staff at Hotel Manzil. Soufian, Laila and Hecham was very very kind and helpful as they went out of their way to assist and help. Right away they helped me to get a converter so that i could use my computer. Also Internet access was easy to setup and worked very well. They made some very helpful recommendatins of where to visit in town. I stayed there five days and it was a very cozy place. The rooms are very comfortable and very clean. The breakfast was very good with plenty of good choices to start the day. I want to thank all the people at Hotel Manzil that were so kind with me. Bonjour Soufian, Laila et Hecham, Inchallah Nerjaee! Regine Veraguas",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 November 2012,4,very nice,"Very clean, tidy and safe hotel. The location is not the best but no hassle at all. We went there with a rented car. The staff was helpful and welcoming all times. Very quiet and relax. we are very happy.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 May 2013,3,"Basic hotel, friendly staff, but...","The neighborhood does not look safe at first glance, but we where 2 couples and felt comfortable with walking from tram station back to the hotel late at night. It takes 10 minutes to get to the tram station, a very modern tram by the way. We stayed two nights and found the hotel basic, but clean. Rooms and breakfast are ok, staff is friendly. Moreover, it is 5 minutes by taxi to train station Gare Voyageurs. Would recommend for short stays.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 April 2013,5,Best Hotel in Casablanca,"I'm a business traveller and i've tryed some hotels in the whole Morocco. I can say that This is my favorite. Spacious, clean, friendly staff, clean bedrooms, good bed, free good wi-fi internet, flat screen with international chanels, placed in a quite zone with calm atmosfere. Perfect for people who are in business trips. A bit away from the city center so you can rest anytime of the day. Have already recomended it and people loved it because of the price/quality it offers. Really good place ti Stay. André Almeida PORTUGAL",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
