 December 2022,4,Holiday in Tanger - Awesome service,"This was our first time stay here, although I did stay at the next door Hilton once before. I must say the staff here were all Supa amazing & gave us a customer deserving treatment of note! They acted on every request and delivered even more than requested. We need to mention the staff at reception that assisted us in making other reservations for us at other hotels and arranging our tours to changing the reservations at this hotel. They made great suggestions for us & made our holiday much more value four our money. Thanks to Lubnah, Wiam & Reda for your help, much appreciated. Our friendly staff at restaurant @ breakfast for taking special care of us, you are Supa stars & have great futures in your industry. We wish you success and climbing the ladders of success in your…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 September 2022,5,Excellent location,Great location located close to the beach (across the street). Adjacent to the tangier city center mall. Amazing views from the room. Service was good. Breakfast was excellent with wide variety of choice from standard to Moroccan fare. Enjoyed the stay. Front desk staff was very welcoming and helpful. Parking available on site.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,4,Nice Hotel in great location,"Stayed here on our last night in Morocco. It's located only a very short walk from the foreshore promenade & next door to a shopping centre. The rooms are very nice, good WiFi and friendly staff. Breakfast as good with plenty to choose from. Comfortable night sleep,coffee and tea facilitiesin the room & free water bottles... recommended.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,5,1 night stay,"1 night stay at the Hilton Garden Inn. The front desk made check in quick and painless. My family had the king bed with pull out sofa. The room was clean and well decorated. We ate at the restaurant for dinner and it was amazing food and service. Hotel is beside the Tanger City Mall and Tangier Beach. Hotel is a 10 euro taxi from the ferry terminal. Although no fault of the hotel, I was really looking forward to spending 2 days in Tangier however we ended up leaving on an earlier ferry the next morning as I found Tangier to be a bit seedy and was followed around throughout the city. Although beautiful with lots of potential the city is dirty and hazardous especially with small children. The hotel was a nice reprieve from the harassment and a nice place to let your guard…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,5,Exceptional Journey!,"As an old Hilton client, it's all the time a pleasure to stay in Hilton Garden Inn Tangier. Everything was good as usually, even with the high season and the pressure on the different services I highly recommend it!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,5,Wonderful stay in Tangier,"The service is excellent. Despite the volume of people, you can definitely feel the personalized attention. I want to point out that Rajae, the breakfast manager, is amazing! She totally went out of her way to make sure that our visit was the best! Rajae, The food and beverage manager, was also amazing. Yes, they share the same name! If you have followed my reviews, you know that I always give the good, the bad, and the ugly. Read this whole review all the way through to the end. To be honest, the beginning of our stay was horrible. I frequently stay at a different chain and have the highest level with them because I travel a lot for work. I'm accustomed to arriving and just having my room be ready. We got here around noon and we were told they didn't normally have rooms…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2022,5,Impeccable stay and service,"Beautiful rooms with an amazing view, impeccable service, convenient location at the heart of the city, few min walk from train station. Nice breakfast and dining experience at hotel restaurant Kasbah. Very courteous staff, especially Mohamed, Firdaws and Fahd",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2022,3,Review,"small rooms , but good location and clean . Was expecting a much better breakfast experience in terms of variety especially for the cost of the hotel rates. Also this hotel ONLY has 3 lifts !!! It can be very very painstaking . Breakfast staff were very very good with their service . Was asked what room I’m staying in by front security which I found very odd seeing as they were constantly seeing me in and out . Not very pushchair friendly the security staff at times would have to lift the pushchair when coming in . The area around is very very busy with locals due to the train station and McDonald beach area . Decent hotel I wouldn’t stay again at this particular hotel but would recommend to others",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2022,5,JUST AWESOME ESPECIALLY BREAKFAST,High class hotel-loved the breakfast most of all! Especially since this is Ramadan season and most places are closed! The only thing I would change is the fact that the coffee must be delivered by the waitresses which if you drink a bunch of coffee can be kind of frustrating because you have to keep asking for it-but other than that it was awesome with great variety of breakfast foods and very beautiful atmosphere!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2022,4,Excellent Location & Comfortable Room,"I will begin with the pros : Very comfortable bed, spacious room, excellent location (next to the main mall, and a few minutes walking distance to the beach). Excellent cleaning service, the cleaning lady was very nice and welcoming. We asked her for 2 extra bottles of water on the first and second day, she started giving us 2 extra ones almost every day without us seeing her or asking. Very good service - the rooms were always cleaned with no issues. The staff decorated the room with flowers for our honeymoon which was very lovely. Upon arriving, however, we were meant to be put in a sea-view room but were put in a city-view - but the staff quickly moved us to a sea-view by the next day. This was not that big of an issue. Cons: The main issue I had is that me and my wife…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2022,5,delightful three nights,"Nicely located, comfortable Hilton along the waterfront. friendly, helpful staff and a breakfast buffet that was incredible. they will make you fresh omelets, crepes, etc and a buffet of fresh fruits, vegetables, meats, cheese, juice, etc. I would recommend",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2022,5,Another top experience,"being a regular visitor of this hotel can only say just book as it will meet all your expectations. Hiltons staff members are extremely professional, friendly and helpful, which makes your stay business or otherwise a pleasure.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2022,5,Nice hotel,"Everything was nice , the room is very clean , comfortable bed. the location is perfect , just near the beach , restaurants , mall and train station. I recommend it. And I will surely return there next time.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2022,5,MR .Momodou Saidyleigh,"First of all, I thank the Hilton Garden Hotel Management for their kind hospitality.Hilton Garden Hotel at Tangier is a nice hotel and the staff are very accommodating.Especially, the receptionist Madam Laila is outstanding among them. She is always conscious of the guest needs and quickly address them on time.She is indeed a caring receptionist and a hotelier that deserve to be motivated by any means possible.I am recommending her promotion as a way of motivating her to continue to do her very best for Hilton Garden Hotel. I thank you all. Momodou Saidyleigh Head of Aquaculture and Inland Fisheries Department of Fisheries Banjul The Gambia email: msaidyleigh1972@gmail.com WhatsApp +2207085931",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2022,1,VERY DANGEROUS PLACE!!,"rooms and location are ok even though hotel's environment, safety are really compromised, due to noises the sleep quality is very bad. It's the only hotel in Tanger which hotel's staff (reception and safety guards) let local people get in, to blackmail and extort money from guest. STAY SAFE AND CHOOSE A DIFFERENT HOTEL!!!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2022,3,Mouss experience,"Good location, you can walk walk along the cornice, Cinema at fire metres , station train also . service is at average. Issue happened in the room : it was a piece of glasses on the ground caused injuries on my foot.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2020,3,Nice Room and that’s all.,We arrived and dinner was cold. Some of the kitchen staff were so unfriendly and basically were not very helpful. We asked the waiter 3 times for butter and after 20 minutes and 3 attempts to get butter we left. The room was nice and clean. Everything else was good.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2021,5,Good choice,"I really liked the hotel, its location near the train station and city mall , the staff was professional and so nice.. everything is satisfactory and comfortable We had a lovely double view :a seaview and a city view .",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2021,5,"Nice hotel with clean rooms and very good food at perfectly reasonable prices, and friendly staff.","Great first impression of Morocco, and our server Anouar made us feel very welcome. If you've not eaten much in the way of Maghrébine cuisine, take the harira soup and lamb couscous. Don't forget to order the mint tea and some traditional sweets to finish up your meal You won't regret it. Definitely recommend.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2021,5,Very nice accommodation with a very attentive staff.,The front desk staff was very friendly and took extra steps to assure I was comfortable. They were working on the concession area and the ice maker was in a construction area. The girl at the front desk took my insulated cup from me and took it to the bar for ice when I arrived at the front desk. She could have pointed me in that direction but she made sure I was taken care of. A small detail but it made a big impression on me.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2021,5,Fantastic 4star hotel,"We spent three nights in this hotel and would happily have stayed longer.location is a short walk from the beach , shops and restaurants. The check in and out was extremely friendly and efficient as was baggage and parking services which definitely gives a welcoming feeling. The property is fairly standard Hilton being very European in presentation as was the room (1401) . Facilities in the room were more than adequate with a very comfortable bed with nice crisp white linen. The bathroom was of a similar standard with good water pressure pleasant toiletries and nice quality towels. There is a gym which was adequate but missing some standard accessories, but was nevertheless suitable for our purposes. Breakfast is available as an extra charge or inclusively depending on the…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2021,1,UNSAFE THEY DON'T PROTECT CUSTOMERS,"I had problem in my room with my guest, manager of reception and security, in stead of getting out my guest from the hotel, protect me and call the police, they advised me to pay extra money to hide and end up the story. In addition reception manager has clearly breaked the global privacy statment, sharing my personal sensitive information with my company about this matter.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2021,4,Good stay,"I went to tangier for one week. Hilton gardens inn was our place for the week. Reception was small. Enough when low swason, but could be congested during high season. Staff were good. Our room was comfortable. Amenitires were good. Bed was very comfortable. Breakfast was very good, good varities bit not very wide. Resturant staff were good. After two nights stay we requested changing our room for sea view. Lady in the reception was hesitant, but the gentleman mohammd gave us the room. View was great. Housekeeping were great. Room service was good. At time of checkout, the lady in reception gave me the wrong bill. It took me a while to convince here, it was not iur bill. After paying the bill, she did not cancel the deposit I signed for at time of reception, and I had to remind…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2021,1,It Was Impossible To Sleep Due to Loud Noise!!! Beware!!!!,"I was initially very happy to book a two day stay at the Hilton Garden Inn for a business trip . unfortunely and very much to my dismay I was very disappointed to find that that moroccan Covid Curfew was not respected: there was a loud party with music until very late which was incredibly detrimental to me as I needed to be up by 6 am for work. I was so lost, I called front desk but nothing was done, I literally cried myself to sleep. I will never be coming back here.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2021,5,Great location for tourists,"The hotel is a five minute walk from train station, beach, and mall. A short taxi ride gets you to the Medina or walk along the beach for about 35 minutes to the Medina. Hotel staff were friendly and very helpful.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2021,5,Aref Baig,Very good location and clean facility. Restaurant food was excellent. All Hilton service team - front desk to cleaning service always ready to help. Also having laundry at building was a plus for long time stay.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2021,2,Staff was Great - Everything else Meh,"Staff is much better then the people next door. Room was ok. People yelling next door all night complained three times but never got moved. Shower is cold water, no hot water Breakfast - I skipped it no one wears masks and kids running around touching and coughing everywhere. Buffets should really be closed down during this time. Room view was amazing and stuff top notch.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2020,5,BEST HOTEL SERVICE IN TANGIERS/MORROCCO MOHAMED is a true legend,"Mohamed Zitouni is absolutely amazing guy he is the most nicest - friendliest - helpful person you will ever meet at the Hilton hotel. I went with my family and had the best 4 days of my life such lovely hotel & beautiful people. Mohamed Zitouni is the most nicest guy you will ever meet, I have stayed in many hotels in my life but never received such good service from any other hotel It was such good experience that I will be staying at Hilton hotels anytime I go on holiday in the future because of MOHAMED Zitouni true legend",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,1,Unacceptable service at restaurant from one employee,"I was there at the end of February 2020 to attend a conference. The good at the restaurant was ok but the behavior and attitude of one junior restaurant ""supervisor"" (should I say a ""janitor"") one evening at 9 PM spoiled everything. He did not show any consideration or respect for me at the time of checkout and almost treated me as a thief. I was shocked and everybody else who was present was shocked. I am not sure if this young pretentious employee was sanctioned or not but there is a clear problem of training and recruitment. On the other hand, I did not receive apologies from the General Manager.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2020,5,Super nice hotel (again),"I was VERY Satisfied during my stay at the Hilton Garden Inn Tanger. The Staff, the helpfulnes, the overall impresion is all to a 10 star rating. I will defently be using this hotel the next time i am in Tanger.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2020,5,Too short a stay,"Check-in : checked in after a very long day (on an organized tour and full day spent on bus). The reception desk was very busy but we were put through relatively quickly. Reception offers cool glass of flavoured water while they are processing your check in. Room: Room large and comfortable. Bed and pillows were both great. Restaurant: The best part of the experience. We had dinner and breakfast included in our rate as part of an organized tour. At dinner, we were asked to choose between the international and Moroccan menus. We chose the Moroccan. It was clear that the server was very pleased that we wanted to try Moroccan food. We ordered tagines and couscous as well as a Moroccan wine that the server recommended. Everything was delicious. Since we were interested…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,3,Nice Room and that’s all.,We arrived and dinner was cold. Some of the kitchen staff were so unfriendly and basically were not very helpful. We asked the waiter 3 times for butter and after 20 minutes and 3 attempts to get butter we left. The room was nice and clean. Everything else was good.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,5,Friendly Staff and Great Location!,The hotel is very clean and the staff go out of their way to make you feel valued and be helpful in any way possible. The breakfast buffet is a good value and the convenience of shop in the lobby for snacks/drinks is a great idea.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,5,Just perfect.,"We are a group of 15 friends from Egypt, we took the train to Tanger. The hotel is walking distance from the train station and right next to City Center. Everything is available next to us. The view from the room is breathtaking. The stuff is extremely friendly. Mr.Jaoud the manger was very helpful and welcoming. The breakfast is by far the best one we had in Morocco. The whole experience was supeb. Check in was very easy and smooth. The rooms are spotless clean. Best location in the city. We loved every moment. Thank you Hilton, amazing Job. Will definitely come again.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,5,The Nicest Hilton Garden Inn We've Ever Seen,"We had a wonderful stay! Coming from the U.S., our impression of the Hilton Garden Inn line was that they were a step down from the typical Hilton property. We're so happy we didn't pay the extra $100 to stay at the Hilton next door, because this hotel was fantastic! Super clean, seemingly recently upgraded (loved the hardwood floors and showers in the rooms), and a really delicious and hearty breakfast buffet. The location across from the train station couldn't have been more convenient, and it's a short walk to the beachfront/mall, too. If we're ever back in Tangier, we'll certainly return!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,5,"Hilton Garden Inn, Tanger",Excellent place to stay. All of your needs will be met. Close to the water and many local restaurants. Shopping center next door. A short taxi ride will find you a multitude of other local shops and things to do.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,5,Good value for money!,"We stayed at this Hilton over Christmas four nights. Overall it has everything a Hilton Garden has. Only minus is the small bathroom. Staff excellent, especially in the breakfast! I can highly recommend it.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2020,5,Great Location and Excellent Service,"We enjoyed our two nights stay. The checked-in was quick and Faoud at the help desk was very helpful to all our questions. He made us feel comfortable knowing that we it was our first time in Tanger. He gave us the information we needed. We appreciate his excellent service. Also, our dining experience was great. The restaurant staff attended to our needs. I gave them 10 out of 10 for doing an excellent service. Our room is spacious and clean especially the bathroom. I love the soft bed and fluffy pillows. We were surprised to see welcome gifts - fruits and pastries on the table when we arrived the first day. stay. The staff are very friendly and hospitable. They are very helpful to all our needs and we felt relaxed and at home. Overall, we had an awesome stay!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2020,5,Amazing service,"The service is just outstanding . Ms Ferdos and Mr Mohammed In front desk are just outstanding . They make you feel at home immediately and they make sure all the needs are met . Upon arriving you get recognized and feels like family home . Again thank you for outstanding service . Also , the security and parking attendant are extremely attentive . Great hotel ...",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2020,4,A nice hotel in Tangier,"The hotel was very good and the rooms spacious. Really clean and comfortable with amazing breakfast. The dinner menu though was not as tasty as the breakfast. Also we had to ask for a hairdryer which they brought to the room, they should have one in the room already!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2020,5,"Wonderful Stay... Great Staff, amazing location!",My husband and I just returned from our stay at the Hilton Garden Inn in Tangier. The rooms were spacious and we had a beautiful view! The staff at this hotel are very welcoming and kind. We sat at the hotel lounge and ate at the hotel restaurant twice. The food and hospitality was top notch! This hotel is right off the beach and next to a shopping mall and many restaurants and cafes! We will definitely stay here again when we return!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,1,Great location and Service,Easy 2 min walk from Train station. 2 min from beach and other restaurants. Great service. Clean rooms. Breakfast was amazing with lits of choices. Room was right size and bed was perfect. family freindly,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,5,Fantastic team,Very kind team to an incredible point. Front desk but a special mention to restaurant team during breakfast. Very warm and kind to kids also. Rooms are very well equipped and the proximity to the corniche and the mall make it a good choice,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
