 October 2022,5,A Fabulous Stay,"We had a wonderful stay here at Riad Zahra. The staff are SO friendly and the Owners are just the loveliest: so attentive, polite and it was so nice to have been made to feel like a guest in a home rather than as a room number as hotels can make you feel. The riad is less than a 5 minute easy walk down to the beach, which was perfect! The vibe of the riad is so calming and relaxing, the rooms were kept immaculately clean and tidy and had all that we required. The garden area (with resident tortoise!) was probably our favourite, the pool was fabulous a lovely relaxing area, spacious enough to be comfortably used by multiple guests staying at the Riad. Breakfast was OUTSTANDING, the best breakfast out of the three stays we did during our Morocco trip. Walking down to…",hotelName,city
 August 2022,5,Super friendly place with great seaside vibes,We had an excellent stay at this neat riad. It was a block away from the beach and a 15-30 minute walk to the ports where the vendors are selling fresh catches. I was very pleasantly surprised to see that guests were all greeted with warm welcomes. I'm sure it's fixed by now but the shower did not drain but I was too far into vacay mode to remember to tell them about it.,Riad_Zahra,Essaouira
 July 2022,5,THIS CALLED HOME!!,"(+) I just feel like I slept in my own bed. Too comfy for me. The breakfast was perfect! My boyfriend and I loved it! Hotel is close to the beach area and medina like approx 10mins walking only. I didnt expect Essaouira will be this much cold. I coudln't stay in the pool more than 5mins coz the wind was too strong for me zzz. (-) Our room is no. 2, which very close to the front desk. And the view from our room is the windsurfing storage/front desk (not sure). And was so noisy. We are unable to change the room as the riad was fully booked. But anyway we can manage.",Riad_Zahra,Essaouira
 May 2022,5,Stunning Place,"Been here 5 times now , very friendly, helpfull. VERY clean.. 3-4 min walk your on the stunning beach , or a casual stroll 15-20min's your into the ""city"" or just grab a petit taxi, lovely owners and staff have always tried to help if weve had any question or requirements",Riad_Zahra,Essaouira
 April 2022,5,Fantastic cosy Riad!,"We stayed at Zahra for five days and thoroughly enjoyed our stay. The Riad is lovingly furnished, with a delightful central courtyard. Although the building isn't old, the decor is wonderfully evocative. Our room was spacious, comfortable and clean. The proprietors are lovely and care about their guests. Even though they were busy during our stay, they took the time to talk and were attentive and helpful. The food is also fantastic; the breakfast was great, but I'd suggest eating at least once for lunch and dinner. The seafood platter was a feast!",Riad_Zahra,Essaouira
 March 2022,5,A welcoming peaceful haven.,"Absolutely loved this place. We have been regular visitors to Essaouira for over 15 years and usually stay closer to the medina. This time we wanted a quiet time to relax and this was the perfect choice for us. So pleased we finally got there after several flight cancellations due to covid over the past couple of years. Xavier and his lovely wife were very friendly and welcoming. The building itself is absolutely beautiful. We had a superior room with two balconies, one overlooking the front of the hotel onto a quiet residential street and the other overlooking the side. The room was very clean, spacious and beautifully decorated. Extremely comfy bed, the best nights sleep I’ve ever had in Morocco. Breakfast was included and could be taken indoors or by the pool. The pool…",Riad_Zahra,Essaouira
 February 2022,5,Beautiful Riad,"Beautiful Riad, lovely rooms, nice decoration and friendly owners. It felt like such a treat to stay here.  We liked the location being nearby the beach. It's a beautiful walk along the esplanade to the medina. We wanted to relax for the last few days of our trip and this Riad and Essaouira we the perfect choice. We visited in February and was a little chilly for the swimming pool however enjoyed a dip nonetheless. I can imagine it's a great spot to swim when it's a bit warmer. We want to visit Essaouira again and would definitely stay at Riad Zahra. ",Riad_Zahra,Essaouira
 November 2021,5,5 weeks in Morocco and this is our favorite Riad!,"After traveling through the country, staying in 7 Riad's - we found heaven! Xavier and Edith are amazing hosts, their staff is excellent and honestly - we had the best lamb tagine in all of Morocco! (Plus breakfast and lunch is amazing too). We only planned to spend 5 nights but cut time from another location to stay here 8 nights - we did not want to leave. If you come to Essaouria - stay here...you will not be disappointed!",Riad_Zahra,Essaouira
 September 2021,5,Stunningly beautiful; perfect location,"This exquisitely beautiful, quiet hotel - riad run for 18 years by Xavier and his lovely and wonderfully nice wife is ideal for those (like us) who like being a two minute walk from the far less crowded part of the beach. We simply loved our 20 minute walks north along the shore on the ""boardwalk"" to the ancient city center (Medina & Kasbah.) Breakfasts are great and Xavier even offered (without us asking) and made us breakfasts-to-go for our 5 a.m. departure on Day 3. Loved our pool time here. Camel rides, restaurants, and kite surfing just a 4 minute walk. Perhaps the best thing about the location other than the quiet is that, at the south edge of town, the amazing stretch of deserted, beautiful beach (with the 1700's Borj El Baroud ruins) begins just a 6 minute walk…",Riad_Zahra,Essaouira
 September 2021,5,Very nice Riad,"excelent riad , we will recomend to friends and family, the staff and the owner are friendly and helpful, the quality of food is good, room very clean , Thanks a bunch to all the staff, specially the owner of this riad , i like also the decoration.",Riad_Zahra,Essaouira
 November 2019,4,A lovely stay.,Our room was clean and comfortable. The service was friendly and attentive. The food was lovely and the pool facilities were great. This riad is about a 15-20 minutes walk to the medina along the waterfront which is really beautiful. We really liked this riad and would stay again.,Riad_Zahra,Essaouira
 December 2019,5,Home away from home,"Run by a very nice family, Xavier make you feel at home and is very knowledgeable. Beautiful house with spacious rooms . Good breakfast, and nice swimming pool. Very close to the beach. Very recommended",Riad_Zahra,Essaouira
 November 2019,5,Bijou Hotel in the Windy City of Essaouira,"From the first contact by telephone, to the taxi for departure to the airport on the return trip, the overwhelming impression of Riad Zahra is one of relaxed, good natured competence. Nothing to panic about –“ if it’s not a problem, it’s not a problem, and if it is a problem then it still isn’t a problem” (I quote Xavier) ! And he means it – and it is true. Bookings (taxi, restaurant etc) are made on your behalf, and they are always correct. Languages spoken are French, Spanish, German, English, Italian and – of course – Arabic. The hotel is staffed with well trained, motivated and good natured staff. Fatima is delightful and the other bar staff and the chambermaids discreet, efficient and hard working. The pool is maintained spotlessly, getting a good clean every morning,…",Riad_Zahra,Essaouira
 November 2019,5,Friendly and beautiful hotel,"Extremely friendly place to stay in Essaouira. Staff is helping in everything they can and the hotel is beautiful and clean. Good location, good food, nice pool. The best place we stayed during our trip in Marocco.",Riad_Zahra,Essaouira
 November 2019,5,Owners are superb,"I stayed here for 2 nights on business. The owner and his staff team were all very helpful and had useful advice on literally anything and everything. I must have asked the owner a million questions during my stay and he was more than happy to answer them all with a smile. He spoke perfect english too and so do his staff. I've been Morocco 5 times in the past and never have I experienced customer service like this. He treated me like family. The riad is in a good location. The taxi takes 2minutes to town and costs 7dhs which is about 60p! The beach is less than a minute walk from the riad. The room is large, beds are comfy and pillows are nice. A nice intimate riad with a unique charm.",Riad_Zahra,Essaouira
 October 2019,5,"Absolutely lovely Riad, ideal for Essaouira beach and the medina","We spent a very happy 6 days staying at this lovely Riad, situated just a short walk from Essaouira beach. During that time we loved going to both of the excellent in-house restaurants (one being a ""sea-food lovers"" delight and the other having a wide choice of options, where the ""menu du jour"" is always worth a look at). We also enjoyed the buffet-style breakfasts which included freshly-squeezed orange juice, pancakes, yogurt, and fresh fruit and olives. Our children made full use of the open air pool, whilst it gave my wife and I chance to stretch out on a sun lounger or enjoy a drink on the terrace. It takes around 20 minutes to walk from the Riad into the medina, but this was very pleasant stroll along the sea front and, when we were tired, we travelled back in taxis (around…",Riad_Zahra,Essaouira
 September 2019,5,Fab find,We returned to this Riad for the 3rd time and will most certainly go back again. The family that own and run it and it's two fabulous restaurants are lovely and could not be more welcoming. Everything is kept spotlessly clean by the staff. Breakfast is plentiful and the pool is a delight. Xavier and Jofre deserve a special mention !,Riad_Zahra,Essaouira
 October 2019,1,Fatal experience,"READ BEFORE BOOKING I spent 10 days in Morocco, moving to various riads and also coming to this. I must say that at first glance among the many who disappointed me at first sight this gave me a good impression..but it disappointed me later. the structure is beautiful and offers the possibility to park a private car without having to pay. offers a terrace where you can relax and a large swimming pool for sunbathing (given the strong wind currents). the cordiality is not lacking but it is intolerable to enter the room and find the smell of permanent bleach (and given the strong currents it is impossible to stay with the open window), at breakfast I took a glass of water and lemon from the self-service that was going to be fatal to me, there was BLEACH inside (the carafe was…",Riad_Zahra,Essaouira
 October 2019,1,"Everything was nice and good, except...","Look, Riad Zahra might not be a super modern or most visually stunning Riad but it has a lot going for it. It's location (30 minute walk from the Medina) is actually pretty nice and allows for a quiet night's sleep. The staff is incredibly nice, friendly, and accommodating. The food they serve is pretty good as well, and they have one of the swankiest restaurants in town. The pool area is very cute with lots of kittens (who we named Skittle and Chewy Spree) and turtles. It's a very relaxing area with many shaded spots to enjoy the weather and read a book. The breakfast is above average with several breads, pasties, some cheese and meat product, fruits and jams. Unfortunately, everything is cancelled out by the fact that we were constantly finding cockroaches in our bathroom and…",Riad_Zahra,Essaouira
 August 2019,5,Beautiful Riad,"Lovely friendly staff, clean traditional rooms, fabulous breakfasts and a stunning pool, this riad was wonderful. The kittens and tortoises were a bonus for the kids too! Would highly recommend. We also had lunch in the restaurant a couple of times which was delicious and well priced.",Riad_Zahra,Essaouira
 July 2019,5,Perfect for Family Holiday,"Riad Zahra is in a perfect location, close to the beach and a reasonable walk to the medina. Very clean and beautifully designed. I was travelling with my grandchildren aged 5 and 7, and their parents. We had a large family room overlooking the pool which we used several times a day !! The kind and helpful owners were at the hotel every day and could not do enough to make our stay perfect. The environment is very safe for children with many staff around. It was a really memorable holiday and we hope to return to Riad Zahra again next year.",Riad_Zahra,Essaouira
 August 2019,4,Great hotel for everyone,"We stayed here for 3 nights, the owners really made the stay special. They are very warm and welcoming and helpful. I loved the way they greeted all the children and made them feel special too. They speak excellent English great for all us non French speakers, the rest of the staff are excellent too The pool is a real asset especially to my teenage daughter and the room we had was lovely",Riad_Zahra,Essaouira
 June 2019,5,"Nice hotel, good food and very high standard of services!","Herewith I would like to thank you again for a very enjoyable stay. You have a nice hotel, with good food and very high standard service! Something to be proud of as a team! Hope to see you again in the future!",Riad_Zahra,Essaouira
 June 2019,4,Lovely Riad with lovely people,"Myself, husband and two young children (aged 3 and 4) stayed in Riad Zahra for 3 nights. Its a beautiful Riad, clean, cosey and has very spacious rooms. All the staff are lovely and extremely helpful, and the children really warmed to them. I'd googled a camel riding experience and when i'd asked the staff about this i was advised that it's one of the companies they work with - they booked this for me and arranged a pick up to the ranch within 10 minutes of me inquiring, and there were no extra costs booking via the Riad. I was very impressed! The only very slight negative comments is that due to the popular seafood restaurant upstairs, it can be noisy in the evenings as you can hear the tables and chairs being moved etc, but i think that depends on where your room is situated…",Riad_Zahra,Essaouira
 June 2019,5,wonderful !,We were made to feel very welcome. Lovely pool too and just a few minutes walk to the beautiful beach. The hotel was clean and well furnished. We walked into the town every day ad found eveything accessible.,Riad_Zahra,Essaouira
 May 2019,5,"Beautiful riad, great staff","We stayed at Riad Zahra for only two nights but wish we could have stayed longer. We arrived in Essaouria after 3 days in Marrakech and the chilled vibe and lower temperatures were exactly what we needed. The riad is clean and very spacious, the room for 3 of us had plenty of space. Though it wasn't that warm when we were there, I still had a dip in the pool which was lovely. Breakfast was great and staff were super helpful about getting in and around town and also organising airport transport for us. It is about a 20 minute walk to the main Medina in Essaouria but it's a lovely walk along the seafront, or you can get a taxi for around 10/20 Dirham. Would recommend just walking as it's not far. Beautiful town - try the seafood on the harbour!!",Riad_Zahra,Essaouira
 April 2019,5,"Great, cosy, homely place","We stayed for 2 nights and wish we had stayed for longer! The riad is clean, welcoming staff with spacious, clean and airy rooms. Comfortable beds, high quality crisp fresh towels. Staff are very friendly and helpful which I suppose stems from ever smiling Xavier and his lovely wife who are always at hand to help with tips and answer any questions. Its situated in a superb location few minutes from the beach and about 15 minutes from the Medina. It has two restaurants that provide a good selection and quality of food is super. We ate at the seafood restaurant on first night and were impressed with the presentation, quality and taste - worth going there even if not staying at the riad. Hospitality of Xavier and his family top it all....Highly recommend this place and will…",Riad_Zahra,Essaouira
 April 2019,5,Great riad and great restaurant,This is a nice riad very well managed. It is very close to the beach and about 15 minutes walk along the beach to the Medina and the port. We had a large family room with view sea view. The pool is very nice too. The riad has two restaurants. We dined at the elegant seafood one with fresh fish and lobster from the tank. Make sure to reserve in advance. We recommend the restaurant even if not staying in the riad.,Riad_Zahra,Essaouira
 March 2019,5,Lovely accomodation with a warm reception,"This was really one of the nicest places that we stayed in, during our recent tour of Morocco. From the moment we arrived, the staff were friendly, spoke good English, and made us feel at home. The food was excellent and our lovely room had a small balcony with a side view of the ocean. If I ever visit Essaouira again, I will definitely stay at Riad Zahra. Pity we were there at the tail end of winter, so couldn't enjoy the stunning pool, but hopefully next time it will be there in summer.",Riad_Zahra,Essaouira
 April 2019,5,Really comfortable and warming experience,"Arrived the hotel late and was not disappointed with the attentive service! The hotel room was neat and clean with a sense of style and moderness. Meals were delicious and filling, but its a shame to had not been able to try the pool within the hotel (it looks great and safe as well!). Will definitely rebook if my friends and I were to visit this town for a second time.",Riad_Zahra,Essaouira
 December 2018,5,Spacious Room with a cute Balcony,"This Riad is only 5 minutes walk from the coastline; where you can enjoy people flying kites, surfing, playing ball or just enjoying the walk along the promenade. Its very windy if you, so carry a jacket. This Riad layout is very beautiful; all rooms are upstairs and the restaurant is tucked at one Conner. The rooms are spacious with a cute balcony - nice chairs are provided for you to just sit and chill. Generous amount of toiletries are provided. The room is well decorated. The breakfast spread is good and well presented. Enjoyed my breakfast here. Good place to stay as its nice and quiet.",Riad_Zahra,Essaouira
 April 2019,5,Wonderful hotel with beautiful pool,"Wonderful building, comfortable room and bed, clean, and great staff. Breakfast is good and the location is perfect for the beach. It’s a 15 minute walk to the Medina or a $1 five minute taxi ride. Lots of places to eat nearby. We’d happily stay again.",Riad_Zahra,Essaouira
 January 2019,5,Kind staff & great customer service,"My husband, 2 daughters & I stayed 1 night at Riad Zahra as part of a tour we booked through Viajes Marruecos Inolvidable tours. The staff were very friendly & dinner was delicious. Loved the decor of the room & the hotel. In the morning my husband & 1 daughter fell ill. Xavier & his wife were amazing providing me with information of a local pharmacy, providing food & drinks after breakfast was completed & allowed us to have a later check out. When we completed our tour in Marrakech, I realised I had left a scarf ( with sentimental value) at the hotel so I emailed the Riad to see if it had been located. Xavier replied very quickly & after a few really kind emails, he arranged to have a driver bring the scarf to Marrakech for my collection. Xavier & his wife hospitality was…",Riad_Zahra,Essaouira
 March 2019,5,Perfect Riad by the beach,"We stayed at the Riad 2 nights and loved it. From the room that accommodated us 4, to the perfect cleanness and ambiance of the room and the hotel, to the most beautiful decorations and art pieces - it was perfect in every way. What made a wonderful difference was a wonderful French/Moroccan restaurant with great food at breakfast and dinner. They also serve alcohol - featuring local beers, local wines and local fair. The French owner and the hosts could not be nicer - including giving us a lift when out driver could not get through the closed streets. The hotel is a short walking distance to the beach which is also a big plus. Highly recommended!",Riad_Zahra,Essaouira
 February 2019,5,Nice stay for a good price,"Nice rooms, spacious and clean, there was a cleaning team everyday. The bathroom was nice as well. Literally two minutes to the beach. 24 h reception, friendly employees. Breakfast included. All in all I was very very pleased with my stay there.",Riad_Zahra,Essaouira
 January 2019,5,Great service,"Thank you to the staff and the owners. We had a great time here and the staff and owners, Edith and her Husband, went out of their way to ensure our stay was enjoyable. The food was fantastic, atmosphere was great and the rooms were clean, nicely decorated and homely. Will highly recommend!!",Riad_Zahra,Essaouira
 December 2018,5,5 starts hotel,"Great Job Mr Xavier , you made our stay the best . The location is great and we walked every day to all places in the medina , no need of any transport . The food cooked in the riad is delicious , couscous , Tajine . Don't miss Essaouira , it is really good city . We will be back",Riad_Zahra,Essaouira
 December 2018,5,Highly recommend this Riad in Essaouira,"My husband and I are Indian professionals working in Malaysia. This was our first trip to Africa and we arrived in Essaouira on our last leg of the trip, tired and irritated by some racism along the way. We were just going to spend one night and then, we would be heading off to Casablanca for our flight. So we were cautious with the warm welcome at the desk that afternoon. We settled into a clean and airy room on the first floor, with fresh and clean towels, but minimal toiletries, which we did not mind. We travel with our own anyway. We went out for lunch and got back to the same friendly face behind the desk. We asked for a kettle and were promised that it would be given to us at dinner. We went out again to visit the beach and the Medina, and when back, the kettle was…",Riad_Zahra,Essaouira
 November 2018,4,Hospitality and food,"Riad with 24 rooms is very big....the owner (husband and wife) is Spain origin, very friendy and helpfull. Room is okay. My friends enjoy very much the goat tagine, and I choosed grilled cuttle fish, even too big porsion to me, but I enjoy it.",Riad_Zahra,Essaouira
 May 2018,5,Must Stay,"This place is absolutely 5* in every way. It is family owned and ran, and done properly. The mom and dad went truly above and beyond any of my expectations in making me feel safe and comfortable during my stay. As a female traveler in her 20s I had a truly beautiful experience at this place. It is up to date, spacious, family or solo friendly, each room has its own middle eastern characteristics, its immaculate, both restaurants in the hotel are delicious and properly priced, and the pool area is well kept. I would stay here 1000 times over if i ever came back to Essaouira. Thank you for all the family and staff for making my stay perfect!",Riad_Zahra,Essaouira
 October 2018,5,"Great place, great staff, great pool - Thin doors!","Loved staying at this place, the staff and owners are fantastic, and the riad is well taken care of. The pool is one of the better pools I've seen in riads so far, and I've travelled all over Morocco. One thing to note however, which wasn't a great inconvenience but still something one should be aware of, is the fact that the doors are fairly thin. If you are a light sleeper, or intend to sleep in long into the day, be aware that you might hear other guests walk outside of your room, or talking in the lobby. Regardless of this fact (which is the same for most riads), I would highly recommend Riad Zahra for travellers to Essaouira.",Riad_Zahra,Essaouira
 October 2018,5,Charming place; can't wait to go back!,"Riad Zahra is a pleasant, charming place to stay with very interesting decor in the hallways and lobby. The host, Xavier, was engaging, friendly and very helpful to us before and during our stay. He and his staff made us feel welcome. The rooms, which were simple and pretty, were very comfortable and appealing. We wanted to stay longer. The breakfast was lovely. It was a great value and we can not imagine a better place to stay in Essaouira!",Riad_Zahra,Essaouira
 October 2018,5,Couldn’t Be Better,"Everything about the Riad Zahra is wonderful: the lovely hosts, friendly staff, big and beautiful rooms, pool, location close to the ocean, and the food in both on-site restaurants. We could not have been happier, especially since we were staying a week. Choose one of the junior suites for a spacious and well designed space...",Riad_Zahra,Essaouira
 October 2018,5,Almost perfect!,"Perfect place for a relaxing few days with friends. 20 minute stroll along the seafront into the medina and to the port, ideal to walk off the excellent lunches available in the town! Several pleasant afternoons spent chilling by the pool with a beer or a coffee The only down side was the small bed/day bed available as the second bed in a requested 'twin' room. Thznk you for a wonderful stayy - will definitely return one day.",Riad_Zahra,Essaouira
 October 2018,5,Wonderful,"Clean and beautiful place, well located. The owners are lovely and make the stay even better. The breakfast is good. The restaurant is also great, with fresh and tasty products. We will Come back for sure!",Riad_Zahra,Essaouira
 September 2018,5,Riad Zahra Apartment,"My wife and I returned to one of the Riad's self catering apartments for the second time in four months, returning home last weekend. Overlooking the private swimming pool on the ground floor the apartment was ideal for the two of us...one large double bed, two separate bathrooms with showers, large kitchen and sitting area plus a large conservatory. Spotlessly clean and very well appointed with all we needed. The Riad Zahra is no more than 100 metres away and we used the facilities there all the time. Two excellent restaurants, cosy bar and veranda overlooking the pool. Staff brilliant, friendly and helpful. It was noticeable that the staff were well motivated and seemed to be really involved, a tribute to the very helpful owners Xavier and Edith. We shall return again!! …",Riad_Zahra,Essaouira
 September 2018,5,5 star experience in a Riad,"Very happy to have a tour of Morocco ending in this delightful seaside town. Made even more special by this amazing Riad - from the very beginning, my friends and I felt very welcome and that nothing was too much trouble. Rooms were traditional, spacious and had all that was required (I have become accustomed to not always having a mini fridge in rooms now) and the pool was a lovely place to relax by with a book and a cool drink. Both restaurants in Riad Zahara were a pleasure to eat at and once again, the service was first class. Thank you to Xavier and his family for an unforgettable stay.",Riad_Zahra,Essaouira
 September 2018,5,Look no further,You want a lovely traditional Riad- Yes? You want a lovely room- Yes? You want a great location near the beaches/ bars and surfing? - Yes? You want wonderful hosts who will do anything to make your trip wonderful- Yes? You want to try some lovely local wine - Yes? You want fantastic food at great prices- Yes? Well this is the Riad for you!!!!,Riad_Zahra,Essaouira
 November 2017,5,"Beautiful, affordable, great location","I was traveling solo to Essaouira and booked this riad based on price and location. The owners are simply lovely and luckily are multilingual. The rooms are comfortable. The food is great! Although it felt a bit too chilly to use the pool, I enjoyed sitting by it in the evenings with a glass of wine. This riad is right across the street from the beach and close to my favorite café. A 15 minute walk will get you to the medina! Choose this riad if you want to stay out of the hustle and bustle of the medina but be within walking distance of it. And it’s a lovey stroll along the beach to get there. I miss it!",Riad_Zahra,Essaouira
 July 2018,5,Lovely Hotel,"Spent a few days cooling off in Essaouira after walking in the Atlas Mountains. Hotel was very traditionally decorated despite being in the modern part of town. Good pool, large rooms, reasonable prices and good quality food.",Riad_Zahra,Essaouira
 June 2018,2,Noisy and rundown,"Stayed here for 3 nights in June. The hotel owners and staff are very friendly and the hotel was clean, but unfortunately, the hotel itself is really rundown and needs a bit of a facelift. Our windows didn't lock and a safe was not provided. Noises at night and during the early hours of the morning were also extremely loud which resulted in my family and I struggling to sleep well. In addition to the noises outside the hotel (neighbours dog barking, cats fighting and seagulls) the banging of the hotel kitchen rubbish bins below our room and the thin walls made it hard for our stay to be peaceful and relaxing. Lastly, the structure of the walls around the pool did not block the wind and therefore it was too cold to sit by the pool. Agreeing what has been said by others, the wifi…",Riad_Zahra,Essaouira
 May 2018,5,Feels like being invited by friends or family.,"If you like big, anonymous, impersonal hotels with large crowds and a humming ice machine in the hallway, stay away. This is a small, family-run hotel with an atmosphere. The atmosphere is due to the decoration where you feel the care and personal taste, but most of all, the atmosphere is due to the family who runs the hotel. A Spanish couple and their son (their son is responsible for the fish restaurant upstairs where, btw., we went three times). All three of them, each in their own way, are extremely warm and welcoming, and it's more than their Mediterranean character; they seem to genuinely enjoy being with their guests.",Riad_Zahra,Essaouira
 June 2018,5,Fantastic Riad,"Riad Zahra is a really great place to stay in Essaouira- really near the cool beach bars and kite surf centre yet only a short walk into the Medina. The hotel has a great sheltered pool, good food, drinks and lovely owners who will make your stay a real success!",Riad_Zahra,Essaouira
 April 2018,4,+Lovely place and staff -Crappy wifi.,"Riad Zahra is a beautiful and pleasant building, situated in the southern part of the town in a well-situated area. There is a pool that can be used between 9 AM and 8 PM, and two restaurants are situated inside the building. The beach is a few 100 meters away. The charming Medina is 2 km away, and if you are tired after shopping and eating, a taxi back costs only about 1€. The cleanliness is spotless. The breakfast is more than acceptable and less than excellent. The only minus is that the tables in the breakfast restaurant are quite impractical and ""user-unfriendly"" for moving to and from the sofa. On the plus side are tasty coffee served with hot milk aside and freshly pressed orange juice. All in all I did enjoy the breakfast well, and it was a good start of the day. The…",Riad_Zahra,Essaouira
 April 2018,5,Cosy riad away from the bustle!,"Essaouira was the last in our itinerary of our 12 day Morroccan tour. We decided to stay at Riad Zahra. Firstly it is outside the Medina, so our private taxi could drop us off at the door of the riad. Secondly it is located 2 minutes walk to the beach, so a little after we checked into the riad, we took a walk to the beach. While we walked along the beach, we realized than we had almost reached the Medina. The Medina itself is small and cute and you can walk around and do some shopping for Argan oil or have a glass of fresh juice or whatever. Argan oil is produced closer to Essaouira and we felt it would be worthwhile to buy the stuff here than elsewhere in Morocco. The taxi back to the riad supposedly costs 10 Dhs, but we decided to walk back along the beach to the riad. One of…",Riad_Zahra,Essaouira
