 January 2023,5,The best place in Fes - no contest,"This is in the top two places I have ever stayed in in my life. Incredible experience, everything is at the top level. We also visited a couple of high end bigger hotels-riads in Fes which were very nice, but nothing compares with Riad Le Caliphe. It's a 5-star ""hotel"" with amenities and service you would expect, but on a personal level. Yasmine and Alex are passionate about what they do and it makes all the difference about how you will experience Fes.",Riad_Le_Calife-Fes_Fes_Meknes,hotelName,city
 May 2022,5,"Fantastic Riad, We Loved It","My wife and I stayed at this gorgeous riad for 3 nights and truly loved everything about it. We stayed in the Emerald room and found it be beautifully decorated with many décor details in the room and furnishings. It captured the true sense of Moroccan craftsmanship and beauty. The room was quiet and the bed was comfortable which made for a peaceful and relaxing sleep. The washroom was large and nicely laid out with double sinks and a great shower with good pressure and lots of hot water. The cleanliness and upkeep of the riad was excellent. The courtyard, roof terrace and restaurant were all superb and added to the elegance of the riad. Of special note: we had one of best dinners during our two weeks in Morocco at the rooftop restaurant, a wonderful, delicious meal and would…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2022,5,Simply the Best,"We were blown away from the moment we walked through the door. Alex introduced us to the riad and gave us lots of great advice for Fez. His energy is infections and he made us feel like family. I actually had to stop him to ask if he actually gives everyone this much attention, but I already knew the answer. We were lucky enough to meet his wife Yasmine as well, who is equally as hospitable. The room was one of the nicest we've stayed in. I have traveled around the world and I can not think of anything that would have made it better. The staff is amazing, there is a great little bar, and the breakfasts and dinners were impeccable. Do not waste any time looking elsewhere - this is the place. Five minutes after arriving we were already planning our trip back. It's that good. See…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2022,5,You Feel Like Royalty!,"The managers, Alex and Yasmine, could not have been more warm, accommodating and over the top customer service oriented. From the time we entered the courtyard until we checked out we felt well attended to. The rooms (we had the Ruby room) were beautiful, old world Moroccan and the restaurant had absolutely wonderful food. Please plan to stay here if you are ever in Fez !",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2022,5,The place to stay in Fez,An old Riad building lovingly restored. Large rooms beautifully decorated with taste and elegance. Traditional courtyard and a shady roof terrace. Everything a boutique hotel should be and quite magic. And the wine is VGV.,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 May 2022,5,Wow. Just wow!,"This could be the best hotel I've ever stayed at. Alex and Yasmine are wonderful - caring, attentive, fun to talk with. The rest of the staff - always going out of their way. An example - I left our room key at our table at breakfast (on the roof). I realized this when I got to the lobby after breakfast. When I reached the dining room I was told they had already sent my key downstairs. The rooms are beautiful, the courtyard is amazing. Meals there are also fantastic. I nice location in the medina, easy to get around. I am always skeptical when I see an average review of 5.0 - it is well-deserved.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 April 2022,5,Stay here!,"My best friend had an amazing time in Fes including our stay at Riad Le Calife. This property is a beautiful and charming hidden gem is a quiet escape from the busy Fes medina. The decor and detail is spectacular, a passion of the owner Alex and his lovely wife, Yasmine. They were both incredibly hospitable and welcoming. They were able to arrange a transfer for me from the airport, dinner reservations and helpful tips about getting around Fes. *When* I return, this will be the only place I stay.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 April 2022,5,The Best Riad in Fes,"Our first nights in Morroco could not have started any better. We were welcomed by the ever charming and helpful Alexandre, During the welcome tea, Alex gave some restaurant advice, tips and tricks... Fez, Morocco, Islam, Ramadan... all newcommers questions were answered. Then he proudly showed us around in their wonderful Riad. The suite and room are spacious, clean traditional Morrocan/Colonial style. The decoration is fantastic, everywhere you go there are fun little details to be discovered. Waking up with the sun trough the colored windows makes you feel like Ali-Baba. The rooftop gives you great views over the most traditional medina. Upon return to our Riad we were always warmly welcomed by Alex or Yasmine. Ready for a chat, questions and logistical assistance. It…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2022,5,Great Riad in the Fes Medina!,"Riad Le Calife is a marvelous choice for people with our taste, who want to stay in a boutique hotel, within the Medina in a historic atmosphere with a fine display of old architecture and Moroccan decoration, and great service! We will always stay there going forward - our hosts Alex and Yasmina were part of the wonderful experience - they welcomed you with a feeling that you were part of the family there, and their staff was terrific and attentive to all our needs. The pathway from the drop off point to the Riad, within the amazing Fes alleys, was easy to learn, the rooftop lounge was perfect for sunset or sunrise. Breakfast was included and was delicious! The fresh orange juice, Moroccan crepes with honey.... And the room was for a king, president, sultan - with tile…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2022,5,A Wonderful Riad,"By their impeccable logistics, gorgeous suites and personal charm, Yasmine and Alex made our stay absolutely wonderful. Their assistant, Mohammed , was also always close to lend a helping hand with disarming kindness. This hotel is a very old Riad beautifully restored and decorated with impeccable taste. The decor of our room was definitely Moroccan style with a hint of French colonialism. There was even stained glass windows in our room which gave a surreal light in the morning. Between the king bed and a sitting area, two beautiful tiled columns complement the decor. A spacious bathroom with separate bath and shower were provided along with a hairdryer, and numerous electrical outlets; every modern facility was provided. The dining terrace overlooking the Medina served…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2022,5,Best hotel experience!,"Staying in Riad Le Calife was the highlight of our trip to Morocco. The riad is beautiful, with amazing artistic touches everywhere you look. The owners, Yasmine and Alex, are incredibly helpful and knowledgable about Fez with plenty of recommendations for where to go, what to eat, etc. The staff are so friendly and courteous, helping us find our way through the medina. The restaurant is also incredible - we ate here on our first night in Fez and honestly no other restaurant touched the meal we had. The view is amazing from the rooftop, and the bar is the perfect spot to relax and have a drink in before or after dinner. I could go on and on about how incredible our experience was here... but I'll just say I can't wait to be back!!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2021,5,The only place to stay in Fes!,"Alex, Yasmine, and the rest of the staff of Riad Le Calife went above and beyond to ensure we have an absolutely wonderful stay. They take customer service to an entirely new level. Everything was delightful, no detail was missed. The property was amazing and filled with treasures everywhere and it was also incredibly welcoming and made us feel right at home. Everything we ate and drank at Riad Le Calife was excellent. The location was perfect, we were in the medina, but close enough to be able to get a cab. Each night we loved sitting in the courtyard by the fountain having a nightcap. We hope to go back and when we do, we hope there is availability at Riad Le Calife, we couldn't imaging staying anywhere else.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 November 2021,5,Wonderful Riad le Calife,Beautiful Riad in the centre of the medina of Fes. Lovely owners Jasmine and Alex could not have been more welcoming and accommodating. Rooms were beautiful and clean. Food was excellent including an evening meal on the terrace of fish tagine prepared by their staff. Would highly recommend and would definitely come again.,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 November 2021,5,Thanks !!!!,"Thanks to Yasmine , Alex and the team ! Thanks to have create such a beautiful and comfy place Thanks for your philosophy and own identity Thanks to give me the opportunity to re discover your unique city with the amanzing Zacharia Thanks for your smile your good vibes and the discussion Thanks to be enthusiastic Your are like your place ….Unique !",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2021,5,Ultimate luxury in a busy medina,Wow this riad is just amazing from the antique decor to the ultimate service from the owners and staff. We loved our 2 night stay in this riad . It was peaceful and quiet. The breakfast was delicious as well. Jasmin the owner went above and beyond to make sure we were satisfied and comfortable we had a small issue which wasn’t really a big deal a bat had flown in the window in our room and wouldn’t fly back out on our 2nd night Jasmin was quick to move us to another room for the night and also refunded our stay for that night again she did not have to do that but it goes to show you her hospitality is above and beyond we would come back again if we visit fes.,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2021,5,Perfect hospitality,"Perfect hospitality, the owner is super relaxed and friendly, the road is decent and authentic luxury, service professional,. We had dinner on the terrace with home cooked Moroccan tajine with chicken, absolutely delicious. Everything highly recommended!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2021,5,Go to Fes now and stay here,At the moment you can enjoy Fes without the tourists. It is quiet and beautiful. Hurry - it won’t last long. It is often a worry trying to find the right hotel to stay in but Le Calife is the perfect choice. An absolutely beautiful traditional small Riad close to everything. It has a lovely rooftop restaurant and terrace overlooking the city with wonderful views. There is also a cool patio garden with a fountain. The food in the restaurant is so delicious that I have eaten in each evening. The staff are attentive and friendly. I immediately felt at home. The rooms are traditionally decorated with windows to the patio. I can’t recommend highly enough.,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2021,5,Beautiful,"There are so many lovely things to say about this riad. The staff were so friendly and helpful; I must mention the owner Alexandre who went out of his way to give us advice, recommendations and made sure we had the experiences we wanted. The bedroom had well-thought-out amenities and space and we were asked every day if we were happy or required anything else. The food was first class. A wonderful stay.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2021,5,Our Favorite part while in Fes,"I cannot say enough good things about Riad Le Calife! They were very COVID friendly, guest orientated, and had an absolutely beautiful Riad. We were upgraded to the Diamond Suite and were blown away by the beauty and detail they put into the room, and the riad as a whole. Yasmine and Alex were amazing at helping us navigate the city, having their staff guide us to the correct place (Fes is a tad confusing!), getting COVID tests, and were a pleasure to talk to. We ended up having dinner there two nights as it was so good the first time, and even better the second! Make sure to get their signature tangine with prunes – absolutely amazing!! We cannot recommend them enough. You will cherish your stay here.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2020,5,A peaceful oasis in the medina,"We had a wonderful stay at Riad Le Calife. Would highly recommend staying here. The Riad is beautiful, meticulously maintained, clean, and expertly decorated. They are always willing to provide the little extras, picking up laundry, arranging tour guides, and even lending you a cell phone in the event you get lost in the medina. A true oasis among the craziness of Fez.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2020,5,One of the best....,"Let's start with the basics. The Riad Le Calife was the best of our trip to Morocco. When I imagine a riad, this is it! The design is beyond reproach. The attention to detail and the visual aesthetic reflect a very personal eye. Everywhere that you looked had something special. And any riad that has a bar (not just a bar but one with so much mood), wins me over. All the rooms have windows opening onto the courtyard and what we loved was just the sound of the water fountain. Dinner and breakfast are served in the restaurant on the roof (at least while we were there) keeping the sounds in the courtyard at a minimum. In itself, the riad seems to be positioned well without a lot of outside noise. With that said, it's also on the quieter side of the medina away from the…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2019,5,Beautiful Glimpse of History,"I visited Morocco with 2 friends for my birthday. We spent 3 nights in this property. I booked the Diamant Suite for myself while my friends booked a normal room. When I was researching places to stay prior to my arrival in Fes, I stumbled upon the beautiful picture of this suite and was left so captivated. I am a huge world history buff and this suite reminded me of when the Mughals ruled over India; the details in the architecture and design were stunning. It was a beautiful piece of art and I knew I had to stay here. Upon arriving, my friends and I were offered Moroccan tea and biscuits. The owners were nice and gave us a run down of the surrounding area as well as tips to navigate around Fes. When I saw my suite, I honestly didn’t want to leave my room; it was SO beautiful…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 February 2020,5,A Sanctuary in the Medina,"We stayed here at the recommendation of a travel company we used to help plan our trip. I cannot say enough good about this riad. The courtyard is beautiful and relaxing. Our room was on the top floor and was very large and comfortable. The view from the top floor dining room and outdoor sitting area is expansive. The location is close enough to walk to the souks, but removed enough to have a bit of peace. The best and most meaningful part are the staff and owners. The staff are professional and accommodating, and the owners were so personable and engaging. We will definitely stay here if/when we return to Morocco. Fes was our favorite town, and our experience at Riad Le Calife helped ensure this.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2020,5,Fantastic!!!!!,"As so many other reviewers have said, this may be one of the greatest hotel experiences that I have ever enjoyed. The riad is beautiful, the service is first class and the food (both breakfast and dinners) are fantastic. Yasmine and Alexandre are generous and kind hosts, and it was our pleasure to enjoy their hospitality. The booked a driver to take us to Voubilis and Meknes, arranged a guide to show us the Medina and recommended restaurants for the evenings we did not eat at the hotel. My wife really enjoyed her cooking class with Fatima and cannot wait to make an authentic tagine at home. In short, please stay at Road La Calife; I guarantee you will not be disappointed. And, thank you Yasmine, Alexandre, Mohammed and everyone else for making our five-night stay so…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2020,5,Memorable experience and Well Kept,We stayed at the suite for 3 nights and were very pleased with the experience. The owners have put a lot into this Riad and it is well managed and an excellent choice for those that want the experience of staying in the Medina. We could have done without the rock hard mattresses and 2 lousy dinner recommendations(make your own choices for dinner-and reserve before arrival) but all and all this place is a winner and our highlight stay in Morocco. Its safe to go with the owners guide recommendations and listen to their advice regarding the Medina itself. If we ever returned we would stay here again and suggest it to anyone enroute to Fes. After visiting Fes and staying here we strongly suggest to avoid visiting Marrakech and the surrounding areas as this part of the trip is a…,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 March 2020,5,Heaven in morocco,"Riad Le Calife is simply heaven. The ambience is incredible. The Riad is like a museum. And so tastefully decorated. The owners Yasmine and Alex are wonderful hosts. So open and generous with their time and advice. They treat their staff as family and you can see this in the way everyone works together. Fatima, the chef is an outstanding cook. It’s our second night and three more to go. Our room is fabulous. Spacious and the bed very comfortable. Best sleep I have had on this trip. If you come to Fes Riad Le Calife is worth every penny.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 February 2020,5,Live like a pasha,"Yasmine and Alex own this Riad, but while you stay here, you'll be treated as if YOU owned it. The decor and furnishings are exotic and authentic. The help are all dedicated to your pleasures and needs. You're given a Moroccan cell phone to use if you get lost AND you're escorted to the cab stand or to and from the nearby restaurants. Breakfasts and dinners in their rooftop, but enclosed, dining room are excellent. Fes is a charming, inviting, place and the Riad Le Calife is the perfect launching pad for your exploration. It is priced as a premier property, so trim your vacation by a day if you need to but stay with Yasmine and Alex.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 February 2020,5,Simply wonderful!,All the great reviews are fully deserved. This is a stunning Riad. The building is a feast for the eyes and so are the superb contents. On top of this though is the passion of the owners Alex and Yasmine. They CARE that you have a good time and will make sure it happens.,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 February 2020,5,Wonderful Riad,We spent 3 nights at the Riad Le California in Fed. This is probably the best hotel we have ever visited. The rooms are stunning and the food was the best we have had in Morocco. The staff was friendly and helpful,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 December 2019,5,Superb Riad,"Let me start by saying that this is an Oasis the chaotic Medina of Fes. Firstthw owners Jasmine and Alex, french couple that breath service to theuir guests, upon arrival nice reception, the rooms are superb, the restaurant is amazing and the food was superb, all serviced with wine is wishes. Alex recommended us a restaurant and he called teh restaurant to send a guide to escort us back and forth. The riad is clean pretyy, nice terrace with superb restaurant, is just the perfect Riad, on teh top of that the personalized service of Jasmine and Alex, maeke you feel at hiome. Go to Riad Le Calife cant go wrong!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 December 2019,5,Feels like home,"For our first time ever in Morocco we stayed in Fez for 7 days @Riad Le Calife and it was an amazing trip! Everything made us feel home away from home from the beginning until the end. Very warm people, top room, top service, great food (we also did a cooking class @Le Calife with Fatima and that was big fun: thank you Fatima!), a cosy and beautiful place, beautiful interior design, sunny rooftop, cosy bar and if you have questions or needs ideas: just ask. We tried every restaurant the owners of Le Calife offered us and they were all perfect! We were never bored, not one day. Thank you guys, for making this trip to Fez one of our best visits ever! CU soon, Barbara & Tom",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 December 2019,5,A magical stay in a gorgeous riad with fantastic hosts and staff,"It's been nearly 2 weeks since we checked out of Riad Le Calife and I am still dreaming about this gorgeous place. We had an unforgettable time in Morocco and this riad was one of the highlights. The entire experience was wonderful - from the fascinating approach to it, guided by the riad's staff through the dark, narrow alleys of the medina in Fes to the wonderful, warm welcome by Yasmine who opened the door to us and immediately made us feel at home, to the beautifully decorated rooms and spaces. Your first impression of Riad Le Calife, especially if you arrive after dark, will be almost cinematic in quality if you like atmospheric experiences. :-) The surprising thing is that it doesn't ever go downhill from that wonderful first impression. Yasmine felt like an old friend,…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 January 2020,5,Best Riad in Morocco!,"This is the absolute best Riad to stay in Morocco! After staying in 10 different riads, dars and hotels in Morocco, Riad Le Calife is absolutely exceptional. Their attention to details not only in terms of service, amenities, but also decorations within the Riad is incomparable. Yasmine, Alex, Meryem and all other staff are so lovely, friendly and helpful - it really doesn’t get more personal than this. I highly recommend this Riad to those travelers looking for that luxurious stay with a personal touch.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 January 2020,5,Best part of my visit to Fes,"I just stayed here and it was probably the best part of my visit to Fes. The owners, and staff, are friendly, polite and this has to be the most gorgeous Riad in Fes. It is so comfortable, and safe, and in a fantastic location for the Medina, and meeting tours. The breakfast and dinner are incredible. Yasmine, Meryeme, Alex were so helpful in every way. great for a solo female traveler although I would recommend for others as well. Highly recommend. I’d give 10 stars if I could.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 December 2019,5,Beyond our wildest dreams---The most beautiful riad in fes!,"From the moment we booked our room, every detail was covered to perfection by hosts Yasmine and Alex, a wonderful couple who has run this gorgeous riad for 12 years. We booked the Diamont suite, because we loved the red color, and omg--the most stunning room i've ever spent a night in. The breakfasts are amazing, and so was the dinner that we enjoyed at the hotel. The riad is well located in the Medina, and the hotel arranged a guide for us the first day, which is an absolute necessity (unless you have a very large ball of string!), and gave us a cell phone to use in case we got lost (which we did on the second day. I wish i could just live in this riad and be pampered every day like we were! thank you so much Yasmine and Alex!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
