 December 2022,5,Absolutely perfect!,Came here with my friend after doing 4 days in Marrekch and was definitely the perfect balance to the busy city. It’s about 30-45 min outside of the Fes Medina but don’t let that stop you from coming. The owner is incredibly helpful in accommodating and planning trips in and out of the Medina and scheduling guided tours. He arranged a fantastic Medina tour for us one day with Farida (an incredible guide) and also a day in Bhalil with a local guide there as well. The staff is super accommodating and the meals were some of the best meals I’ve ever had. The view is absolutely incredible and the rooms are up to date and brand new. Overall 10/10 and can’t wait to come back here again!,Dar_El_Mandar_Farm-Fes_Fes_Meknes,hotelName,city
 July 2022,5,Will go agin & again & again,"Beautifull as always . . .better and greener gardens, new activities, new suites with extravagant decor ideas and a nice shop for locally made products . The food was authentic and delicious, Bravo the whole team! Omar et Heuda",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2022,5,Nice stay,We had a wonderful experience here. The stay was beautiful and always neat. The food was delicious and always fresh. We want to thank everyone from dar el mandar for this beautiful memory. we were here for two days and really enjoyed it.,Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 July 2022,5,Just like Heaven !,"This is such a lovely place to stay in. It is very calm and relaxing. The view is incredible: one of the most beautiful sunset I have seen in my life, the food is great its traditional moroccan food, the staff is lovely and very helpful and the place is super clean. Perfect location if you want to cut out from your busy life and have a proper break. My husband and I could have stayed there forever! Thank you for looking after us!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2022,5,Heaven,"When I booked Dar El Mandar I wondered if it may be too good to be true- I’m pleased to say it isn’t. It’s even more beautiful that the photos suggest- which is saying something! Driving up the winding roads, you start to get the feeling that you may be about to stumble upon a real hidden gem and when you arrive, you are struck with a feeling of calm which doesn’t leave you until the moment you leave- a true oasis. We arrived before our bedroom was ready, so Jaoued had kindly arranged a light lunch for our arrival. This was the beginning of four days of the most outstanding food. Everything is fresh and delicious. The bright salads, warm bread and succulent tagines were just absolute heaven and I’m sure I’ll return just for the food alone! Aladine had laid some towels out…",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2022,5,Great time!,"We stayed with 10 people at the place. We had a very great time. The service was great, the view was great, the nature was great and the food was the best! Top quality food! We enjoyed all. Recommended for everyone.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 July 2022,5,the perfect does not exist but there is an exception: Dar El mandar,"everything was perfect, the welcome was warm, the staff was courteous and the room was five-star luxury. without forgetting the welcome tea as well as the delicious Moroccan pastries. the children loved the little farm and the snack presented at sunset was unique in the world 这个山里的乡村旅馆太让我惊喜了，沿着盘沿的山路上山一度让我失望，但是到了目的地别有洞天。倚着山能够看到整个城市的风景，感受着徐徐晚风吹来，当夕阳西下的时候，一边品着茶吃着摩洛哥有名的烙饼和小点心，一边看着夕阳🌇慢慢的落下山头，太美了！晚上享受完丰富的晚餐，可以坐在帐篷里看天上的星星。旅馆里所有布置的民族风情浓郁，服务人员态度良好，是非常值得推荐给大家！！！",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 July 2022,5,My favourite place to be in,"Dar el mandar is one of my favourite places to be in , such a wonderful place with a great view. The stuff there are amazing we love being there always , and it’s the best place for me to meditate . Highly recommended",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 July 2022,5,The ambience is intimate and very relaxing.The landscapes are simply amazing and breathtaking.,"If you want to disconnect from everyday stress and take some rest with you wife or your children and reconnect with nature. This is the place you must to be. the staff made us feel like we was with family, and the food was also delicious evry time something new with beautiful Moroccan dishes. We are talking about dar el mandar situated in the hills above Fez offering heaven views of the valley! Seeing Fez at night in the valley during a full moon was magical. A big thank you to our kind hosts who made it such a memorable and restful trip",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 March 2022,5,Just like heaven!,"My friends and I spent great two nights at Dar el Mandar. What an amazing place. We were greeted with a such a unique kindness by Jaoued and his staff,. They were very friendly and accommodating. The rooms were clean, had fantastic view and the beds were comfortable. We enjoyed a bakery workshop with the staff which was exceptional and highlight of our stay. Highly recommended and we would gladly stay their again!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 September 2021,5,A piece of paradise,This place is truly a must do! It is perfect for connecting with nature and enjoy its peacefulness. Everything was perfect from the amenities to the food and the staff. I will be coming back soon. PS: it's really not far from fes,Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 June 2022,5,Perfect hillside retreat with friends and kids,"I’ve been here many times to take a break from city life and each time I love it more and more and want to stay longer. This time we went with friends and their children. The kids can swim and explore the amazing property. Parents can relax and enjoy the view, property and the food and service is amazing. Everyone I recommend this to has the same great experience and wants to return. There are 4 new private rooms added to the property that are just beautiful!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 May 2022,5,Unforgettable experience and amazing trip,"Went their with a group of friends for sunset and dinner. The view was fantastic, food was excellent. The owner was a very nice and hard working person. He showed us a different Fez in Morocco. I hope one day I could stay in this beautiful place for a couple of nights with my family.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 May 2022,5,À true home base for our little family,"What was supposed to be a 2 day stay turned out to be an entire week! Together with my husband and 1,5 year old daughter, we were welcomed by Jaoued and Alae (and his family) as if we’ve always been there! Dar El Mandar is a diamond, overlooking the breathtaking valley of Fes. The property offers everything you could wish for: greeneries, animals, beautiful surroundings, super friendly people and delicious local food. We’ve felt at home, and got to discover the most beautiful hidden places thanks to Alae’s suggestions! this place is fit for so many purposes: family stays, romantic trips, team buildings… we would love to come back!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 May 2022,5,A breath taking view,"An excellent location with excellent service. For every one how is seeking for beauty and peace. The simplicity is the key to experience an unforgettable moments, the decent Service gives you a feeling of privacy to enjoy nature and the time you are spending with you company. For sure it not be the last time, that I visit Almandar and the lovely area.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 May 2022,5,"A hidden gem, a must visit!","This place was a highlight of my trip! So chic and simple, with stunning views, amazing sunsets, delicious food and incredibly attentive and friendly owners! I am most definitely coming back for a longer stay. I highly highly recommend it!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 March 2022,5,"Spectacular view, great service, delicious food","The food, the view, and the experience of spending a weekend at Dar El Mandar is worth the short drive outside of Fes. The view out in the day is stunning, made even more so at night with the twinkling lights of the city in the valley and set against the delicious meals and excellent service the location offers. Rooms were lovely and well kept, staff were helpful, friendly and wonderfully attentive. This is certainly a resort to come back to for more than a few nights!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 March 2022,5,Incredible Experience,"One night at this fabulous place is not enough! The location, the perfectly appointed rooms, the service, the food were all outstanding. If we ever get to return to Morocco this place will be at the top of our list of places to revisit (and definitely not for just one night)!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 March 2022,5,Amazing from Start to Finish!,"We recently came as a large group of 12 people to Dar El Mandar for one night and it was HEAVEN. The food, the lodging, the staff...all were top notch and we all left with having had an amazing experience. I cannot recommend this property enough. The views are incredible, and nothing beat lounging under the Berber tent while sipping mint tea :-) PS: Be sure to sign up for the Berber bread-making class...such fun with a delicious result!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 March 2022,5,"Beautiful Setting, Excellent Service","The location is beautifully situated in the hills above Fez offering SPECTACULAR views of the valley! Seeing Fez at night in the valley during a full moon was magical. We enjoyed mint tea upon arrival under the tent overlooking the valley until our room was ready. The rooms are brand new and perfectly appointed with every amenity you might need including an huge view of the valley and your own private back yard. Lunch, dinner, and breakfast was delicious! We even had a traditional Moroccan breadmaking class cooked in a wood-fired oven which they then served us with olive oil and olives! They have a bar that is open all day. Our evening finished with traditional Berber music and dancing around a bonfire. The owners were incredibly welcoming and kind and greatly…",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 March 2022,5,Too good to be real,"If you want to disconnect from everyday stress and reconnect with nature. This is the place to be. Not only did the staff made me feel like I was with family, but the food was also delicious. It felt so nice to just look at the beautiful view and breathe fresh air. We also did a bread cooking class and it was really fun to learn and see. The rooms were pretty spacious and the heater helped keep the room warm since it got chilly outside. The owners were the most welcoming and I cannot wait to go back with my family because after only one night there I wanted to stay for more.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 February 2022,5,"Beautiful, tranquil stay","What a beautiful place, which we had mainly to ourselves for a long weekend likely due to the cooler weather and COVID restrictions. Despite being some of the only guests, the staff took such great care of us including giving us an unexpected demonstration of Berber bread baking. We ended up eating most meals there, since it was so convenient and delicious. It was lovely to cozy up to the fire at night, and our little dog had a wonderful time exploring the grounds. Definitely a dog friendly place, which is one of the main reasons we like to stay further outside of main cities. Fes is about 30 min away by car. We had a lovely time exploring the Old Medina but were so happy to return to peaceful Dar El Mandar after a long day out on our feet! I also want to mention how well…",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 December 2021,5,My go-to place ❤️,Dar El Mandar is by far my favorite place in the region of Fez. I always spend great moments of family and friends gathering in there. Each time is a pleasent experience to cherish and remember. The ambience is intimate and very relaxing. The landscapes are simply amazing and breathtaking. The team is just excellent. Thank you.,Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 December 2021,5,"Location, service, view, & food is all top notch","Dar El Mandar is great for families, with games to play indoors and a pool in warm weather. Dinner and breakfast were delicious. The decor is lovely and the surrounding view is spectacular. A must-visit if you are near Fes. We hope to return soon!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 November 2021,5,"Spectacular views, food, experience!","Dar el mandar is the most spectacular place in a northern Marocco. It is a real oasis with beautiful views, delicious food and wonderfull pool. This place exceeded our expectations. The owner Jaoued was very helpful and open. If you are looking a place in Marocco where you can read a book, meditade, do yoga or just rest after visiting loud cities you should visit Dar el Mandar!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 September 2021,5,Amazing place,"This place is magical ! If you want somewhere to relax and enjoy amazing food and views, this place is where to go ! The staff are super Nice too ! The food was done so carefully and fresh I ll def go there again",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2021,5,Excellent place where my husband and I find peace,"There is a LOT I can say about this place, but Ill try to keep it short. Not only is the location spectacular, the overall service is just amazing. So hospitable, so friendly, so calm.. the owner and staff really try to make your stay as pleasant as they can and it lacks nothing! My husband and I came here first on our honeymoon 4 years ago, and we have been returning almost yearly during our anniversary week. I always book a little longer than the year before, yet at the end of our stay we always ask if our stay can be prolonged because we love it so much. The only, and I mean only improvement point I can name is the internet/wifi, but to be honest, it lets you enjoy the moment more. Even the downside is somewhat of an upside :-) Dont hesitate, just book.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2021,5,Beautiful place,"Beautiful place, located close to fez. If you are looking for a place to rest and connect with nature this is your spot. The food is amazing, the employees are so kind, all services are available. I totally recommend and will definitely come back.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2021,5,Amazing stay at dar el mandar we loved it!,We had an amazing stay at dar el mandar everything was perfect the food the view the pool and the service was amazing. We will certainly come back very soon. I highly recommend this hotel. Jawas the owner is very nice and very helpful,Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 May 2021,5,H,Beautiful view Great service Peaceful place Perfect destination with friends Amazing place to visit 🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌄🌠🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌠🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🌄🌅🏞🌅🏞🌄🌅🌄🌅🏞🌅🌄🏞🌄🌅🏞🌅🌅🏞🏞🏞🏞🏞🏞🌅🌅🏞🌄🌅🌅🌅🏞🌄🌅🌄🏞🏞🏞🏞🌅🌄🏞🏞🏞🌄🌅🏞🌄🏞🌄🏞🏞🌄🌅 Wonderful sunset 🌅♥️,Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 June 2021,5,"The Oasis, The Magic","There is not enough that can be said about the beauty and hospitality of Dar el Mandar. An exquisite oasis magically conjured up from the mountain side with breathtaking views, and amazing staff. The owner is a rare gem with faultless attention to detail who went out of his way to accommodate us. The grounds, pool and relaxing areas are pure magic, the rooms stylish and a perfect blend of traditional craftsmanship and contemporary comfort. The food- dinner and breakfast - was simply sublime. We could not get enough of this stay and will definitely be back. In all honesty, we never wanted to leave. Bravo team Dar el Mandar you excelled yourselves. Lee (Australia)",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 May 2021,5,A jewel of relaxation,"Dar el Mamdar is more than a great surprise. It is a well designed, well maintained, well managed jewel of relaxation and tranquilly at the foothills of the Moyen Atlas. With excellent service to match the spectacular views, great pool and garden and hiking. What more could anyone want. Highly recommended.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 May 2021,5,A view to die for,"We spent 3 nights here. The scenery is outstanding as is the service and the love and attention with which this place has been curated. We enjoyed a spectacular hike over the hills and through poppy fields with Ala, who searched us out and guided us on a 12 km trek. The food is excellent and the warmth and hospitality are second to none. We had the pleasure of chatting to the owner, Jaouad, and it was inspiring to hear his dream of equity, sustainability and love-of-the-land. Truly a magnificent place for a get-away. The team are looking forward to opening 4 new rooms in June '21 - we were given a tour and they are beautiful - all with stunning views over the countryside towards Fes. Thank you, Jaouad, Ala and team!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 February 2021,5,Picturesque property! Wonderful stay!,"My sister, son and myself stayed here for one night while traveling the area. It is such a unique property outside of Fes. The service, food and rooms were wonderful. We had the best moroccan dinner shortly after arriving, After we had relaxed and drank tea inside by the fire. I would recommend arriving before sunset so you can see it too! The property layout and architecture/landscaping of the property was pristine. Everything there is curated with thought and detail to make your stay enjoyable and relaxing. We will be coming back again for a longer stay in a few weeks and hope to use the pool if the weather is warm enough. Highly recommend staying here!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 December 2020,5,Amazing,"My husband and I had the most amazing time at Dar El Mandar. The view is stunning, the rooms are super cosy, the reception/restaurant is very homey, the staff is very nice and welcoming and the food was awesome. I realy recommend this place.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 October 2020,5,"Wonderful, Peaceful, Welcoming Place!","We (2 couples) stayed here for 3 days 2 nights. The breakfast and dinner at the property was AWESOME! We've lived in Morocco for 2 years now and it was our favorite places we've ever stayed. The property is stunning and it is so peaceful. It is a fantastic place to go to get out of the city and have a nice quiet visit. But, it is still only like 30 minutes outside of Fez so you have the option of going into the city if you want. Overall. this place is awesome and we strongly recommend it!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 October 2020,5,Peace and beauty over the Fes valley,"We were 2 families that stayed at Dar El Mandar over a long weekend. The 3 rooms were perfect for what we needed - to separate kids from parents! Jaoued and his staff were amazing and very accommodating in every way. They showed us walking paths around the hotel, provided vegetarian options for our meals, let us help to make the berber bread from the fire oven. It was perfect!! The view from El Mandar is amazing - you sit up on the hill, clear across the valley to Fes and yet it only takes 30-40 minutes to reach the center of the Fes medina. There are so many great activities that Jaoued and El Mandar are participating in to uplift the local community, as it's their community, and that makes your stay at Dar El Mandar that much more wonderful. We hiked and picnicked around…",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 September 2020,5,❤️Absolutely wonderful place ❤️,"I've been in dar EL mander couple times already, everything in here is absolutely amazing starting from the location the breathtaking view , the staff are very friendly , the traditional delicious Moroccan food , thank you guy's for the warm hospitality we will definitely be back again as it's our favorite spot in Morocco ❤️",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2020,5,Peacefulness,"I wanna share with you my experience in this wonderful place. I stayed there for not even 24 hours and i was amazed by everything about it. The landscape is breathtaking, the rooms were very cleaan, the staff were like angels because you never see them walking around or disturbing you but whenever you need them they show up right on time to help you with anything. The foood is heavenly and I should tell you that I’m Moroccan and i’ve tasted enough Moroccan food in my life to know that this one was really made with care and love. I will definitely go back there whenever i feel like I’m overwhelmed with the city life and i recommend it to anyone else that feels the need to relax and enjoy nature.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2020,5,Irréprochable,"We had the pleasure my friends and I of spending 2 days in this beautiful place, and i was really surprised by the quality of food, it was heavenly. The staff was really welcoming and warm. I recommand this place to anyone who wants to have a peacefull experience and connect with nature in a beautiful way.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 July 2020,5,Amazing,"Dar El Mandar is an excellent option for a couple's getaway. We've been there a few times already and it never disappoints : great view, impeccable service, nice rooms and food to die for. It is also a good option for families with the cute animals and games that can keep the kids entertained all day.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 February 2020,5,"Authentic space, breathless view and eco-friendly spot!","It was our last weekend before heading to Belgium and leaving my beloved husband, we called the kind owner Jaouad in the last minute and he was so nice and he accepted our reservation, it was a magical weekend, everything about this place inspired me! The breathless view of nature and fes city which is oriented perfectly to contemplate the sunset and sunrise..the food is all abt the delicious Moroccan traditional dishes they are also using fresh veggies from there farm..hence, I can talk about this experience but it's about a review so i'll try to keep it brief..haha the stuff are so friendly that you feel like home or u re invited to your friends guesthouse..when it comes to the rooms what I mostly like is that everything is place with love and passion adopting the minimalist…",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 September 2019,5,Beautiful view with great service,"The location of Dar El Mandar is perfect. You have a great view over the valley. The booked the entire farm with a group of 6 people so we had the entire place to our self. The service was great, drinks were served regularly and the food served was also amazing.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 September 2019,5,Lovely view and super friendly people!,"We loved the friendly people, the food, the room and the location! I will go back if I’m in the area! The swimming pool was very clean and the water was really refreshing! The WiFi wasn’t very steady, but we didn’t need that since we were here to relax!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 September 2019,5,Tranquil Escape,"Many thanks to the warm & generous hosts for making this the most special of our stays in Morocco. Everything about this place is exceptional,from the hillside views of Fes in the distance, to the stylish accommodation with fabulous home cooked meals using locally sourced ingredients & great local wine. We don't speak French but that just added to the fun as we found ways to communicate. Thanks again from Di & Richard",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2019,5,Paradise in the mountain,"Lovely and very relaxing place. I really found peace over there with my family, coming from Russia. All the staff is so nice and warm. Thanks Dar el Mandar for this experience. I will come back very soon.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 July 2019,5,Beautiful Resort with Amazing View,"I stayed here for 3 days and my family really enjoyed being here. The Pool is great and the view is Amazing. We also had the traditional Moroccan Food, Chicken Tajin with several Salads fresh Bread etc. If you really want to enjoy yourself and looking for the well deserved rest don't hesitate and just come here. The Owner and his Wife are very friendly and they make sure that you get everything you need and the staff is also very friendly. Rooms are tradional Maroccan and very good as well.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 June 2019,5,"Spectacular views, ideal for an adult getaway","Our hosts made us very welcome. Although the staff did not speak English, we still managed to gain an understanding. The surrounds are spectacular. Accommodation is very comfortable and food was very good. Would recommend mainly for adults as a special retreat.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 June 2019,5,Relaxing Summer Day,"Our friends who live in Fez took us to this magical small resort located half an hour from Fez up in the mountains. What a pace changer from the busy Medina to the relaxing, quiet and peaceful country side. The view from the resort is spectacular. We got to watch the traditional Moroccan bread making and tasting the traditional Berber food dish Rfissa. Everything was delicious! The kids enjoyed swimming in the pool and shooting bow and arrows. The staff was very friendly and took great care of us. We highly recommend a stop by Dar El Mandar if you make it to Fez.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 May 2019,5,A slice of heaven,"We stayed as a family for 3 wonderful nights at Dar El Mandar. Everything about our stay was fantastic. The farm is located in a tranquil haven, nestled into a mountainside with views across the plain towards Fes. The buildings are sympathetic to the landscape and furnished in a lovely Berber style. Our children loved the pool and gardens, our youngest especially enjoyed seeing a wild tortoise pottering around and the farm donkey. We are a vegan/vegetarian family and the cooks at the farm made us incredible dinners and breakfast every day. We ate so, so well! Joued the owner is very friendly and helpful. We did a bread making class in the Berber tent which we really enjoyed too. We'd recommend hiring a car if you are coming here as you can go and explore nearby towns like Azrou,…",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 May 2019,5,Breathtaking view,"The best panoramic view in Morocco, tasty food, clean and nicely decorated rooms, friendly and helpful staff, beautiful garden. Perfect combination of moroccan hospitality and french taste. We would like to return. Merci et bravo!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
