 November 2022,5,Awesome experience!,"We loved our stay at Sofitel Rabat Jardin des Roses. The hotel is absolutely beautiful, the service was awesome, the food at all restaurants was delicious. Everything went flawless and we felt pampered our entire stay. We had our first experience with Moroccan food at Al Warda restaurant, and it was excellent. Fatima Zohra and Oumaima Sanae did a great job helping us to select dishes and serve dinner and vine. The overall experience was outstanding!",hotelName,city
 November 2022,5,UNIQUE AND LUXURIOUS PLACE EVER,Best and unique service and place ever calm and luxurious Wanna thank all the team of this hotel SOFITEL RABAT and special thanks to Anouar from Amber Bar for the greatest service ever thank you so much and all i can say is go to sofitel rabat jardin des roses or go home,sofitel _rabat,rabat
 November 2022,5,Love this hotel,An excellent hotel with brilliant staff. I cannot praise the Club Millesime enough. The manager was so helpful and welcoming. She made us the most amazing coffee in three layers! The staff at the restaurant were lovely and we had the best meal at the Golden Fish.,sofitel _rabat,rabat
 November 2022,5,Awesome night,Great night. Sarif & Seloine & Amal were fantastic accommodating wait staff. Window seats by pool was super fun. It was the perfect spot after a relaxing spa day next door at the hammam which was incredible.,sofitel _rabat,rabat
 November 2022,5,Cool spot for an evening hang with friends,"Great service! Sarif & Seloine & Amal were excellent. Sat on the couches overlooking the pool, great view and ambiance. Sweet spot for friends hanging. Food was hit and miss, wine too, but the experience of company in a beautiful and not too loud environment was worth it.",sofitel _rabat,rabat
 November 2022,5,Amazing experience,It was the one of the cleanest hotel in Rabat the most warm and welcome people definitely especially the guest relation Fatima such a lovely person. i will highly recommend it and I will be back there soon it is really close to everywhere to the centre of Rabat,sofitel _rabat,rabat
 October 2022,5,Beautiful place,"A wonderful place with some very friendly and nice people. A very Big thanks to Fati from the guest team, very helpful and Always listening to our need she made our experience unforgettable. Thank you again for everything",sofitel _rabat,rabat
 November 2022,5,A recomanded Place,"I will never forget my visit to the Otel Sofitel in Rabat as part of a business dinner there, that place that makes you feel like you are in one of the palaces of the Disney world, there is a wonderful place in the capital of Morocco, its location is really strategic, it is really a wonderful place I recommend to visit because you will have a wonderful reception by the staff there, In addition to the delicious dishes that they will offer you from fish to juices and other delicious foods prepared by the most skilled chefs, and I don't miss the opportunity to thank the service staff and their good treatment of us, especially The server Abdessamad.",sofitel _rabat,rabat
 November 2022,5,Five star restaurant,Good restaurant.I great job done by our waitress amel she was outstanding a lot of thanks to the manager soufian who try do this best to satisfy our purpose the dishes are delicious atmosphere convivial I recommend highly The chief nabil was ousome,sofitel _rabat,rabat
 October 2022,5,Amazing hotel,"Nezha the house keeper and her team made my travelers rooms clean, tidy and neat I thank her for the wonderful service she gave to us. I recommend this place for anyone who wants to spend a great time in Rabat. Nezha please thank the rest of you team members for all the service",sofitel _rabat,rabat
 October 2022,5,Great restaurant at a lovely hotel!,Long day traveling from Marrakech to Casablanca then Rabat. Checked in to the Sofitel Jardin Des Roses and wanted to find dinner close to the hotel. Went to the Golden Fish since it was at the hotel. Sat right next to the pool with relaxing water feature sound of spray into the pool. Very comfortable chairs and the sea bass was the best I’ve had in awhile! Great service too from Amal and Youssef! HIGHLY recommended!,sofitel _rabat,rabat
 October 2022,5,Food and service are impeccable!!,"My stay at the hotel is memorable . The food is amazing and the service was amazing with them ladies in charge , SANAE , Fatima Ezohra and Oumaima. For the room service and the cleaning , no complaint at all, everything was in check and extra well done with SANAA, Rachida and Hafida. The scent of cleanliness is priceless in this hotel! I definitely recommend this hotel and the food with all the service crew that goes with it !",sofitel _rabat,rabat
 October 2022,5,I love this place magic,"I really appreciate the welcoming of the reception specially Aziza and Sara, they helped me with my reservation and also the guest relation zineb very kind and always smiling she brings me a delicious drink thank you all for everything",sofitel _rabat,rabat
 October 2022,5,Spa sofitel,"First of all I would like to thank all the staff of Spa it Was a wonderful experience, I make massage Moroccan traditional bath, with marocain ingredients, also the pool so relaxing place to have a wonderful day , it was a pleasure to have some days there I m so happy to be there",sofitel _rabat,rabat
 October 2022,5,Good breakfast experience,"Zineb guest relation is very accommodating and great host. The food is amazing. High recommend it! Thank you all the breakfast team fades, Othman and ibtissm for their help I recommend the breakfast at Sofitel Rabat I had good time",sofitel _rabat,rabat
 October 2022,5,I recommend the hotel so good,We are so happy to be in this hotel we had great time with the guest relation zineb she was very helpful in everything and also at breakfast thank you for your kindness I hope I wil came back to have the same experience,sofitel _rabat,rabat
 October 2022,5,"Amazing trip good breakfast, kindly staff , excellent location","Amazing trip good breakfast, kindly staff,excellent location. The hotel is well located with a wonderful view. The team is very helpful and respectful with very high standards of professionalism, a special thanks to Fatima Zahra the guest of the hotel the most attentive and serviable person ever. Breakfast buffet was a value added to our stay. So nice to come back and spend couple of days there. Thank you Sofitel team and see you next time.",sofitel _rabat,rabat
 October 2022,5,Beautiful experience,"My trip to Morocco was amazing I stayed at Sofitel Rabat and I met the team they are so nice and helpful, Zineb the guest relation was their to welcome us with a delicious menth thea ,the suit is so clean and smells so good thanks to nezha and zhor at the housekeeping, I’ll come back as soon as possible to experiment again this beautiful experience",sofitel _rabat,rabat
 October 2022,5,Excellent,The dinner at the traditional Moroccoan Restaurant Warda was very good and the smiling service provided by Oumaima and Sane was really Excellent . The beef tajin and the fruits were really enjoyable. Prof Dr Liaquat Ali Bangladesh,sofitel _rabat,rabat
 October 2022,5,Love this place!!!,"It’s all AMAZING I had a really great time here everything is perfect. The staff are great and always available. We felt very welcomed 🥰 The guest Fatima zahra was so lovely such a bright soul. The hotel allows you to do many activities such as going to the gym, but above all it has a great view. 100% recommend",sofitel _rabat,rabat
 October 2022,5,Good restaurant,"The restaurant Golden Fish was amazing, our server Oumaima was lovely!! Highly recommend, good food and a lovely atmosphere! We had many of the dishes on the menu and all were fantastic! Really enjoyed our experience!",sofitel _rabat,rabat
 October 2022,5,Amazing hotel and restaurant,We were treated so incredibly well. The hotel is amazing and the grounds are beautiful. The rooms are so clean and impeccable. We would stay here again if we come to Rabat and definitely recommend. We were able to have a group dinner on site with our tour group and we had an amazing server at Golden Fish - Youssef. He went above and beyond for our group- Extremely polite and very professional. Thank you for an amazing dinner 😃,sofitel _rabat,rabat
 October 2022,5,"Best dinner in al Warda restaraunt. Sana, thanks for hospitality and professionalism ❤️","Dinner in the restaurant of Maroccan cuisine. Good atmosphere, delicious food and excellent hospitality. Thanks you, Sana for your kind service ❤️. I hade a set of starters and enjoyed real marocain food experience this evening. Will come back again next time!",sofitel _rabat,rabat
 October 2022,5,Best service at Sofitel Rabat thank you so much to the great welcoming,I had a great stay at Sofitel Rabat the rooms are so clean thanks to nezha and the welcome is professional from the guest relation Zineb we had great welcome with a delicious welcome drink at our check-in thank you for the hight quality service,sofitel _rabat,rabat
 October 2022,5,Great stay thanks to the housekeeping nazha and guest relation zineb,"Thank you for all the services I had a great stay I would like to thank nazha housekeeping and zineb guest relation for their help during the stay We will came back to the hotel as soon as possible, I really recommend the hotel hight service",sofitel _rabat,rabat
 October 2022,5,Take care of the good ones!,"Its rare to find those special humans that care, take care of Mr. Mohamed achemrah he is always happy always caring!! The rest really depemds on the mood of the staff, some days its alright, some days are good, some others day a little less but overall you get along.",sofitel _rabat,rabat
 October 2022,5,Amazing experience,"The team is wonderful, very knowledgeable and helpful!! The level of service is fantastic. The location is perfect. The attention to detail astonishing. We really enjoyed just conversing with hotel staff and getting to know them especially The Guest Fatima zahra her recommendations were very helpful",sofitel _rabat,rabat
 October 2022,5,Great Service,I want to thank all the team at the Sofitel in Rabat. The service was outstanding. People are very kind and helpful. I particularly thank Hafida for looking after us. I recommend this hotel because of the guest relations including Zineb.,sofitel _rabat,rabat
 September 2022,5,Excellent housekeeping service,I was particularly charmed by the excellent service of the housekeeping staff (Housekeeping ladies Soukaina and Najat and supervisors Habiba and Zineb). I stayed in the hotel 19-21 September 2022. The housekeeping team showed me how to properly use my Nespresso coffee maker and even prepared a coffee for me. They also cleaned my shirt after I made stains on it.,sofitel _rabat,rabat
 September 2022,4,Great vacation,"Beautiful hotel and gardens. Peaceful and relaxing. Breakfast was amazing. Nizar (reception) - incredible all around. Excellent service, thoughtful and accommodating, he was such a pleasure to work with. Younes (waiter at the Golden Fish) was also excellent. He made us feel so comfortable and taken care of at all times. The entire breakfast buffet staff went out of their way to make sure we had what we needed.",sofitel _rabat,rabat
 September 2022,4,Great stay,"This hotel is ideally situated in Rabat, on a beautiful property near the gorgeous Andalusian gardens. Don’t skip out on the elaborate breakfast buffet that’s beautiful in itself and has amazing staff. Younes at the Golden Fish was incredibly accommodating and made us feel like family. Nizar in reception provided outstanding service to ensure we had a great stay. They and the breakfast buffet staff get 5 stars for their excellent service. There was a very strange incident with the front desk one night when they chased us into the elevator because they thought we weren’t registered to our hotel rooms (even though we had provided our room number to the hotel security). Overall, still a great stay.",sofitel _rabat,rabat
 October 2022,5,Excellent stay. Great staff,"The hotel was very clean and tidy. Facilities were second to none. The staff were very friendly and couldn’t do enough for you. I stayed on the fourth floor and the the maids on that floor were amazing. I’d like to say a massive thank you to Najat, Sokia & Hahiba for making my stay so memorable.",sofitel _rabat,rabat
 September 2022,5,Excellent service Fatima restaurant marrocan,"Excellent see, always with a smile , accurate ordering and excellent chicken tagline definitely come back again, Fatima zohra very professional 2nd visit in 2 weeks and will be back again in a month. Brilliant",sofitel _rabat,rabat
 September 2022,5,A special thanks,"I’ve been here for 8 days, I really liked the hospitality also the kindness I want to congratulet the hotel for the training and the management and I want to send a special thanks to Fatima Zaharia, Jamal, Fadoua, Safia thank u so much for your professional service…",sofitel _rabat,rabat
 September 2022,5,The sofitel 👍🏼,"Satisfied by the whole experience I would have loved to stay longer, Sofitel and it staff made us feel like home , I would like to thank Zohra who spoiled us like no one , during the brunch she was really nice to us, careful , clean and her service was on point 👌🏼 and also Soumia , my dear Soumia ! She took care of our well-being during our whole stay, a very hardworking, pleasant and professional lady ! We ll definitely be back .",sofitel _rabat,rabat
 September 2022,5,Fantastic Steak - 5* Service & Quality,"I was surprised to find such a hiden gem restaurant ‘The Golden Fish’ in the corporate Sofitel in Rabat. For meat lovers this has literally been the best fillet steak I have eaten in years. The service is fantastic led by an inspiring manager Soufiane and ABdessamad and Salic who prepared and cooked such a lovely meal. Sadly I am here for four nights and have had the same meal every night. But take my advice, if you are in Rabat and want a Michelin Star meal at a surprisingly low price come here. #Brilliant",sofitel _rabat,rabat
 September 2022,5,Excellent,Had a great food Moroccan Tajine in Sofitel hotel Rabat. Thanks to Fatima and Sana for the excellent service. First time experience with the Moroccan local dish. Recommend for experiencing Lamb Tagine.,sofitel _rabat,rabat
 September 2022,5,Impeccable service with a touch of magic!,"When i was on the internet searching for hotels to pick for me and my family, i came upon a name that i was familiar with, so that's the one i chose and i did not expect the great things that i experienced during my time there. The staff was very friendly and very patient with my requests, especially MR. Abdessamad, he responded well to everything i threw at him, i appreciate his help during my stay there.",sofitel _rabat,rabat
 September 2022,5,Good Service,"I would to thank all the hotel staff for You have good food and service, especially the server of a restaurant, I think his name is Abdel Samad .... Also the reception was good We will be back soon inchae lah ........",sofitel _rabat,rabat
 September 2022,5,A MAGICAL PLACE,I was at the Sofitel restaurant for dinner and the service was excellent. The staff is very friendly especially Amal and Salif. They were attentive and caring. The food is delicious and very tasty. Refined is the word I would use for this magical place.,sofitel _rabat,rabat
 September 2022,5,Very nice environment @ Al Warda,"Very welcoming and professional staff. Special thanks to Ms. Sanae and Ms Fatima for their welcoming hospitality. We had the best Lamb Tajin in Morocco, The lamb shoulder was vey tasteful. Highly recommended!",sofitel _rabat,rabat
 September 2022,5,A resort that is in exotic Morocco,Best meal ever looking over beautiful garden and pool with led multi color lights and a splashing sound of fountains. We ordered a Monk fish and Sole. The size of the sole was extraordinary and the veggies cooked perfectly. Our Hostess Zahira and Miss Amal and Host Mr Salif and Manager Sofiane were so attentive and helpful. A must visit.,sofitel _rabat,rabat
 September 2022,5,Alwarda sofitel Rabat,My first experience in rabat sofitel specifically in Al warda restaurant two staff members Sana and Fatima they helped us a lot on what to choose and recommendations for the food since its our first time. Amazing and friendly. Highly recommend to ask for Sana and Fatima when you visit sofitel Rabat Al warda restaurant. Try the Pastillas.,sofitel _rabat,rabat
 September 2022,5,Wonderful visit to Al Warda restaurant! And great STAFF,"Amazing experience at Al Warda Restaurant best food ( try their chicken pastilla and Moroccan salad) and had a great experience with Sana and Fatima they were extremely kind and hospitable I had to write a review. I would gladly buy a plane ticket and fly back here , even if its a 10 hour trip.",sofitel _rabat,rabat
 September 2022,5,Dinner at Al Warda at Sofitel,"Fatima and Sana were wonderful. Highly attentive, warm and gracious. We enjoyed our dinner at Al Warda because of their courtesy, they explained the menu well(due to our lack of French) and we will definitely come back.",sofitel _rabat,rabat
 September 2022,5,"Great service Ref cleaners, breakfast and reception","Excellent service the hotel has really turned things around and are striving to give the best service to us at all times. I’d like to personally thank the cleaning girls on floor 5 the rooms have been spotlessly clean, zineb, toughane and the other girls I don’t know there names but all need to be thanked for there efforts. The breakfast staff. Are excellent in the el Patio they have worked really hard and made sure we have all of our daily requirements fulfilled. The reception staff are very good and Azziza is extremely good and will help as much as possible if required. The other reception staff are also excellent.",sofitel _rabat,rabat
 September 2022,5,Loved it.,"Wonderful experience. Food was delicious, wonderful fish, and our hostess/waitress, Amal, and her colleague, Salif, were delightful, efficient and very tolerant of working with difficult customers like myself. . I highly recommend this restaurant. And thanks you all staff for your attention.",sofitel _rabat,rabat
 September 2022,5,"Lovely stay, comfy room and great breakfast/staff","We were at the Sofitel in Rabat as part of a group tour that we booked with the Gate1 agency (our fave). This was the first hotel in our stay and it did not disappoint. We had a large and comfortable room, bathroom had a large shower; the bed was very comfy (king). The bar staff was very friendly and the terrace was inviting; 2 musicians performing the two nights were there. The highlight was the breakfast experience. The entire team was super attentive and the selection was second to none. The manager even came to our table to ensure everything was great (her name escapes me but she’s wonderful!) Highly recommend.",sofitel _rabat,rabat
 September 2022,5,Amazing service and amenities,"I have to say the Sofitel Rabat jardin des roses is growing with grace . It was and will be the best hotel in the capital . Relief , service rooms and the views are outstanding. Front office : best and most professional staff , deserving to be the star of the front office : Hasnaa . Golden fish : I can’t emphasis on how professional , friendly and proactive these staff are are ; Youness maljoum , Salah , Omar from the gold fish restaurant .. amazing views on the gardens and the pool , good service , attention to details and delicious menu . Thanks again for making our business trip very relaxing and feeling like a super vacation . Sabrine",sofitel _rabat,rabat
 September 2022,5,Good service in golden fish,Thank you all staff but specially mr soufian and amal for your attention and the amazing welcome. A professional team with a professional service. I wish you all the best and keep up the amazing work. I totally recommend.,sofitel _rabat,rabat
 September 2022,5,Excellent service and Moroccan traditional food !,I was very satisfied with the quality of the service. This is an excellent place to eat Moroccan traditional food ! Thank you Fatima Zohra and Saane! The restaurant decoration is also very good and comfortable!,sofitel _rabat,rabat
 September 2022,5,Restaurant Al Warda,"We had a wonderful diner at Al Warda restaurant, certainly the best Couscous in Rabat The atmosphere is wonderful and the service is perfect , Fatima Zora and Sala were very nice and efficient, I definitely recommend the restaurant for a real Moroccan meal",sofitel _rabat,rabat
 September 2022,5,Excellent experience at Sofitel Rabat,Excellent feedback and overall experience. We especially appreciated Fatima and Sala at the Al Varda restaurant who gave us a great service at dinner. Food was also very good. The hotel is well located and extremely practical for business with large and luxury lobby and lounge.,sofitel _rabat,rabat
 September 2022,5,Amazing kefta tajin and lamb shoulder and server,"This dish was amazing and the server was extremely hospitable, I would recommend anyone to visit this fantastic place once again. We really loved the food and we can't wait to try their other types of tajins",sofitel _rabat,rabat
 September 2022,5,Restaurant review,"Amazing service from an excellent team that always provide exceptional assistance especially Mr Abdelfettah and Mrs. Zohra at the golden fish restaurant who are always so kind , professional and make us feel at home .",sofitel _rabat,rabat
 September 2022,5,Legendary Moroccan Hospitality at its Best,"I had the great pleasure of an extended stay at Sofitel Rabat Morocco. It boasts an excellent location right next to a lovely forest/park. From the secured, gated entrance to the immaculately manicured grounds, the staff is courteous, attentive, helpful and accommodating. The hotel meets the expectations of a 5 star designation. The delicious, varied and bountiful breakfast selections are not to be missed. Hind prepares the most exquisite omelets while Malika provides excellent service. The Harira soup is a delight. I highly recommend the Spa and its Hammam. It is an experience to not be missed and the perfect rejuvenation after a 14 hours flight. Overall, a top notch experience and my new home away from home for my business trips to the lovely city of Rabat and the…",sofitel _rabat,rabat
 September 2022,5,Fantastic customer service,"I have had dinner at golden fish, food was super tasty and good quality. Amal the waitress was lovely, very attentive and well mannered. I would recommend this restaurant to my friends. I will come back for sure.",sofitel _rabat,rabat
 September 2022,5,Nice hotel & Amazing Food,"The hotel is fabulous, I basically liked everything, but especially the Food at Al WArda restaurant!! It’s a restaurant situated inside the hotel itself. The service was awesome , Fatima Ezzahra & Sanaa were very friendly, attentive and helpful… they gave many recommendations with a smile on their faces , and this is exactly what we are missing nowadays, a SMILE does all the difference!! Same goes with Othmane, during lunchtime at the terrace, he is just an incredible man who did everything to make that moment memorable sharing a very good vibes!! Those people are great and made my stay very enjoyable 🥰",sofitel _rabat,rabat
 September 2022,5,Hight quality service,"Amazing hotel the housekeeping has a good service very nice and kindness, Nezha is here for every detail and I'm so glad about it, I had I great welcome from the guest relation Zineb she helped me in everything thank you",sofitel _rabat,rabat
 September 2022,5,Thank you to the guest relation Zineb for everything,"Perfect hotel for having good stay with friends , food is amazing, a huge thanks to the guest reflation Zineb for been so nice with us all of our stay and giving us to much time for a good service and hospitality",sofitel _rabat,rabat
 August 2022,3,Unimaginative menu in restaurant,"A hotel like this demands a restaurant with great food. It was unimaginative with tried and tested food that is also not done well. A member of staff, Zineb was the best thing about this hotel. Garden is well maintained. Rooms gets pass marks.",sofitel _rabat,rabat
 September 2022,5,Moroccan restaurant al warda,"Great food, and atmosphere, Fatima zohra went above and beyond the service that was expecting. Many thanks to Fatima she got food made off the standard menu for my friend’s special needs,, I have not seen him smile like this for ages.",sofitel _rabat,rabat
 September 2022,5,Zineb guest relation incredible person,"I have been in the Sofitel in Rabat for 40 days now and I must say it has been an outstanding experience! My first contact at the hotel was with Zineb in Guest Relations. Zineb is an incredible person. She is very nice, polite, professional, and made me feel welcomed from the moment I step in the hotel. The entire staff at the Sofitel has been fantastic. They always have a smile on their face and speak to each guest as if they were family. Their service is excellent. The hotel grounds are beautiful and very well maintained. I cannot say enough good things about the Sofitel Rabat. I highly recommend this hotel for your stay in Rabat!",sofitel _rabat,rabat
 September 2022,5,Excellent hotel with a truly beautiful big swimming pool and gardens,"This is one of the best swimming pools and gardens I have enjoyed at any hotel. There is also a beautiful hamman steam bath and spa. Frankly you can have a great holiday just here without leaving the hotel. A lovely cool sea breeze keeps the summer temperatures down and the staff are very friendly, the food is excellent and it is a joy to stay here. All rooms have a good view either towards the sea or over the gardens and pool.",sofitel _rabat,rabat
 September 2022,1,Again another bad experience,"Can you please tell me what is the privilege's I am gaining from this loyalty program? a welcome drink that cost 2 Euros? Today I checked in Sofitel Rabat for 3 nights paying for a Junior suite average of 400 Euros per night, I shall gain an upgrade to a better suite as platinum member and the gentleman in the reception told me I need to speak with my manage. She declined stating no availability then I re-asked the receptionist that the application of all Accor is showing suite availability . I told them OK, do not do it as a gesture although this is not gesture as since there is availability they must upgrade me, so I asked them to deduct from my suite upgrade balance and upgrade this junior suite to a bigger suite, the receptionist again asked his manager to make the upgrade…",sofitel _rabat,rabat
 November 2021,4,"Good stay, one of the better Rabat hotels","Good hotel, good location, most areas of Rabat are accessible from here. Hotel offers good facilities. Nice relaxing lounge swimming pool area. Nice grand entrance to hotel and Lobby area. Rooms are nice, staff also seemed hospitable, however the queuing for checking was a bit arduous… overall good stay",sofitel _rabat,rabat
 August 2022,5,Garden view,"t is always a pleasure to return back to Sofitel Rabat. Best place to stay in Rabat, lovely garden, very friendly team, and convenient rooms. Definitely ask for a garden view room. Try golden fish restaurant if you are too tired to go out for dinner.",sofitel _rabat,rabat
 August 2022,5,Great service! Nadia and Nawal are amazing at the 8th floor,"We staying a wonderful week here, the service is wonderful. But what makes it great is the professionalism and kindness of Nadia and Nawal at the 8th floor. They are amazing, our stay was very memorable, it was a wonderful experience. Thank you so much.",sofitel _rabat,rabat
 August 2022,5,good service in golden fish,Amal is a lovely lady she served us very politely and quick. She always make sure that we get what we want. We had a good experience and lovely dinner with my fiance. If you are looking into romantic dinner you must check this place out.,sofitel _rabat,rabat
 August 2022,5,Magnifique,"Our 1 week holiday at the Sofitel Rabat was so nice and comfortable it’s a real oase of peace place. Especially the room ladies at our floor made our stay unforgettable with just that touch what makes your stay really pleasant. They are always there to help you with everything and with a lovely smile, the rooms are perfectly done and clean and beautiful roses were put in our room. Thank you girls .. The swimming pool is such a lovely place to hang out after coming back from a medina visit! The only thing what was disappointing was that the El Warda restaurant was closed in August! But we are for sure coming back to this hotel and hopefully we can have dinner at El Warda that time…",sofitel _rabat,rabat
 August 2022,5,"very good service, good food and very clean","There is a very good service at the hotel , good food and nice stuff, like miss Nezha and miss Fouzia; also the stuff at the recaption are very kind and welcoming; outside there is a nice garden with 3 pools",sofitel _rabat,rabat
 August 2022,3,ITS GOING DOWN,Bed is totally damaged they need to change the mattress ASAP and pillows are very bad they need to BE changed SOME of THE ROOMES have Broken showers and flooring tails and shataf was damaged I complained but they didn’t fix it breakfast staff very nice BUT LOBBY OUTDOOR SEATING STAFF THERE SERVICE NOT GOOD front desk people where NICE,sofitel _rabat,rabat
 June 2022,4,Magnificent gardens,"Whenever I am in Business trip to Rabat I stay at the Sofitel Jardin des roses. This hotel has the most beautiful gardens in Morocco! And the scent of flowers including the lovely Orange Blossom adds to the charm of the place. It is very conveniently located, so easy to commute to my business meetings. And when I am not working I enjoy the beautiful pool, drinks on the Terrace or the delicious Tagines in the Moroccan restaurant of the hotel. Service is always top quality, albeit the hotel interior and furniture is quite tired and needs a refresh.",sofitel _rabat,rabat
 July 2022,5,"Great staff, great service and a great hotel","The reason I come to this hotel time and time again, about 8 times in last few years is their service, their attention to details, their quality of food and of course their gym and the pool. I can’t stop talking about their staff, each one, regardless of their role or title, want you to know that you are his or her guest, and they will do anything and everything to make sure that your stay is memorable. This time my wife and I celebrated our 30th wedding anniversary. We had a great time, enjoyed the food, the gym and the pool. Thanks again to the management for this hotel for instilling a welcome, comforting environment. I want to thank the following staff: Nawal, for her great service at the breakfast area, Nadia, the ClubMillazima 8th floor manager for her smiles and great…",sofitel _rabat,rabat
 August 2022,5,Wonderful meal at the Golden Fish,"Amazing food, looked after by great staff, Amel, Youssef & Salif The food was beautiful, great quality dinner & desert, lovely atmosphere, very attentive staff, could not do enough for you, highly recommend",sofitel _rabat,rabat
 July 2022,5,Great hotel,"I'm in the hotel 2 weeks every month so it's my second home i want say thanks to Anita in the reception she's taking care of as she is doing her best for all of as , also all the other staff in the front desk big thanks for them all",sofitel _rabat,rabat
 August 2022,5,The great Place and Great Server ❤️,"A few days ago, we met, me and my colleagues, in Sofitel hustle Rabat to have a diner and to discuss professional businesses . In that hustle, there is a restaurant Called ""Golden fish"", when you can have the most Diliciouse Fish ever, Not just That, you will Also have a great Welcoming And good service by The servers Specifically The Server ABDESSAMAD, He is a great Guy, I want ro thank him in this Review. Last I advise Everybody The ask about the Server ABDESSAMAD In the Golden Fish Restaurant ❤️",sofitel _rabat,rabat
 July 2022,5,Sofitel & Club millesime.,"I stayed in The hotel Jardin des roses for my honeymoon. I was very pleased with the hotels accommodations and staff. The hotel is luxurious, and the service is excellent. The breakfast was surprisingly good. It includes a huge choose of varied food. Everything from sausages to the most delicious choices of cakes. The breakfast is so good that I made it my main meal. The best view is towards the inner garden where you find the swimming pools. If you got the possibility to add access to the club millemsime to your stay, do it. The Club is situated at the 8th floor. This is the highest floor in the building. The view is superb. The club is very exclusive. It contains some dinning tables, a living room with comfortable sofa and TV and a separate room for office work with…",sofitel _rabat,rabat
