 October 2022,5,"Amazing riad, a must when visiting Morocco","There are no words to describe this amazing riad, or better say magical castle! It is incredibly decorated, both in the common spaces and the rooms. The food is authentic and you can not imagine how delicious it is, both breakfast and dinner! But above all is the warm hospitality that will truly make you feel like you are with family. I highly recommend staying here. There are the cinema studios near by that will make for a great attraction. I know I will be back!!!",hotelName,city
 September 2022,4,Great place to stay,"I stayed here for two nights as part of a group travelling through Morocco. The staff were all friendly and helpful, and one young woman serving us our meals was particularly helpful - I’m sorry I didn’t get her name. Our meals were served in the courtyard, a pleasant oasis in the heat. The food was delicious and well prepared. The pool was a nice place to cool off after a long day outside the hotel. My room had everything I needed, although it was dark due to having only two small windows. But every room in the hotel is different and some rooms had great views over the town and surrounding area. The one negative about the hotel would be the number of stairs to get around the place, all with steps of different heights and of differing materials. The lighting was poor in…",Dar_Daif,Ouarzazate
 July 2022,5,Excellent accommodation!,"Excellent accomodation! The road to Dair Daif does not give a way you are going to enter a little sanctuary. Beautiful, super clean, comfortabel beds, and the decoration throughout the house are unique! We only stayed for one night as a stop before heading to Tinghir and Merzouga but I would not have mind staying longer. Breakfast and dinner were excellent. There’s a pool to cool down in garden. We got good tips from the owner on things to visite in the area. Staff were all 1 by one 1 super polite, friendly and helpful. Don’t hesitate, it’s really worth the stay! Thank you for the cumin and cookies!",Dar_Daif,Ouarzazate
 March 2022,5,Beautiful place to be still,"This is an exquisite place to spend a few days detoxing from the weariness of life. It is clearly a labor of love handcrafted over decades by its French ex-pat owner, Jean-Pierre and his Moroccan family. Every room, every detail is thoughtfully designed to convey the ambiance of an oasis in the desert. I encourage you reserve a room with a balcony, otherwise the inside rooms can feel rather claustrophobic. The pool is also quite small, but suffices as a way to cool off from the dusty heat. Breakfast was excellent and full of delicious variety. The only down-side is that the B&B's secluded location makes it costly to taxi back and forth to the town of Ouarzazate or the airport. When I checked out, I had a nice conversation with the owner regarding their struggle to keep the…",Dar_Daif,Ouarzazate
 May 2022,5,A 'Gem' !,"This exotic Riad with stunning views, delicious traditional Moroccan food, the most kindest and welcoming people to serve your every need is an absolute 'gem' in this fascinating region at the edge of the High Atlas, where desert and mountains meet! Beautiful authentique Moroccan designed suites with customised service is a little slice of paradise. Tailored daily trips accompanied by experienced guides with a wealth of regional knowledge is a pure delight - I highly recommend the Valley of Roses , ask for Ali! Treat yourself to a traditional Hammam scrub followed by a relaxing massage and you will have the best night sleep! It was a pleasure to stay in Dar Daif, to meet Jean Pierre and his team, to feel so welcomed particularly after spending 3 years in this country through…",Dar_Daif,Ouarzazate
 March 2022,5,Great Hotel! Service exceptional !,"Chose this hotel instead of other because of the reviews and i am glad i did it! Located in a remote area outside of Merzouga. Service was fantastic in all area - check in, luggage,ability to choose the room , room was amazing and spacious. Regarding food - dinner was ok plus, only downside was the chicken that was served for main course to us (other guests got couscous,guess i needed to request, although i thing you should not make differences between guest. I am in Morroco- i want local food not chicken! ) . Breakfast was nice but here again they offer regular omlette and not for example berber omlette which is local! Anyway i still give them 5 stars as they are going out of their minds just to serve you efficiently and kindly. Good work!",Dar_Daif,Ouarzazate
 January 2022,5,Moroccan Holiday Magic,"From the moment you enter you will immediately feel at home in this beautiful and charming Riad, set in a quiet neighborhood on the edge of Ouarzazate. The reception area opens to a stunning courtyard offering the coolness and calm of sheltered patios and a swimming pool. Rooms are decorated in stunning Moroccan style, extremely comfortable and come with all amenities. There are several levels to the Riad and it's fun to explore the many areas including a library and the dining rooms. Dar Diaf’s restaurant prepares delicious, traditional meals, a true highlight of my stay, including a freshly prepared breakfasts to start each day. I was so impressed at the exceptional level of warm and friendly hospitality and on short notice, the team arranged day-trips for me during my…",Dar_Daif,Ouarzazate
 December 2021,5,Amazing place with amazing hosts!,"We stopped by Riad Daïf for a night on our way to merzouga, we were by Bouchra who installed us in our cosy room and took note of our choices for dinner, We were in a very nice and clean room with everything to feel confortable, We had dinner and had the chance to meet Jean Pierre, the owner, passioned by morocco and respectul to its people and culture...he welcomed us warmly and suggested to show us some must seen places. After a relaxing night, we had a wonderful breakfast on the terrace where Laila and Naoual served us warm soup and fresh fruits and more... Jean Pierre is an inspiring person and meeting him was a real pleasure! We would definitely recommend the place to discover Ouarzazate and surroundings...",Dar_Daif,Ouarzazate
 July 2021,5,A unique place with unique staff,"A very special place. Incorporated into its surroundings in a very respectful and humble way, yet, without losing the high standards. The aesthetics and the architecture transmit a very deep thought that concerns every detail. Jean Pierre, the owner is an incredible person who with utmost generosity shared his immense knowledge of the region. The staff had helped us finding specific places that interested us in the area and was generous and communicative. We will be very happy to return soon.",Dar_Daif,Ouarzazate
 December 2020,5,Dar Daïf,"What a beautiful and tranquil environment for a well deserved experience in Ouarzazate,Morocco Gorgeous Kasbah with very helpful staff and delicious food not to mention the best service and beautiful grounds. The rooms are traditionally decorated and breakfast on the terrace is a gift. I will be back, Madeleine 2020",Dar_Daif,Ouarzazate
 May 2019,5,amazing,the best place that we where in Morocco astonish Dar / hotel the hotel very nice and clean every thing was just perfect the room very big the bath room so nice food excellent the view from the hotel very nice a lot of beautiful spot for eating just perfect! the price for diner was very high 22 Euro the location out of the center it was scary a little bit to get to the hotel,Dar_Daif,Ouarzazate
 February 2020,5,Stay before and after an expedition in the Sahara desert,"Dar Daïf is a place where one can experience somehow how it feels to be hosted by a Moroccan family sharing their home. Now, Dar Daïf is a large home where the guest is treated like a king, tea, cookies, hamam, books, conversations with the other travellers... There is a stunning view from the terraces. To be tried even if for a short stay. Might give you the wish to return. For my wife and me, it was our second stay and hopefully not our last.",Dar_Daif,Ouarzazate
 February 2020,5,Staying at Dar Daïf before and after treks in the desert,"The personnel at Dar Daïf is kind and smiling. The setting and the rooms are beautiful. The whole place is clean. The traditionnal Moroccan food is excellent - and served abundantly. For those who love the desert and plan to trek, Jean-Pierre and Zineb, owners of Dar Daïf, are experienced desert guides who will provide plenty of very good advices and organize and lead great treks. On your way back from the desert, you will love getting a good scrub in the hammam!",Dar_Daif,Ouarzazate
 March 2020,5,Desert Pearl,Dar Daif was our departing point for a Desert Trek with Desert & Montagne. Our stay here was such a treat. All the staff is extremely friendly and caring. The entire trip was well prepared and exciting. After the desert trip we returned to Dar Daif and enjoyed the peaceful surroundings. What a joy....,Dar_Daif,Ouarzazate
 February 2020,5,A hidden gem,"A wonderful experience trekking in the middle of the desert and getting back to this beautiful Riad. Beautiful garden/decorations, kind and welcoming staff, delicious food, clean facilities. Said (the owner) is simply amazing and very accessible. Don't miss the exfoliating treatment at the hammam and the massage afterwards, you won't regret it. :) Best vacation of my life, highly recommend!",Dar_Daif,Ouarzazate
 January 2020,5,Great venue!,"I have spent the night at Dar Daif and I was impressed by the professionalism of the staff, their kindness, efficiency and the authenticity of the place - it looks like an old castle - completely refurbished respecting local tradition. The owner, a French man who's been living there for ages, is very sweet and kind as well. A beautiful experience - higly recommended!",Dar_Daif,Ouarzazate
 January 2020,5,Amazing!,"Located quite far from Ourzazate center the place is a hidden gem - beautiful garden and the building, everything is nicely decorated, welcoming people, all was very clean and facilities were good. We celebrated the new year there and the food was also of a good quality and variety - local yogurt and desserts were really great :) also my friends tried unusual options - like pastry with pigeon. Everyone was happy with the choice. The place not be missed!",Dar_Daif,Ouarzazate
 December 2019,4,The hidden garden,"Dar Daif is a beautiful and amazing guest house located in an humble location where locale people are welcoming you and smiling to you. So of course don't expect a 5 star hotel, but for sure the service and hygiene are of high quality. The surrounding is more ""country side"" than bling bling, you may not feel at your place but once you find Dar Daif and access to its internal garden, you are quickly impressed. We felt ourselves comfortable and happy like discovering an oasis in a desert. Dar Daif is a marvellously restored house and well maintained, served by people doing their job with passion and in a very professional way. Not everything is perfect but there are here and there some details which can be easily forgiven. There are 3 types of dinner according to your level of…",Dar_Daif,Ouarzazate
 November 2019,5,Quite simply amazing - a unique place,"This was by far and away our best accommodation in our Moroccan holiday. Dar Daif is a beautifully restored traditional Kasbah. I kept wanting to take photos again and again as we ascended from the courtyard ‘oasis-like’ garden to the public areas in the upper floors, all of which were tastefully and expensively furnished. Exploring each room was fascinating and a delight which lingers in the memory (just see the photos). There were a number of terraces from where there were fine views of the High Atlas and the surrounding desert. The bedrooms were comfortable. We had an enjoyable Tajine in the evening and a good breakfast. Dar Daif is well worthy of its 5 stars. The staff were very welcoming.",Dar_Daif,Ouarzazate
 November 2019,5,An oasis,Amazing Spent a night here on a 6 day motorcycle trip around Morroco with a group of friends. The service here is second to none on arrival we were offered mint tea and biscuits while our rooms were being sorted out. The rooms are amazing very clean and tidy and everyone is different. The food was great and the staff serving were very helpful. I couldn’t recommend this hotel enough if I get a chance to come to Morroco again I will definitely be coming here,Dar_Daif,Ouarzazate
 October 2019,5,A piece of paradise!,"Dar Daif and its staff make us feel at home, within their walls as well as in the desert! Also, the accompanying teams when you go for a trek are exceptional human beings, for their wisdom and their empathy. In this oasis, I’d like to point out in particular: - The charm of each and every room, each with its own soul - The magnificence of every common space and terrasse - The generosity and deliciousness when it comes to the meals (again, at Dar Daif as well as in the desert!) - The hammam and skin exfoliation that will make you feel as reborn (a unique moment!) This is a unique & regenerating place - to be experienced the Moroccan way, without stress - where I will come back again and again!",Dar_Daif,Ouarzazate
 October 2019,1,Too many problems,No hot water! Waiting 1 hour for staff to check the problem and they still they do not come. The air condition does not work! People sitting next to the door and smoking. I do not expect from a hotel such problems.,Dar_Daif,Ouarzazate
 September 2019,5,Fabulous stay - we will come back if we can,"Arrived at lunch time with a group of 7, and although we had not made reservations for lunch, the staff was very helpful in preparing a light meal. We had to choose one of the gourmet dinner menus and had an absolutely fabulous dinner on the terrace right next to the kitchen. Breakfast was outstanding. All three rooms were charming and all had a different decoraion and cachet. On leaving we congratulated the owner, Jean-Pierre, with the friendliness of his staff. Moroccans are very friendly, and these people really went out of their way to do better still. We higly recommend this hotel and will do all we can to go back in the not too distant future.",Dar_Daif,Ouarzazate
 August 2019,5,Best Hospitality Yet in Morocco,"My family of five is on a road trip, so far we've visited Oualidia, Essouira, Agadir and now Ouarzazate. We spent one night here and wish it could have lasted longer. JP and his staff are exceedingly kind and helpful. The property itself is stunning and they clearly have systems in place to ensure the happiness of all guests. I had a massage which was quite good. We were able to stay all together in one room (3 adults, 2 kids) and I hated to leave. Parting was sweet sorrow - literally made sweet with a goodbye gift and wonderful surprise car wash. Don't hesitate to stay with Jean Pierre and his staff, they are all five stars.",Dar_Daif,Ouarzazate
 July 2019,5,Fantastic lunch!,We visited today and had the most fantastic lunch - thank you so much to Jean-Pierre and all of his welcoming staff! Some of the best food we have had on our stay in Morocco and a little oasis of calm and cool from the desert - we hope to return one day.,Dar_Daif,Ouarzazate
 June 2019,5,Magical place,On the way to Merzouga from Marrakech we stopped in Ouarzazate and stayed in Dar Daif. It was magical place with lush gardens and terraces. Staff was beyond wonderful and always happy to help. Rooms were dreamy and so pleasant to stay with so many wonderful details to mention. We had triple room with terrace that even had a tea nook. On the way back from Merzouga we made sure we returned back and especially on insistence of our son who found it to be like a tale story. We warmly and highly recommend this beautiful place. Aleksandar,Dar_Daif,Ouarzazate
 June 2019,5,Wonderful place...!!!,"Amazing and wonderful place!! We are a family with two kids (10 and 6 yo) and we loved it since the first moment we walked through the door: it was like leaving a hot and sunny world to discover a real oasis... the maison is fantastic, with original moroccan furnishing.... our room had a terrace with view: the staff immediately proposed to have our dinner there... dinner was excellent, staff very kind, all perfect!! The swimming pool was a gift after a hot trip from Marrakech...! We met the owner, a charming man who gave us precious suggestions for our way to the desert: he was extremely kind and fiendly.... thankyou to all...!",Dar_Daif,Ouarzazate
 May 2019,5,Wonderful stay,This is my fourth time staying in Dar Daif and I KEEP coming back because it is a real jewel. The house is a restored kasbah and full of treasures. The rooms are spacious and comfortable with both air conditioning and heating which is great for the hot summers and cold winters. The food is all locally sourced and freshly prepared and delicious. I highly recommend the lamb and quince tagine. The most important thing for me is the deep knowledge of the area of the hosts Jean-Pierre and Zineb. They are the absolute experts on this region and if you possible can you should book a trek with them. It will be a great experience - I had a marvellous time.,Dar_Daif,Ouarzazate
 April 2019,4,1 great night /çok huzurlu bir gece,"Çok huzurlu.. iki oda ve banyodan oluşan bir yerde kaldık. Bu tip evlere Kasbah deniyor. Çok geniş ailelerin hep beraber yaşadığı evler. Herşey çok temiz, eve girerken ayakkabıları çıkartıyorsunuz. Akşam yemeğini kendimize aşt balkonumuzda yedik. yemekler çok lezzetli ve ambians muhteşem.. bayanlar için masaj imkanı var .. 45 dakikalık bir seans ücreti 17 Euro.. kahvaltıyı yeşillikler arasında bir bahçede yaptık. Çöl gezisi planlıyorsanız ve fasa ulaştığınız ilk nokta marrakech ise , quverzazad konaklama için ideal. Ev sahiplerinin nezaketinden çok etkilendik. Bu konaklama için tek eleştiri merkezden hayli uzak olması ve otel dışında hiç bir imkan sunmaması, bu nedenle 4 yıldız verdim. Very peaceful .. we stayed in a room consisting of two rooms and bathroom. These houses…",Dar_Daif,Ouarzazate
 April 2019,5,Feel like a Lord if s Kasbah,"20 year old hotel, renovated and with 14 rooms. Amazing decor and very authentic. Dinner need to order in advance and is served on the top floors. Family run and the landlord himself goes around all tables for dinner and introduces himself. A typical patron who is French. Food is very good. Rooms very clean and you feel like going back in history during the feudal time. Super friendly staff overall.",Dar_Daif,Ouarzazate
 March 2019,5,We only ate here--but clearly among the best traditional restaurants south of the Atlas!,"We were brought here by a Moroccan friend who had heard about the place though we were staying elsewhere. The fixed course menu was a real feast of locally sourced and carefully prepared starters--delicious marinated olives, pumpkin unlike any you have ever eaten, aubergine lightly seasoned, peppers in oil, courgettes in herbs, with savoury briouats: then a pastilla of the lightest pastry with perfect texture to the lightly spiced chicken filling. The orange tart for desert too was perfect. You will need to book in advance. It's not the easiest place to find unless you get a local to bring you, but well worth the visit. While we didnt visit any of the rooms, it also looks to be a romantic place to stay: away from it all with lots of exotic places to hang out and a really…",Dar_Daif,Ouarzazate
 February 2019,4,Amazing place,"I stayed with my friends one night. The hotel is so so so beautiful. The room, the garden, the hamam, the food(dinner, breakfast) and of course the lovely stuff was amazing. They were well prepared, at least for the things we wanted. The only problem is that is very far from the town of Ouarzazate but the hotel is TORALLY reccomened, especially if you want to relax after a long driving day to the town.",Dar_Daif,Ouarzazate
 January 2019,5,Magical stay,"I was so impressed with this enchanting hotel, with its beautiful gardens, sunny terraces and huge exotic bedrooms, each one a suite of rooms. Staff were as friendly and helpful as it’s possible to be, and the food was excellent. Highly recommended.",Dar_Daif,Ouarzazate
 December 2018,5,Step into 1001 Arabian Nights at Dar Daifa,"This was our 2nd stay at Dar Daifa. The 1st time was in 2010 when a group of friends went hiking in the Atlas Mountains. The 2nd time was over Christmas 2018 with the entire family (7 of us). Dar Daifa was the starting point for a trip hiking in the desert, organized by the owners of Dar Daifa (Jean-Pierre and Zeeneb). When you walk into this Riad, you are entranced by the Moroccan decor that makes you feel that you have stepped into a story from 1001 Nights. From the mint tea that is served on your arrival (and we arrived at 1am in the morning on Dec 26), to the beautiful interior courts and gardens and maze of winding staircases where once can easily get lost, Dar Daifa is an enchanting Riad Hotel that makes you feel you are in another world. The rooms were lovely, the…",Dar_Daif,Ouarzazate
 January 2019,5,Amazing,"Friendly staff Really, Really nice place to stay in the middle of Marrakech & Mergouza. The Breakfast was well thought off as well as the dinner. The Room was outstanding for 3 persons we manage to get a suite with 3 Rooms and a Balcony. The Outside view (in the picture) was also a view of how great this place is. All praises to the staffs who were walking up & down stairs to deliver food.",Dar_Daif,Ouarzazate
 December 2018,5,Three nights stay,"My second time coming to this beautiful place, not just for the authentic Moroccan decor, the well coordinated Colors and the comfort but also for the high quality genuine service. All stuff at Dar Daïf made sure weren’t missing anything and provided a personalized service; from the time we want to be served breakfast till the choice of what we want to eat for dinner. The owner made sure to provide us with route maps for the area and told us about the most interesting places to visit (no need to do a lot of research before hand..take it from a local). Place was secured and our car was washed every morning :) A great places to break if heading to the desert. Highly recommend it and will definitely go back again.",Dar_Daif,Ouarzazate
 December 2018,5,Super service,"Excellent service, very friendly!! It is a peacefull quiet location. Staff is relax an offers not only basic service there are working very hard for just that extra service feeling. We didnt had a car, there is a busstop nearby every 40 minutes to centrum.",Dar_Daif,Ouarzazate
 November 2018,5,Amazing,"This hotel was our stop at the end of our groups week long motorbike trip around the Atlas Mountains. What an a amazing place,from the outside it looks very normal but once though the door it’s like a different world the rooms are something else, everyone seems a little different with more than enough space. The staff are very friendly and helpful and to chill out with a mint tea in the courtyard after a long ride was fantastic. Highly recommend",Dar_Daif,Ouarzazate
 October 2018,3,Not our cup of tea,"Very small dark room. Cold small shower. The swimmingpool is very very small, in the shade. No real option to spend some time. The dinner and breakfast were good. Friendly service from a young girl (who spoke good English!). The neighbourhood is not great, be aware of that. We did not like the look and file of this place. But maybe other people like it better.",Dar_Daif,Ouarzazate
 July 2018,5,"Enchanting, fragrant Dar daif",We made a round trip in Morocco and I can tell that this hotel was the most beautiful with the best breakfast and best smell in the whole country. All the employees and the owner of the place were very kind and hospitable. The swimming pool offered a pleasant ending of our day.,Dar_Daif,Ouarzazate
 August 2018,5,Secret Garden,"Set outside of town, this place is an oasis. Literally. Elegant, peaceful, excellent service. Beautifully appointed, classic decor. Well maintained with every detail looked after. We enjoyed a delicious dinner and even made time for a couple of hammam treatments. After a few days driving and coming from Merzouga we needed it. Wonderful treatments. Of course you need to talk to the owner who will give you fantastic help and guidance for your trip. Listen closely as he is 100% accurate and might give you a hand drawn map. He is a wealth of information. Take a moment to chat with him. Loved this place. Highly recommend.",Dar_Daif,Ouarzazate
 August 2018,5,"Perfect stay, wonderful staff","Absolutely loved our stay at Dar Daif. We were constantly blown away by the level of service and hospitability here. They thought of everything and took so much care to make our stay as brilliant as possible, all included in the price of the room. The breakfasts were excellent and we really enjoyed our excursion with Yassim to Ben Haddou. We ended up extending our stay because we didn't want to leave! Thank you Dar Daif and we'll definitely be back if we ever come back to Morocco!",Dar_Daif,Ouarzazate
 August 2018,5,My very first Kazbah,"OK, so maybe it wasn't the first kazbah I've ever seen, but definitelly it was the first kazbah where I stayed for the night. Dar Daif is a really nice hotel ca. 10 mins drive from Ouarzazate center. It looks like na old castle, but offers fairly modern and clean rooms. One may say that it is another kazbah-like hotels in Morocco, but this one is really special as it's staff and the owner make sure that you will feel there like at home. Small gestures such as free tea and water as well as tips given prior to your departure will keep Dar Daif in my memory as one of the best places to stay in the country.",Dar_Daif,Ouarzazate
 August 2018,5,Amazing,"Amazing place to stay, we loved everything, our room, the food, the location, the view, the garden, the hospitality of the staff and of the owner. Hospitality is all about details and they’re all being well taken care of at this hotel. Couldn’t recommend it enough, if you plan to stop in Ouarzazate, this is the spot no question about it. Our only regret about this place was to not have stayed longer!",Dar_Daif,Ouarzazate
 June 2018,5,Hospitality,"The most welcoming staff in a gorgeous setting. They brought us breakfast at the room at 3 in the morning, because we were fasting. The room was very cosy, the shower was good and food and warmth of the employees made us happy.",Dar_Daif,Ouarzazate
 May 2018,5,Great experience,"The experience at this hotel was amazing. The hotel is beautiful and the employees are all very nice. Everyday we are asked at which time and where we want breakfast or dinner. There are several places to choose from common rooms, to the garden, to private balconies. On our first morning, when we were going out for the first time, we found our car clean! The nice man who helps people park, watches over the cars and carries the luggage, actually took the time to clean our car which was completely dirty after the 7 hour drive across Morocco. The owner, is a very nice person with a presence and voice which is able to lower the stress levels on anyone. I recommend this hotel to anyone travelling to Ouarzazate. it may be outside the city limits but its worth it.",Dar_Daif,Ouarzazate
 April 2018,5,Stay here . . . .,".... at least one night! I had the good fortune to be booked here for a night by a Marrakech travel agent in 2011, and the experience was so lovely that the hotel immediately came to mind when I found myself unexpectedly in Ouerzazate for a night. I was so pleased to find a room available, though I came to late too avail myself of the hammam or masseuse services, as I had on my initial visit. The rooms of the kasbah are indeed unique and a blend of traditional atmosphere and modern convenience. Small things like numerous and conveniently placed outlets, desks and tables, phone to call the front desk, well-placed mirrors, make life easier for a weary traveler. The rooms are not ostentatious but quietly welcoming and simply but aesthetically decorated. Each time I've stayed my…",Dar_Daif,Ouarzazate
 March 2018,5,Great Teamwork Makes Everything Seem Right,"Dar Daif is a peaceful, comfortable and, if you wish, romantic place to relax for a few days or to use as a base for exploring the area around Ouarzazate. It is also very well managed, and the owner and staff appear to work seamlessly together to ensure that everything is done to make your stay successful. Our room was not meant to be luxurious but rather to follow a traditional style with all the necessary comforts. The bathroom is always important to me, and there was a great shower with plenty of hot water and even a towel warmer. In our adjoining room there was a mirror with chair and plug nearby for doing my hair. Contrary to our original intentions, we took all of our dinners at Dar Daif because the food was superb. If you choose to eat in the dining room, the tables…",Dar_Daif,Ouarzazate
 February 2018,4,Off the beaten track and not that easy to find,"We chose this riad guided by the photos in booking.com and were a bit disappointed when we got there. We were expecting a nicer and more luxurious place, especially given the price. We have stayed in nicer and cheaper hotels during our trip, hence the comment. The riad is outside ouarzazate and it is not that easy to find. The staff was helpful and gave us directions to find the place. The room was ok. We were served tea and biscuits on arrival which was a nice gesture. We did not dine at the hotel as choice was limited and in our view expensive so we decided to take the 10min drive and dine at Habous following recommendation from staff. Breakfast was delicious. I think that there better value for money and more centrally located propositions.",Dar_Daif,Ouarzazate
 March 2018,5,Wonderful place!,A wonderful place with ver friendly staff and great food. Every room is different and the whole place breathes a unique atmosphere. We can truly recommend Dar Daif! From there you can make great excursions in the environment.,Dar_Daif,Ouarzazate
 February 2018,5,Service beyond compare,"Starting with the utterly charming and efficient desk clerk, the service here has been beyond exceptional. 30 minutes after check in an equally charming woman brought us tea and cookies, followed an hour later by another lovely woman bringing bread, olives and dates. The room was actually a four room suite with three separate bathroom spaces, each with its own sink. The suite was spotless, the bed comfortable and the temperature just right. Breakfast was fine. But it will be the service ( and excellent English of the staff) that will remain with us.",Dar_Daif,Ouarzazate
 February 2018,5,Lovely Oasis,"Dar Daif was a beautiful oasis in an oasis that was a perfect place for comfort and value. Beautifully maintained, helpful staff, lovely food. Pierre was an excellent host, the staff were helpful and very accommodating.",Dar_Daif,Ouarzazate
 February 2018,5,Fantastic hotel with Hammam,"We stayed here 1 night early in February. The service was really excellent and the staff helpful and welcoming. The space is very beautiful. My wheelchair using friend was impressed with the amenities here; ramps, accessible bathroom, and best of all, an accessible hammamm. We both had the hammamm treatment and it was surprisingly fantastic, being our first time trying it. We were so glad to have the hammamm here rather than searching for an accessible hammamm in Marrakech. The hammamm ladies were great! Our meals were served in our room as it was rather chilly on the patio. The food was very good. Service was excellent. Confortable beds and pretty decor. Also, the use of a ""Joelette"" chair was organized from the hotel for a tour of nearby Ait ben Haddou. My friend was…",Dar_Daif,Ouarzazate
