rating,new_reviews
1.0,vacance en famille top
-1.0,tel horrible fuir
-1.0,mauvaise exp rience agadir
1.0,jour jours en famille tel kenzi europa
1.0,agreable sejour agadir
1.0,premier jour entre filles et le meilleur
1.0,tr bonne jour
1.0,kenzi est grand et magnifique les animateur sont gentil et il beaucoup de activit
-1.0,ne vaut pas du tout le prix
1.0,hotel et animateur au top
1.0,tr bon jour kenzi europa cette ann
1.0,bonnes vacances kenzi europa agadir
1.0,un jour incroyable
1.0,agr able jour
-1.0,un tel qui ne rite pas le club jumbo et fuir
-1.0,hotel tr cevant
0.0,bon hotel gros bemol sur la nourriture
1.0,avis sur tel
1.0,super agr able jour
1.0,agr able jour
1.0,commentaire hotel kenzi
1.0,quipe animation au top
0.0,bon jour en famille
1.0,trop bonne vacance
1.0,tr bon jour
1.0,fti privilege nial
1.0,tr agr able et chaleureux accueil part le staff de tel
1.0,jour agr able et inoubliable gr ce quipe animation de monsieur sa
1.0,nous reviendrons sans aucune sitation
1.0,choisir sans sitation
1.0,tr bon rapport qualit prix
1.0,super jour refaire
-1.0,les dunes or agadir
1.0,bravos votre quipe animation
1.0,tr bon jour
1.0,merci said et toute son quipe
1.0,superbe exp rience
1.0,je recommande vivement les dunes or agadir
1.0,top sauf ception
1.0,agr able jour
1.0,tel tr bien situ en bord de la promenade maritime
-1.0,tres ue de mon sejour
-1.0,jour jours dans un tel surfait et pas sympa
1.0,tel parfait et animation top
1.0,tr bon jour
1.0,jour de nuits
1.0,jour en famille
1.0,le meilleur sur agad
-1.0,vraiment pas terrible
1.0,vacances ussite garantie
-1.0,je ne recommande pas cet tel
-1.0,plus rien voir avec la fram
1.0,jour inoubliable gr ce animation
1.0,le meilleur tel gr ce sihame
1.0,tr bon jour
1.0,jour la hauteur gr ce animation
1.0,animation la hauteur
1.0,jour tel labranda les dunes or acacia
1.0,une quipe animation pas comme les autres
1.0,des vacances inoubliable
1.0,jour en famille
1.0,merci les dunes or
1.0,notre jour agadir
1.0,crin reposant dans un golf somptueux
1.0,une ritable adresse relais et chateau
1.0,un petit oasis digne de la cha ne relais et chateaux au milieu un golf magnifique
1.0,ro faute je recommande
1.0,un sejour de ve
1.0,un ritable havre de paix
1.0,calme et grand luxe
1.0,un moment de bonheur hors du temps
1.0,toiles au golf
1.0,me jour et toujours aussi bien
1.0,magnifique endroit pour se ressourcer la vie est douce de plus le spa est topissime accueil par fatima est galement
1.0,endroit magique et magnifique
1.0,endroit de ve
1.0,un joyaux agadir
1.0,ne pas manquer agadir
1.0,un havre de paix splendide
1.0,petite structure luxueuse loin du tourisme de masse
1.0,une semaine au paradis
1.0,toujoursaussi agr able
0.0,sejour repos et golf
1.0,superbe tel et service exceptionnel
1.0,vous nous avez manqu
1.0,jour golf en famille
1.0,calme et golf volont
1.0,digne un toiles
1.0,mon hotel de pr dilection agadir
0.0,tel au maroc sans petit jeuner
1.0,havre de paix
1.0,id al pour un jour golfique
-1.0,organisation au restaurant indigne un palace relais et chateaux
1.0,jour golf de ves
1.0,top des top
1.0,luxe et sourire compris
1.0,un bijou dans un crin de toute beaut
1.0,excellent tel cosy et tr beaux parcours de golf
1.0,tout simplement parfait
1.0,excellence au maroc
1.0,un charme fou
1.0,hotel un calme reposant parfait tous niveaux
1.0,tout est bon bout
1.0,toujours aussi beau et reposant
1.0,court jour golfique
1.0,tr bon jour
1.0,super pour se reposer en famille
-1.0,trop de bruit
1.0,bon tel mais animation revoir
1.0,endroit id al avec petit mol sur la cuisine
1.0,tr bon jour
1.0,que du positif
0.0,tourisme de masse
1.0,un super jour
0.0,tourisme de masse bonjour
0.0,bof bof avis mitig
1.0,tres bon sejour
1.0,les jardins agadir endroit conseiller
1.0,tr bon jour
0.0,par cette tel
1.0,hotel au top
1.0,formidable et plein les yeux
1.0,herubel st phane
1.0,vacances en famille
1.0,tr bon sejour
1.0,superbe tel pour des vacances de ve
1.0,jour tout inclus
1.0,agr able jour dans ensemble
1.0,merveilleux jour agadir
0.0,je ne recommande pas
1.0,bon rapport qualit prix
1.0,tr bon jour
1.0,vacances de ve
1.0,tr bon jour
1.0,nous avons pass des bons vacances
1.0,hotel arbor avec piscines
1.0,tr bon jour
1.0,un bon jour agadir
0.0,pas mal mais peut mieux faire
1.0,jour tr agr able en famille
1.0,bon rapport qualit prix
1.0,tr bon jour
-1.0,sur par respect envers le personnel
1.0,super vacances dans un tel au top
-1.0,honest and up to date review summer promesses non tenues allez ailleurs pour le me prix
1.0,vacances agr able en famille
1.0,sejour agadir les jardins agadir
-1.0,plus jamais cet tel
0.0,les jardins agadir mamara
1.0,famille de personnes
1.0,agr able jour
1.0,tr bonne exp rience comme habitude
1.0,jour agr able
-1.0,mauvaise exp rience
1.0,jour tr agr able
1.0,tr bonne adresse
1.0,tres belle semaine
1.0,voyage de noce
1.0,voyage de noce
1.0,vacances entre amis
1.0,jour id al
1.0,jour tr agrable
1.0,sejour de ve
1.0,nuit de ve
1.0,agr able jour
1.0,tr bon jour
1.0,tr bon jour
1.0,agr able jour
1.0,vacances magnifiques et inoubliables
1.0,tr bon jour
1.0,un tr bon tablissement
1.0,agr able sejour
1.0,un jours inoubliable
1.0,sejour tr agr able
1.0,bruyant mais personnel au top
0.0,hotel familiale correct si on paye pas trop cher
1.0,tr bonne vacances
1.0,agr able jour
1.0,voyage en couple
-1.0,servation non honor
-1.0,horrible viter absolument
1.0,agr able jour
1.0,joli tel au centre avec un jardin magnifique
1.0,tr bon sejour
-1.0,odyss park tel
-1.0,une grosse ception
0.0,limite de acceptable
1.0,merci au chef animation
-1.0,ceptionniste de jour diocre et incomp tent
0.0,personnel sympathique mais tel pas terrible
0.0,tr ue sauf par le personnel
0.0,jour une semaine correct
0.0,pas grand chose de bien
1.0,un jour plus que parfait
1.0,hotel avec piscine proximit mer
1.0,week end prolong
0.0,details rem dier
-1.0,fuir sauf si vous voulez dormir avec des punaises de lits
1.0,id al pour se reposer
1.0,de mieux en mieux bravo
1.0,nuits agr ables
1.0,tres bien plac
-1.0,fuir tel sale et mal
1.0,super jour agadir
-1.0,worst western ception totale
-1.0,actuellement en jour tel
-1.0,tel toiles au lieu de toile
1.0,tr bon tel voyage du juillet au juillet
-1.0,pas de room service
1.0,une nuit tr agr able
0.0,repas moyen vitez la pension complete
0.0,un cauchemar dans un bel endroit
1.0,hotel tres correct
0.0,hotel de passage bien situ
1.0,championat de futsal quipe de monaco
1.0,un bon niveau pour cet tel proche de la plage
-1.0,un de mes pires tels lire svp
-1.0,tel tuste et sale
1.0,hotel tres correct
0.0,correct sans plus
1.0,nous tions venus pour nous ressourcer
1.0,couper le souffle
1.0,fidele cet hotel
-1.0,pas terrible du tout
0.0,correct mais sans plus
-1.0,les femmes de nages sont des voleuses
1.0,tr bon rapport qualit prix
-1.0,horrible horrible horrible
-1.0,on comprend les prix bas
1.0,hotel et personnel au top
-1.0,semaines en enfer
-1.0,pas du tout un tel toiles
1.0,jours oasis tr bon rapport
1.0,tel oiasis agadir
1.0,tel oasis spa
-1.0,un spa horriblement cher et sans professionalisme
-1.0,grosse ception avec cet tel
-1.0,grosse ception avec cet tel
-1.0,un bon etoiles
1.0,tres bon tel rapport qualit prix
1.0,oasis tel agadir
1.0,bon rapport qualit prix
-1.0,trop cher pour ce que cest
0.0,test uniquement le restaurant
-1.0,tel pour juste dormir
-1.0,diocre tel fant me
-1.0,des clientes contentes
1.0,bel tel un peu cher
-1.0,clamation sur qualit de service tagadirt appart hotel
-1.0,personnel en saccord
-1.0,arbre qui cache la foret
1.0,agr ablement surprise
-1.0,deni de confirmation de servation et mauvais comportement
0.0,tel pour famille avec enfants
1.0,excellent jour tous les niveaux
1.0,excellent jour iberostar agadir
1.0,excellent jour deux
0.0,peut faire mieux
1.0,un week end superbe
1.0,vacances au soleil
1.0,tr bon jour
1.0,cu et suggestions lors de notre jour
1.0,une valeur re
1.0,ai bien aim tel
1.0,top du top
0.0,cevant sur la restauration et piscines
1.0,allez les yeux ferm
1.0,vacances au soleil
1.0,avec iberostar le client est la star
1.0,tr bon jour
1.0,founty beach agadir
1.0,agadir en septembre
1.0,agadir rien dire
1.0,magnifique avec un mol
0.0,tr bel tel mais
1.0,tr bon jour movenpick pour accueil aicha et la restauration de hassan ma tre tel
1.0,un tr bon jour
1.0,en formation casablanca tel movenpck
1.0,agr able exp rience
-1.0,un tel lol
1.0,venpick hotel casablanca
1.0,merci nourdine it
1.0,movenpick hotel nice staff
1.0,titre tesse accueil mme aicha
1.0,super accueil la marocaine
1.0,quipe au top
1.0,une merveilleuse exp rience
1.0,un jour merveilleux entour de professionnels
1.0,un bon service
1.0,au plaisir de journer nouveau parmi vous
1.0,la gende continue
1.0,jour merveilleux la movenpick
1.0,le travail casablanca
-1.0,encore un sejour gach
1.0,moignage service eme tage movempick casablanca
1.0,un accueil si chaleureux
1.0,un havre de paix et de sympathie
1.0,au me tage le service professionnel
1.0,moment tente parfait spa movenpik
1.0,le service au eme tage de movenpick casablanca
1.0,propos le service de spa
1.0,excellente soir au restaurant movenpik
1.0,une adresse unique
1.0,voyage en famille
1.0,tr bon jour
1.0,meilleur tel avec un bon service
-1.0,masturbation du gardien
1.0,un excellent tel
1.0,business trip in casablanca
1.0,super tel en dehors de la ville
-1.0,voyage de noces gach
-1.0,ne pas recommander
1.0,tres bon jour
1.0,mogador le magnifique
1.0,voyage en famille
1.0,bon jour en famille
0.0,grand potentiel mais beaucoup de defauts
-1.0,impossible de dormir
0.0,peut largement mieux proposer
-1.0,tr mauvaise exp rience
1.0,jour agr able
-1.0,iftar hygi ne rifiez le service
0.0,bien mais peut mieux faire
0.0,un tel toiles vieillissant ou le spa est payant
1.0,hotel sympathique avec une belle vue
1.0,couverte de tanger
-1.0,ne rite pas les toiles
0.0,des hauts et des bas
1.0,hotel situ proximit de la mer
1.0,bonne exp rience
-1.0,pas digne un toiles
1.0,second jour magnifique hotel et excellent accueil
1.0,week end en famille
1.0,tel en dehors de la vieille ville et tr agr able
1.0,le mogador un tr sor
1.0,agr able tel
1.0,tr bon jour
1.0,excellent accueil qui rend votre sejour super agr able
1.0,tout simplement excellent
1.0,jour tr agr able
-1.0,oui mais il ans
-1.0,est un sketch
1.0,toujours au top
-1.0,sans aucun charme
1.0,jour de ve
0.0,des chose revoir
0.0,une vue poustouflante
1.0,tranquillit et tente
1.0,merci mille fois
1.0,un endroit incontournable
1.0,exp rience avec le staff banquet
1.0,mon exp rience avec le staff banquet
1.0,une tr belle exp rience
1.0,un service et accueil au top
1.0,de retour au sofitel
1.0,week end fabuleux
1.0,super accueil efficace
1.0,mon jour au sofitel
1.0,accueil tr styl dans un grand tel une tropole internationale
1.0,service de chambre notamment du soir room service restaurant ception concierge
1.0,excellent sejour au so casa la tour blanche
1.0,excellent accueil et propre
1.0,pratique tout de la gare
1.0,excellent jour au sofitel tour blanche
1.0,mon experience avec sofitel
1.0,mon jour sofitel casa
1.0,merveille de accueil la marocaine
1.0,service et vue magnifique
1.0,magnifique jour en famille
1.0,tel luxueux et personnel au petits soins
1.0,tr bien aurait exceptionnel si la premi re suite junior tait sale
1.0,placement professionnel casa
1.0,jour tr agr able
-1.0,chambre pas au niveau du sofitel
1.0,hotel au top
1.0,tr bon jour
1.0,tr bon tablissement
0.0,service am liorer et travaux pr voir
1.0,tr bon tel et bien quip
-1.0,tel bien en dessous du niveau attendu
1.0,petit oasis artistique et personnel aux petits soins
1.0,une belle adresse et une superbe quipe
-1.0,un tel non professionnel et indigne du standard radisson
1.0,excellent adresser recommander
-1.0,mensonges et manque thique
1.0,tr bonne adresse
1.0,tr bonne exp rience
1.0,je recommande cet tel
1.0,best hotel in casablanca
1.0,tr jolie co
1.0,tr bon jour
1.0,jour familial parfait
-1.0,retour en france
0.0,tr bel tel mais
1.0,tr bon standing
1.0,tr bel tel au centre de casablanca
1.0,super et un personne au top
1.0,accueil et professionalisme
1.0,meilleure adresse casablanca so far
1.0,une excellente adresse recommander avec assurance
1.0,excellent jour blu radisson casa
1.0,er tel lors de notre visite au maroc
1.0,tr bon service
1.0,tr bel tel
1.0,tr bon tel avec une vue magnifique
1.0,tr bel tablissement
1.0,superbe tel un vrai toiles
1.0,id al pour court jours
1.0,bien mieux que le mowenpick
1.0,une adresse exceptionnelle
1.0,tr bon hotel et chambres superbes
1.0,meilleur tel meilleure quipe nous les notons
1.0,vue panoramique sur casa
1.0,super jour casablanca
-1.0,pas mon meilleur jour
1.0,super endroit pour rester
1.0,evrey chose tait parfaite
1.0,excellent choix pour les affaires et pas seulement les voyages
1.0,guest relation au top
1.0,excellente exp rience
1.0,service spa et beaut
1.0,excellente prise en charge
1.0,personnel au top
1.0,tr bel tel au ur de casablanca
1.0,tr bon tel au centre de casablanca
1.0,pour les placements professionnels
1.0,confortable et bien plac
1.0,je suis mitig
1.0,magnifique short stay
1.0,une vue magnifique sur casablanca
1.0,mon meilleur souvenir memorable
1.0,le meilleur tel toile de casablanca
1.0,merci kenzi tower pour mon jour
1.0,une bonne adresse sur casa
1.0,meilleure rapport qualit prix
1.0,meilleur tel de casablanca
1.0,excellent tel au coeur de casablanca
1.0,tr bon hotel tr bien situ
-1.0,je recommande pas
1.0,jour kenzi tower
1.0,staff tr accueillant et vou
1.0,merci pour ce jour kenzi
1.0,paisible jour kenzi tower
1.0,merci meriem khaldouni
1.0,la meilleure adresse sur casa
0.0,le sky bar tait mieux avant
0.0,jour classer aux oubliettes
1.0,kenzi tower hotel casablanca
1.0,service petit jeuner
1.0,excellent hotel casablanca
1.0,un endroit tr agr able
1.0,tr bon tel
1.0,week end avec ma conjointe
1.0,jours tel kenzi tower casablanca
1.0,tel sympa pour famille
1.0,tr bon tel bien situ
1.0,exp rience magnifique au coeur de casablanca
1.0,tr bon jour
1.0,vacances bien rit
1.0,un mint parfait
1.0,meilleur tel de casablanca
1.0,excellent cadre et une grande qualit du service
0.0,beaucoup trop cher pour le service
1.0,belle vue et lobby superbe
1.0,tr bel et gant tel
1.0,une exp rience humaine marquante
1.0,la grande class
1.0,noel au four seasons by tassi
0.0,prix inad quats avec prestations
1.0,un licieux moment
1.0,le top sur casablanca
-1.0,humidit et manque de action
0.0,on attendait mieux
1.0,tr belle tel
1.0,agr able jour
1.0,tr agr able moment
-1.0,agress par le videur de tel
1.0,visite avec amies
1.0,date ant rieur mais avais oublier mon commentaire
1.0,ne pas siter
1.0,tr bon tel
1.0,week end val danfa
1.0,meilleur tel casablanca
1.0,tr bel hitel
1.0,tr bien mais
1.0,tr bon tel
1.0,jour agr able
1.0,bel hotel en bord ocean
1.0,toujours tr bien
1.0,pour un bon jour
1.0,excellent hotel avec vue sur mer
1.0,tel agr able
1.0,nuit en famille
1.0,ai pass nuits au club val anfa au mois de mai pour affaires
1.0,un bon tel
-1.0,pire rapport qualit prix en semaines
1.0,tel sympathique et bien plac
1.0,couverte en couple
1.0,un hotel bien plac sur la corniche
1.0,ai passe plusieurs jours toujours la me satisfaction
1.0,hotel val anfa
1.0,bonne adresse et bien place
1.0,no val anfa casablanca maroc
0.0,tel moyen mais restaurants de qualit
1.0,tel de standing avec un bel emplacement
1.0,tr bel tel
1.0,bel tel et excellent accueil tr chaleureux
1.0,bel emplacement face ocean
0.0,un bon etoiles
1.0,grand week end casablanca
1.0,jour en juin
1.0,nouveau concept du cabaret
1.0,jour val anfa juin
-1.0,affichage et la alit
1.0,tape agr able
1.0,tel agr able pour quelques jours en placement professionnel
0.0,bon rapport qualit prix
0.0,cadre au top
0.0,tel de base bien situ
1.0,tel bien situ
1.0,jour travail et tente
1.0,rapport qualit prix imbattable
1.0,tranquilit au bord de la mer de casablanca
1.0,pratique pr sejour court en famille
1.0,formule apparth tel de bonne facture
0.0,ne vaut pas le prix
1.0,sejour tres agreable
1.0,tel face la mer
1.0,belle situation personnel accueillant
-1.0,un accueil tout relatif
1.0,excellent tel zakaria receptionniste hyper comp tent
1.0,tres bon appart hotel pour
0.0,jour agr able
1.0,excellent appart tel
1.0,tr bon appart tel
1.0,rien dire tout est super je le conseil vivement
1.0,le parking un cauchemar
1.0,bel tel et belle situation
1.0,meilleur jour casablanca
1.0,tr bel tel
1.0,les prestations onts chang depuis mars
1.0,super spot casablanca
0.0,bien plac et plus que correct
1.0,vue sur la mer depuis la chambre
1.0,tr bien pour un jour court
1.0,tr bon jour
1.0,verry nice stay
0.0,bien mais reste beaucoup faire
1.0,appart hotel bien situ casablanca
1.0,un bel hotel au bord de la plage sur la corniche voir dans quelques ann es
1.0,un endroit merveilleux tonnante
1.0,tel vert nice
0.0,tel en front de mer du centre commercial anfa
-1.0,mauvais service et trop cher pour la qualit
1.0,bonne adresse casablanca
1.0,hotel lui meme est une destination
1.0,toujours bel tablissement
-1.0,le temps est arr
1.0,une suite royale
0.0,tel tr beau et sympa
1.0,tout est bien
1.0,tel accueillant et agr able
1.0,belles chambres et service attentionn
0.0,bon emplacement mais
0.0,au sujet du resto
1.0,jour barcel anfa casablanca
1.0,faire les yeux ferm
1.0,accueil et chambres chaleureux
1.0,tel agr able casablanca
0.0,pas vraiments toiles
1.0,quelle belle couverte
1.0,un tr bon jour
1.0,excellente prestation barcel casa
0.0,pas vraiments toiles
1.0,super exp rience au dar chams
1.0,un riad magnifique et id alement situ super service
1.0,pour profiter de tanger de fa on pleine est une excellente adresse
1.0,un jour magnifique dans un endroit magnifique
1.0,bel endroit qui sera encore mieux apr les novations annonc es par le propri taire
1.0,un tit coin de paradis
1.0,the place to be
1.0,un endroit de charme par finition
1.0,comme la maison
1.0,douceur de vivre tanger
1.0,un riad couvrir
1.0,un bel endroit rempli de belles personnes
1.0,un bergement id al et de qualit avec une vue magnifique sur la belle ville de tanger
1.0,un lieu exception
1.0,un riad de charme id alement situ dans la dina
1.0,en pleine medina
1.0,excellent sur tous les points
1.0,le joyaux de la kasba de tanger
1.0,une adresse qui brille au soleil de tanger place that shines in tangier
1.0,une adresse ne pas manquer
1.0,la maison de tous les soleils
1.0,un coin de paradis au coeur de la medina
1.0,une demeure de tous les charmes
1.0,jour morable dans un riad vraiment magique
1.0,un riad qui rite son classement de num ro
1.0,confort et charme
1.0,charme de orient
1.0,superbe maison tes au coeur de la dina
1.0,dar chams tanja
1.0,nous avons envie revenir
1.0,un chalereux oasis de calme en pleine medina
1.0,ce tait pas un hasard
1.0,voyage affaire tanger
1.0,les toits tangerois
1.0,charmant paysement dans ce ryad luxueux
1.0,un havre de paix
1.0,quelle belle experience
1.0,la perle de tanger
1.0,une adresse recommander un toile rit
1.0,semaine tres courte et sans retour
1.0,voyage un autre monde
1.0,lune de miel la ville blanche
1.0,une adresse exceptionnelle tanger
1.0,un crin dans une ville blanche
1.0,un adorable riad
-1.0,proximit oui rapport qualit prix nul
-1.0,eviter tr mauvaises exp riences
-1.0,qualit et services tr loin du prix horrible
-1.0,un jour de jrs completement horrible
1.0,jour une semaine
1.0,sympa et correct
0.0,bon rapport qualit prix
1.0,emplacement id al
1.0,un bon rapport qualit prix
0.0,propre mais sans chauffage
-1.0,cevant mauvais rapport qualit prix
1.0,meilleur qualit prix
1.0,jour tr agr able
-1.0,mauvaise exp rience
0.0,mauvais service client
-1.0,lieu est en train de effondrer
1.0,tel neuf et propre
0.0,un ancien palace qui est plus la hauteur du prix et des attentes
-1.0,hotel tr cevant malgr sa putation
1.0,un tel qui vit sur son pass glorieux mais bien endormi il est temps de se remettre au niveau
1.0,jour agr able
1.0,tel de charme
0.0,un toiles qui en vaut
-1.0,professionnalisme consid ration
1.0,tr bien mais encore nover
-1.0,une ception immense on ne recommande pas du tout
-1.0,grosse ception au restaurant
1.0,original et proche de tout
1.0,magifique terrasse pour dejeuner
1.0,la modernit dans la tradiction
1.0,mon tel pr tanger
1.0,histoire de tanger
1.0,un palace au mille histoires
1.0,le charme desuet un ancien palace des ann es
1.0,charme suet et bon emplacement
1.0,un tel de charme
1.0,beaucoup de cachet historique
1.0,tel mythique toujours tr agr able
0.0,le premier tel de luxe tanger
0.0,je comprends mieux la perte de toiles
0.0,vestige telier du pass
-1.0,service horriblement lent
1.0,merveilleux tel de charme du but du si cle pass
1.0,tel plein de charme
1.0,un hotel presque parfait
1.0,massage et relaxation
1.0,weekend tr agr able
1.0,un endroit mythique
1.0,le charme de ancien
1.0,tout pour plaire
1.0,superbe tel tangerois
1.0,excellent et des bons souvenirs
1.0,un jour ravissant
1.0,un jour parfait
-1.0,de pis en pis tr malheureux
1.0,restaurant fabuleux courrez
-1.0,quelle ception pour un si bel endroit
0.0,pratique mais pas bon rapport qualit prix
-1.0,tel pas la hauteur pour famille
1.0,une bonne adresse retenir
-1.0,affreux sastreux lamentable
-1.0,plut le golden arnaque concentr
-1.0,belle fa ade mais alors int rieur
-1.0,peut trouver mieux pour ce prix
0.0,bel tel mais personnel moyen
1.0,tr bon tel
1.0,un agr able jour tanger
1.0,tres bon hotel reviendrai
1.0,en dessous de ses pr tentions
-1.0,une catastrophe tout les niveaux
-1.0,bande de filous
1.0,excellent rapport qualit prix confort
1.0,bon rapport qualit prix
0.0,euros rien dire pour un
0.0,tel vieillot en novation
-1.0,bon rapport qualit prix en mars
-1.0,je retournerais jamais
-1.0,club de vacances
1.0,hotel la hauteur
0.0,tout juste accepable
-1.0,un drame pour les vrais etoiles
-1.0,la plus grosse arnaque du si cle
-1.0,toiles haha mais bien sur
-1.0,une gestion pourrie
1.0,un jour tranquille
-1.0,une vrai arnaque organis
-1.0,attention ne pas reserver
-1.0,un tel sans foi ni loi
-1.0,la pire rec ption jamais eue
-1.0,rembourssement en cas annulation de jour
0.0,certainement pas un toiles
0.0,un tel correct
-1.0,la direction doit se veiller
-1.0,que triste andalucia
-1.0,tr tr diocre
-1.0,decevant pour un
0.0,tr bel tel mais
0.0,peut mieux faire
0.0,le pire accueil de tous les temps
1.0,minutes de tous les hotspots dans un quartier tr calme
1.0,bon mais vieux
1.0,nice et pratique pour visiter
1.0,personnel exceptionnel mais il avait beaucoup de place pour que ce soit absolument parfait
0.0,vide et sous nouvelle direction
0.0,besoin tre nov
1.0,tr bel accueil et aux petits soins
1.0,superbe vue sur tanger
1.0,escapade hilton city center
1.0,excellent jour avec un personnel en or
1.0,un vrai toiles luxe et services
0.0,attentes extr mement longue
1.0,tr belle semaine pass au hilton merci
0.0,avis favorable suite accueil de la ceptionniste
1.0,excellent tel mais accueil peu professionnel
1.0,hilton top top top
1.0,satisfaction compl te
1.0,notre me exp rience et surement pas la derni re
1.0,tr bon tel
0.0,peu mieux faire
0.0,bon tel qui besoin un rafra chissement
1.0,trop contente de mon jour tanger
1.0,meilleur tel tanger
1.0,jour nuit es
1.0,le meilleur choix tanger
1.0,tr bonne exp rience
1.0,tr belle tel
1.0,enti rement satisfaits de notre jour en famille
1.0,un jour avec un service digne de palace
1.0,qualit hauteur du prix
0.0,un tel correct
1.0,tel dot une propret in gal
0.0,hilton la marocaine
1.0,un jours extra mais en de de mes attentes
1.0,exceptionnel pour un jour tanger
0.0,cevant personnel qui pas envie de travailler
1.0,tel au top top top
1.0,une ambiance chaleureuse
1.0,pour le confort et la vue
1.0,tr bonne exp rience
1.0,tres bon choix sans doute un des meilleurs de tanger
1.0,personnel aux petits soins
1.0,tr bon tel
1.0,agr able jour
1.0,un weekend deux plus que parfait
-1.0,personnel pas professionnel pas envi de travailler pas souriant
1.0,hotel tr bien situ
1.0,bravooo ibis tanger
1.0,tr bon tel
-1.0,tr mauvais tel
-1.0,tel dernier recours
1.0,tr bon hotel
0.0,petit jeuner nulle
1.0,le rapport qualit prix est respect
-1.0,perdu bcp en qualit et en service
-1.0,tel bien situ mais mal vieilli
-1.0,hygi ne de vie les chambres sont sales
-1.0,exp rience viter fuir
0.0,correcte sans plus
-1.0,voyage de pannage
1.0,bien situ et pratique
