 January 2023,5,Lovely winter sun holiday at a great hotel,"We have just returned from Founty beach. We had a lovely 9 days. The hotel is by an amazing beach. The food was great. There is plenty of choice. When reviews have talked about repetition I would say there is so much choice repetition doesn't matter. Soups, meat, salads, fish, cheese, pasta, fresh vegetables and lots of fruit and desserts. Kids get their own food station. Room was large. Rooms face north and south so request a south facing sunny room. We had a basic room which was on the sunny side and had a side seaview but did overlook a derelict hotel. But we had a sunset every evening. The best rooms are pool / garden/ sea view with sun. The pool area and pool bar is lovely. Late breakfast and lunch at the pool bar is a nice touch. The entertainment team work hard. We…",hotelName,city,Unnamed: 6
 August 2022,5,Great hotel and amazing staff,"This is my third holiday in Agadir and I have to say This is a great hotel for family. Great atmosphere too. The staff are polite and helpful and nothing is too much. The reception team are informative and happy to help. My daughter forgot her iPhone and nike bag on the reception desk and they kept safe till we went back to collect. The rooms are spacious, big balconies and cleaned daily, bed made, with enough clean white and stain free towels and toilet papers..The laundry service is quite reasonable price as well. The Spa is AMAZING, booked it twice full packages with my 2 kids. Little bit on the pricey side but worth every penny. Best Hamam, scrap and massage, kids also enjoyed their package which also included massages and individual jacuzzi( thank you Sarah and Amina). …",Iberostar_Founty_Beach,Agadir,
 December 2022,5,In love with this Hotel!,"Just back from a week stay for the New Year at this wonderful hotel. The hotel and restaurant staff are warm and hospitable, everyone works super hard to make sure your stay is enjoyable. The food served here in our opinion is delicious with a wide choice for even the fussiest of eaters. The rooms are a generous size, clean and beds comfortable. As for the AMAZING Entertainment Team, would like to give special thanks to RONY, SIMO, AYOUB, ADIL and ISSA who had us smiling throughout our stay. New Year at home will never be the same following this trip - we will always want to return to celebrate with our new friends - we appreciate each and every one of you! TO ALL THE MANAGEMENT AND STAFF THANK YOU ALL FOR AN AMAZING AND RESTFUL HOLIDAY :-)",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Great hotel great staff,We are just coming to the end of our week holiday at founty beach & could not fault this hotel at all. The staff in the hotel are so welcoming & can not do enough to make you happy. The entertainment team are amazing at what they do getting adults & children involved in the activities. Our favourite was Simo a pleasure to meet everyday & cannot do enough to help you. Always smiling & went out of his way to make us happy. We will definitely return to this hotel cannot wait,Iberostar_Founty_Beach,Agadir,
 January 2023,5,Best staff,"Went to stay in this hotel for a week for a rewind. The tours were quite fun and the staff were so friendly. In particular, Simo, Who is one of bubbliest people we’ve ever met. He gave us a tour of the hotel and a run down of all the activities and also checked in every day with us. He made us feel very welcomed and our stay was very enjoyable because we got to make the most of our trip. The food halls had lots of options and there were delicious. Couldn’t recommend this hotel more!",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Holiday,"We had a wonderful time at this hotel. Food was great, staff were very friendly especially the guy Simò from the entertainment team!! He really made sure we knew what was going on every day and chatted to us every day!! A great experience here in Agadir!!",Iberostar_Founty_Beach,Agadir,
 June 2022,5,"Friendly Staff, Lots to do!","I enjoyed my stay here last year in June. The food was good, fresh every night, clean rooms, the staff were friendly and the entertainment was good. It's right on the beach front so easy access. Tour guides are friendly and help with excursions. I managed to go sand-boarding, walk on the pier, visit the marina, do some day excursions to nearby areas and more. Highly recommend and will be coming back this year!",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Holiday,Had the most amazing holiday at Iberostar Founty Beach in Morocco. We have been well looked after by all of the staff and the entertainment has been fantastic especially from Simo who always took the time to come and chat with us. Tariq the singer was excellent and again always took the time to come and chat with us. Aziz who owns the shop was amazing and even took us to the souk on his day off. Will definitely be back soon.,Iberostar_Founty_Beach,Agadir,
 November 2022,5,Amazing Holiday,"This was exactly what we needed - beautiful surroundings in a stunning location - Fabulous staff every single one - great service from every department in the hotel Who were helpful, friendly, enthusiastic and welcoming - lovely food - variety of fun inclusive activities but no pressure to take part if you don’t want to. We did archery stretch aqua, swimming darts games bingo, Moroccan show, dancing, to name but a few. Lots of places to relax indoors and out. Seriously we couldn’t fault it. Beer and wine are self serve limited cocktails which were ok . Fresh choice of grilled meat fish and pizza every day along with the thousands of other fresh choices. We were spoiled with choice of fresh fruit and salad choices. Well done to ever member of staff from cleaning…",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Thank you for a wonderful stay!,"What can I say our stay was fantastic!! The hotel is in a lovely location with three beautiful pools and right by the sea, with a private area on the beach for hotel guests. There is a beautiful promenade where you can walk right to the the marina just outside the hotel. Our room was beautiful looking out to the garden and sea, a lovely place to watch the sun go down. The room was spacious and very clean the housekeeping staff were so pleasant and helpful. What makes this hotel stand out not only the location and setting but the staff. I can honestly say I have never stayed in a hotel, that has such hospitality, friendliness and professionalism at the heart of everything they do. From those at reception to Hyatt, Nualla for wonderful customer service and helpfulness to…",Iberostar_Founty_Beach,Agadir,
 January 2023,4,Iberostar founty beach hotel,"This hotel was lovely, Great entertainment, lovely food Very accommodating. Staff are very helpful , friendly & accommodating , Simo was really hopeful thank you. Bonus was the beach across the hotel.",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Birthday holiday trip,"Fantastic stay at this hotel, upon arriving we were greeted and were able to leave our bags as our room wasn't ready yet. We were able go to lunch and relax before being given our rooms. The stay was great, there are plenty of activities available throughout the hotel from stretching in the morning to archery. The food was really good with plenty of options, the best part of the spa experience by far! There is also evening entertainment available. The entertainment team were fun and welcoming and got everyone involved and having fun, Simo was a great help too. I would definitely recommend and would come here again.",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Amazing stay!,"Wonderful hotel with amazing staff. Food was amazing, ever night, Rooms are cleaned daily. The entertainment team was amazing, and very friendly. Especially simo. He was always so helpful and accommodating. Very friendly. He kept me on my toes.",Iberostar_Founty_Beach,Agadir,
 December 2022,5,New Years Eve Stay,"Hotel is beautiful, clean and in great location - just meters away from amazing beach. We had a great stay with 3 children 5/11/14 Night entertainment was great for first two nights, but even thou the dancers were really good it is the same show -different costumes every night, would be nice to have variety. Food is nice, only issue if you like to have a breakfast outside, there is no salads there which we missed a lot. Only 'food' which was not great is ice cream,just did not taste nice. Agadir market is amazing!! 2 outdoor pools are great, one is heated - 2nd one absolutely freezing this time of the year. If you have children that are too big for armbands but can't swim alone, they will not be allowed into the heated pool as it is too deep on their own - only with…",Iberostar_Founty_Beach,Agadir,
 December 2022,4,Beautiful hotel but security man needs to be trained in manners.,It has taken me a while to write this review because I really wanted to give this hotel 5 stars but I cannot because of an incident that happened with one of the hotels so called security guards. The GREAT parts of this hotel I stayed at this hotel for 9 nights between 10th December-19th December 2022 The hotel is as beautiful if not more beautiful than the photos. The cleaners who buff the reception floor need a medal it is absolutely gleaming at all times. The food is amazing different choices and everything always tasted fresh and the hot food was always hot. The food ranged from tasty salads to seafood to tagines to Italian food to sushi. Each night there must have been 20 different deserts and most were different each night. The fresh juices on a morning were amazing…,Iberostar_Founty_Beach,Agadir,
 December 2022,4,Perfect Winter sun destination,"Absolutely delivered what we wanted from an AI hotel close to the beach 2 weeks before Christmas, with a few exceptions. + points: Lovely resort, 30 mins taxi from the airport, 2 mins walk to the beach, 10/15 mins walk to nice cafes and restaurants. O Playa, Jade Fusion and El Toro all very good and next to each other. Modern spacious room with lovely walk-in rainforest shower, huge comfy bed, terrace looking out over the pool. Block 3 gets the sun all day. Heated pool and plenty of entertainment/activities if you want to participate. Evening entertainment of a good standard but very 'samey' if you stay for more than a week. Buffet restaurant extremely good with plenty of choice but again a bit 'samey' if you stay more than a week and self serve drinks and went out of their…",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Love it!,"We are still in resort now and love everything about this place. We arrived 29th Dec and weather has been amazing sunbathing every day. Beach is beautiful and right outside hotel, very safe and not hassled. People are lovely and work so hard cleaning , painting and always with smile. Entertainment good, food and drink has good variety and Always more than enough . Very clean and spacious rooms . Spa is amazing and good value . Can’t fault it at all, we forgot to get currency before arriving so would recommend that . New Year’s Eve was brilliant , so many little special treats and atmosphere was brilliant. Will be coming back so thank you founty beach!",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Miss it so much,"An absolutely beautiful place, with the most charming and wonderful staff. The hotel and scenery look surreal. The hotel restaurant provides a variety every day and the 9.30pm shows are great fun to watch.",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Clean resort next to the Ocean with delicious food in buffet setting,"The resort was clean and it’s located right next to the beach. There’s a relaxing spa, gym, and program for children. Usually I do not like the food in all inlusive restaurants but the food was very delicious and there was a lot of variety at Iberostar Founty Beach. For visiting other places, taxi is needed. The reception at the hotel did not help for neither in finding a taxi nor finding out the price level. That was the only downside during our stay. Luckily there is Tripadvisor :)",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Fantastic experience. Wonderful people!,Iberostar Agadir Wow ! What a fantastic holiday. I cant remember the last time I felt so well looked after. I highly recommend you book this hotel. You will not be disappointed. I will certainly be back. The hospitality of this hotel is amazing. The food selection is wonderful. The chefs are very creative and there is something for everyone. All the staff at the hotel were superb and couldn't do enough for you. The bar staff in the main bar went out of their way. Special mentions go to Yassime on Reception for his help with a special request we had. Mohammed in the restaurant with his wonderful smile and helpful manner And finally Rony from Kappa Club whose energy made every day and evening an exciting adventure. The kids club was superb and the staff round the pool and…,Iberostar_Founty_Beach,Agadir,
 December 2022,5,Our first time in Morocco,"Dear [hotel management], I recently had the opportunity to stay at your hotel for a week while on vacation. I wanted to share my experience and offer some feedback. Overall, I had a wonderful time at your hotel. The location was perfect - close to all the attractions we wanted to see and in a safe neighborhood. The staff were all very friendly and helpful, but several staff members in particular really stood out. Rony was always smiling and went above and beyond to make our stay enjoyable. He even joined us in dancing in the evening and was happy to help with any questions or requests we had during our stay. Iman was excellent in taking care of our daughter, Angelina, and made sure she was comfortable during our stay. Jo, Khalid, Ayoub, Happy Man and Ali were also all…",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Fantastic!!! We loved it.,"Wow!! Just home after Christmas here with husband and teenager. It is one of the best hotels we have stayed in. The staff are friendly and helpful, all of them! The room was 3161 with a sea view that was exactly that, beautiful to watch sunsets from. Downside we didnt get the sun onto the balcony but we were out by the pool all day. Great location just a little walk over the promenade to the beach. The sea was rough but you can manage a dip. The hotel has a cordoned off beach with security. Food excellent with a huge variety, beach bar serves meals too. All the toilets are exceptionally clean, even the poolside one which can get wet, not here! Regularly cleaned and disinfected. Entertainment is the usual standard but done with enthusiasm and energy. Animation team second to…",Iberostar_Founty_Beach,Agadir,
 November 2022,5,Would return and recommend,"Great experience at this hotel. I've read other reviews and its not 5 star for sure. If you want 5 star Dont go here as its clearly not, the hotel does require upkeep and if you don't like kids - definately avoid and go to an adults only resort as this is very family friendly. If you're looking for a good family holiday and have younger kids, its great. Theres really nothing for older kids/teens despite a program on show, but the little kids 4+ had an array of activities every day a few times a day and the girls running it were fantastic, especially Usalla and Eman. The food was quite bland and repetitive, but cooked fresh and if you like fish dishes and seafood you're in luck. The evening entertainment wasn't to my taste but give them credit they did try and engage with…",Iberostar_Founty_Beach,Agadir,
 December 2022,4,Relaxing stay,"Overall we did have a very positive relaxing stay here, the food buffet was great, it has something for everyone.... on a side note the pizza by the pool bar though was nicer and crisper (according to my husband). Which i would agree... maybe they had a better oven there... I quite like where the hotel situated, kind of more at the end of the beach, we enjoyed the sunset every evening from our room which was a huge plus... thank you iberostar staff for our room : ) There were some hiccups in the beginning, where the check in took so long and there were some miscommunication with the staff and the wifi connection took so long to connect as they wanted to see a confirmation email. Then we had to pay for city tax and the pool towels (100dh deposit in cash). Then when we got to…",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Fantastic Hotel and our holiday there,"Me and my family have been in this hotel for a week during Christmas time. It's fantastic hotel, really clean, great food especially at Christmas eve, entertainment everyday ( maybe not the best what I ever experienced but still good - there are only dance show everyday different for a week at least ). Hotel is very organised, the staff everyone very polite, professional and helpful everytime you ask for help. Entertainmment team always smile and all day working hard to make people happy .Position of the hotel right in front of the beach which is also great, private separated sunbeds with umbrellas so no one comes directly to buy anything ( I mean the locals ), 2 outdoor swimming pools - one always heated so nice to swim in December, SPA and indoor swimming pool great. I can't…",Iberostar_Founty_Beach,Agadir,
 December 2022,4,Too good to be true? £614 for 8 nights All-Inclusive?,"Watch the in depth review on YouTube at Luxury Vegan Travel. I arrived at Iberostar Founty Beach (Hotel) on 27 November 2022 and stayed for 8 nights. I checked in with Fatima who was warm and friendly. Checkin was simple and smooth. Next to the checkin desk was a currency exchange board. At the time, Google showed £1 (British Pound) = 12.93 Dirhams and the hotel were offering 12.206! Normally there is a larger mark up at hotels and so I expected it to be something like 11.206, so this was a nice surprise. This is important as you will need 100 Dirhams to pay as a deposit for your beach/pool towel. Beach/Pool towel – you will receive a card (similar to a room key card) once you have paid the 100 Dirhams deposit. You will then need to take the card to the pool area and…",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Best hotel,"Amazing hotel, and food is amazing, perfect preparation for Christmas Dinner, very good animation team, such lovely and friendly staff in all of hotel, amazing service, definitely recommend this hotel to all",Iberostar_Founty_Beach,Agadir,
 December 2022,5,An amazing hotel,"The best hotel, with the best animation team and amazing food, great entertainment, very kind staff in the entire hotel, such good service. There isn’t a better hotel than iberostar FOUNTY beach! It’s my 4th visit here and me and my family keep coming back for the same reason, the people in the hotel and how they treat us as guests!",Iberostar_Founty_Beach,Agadir,
 December 2022,5,The best hotel,"It is now my fifth time in Iberostar Founty Beach and it never disappoints. This time I chose to spend a month here including Christmas with my family and the effort the staff went to with decorations, entertainment, and food made it a phenomenal experience. Generally the cleanliness of the hotel is always great, the staff are extremely friendly and we always have an amazing time. Huge thank you to the animation team for always keeping us entertained - morning, day and night! :) Finally needless to say Agadir is just an incredible city, and to be tanning in 25+ degree heat on Christmas Day is surreal. Sadly I didn’t take enough photos of the Christmas Eve events but added just a few below.",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Excellent hotel as usual,great quality of the hotel . rooms are great and clean . the pools are beautiful and very well handed by Walid . Mustapha is a great chief of the bar. Hayet and Nouhaila ( human relations ) take care of customers with a big efficacy .,Iberostar_Founty_Beach,Agadir,
 December 2022,5,Lovely holiday! Great staff! Amazing hotel!,"Great hotel!!! We were there for 10 days and every single day of our stay was amazing. We would like to thank all the staff for the excellent service, but special thanks to the all animators team in particular ""Happy man"",Jo,Jesus,Ayoub and all the waiters and barmans who were extremely kind to us. We would love to come back to this hotel again. Thanks is not enough to say, was fantastic!!!!!",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Worth every penny !,"This one of of the best hotels I’ve been to. The hospitality of the staff was unbelievable, from everyone in the front desk, bar, restaurants, animation team, cleaning staff etc, everyone was so lovely. Hayat was so sweet and helpful as the guest relations manager, Tarik is a great performer and singer, and the animation team, particularly Yassine and “happy man” (yassine too) were always so pleasant and welcoming. Food was great, good selection of different dishes for each meal of the day. Room was very clean and beds extremely comfortable- highly recommend this hotel! Will definitely go back again!",Iberostar_Founty_Beach,Agadir,
 November 2022,5,10/10. We will be back,"There is not one thing that I could fault. Well one ( will come back to that). I read some reviews prior to going and when I was there and I thought I must have been in a different hotel. Cleanliness 10/10 Staff 10/10 Food10/10 Spa 10/10. Jo, Mohammed? Happyman Raja. And I think Hamid. Also the girl who manages reception.",Iberostar_Founty_Beach,Agadir,
 December 2022,5,"Wonderful, wonderful, wonderful","We stayed for 10days and thoroughly enjoyed our time, Family with young kids I hope to give a detailed review of each aspect we experienced! Check in, a little confusing- on arrival there’s a form you need to fill out, they are at the round table close to the reception desk, there’s also local tourism tax to pay. Staff speak a variety of languages but I must admit I did find a couple of them to be abit unpleasant the rest were very nice. Another tip, download the app, we weren’t advised to do this but you need the app to make the most of your stay. Rooms, We booked a suite and it was lovely, any small issues we experienced the staff addressed them immediately. Bottled water can be ordered for free on the app or you can collect them from the bar on ground floor. Unless you book…",Iberostar_Founty_Beach,Agadir,
 November 2022,3,Average hotel. Food good. Staff great. Beachfront a big plus,Greeted in reception by a tour company rep trying to intercept us before we reached reception. Lady behind reception not happy with him and gave him a ticking off but not a great start. Sent away for lunch before given an early checkin 1.30 hr early without an extra charge as we had a small baby. Little in the way of information regarding restaurants/activities/main areas - something that we usually are given a quick idea about when we first check in from past experiences. Room itself was quite poor in quality. No safe in room. No kettle or tea/coffee making facilities. Dusty/mould smell in room. Curtains with holes. Hair from previous. residence of room on walls of bathroom. Just gave off a vibe of budget hotel 2-3 stars at max. Internet was pretty poor and quite patchy.…,Iberostar_Founty_Beach,Agadir,
 December 2022,4,a great hotel but !,this would have been a 5 star review if it wasn't for the issue i will mention at the end thanks. LOCATION perfect quite area but easy access to the promenade and beach the grounds are beautiful and well kept POOL AREA plenty of sun loungers and parasols and the bonus of 1 heated pool and again kept spotless FOOD/ DRINK we have been all inclusive in many hotels in many countries the food at the founty beach is some of the best we have had plenty of choice and good quality ROOM spacious bedroom complete with usb charging points s a seating area with table and chairs a great power shower in the bathroom and we must complement the cleaner who kept the room spotless OVERALL a great hotel well kept plus the entertainment team work very hard . pool towels available…,Iberostar_Founty_Beach,Agadir,
 November 2022,5,World Cup in winter sun,"Morocco has always been on my partners 'bucket list' so we decided to book a late week of winter sun watching the world cup. We went 23-30th November & stayed in room 1210. As frequent Iberostar visitors this is a contender for favourite. The selection of food was excellent with many Moroccan dishes alongside more popular choices such as pasta, salad bar, paella, pizza etc. I pewrsonally enjoyed the tagine dishes & the meat stuffed Moroccan flatbread (medfouna?) Bar service was exceptional both in the pool bar & in the hotel. Special thanks to bar manager Mohammed, & rests of the team including Ayoub, Saber & Arbdullah. They made sure we never had an empty glass especially whilst watching the football. Special mention to goes out to the housekeepers who made sure our…",Iberostar_Founty_Beach,Agadir,
 November 2022,5,Great hotel for winter sun,"First of all, I have to say I have no negative comments about this hotel, we had a fabulous two week holiday. The room was perfectly comfortable and very clean, the bathroom shower amazing, powerful with plentiful hot water immediately available. Being away for two weeks I particularly appreciated the little clothes dryer on the balcony. I was able to wash through clothes every couple of days and they dried beautifully. I didn't ask for an iron as I took my own little travel iron bought many years ago in France which was perfect. We were in room 1255, on the south side of the hotel which was described as having a limited view of the sea, though I have to say the view was amazingly good, and the balcony had sun all day long. The sunsets were particularly wonderful. I was a…",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Brilliant hotel,"The hotel is perfectly located on a stretch of golden sands. It looks impressive from the outside and has beautiful landscaped gardens. Our room was spacious with brand new modern furniture. As well as 2 beds, wardrobe space and dressing area there was a lounge area with sofa, waterfall shower and multi channel TV with movie channels. Staff were brilliant and couldn't do enough for us. We've been to 4 different hotels in Agadir and this one was the best for food selection and quality.",Iberostar_Founty_Beach,Agadir,
 November 2022,4,Late in the year sun,Large airy clean hotel in nice quiet location. Very friendly staff who are aways smiling. Enough choices in food to keep you happy for a week. One heated outside pool and access to the beach and sea from the pool area. Definitely a good holiday hotel for November sun.,Iberostar_Founty_Beach,Agadir,
 November 2022,4,Great holiday,Spent a week here at the end of November. Check in at reception not the best. The lady we dealt with spoke very poor English and appeared disinterested and dismissive. (All the other reception staff were really helpful throughout the week). Room was large and comfy. Cleaners did a great job. Lots of storage space. Had to pay extra for safe and kettle. Small fridge in room which was great. Free bottled water available from the bar. Restaurant and bars - good choice of all inclusive drinks. Great cocktails. Pool bar open till 6pm and lots of choice of food and drinks there plus cakes and snacks late afternoon. Main restaurant had huge choice of food and plenty of tables. Our only concern was that the food was lukewarm at best. We did speak to a manager about this but nothing…,Iberostar_Founty_Beach,Agadir,
 November 2022,4,a very nice hotel on the beach,"We stayed here for 10 nights and had a very nice time. The hotel was comfortable and clean and on the whole the staff were friendly. The food was good in both the main buffet restaurant and pool bar , but it did start to get a little repeadative by the end. Only 2 things slightly annoyed me where the fact that the SPA didn't seem to take credit cards ( this is meant to be a 4 star place) and the fact that you got better service if you tipped. I don't actually have a issue with tipping, but getting hold of small coins or notes was next to impossible , I would rather pay extra for the holiday and not have to bother!!.",Iberostar_Founty_Beach,Agadir,
 November 2022,3,The Staff are a great credit to this hotel and make your stay a success.,"The Staff in this Hotel are absolutely wonderful. Most of them deserve credit but I would in particular like to mention - Abdul and his Manager who provided an excellent service in the evening bar. Their customer service was superb. Others who also deserve special mention are young Said - waiter in the Restaurant, Yassine (Happy Man) in Entertainment - a cheerful and delightful person who even helped to carry my rucksack when he saw me struggling even though I did not have any money left to give him a tip, nor was it his job, Mehdi and Rachid at Reception and last but not least the ever smiling and helpful Guest Relations Manager - Ayoub. The other elements to mention that were regretful was that unfortunately they did not allow a Moroccan guide that I wanted to organise our…",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Excellent Stay,"We are three Scottish blokes,went here for a winter break and some golf.It was excellent.The staff couldn't be friendlier,from reception staff,bar staff,cleaners,restaurant staff and entertainment team,sorry if I missed anyone,they were a credit to the hotel.Nouhaila on the customer liason team stuck out for us,she went out of her way to book our activities,golf etc. They went seamlessly.Transfers were prompt with friendly drivers and clean vehicles.Golf courses expected us and looked after us for clubs buggys etc.Hotel itself was spotless,rooms are big, bright and airy,cleaned every day.Food was very varied and catered for everyone.We were there during world cup and bought mortocco football tops.All the staff appreciated it especially our ""brother"" and we wish them well…",Iberostar_Founty_Beach,Agadir,
 November 2022,5,Lovely stay.,"My husband and I stayed here for 3 nights November 23rd - November 26th 2022. Absolutely fantastic hotel!! We could not fault anything about it. Our room was great, very spacious on the ground floor. The walk in shower was great👌 The maid came in EVERY day, cleaned, made the beds and changed the towels. The restaurant was a decent size and big enough to cater for its guests. I'm a fussy eater but there was always something to eat. I'm not normally a dessert person, however the cakes were fab! The reception area looked the part very nice, the outside terrace was great with plenty of seating. A nice bar area, the drinks on the All Inclusive were drinkable and the wine was very drinkable! The pool area was huge, sunbeds were spread out enough to not feel on top of others. …",Iberostar_Founty_Beach,Agadir,
 November 2022,5,A well maintained and run resort hotel in sunny Agadir,"We really enjoyed 4 days here. A beautiful resort hotel. Everything clean and well maintained. We enjoyed the food. I think that there was something for everyone. It was all cooked beautifully and I particularly liked the Moroccan food. One of the pools was heated, which was very welcome. We didn't do the activities but enjoyed the evening showtime. All of the staff were friendly and helpful. All inclusive isn't our usual choice but it was such good value for four days in the sun. We've been to Morocco numerous times and love the country, culture, and its people. Agadir isn't typically Moroccan, more European really but it does have a beautiful promenade and sparkling clean sandy beach. The sea is a bit rough for swimming, but popular with surfers. There is little traditional…",Iberostar_Founty_Beach,Agadir,
