 November 2022,5,2 night stay in Fez,"Excellent service. Staff was flexible to welcome me at 1am! (Since my plane arrived quite late). They were always flexible enough to help us when needed, e.g. they even made a specially early breakfast just for us on the last day since we had to leave specially early! The hostel itself was also beautiful and people were nice. Totally recommend it!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,hotelName,city
 December 2019,2,Not great,"I stayed there a couple nights ago and my room was very cold. We only had one small space heater and one blanket. Not enough! When I asked the front desk for another, they said no! Unacceptable! Either turn the heat up or give guests more blankets! Their breakfast was unimpressive as well - just two pieces of bread and a hard boiled egg. Would not recommend.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2019,5,Hidden gem,"ın Medina of fes, in a narrow street ( follow the signs , easy to find) it is a calm, quiet place. I especially liked open places & terrace. Rooms are clean and hostel is well managed. A “must try “place with good food.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2019,5,A haven in Fez,"I can't recommend this place highly enough! I stayed here with 3 friends for 4 nights recently and we had a wonderful time. The hostel is in a beautiful Riad, the rooms are compact but clean, the value for money is terrific, the breakfast (lunch and dinner too if you want it) is delicious and the roof terrace is a huge bonus BUT it is the staff who really make this place. The team is young but extremely helpful and efficient, very friendly and they work so hard to make your stay magical. I booked a Medina tour, a day trip, a visit to a Hamman and a cookery class through the hostel and all were outstanding experiences. Our cookery class with chef Mohammed and his small team was a standout experience - fun, friendly and informative, and we ate the results! Special shout outs for…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 May 2019,5,"Amazing hostel, rooms& restaurant","Wow! I loved it and enjoy every second of my stay! (3 nights) Pros: Big rooms, clean, you get a towel, great breakfast Delicious restaurant at the hostel Kind and patient staff. You can book day tours over there. I had an amazing guide named Isham for Volubilis&Meknes day tour. Big roof top Cons: a bit tricky to find but you learn to find it quickly.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 April 2019,4,B1 & B2 likey,"Likeys: +Amazing courtyard which was a great place to chill when not sightseeing +Great breakfast +Helpful and accommodating staff +Rooftop had a bar with great views of the Medina +Delicious and affordable restaurant that had new daily specials No likeys: -Shower had no door or shower curtain and water would often pool in the bathroom -Renovations were being made on our floor and we would often find tools left right outside our door -Windows were a bit leaky and was a bit cold in the middle of the night but can be fixed with leaving the heater on at night We stayed at the Medina Social Club for 3 nights and loved the relaxed vibe of this Riad. It was very busy but due to the large size of the complex, it never felt crowded. The staff were all very friendly and always…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 March 2019,3,Nice setting,"The hostel was easy to find after being dropped off at Äin Zleten car park and it is located basically halfway down between the Blue Gate and the R’cif so it is right in the middle of the medina. The building it’s self is very visually impressive inside and the riad has a beautiful central courtyard with orange trees. There is also plenty of nooks and secluded spots around the building to sit and relax on a balcony or landing. I checked in late at night but staff weren’t that welcoming and didn’t provide any information. I was told breakfast was downstairs and taken to my 6 bed dormitory. I wasn’t given any information on the roof terrace, restaurant services or if drinks were available etc. The room was ok, with comfortable beds. There was also a very thick woollen blanket…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 February 2019,5,Fes,"Ok aquiet place with a Moroccan touch . DOHA , she so kind and friendly and she's have a very good service And she make a nice cappuccino. Come to visit Medina Social Club Really is beautiful place in fes",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 March 2019,5,Very Nice staff,"Great rooms, great breakfast. Super friendly staff. Especially Bas Soum Btissam. I would definitely recommend this place to anyone travelling through Fes. Met some really nice people in the hostel too.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 February 2019,5,Can’t wait to return!,"Beautiful hostel! I especially loved all the public spaces, so many nooks and crannies with a couch or table to sit at and soak in the beauty. Beautifully decorated, very accommodating staff, great breakfast, excellent location. I will definitely stay here again someday. Thank you!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 January 2019,5,Super cute hostel/delicious breakfast/kind staff,"At the beginning of January we were backpacking Morocco for the first time and it was super fun! We spent our first (in standard triple room) and our last (in mixed dormitory room) night in Medina Social Club in Fes. Since we’re from Europe it was a bit of a cultural shock when we first came to Fes airport quite late at the night but the taxi driver which we booked via Medina Social Club was very kind and welcoming - he drove us to the nearest parking possible to the hostel and showed us the way (3min walk from the taxi drop-off). We could say that Medina Social Club is one of the nicest, cleanest and cutest hostels we stayed in. Its whole design has a special charm and makes you wanna stay in all day - colorful tiles, pillows, carpets and a lot of greenery everywhere. Just…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 November 2018,4,Cozy Hostel with huge entrance hall,One of the best hostels I've ever been to. Nice staff and clean rooms with very nice breakfast. There is also a very big roof terrace where you can see the sunset and relax. I will definitely come back.,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 December 2018,5,Beautiful place to stay!,"We stayed at the Medina Social club for 3 nights. First night, we ate at their restaurant and asked them to make something different than the regular tagine fare (we were all vegetarians). We were delighted with what they made for us - the cooked salads, soups and chickpeas were very delicious and were very flavorful. Even the variation of Indian Samosa was excellent. We ate our breakfast here every morning which was filling (typical moroccan breakfast with assortment of food). They also were able to provide laundry services as decent prices. They even upgraded us (family of four) to a much larger room fancier with views of the courtyard at no extra cost.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 January 2019,4,Wonderfull place!,"Lovely riad and staff and a great location close to everything , we spent a wonderful evening. We will definitely be coming back to this amazing and affordable luxury Thank you for an amazing stay, always.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 December 2018,5,An Excellent Place to stay!!!,"To be honest, this is not my first pick in Fes but I am glad I stayed there. The location is close to the the blue gate, the breakfast is great and the staff is superb nice and helpful. The room is big and two shower rooms per room. You have your own light and socket so it is convenient when you are back to hostel at late night. You can meet lots of people there. This is one of my favourite in Morocco. I will come back to stay there again when i go visit Fes.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 December 2018,5,"Cozy, beautiful and friendly hostel","We stayed there one night with four people. It was clean, cozy and nice! Location: Very good not far away from Blue Gate Hostel: Beautiful hostel with nice terrace and beautiful mosaik inside Room: Clean, good bed and clean. The shower was a smelly one, think because of the wall or door maybe. But never mind! Staff: Absolutely friendly Price: Awesome! It is absolutely recommended!! One of the best hostels!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 December 2018,5,Clean cozy calm escape in fes,"We stayed in a private room for 4 people, 1 king bed and 2 single beds . The room was clean with a sitting lounge just outside of it . Room is clean and new , bathroom is clean with strong hot water . Good wifi . Breakfast was small but still delecious and nice with coffee . All went perfect and smooth",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 December 2018,5,A hidden gem,"I usually come with my friends it's our favorite spot in fez. Great view, excellent atmosphere and service. Reasonable prices and good quality products, it's a great place to meet locals and it's not far.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 November 2018,5,Incredible!,"One of the best hostels I’ve ever stayed in. Medina social club was sign posted making it easy to find in the maze that is the medina. The staff were super friendly, and went out of their way to make sure we had a great stay. The room was amazing, and super clean. Hot, powerful shower (which was greatly appreciated in cold and rainy Morocco). Would 1000% recommend his hostel. And if we come back to Fez, we’ hope to see you again!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 November 2018,5,Backpacker's Refuge,"Stayed one night, check-in was a breeze, rooms were spacious, clean, and comfortable. The rooftop terrace and courtyard were quiet peaceful places to recharge the mind after a very stimulating day through the Medina. The host, Ali was very hospitable. He was available by when I called inquiring for vacancies, when I called for directions through the Byzantine maze of the old city, when I called after checking out to see whether they found shoes I might have left there (they had). The hostel is incredibly affordable. For the backpacker on a budget, this is the top quality pick!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 November 2018,5,Healthy and freshly prepared food,"We had dinner with the family - 2 adults and 2 children of 11 and 15 - and really enjoyed the restaurant a lot. The food is delicious and not too much. For our boy, they especially served some fries, although they were not on the menu. The personnel is very friendly and likes to help out. We were referred to this place by the owner of our riad and certainly do not regret our dinner ar Medina Social Club. In addition, this is a beautiful place a bit way from the hustle and bustle of the main streets of the Medina. Certainly recommended.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2018,5,good location in medina,perfect to stay if you want to be in the center of medina in Fez. Its for budget traveller. Ofcourse don’t expect something wow but atleast its decent and clean. staffs are accomodating with your needs and flexible,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 November 2017,5,Very nice stay in Fes,"In a very central location, very calm, just outside the walls of medina, the hostel Medina is a wonderful place to stay in Fes, with a good relation quality/price. It was proper, nice, the ideal place to meet other people travelling and share his own experience. I recommand this hostel to people travelling alone. Thank to the guys working there, specially Abdelali, who speaks a very good English and was so kind to me, showing me around and having amazing conversation about local culture and life. Ask him suggestion to find a place to eat at night, I remember he showed me an excellent restaurant and bar. You are a good guy, man! I was so confortable that I changed my travel plan to spend one more day and night in Fes. Hope I'll come back one day very soon :)",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2018,4,Nice place in Medina,"The place is very nice, it has a nice terrace where you can relax while having your mint tea. The rooms are normal good, confortable enought. They were very nice, the breakfast was also good and the location is just in the middle of the medina.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2018,5,Awesome place,"I stayed here one night, and it was absolutely fantastic. The shared space has been done very well and it's better than most Riad.. I stayed in a private room and loved it. Definitely go here if in Fes.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 September 2018,5,Lovely Hostel,"The courtyard and downstairs seating area are really lovely, the dorms are clean and spacious and breakfast is included in the price. We had a really nice stay, probably the best place we stayed in Morocco over our three weeks.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 January 2018,4,"Hospitable Staff, convenient location, relatively clean","Location was great! Note for travelers that it is inside the medina; therefore, you will have to navigate yourself to the hostel. I set up with the hostel for a driver to pick me up at the airport since my flight was arriving at midnight and at a set fee. The driver didn't speak any English, but dropped me off at the closest entrance. Staff was amazing! Ali pointed out all the things to do, eat and tips for solo adventuring my way through Morocco. There's a complimentary breakfast between certain hours. Medina atmosphere was great, the hostel was beautiful and the bunk beds cozy and warm. Everything was relatively clean, just some questionable smells coming from the drains/piping. Don't forget to check out the rooftop!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 November 2017,5,Amazing hostel in Old Town Fes,"This hostel was amazing! Located in the heart of the Old Town of Fes, Medina Social Club is well priced and has superb facilities (including a stunning courtyard and rooftop terrace). The breakfast included with the room was delicious and so big! The rooms were clean and comfortable (with air conditioning). Abdelali and the rest of the staff were friendly, helpful and a whole bunch of fun. I cannot recommend staying at this hostel enough.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 November 2017,5,Hospitable service and great staff,"Abdelali was our host when me and two friends came to visit Fes. We had a wonderful experience in Fes thanks to Abdelali. After a long stressful travel from Spain to Morocco, Abdelali greeted us generously with Moroccan tea. He gave us great advice on where to go, and how to navigate around the Medina of Fes (he even gave us pointers on how to get rid of pesky salesmen, which is needed when it's a group of ladies). Overall our experience would not have been the same without the support of our kind hosts. I will always recommend booking a stay at hostel medina social club, as long Abedelali is the host!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 September 2018,5,Really nice hostel in the heart of the medina,"I can highly recommed to stay in the medina social club when you visit Fes. Its really good located, clean and the staff will welcome you really warm. I felt like at home really quick. Special thanks to Abdelali for helping me with my endless questions about Fes and being patient with my poor arabic. Especially when you travel alone as a woman you will feel really safe, supported but also not bothered, they respect your privacy - just perfect. See you next year inchaallah. :)",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 September 2018,5,Great stay!!!,My friend and I stayed at the Medina Social Club for 3 nights and had a great time. Beds were comfy and rooms were really nice. Staff was great especially Abdelali (Rochi) he was awesome and hung out with us every night and told us all about Moroccan culture. Great time!,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 August 2018,5,Beautiful hostel in Fez’s Medina incredibly run with an outstanding service,"This hostel is an oasis in the middle of Fez’s crazy medina. The building itself is impressive but what makes it special is the people that run it, in particular Abdelali. He was 100% attentive to all the needs of the guests -including mine!- and super friendly and welcoming at all times. I would definitely recommend staying here!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2018,1,BED BUGS!,"Rated these guys in hostel world, seems they reply about their bed bugs situation every time stating that it was people from the desert that have come and left them there. However none of the other places I stayed on my 12 days in Morocco have had bed bugs and I’m certain there will always be people coming from the desert. No excuses! Also the bugs were huge which means there is lots of them and they are fully grown. It’s taken 10 days for the bites to go away and caused extreme amounts of discomfort. Would not recommend staying here!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2018,1,Staff are very unfriendly,"I was attracted by beautiful of the hostel when I booked this place. It is indeed very lovely. But the staff aren’t very friendly. There were no instructions given on breakfast, directions, welcome tea or anything when you arrive at the reception. They don’t even serve any tea which other hostels provide willingly. You have to buy the tea if you want some. Place is convenient but there is lack of warmth and the social friendliness of the hostel staff.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 September 2018,4,Stay here for the excellent location!,"This hostel is in a really good location, just off one of the main streets - Talaa Kebira. We found it easily using an offline map or you can also follow the instructions on the hostel website. It's easily found from the Ain Azliten car park - which is the closest point that taxis can drop you off at the medina. Restaurants and the blue gate can be easily reached on foot from the hostel on the main street without any need to get lost in the depths of the medina. The 8 bed dorm was spacious and comfortable with plugs and lights for each bed. Bunk beds were no sturdy and didn't shake as the top person climbed the ladder.There were two showers and a toilet so there was no waiting for the bathroom. Both rooms were clean and lockers were provided. On our first night we were upgraded…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 September 2018,5,Best experience,"One of the best hostels we stayed in morroco!! Beautiful building, very clean and comfortable rooms and most important the most amazing friendly and professional staff. The food was great too! Strongly recommend",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 September 2018,5,Amazing!,"We booked into the Médina Social Club the night before our arrival through Hostelworld. It is possibly on of the best hostels I’ve ever stayed in! The aesthetics, staff, food, WiFi, rooms and showers are all top notch. There’s even a rooftop terrace! We paid around £20 per night for two beds in a mixed dormitory. The dorms have 6 beds each, with personal lights and a charging point as well as a fleece blanket and towel. The bathrooms are very clear with a consistent flow of water with a great temperature. The rooftop terrace is amazing, you can see the whole of the Médina below you! Would 100% recommend staying, it truly is wonderful.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 September 2018,4,Great Experience,"I have stayed in this place with some friends for three nights. We have booked a shared room, which was - for the price - pretty clean, large, and absolutely charming. The air conditioner worked properly, the toilet was clean, and the shower was good. Clean towels and bed sheets were provided. The wifi is free, but sometimes it didn't function as I wished it would. Staff members are absolutely friendly and hospitable. One of them even used a map to show us the way out of the Medina, for you can get lost easily if you're not familiar with the surroundings there: streets are similar to each other to some extent, and there are many turns to take. Using a GPS is always a good idea, but after walking away from the hotel and going back to it for a couple of times, it becomes easier…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 July 2018,4,"Great Rooms, Very Clean","The hostel itself is great. Stunning social areas with beautiful tiles and fountains. Rooms and bathrooms are clean, and rates are fair. The hostel can be a bit hard to find at first go, but once you find it, it's not too hard to get back to. Just off one of the main streets. Follow the signs! Would recommend.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 July 2018,5,"Excellent service, excellent facilities","The Medina Social Club offered us excellent hospitality. It was an incredibly warm hostel. The facilities are excellent for a hostel. We stayed in a private room with an ensuite and a small alcove with courtyard view to retreat. The rooftop terrace has lovely views of the Medina and beyond. Street cats hover about up there and there's ample seating to lounge about. The restaurant in the atrium has excellent food; vegetarian, tagines, curries, salads. All healthy and all safe for the international traveler (well, we didn't get sick from eating here). The hostel offers Free breakfast 8.30-11am and free wifi. It's relatively easy to navigate to, however they offer a driver pick up service from the airport for €15 which is invaluable because the Medina is a maze. On our last…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 February 2018,5,Unbelievably nice hostel...,"We found this place by chance, and arrived without bookings. It meant we had to move rooms a couple times but we didn't mind because this Hostel is AMAZING. Everything is brand new and sparkling clean. the courtyard is beautiful, the staff are friendly, you can get your rare morrocan alcohol fix at the hostel bar. The location was great just off the main street in the Medina. Seriously, for the price you pay this hostel is fantastic. If it was a hotel back in Canada I'd expect to pay a minimum $100 a night for the facilities they had.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 May 2018,5,Amazing Hostel in the center of the Medina,"The Medina Social Club is the perfect hostel for anyone looking to explore the Medina of Fes and stay in a unique Moroccan Riad. The receptionist was extremely nice and organized a guided tour of the entire Medina for us. The tour was perfect and we saw everything we wanted. The restaurant was a pleasant surprise, especially the free breakfast. The Riad itself was gorgeous. The courtyard was beautifully tiled with a soothing fountain in the center. Our room was clean and neat when we arrived. The bathroom was perfect for our small group. The icing on the cake was the rooftop terrace. We had a gorgeous view of the entire city and it was a great place to watch the sunset. I highly recommend this hostel to all visitors of Fes.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 April 2018,5,"Great stay, good people.","Hey guys, I stayed about 2 weeks in Medina Social Club, and it was really good. I explored the whole country thanks to their amazing tours. Like this I went to the desert, Meknes, saw roman ruins, the blue city.. And at night I was always happy to enjoy the peaceful atmosphere, even while being in the middle of the mdina. I had a great time, made many friends and the staff was so helpful and patient. They will find a solution for anything. I definetely recommend this place and look forward to visit my friends there on my next trip. kind regards Finn",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 April 2018,5,"Wonderful, perfect hostel in the heart of the Medina","The Medina Social Club felt like a little ""safe haven"" while I stayed there last week. All the staff there was absolutely wonderful, so kind and helpful! I had a bit of a problem with another hostel and when I returned Hamzeh and the other staff helped me and were SO KIND!!! i hadn't booked to stay and were fully booked but sorted a bed out for me so that I could stay which was truly wonderful. They have an open air area when you walk in that is big and has a lot of space, a really nice roof terrace, the rooms and beds are clean (and they provide you with a clean towel). The food is also great - both breakfast (included) and dinner. The wifi in the main areas is great and I met some really lovely people around my age when I was there. If you're getting a taxi from the…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 March 2018,5,"Beautiful Riad, nice owners!","We had to cancel our stay at the Medina social Club spontaneously because we had to continue our journey - if we had known earlier, we would have stayed there the first 2 nights though. It is directly inside the medina and really beautiful. Even after we cancelled our night, we could leave our bags there for the day, for free, which was great. Recommended!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 January 2018,5,Beautiful riad hostel,Comfy beds with individual light and plugs. Decent sized lockers. Very hot showers. Views from the roof are fantastic. Food is very nice and a good breakfast. Staff are friendly. Good location and reasonably easy to find. Thoroughly recommend. Only slight downside was the WiFi was a little temperamental but worked most of the time. Quite a social place.,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 January 2018,2,The worst so far,"After being one week traveling around Morocco this guest house has been the worst so far. When we got there we were impressed by the courtyard as it is very beautiful but the nightmare started when we got into the room, first thing room was too old and not very clean what is not a big issue until you see hair from unknown people all over the blanket and considering is winter and still cold here in Fez having an only blanket and no sheets to cover yourself up is definitely not enough. The shower was not flushing so we ended up with water all over the bathroom an putting towels on to dry it as much as we could. Summarising there’s no way I repeat the experience.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 December 2017,5,The place to stay in Fes,"The Medina Social Club is the perfect place to stay whilst exploring Fes. Clean, excellent location and a rooftop terrace that gives an unrivalled view over the sprawling medina, the staff are friendly and the ensuite bathrooms spotless.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 December 2017,4,beautiful hostel in the fes medina,"The Medina Social Club is a great place to stay in the Medina of Fes. It is BEAUTIFUL and our room was more of a suite than just a double room. We even had a private entrance to the roof terrace. Three minor things: It was freezing cold. They provided a heater, but the blanket was super thin and it was still quite cold at night. If you're not going in the winter, like us, this won't be a problem. The water in the shower was cold as well and when we asked about it were told that we just had to wait five minutes (it never got warmer). Also, when we tried to check out at 10am we had to wait for 20min for someone to show up, which let to us almost missing our train. The hostel is quite new and these things will probably be fixed soon. As I said, these things didn't spoil our trip…",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 December 2017,4,Perfect place to get lost in Medina,"We booked one night here on our trip to Fes and ended up staying 4. Such a great location to enable yourself to get lost in the Medina and truly see what it’s all about! Abdul and Abdul Ali were both very friendly and by the end, it felt as they were friends. The breakfast is amazing, and the rooftop is sensational! One problem is that the WiFi barely works, however seeing as though I didn’t travel to Morocco to spend time on my phone it didn’t bother me too much. All in all, a great stay and I would stay again.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 October 2017,4,Great place to stay,Stayed in two different private rooms here. Both were very nice and clean. It was relatively easy to find (for Fes medina). It's a pretty central location. The staff was very nice and decent breakfast included.,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
