 November 2022,5,Vivi,Lovely friendly staff...good selection of food. ..free transfer bus into the main town. ..not close to any shops etc.....be careful of hagglers when you get to town. ..they try to say that they work for the hotel and have seen you there. .I would definitely stay here again,hotelName,city
 December 2022,5,Staff,3 times here now and it never changes everything is as brilliant as before because it is the staff friendly people who will try to make your Holliday never walk by without saying hello food available 12 hours so you can eat and drink when you want will be back asap super place,Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,100% FAB-U-LOUS,"We have just returned from a holiday here at this hotel. I can honestly say the hotel is a fantastic place to stay. The staff are so incredibly friendly and absolutely nothing is too much trouble It’s a very well run hotel, immaculately kept and absolutely spotlessly clean, the food is truly amazing, such a choice of dishes, everything made from the freshest of ingredients and always something for all tastes The gardens are beautiful and really well tended, a few seats dotted around would be really nice for people wishing to have a quiet moment amongst the trees and birdlife? The pools are heated, which is great at this time of year. We particularly enjoyed the adult only pool which was really tranquil, yet having its own bar. We loved this place so much we are thinking…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Fantastic family holiday,"Amazing family holiday the stay has been fantastic entertainment team Emma looked after us every day and took care of all our needs she even teached us some Arabic phrases. This hotel is amazing and caters for all ages , the food is fantastic, great choice every night !",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Wonderful and faultless hotel,"I have stayed at other Iberostar hotels in the Caribbean and have never been disappointed. This was no different. Staff are fantastic, go out of their way to please and make your stay special. They really make you feel like you are on a luxury holiday. Food was brilliant, always something different and the quality was fantastic. Yes the scrambled egg wasn’t piping hot but it was more than edible and there is microwaves if you need it hotter. Lots of choices for all meals, and with different bars offering snacks between the main meal times, you are never going to go hungry. Main pool area music was a bit intrusive but not offensive and the zen pool area was great, never had a problem getting a sun bed, some people were reserving them with towels but it wasn’t necessary at this…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,4,Loved the cats,"I’m leaving this hotel shortly after five days. I’ll do some good and bad points. Good: the food is excellent, extensive and well cooked and presented. I’d say it’s faultless apart from one thing (see bad section). The animals: I chose this hotel because I read on TA there were cats here and I love animals. I brought them some treats from home but then read the welcome sheet from the hotel which said not to feed them. If guests don’t feed them who looks after them? They are lovely so I ignored the request and fed them daily. There are peahens and geese too. Loved them all. I’d return just for them. The staff: nearly all were smiling, helpful all the time. The pools: They are heated. Not to be hot or warm but to a temperature that is perfect. Generally I hate pools as think…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Very pleasantly surprised. Would return,"Initially I’m struggling to understand so many of the negative points raised here about this hotel. Whilst I appreciate a lot of a stay can be portioned down to fortunate timing we had an exceptional week. The food in the main buffet surpasses any expectations I could have had when booking. Variety of food from traditional moroccan, to well made Pizza and fries if you so desire. Bbq and hot plate cookery was always a treat, where often there’s fish being made at lunch. Dessert pastries are exceptional at both lunch and dinner. Admittedly the buffet restaurant exceeded the “table service” restaurant which you visit once during your stay, this night was in fact the low light of the trip. Not down to the food, but the staff were often inattentive - perhaps we had a bad night.…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Great Staff great food lovely pool,"When we first arrived we were not 100% sure we had made the right decision. Everything was very french orientated but within a day the staff had made us feel so welcome, La Cost, Emma, Omi, Periss, Achaf and Momo, Abdul and all the other staff whos names I don't know, made us feel so welcome. The food was great, pool was lovely, the staff could not do enough for us. The bar staff, cleaners, caterers nothing was too much to ask.",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Iberostar club marrakesh,"This hotel is down as a fourstar and certainly lives up too its ratings This is a big complex with lovely gardens and 3 swimming pools there were always plenty of sunbeds at any time of day ,each pool has a bar beside it which serves soft and alcoholic drinks coffees teas the drinks were good quality beer wines cocktails etc There is plenty ro do through the day tennis courts bouls archery volleyball keep fit etc and an organised programme of activities The food in the restaurants was very good with fresh meats and fish being cooked to order a mixture of morrocan and western dishes lovely breads salads etc it does get a little repetive over 14 days but you can't expect anything else the control of the hyigne was good and we had no upset tummies etc All the staff are very…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,4,"Fabulous hotel , lovely holiday","I write this review, sitting by the pool on our last full day ! I’m here with my husband- we left the kids at home for our first trip in 7 years child free - we wanted winter sun and a good quality all inclusive hotel and we definitely got both! The weather for the end of November is amazing - cool in the morning and evening - 11-5 pm glorious and about 23-26 degrees. My husband is a travel consultant and with his job we have travelled the world staying in many 4-5 and 5 star plus hotels , so it’s from that experience I write this review . Firstly I have to address the review that said they waited 4 hours to get through customs- it took us 20 mins…. There is a form that needs to be completed - we got this online and filled in before we left , if you don’t have this it will…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,4,Great hotel but could improve a few small things.,"Have just returned yesterday from my third visit to the Iberostar Club Palmeraie and look forward to visiting again next March. The weather in early November and in March is excellent, especially for us from a north of Europr. Mostly what I have to say about the hotel is EXCELLENT. It is as clean as whistle; the staff are friendly and efficient; the gardens are lovely and very extensive; two pools are superb plus there's a dedicated kids pool. Food was buffet style and there were changes every day; the Moroccan food offering was excellent but most of the buffet was international and extensive. I do have two down-sides but not enough to put me off returning. 1. The main dining room lacks character....badly. It is very brightly lit and is a bit ""canteen-ish"". It needs better ,…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Marrakech masterclass in hospitality,"The staff make this hotel what it it is. Always smiling always willing to help or advise so thank you from the reception staff to the restaurant staff to the pool staff to the bar staff etc. You are a credit to the hotel. We loved the extensive grounds with 3 great pools, extensive sports facilities and food and bar stations. The main restaurants were good a little more food signage and hotter food might be suggested but the quality was great. Entertainment was pretty much the same team each night with different themes, it was very professional maybe a little variation needed. The guitarist one night in the restaurant was simply outstanding they should use him more. Lots of tours to go on and we did the City and Atlas Mountain both very good. My wife and i have to…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Our second visit in 2022 and still highly recommended .We will be back soon!,"This is the second time we have visited this hotel. We highly recommend it. From our greeting in reception from lovely Nabil, who was still smiling despite being very busy at that time, to the professionalism and efficiency of manager Mohammed this really wonderful hotel. The food is amazing, my husband eats like a king for the week and is then very miserable when he comes home to normal food! The staff clearing the tables are fantastic It genuinely feels like a restaurant which can be challenging catering for high numbers. When I booked I did not have a choice of rooms. I emailed and we were changed to a garden view room as when we visited the first time we found that the double pool view room was too noisy for us (without young children) and the garden view rooms are…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,WOW. GREAT HOTEL.,"WOW. WOW. WOW. What can I say about Iberostar Club Palmeraie only we will be back. All the positives. Food great. Drinks very good. Pools lovely. Really clean. So much to do. Brilliant shuttle bus service. Evening shows outstanding. Day time activities non stop if u want to do them. Gardens immaculate. Rooms cleaned daily. A VERY BIG THANK YOU TO 4 SPECIAL MEMBERS OF STAFF who went out of there way and beyond. New friendships made. ADIL. ACHRAF. LACOSTE and EMMA. 4 very special people so friendly, helpful and happy. We will being going back. Highly recommend. ♥️ Just one negative i wish all the food was labelled so we now what we are eating instead of having to ask and not getting a very good answer from the chefs and waiters. The food is so good jthat is just the only…",Iberostar_Club_Palmeraie,Marrakech
 October 2022,3,OK,"Very friendly staff, clean rooms, good bed, and decent breakfast. Everything was OK, but the food served in the buffet was a bit tasteless, and a lot of the food had a Moroccan ""stable"" smell. After all, certainly a good option for families with children. A free shuttle bus to Medina is a big plus!",Iberostar_Club_Palmeraie,Marrakech
 October 2022,5,Fantastic staff and beautifully maintained,"This hotel is fantastic and made even better by the amazing and plentiful staff! It is spotlessly clean and well maintained. The entertainment and sports facilities keep everyone busy. A special mention for Periss, Momo and Lacoste for their fun energy with all the sports activities and Sara on the front desk. But all staff were polite and helpful throughout the resort. we will be back. Highly recommend.",Iberostar_Club_Palmeraie,Marrakech
 November 2022,4,A relaxing stay and would return. Few improvements would help,"Overall we had a great stay and would return again. We were met by welcoming staff and shown to connecting rooms as requested. The adult only pool was extremely relaxing and comfortable with plenty of space to relax. Lots of entertainment and the archery instructor was sassy and fun while helping us. We liked him a lot! Food was all fresh and tasty, albeit sometimes a little cold. Bars were well stocked and there was an enthusiastic evening entertainment team. While a little outside the city it was easy to travel when needed. However, also offered an oasis of calm for a very relaxed trip. Cabs always outside. Very cheap late checkout also available which was very welcome. Few areas of improvement: 1) Doors to the room and connecting doors aren’t soundproof at all and so…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Exceeded Expectations,"The hotel is lovely. The grounds are so well maintained, the pools and facilities are great. The drinks are perfect, with lovely coffee, G&Ts, great cocktails (espresso martinis, mojitos or even Abdou's specials). There are even peacocks strolling around the grounds. Food was brilliant, with plenty of choice. There is a section for pizzas and pastas, for people who want some home comforts. They do different specials each day ranging from savoury crepes to kebabs. There is also a BBQ outside which changed each day. The staff are brilliant, from the waiters and bar staff to the spa staff. Plus Hassan as a golf instructor and you can't praise the entertainment staff enough - Emma, Lacoste, Perris and Oumi. They do whatever they can to make your holiday extra special. We…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,4,"good experience, can improve in some areas","I have visited all 3 spanish branded All inclusive resorts in Marrakech, this is the better one, here is why - staff is excellent, friendly, experienced and genuinely helpful - Food: pretty diversified, missing some healthy options that can be labeled, deserts quality is poorest among the 3 resorts, the afternoon snacks were limited and of no diversity, i'd rank them below par compared to others - Kids Club: staff and outside activity are good enough, kids like them. the kids club needs some on premise upgrade with kids games... - shows and entertainment : best of all 3 resorts by far. missing some sports tournament to create some camaraderie and challenges - rooms: old and need revamp, the noise in corridors is extremely problematic because corridor noise echoes and you hear…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Great Stay,"Just returned from Marrakech, Hotel was great - I think the reviews are unfair - the hotel is an older hotel, but our room an surrounding areas were always very clean. Pools were great - the Zen pool is very quiet but the main pool was lively but not too loud. Morocco's 2nd language is French and this is spoken mostly but most of the staff can speak English and are very helpful - Shout out to Lacoste who was great fun - all the activity staff work really hard. The food is OK - much like most All Inclusive buffets - always something to choose from - my one complaint is that the food needs to be labelled better, my son is allergic to nuts and we were unsure a) what we were eating and b) what contained nuts - this needs to improve. We had a great week - weather was glorious -…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Highly recommend,"We have just come back from a week at the Iberostar Palmeraie with my family, we were 7, including one grandchild of 9. The hotel is the ideal place for this sort of holiday, but also for a quiet break as a couple. The two heated pools, one quiet and one with entertainment, mainly for French people who like that sort of thing are excellent. I cannot prise the staff enough, Sara and Mohammed Ali in the lobby, Rachida and Bouchra in the dinning room, Samir at the pool, and many more. All so kind and helpful. My son had an accident and needed hospital treatment and they were amazing. The all inclusive is really all inclusive, the food in the restaurant is superb, the choice endless, with grilled meats, salads, vegetables all of excellent quality, and the desserts are scrumptious.…",Iberostar_Club_Palmeraie,Marrakech
 November 2022,5,Fantastic group visit to Iberostar Marrakech,A group of 14 of us stayed here in November 2022 and all thoroughly enjoyed ourselves. Food was excellent - always fresh with plenty of variety. Bar staff were attentive. Ents staff consistently went out of their way to keep us entertained. Special thank yous to the guys running the waterpolo and aqua aerobics and Emma for being so welcoming to us all. Management were visible and really maintained high standards. Paella cooking course was much appreciated. Dancers were hard-working and very talented. Highly recommended!,Iberostar_Club_Palmeraie,Marrakech
 October 2022,3,Nice stay,"Stayed here in October half term. Lovely clean hotel and excellent staff. We didn’t do our homework and unfortunately the hotel was packed with French and the hotel catered entirely for the French. The entertainment was not great and the hotels very remote not that there’s bars restaurants etc to go to, it’s a very different holiday experience. The food was ok, fresh but very boring. If you are thinking about going to Morocco be prepared for a 2 to 3 hour wait to get through their customs and immigration control. Absolutely diabolical with border staff really not bothered and basically wasting everyone’s time watching you tube clips and having a laugh with the other staff. There’s also a hour to get through the customs on departure also!! Personally I won’t return to Morocco.",Iberostar_Club_Palmeraie,Marrakech
 October 2022,5,Would recommend!,"Fantastic stay at the Iberostar! Staff fantastic - always had a smile and would help you with anything. Food very well presented and good quality although would like to see some labels on the food in the buffet for allergy reasons. Hotel is spotless, the grounds are absolutely immaculate, rooms cleaned to a very high standard. Pool areas lovely and enjoyed the house wine and beer, also the fizzy drinks were very good. I cannot complain for the price at all! It may be a bit out of the city centre but I found Palmeraie to be much more relaxing then the city, we went to the YSL museum in a taxi for less then £25 return and the Souks near the main square for £30. Very good weather in last week of October aswell 35 degrees most days.",Iberostar_Club_Palmeraie,Marrakech
 October 2022,5,A MEMORABLE HOLIDAY!,"I don't do hotel reviews on TripAdvisor but felt it necessary to do this and I will be very honest. The hotel management have done a great job with this place. It is a lovely resort and the staff are a credit to this place. They work so hard and ensure that guests are happy. They are very friendly and not in your face. The food was very nice, fresh, tasty and varied everyday. The entertainment team are amazing. The grounds are immaculately clean and makes you want to walk round all the time. The facilities are great too and activities always going on at different times of the day. The cocktail party was lovely. I could go on and on but I just want to say a big thank you to all the staff here for making my stay a memorable one. And not forgetting Rachida in the restaurant who…",Iberostar_Club_Palmeraie,Marrakech
 October 2022,5,See you again soon!,"What an amazing holiday in a fab hotel made more fabulous by all the staff that work so hard to make every guest feel like a member of their own family during their stay. The reception staff, waiters, bar staff, animation team, Kappa Club team, housekeeping team, gardeners, concierge, spa staff, pool lifeguards. . . everyone made my stay one to remember and everyone I spoke to said the same. Thank you! I have booked to come again very soon x",Iberostar_Club_Palmeraie,Marrakech
 October 2022,4,Such a great stay!,"Very relaxing stay! We especially enjoyed dining outdoors under the olive trees in the evenings. The food is outstanding and there’s a huge choice. All the restaurant staff are particularly friendly and were happy to assist with our daughter's nut allergy. We thoroughly enjoyed our massage in the Spa. The adults-only Zen pool and bar is a haven of tranquility. The hotel is a set in several acres of gardens which are surprisingly green and attractive. Comfortable rooms with lovely garden views, and the surprise flowers on the bed were a nice touch. The gym is much larger than we expected and very well equipped with new machines. The free bus into the city (30 mins) was really great. Our favourite cocktails included San Franciscos and Mojitos, and the beer and wine are pretty…",Iberostar_Club_Palmeraie,Marrakech
 October 2022,5,Fantastic Hotel. Great holiday.,"This was my first visit to Marrakech and it did not disappoint. The hotel was stunning. The grounds are immaculate and the staff work herd every day to keep it this way. There some resident cats and kittens and they are very clean, well looked after and friendly. Everyone loved them. The rooms were great. Spacious and clean. Housekeeping went in every day and sometimes left rose petal designs on the bed. Nice touch. The shower was always hot and had good pressure. There were a few mosquitos when we arrived but we asked reception if someone could spray the rooms, which they did straight away. We only went to the aduts only pool but it was great. So relaxing and always plenty of beds. It has a little bar at the end where you can get all kinds of drinks. The buffet restaurant was…",Iberostar_Club_Palmeraie,Marrakech
 October 2022,5,Gem of a winter break,"What a surprise gem,our stay was excellent with goal of winter sun and no stress and iberotsr staff delivered, from Youssef at the poolside bar, Merium was a delight in the restaurant and Abdou every evening keeping us toped up with mojotos. Momo was everywhere keeping us well entertained with such a happy personality. Led by Mehdi the evening entertainments were great fun. The gardens were also kept perfect with a continuous army of gardeners, well done! The spa was exceptional and great value. Only one more thing to say we will be back thank you for a lovely holiday.",Iberostar_Club_Palmeraie,Marrakech
 October 2022,5,Amazing Holiday and service,"Wow what can I say about this hotel, apart from we had a amazing time. Our welcome from Mohammad really set the tone of the hotel and the right first impression, he was very welcoming and informative. The hotel and grounds were lovely, very well kept and soooooooo clean. The food was very good and so fresh and the restaurant staff were so friendly and helpful. All working very very hard. The room itself was very clean and fresh and plenty big enough for our family. Again the house keeping staff worked so hard. A special thanks to the general manager, guest relations manger and the nurse on site who gave 5* service when our little 1 year old boy was poorly, we can’t thank you enough. Keep up the good work everyone, we will definitely be returning",Iberostar_Club_Palmeraie,Marrakech
 October 2022,4,Would go back!,"My husband, 16 year old daughter and I stayed a week here and had a great time. After the ""luxury"" of our Ryanair flight we had a simple transfer and a lovely welcome to the hotel. Staff sat us down, gave us a drink of fresh juice and our all inclusive bands. We were sent off to the restaurant so we could have lunch before it closed and returned to find ourselves all checked in. Rooms - OK, nothing spectacular but cleaned everyday to a high standard. Water pressure wasn't great! Food - reasonable. We are something different most days. It's not the hottest but there is a microwave which we used. The foot truck burgers were great! Pools - we only used the Zen pool. It was lovely and quiet. Cold going in but refreshing. Didn't need to put towels down unless you want a…",Iberostar_Club_Palmeraie,Marrakech
 October 2022,5,"Return visit, now with gluten and lactose intolerance",Delighted to say thanks to the excellent management the hotel has been maintained to an excellent standard .sadly i now have both a gluten and lactose intolerance .there is such a wide variety of food available i never had a problem .the staff will seek out alternative milk for you etc but to be honest i found i was happy eating new selections .if one is desperate for an exact food the shuttle drops you just outside an carrefrour which-stocked my favourite milk etc .i was delighted with the variety of fresh-salads available .my husband who eats very differently was also delighted with the choice . The rooms are cleaned in depth every day by very cheerful cleaning staff.the wait staff are delightful but non intrusive .somehow i was bitten by something strange (i know of no one…,Iberostar_Club_Palmeraie,Marrakech
 October 2022,1,"Didn’t even last 12 hours, hell on earth! Avoid unless you like cold food, flat drinks, hard beds, bricks as pillows.","To say this hotel was a disappointment is an understatement. We arrived last night having booked in good faith via BA Holidays, after reading all the ‘wonderful’ reviews on trip advisor, and simply cannot now understand how the hotel can attract so many five star reviews when it falls so short on every level. To summarise: In no way whatsoever is this place ‘4 Star’ Receptions smells of bleach All other communal areas smell of smoke Decor generally very old and tatty No staff on hand outside to welcome you / help you with bags when you finally arrive (location is in the middle of nowhere) Staff are only polite if you tip them, our ‘bellboy’ insisted on bringing our bags up to the room in the very old lift, and had obviously just been out for a cigarette as reeked of smoke. I…",Iberostar_Club_Palmeraie,Marrakech
 May 2022,4,Great Holiday,We arrived on 07.05.2022 for a 14 day holiday. After a short taxi transfer from the airport we were the only people checking in. Although check-in wasn’t until 15.00 they managed to get our room ready by 13.00. We were given our room number and set off to find it. Our luggage arrived shortly after. The room was a good size with a bathroom and a very small balcony with a table and chairs overlooking the gardens. The beds were very comfortable and the air conditioning coped very well with temperatures hitting 40 degrees. The cleaner did a fantastic job all through our stay and even left towels and toilet rolls outside the room if we were having a break from the sun. There was plenty of wardrobe space to hang all of our clothes which can normally be a problem. The only thing…,Iberostar_Club_Palmeraie,Marrakech
 November 2021,4,Family break,"Welcome : A party of 13 of us arrived at the hotel and were warmly welcomed with a drink. We were seated in reception while the staff did the necessities to have us checked in. There was a misunderstanding the hotel vouchers and it ended up taking a long time to sort out but once sorted, the manager did all he could to make our stay seamless. Buffet restaurant : The chef does a good job of being creative with the dishes. There’s award something for everyone from salads, fish, chicken and red meat dishes as wall as the tagine of course. Moroccan restaurant: Spa : We had a range of massages and hammam treatments and although we weren’t blown away as they lack the finesse, we were all happy with the treatments.",Iberostar_Club_Palmeraie,Marrakech
 September 2022,5,Hassan will be watching,"To be honest we picked this hotel because it was in the Iberostar group and we've had many happy holidays in Cuba and Crete so we knew what to expect with the quality of food and accommodation generally. The icing on the cake was the daily Golf lesson with Hassan - all part of the Animation programme. This was excellent. We had one to one attention and it certainly has made us think more about our game. We are both fairly new to the game but have tried to keep up a weekly 9 hole practice. When we attempt a shot we say ""Hassan will be watching"" or ""Hassan will be proud"" when it goes well. Only slight criticism is the lack of labelling of food or a general menu which could be put on the entrances to the restaurant. This would be particularly useful around the show cooking. …",Iberostar_Club_Palmeraie,Marrakech
 October 2022,2,Great place for weight loss!,"Where to start with this one…. Check in was simple and staff were helpful informed me my poolside room would be ready in one hour, gave me the wrist bands to get food/drink use facilities etc and all seemed great. Poolside seemed fun and the animation team were friendly and helpful, the trapeze is brilliant and my daughter loved it instantly, nice addition. The gardens are very well kept and everything on the outside of the building is great. Except the food truck, the quality of food I couldn’t comment on as after watching the flies crawl over it all I decided to swerve it. Drinks were poor, but there are other better bars so no big deal. First impressions were excellant. From there it all went downhill….. pool side room was a nightmare, if I strained my neck and…",Iberostar_Club_Palmeraie,Marrakech
 October 2022,4,Beautiful place,Was pleasantly surprised how good this place was. The staff are super friendly. The grounds are lovely very well kept. Very clean . Food was good . I’d definitely go back and met people who have been back many times,Iberostar_Club_Palmeraie,Marrakech
 October 2022,4,Good service,"The hotel staff were friendly but the buffet food was luke warm, would wait for more food to be freshly cooked and the Moroccan restaurant was not worth it. One waiter who did not speak english and was not traditional food. There were a lot of french staying there that smoked (a lot) even whilst we were eating. Not pleasant and the compare spoke mostly in french. We had a nice relaxing time around the Zen pool but a five days was enough. The rooms were clean but fairly basic (not enough hangers)",Iberostar_Club_Palmeraie,Marrakech
 October 2022,5,Excellent hotel,"The hotel is excellant ! The food is very good , the staff is friendly and know how to make you feel good. I want to thank katy for making us spending a holiday full of fun and laught ! I will visit this hotel again for sure with my friends and family !",Iberostar_Club_Palmeraie,Marrakech
 September 2022,3,50/50,"This is a really mixed review. I don’t think this hotel is worth the money. The food was terrible and I ended up with campylobacter and have been sick for 2 weeks! The activities are amazing though , I loved the Archery, Trapeze and spin. The entertainment team are mostly really nice, especially Abdo, Morad, Achraf and Hocine and they really want you to have a good time. The waiters are also lovely. They had a good couple of entertainment evenings and the white party was the best..Morad in the fire show was amazing. The director of the hotel was very welcoming but the reception staff were just rude. The room was nice and very big but not the cleanest. If I could just go back for the activities pool and people I would but not worth the food poisoning!!",Iberostar_Club_Palmeraie,Marrakech
 September 2022,5,Excellent stay,"We once again had an excellent stay for the 8th time, first I would like to thank all the staff of the hotel without exception for their excellent service, generosity and their permanent smile, it must be said that from year to year the hotel always keeps its elite place for us, in terms of hygiene service listening sympathy you are at the top, but I would like to particularly thank again Mr. oualid the hotel manager for his dedication and professionalism, the beautiful sarah and mohamed ali for their hospitality, helpfulness and sense of listening, thank you for always being there, I also thank our dear zakaria at the reservations department for his kindness and his professionalism and warm welcome, I wish you a good continuation I have not seen better than you I assure you,…",Iberostar_Club_Palmeraie,Marrakech
 September 2022,5,Wonderful,"My stay in iberostar was excellent!! The food is soooo delicious. The rooms are clean and comfortable. The entertainment is amazing ( abdel ,ssamadi ,abdou ,katy,bakadi piris ,achraf) Every night a new show. The staff is very nice!! I highly recommend this hotel!!!",Iberostar_Club_Palmeraie,Marrakech
