 December 2022,5,Great!,"It is simply gorgeous. The room was mognificent and the restaurant was very good. The location is great. The property is in the middle of medina so you have to consider that you can't reach it on foot. It takes less than 10 minute on foot from the taxy station. If you warn them, they will send you a person that take you to the property. I can't wait to go back there.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,hotelName,city
 December 2022,5,The best place in fez!,"This place is amazing! Its super old and so beautiful! The rooms are insane, amazing bathroom and such a high ceiling. Yasin guide us through the riad and organised a tour guide. We had the best time! And Yasin was amazing for us. We would definitely come back! Thanks for everything!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 December 2022,5,Dar Bensouda,"Wow! Went there with my family. Watched the Morocco- Spain match all together at the hotel, with Brahim, Yazid, Mama do… Got sick the last two days and had “special care”. They brought me breakfast, lunch and dinner to the room and were always super caring and friendly. Thank you so much!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,4,Wonderful accommodations,"The Raid itself is beautifully designed and the Delux Suite is roomy and tranquil. We had 2 incredible massages with Kawtar. She is strong, thorough and was exactly the pampering treat we needed after a long day of touring fes. Do not miss out on her incredible treatments! It is important to state that the riad is a ten minute walk from the main road and can be confusing and scary. Strongly advise calling ahead of time to ask for an accompaniment, they will be happy to oblige.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Best rooftop of Fez,"A beautiful stay in a 17th century house. Delicious breakfast, amazing view from the rooftop, great location in the Medina and Yassin & Yazid were so kind and helpful. The perfect place to stay in Fez!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Beautiful Historic Riad in the Heart of Fes,"This was our first Riad on our first trip to Morocco and, let me tell you, the standard has been set high! The interior of the Riad Dar Bensouda is uniquely charming with original Mosaics and wood carvings throughout. The rooftop terrace offers panoramic views of the city and the rooms are spacious and stunning. The staff were so warm, inviting and helpful, arranging a city tour and dinners for us, always with a porter to help us find our way safely wherever we were headed. Aziz, the porter at the Riad was really our highlight of visiting Fez. Aziz is the Riad porter and such a pleasure to spend time with going to and from different places around the city. Without a common language, we still came to realize we were in the company of the Mayor of Fez, as he knew everyone…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,In Fes ? - - LOOK NO FURTHER !,"We can travel and yet experience nothing much out of the ordinary.... Alternatively we can travel and get closer to the people , the customs , the character. . This lovely Riad - so tastfully restored to glory is truly a quiet oasis in the hustle and bustle of Fes. . Such helpful staff - their answer always seemed to be ""yes"". The rooms quite delightful . Comfortable beds. . Views from the upper levels ( thoughtfully provided with comfy couches etc, on which to relax ) offer long distance views over the city and its surrounds . As you look out in the setting sunlight with a call to prayer quietly drifting in the breeze , you are totally sure that you have arrived in somewhere that is quite definitely not a chain hotel ! . Food - fresh , organic , cooked to order - get the…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Magical arrival in Fès,"The Riad is authentic and stunning, designed in every details. The combination of the traditional architecture (with all the stucco, the finest wooden carved decoration and the mosaic patterns) and the modern touch of the furniture makes the interior design balanced and elegant. Each space has its on peculariaty creating different environments and ambience, from the patio, to the pool area, the rooftop that gives an amazing view on Fès for the sunset, and another hidden vertical garden where you can enjoy the sound of the birds singing. Last but no the least the room was perfectly cleaned and the staff kind and polite. I would definitely recommend this place to everyone is looking for a magical and unique experience in Fès! Ludovica and Cinzia",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,4,"Beautiful Riad, friendly, helpful staff.","I was there as part of a group booking. The staff weren't expecting to provide dinner for so many people on our first night but somehow managed to not only feed us all, but send out for drinks as well! The rooms were simple, comfortable and everywhere was spotlessly clean. The staff couldn't have been more helpful and friendly. The rooftop was comfortably furnished and a wonderful place to view the setting sun. The only drawback was the walk to it from the edge of the Medina. Otherwise a wonderful place to stay.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Great adress,We ve been there for lunch. Just perfect. We ve been treated like princes and princesses. The Ryad is gorgeous with the perfect view ever. The lunch was so delicious and WE could enjoy it just beside the pool. We had the chance to visit the Ryad and some rooms and i can tell that we really enjoy the stay in there Thank you guys,Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,"Morocco is a beautiful country with its people and culture. I did not expect that, especially the people of Fez, the good recept","Beuty Hotel and very good service😍It was a good experience. Morocco is a beautiful country with its people and culture. I did not expect that, especially the people of Fez, the good reception and generosity in addition to that hotel in which I sat was beautiful",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Antique Place,"It is a wonderful experience in this riad, the place was wonderful and carried an antique luster, and the service was excellent and professional, I really recommend you to visit the place. I'll try to get back with my friends soon, I can't wait to get back soon.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 October 2022,5,Fantastic Expérience,It was a wonderful experience and the hotel was excellent in terms of the quality of food and the decor. It was an unforgettable experience. The service was wonderful and the riad was so Calm also people so genious I will try next time to bring my family with me,Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,unforgettable experience,"It's magic, yes the place was great the parts of the hotel took me back to ancient history and antique art, and the food was great, plus the staff there were excellent I really want to come back here, I will miss the kindness of the staff and all parts of the hotel",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Unforgettable stay,"Amazing experience at this beautiful place , the staff are helpful and they were present most of the time The spa services worth trying, ask for kawtar for your massage, try also their restaurant, a delicious bit breakfast served every morning One of the best hotels i stayed in morocco",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Unforgettable hotel,"What a great place, I spent here the best days of my vacation in Morocco, the place was great and the staff always made us comfortable, the food was great, the room was clean and comfortable, I enjoyed the place part by part as each part of the hotel has a special beauty Mr. Yassin accompanied us from the time of our visit to the hotel to ensure our comfort and also helped us discover all the wonderful places in the hotel. Really, he is a wonderful person as is the case with the hotel",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,grat visit in my life,It is really a very beautiful place. I would like to stay in it for a long time. It has great decorations. The service was great and very prompt. I would like to visit again with my family and I. And the security is very successive and suitable for everyone. I would like to thank the owner of the place very much,Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 October 2022,5,Fabulous place,"Falling in love with every corner in this riad, me and my family stayed here for 3 nights, and one thing i should admit , this was one of the most remarkable riads that i visited in Morocco.. the atmosphere is so calm and the service is so professional , we tried almost everything there and we didn’t regret it , since we had been there in summer me and my 13 years old nephew enjoyed the swimming pool almost everyday day and night we also enjoyed there panoramic view from the beautiful well designed rooftop , it was absolutely an awesome place that we miss already Regards from all the family Credits to the manager and staff in general J&p",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,A heaven on earth,"Actually once I came from USA, and for my first time visiting Fes. I was looking for a place where I can enjoy the Moroccan culture and the hostility of fassi people. It was the perfect choice staying in this Riad . The service is excellent and employees are always here for you, the rooms were beautifully cleaned and top of all was the delicious food that I had the chance to taste and to share meal with people there. I recommande highly and i’ll be back for sure Emy",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,A getaway within the Medina,A stellar retreat within the huddle of the Medina. The beautiful environs of the well appointed (yet ancient) house come across in all of your senses. In particular the manager - Yassine - went above and beyond to make our stay comfortable and easy. We enjoyed the fruits of his hard work and easygoing helpful manner. We would highly recommend this place!,Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,2,"Beautiful riad but a ripp-off for extras (spa, transfers, tours)","The historic building with roof terrace overlooking the medina is beautiful, the staff are polite but their upselling on overpriced extras (some up to 10x fair price as we found out later) just feels like a ripp-off, which we wouldn’t have expected in an compared to other riad’s in Fes more upmarket accommodation. There was not a lot of choice for breakfast, the pool wasn’t heated and the water so cold that we didn’t go in. Reading in the description that “guests also have access to the riad's hammam” made us think that there’s a spa area we would have access to but when I asked the manager explained that there’s only access to the hammam for booked treatments. I inquired for a massage and my friend for the hammam treatment. The riad’s manager upsold me the hammam treatment…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Moroccan Magic in Old Fes,"We have been touring Morocco for a few days now and ended up in this FABULOUS hotel in the labyrinth of Fes. The Manager is helpful, and kind and speaks perfect English - which was a great help to us. The vibe of the hotel is ancient elegance.... built as a home in the 17th century - but almost luxury accommodation now. The food was excellent, and they helped us to find a bottle of wine - which is a bit of a challenge at times if you like to have a glass with your meal. (Morrocan wine is very good BTW) The rooms are 17th century with updates where you'd want them ... plumbing etc. Very interesting and the beds are perfect. I'm an earplug person and slept right through ... but the doors are wood - so like any place, sound can come through. But it's a very quiet hotel in general.…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 October 2022,5,"Absolutely gorgeous riad, wonderful rooms","I have to admit I was a little disoriented getting to this property. It is in the heart of the riad, we arrived on a busy day and were somewhat overwhelmed by the twists and turns to get to the property (they did send a porter, he toted all our luggage and guided us very well). This is not a hotel critique, the medina is massive and confusing! So I was a bit apprehensive upon arrival that maybe I'd chosen the wrong place. I'm happy to say I did not. The property is beautiful, the staff is excellent, the rooms were very comfortable, the restaurant in house was very good. Head up to the rooftop for sunset and call to prayers, it's a magical time of day to appreciate the beauty of the medina.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 October 2022,5,Highly recommend Riad Dar Bensouda!,"Authentic architecture updated for maximum comfort. This Riad has five-star service! Manager Yassin, and staff Yazid, Aziz and Ibrahim will happily assist at every opportunity, always with welcoming smiles. Dounia will give you the best hammam experIence, and Kawtar will give you the best massage. Great location inside the Medina. Walking distance to many good restaurants. Must be able to navigate stairs. Highly recommend.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 September 2022,5,"Exceptional place, service and food.","Exceptional ➕ The moment you step into the (gorgeous) riad, you feel as if you were welcomed home. The staff is absolutely amazing, the quality of the service and their kindness is above and beyond. Also the food is to die for, the best vegetarian couscous we had in Morocco (and we’ve been there quite a few times). ➖ /",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 October 2022,5,The Perfect Place to stay in Fes!!,"We spent two nights at Riad Dar Bensouda and loved it! It is a beautiful riad with the BEST staff any traveler could hope for! Yassine, the manager, sat with us upon arrival and not only provided information about the riad, but answered all the questions we had about Fes. He offered up his contact information so we could reach him directly any time we had questions or needed help with anything. We made use of that offer a number of times. asking for recommendations for cooking classes, dining, shopping and more. His responses were always prompt and helpful. And, even though we sadly had to transfer to another riad for our last two nights in Fes because Dar Bensouda was fully-booked, Yassine kindly offered to provide any assistance he could during the rest of our stay. We…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 October 2022,5,Go back in history,"Recently i spent a night at dar bensouda and it was really an unforgetable exprience, as a moroccan i was born in fez and left it for more than 20 years .. comming back there was overwhelming and i was so excited to feel the beauty and charm of the place Food was great and the staff were very nice",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 October 2022,5,The best Riad in Fes!,"It’s an amazing place. We were told that this was the best Riad in Fez and they were right. After a 10 minute walk inside Medina we arrived at this beautiful Riad. Staff was very pleasant and helpful. The room was large, beautiful and impeccable. The staff was extremely helpful arranging taxi rides and luggage transfers. The chefs cooked delicious meals at anytime of the day. I strongly recommend this Riad and hope to return one day in the future.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 October 2022,5,The perfect visit,We couldn't have been made to feel more than welcome by Mr Ibrahim .Very relaxing we hade a wonderful experience The staff was incredibly helpful Magnificent designs An amazing view at roof top in the same we enjoyed a fabulous lunch couldn't finish our meals. Location perfect Lovely stay,Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 October 2022,5,My opinion,"I'm so happy for this riad , the service is awesome and the all of staff , the most is Mr Brahim was friendly , the diner was outstanding, the view in the rooftop was unbelievable you see the all old city , i will visit this place in the next visit, thank you all",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 September 2022,5,Gorgeous Property and Amazing Staff,"This was our first visit to Fes and really wanted to stay at a unique riad in the heart of the medina. Dar Bensouda satisfied this and more. The building oozes the flavor and style of Morocco, and the decor is very tasteful. Rooms are quiet and serene. The staff were extremely gracious and Yazid did an amazing job in looking after our needs. The food on premises was simple but delicious, but be reminded that riads do not offer alcohol. The location was very tricky and required that you navigate through the aggressive hustlers wanting to guide you through the streets. Highly recommend taking advantage of Dar Besouda’s escorts to and from the hotel, or those offered by your dining establishment. Avoiding that stress and hassle will then preserve the magical experience of staying…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 September 2022,5,"Rooftop view of Fez and refreshing lounging, at cooler sunset, a la Bourne Identity","Transport yourself to forgotten centuries and dynasties, a tranquil haven with traditional Moroccan food and excellent service. Some quirky rooms which only add to the charm. Premium room is worth the slight extra funds.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 September 2022,5,Review Dar Bensouda (Fez) by Thomas,"Review Dar Bensouda (Fez) Perfectly located in the center; the hotel sent Aziz to come and pick us up at the parking nearby. Aziz is a wonderful person, warm, super friendly, funny and he taught us the local language while carrying our luggage (big thank you Aziz!) Welcomed by hotel manager Yassine: such a beautiful, warm and helpful person; Yassine is an awesome host, making us feel welcome immediately. He speaks perfect french, english and arabic. First he gave us a tour of the hotel, starting at the central hall where we were treated with fresh tea and sweets while he explained the history of the riad. The hotel is so so beautiful and authentic. The roof terrace is big, with beautiful seating areas and with a breathtaking view over Fez. Our room was perfect: nice bed, very…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 July 2022,5,The most welcoming staff in 40 years of travel!,"My wife and I have traveled a lot and I can definitely say the staff at Dar Bensouda are the most welcoming, courteous and professional team you could ever hope to meet. Although we were not actually guest during our 11 days in Fes we were lucky enough to have friends that were. The Dar was 2 minutes away from our place and we went there to check it out before our friends arrived. Yazid, the assistant manager made us immediately welcome and encouraged us to tour this amazing riad. Previous reviewers have spoken about the building and the stunning views from the roof. On our return to reception Yazid invited us to tea and pastries as his guest. We sat by the pool in the shade and enjoyed the genuine hospitality of Morocco. Yazime, the manager introduced himself and asked…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 September 2022,5,Divine stay at one of best Raids in Fes! (Best massage too!),"Incredible experience at a nearly untouched raid from the 14the century with one of the most beautiful rooftops in Fes to lay on after a dip in the gorgeous pool below. Truly a quaint and cozy experience, with a divine restaurant with the it most of service from Yassine and Azzia helping liaise for transfers, reservations and the spa. Speaking of which, the in house masseuse, Kawtar was PHENOMENAL masseuse. Had massages two nights in a row because she was so good … and I lived in China for almost a decade having massages weekly. I wanted to put her in my suitcase and bring her home. And it was only 450 MAD! Even if you don’t stay here, go for the massage and the lamb tagine. 10 stars. You will not regret a stay at Bensouda and an intro to fine Moroccan hospitality!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 August 2022,5,"Traditional, Comfortable, Quiet, Relaxing, Hip & Great Location & Staff","This place is everything you could want and more. Such a cool, hip, traditional, well decorated, maintained place with comfy beds, quality linens, good AC, good WiFi (if you care about that), attentive staff, lots of caring touches and attention to detail, a great location, a pool to dip in to cool off, AC that actually works, quiet spacious rooms, good food, lots of little places to lounge and read or play board games. What more can I say? In our 19 days of travel in Morocco and Portugal we stayed at six different places. The four nights at Riad Dar Bensouda were the most special and memorable in so many ways. Yassine the manager helped us with tour guides, finding our way in and out of the Medina, restaurant recommendations and logistics. He was awesome in every way. The…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 August 2022,5,Sublime and sensational.,"Fes is an extraordinary city, engrossing and enticing. Riad dar Bensouda for us was the crowning glory to our week long stay. The building is simply stunning, an oasis and super comfortable but, it is the staff that set it miles apart from anywhere else we have stayed. Yassin the manager, Yasid his deputy, Ibrahim, Mahommadu, Douna, down to Aziz the footman and everyone in between were so charming, honest, helpful and compassionate. We followed recommendations from the staff and had an exceptional your with Mohammed, such a learned and humble man, hammam and massage at the hotel (spiritual) and so much more. Not once did we feel hassled. Our comfort and the fullness of our stay was tantamount to the Riad team. They, the Riad and Fes have captured our hearts. Thank…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 August 2022,5,Beautiful Riad with great service,"Stayed at Riad Dar Bensouda for 2 nights during our tour of Morocco. What a wonderful experience. Nested within the winding alleyways in Fes' medina, the interior is beautifully designed and full of moroccan charm. The staff was courteous, polite and always ready to help. Will definitely recommend and if I ever return to Fes, stay there again!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 August 2022,1,HORRIBLE….DON’T STAY HERE,"We booked two rooms to stay in the hotel in April 2022 for our visit to Fes in August 2022. The night before we were supposed to arrive, we received notification that the hotel was overbooked and our reservations had been CANCELED. THIS WAS THE NIGHT BEFORE WE WERE DUE TO ARRIVE. We had no other hotel and we were traveling to Morocco for the first time from the US. We knew no one and had to scramble to find another hotel at the last minute. Horrible horrible horrible experience and I suggest that you do not make reservations to stay here as they apparently mean nothing. The Hotel Sahari on the other hand was spectacular and they accommodated us last minute. It was a far superior hotel and absolutely beautiful. Do yourself a favor and stay at the Sahari and avoid this one at all…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 August 2022,5,My trip to fes,"THE HOTEL WAS SO AMAZINGGG .the stuff was welcoming.It’s the best ryad in fes in my opinion offering a nice experience . AZIZ was so funny and showed me the old medina as if we knew eachother for months .Big thanks to Brahim , Mamadou , yazid and yassine for the way they received me . The food also was amazing .",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 July 2022,5,Amazing 3 days in Morocco,We had amazing 3 days here. Almost 400 year old building is well kept and maintained. The manager Yassin was very helpful and upgraded our room to the higher end one. The waiter gave us superb service. It was as if you were staying at a museum. The rooftop was another nice place to pass the evening. Keep in mind that there is no fridge or tv. But you can always get a cold water from the restaurant. Google maps is not very helpful in the small passages (over 9000 small streets) of medina.,Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 July 2022,5,One word: AMAZING!,"The Riad has three perfect conditions: a strategic location in the center of Fes, the wonderful room / restaurant service and the beauty of the Riad itself. I definitely recommend it ! It was an amazing experience!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 July 2022,5,Amazing experience,"This riad is charming, quiet and in a great location. Yassin and the staff are absolutely amazing. Made me feel like at home. Always happy to help if I have questions or doubts. Also, amazing experience with the hammam and massage. Kawtar is the best masseuse ever. I have done it twice and I cannot recommend her enough. My first time in Marocco and I would definitely come back here :) Thank you!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
