 January 2023,5,Home away from home !,We had the most wonderful stay. Everything was perfect. Everyone was so kind and so accommodating. We booked the room on the top (suite with a balcony) and would absolutely recommend it to anyone looking to stay there. The views are amazing at sunset.,hotelName,city
 December 2022,5,Great stay !,"Wonderful and amazing place. The staff is fantastic, food is great and the riad is amazing. rooms are beautiful, spacey, comfy. A superb stay with our friends and families, we will definitely be back.",Riad_Chbanate,Essaouira
 November 2022,5,"Very, Very Nice","My honey and I, and another couple, recently spent our last night in Morocco in Essaouira, at the Riad Chbanate. This Riad is well situated in the medina, a short distance from a parking area outside the medina walls, and a short distance to the heart of the medina, port, and ocean. The staff was extremely friendly and accommodating, providing directions and restaurant recommendations. The rooms were spacious, clean, very comfortable, and well appointed. The included breakfast was delicious. The Riad, itself, was really nice looking, very different from the Riads we had stayed in Fes, and Marrakech, which were more elegant in appearance, but the Chbanate was, none the less, very warm and inviting. The Chbanate, if I were to choose a word, was more rustic looking - a nice…",Riad_Chbanate,Essaouira
 September 2022,5,Poetic charm,This was our last stop and we loved it. It embodied the gentle and artistic charm of Essaouira. From the rose petals scattered in our room to the candlelit courtyard to the music of Oum to the fireplace we chatted around. An open kitchen leads off the romantic courtyard which creates a really homely and open feel. The staff are so helpful and even went to collect take always for our late dinner as we had forgotten to say we would be in for dinner.The breakfast was excellent. It was all so easy and relaxed. The perfect place to stay in Essaouira.,Riad_Chbanate,Essaouira
 September 2022,5,Perfect!,"Chbanate is a beautiful hotel with an exceptionally friendly staff and a pet turtle that wanders around. It was a wonderful experience, and we couldn't have asked for more. We stayed there for seven nights. If we decide to return to Morroco, we would certainly return to Essaouira and stay at Chbanate again.",Riad_Chbanate,Essaouira
 July 2022,5,Wonderful!,"Riad Chbanate has been my favorite stay in Essaouira, Morocco thus far. If you’re hesitating, don’t. This is the best place. Good food, peace, serenity, clean, more than friendly staff, great service. Could not ask for better. I cannot thank enough our new friends at the reception for their help. This place is worth your time and money. Great value. Thanks again Chbanate!",Riad_Chbanate,Essaouira
 May 2022,5,"Beautiful Riad, wish we could have stayed longer","Riad Chbanate is a beautiful, friendly, and well-located gem of a riad. We were only able to book 2 nights because it is so popular, but would have loved more time there. The building design, the room decor and furnishings, the luxurious bathrooms, the relaxing atmosphere, the food, and the overall comfort exceeded our expectations. The staff are very friendly and offer great customer service. Hicham in particular went out of his way to help us, and his smile was enough to brighten everyone's day. I would not hesitate to recommend Riad Chbanate, and my only warning is to book as early as possible before it fills up.",Riad_Chbanate,Essaouira
 May 2022,5,Very Romantic-Even For An Old Coot,"Riad Chbanate is amazing! Every Riad in Morocco astounds me with its style, graciousness, and comfort. With gorgeous architecture, the rooms at the Chbanate are more romantic than most, and I think it would be perfect for a honeymoon. But even at 72, I could appreciate the sensual decor. Service exudes that Moroccan warmth. Smiles abound, led by the irrepressible Samira, who was very charming. Greg and Hichen were also helpful and fun. Breakfasts were delicious and elegant, served in a lovely room off the courtyard. We had a perfect stay. The Riad Chbanate was so wonderful, I could spend my entire holiday never leaving the Riad, except for dinner and to listen to music. It is a great place for a respite.",Riad_Chbanate,Essaouira
 May 2022,5,"Lovely, calm Riad with a spectacular rooftop bedroom and very accommodating staff","Riad Chbanate was a lovely place to stay in Essaouira. Easy to find, a picturesque peaceful courtyard and extremely friendly and helpful staff. The best part was the room at the top of the Riad, with a view across the rooftops of Essaouira and even a bit of the ocean, romantically decorated with rose petals and a small private balcony at the back. Would very happily stay agin.",Riad_Chbanate,Essaouira
 April 2022,5,"Beautiful riad, would come back again!","Stayed here for 1 night and we had the most incredible and romantic room with a tub. The aesthetics of the riad is definitely up there and the luxurious toilet was really the cherry on top! The tea and cookies served upon check in was also a great touch! Great location as well, not too close to the medina centre but still within walking distance!",Riad_Chbanate,Essaouira
 January 2023,5,Home away from home !,We had the most wonderful stay. Everything was perfect. Everyone was so kind and so accommodating. We booked the room on the top (suite with a balcony) and would absolutely recommend it to anyone looking to stay there. The views are amazing at sunset.,Riad_Chbanate,Essaouira
 December 2022,5,Great stay !,"Wonderful and amazing place. The staff is fantastic, food is great and the riad is amazing. rooms are beautiful, spacey, comfy. A superb stay with our friends and families, we will definitely be back.",Riad_Chbanate,Essaouira
 November 2022,5,"Very, Very Nice","My honey and I, and another couple, recently spent our last night in Morocco in Essaouira, at the Riad Chbanate. This Riad is well situated in the medina, a short distance from a parking area outside the medina walls, and a short distance to the heart of the medina, port, and ocean. The staff was extremely friendly and accommodating, providing directions and restaurant recommendations. The rooms were spacious, clean, very comfortable, and well appointed. The included breakfast was delicious. The Riad, itself, was really nice looking, very different from the Riads we had stayed in Fes, and Marrakech, which were more elegant in appearance, but the Chbanate was, none the less, very warm and inviting. The Chbanate, if I were to choose a word, was more rustic looking - a nice…",Riad_Chbanate,Essaouira
 September 2022,5,Poetic charm,This was our last stop and we loved it. It embodied the gentle and artistic charm of Essaouira. From the rose petals scattered in our room to the candlelit courtyard to the music of Oum to the fireplace we chatted around. An open kitchen leads off the romantic courtyard which creates a really homely and open feel. The staff are so helpful and even went to collect take always for our late dinner as we had forgotten to say we would be in for dinner.The breakfast was excellent. It was all so easy and relaxed. The perfect place to stay in Essaouira.,Riad_Chbanate,Essaouira
 September 2022,5,Perfect!,"Chbanate is a beautiful hotel with an exceptionally friendly staff and a pet turtle that wanders around. It was a wonderful experience, and we couldn't have asked for more. We stayed there for seven nights. If we decide to return to Morroco, we would certainly return to Essaouira and stay at Chbanate again.",Riad_Chbanate,Essaouira
 July 2022,5,Wonderful!,"Riad Chbanate has been my favorite stay in Essaouira, Morocco thus far. If you’re hesitating, don’t. This is the best place. Good food, peace, serenity, clean, more than friendly staff, great service. Could not ask for better. I cannot thank enough our new friends at the reception for their help. This place is worth your time and money. Great value. Thanks again Chbanate!",Riad_Chbanate,Essaouira
 May 2022,5,"Beautiful Riad, wish we could have stayed longer","Riad Chbanate is a beautiful, friendly, and well-located gem of a riad. We were only able to book 2 nights because it is so popular, but would have loved more time there. The building design, the room decor and furnishings, the luxurious bathrooms, the relaxing atmosphere, the food, and the overall comfort exceeded our expectations. The staff are very friendly and offer great customer service. Hicham in particular went out of his way to help us, and his smile was enough to brighten everyone's day. I would not hesitate to recommend Riad Chbanate, and my only warning is to book as early as possible before it fills up.",Riad_Chbanate,Essaouira
 May 2022,5,Very Romantic-Even For An Old Coot,"Riad Chbanate is amazing! Every Riad in Morocco astounds me with its style, graciousness, and comfort. With gorgeous architecture, the rooms at the Chbanate are more romantic than most, and I think it would be perfect for a honeymoon. But even at 72, I could appreciate the sensual decor. Service exudes that Moroccan warmth. Smiles abound, led by the irrepressible Samira, who was very charming. Greg and Hichen were also helpful and fun. Breakfasts were delicious and elegant, served in a lovely room off the courtyard. We had a perfect stay. The Riad Chbanate was so wonderful, I could spend my entire holiday never leaving the Riad, except for dinner and to listen to music. It is a great place for a respite.",Riad_Chbanate,Essaouira
 May 2022,5,"Lovely, calm Riad with a spectacular rooftop bedroom and very accommodating staff","Riad Chbanate was a lovely place to stay in Essaouira. Easy to find, a picturesque peaceful courtyard and extremely friendly and helpful staff. The best part was the room at the top of the Riad, with a view across the rooftops of Essaouira and even a bit of the ocean, romantically decorated with rose petals and a small private balcony at the back. Would very happily stay agin.",Riad_Chbanate,Essaouira
 April 2022,5,"Beautiful riad, would come back again!","Stayed here for 1 night and we had the most incredible and romantic room with a tub. The aesthetics of the riad is definitely up there and the luxurious toilet was really the cherry on top! The tea and cookies served upon check in was also a great touch! Great location as well, not too close to the medina centre but still within walking distance!",Riad_Chbanate,Essaouira
 April 2022,5,Couldn’t of had a better stay!,"We have just checked out from our stay, I never leave reviews, But I felt the need to because our stay was so lovely! We are a couple in our late 20s from London (for context). The room was beautiful, everything was really clean and tidy and beautiful attention to detail. We arrived late at night and the staff couldn’t be more welcoming, even making my partner dinner as he was hungry! They would light a fire every night in our room for when we came in which was so nice. The staff all were just so willing to go above and beyond to help us and book anything we needed from restaurants to transfer etc. We felt the whole stay was really personal and hopefully will one day return!",Riad_Chbanate,Essaouira
 April 2022,5,Loved this riad. Will return if back in Essaouira,"Very comfortable rooms and beds. Lovely common area. Very clean. Staff is lovely and kind. Bathrooms are spectacular, breakfasts include homemade yoghurt and crepes. They even made us a fabulous last minute dinner during the first night of Ramadan that was superb.",Riad_Chbanate,Essaouira
 November 2021,5,Exceptional Stay,"We stayed 3 nights in Essaouira at this lovely Riad. Everything was perfect all the days spent in Essaouira at this place. All the staff were wonderful people and the treat was unbeatable. Dinner and breakfast were exquisite everyday! I strongly recommend the Kefta and the Pastilla, really exquisite. We will definitely recommend this place to all our friends and family. شكرا!!",Riad_Chbanate,Essaouira
 September 2021,5,Great spot! Superb hospitality and experience,"This Riad is truly special! In a secluded spot of the old city, you're close to everything but have a slice of the city to yourself. The rooms are wonderful, and the tub is so luxurious. Thank you to the wonderful staff for making our stay so great.",Riad_Chbanate,Essaouira
 July 2021,5,Best Shower Ever,"Traveled with family of 4 and booked 2 rooms that were spacious with beautiful touches throughout. The bathroom has rose petals sprinkled about with large white bath towels and nice bathrobes. The shower was honestly the best! The breakfast was plentiful and tasty and we really enjoyed the staff, especially Greggy. The location is excellent and good for walking everywhere in the Medina. Would definitely stay here again!",Riad_Chbanate,Essaouira
 March 2020,5,Excellent accommodation.,"This is a superb accommodation spot, well located on one of the side streets in Essaouira, with good access to the central streets and to the port area. The riad is very clean and well cared for, and the room was extremely comfortable, with a huge bathroom, and very well appointed. The staff (without exception) were welcoming, friendly, and helpful. The breakfasts were nice and well presented. All in all I would have no hesitation in recommending this as an excellent spot to stay.",Riad_Chbanate,Essaouira
 March 2020,5,Attempted visit during coronavirus,This place went above and beyond in credits for us when we were stuck in Amsterdam after a ten hour flight and were pulled off boarding to Marrakesh with no notice. My email never sent in trying to cancel all hotels quickly and they fully credited. Very amazing process and customer service on their part.,Riad_Chbanate,Essaouira
 March 2020,4,Lovely Friendly Riad,"Spent 4 nights in Essaouria in Riad Chbanate. Did a lot of research beforehand and this Riad had consistently great reviews. I had emailed the Riad a lot before handcand Hicham responded quicky and politely. We took a taxi from Marrakech witj Med Taxi at 50 euro each way, which was by far the cheapest out of all the taxi services. The Riad was at the furthest end of the Media, so a bit of a trek, but Essaouria is not a big place so for most people will be fine. There are only 6 rooms and we had the Hyatt Suite, which was lovely with a huge bathroom! The Riad is fully staffed with a friendly team, who look after you well. The only disappointing side for us was the breakfast, which is why i couldn't give it the 5* I so wanted to. There is a very limited, uninspiring menu…",Riad_Chbanate,Essaouira
 February 2020,5,Wonderful staff!,"The staff were so welcoming and helpful throughout our stay and had plenty of tips on things to do and places to eat. We loved out room - it was clean, decorated beautifully and the bed was very comfortable. Breakfast was great! We would definitely come back!",Riad_Chbanate,Essaouira
 March 2020,3,Nice bedroom but the terrace was a bit shabby,This Riad was quite nice but not s good as others we stayed in. The biggest let down was the terrace with was just a bit unloved with shabby towels. The same towels were set out both days for guests to use. This was easy to see as there were bleach marks and plucks. Two many cats hanging around for my liking.,Riad_Chbanate,Essaouira
 February 2020,5,Amazing stay in Essaouira,"Loved Riad Chbanate! All of the staff were very friendly and helpful, and our room was beautiful. The fireplace at night was a very nice touch after coming in from a cool evening. Would stay here again in a heartbeat!",Riad_Chbanate,Essaouira
 January 2020,5,Excellenet Service and Stay,We loved our two night stay in Essouiara at Riad Chbanate! Service from all of the staff was excellent (especially Greggy). Would definitely stay there again. Breakfast and food was excellent. Room was decorated awesome.,Riad_Chbanate,Essaouira
 January 2020,5,"Excellent stay, highly recommend","Friendly, accurate & knowledgable staff for food and points of interest. Clean well equipped and very comfortable rooms and fantastic bathrooms. Lovely breakfasts and authentic Moroccan experience. Would re-book",Riad_Chbanate,Essaouira
 December 2019,5,The best riad in Essaouira!!,"Look no further than Riad Chbanate if you are planning a trip to Essaouira! I guarantee you will be delighted with everything, be it the room, the service, the location. The staff were sooo friendly and accommodating: simply the best!!",Riad_Chbanate,Essaouira
 December 2019,5,A perfect Riad,"This was a special birthday and the Riad was a perfect choice to enjoy it. The staff, particularly Greggi and Samira, went out of their way to make it a wonderful experience for me. They booked a spa visit on my behalf and all their recommendations for restaurants and places to see were spot on.",Riad_Chbanate,Essaouira
 December 2019,5,Amazing welcome,Very warm and effective service. Beautiful place. We had a very nice welcome dinner and they served a nice moroccan dinner. The service continued to be extremely good all through our stay at the riad.,Riad_Chbanate,Essaouira
 December 2019,5,Incredible Stay in Essouira,"We had such an incredible stay at Riad Chbanate in Essaouira. The staff were so welcoming and helpful, offering great suggestions for food and places to go. We are a bit picky with food, being from New York, and all of the places that the staff recommended were you to our expectations. We would love to come back!",Riad_Chbanate,Essaouira
 November 2019,5,You must stay here!,"Riad Chbanate was our first stop after almost 24 hours of travel to Morocco. We were met outside of the old medina where a member of the staff helped us with our bags and show us the way. The moment we walked in, we knew our two nights would not feel like long enough. The riad was decorated beautifully, with many items from the medina. Greggi gave us a very thorough rundown of the medina with a map, highlighting some favorite spots and sharing some homemade bread, mint tea, and a Moroccan beer as we settled in. He showed us to our room, which was complete with a beautiful bathtub, fireplace, and moroccan furniture. We were very sad to leave, and Riad Chbanate was easily the favorite place we stayed. We cannot recommend this riad for your stay in Essaouira highly enough.",Riad_Chbanate,Essaouira
 March 2019,5,Beautiful Experience,"The location is gorgeous, and Essaouira old town is not to be missed; but the jewel in the crown is the Riad Chbanate. What a lovely place to stay and explore from. The staff are smiling, attentive, and professional; honestly you feel lighter in spirit just stepping into the place. The architecture is gorgeous, and the decor beautifully thought out. All together a beautiful experience. We will be back.",Riad_Chbanate,Essaouira
 November 2019,5,The host with the most,"We stayed here for 3 night last week. During our time in Morocco we stayed at 7 different riads. Nowhere else did we receive the level of personal service we received here. In particular Greggi went above and beyond at any opportunity. He lit the fire in our room every night. He went out of his way to make us feel welcome and on one of the days I was feeling unwell he was extra attentive and thoughtful. The riad itself is very good. Nice rooms, massive bathroom, open fire in rooms, good food but the service is the best.",Riad_Chbanate,Essaouira
 November 2019,5,Book it!,"Beautiful place with lovely staff. They recommended many things to do around the area and were always there to help. Also put us a beautiful room for our honeymoon. Of the 6 places we stayed in Morocco, this was the best!",Riad_Chbanate,Essaouira
 November 2019,5,Wonderful in every sense...,"The staff are clearly the soul of this Riad, whose rooms are all exotically sumptuous and incredibly inviting to just lounge and relax after a day out on the town. Make sure you light the fireplace and enjoy the bath...",Riad_Chbanate,Essaouira
 October 2019,5,Charming and quiet,Riad Chbanate is a charming place to stay. It is a in a quiet street offering a welcome break from the thrum of the tourist areas. Each room is uniquely decorated and there are lovely rooftop terraces to relax or read a book. The courtyard is attractive as well. Staff is very helpful and willing to assist with whatever you may need.,Riad_Chbanate,Essaouira
 October 2019,5,Perfect blend of modern comforts with all the charm of a special Riad stay,"This was probably our favorite Riad out of the 5 we stayed at in Morrocco. It was beautiful and charming, but also had enough space, cleanliness, and good food that made it more comfortable and enjoyable than some of the others. The staff was very nice and helpful too. Excellent breakfast and they serve alcohol too for a drink on the terrace or by the fireplace in the lounge.",Riad_Chbanate,Essaouira
 October 2019,5,Beautiful Riad / Felt like home!,"I spent 3 nights at Riad Chbanate with my girlfriend in October 2019. We couldn’t have picked a better place to start our Morocco trip! The Riad is beautifully designed and conveniently located just inside the medina. The staff was so kind and gracious, they had terrific recommendations and helped us with everything from dinner reservations to finding a place to park our rental car. The complimentary breakfast is amazing and we had a private dinner on our last night! I 100% recommend staying here, we were sad to say goodbye.",Riad_Chbanate,Essaouira
 September 2019,5,Beautiful Ruad Chbanate,"We had a delightful stay in Essaouria at this warm, inviting and beautifully decorated Riad. Food was wonderful and the showers like no other! Staff was most helpful in directing us to good food and a much needed hamman!",Riad_Chbanate,Essaouira
 September 2019,5,Lovely stay,"Spent three nights Had a room that required 68 steps to climb The breakfast was more or less the same everyday. The Toilet had minor glitches The lighting a bit dim And yet Gregi and Naowl made us very comfortable. A beautiful Riad on the quieter side of the Walled city, very tastefully done up, but the human component of a smiling and welcoming greeting made up for everything. Helpful descriptions in getting around. The public car park is near by too Overall top class. Had a lovely candle lit, fire-place side dinner too. Highly recomended.",Riad_Chbanate,Essaouira
 August 2019,5,"Amazing place, even better staff!","We stayed at Riad Chbanate for 2 nights with our 1.5 yr old son and it was an amazing experience. The accommodations were very nice, with good breakfast each morning and afternoon tea and coffee. The best part was the riad's staff, which were extremely friendly and made our stay enjoyable. Our son was in awe of the turtle and kitten that were in the open air lobby area.",Riad_Chbanate,Essaouira
 August 2019,5,Wish we stayed here. Amazing lunch!,"We found this lovely riad walking through the streets of essaouria. Wish we found it earlier, and wish we stayed here too. Amazing improvised lunch in the patio Super kind service too, super recommended!",Riad_Chbanate,Essaouira
 June 2019,5,Incredible Riad,"Chbanate Riad is absolutely stunning, intimate, clean and situated in a good area with great atmosphere. We had a fabulous time and enjoyed every minute of our stay. The staff is very accommodating and helpful. One staff member in particular (Neal) went above and beyond to make sure we were happy. She made our stay an unforgettable experience and my friend and I can't wait to go back.",Riad_Chbanate,Essaouira
 July 2019,5,Fantastic experience in Essaouira,This has been one of our favorite Riad. It is a very nice place with more than excellent service. I would recommend this Riad to anyone who wants to enjoy the beauty and pleasure of Essaouira. Many thanks for this fantastic experience!,Riad_Chbanate,Essaouira
 July 2019,5,Brilliant Place to Stay,"This was the last stop for our trip and it did not disappoint!! The Riad is classic and more rustic than modern- however it is clean and spacious. Our room was on the second floor- a good size with a wonderful bathroom sporting a huge marble bathtub. The cleaning service turn down the room everyday to replenish towels and toiletries/ make the bed etc. Breakfast was to order, crepes, eggs, croissants etc. The staff were really excellent and booked us into local restaurants and made reservations. As I said earlier, it wasn’t the most modern Riad that we had stayed at but the attentive staff and wonderful service we received made it so welcoming. In the end it topped all the fancy places we had stayed at in Marrakesh and would definitely recommend and book again!! A real…",Riad_Chbanate,Essaouira
 May 2019,5,Fine Place,"This is an excellent place to stay in Essaouira. The riad has been beautifully re novated, the accommodations are very comfortable, and the staff is very friendly and helpful. We had a spacious, boldly decorated room on an upper floor, overlooking the courtyard and rooftop terrace. Their location, away from the center of the medina, was quiet, and was close enough to the center of the city for easy access to restaurants, shops, and the ocean. They served a delicious breakfast – made to-order – each morning. We were impressed by the staff. They were all friendly, and spent time with us going over the city layout. They offered plenty of good suggestions for restaurants, shops, and sights. One on staff even contacted us by email before our arrival, letting us choose in…",Riad_Chbanate,Essaouira
 May 2019,5,Really Lovely Riad!,"Honestly everything I could have asked for. Friendly staff, beautifully appointed, peaceful and elegant. The staff were friendly and SO warm and helpful. When I asked about nice gifts, they offered to go shopping with me. When I had trouble getting to see the Jewish Cemetery they contacted the caretaker. When I had a very early bus to Marrakech they had fresh squeezed juice, hot coffee and a bag of pastries ready for me to take with. So nice. The location is on the east side of the Medina which is a bit off the beaten path. But the whole are is so small it was a non-issue. Stay here - you wont regret it!",Riad_Chbanate,Essaouira
 June 2019,5,Perfect place,I stayed with a friend here June 2019. The staff was lovely and helpful. The place was clean. The decor was amazing. Make sure to find time to enjoy the rooftop and patio areas. We loved our experience here!! Highly recommend.,Riad_Chbanate,Essaouira
 April 2019,5,Wonderful Staff & Rooms,"This is a very nice Riad with a decent location and a true Moroccan look and feel with all the creature comforts including food, alcohol and laundry. However, what sets this Riad apart from others is the staff which Is wonderful and helpful. We traveled here with Small Footprint Travel and look forward to returning to this Riad.",Riad_Chbanate,Essaouira
 April 2019,5,Wonderful stay!,"I loved everything about the riad chbanate! It’s a great location, the rooms are well appointed and comfortable, the staff is charming and helpful, the food is delicious! We stayed two nights, and enjoyed everything about our stay in Essaouira!",Riad_Chbanate,Essaouira
 April 2019,5,Amazing Riad,The Riad Chbanate is everything you would want in a riad. It is well located in the Medina; the rooms are very nice and clean; good water pressure and hot water: lovely courtyard and roof terrace. Very gracious and helpful staff. You cannot go wrong staying here. It was the best Riad that we stayed in our trip to five cities in Morocco.,Riad_Chbanate,Essaouira
 March 2019,5,Fabulous stay!,"Beautiful Riad. Well located inMedina. Lovely room, tranquil and beautiful public spaces. Friendly, knowledgeable staff went out of their way to help. Great breakfast and terrific overall experience in a beautiful town!",Riad_Chbanate,Essaouira
 March 2019,5,The best place to stay in Essaouira,"It's the best Riad where I've stayed in Morocco!!, they take care of every detail of the rooms, they're so beautiful with cozy and warm decoration, the bathrooms beautiful and very clean, the terrace is the ideal place to rest for a while, the staff is very friendly and is located very close to the main street, you're not gonna find a better place to stay. Highly recommend.",Riad_Chbanate,Essaouira
 December 2018,5,Very Very Nice,"Friendly service willing to go above an beyond. We were near the end of a tow week trip. No on site laundry but they were happy to bring our laundry somewhere to have it washed. Very friendly great shopping and restaurant suggestions. Rooms were beautiful. Courtyard was great, nice place to curl up and have some mint tea or a glass of wine. Close to the medina entrance and shopping. Wish we could have stayed longer.",Riad_Chbanate,Essaouira
 March 2019,5,Charming Riad,"This is a really delightful Riad with lovely, caring staff who made our stay there very enjoyable - they couldn´t have been more helpful from the moment we arrived to when we left. They organised taxis for us, a trip to the Val DÁrgon vineyard and also recommended restaurants to us. Our room was large and full of character and the bed was very comfortable. There was also a fireplace in the room and each evening a fire was lit with candles surrounding it - very romantic and cosy! Our bath was also enormous and the shower over it was excellent. The dining room is very elegant - again with a fire burning in the fireplace. Breakfast was good with lovely fresh fruit, yogurt, pancakes, eggs and croissants. Dinner is also offered although you need to order in the afternoon. …",Riad_Chbanate,Essaouira
 January 2019,5,Outstanding,"My boyfriend booked a panoramic suite here as a birthday Suprise for me. I have travelled to over 45 countries and stayed in a lot of places. This is by far the best place I have stayed in. From my moment we walked through the door we were made to feel special. We were given cake and coffee in the beautiful courtyard, the duty manager sat down with us and showed us a map with all the sights on it and circled them all for us. Our room was stunning, soo romantic and had bottled water a massive bath, private outdoor seating coffee machine and lovely toiletries. We had a couple of minor problems but they were sorted out within minutes by duty manager gregor, the coffee machine was replaced and the janitor opened the safe which ran out of battery. Breakfast was out of this world, it…",Riad_Chbanate,Essaouira
 January 2019,5,🎶🎵“Welcome to Dar Chbanate... such a lovely place”🎶🎵,"Tucked in a lateral part of the old Medina, a way from the crowed and easily accessible from the parking lot .. Fire place , in your room ignited @ your request. Master ground open Lobby and another grand reading and breakfast hall with bigger fire place . You get in and you do not want to leave. Enjoying a book with Authentic surroundings, anytime tea or cofee on the house. You feel quickly bonded and you feel home. You get spoiled with supreme greeting pure smiles of all ... with the slightest intrusion to your mental or physical privacy.. From the shy house keepers, then Ms N.da. the breakfast Master .., the receptionist Hi..am, or the house young managers who softly withdraw them self from the fire place so you enjoy the privacy But the Medal goes to Elre..gi ..…",Riad_Chbanate,Essaouira
 January 2019,5,Lovely oasis in the middle of a busy Square,"We were treated so well, helpful staff, excellent breakfast and good location. The rooftop pool was a great way to relax and excercise after a day of walking. The staff was knowledgeable, diplomatic and helpful. The rooms were beautiful and very clean",Riad_Chbanate,Essaouira
 January 2019,5,Amazing,"Amazing hotel spent another day there because I loved it so much super clean, helpful brilliant staff made me feel like a princess. Really easy to find on the map well located and the staff recommended some good beer bars with amazing views miss them already",Riad_Chbanate,Essaouira
 January 2019,5,Mia and Dougal,We were father and daughter and my daughter loved the room and could have spent most of the holiday just hanging out and playing in room and raid especially the fantastic bath. As we were made to feel very welcome and relaxed.,Riad_Chbanate,Essaouira
 January 2019,4,Outstanding Customer Service,"Riad Chbante provided some of the best customer service we had on our stay in Morocco, even when compared to properties that were more expensive/exclusive. The staff are extremely accommodating, warm, and willing to help with almost any request. The rooms are nice and well appointed. The only drawback was there is slight smell emanating from the Medina itself, and this can be noticeable while on the property. I alerted the staff and they did their best to mitigate the issue. This may be an issue anywhere you stay in the Medina. It is what it is. Otherwise, I would highly recommend Riad Chbante.",Riad_Chbanate,Essaouira
