 December 2022,5,A comfortable stay in a historic home,"Simon greeted us warmly, attended to us professionally, and advised us regarding opportunities in the area. He arranged our transfer to the desert tour team, removing concern regarding that transition. The hotel is a hidden gem, with a soaring courtyard, captivating detail work in the wood and the walls, and comfortable period refelctive rooms for rest. This is a great place, and Simin was the perfect ambassador for the unique hotel.",Riad_Braya-Fes_Fes_Meknes,hotelName,city
 February 2020,5,Exceeded My Expectations!,"I booked this Riad knowing it would be beautiful from the photos but never imagined to be in such awe of its beauty and tranquillity upon arrival! Aside from the lovely architecture, the reason to stay here is definitely the staff who go out of their way to make you feel welcomed. We were well looked after by Simon every minute of our stay. He took us in and made us feel like we were family with his genuine conversations! The Suite was spacious, bed/pillows comfortable, breakfast spread delicious and the sunrise from the terrace exquisite. Highly recommended and will certainly be staying here again!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 January 2020,5,Hidden gem,We loved finding a beautiful mini palace once we came up the stairs that lead from the front door. Because from the small alley it’s impossible to tell. We were greeted by a smily face even tho it was late evening and were graciously offered a quick meal which we loved (delicious pastilla). Service is great location is convenient.,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 December 2019,5,"Superb stay. Fantastic room, brilliant hosts.","Stayed two nights when we had to rebook our Riad last minute. Very glad the other one cancelled! We had a beautifully decorated room over looking the courtyard. It was clean, warm and architecturally interesting. The stand out experience was our interaction with the hosts, particularly Simon who was there to greet us and check us out. They go above an beyond to make you feel welcome and to ensure your stay in fes is special. I highly recommend this Riad and I commend Simon and all of the people at the Riad for their excellent service.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2019,5,Beautiful Stay in the Heart of Fes,"We absolutely loved our stay at Riad Braya. There was exceptional service by the riad management that allowed us to feel right at home - Simon made all the arrangements for city tours, meals, taxi drivers, and even walked with us to a local shop to buy diapers for our baby so we wouldn't get lost in the Medina! The hotel itself was beautiful and clean with comfortable guest rooms. The rooftop view over the Medina was breathtaking. The breakfast was excellent, and we looked forward to it every morning. We would highly recommend this place to friends and would love to return ourselves on our next trip to Fes!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2019,5,Trop to maroccco,"Riad Braya, service goes over and above. Very chick Riad, can’t say enough about the service, exceptional. If you are looking to go out in the evening this Riad is not in that prime location you would have to ask for a taxi to get around.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2019,5,Beautiful Riad with top-notch service,"My family and I had the pleasure of staying at Riad Braya for 2 nights. We were welcomed very warmly by Simon from the moment that we stepped out of the car (the closest point that the car could get us to the Riad was 2-3 min walk away from the Riad). We were served a platter of Moroccan biscuits and cake, as well as mint tea, while doing the check-in. Props to Mohammed & Simon for preparing a wonderful breakfast for my parents on the balcony of the Royal Suite 3 floors above! On our day of departure, we had to leave the Riad extremely early at 7am in the morning. Mohammed kindly prepared breakfast for us to take away in paper bags. Thank you so much for your kind hospitality!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2019,5,"Excellent Service, Tranquil spot in Fes","My parents and I stayed at this riad during our one night in Fes (I know, too little time!). The staff was so helpful and kind, and smilingly made sure that we had everything we needed. Simon helped us when we checked in and when we checked out. He was so friendly, from his cheerful breakfast service to arranging for us to depart to the airport --- he really made us feel welcome and at home. The rooms were comfortable and clean, and of particular help to my mother (who has limited mobility) there was a large room on the lobby-level so that she did not have to climb multiple stories to reach her room. The only issue for anyone else with mobility challenges in staying at a riad is this: there are still about a dozen steps in their staircase from the street level to the…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2019,4,Our stay,Wonder if the owners know how lucky they are to have Mohammed & Simon as concierge hosts- the most genuinely helpful & smiley staff we have met here. Gorgeously stylish Riad also serving a ‘real’ cocktail; super quiet room despite feral amplified music nearby over Fez Medina til very late one night. Deducted a half point for hard beds (buy toppers please!) & another half for breakfast - tasty & great ambience but very simple & hey this IS Morocco.,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2019,5,Beautiful Riad,"My husband and I spent 3 nights at Riad Braya. We were warmly welcomed by Simon. The customer service throughout our stay was 10/10 thanks to Simon and Mohammed whom we dealt with during most of our stay. We booked the Junior suite which we both loved very much. The room was spacious and very clean. The breakfast each morning was beautifully prepared outside of our room and the food was plentiful. The Riad is a few minutes walk from any parking space but there are always people on hand to assist you with your luggage (for a small tip). Hotel staff kindly arranged airport transfers and a half day Medina walking tour for us and were always on hand to assist with any other tourist information. Would highly recommend this Riad due to the customer service, location and cleanliness.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 May 2019,5,"Beautifully tranquil, fantastic location!","Walking into the riad was breathtaking, made all the more wonderful by the beautiful rooms and friendly staff. They were so helpful in providing dining recommendations, and booking reservations + car services. If you are looking for a serene escape from the souk, this is the right riad for you.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2019,5,Beautiful Riad,"We stayed for two nights and the personnel were very friendly , they both went out of their way to make us feel at home in their Riad. My wife and I arrived late and were hungry. The went out of there way to go get us some food at restaurent near by . That was service. The decor is just super and located in the medina.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2019,5,"First stop, Fes","We had a very nice stay at Riad Braya. The staff was extremely friendly, attentive, and professional. Our room was clean and had all the amenities that we enjoy at home. The main atrium was beautiful, and the rooftop deck is underrated.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 August 2019,5,Comfortable riad in the medina,"My friend and I stayed here for 2 nights and found the staff of Simon and Mohammed to be extremely hospitable and attentive. The road itself is beautiful and most importantly, the air conditioning works fantastic. It was by far the most comfortable stay we have had in our 10 days in Morocco. The breakfast was great each morning and they tailored it to your requests. Its about a 10 minute walk to the main gate of the medina. Make sure to download an offline map to find your way in the alleys.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 July 2019,5,Peaceful and accommodating,My husband and I spent two nights at Riad Braya and had a lovely experience. Not only is the Riad beautiful and clean but the two hosts Muhammed and Simon went out of their way to make sure we were taken care of and comfortable. Overall the Riad was extremely relaxing and an excellent escape from the busy streets of the Médina,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 June 2019,5,Five Days Fez Festival 2019,Fantastic place - plush rooms (we got upgraded) and a beautiful Riad. Roof top terrace with outstanding views of the old Medina. Easy to find and close to the blue gate and great restaurants like the Fez Cafe and the Ruined Garden plus Mezzanine near Jardin Sbil. Great location for the various music festival venues. Friendly and accommodating staff without the ‘pressures’ - I know the city well so didn’t need additional assistance with guides etc but it’s there if you need it. Room and bathroom where excellent & cleaned spotless each day. Superb choice & perfect for couples / small groups. I hope to go back again soon!,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 June 2019,5,Thank you Riad Braya and Simon!!,I along with 2 of my friends stayed here for 2 nights. We had just come from a 3 day tour in the desert and were looking forward to rest. Simon was courteous from the very beginnning and met us with hot mint tea and delicious pastries. He was so genuinely friendly and kind - it really makes a difference! The property is GORGEOUS with an amazing roof top and clean/modern rooms. Breakfast was included and delicious. Simon brought our food to the roof every mornkng so we could enjoy the beautiful views. I highly recommend Riad Braya to anyone coming to Fez!!,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 June 2019,5,Phenomenal experience and hospitality!,"We stayed at several Riads in Morocco but this one takes the cake! The Riad is gorgeous with beautiful rooms, an unbelievable courtyard, and a rooftop with a breathtaking view of the Médina. The staff were absolutely phenomenal, especially Simon who anticipated our every need and made sure our experience in Fes was stress free and unforgettable! Will be recommending to all my friends!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 May 2019,4,"Tranquil, beautiful, quiet place","The reason I gave 4 instead of 5 stars to the Riad Braya is because our lovely room lacks some of European expectations. But, we soon grew to absolutely love this Riad. The reason is, apart from the quiet beauty of the place, we were kindly supported, befriended and helped by Mohamed, or Simon, who also brought us our breakfasts and our orders of tea etc during the days. These 2 men made our holiday for us. They were a really delightful presence at the Riad, and we miss them! We spent 4 nights at the end of May in the Junior Suit on the ground floor which is spacious and beautiful with a very high ceiling and opens straight onto the atrium with the small, blue pool outside. It has a big, comfortable, firm bed. It is a tranquil, cool, quiet room day and night. There are 7…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 January 2019,5,Our first time in RIAD - stunning,"Perfect location in the heart of Fes. Top location, riad has an amazing decor and ambience. Rooms are spacious and clean. The staff was extremly friendly and helpful. Breakfast was very tasty and varied. We will definitely come back! Highly recommended ⭐️⭐️⭐️⭐️⭐️",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2019,5,"Riad Braya, Fes, Morocco","From the narrow street, one would never imagine the beauty and opulence within. The latter-day riad is a former home of wealthy residents, built around an open courtyard with a fountain (these days often a pool) in the middle of the courtyard. Gorgeous carvings, intricate railings and beautiful tile work fill the senses.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 May 2019,5,AN OASIS DELIGHT,"After a long drive from Chefchaouen, Mohamed from the Riad Braya met us at the parking lot outside inner walls and helped us with our luggage. Once safely inside the cool inner garden of the Riad, Mohamed offered us mint tea and biscuits. It was this hospitality that endeared us to our visit here. The room was not spacious but it was comfortable and quiet and cool. The Riad is just 5 minutes from the Medina so we unpacked and freshened up and headed out. Mohamed is full of information on how to enjoy Fez. He can arrange tours and suggest restaurants. He took care of our taxi reservation to the airport and we never worried about anything in this exotic town. Mohamed and Simon provided a delicious breakfast each morning and were standing by for any additional requests from guests.…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2019,5,My trip in Fes,"I was in Fes two week ago for 3 holiday days. I found Marocco wonderful, specially Fes. For visit the Medina I suggest to do it accompanied by a local guide. The staff of the Riad Braya is very kindly, They helped us to arrange our visit in Meknes, Volubilis and also to find our guide for Medina. Thanks a lot",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 March 2019,5,Great stay. Wonderful service. Great breakfast.,"My daughter and I had the pleasure of staying at Riad Braya. It’s a beautiful Riad with exceptional service. The breakfast was fantastic! The Riad is inside the Médina so call ahead to let them know your arrival time and location and they will send someone to come get you and your luggage. The room was clean but a bit quirky. Remember this Riad was at one point a large home and this quirkinesses is part of the charm. We would gladly stay there again. Steve, San Francisco, California",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 March 2019,4,Beautiful Oasis,A beautiful place with great service! The staff were helpful and pleasant. Well located within the Médina walking distance to the Blue Gate. This Médina can be chaotic but within Riad Braya you would never know it. We would happily stay again.,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 March 2019,5,Great Accommodations and Rooftop Views,"We spent 3 nights at Riad Braya which is comfortably close to the Medina, about 5-10 minutes to the Blue Gate. Simon and Mohammed were excellent hosts, recommending great dinner spots as well as arranging transportation both for our day trip to Chefchaouen and to the airport. One word of warning, don't listen to the boys outside of the Riad who will politely tell you that a road is ""closed."" Believe me, it's not.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 March 2019,5,Beautiful Riad with the sweetest employees,"My husband and I just stayed here for 3 nights. This riad was perfect. The location was great, with a short walk to the Bab Boujloud or Blue Gate. The courtyard area is stunning with the tile work and very open and clean. We were welcomed with mint tea and traditional Moroccan pastries which was all delicious. Simon was there to great us and get us settled into our room which he complimentary upgraded since it was our first time. The room was very spacious and clean. The only negative about the room was that it was dark because it didn’t get much natural light. Since we didn’t spend a lot of time in the room we didn’t mind it at all. Breakfast was delicious in the mornings. A variety of breads and pastries, fresh squeezed orange juice, coffee, yogurt and eggs however you…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 March 2019,5,Great Place to Stay,We enjoyed 3 nights at this Riad. Staff was very helpful in arranging transport and tours and providing directions. The riad and room were comfortable and clean. The roof top patio has an excellent view out over the old medina. Good location on the edge of the old medina. Great place to relax.,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 February 2019,3,Aesthetically pleasing riad,"Location is hard to get to by car (as we were coming from Merzouga), but relatively easy to find by foot + Google Maps It was a pretty riad, but we were admittedly taken by surprise that our room was on the ground floor--it was our first riad stay ever--and you could hear other riad occupants when they mingled at the lobby/people on the alley outside. Nevertheless, the noise was kept to a minimum. The terrace on the top floor of the riad is a must see! The view is incredibly beautiful. We stayed at this riad during the winter, and it was cold as expected. However, the water takes around 1.5h-2h to get heated up, and strangely enough we couldn't get hot water in the evening/night. So if you stay here and want a hot shower, do so earlier in the day! Breakfast was pretty good -…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2018,5,Beat Riad we visited —> Free upgrade,"A fantastic place and our favourite stay in Morocco. Due to a large wedding party the fay before the room was not quite ready for us but they supplied us with welcome mint tea and biscuits while we waited. They upgraded us to a suite which was a lovely suprise. The room was amazing. Views over the pool, a large bath, tv and coffee machine, robes and it was all beautifully furnished. Mohammed was extremely knowledgable and friendly and gave us some good advice. It was a peaceful stay and it was lovely to visit the medina of Fes but then retreat to the peaceful bliss of Riad Braya. Breakfast was really good and prepared for a time we chose. This was more expensive than other riads we stayed at but when converted back to English money still worked out good value. Would 100% stay…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 January 2019,5,Amazing !!!,My boyfriend and I had the most magical stay here !!! Simon went so far out of his way to make us feel comfortable. We were escorted our first night to a great place for dinner and shown such kindness and hospitality the entire stay. Don’t hesitate to book!,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 January 2019,4,Great stay!,"We really enjoyed our stay at Riad Braya. The Riad is beautiful - mosaics and balconies abound. It's situated in a great spot for walking around and sightseeing in the Old City. The staff, especially Mohammed, are excellent. Mohammed helped us plan out walking routes in the Old City, which is maze-like, and answered any questions we had about Fes. He really made our stay in Fes great. Definitely recommend this Riad!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 July 2018,5,Wedding anniversary,We were fortunate to catch the lunar eclipse from the roof terrace and enjoyed the pool in the middle of the Riad. Delightful staff who was so accommodating that when we left for chefchaouen he packed our breakfast so we could eat on our journey. It was one of the most beautiful locations we could have selected with the amenities provided and we are thankful for their hospitality! They even arranged someone to come and walk us to dinner and escort us around the medina as well. I lift my glass to you and we hope to return!!!,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2018,4,Like home,"I'm pretty sure that everyone's first impression of this riad is ""Wow! It's so beautiful."" The picture indeed captures the riad. The location of the riad isn't easy to find without a guide. I had a train station transfer. So I was guided to the riad. The clerk, Simo who checked me in (and later checked me out) was absolutely wonderful, helpful and courteous. He does lots of things in the riad besides being a front desk clerk. He also makes the breakfast tables in the morning and does other things. Simo recommended me to hire a tour guide for half a day to tour the medina which is the biggest in Morocco. Simo made the arrangement and my tour guide was fantastic! The other staff at the riad was also great. The room was big and comfortable with a flat panel TV screen. …",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2018,5,"Wonderful riad, helpful staff, luxury experience","Wonderful riad! We loved our stay here. It is absolutely beautiful and luxurious on the interior, truly a 5 star experience. Mohammed was super helpful and gave us a lot of information about Fes, and he organized a taxi for us to Chefchaouen. The rooms were large and the furniture was fantastic. And they had heating! The only kind of interesting thing was the bathrooms in the rooms were slightly see through, but not a big deal at all.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2018,5,Outstanding.,"Beautiful Riad, great modern room, a lot of international channels on TV, free fast internet, and quite affordable too. This kind of accommodation would cost a quadruple in a major US city. Service was excellent too. Highly recommend.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2018,5,OUT OF THIS WORLD EXPERIENCE!!,"Unless you are a world traveler or have been to Morocco before, be prepared!! This was my FIRST visit to Morocco. Saw all the great pics and read all about it, but still wasn’t quite prepared. This is a very old world country and very unique culture, and it is vital you have comfortable accommodations. Your party (and your luggage) will be met by young men who will escort you thru the very narrow labyrinthine corridors of the Médina (cars not able to come inside). After walking about 250 paces (I counted) you will be very kindly greeted by one of 2 managers that literally run the entire riad. We were met by Simo (aka Mohammed). The RIAD is literally a small palace. Seriously!! The service provided by Simo as well as the 2nd manager, also Mohammed was exemplary! Our room…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2018,5,A Great Introduction to Moroccan Hospitality,"This was my first trip to Morocco and I truly enjoyed my stay at the Riad Braya. The courtyard in the reception area was beautiful and so peaceful. I was greeted with mint tea and cookies before I was shown to my room...I really could have sat there all day if there weren't so many things to see in the Medina. Definitely talk a walk up to the terrace to get a beautiful birds eye view of the old city...and if you time it right you'll get swept away by the sounds of the Call to Prayer. I chose a standard room and it was spacious and the beds were comfortable. I had plenty of space to move around and not feel cramped. The ceilings are a bit low if you're a taller person, but still it wasn't too bad. The bathroom was big as well and had a bath tub/shower combination, The…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2018,5,Luxurious Stay,"The Riad seemed quite normal from the outside, but we felt as entering a palace when we came in. The architecture was just fabulous and the suite very majestic and cozy. Mohammed also was very nice to us and made our stay in Fes much more enjoyable. Thank you Riad Braya!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2018,5,Phenomenal riad and exceptional service!,"Mohammad's kind smile and delicious, soothing mint tea welcomed us after 30+ hours of travel. He was very helpful in explaining how to navigate in the labirinth of Fes medina and pointing out main things to see and visit. The room was beautiful, clean and comfortable. The breakfast was an absolute treat, it was our first real Moroccan breakfast, which we will never forget. A different Mohammad was on duty to care for the guests the following day, and he was just as lovely, humble, helpful and genuinely made you feel like you are welcomed as if you are family. I would most definitely come back and stay here again!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2018,5,Perfect Riad because of Mohammed and Simon!,"Mohammed and Simon were amazing. They took care of us like we were family. They always take the time to make sure that we had our needs taken cared of. We enjoyed our stay in Fes because of them. The riad would have been just a nice building without them. But with Mohammed and Simon doing everything they can to ensure that we were having the best time in Fes, the riad was amazing. The moment you enter the door and get welcomed into the courtyard with Moroccan mint tea and cookies, to the terrace on the roof top with an amazing view of the medina and to the comfortable room, it was the best place we have stayed. Breakfast was really good and plenty that we really didn't feel hungry during the day wandering around the medina. The medina was only a few minutes walk and we…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2018,5,Great Riad and Service,"This Riad is beautiful, from the moment you enter you feel relaxed and the service by Simo and his staff was great! The rooms are well equipped and very clean. The service from Simo really sets this place apart from other Riads we have stayed in. Simo was really accomodating and was very easy to get along with. Thank you again!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2018,5,"Good Riad, great staff","This Riad is really beautiful and located in a great spot in the Medina, but not too deep inside which makes it perfect. There is an indoor pool, and we opted out of breakfast (preferred to go check local cafes instead). The room was great, a/c and internet were great. The safe was rather small which wasn’t that convenient, and there wasn’t sufficient lighting in the room. The best thing about this Riad is its staff, and especially Simo who was absolutely lovely, helped us with any issue, gave us tips, helped with reservations etc. Shukran Simo!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 August 2018,5,So beautiful!!,"Stunning interior. Excellent location, in the Médina. Parking close by. Great price. Beautifully appointed rooms, comfy bed spa and linens, good shower. Modern chic and perfect decor. Pool was a life saver in August. Wonderful rooftop for chilling in the early morning or evening. We had breakfast each morning which was delish, and sweet to have it on our own little balcony. We had a large room on the top floor, which was private and overlooked the entire inside courtyard. Staff was super helpful and kind. Excellent service! Highly recommend.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 August 2018,4,"Cool, Contemporary and Classic Riad","We stayed here for a couple of days, starting at the Eid al-Adha, so to be perfectly fair, the Riad was likely not fully staffed given the nature of the holiday. The check in process was slow - it's always a process - but this one took an exceptionally long time. The room was on the top floor on the side of the Riad's entrance. The room and bathroom were large and generally well appointed. The safe in the room was small, lacked instructions, and was not bolted down to anything so it ended up not being used. Breakfast each morning was selectable and abundant. The inside of the Riad is closed off, which keeps the interior space quite warm, but there was exceptionally powerful A/C in the room, and a really nice roof top terrace with seating, lounge chairs, and a Bluetooth…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 August 2018,5,Awesome Riad,"The riad is centrally located. 5-7 min walk to the famous blue gates. From there you can access all parts of the city and the old medina. This was my first riad and it was very nice. Rooms are spacious, the place is always spot less and it has a terrace that lets you see the old medina and the new city at sunday. Great to hang out and take pictures. Its very quiet all day and when you want to relax from the chaos of the city, just go back and sit by the pool. Is great to wake up and have Breakfasts ready at your table of choice. The staff is super attentive and they were always looking ways to improve my stay at the riad. They went above and beyond as i got food poisoning and they provided me with some medicine to help with the issues. Mohammed and team made my stay super…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2018,5,A lovely riad (without the muzak),"A lovely riad. The room is clean, tastefully decorated and quiet. Shower and wifi work properly. The breakfast was extensive and tasty ... excellent. The location perfect. Everything that matters in Fez within walking distance. Mohammed and Mohammed were dedicated and more than helpful, lovely guys. They made our stay almost perfect. No, they made it perfect, because at our request they put out the much too loud and unnecessary muzak.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 July 2018,5,Awesome stay in a great location,"The staff was so friendly & warm. As the wheel of my luggage rolled out while the staff was moving my luggage to the reception, our room was upgraded to a suite! It was such a lovely gesture of theirs! The location is great as it is located within 5 minutes walking distance to a few great restaurants which we made reservations for! Will definitely stay here if I return to Fes!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 June 2018,5,Gorgeous riad in Fes,"Lovely place to stay, very clean, quiet, comfort, and as gorgeous as the picture shows. Mohammad gave us a very detailed and helpful introduction for Fes and Meknes. The riad location is very convenient, just few minutes walking to parking, fountain square, and Blue Gate.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 June 2018,5,Wonderful riad,We had a wonderful stay in this beautiful riad. Mohammed did everything he could to give us the best time. We even got an free room upgrade. Also the location was very good. Defenitely recommend this riad.,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
