 December 2022,5,A Top Class Resort,"Family holiday with two adult children and stayed for 7 nights through TUI. The food options in the resort were wide ranging and very high quality. The hotel was very clean and was well run. The staff are tremendous, particularly the entertainment staff. Shout out to Nagib, Ismail, Jenna and Risla, who were a delight. There is plenty to do at this resort (eg darts, volleyball, table tennis, aqua fit, pilates), without feeling as if you have to do everything. My son lost his headphones whilst in the pool complex, which he tracked to somewhere in the city, so unfortunately it would appear that these were stolen by someone. An unfortunate end to the holiday, but it wouldn't put us off going back, which we intend to do. The Moroccan people are very friendly and welcoming. …",hotelName,city
 December 2022,5,Thank you to the Staff at Riu for giving us such wonderful memories!!!,"After last visiting the Riu Palace Agadir in 2017 and having lovely memories of the hotel, we decided to try it again. This time for 12 nights. What I remember most was how amazing the staff were. That was the biggest take away from our trip in 2017. This time we were coming with our 3 year old daughter and 3 month old baby so it was a very different holiday from our last! Right off the bat - nothing has changed (which is such a nice thing!). All the public spaces were still sparking like new. The floors and walls gleamed, which was no surprise as everyone took so much pride in their work and the property. There are a few reviews where people say they feel ignored at the bar. I don't really understand this as the hotel was really busy, if not full and I don't think I had to…",Riu_Palace_Tikida,Agadir
 November 2022,3,Better on my last visit,"I first visited when the hotel first open so on my return visit my expectations were the same. My holiday was still good , food was excellent but the service was changeable.rooms were nice and cleaned well but often had to ask for milk and tea supplies. Hotel itself in need of repairs in some areas.",Riu_Palace_Tikida,Agadir
 November 2022,4,Only bar staff let it down,"The hotel itself is beautiful, the food is great, plentiful, tasty and a good standard, didn’t try the a la carte so can’t comment on them. The waitress we had at breakfast, lunch and dinner were all great (we were lucky to always have the same ones), my husband has a tomato allergy and they were always willing to help if needed. I do have to say there doesn’t seem to be any dress code in the restaurant. A big group of French came in their football kit one evening singing at the top of their voices, fortunately The bar staff I have to say were awful, unless you were a regular or French. On occasion at the bar I had to ask 4 times to get the correct drink as the person serving me was to busy talking to people he already knew. On another occasion on of the bar staff walked…",Riu_Palace_Tikida,Agadir
 November 2022,5,BST hotel in Agadir,Great device for coach drop off to leaving hotel . Staff very helpful and entertainment team good round the pool .Food was never the same and good quality every day. The rooms were good quality and pool was great Will visit again,Riu_Palace_Tikida,Agadir
 November 2022,4,Beach holiday,"Right on the beach, well located for shopping and if you want to visit coffee shops and restaurants outside hotel. Very friendly and helpful staff. Lovely pool area and spa. The lobby bars are very nice and one of them has entertainment",Riu_Palace_Tikida,Agadir
 November 2022,2,Lacking the 5*,Visited for a week with my mum. Had to move rooms on arrival (preference didn’t like ground floor) however the ground floor room was stifling hot and the air-con broken. Second room was much better 3rd floor Breakfast is very poor service - everyday sat a table that wasn’t cleaned properly had to ask for clean cutlery on multiple occasions. Lunch in the snack bar was left overs from the previous day or hamburgers (daily) and evening meal was repetitive although somewhat better than breakfast. The best meal was one we had out that we paid for! The 2 restaurants were nice however you do need to book in advance and there was no sign of the Italian open at all. Pool bar drinks are not good. Lobby bar drinks are good when you can get served. Waiters going to tables and others…,Riu_Palace_Tikida,Agadir
 November 2022,5,Great November break,Good quality hotel from entry to the beach . Rooms spotless and spacious. Staff very helpful and all happy to help you. The food is spot on and you never get bored of it The animation team work hard and really good with the quests The hotel location is perfect for all activities and the TUI rep is very helpful. Best hotel I have been in and great weather for November Will return again Only short flight from Manchester Thanks to the RIU staff,Riu_Palace_Tikida,Agadir
 November 2022,5,Mrs Balbir bharj,"Wow!!!! The entertainment group ,ayoub,Aziz,moncf ,jannat,Hamza,amazing group together working as a team to entertain the guests.. We had an awesome time at Riu hotel.. Thank you guys. Reception staff was excellent too.. cleaning staff was friendly.",Riu_Palace_Tikida,Agadir
 November 2022,5,The animation/entertainment team made our holiday,"This is by far one of the best resorts I have stayed in. Did not want to leave, along with all of the other people we met while we were there. The animation/entertainment team are so fun and energetic, they really made it one to remember. They are so welcoming and make you feel comfortable and give you the confidence to get up and dance and have some fun throughout the day. Then at night they are the evening entertainment where they can really show of their talent. In particular, Aziz's breakdancing was mesmerising, never seen anything like it. He was also very welcoming and fun to be around. Hamza and Ismail are also great and kept us entertained when we didn't want to stop dancing. Along with the rest of the talented team who always had a smile on their faces and would come…",Riu_Palace_Tikida,Agadir
 November 2022,5,6th Visit,"Well 6th time at this hotel and.nothing has changed. Fantastic staff, great food, great facilities and more great friends and memories. Can't think of anything negative to dayvatcall....again Can't really fault this hotel at all. Yes we will book again for next year.",Riu_Palace_Tikida,Agadir
 November 2022,5,November Sunshine,"Not sure how anyone can fault this place .. superb range of food, top service wherever you are in the hotel, clean BIG room .. the grounds are immaculately kept. You can quickly access the beach through the back gate and walk along the promenade. There are a few sellers about there, but they’re pretty friendly after a firm ‘no’.",Riu_Palace_Tikida,Agadir
 November 2022,4,Enjoyable and Relaxing,"I stayed at the hotel from the 7th of November to the 14th, I would just like to say I was a little concerned reading some of the reviews before I went, however I found out for myself that this hotel is absolutely beautiful, I found all staff were very accommodating and friendly from reception to the Restaurants, the bar staff, and the pool guys, I never found it a problem to find a sunbed even though I wouldn’t reach the pool until 10 o’clock. I also had no problems in the restaurant with cold food as suggested, I always found something to eat it was plentiful with lots of different dishes to choose from. The room are large and the reception is stunning in the pool area is also very relaxing and also stylish. All the staff working extremely hard and with a smile and…",Riu_Palace_Tikida,Agadir
 November 2022,5,Absolutely the best ♥️,"We arrived here on 29th October and as soon as we arrived late at night were greeted by big smiles and friendliest of staff. The reception area is beautiful with a beautiful piano bar. We were told that we should go eat so we didn’t miss out as our flight had been delayed which was great. When we arrived at our room after the most simple speedy check in we were so pleasantly surprised it was clean and spacious with dressing area lounge area and bathroom, as well as a lovely sitting area over looking pool. The food here is amazing and the deserts don’t only look amazing they taste unbelievably good. The staff from every area of the hotel were the warmest friendliest people who couldn’t do enough for you. You could tell that seeing you happy made them happy and they looked…",Riu_Palace_Tikida,Agadir
 November 2022,5,5star we will be back,"First class service from when we arrived to when we left , 2weels of luxury, great staff great food lovely rooms nice and spacious, spotlessly clean and tidy 5 star great pool and terrace, direct access to the promenade great view of the hill side many thanx jonxkaren",Riu_Palace_Tikida,Agadir
 November 2022,5,Lovely re-visit,"First holidayed here 3 years ago and were due to come again when the pandemic kicked in, so was lovely to be able to return at last. Everything was as we remembered it, beautiful hotel. Maybe apart from the odd one, the staff are lovely and work so hard to deliver an amazing, friendly service, they are so hardworking. Would always recommend you pay that little extra and book a pool view room though. And unless you are on the ground floor a lot of them also give a sea view. Our own experiences here have been extremely positive and wouldn't hesitate to return or recommend to anyone.",Riu_Palace_Tikida,Agadir
 October 2022,5,Wonderful stay,Excellent hotel helpful staff lovely rooms. Food was first class and having three themed restaurants made the all inclusive less boring. Definitely recommended. Perfect weather in October making it an ideal winter destination,Riu_Palace_Tikida,Agadir
 October 2022,1,Thieves! Stole my money!,"Had a terrible experience with this hotel resort. Would not recommend to anyone. Had booked the hotel for a 5 night stay. However, our first day and night were a terrible experience. The toilet plumbing smelt bad and made noises all night. Our room was on the ground floor so it was noisy all night due to guests. The hotel was very busy throughout the day and night - guests all over all the sun beds, in the gym and pools, and in all the relaxation spaces. Food was poor quality and abysmal range, not appetising at all. Smelt of alcohol everywhere. Rooms look dated and need renovating. Overall extremely poor for the price charged. After one night stay, we therefore decided to check out the next morning due to all the reasons above and cancel the rest of our booking. The hotel…",Riu_Palace_Tikida,Agadir
 July 2022,5,Lovely stay,"My gf and I stayed a few months ago and we loved it, facilities are well maintaind and clean, food was good, staff was warm and helpful, We met the resort manager Sergio and took care of us so well and made our stay great, definitely we will come back.",Riu_Palace_Tikida,Agadir
 November 2022,4,Great hotel in a lovely beachfront setting.,"Arrived on a late night flight to be greeted with complimentary drinks. Sadly, the check in took over an hour so our first impression was not great. Then the lift wouldn’t work so we had to carry the cases up the stairs ( luckily only one flight) Once we got in the room everything became much more positive. It was a lovely room with twin beds pushed next to each other, lounge area and big bathroom. The bed was rather hard and the duvet cover was extremely heavy but we slept ok. The hotel is beautiful throughout with a good selection of food and drinks on hand 24 hours a day. The pool area was kept beautifully clean and there were plenty of sun beds so no need to be up early to get one. There was also part of the beach sectioned off for guests. There are sellers on the…",Riu_Palace_Tikida,Agadir
 October 2022,5,Rovers return,"Having visited this hotel for many years it still lives up to my expectations,my only complaint is that they have introduced karaoke which I don’t think is compatible with a 5* hotel also the singer by the piano was absent more than he was there and too many animation team shows more outside entertainment is wanted",Riu_Palace_Tikida,Agadir
 October 2022,4,"Moroccan vibe, lovely stay","This was our first visit to Morocco and what an exceptional stay we had. This hotel boasts a Moroccan vibe with fine interior decor and surroundings which were being maintained throughout our stay. Fine attention to detail to Moroccan cuisine which provided a range of dining options , albeit quite busy at times. As an example, chefs prepared Halloween Themed dining, which helped maintain traditions away from home. The waiting staff are very attentive and friendly and work hard to ensure needs are met at dining times, wine glasses were never empty. The food was cooked to high standards and cleanliness maintained always at dining areas. The hotel provides excellent drinks with a 24 hour hotel bar and pool side bars open during pool opening times. We arranged a la carte…",Riu_Palace_Tikida,Agadir
 October 2022,1,Terrible,"Terrible experience. Old duvets, smelly, noisy toilets, cheap and low quality buffet food. I would definitely not use this hotel again. Entrance area is impressive, everything else is below par and poor quality.",Riu_Palace_Tikida,Agadir
 September 2022,5,Great to be back,"Holiday 29.09.22 for two weeks, weather was very good although some days overcast. We've been holidaying at this hotel regularly since it opened. The hotel overall is lovely and spacious, the main reception area is impressive and comfortable. Rooms are very spacious, comfortable and clean with a good mini bar service. Although some sun beds were reserved, we never had a problem finding any and the pool staff were helpful. The food is excellent, with a good choice available, it was nice to meet some of the chefs at meal times who were very friendly and happy to chat. Activities are available throughout the day, no pressure if you just want to lay in the sun. But the jewel in the crown are the staff at this hotel, they are brilliant, nothing is too much trouble, always…",Riu_Palace_Tikida,Agadir
 October 2022,4,Perfect hotel excepted the rooms,"Fantastic 5* hotel but the rooms are (not more) at the level of a palace. The rest was perfect. Swimming pools, bars, restaurants. Just in front of the sea with easy access. A lot of facilities in the hotel and an amazing spa. Service at the reception could be improved.",Riu_Palace_Tikida,Agadir
 October 2022,5,Excellent staff!,Staff were excellent especially Sharky and Abdel. We had a wonderful time for my birthday and the staff just made it incredible. I would definitely recommend to anyone who is looking to go to Morocco!,Riu_Palace_Tikida,Agadir
 October 2022,2,Not a 5 star!,"We arrived at 2am and the reception was good. We went to the restaurant for a 'snack' and a drink then went to our room. With it being so late, we didn't have an opportunity to have a good look round. The next morning we went straight to breakfast and to the pool. Sunbeds were plentiful and not an issue. People occupying them however, were smoking, drinking being, noisy and moaning if they got splashed by a ball....don't sit on the ones by the front of the pool then! The whole hotel (all indoor areas) are so dark, its a struggle to see most of the time. The power went out twice while we werw there and it was out for over an hour each time. The food was mediocre to say the least. There is no variety and it just doesn't taste nice. My husband was ill for the last 3 days of our…",Riu_Palace_Tikida,Agadir
 October 2022,5,Great team,"What a great service and time we had, Abdel Simo Ismail and all the other entertainment team were great and so helpful. They were all amazing with our three-year-old and six-year-old sons and couldn’t do enough for us. Thanks guys and will be back.",Riu_Palace_Tikida,Agadir
 October 2022,3,Service very lacking.,Well what can I say. It took 4 days to get milk delivered to the room for coffee. It took 4 days to get bathrobes. Net curtains in the room had blood stains and were very shabby. Bathroom very tired especially the bath. Black mould all the way mastic join. Overall very disappointed with the condition of the room. Have visited many times but fear this will be the last until a refurb is done. Entertainment very disappointing and amateurish. Food and serving staff absolutely first class. Come on Riu- fix the hotel.,Riu_Palace_Tikida,Agadir
 October 2022,2,Not a good Hotel,"This hotel is very big its got lots of sun beds its immaculately clean BUT the food is often luke warm especially the pasta, my husband got food poisoning on day 2, the female staff can be aloof and not very helpful may be a culture thing ? The balcony door fell apart on day one, see attached photos maintenance came within an hour and fixed it but we were a bit worried about it breaking again. The outside bars are constantly running out of glasses and the head barman is often shouting at his staff who then run around collecting them why not just buy more.",Riu_Palace_Tikida,Agadir
 October 2022,4,Lovely Hotel,"We visited the hotel in October 22. The hotel and the staff are amazing, it is so clean and the staff can't do enough for you, we found every member of staff friendly and they wanted to serve to make sure your holiday was a great one. The rooms were clean and very large, at other hotels the standard room would be classed as a suite. We also got a free upgrade to a executive suite over looking the sea, I can honestly say that it's the biggest hotel room I have ever seen, it was massive. The food was very good, but the reason I have given four stars and not 5 is the food was very repetitive. We understood there were 3 al-a-cartes, but while we were there the Italian was closed, (after asking some of the staff we were told it was due to them having problems with staff…",Riu_Palace_Tikida,Agadir
 September 2022,3,Woefully disappointing,"Sadly disappointed with the whole Agadir experience. Our first impression of the hotel on walking through the door was ‘wow!’ The entrance, bar and lounge area is truly impressive with beautiful decor… it promised so much. From that point onwards however it was more than a little disappointing. The sheer size of the hotel is clearly not for us… if quantity over quality is your thing then this could be your ideal holiday. Canteen food served in a canteen environment… We tried the specialty restaurants… the Moroccan cuisine was terrible… the Asian slightly better but still not good. The drinks were standard for an all inclusive… limited choice and weak. The bedrooms were very good, large, well appointed and kept very clean throughout our stay. Sun beds were plentiful, although the…",Riu_Palace_Tikida,Agadir
 October 2022,4,Fantastic break,"Congratulations to the managers for creating this amazing experience and respect to the staff for working so hard to make it happen. Beautiful resort, great service, tasty food. Highly recommended. The pool is the highlight of the resort, and the lobby bar a very pleasant surprise, extremely lively",Riu_Palace_Tikida,Agadir
 October 2022,4,Perfect with imperfections,"Right where do I start.... I'll be honest and fair in this review because like any trip there are some good points and some that could make it better but at the end of the day, would I return?? That would be a wholehearted yes I would! We stayed for 10 days all inc and asked for a quiet room. We arrived late and there was some cold food/snacks available if we wanted after we'd checked in, although we didn't bother it was good to know we could've if we wanted. Check in was warmly welcoming, smooth and swift which was appreciated. The room, 4069, was spacious, tidy and clean. Yes, it overlooked an across the way car park but this wasn't an issue and was as requested, quiet. It was fairly close to the open bar terrace at night but that closed at 11pm so no issue. I will say this...…",Riu_Palace_Tikida,Agadir
 October 2022,5,Perfect couples chill out hoilday,"The hotel is absolutely beautiful, from the lobby garden area and pool. The hotel rooms are good size. Only down side to room I was on the Aircon wasn't very good and shower was inside the bath and no light. Got courtesy room on last day with walk in shower so much better. The staff as amazing couldn't help you enough. From getting to seated in the restaurant to topping up drinks. Rashid at the pool bar was amazing so was Abdul wahid, also Hasan in the 24hr bar. The food was really good plenty to choose from, also the Moroccan and Krystal restaurants. Gutted the Italian was closed as only open in the summer. 1 thing I think could make the place better is the outside seat area near the pool could be used on a night doing a BBQ or some type of event adding more seating and…",Riu_Palace_Tikida,Agadir
 October 2022,5,"Great break, great food, great hotel, great staff.","We had a week here in October 2022. It was the first time we had gone to an all inclusive resort and we were very pleasantly surprised. It is a well appointed hotel, the rooms are large and comfortable and the pool area, the bars, restaurants and common areas clean and well maintained. The food was fantastic, especially considering the sheer amount of people catered for. A wide choice for all diets with a lot of variety including a daily tagine to get the local flavour. The staff were very good, some of them really outstanding and friendly. Particular mention to Abdessalam of the animations team, who played petanque with us was a great presence around the pool area and even ran a class to learn some Arabic/Berber language phrases. We will definitely return here after such a…",Riu_Palace_Tikida,Agadir
 September 2022,4,Don't let the other reviews put you off!,"Like many, we were worried when a slew of 1-star reviews flooded TripAdvisor for this hotel a few weeks before we travelled. Fortunately, I'm happy to report the hotel was very good, though not the 5-star experience it claims. The rooms are large but dark thanks to the dark wood prevalent throughout the hotel, and general lack of lighting. Here the hotel loses a star for the dark bathroom, drawers that didn't close properly, rubbish aircon, and a minor ant problem. The public spaces, however, are grand, spacious and clean, with plenty of seating. The pool area is a major draw, with its mix of sturdy sunbeds and cabanas. Yes, no one adheres to the no reservation policy, but the average care-free traveller won't have much trouble finding a bed, even later in the day. There's…",Riu_Palace_Tikida,Agadir
 September 2022,5,An amazing holiday,"My husband and i arrived at this hotel on 22nd September for 2 weeks . We arrived around 11pm , checked in and went straight to the restaurant which was kept open for late arrivals . There was a good selection of food on offer . We requested a room change the following morning (just for a nicer view ) and we were given a great room on the ground floor right by the pool (Room 1020). The staff throughout the hotel were brilliant , . The manager must be so proud of his staff . The manager himself always made a point of welcoming the guests around the hotel , especially in the restaurants .The food was very good in all the restaurants , plenty of choice for different tastes . There was always plenty of sunbeds around the beautiful pool and on the private part of the beach . …",Riu_Palace_Tikida,Agadir
