 January 2023,5,Best decision of 2023,"We went on a chilling holiday trip for 3-night. It is an all-inclusive hotel and is 20 minutes from the city centre which we wanted, the hotel has a shuttle you can book by letting reception know. The hotel is clean, and friendly and has a warm welcoming atmosphere as soon as you enter. The staff is AMAZING and very accommodating, they go out of their way to help. The rooms are clean and roomy clean lines with tiled floors. I had to move as I did want to be near the entertainment which the hotel changed for me, so if want the same do not get rooms in front of the pool area. Every day the food has a theme of Italian, French, Morocco, etc. The only thing is if do not drink dairy then you need to make them aware of this as other types of milk will need to be arranged by them with…",hotelName,city
 December 2022,5,Holiday at Sol Oasis,"Good hospitality, very clean, funny employers and good attention, sport entertainment was great, Friendly people, The shows are amazing ,lot of choices for food, special thanks to fatima, we had funny time together by doing all activities from football to darts tennis. Thank you!!",Sol_Oasis,Marrakech
 December 2022,5,Vacances,"I really had good time with my family,the animation team are Amazing specially fati made our holiday,shows ,day animation program is fantastic,rooms are clean and nice ,the food delicious lot of choices We enjoyed thank you",Sol_Oasis,Marrakech
 December 2022,4,Great Hotel.,"Pros: - Excellent food and drinks- best selection I've ever seen at an all inclusive - Room good and was cleaned every day - Shuttle bus runs frequently throughout the day and drops at a good location - Sports, gym and other facilities really good - Most staff members were pleasant and helpful. Fatima sat with my girlfriend for 20 minutes while I was getting ready - they go above and beyond the line of duty - Impressive shows that included traditional Morrocan dancing, and fire juggling. - Morrocan Tea - it's revolutionary Cons: - Difficult to relax and read a good book by the pool when R&B music is blasting all day. A bit of variety and less volume would be best for this type of audience. - Entertainment staff were energetic, great to the kids and helpful. I admire their daily…",Sol_Oasis,Marrakech
 December 2022,3,Disappointing service,"Over experience was disappointing. Service was generally poor. Rooms were not ready at checkin. Information and orientation at checkin was rushed. No information about the facilities, pool, towels etc. Had to request a cot bed several times that did not arrive until the evening. Laundry was not collected even after 3 days. No answer at reception despite calling several times. Not enough childrens high chairs at meal times and were not cleaned in between. Meal selection was generally good and decent quality however the breakfast egg station needs improvement. Eggs were made very haphazardly. All broken and half raw. Kids club was good and entertainers were very energetic and caring. Main pool temperature was okay but kiddy pool was freezing and not suitable for kids. The…",Sol_Oasis,Marrakech
 December 2022,5,Lovely Holiday.,"Just got back from spending 9 days over Christmas with my daughter at this lovely hotel. The hotel is stunning and the food is good but I must say what makes this hotel fantastic is the staff. They are honestly the most wonderful people and happy to help. Thank you to SouSou, Fatima, Russ, Sam and the rest of the team for being so amazing! You honestly made our holiday.",Sol_Oasis,Marrakech
 December 2022,5,Winter holiday,"Me and my partner came here in december and it was lovely the staff do so much for you and the entertainment at night is really good and the food is amazing & so are the drinks can’t wait to return here next summer, it is an amazing hotel if you want to visit Marrakech",Sol_Oasis,Marrakech
 December 2022,5,Holiday,"I had really good time me and my sisters and mum, we had so much fun with all entertainment programs special thanks to Fati she was helpful and always smiling for us,the rooms are clean and so much choice for food I recommend it highly",Sol_Oasis,Marrakech
 November 2022,5,Great hotel,"After reading the positive reviews on trip advisor my wife and I decided to book 5 nights at the sol oasis Marrakesh. We were not disappointed. The rooms were beautifully decorated and had a traditional Moroccan feel to them along with the beautiful setting. We booked the all inclusive option and the food as well as drink was plentiful, there was lots of variety and selection and each day had a different theme. The pool area and gardens were well maintained, peaceful and plenty of sun lounges available. The pool bar was also great, this did shut at 11pm although there was another bar open till 1 am. The entertainment team work tirelessly but nothing is too much trouble. They all take their time to get to know guests even guests who just want to relax. Especial shout out to…",Sol_Oasis,Marrakech
 December 2022,5,fantastic stay!,"I booked using the app as a gold melia rewards member. Mdm Rashida welcomed us and staff was really kind and friendly, and made special effort to remember my drink of choice. staff were busy but always smiled. in my opinion, grounds were as beautiful as the Jardin secret. only watch out is the cheese left for us in the room our night of check in , as may have sat out too long. highly recommend!",Sol_Oasis,Marrakech
 December 2022,5,Amazing place and Amazing value,This place was amazing . We went on the all inclusive package and worth every penny . The staff are amazing friendly and helpful. The place is clean and very comfortable. look out for Sue and Ross on the entertainment team just amazing team .. I absolutely fell in love with this resort and Marrakesh. They have loads of activities for all the family No one is left out from the oldies to the very young . I highly recommend this hotel .. You will be very glad you stayed here ..,Sol_Oasis,Marrakech
 December 2022,5,Holiday,I came here for 5 days with my dad. We had a lovely time. The hotel was great and the entertainment staff were amazing...especially Fatima. So friendly and helpful. The shows were very professional and engaging! Would definitely recommend and would go back again!!!,Sol_Oasis,Marrakech
 December 2022,2,Beware of cats!,"We stayed in Dec 2022. Temperature was 20 degrees average. Its cold in the mornings before midday so you will need warm clothes. Our main issue and the reason why I've rated this hotel 2 stars is because of the cats. Stray cats are constantly in the buffet restaurant. The doors are left open and guests also bring them in. The French guests in particular liked them. But they should not be in the dining room, so unhygienic. They were climbing on the tables and sofas. We kept jumping out of our seats as they ran under our feet. The staff did not care. I complained many times and nobody seemed to care. What if someone was allergic to cats? Well if you are, this is not the place for you. I also complained to the general manager and he promised it would be fixed the next day, still…",Sol_Oasis,Marrakech
 December 2022,4,Nice place we had a great stay,"Quality hotel out of the hustle and bustle. Room was fine, facilities great and all the staff were welcoming and friendly. Food was buffet style so generally never hot only warm although the cooking station did help, however we never went hungry. Wouldn’t use the hotel direct to organise a guide use your travel rep. Would use again if we were ti return to Marrakesh",Sol_Oasis,Marrakech
 December 2022,5,Absolutely fabulous holiday from start to finish.Absolutely fabulous holiday from start to finish.,"We’ve just had the best time ever. We never go to same place twice but this place is the exception Every single review that we read was exactly as documented and even better. Great staff from front desk to amazing animation team. Have to mention Russ-Sam-Sousou-Mike -Fatima-Abdul-Wahiba-Dounia-Red1-Khalid-Ahmed-Niako and lots more Miss you already So clean and very comfy beds,so much food choice, great value for money. Perfect for families with children as they are made to feel so special They were still in the World Cup whilst we were there and the atmosphere was electric and I don’t even like football. The front desk were so kind to us because we managed to fuse our bedroom several times by a faulty adapter, but they moved us to another room no problem at all, and as soon…",Sol_Oasis,Marrakech
 December 2022,5,"Fantastic hotel, that has created wonderful memories for us!! Best holiday we’ve had so far :)","We had an amazing stay, such a stunning hotel and wonderful staff. We came as a family of 5, with 2 small children that were kept entertained by the amazing staff at the kids club. Susu, Fati, Russ, Sam, Wahiba and to all the other wonderful staff that made our stay awesome thank you. Not forgetting the lovely staff at the bar and the front desk that ensure that everything runs smoothly thank you!! Nabil the manager was alway around to have a little chat with the kids and make them smile. We will be back in August for my husband’s 40th and will definitely be staying at Sol Oasis again. Great location, trips to town arranged for guests making it so easy and relaxing. Awesome food, change of menu every day so it’s never boring. Fab selection of deserts and ice cream. …",Sol_Oasis,Marrakech
 December 2022,5,The perfect break,"We had the best few days at Sol Oasis. The food is amazing and there is a huge variety to enjoy each day. All of the staff are friendly, helpful and lots of fun. As mentioned in so many other reviews, the entertainment team put a lot of effort in to making sure everyone has a lot of fun and that everyone is included. But all the staff are keen to help wherever they can. Would recommend the camel ride excursion organised through Mr Hachim at the hotel - was a great experience. We will be back sooooon!!",Sol_Oasis,Marrakech
 December 2022,5,Fabulous break in Sol Oasis,"Fantastic week. Food varied and good. Hotel very clean. Staff fantastic and friendly especially the entertainment team to name a few Wahiba, Sam, Mike, Rus, Sousou, Miako, Abdel. Will come again ❤️❤️❤️❤️",Sol_Oasis,Marrakech
 December 2022,5,Sol Oasis Marrakech is the place to go !,"What can one say ? Myself along with my wife and our elderly mother booked up for a 7 night stay and we were enjoying ourselves that much we ended up booking new flights and staying another 3 nights. Everything was just perfect ! Sam and all the animation team are the best. Also a big shout out to the rest of the Sol Oasis Team, from Housekeeping right up to the GM. It's the whole team that make Sol Oasis what it actually is and the reasons for having a 5 Star Trip Advisor rating. I've read a couple of reviews mention the lack of variety with the food and saying it wasn't all that good , Seriously ? If you were paying 5 Star prices for your ""All Inclusive Holiday"" then you might have something to complain about. The food was great with plenty variety and hats off to the…",Sol_Oasis,Marrakech
 December 2022,5,Great holiday we had so much fun,Fantastic stay the staff the hotel food was amazing the shows every 2 days by the troupe was so brilliant they are all talented and the daily events made our stay fabulous 5 stars well recommended💕💕💕,Sol_Oasis,Marrakech
 December 2022,5,Superb holiday,"Hotel very accommodating… free late check out… not too busy due to the time of the year.. animation team were superb… not to single anyone out but wahiba and fati were brilliant with us.. Mike was fantastic and the shows were excellent also…. The bar staff were really attentive, all in all the animation team and the bar staff made my holiday special… the food was also good. Wide variety too will 100% be back… last words saved to say again… Mike for me was sticking out but loved all them",Sol_Oasis,Marrakech
 December 2022,5,Had a great time,"Surprisingly this was a great place to stay, its half hour away from the centre however there are free shuttle bus organised from the hotel at least 5 times a day. We were all inclusive with the food and drinks included. The animation team are always around to keep you company and get you involved in activities WHICH EVEN A STIFF LIKE ME GOT INVOLVED AND ENJOYED. all in all great experience. The spa is under construction at the moment so if you are looking for a spa experience best to check before booking.",Sol_Oasis,Marrakech
 November 2022,5,50th Birthday Celebration.,"We loved our stay from start to finish. It was brilliant! Way exceeded my expectations. Could not fault any part of it. Amazing setting,amazing food, amazing staff. It was hard to leave the hotel as it was so nice. Perfect winter sun break. Would love to go back sometime. Thanks to everyone for making our holiday just perfect.",Sol_Oasis,Marrakech
 November 2022,4,Great Hotel & Great Entertainment Team,"Thoroughly enjoyed our stay at the Sol Oasis. We checked in late and it was quick and a plate of food waiting for us in our room. As per other reviews the entertainment team are their biggest asset. Mike is a top man amd brilliant dancer and along with Sam, Fati, Russ, Sousu and Nikao they are all so friendly and so much fun. The grounds and pool are nice and well kept. I have only given it 4 stars for 3 small reasons; 1. The food was very nice, however it was repetitive and not much variety compared to other AI holidays I've been on 2. The rooms are nice but our bathroom had lots of flies in it all the time and splat marks where other guests have killed them. There was also plaster coming off the walls at the shower 3. The bar staff are brilliant and kept us well refreshed,…",Sol_Oasis,Marrakech
 December 2022,5,The best team,"5 out of 5. Incredible experience. The best entertainment team and customer service. Thank you so much Susu at the kids club, Sam, Fatima, Micheal and Rus! You have been world class and we definitely will return because of you !! Khalid at the swimming club has made a swimming with my daughter a pleasure too! Thank you .😊 Hassan and Muhanad from the bar are one in a million 👍🏽",Sol_Oasis,Marrakech
 December 2022,5,Excellent hotel,"The holiday was very enjoying, my family and i really enjoyed our moments with the team. The food was very delicious and the animation as well... all the service are good To sum up it was a wonderful experience and i'll visit the hotel another time",Sol_Oasis,Marrakech
 December 2022,5,Amazing experience at the Sol Oasis hotel and resort!,"The staff at this hotel were amazing, very attentive and always willing to help. From the entertainment staff to the restaurant staff. The hotel was clean and facilities are excellent. Will definitely recommend to friends and family. 💜💜💜",Sol_Oasis,Marrakech
 December 2022,5,Beautiful place for couples or families,"Sol Oasis is the perfect name for this beautiful sun-drenched paradise in Marrakech. The rooms were clean, the food was delicious and the staff were friendly and very helpful. There are so many people to mention Mohsine, Jalaal, Karima, Redwane, Mike, Russ, SuSu, Rashida and the General Manager Amine all went above and beyond for us. We loved it so much, we stayed several extra day. The place is fantastic and we will definitely return.",Sol_Oasis,Marrakech
 December 2022,4,An honest review :),"First and foremost, we had a lovely time. The staff go well above & beyond for you, and are just so friendly. The hotel grounds are well kept and beautiful. The pool area is huge and plenty of beds always available. Evening entertainment is one of the best weve experienced and we had such a fun time. Sadly though a star was docked for the food im afraid. Whilst they have different theme nights every night, the food isnt great quality or variety and I actually barely ate anything due to this! Sad really as the rest of the hotel is fabulous. They also dont mention on the website that you have to pay for the use of the tapas restaurant, which i wish i would have known before as may well have chosen elsewhere as we like to have lots of food choice! Nevertheless we still had a great…",Sol_Oasis,Marrakech
 December 2022,5,Beautiful hotel,"Beautiful hotel, lovely staff - very friendly and they all made time to get to know us. great entertainment every evening. Rooms are a great size and very clean. Great selection of food every night.",Sol_Oasis,Marrakech
 December 2022,5,Super sol oasis,"Booked this hotel to celebrate my husband's 60th birthday Based it on the reviews and we were not disappointed. From the minute we arrived the whole visit was perfect From the staff who could not do enough for you - especially Nadia in the restaurant, the gentleman on the outside bar who made me my ""big cup of tea"" everyday to the wonderful animation team we had a blast. Will definitely be back - loved it",Sol_Oasis,Marrakech
 December 2022,5,Sol oasis marrakesh,Lovely hotel massive swimming pool.Love the entertainment at night all staff have been lovely to me and my sisters. I want to come back again my room is very clean. I love all of the food and they have fries and ice cream,Sol_Oasis,Marrakech
 December 2022,5,Sol oasis marrakesh,We have had the best family holiday here. Hotel and reataurants are so clean. All staff are so happy and accomodating. Trips out to Marrakesh are on hand- sohks and camel riding for example. This place should definitely be a 5 star. Highly recommend and would certainly come back again 😊🐫🕌🌅💞,Sol_Oasis,Marrakech
 December 2022,5,You will not want to go home,"We just had the best holiday we ever had. The staff are so nice special mentions to Fatima niako sousou bira mike and Abdul. The hotel is a bit out of town but there are free shuttles about 4 or 5 times a day. Rooms are lovely,clean and a pleasure to stay in, food is delicious. Cannot recommend this hotel enough. The staff have made this the best experience.",Sol_Oasis,Marrakech
 November 2022,5,Fantastic week away,Fist time in Morocco so always a little apprehensive. Arrived at the Sol Oasis via private transfer and greeted by extremely happy smiling staff to take our cases and help check us in. From that moment we were so impressed not only by the beautiful hotel but more so the staff. Every one was truly lovely and very attentive. Sam and Su Su were always very happy and cheery and took time to sit and chat. The entertainment team overall are fantastic and bar the staff remembered what drinks we had after the first day. Already planning on returning in May with my parents. Such a wonderful week away and the weather was lovely for the time of year. For now it’s goodbye but we will be back soon. Tanya,Sol_Oasis,Marrakech
 December 2022,5,The best holiday ❤️,"I can honestly say this was one of the best holidays I have been on. I was smiling from start to finish, the staff are exceptional and could not do enough for you. The hotel grounds are stunning and just want you want for a relaxing holiday. But the real star's of this hotel are the entertainment staff, they try and involve everyone in all kinds of entertainment no matter how old or young you are. Sam and Susu are especially brilliant, they are make sure that everyone is having a good time and will assist everyone with any needs they have. They will be two individuals that I will have brilliant memories off when thinking of this hotel.",Sol_Oasis,Marrakech
 November 2022,5,What a wonderful resort!!,"Been here for a week! and I must say what a fantastic visit! The foot was outstanding every night and that's coming from a fussy eater! The saff where more than happy to go above and beyond, the entertainment was fantastic Every evening and was never the same! During our stay the world cup was showing, in which they showed every game on a projector inside. On the entertainment side Sam was outstanding, very happy and enthusiastic with all the right intentions and having guests best interest at heart all the time. SuSub along side with Sam was also amazing in her role of providing entertainment. The bar staff were always helpful and happy to help, the cleaners were fantastic and the rooms are the perfect size. Will definitely be looking to come back in the near future",Sol_Oasis,Marrakech
 December 2022,5,Holidays,It was wonderful holiday because we enjoyed with the team ;they animated very well ..the food was delicious ..all the service is nice ..i ll visit the hotel with my family another time without hesistation ..,Sol_Oasis,Marrakech
 November 2022,4,Enjoyed this holiday 😊,"Thoroughly enjoyed our holiday at Sol Oasis. Beautiful gardens although a lot of planting still being done, the seating areas etc were lovely and we particularly liked the huge firepits on the terrace in the evening. Everywhere kept lovely and clean. Entertainment was excellent, animation team very friendly and hardworking. We enjoyed the 2 guitarists that played most evenings too. Some of the music in the daytime got a bit noisy for us as we prefer to read and enjoy the peace. All the food we ate was excellent, very impressed with the buffet restaurant one of the nicest, we are not usually fans of them but plenty of seating inside and out and relaxed atmosphere. A la carte and snack areas also very good. The bar staff were fantastic, Shame about the plastic glasses (can…",Sol_Oasis,Marrakech
 December 2022,5,Mochine the excellent bar man,"This review is for mochine the bar man at Sol oasis he was absolutely fantastic from the moment we arrived he went above and beyond with his service, he made the best cocktails by far and we appreciated the effort he put in to everything he did. He made us both feel really welcome and looked after. Thank you my friend! 5 star service from you.",Sol_Oasis,Marrakech
 November 2022,5,Don't hesitate - book this hotel!,"We stayed at the end of November on an all inclusive package for one week. We had great weather most of the time - hot enough to lounge by the pool all day and then cool enough in the evening to enjoy the fire pits in the outside bar area. The hotel is about 20 mins outside of Marrakech - the hotel provide a free shuttle throughout the day. The hotel has a lovely relaxed atmosphere - all the staff (bar, dining room, reception, entertainments) are super helpful and friendly. Sometimes in all inclusive resorts the bars can be mean but here the beer, wine and cocktails flow! The rooms are modern with everything you would expect (safe, fridge, nice shower etc) and housekeeping do a great job - like magic fairies tidying up our mess every day. The food is plentiful and there is…",Sol_Oasis,Marrakech
 December 2022,5,Holiday,Myself and my partner have thoroughly enjoyed our time at Sol oasis. Special thanks to Fatima on the entertainment team for ensuring our stay was everything we wanted it to be and more . Thank you very much!!,Sol_Oasis,Marrakech
 November 2022,5,Best holidays,"Sol Oasis is an amazing place for a relaxing holiday. Came with my husband, we both had an amazing time. The people are really friendly and helpful, the entertainment is absolutely amazing, so enthusiastic☺️. I will highly recommend visiting this hotel.",Sol_Oasis,Marrakech
 December 2022,5,"Fantastic Resort, Highly Recommend","A lovely, clean hotel with an abundance of amenities. Fantastic entertainment team - Sam, Fatima and the team were absolutely brilliant; a vast variety of activities and things to enjoy all day, every day. Local excursions readily available and most importantly, all at a very affordable price. I would highly recommend to anyone wanting to visit Morocco and hope to return very soon.",Sol_Oasis,Marrakech
 December 2022,5,You will love it here,"Wow, this place is amazing. Highly recommend, the food is lovely, activities are great and the team here really make the holiday. Sam, Fatima, Niako, Sousou, Mike, Wahiba and the whole team are just great, really make this hotel stand out. If you’re thinking about coming, stop thinking and start booking!",Sol_Oasis,Marrakech
 December 2022,5,A brilliant resort made extra special by an excellent team,"A genuinely brilliant resort! The best I've ever been to. The food is amazing and the entertainment team made it a brilliant break, a massive shout out to Sam, Fatima, Nikao, Sou Sou, Mike, and the team for all of the laughs, games, stories and brilliant shows.",Sol_Oasis,Marrakech
 November 2022,5,Wow!!,"Wow!! One of the best all inclusive hotels I have ever stayed in. Spotlessly clean, so friendly, animation team fantastic and absolutely hilarious. Food lovely and something for everyone. Weather was fantastic (for us Scottish people) and warm enough during the day to lounge by the pool and do some swimming, but you need a cardigan first thing in the morning and in the evenings. Not a big deal though. Would definitely come back. Well done guys 😊",Sol_Oasis,Marrakech
 December 2022,5,Loved it,"Superb stay in the middle of nowhere but the hotel staff and certainly the entertainment staff are superb, Restaurant is basic all inclusive with some nice touches, Local beer and spirits are better than many all inclusive hotels I’ve stayed in We came at end of season I would come back But be aware this is a hotel holiday xx",Sol_Oasis,Marrakech
 November 2022,5,You must visit,One of the nicest places ever. From arriving at reception I have felt welcome and relaxed. I will certainly return. Entertainment is first class. The entertainment work tirelessly to make sure you feel welcome. AAA*,Sol_Oasis,Marrakech
 November 2022,5,Amazing Staff experience!,I stayed at Sol Oasis for a friends birthday and had an amazing time. The staff are excellent especially Sammy who gave us an outstanding experience from the day we arrived to day that we left the hotel.,Sol_Oasis,Marrakech
 December 2022,5,Amazing place to visit,"Hotel is top notch, would recommend anyone visiting Marrakech to make this the place to stay. Can't speak highly enough of the staff as everyone is always so cheerful and helpful 10/10 in every department. Definitely worth visiting & revisiting whenever in this part of the world.",Sol_Oasis,Marrakech
 December 2022,5,Wonderful,Had a wonderful 5 night break food excellent animation team top class. Spotlessly clean everywhere. Just some steps added for pool entry would be great. Staff made holiday great could not help us enough,Sol_Oasis,Marrakech
 November 2022,5,Holidays,"What a great hotel,great animation team thanks to Fatima she was lovely,clean rooms and good food Everyone is nice,shows were stunning And only I want to add just adding some steps in the pool will be great,we enjoyed staying",Sol_Oasis,Marrakech
 November 2022,5,Excellent,Perfect hotel for a 3 night break. The hotel is 30 minutes from the city but they have regular shuttles through out the day. Everything at the hotel was immaculate. All the staff were amazing and really made our stay a 5 star one. Would definitely recommend and stay here again.,Sol_Oasis,Marrakech
 December 2022,5,Absolutely fantastic hotel,The staff really go out of their way making sure your time there is enjoyable. A massive thanks to Mohcine (bartender) who made absolutely brilliant drinks for me with a smile. Wahiba who was also very pleasant who was entertaining,Sol_Oasis,Marrakech
 December 2022,5,Excellent everything,"Went with the BA package deal. The hotel was excellent, staff professional and very friendly, and the events very entertaining. Would recommend. Distance to marrakech proper is not an issue since there is a free shuttle bus that takes about 20 min.",Sol_Oasis,Marrakech
 December 2022,5,Memorable holiday,"Fantastic staff, good entertainment and delicious food. Plus Morocco doing good in World Cup added to our good experience :-) Regular shuttle service to city centre made the distance forgettable. And good excursion trips to nearby attractions Overall highly recommend it",Sol_Oasis,Marrakech
 November 2022,5,Best holiday/hotel ever!,gorgeous hotel and lovely staff. everyone was really friendly and nothing was a problem for them. the food was absolutely delicious and i was excited for every meal. they had many activities to do around the complex and great evening activities also. would definitely recommend x,Sol_Oasis,Marrakech
 December 2022,5,Week in Marrakesh,"Great hotel. Cant fail it on anything. Friendly staff, amazing entertainment team who will do anythi g to make you feel as you are at home. They remember who you are, your favourite drink and will try their hardest. The evening shows were amazing, pool games were really funny. Will deffinitelly recomend this hotel to everyone i know.",Sol_Oasis,Marrakech
 November 2022,5,Wonderful stay with the best staff,"Fantastic hotel with even better staff. We have come away for some winter sun, some relaxation and have come away with so much more. Each day all the staff great you with a wide smile and fantastic service. Food is tasty and plentiful. Excursion are easy to organise and are good. Thank you to all the staff for making our experience so wonderful.",Sol_Oasis,Marrakech
 November 2022,5,Fantastic week in Marrakech,"The hotel has been amazing, rooms are clean with everything you could want within them. Food is plentiful at the restaurant with plenty of choices and different themes each evening. Drinks are free flowing with helpful bar staff on hand to assist in your choices of both alcoholic and non-alcoholic options of cocktails. The entertainment staff are all very friendly but not pushy you feel very comfortable to take part in as much or as little as you choose. The evening entertainment is great fin with all members of the team taking part. Looking forward to returning again soon",Sol_Oasis,Marrakech
 November 2022,5,Birthday,"Went with 3 of my friends to celebrate my birthday at the end of November, staff were extremely friendly and helpful with anything we needed. The main reason for such a great time has to go to Sam and his entertainment team, the vibes and energy given off by all of them throughout our stay was really good and positive, whether it was during activities or just socialising with different guests they were all exceptional. The shows they put on were also great to watch. They made my birthday super memorable. Would definitely go back there again for that experience",Sol_Oasis,Marrakech
 November 2022,5,Best holiday destination in Marrakech!,"The Sol Oasis hotel is the perfect retreat - both for a city break near Marrakech, and for a relaxing holiday. The entire staff are extremely attentive and friendly - especially the entertainment staff! Notably Sam & Wahiba made the stay extremely enjoyable! We will definitely be visiting again.",Sol_Oasis,Marrakech
 November 2022,5,"Great trip, nice friendly people","Had a wonderful time, hotel facilities very good. Food is good. Entertainment staff are really wonderful people, they make everyone feel welcome. The Spa was not ready to use but there are plenty of Spas in town. In particular staff members Wahiba .sousou.Russ and Sam were great. The pool staff - Ahmed is a great guy. For the money paid for this trip it was an absolute bargain. Thanks team.",Sol_Oasis,Marrakech
 November 2022,5,Brilliant holiday,"Very lovely hotel and grounds. Very scenic. The staffs are amazing very friendly, helpful and attentive. Entertainment was good. We had an absolutely amazing time. My hubby and I agreed we wil definable come back again. Lovely bunch of staff from reception and fantastic Entertainment team. Weldone everyone for making us feel welcome.",Sol_Oasis,Marrakech
 October 2022,5,The best holiday with the most lovely staff,"My partner and myself visited the Sol Oasis in October and it was one of the most lovely holidays. The staff at the hotel were incredible, they work so so hard! From the daytime activities to the entertainment in the evening, everything was absolutely brilliant! A special shout out to Niako, Mouss, SouSou, Sam and Russ, they really made our holiday special. The rooms were beautifully refurbished and the food options were great. We also loved the free shuttle bus into Marrakech city centre. Big Thankyou to the whole team at Sol, the best staff we have experienced on a holiday! Big thanks from Emily and Jordan!",Sol_Oasis,Marrakech
