 January 2023,4,Lovely stay,"We stayed three nights and were impressed by how beautiful this hotel is. Views from the terrace are absolutely beautiful. We liked our rooms very much (stayed two nights in a suite then in a regular one as the suite wasn’t available). Breakfast is buffet and really good. We also had lunch and dinner and were pleased with the quality of the food. Staff was very friendly however service was pretty slow (bars, restaurants, room service and in room requests). We had a few miscommunications as well. Overall we had a lovely stay.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,hotelName,city
 October 2022,5,Amazing experience ! Truly a 5 stars hotel,"Amazing Service, great staff which was so kind! Also the most beautiful hotel I been to, the place is like a museum - the palace itself is just amazing, and full with great art. We stayed first night at a regular suit, and when we asked to extend and they had no room, they were so generous to upgrade us to a better suit which was available. great breakfast! Best I had in Morocco",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2022,5,Magical Riad in Fez,We stayed two nights at the Palais Faraj while in Fez. This is one of the most beautiful hotels I have ever stayed at. Add to that fabulous staff and wonderful food and we truly had a magical visit. I highly recommend staying at the Palais Faraj when you come to Morocco!,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2022,5,Perfect in every way!,"I am almost at a loss for words to describe how much we enjoyed this hotel. It’s location, on the edge of the Medina is perfect for exploring this fascinating city but it can still be accessed by cars and touring vans. The property itself is gorgeous with several beautifully decorated courtyards, a stunning pool complex and amazing rooftop bars and restaurants. The bar even has a two for one happy hour on weekdays from 17:00 - 18:45. The food was delicious and reasonably priced and the service impeccable. The primary language used by the staff is French but all the staff were fluent in English. The service and view from the rooftop outdoor restaurant was perfect. Our standard room was small but it was decorated like a jeweled box. Moroccan tile on the floors and walls, ornate…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2022,5,Amazing hotel - the benefits of a larger resort and a smaller riad,"This is a stunningly beautiful hotel that is located just at the edge of the old city, yet provides the benefits of a more spacious large resort. The design of the hotel is gorgeous - pretty courtyards, a spacious pool with plenty of deck space and beautiful traditionally-decorated interior public spaces with plenty of places to relax. There is a rooftop restaurant with terrace with excellent food and a generous breakfast buffet with the ability to eat outside overlooking the city and surrounding hills or inside in a very elegant restaurant. The pool is incredibly refreshing after a day in the old city and big enough to swim laps - unlike many of the ""pools"" at smaller riad hotels that more resemble a large (or not so large) hottub. Service is superb, with an attentive…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2022,5,The best days of my life!!!,Palais Faraj is just amazing!!! Can't mention a bad thing about this masterpiece... Especially the staff starting from receptionist which were very helpful and happy to assist whenever i needed something... To the guest relations Myriam who was fabulous in managing our dinners outside by giving us splendid options.. My suite was unique in terms of tile work and the means of comfort without forgetting the view overlooking the old medina.. really words can't describe how beautiful this building is. Thank youu so much for everything.,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 June 2022,5,"The visit to Chateau SPA FARAJ from Montreal, Canada","The SPA was very clean, the stuff professional and nice, they take care of their clients, they make sure that you leave from there happy, I did love my experience for sure Mrs. Saida is smily person, I think is is the manager she makes sure that the equipment is clean and the service is the best. Five stars",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2022,5,Amazing restaurant,"Amazing restaurant. Very good services, beautiful place, very nice garden, and beside all very good food. We have here the best food in Morroco. For sure there are a lot of very good restaurants but definitely this is one of them. Best tanjine, and all others selections we order have been very tasty and good. Services are ar the same level, very good.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 November 2021,5,Beautiful hotel,"We stayed in the beautiful hotel of yours, the staff was very friendly and helpful, especially at the reception, There is this particular cultivated guy who know a lot about the palais and the history. It was very nice, thank you everyone for showing us the moroccan hospitality",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2022,5,"A Palais to savour, enjoy, remember and definetly return to, magnificent in every way! Do not miss an opportinity stay !","Without doubt the most impressive place we have stayed in Morocco, from check-in, through tour of the Palais, to our toom, our smiles just got wider and wider. The staff on point, the roof top restaurant (great food & very resonably priced) and views, the bar, the ambiance, everything you could ever dream of and more!",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 August 2022,5,Wonderful!,"Great Location, I especially enjoyed the views. Palais Faraj exceeded my expectations was spotless the staff was amazing and the most comfortable bed I have ever slept in. Would definitely send clients there.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 August 2022,5,Wonderful Spa Experience,My wife and I very much enjoyed our spa services. The hammam and scrub are top notch and my wife’s massage was one of her best ever. Good communication for English guests and a wonderful dinner on the rooftop as well. Very highly recommended all around.,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 June 2022,5,The best stay I had,One of the best hotels I've stayed at! So good that we extended our stay here! The food was AMAZING! Room was so clean and comfy! Had the best rest there. Staff were so friendly and helpful! Would definitely recommend staying here if you are in Fes!,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 May 2022,4,Boutique hotel in a nice location with Moroccan decor.,"This is a boutique hotel . The decor is unique and very traditional in the Moroccan style. This is a nice hotel right on the edge of the Medina. You are close, but you won’t get lost trying to find your hotel unlike those in the Medina. The hotel did a nice job of turning a former house into a hotel so you feel as if you were staying in someone’s house in Fes. We had a lovely suite with lots of room. Most authentic Moroccan experience we could have. It is listed as a 5 Star property and the manager tries very hard to make certain all is well., but they aren’t quite a 5 star.We did have a package delivered to the hotel and had laundry service. Instead of placing both in our room, I had to go inquire at the front desk where both were. The telephone in the room is confusing…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 May 2022,5,Very happy with our stay!,"First, we loved the courtyard and pool area! We had fantastic service from Youssef, and ate there a couple of nights so that he could be our server. :) All the staff were great, especially the front desk staff! The view from the lounge and the restaurant is great! Food was very good. Our only complaint was that the pool was a little too cold for our liking.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 June 2022,5,Best place in fez,Wonderful hotel with a luxurious spa and restaurant. The staff were very kind and friendly. The hotel provides an amazona experience . We loved everything and we really advise everyone to try it and enjoy it,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 April 2022,4,"Beautiful, but some things hit and miss","Beautifully refurbished 19th century palace close to the medina in Fez and with nearly 360 degree views of the city. The décor in the public areas and the patios is really a feast for the eyes. We stayed in an Ambassador Suite, which was nice, but had a couple issues. The best thing was that it had a full bath and a powder room. The worst thing was that the full bath was small and extremely hot because of poor/no ventilation. Plugs - or the lack of - were an issue throughout and we only found one that was accessible in the whole suite. We definitely didn't want to unplug a lamp in the evening to plug in our phones because that would have left the room(s) darker than they already were. Our suite had a separate bedroom and living room. The television was in the living room and…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 May 2022,5,Excellent,"The staff is well trained,helpful and nice. Room’s are very pretty i had 2 different. Rooms are clean and well held.Very beautiful public places.The restaurant is one of the best we had in our both trips to Morocco. Great place to be. The hotel is placed in the heart of fez overlooking the old medina .",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 May 2022,5,Stylish,"Beautiful place, a real Arabic palace. Authentic with amazing details. Walking distance to the medina. Not too big but very nice pool area, never crowded. The manager always around, taking care of everything. Average breakfast. European (not Maroccan) drink prices. Overall - highly recommended.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 May 2022,5,Excellent stay,"More and better than expected.We had a great stay. The staff is well trained,helpful and nice. Room’s are very pretty we had 4 different. Rooms are clean and well held.Very beautiful public places.The restaurant is one of the best we had in our both trips to Morocco. Great place to be.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 May 2022,5,Amazing experience and very helpful staff,"My husband and I stayed at this hotel for a night. We booked a basic room at the hotel. However, when we got our room, it had a window opening to a wall. Therefore, the room had a very limited light. Due to the fact that I am a bit claustrophobic and get uncomfortable in a room like that, we got offered a suite with pool view without extra charges. This was very nice of the hotel as the suite costs more expensive. We had a great night there and also had a very delicious dinner and breakfast at the hotel. Only one improvement would be a head shower for the bathroom of the suite. There was a bathtub there but no head shower. Although, there was a possibility to easily mount a head shower which would make it more comfortable to take a shower. Otherwise the hotel is very nice with…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 April 2022,5,Amazing,"Very nice hotel, with great prices and very friendly staff,from the restaurant to the reception. Highly recommended L’Aamandier restaurant with both Mediterranean and Moroccan.Excellent service,nice ambience too",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 March 2022,5,A true palace in best location,"Professional friendly staff welcomes you to this palace. From the opulent entrance over the many luxurious public lounges to the beautiful rooms themselves (we stayed in suite no. 8) - you feel like in a different world. Breakfast on a terrace overlooking the famous medina of Fès, aperitif with life music in a nice bar, dinner in an elegant restaurant - its all perfect. We also chose this hotel as it offers free parking on its grounds and at the same time it is only a few steps away from the old town. Once suggestion to consider for a 5* hotel: When you come home from a day of sightseeing, we missed a sauna, a gym or at least the lovely pool be heated in March (instead of 1/2 h hammam at extra charge.) But its a small detail, we would definitely come again.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 April 2022,5,Outstanding Hotel,"My family just returned from a vacation to Morocco, and one of the highlights was our stay at the Palais Faraj. The moment we stepped inside, we were greeted by a fabulous signature scent in the lobby-- and the experience only got better from there. Our suite was perfect with little nooks to explore, and every design detail in the hotel is remarkable. The rooftop views are INCREDIBLE. In the morning, we soaked in the sunshine out on the terrace, and enjoyed a really fresh and delicious breakfast. And on top of all that, the staff was gracious, friendly, and helpful all around. I really can't say enough good things, and we can't wait to go back-- I love to travel, and it was one of the best places I have ever stayed!",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 April 2022,5,The Most appealing scenery in all Fez,"It's been more than 4 years that im coming To Fez, Morocco, the most spiritual city in the country, I just want to give a big shouting to the one and only PALAIS FARAJ that I'm proud to call Home once im in Fez. Thanks to the magnificent stuff for always exceeding expectations, special thanks to Mr.IBRAHIM , Ms.MERYEM & Mr.ABDELKARIM for their Extra Miles to make sure their guests get a VIP treatment, reflecting Five start customer service and beyond . it's indeed the wonderland of FEZ. Thank you again for great experience.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 April 2022,5,Travel agent,"Spectacular establishment, Staff very friendly and professional, Thank you Mr. Ibrahim for being such so professional, understanding and efficient. Until next time which I am sure it will be very soon!",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 April 2022,5,Luxury and Comfort,"What a spectacular hotel overlooking the old city and the Medina. A perfect location to explore Fez. The hotel is spectacularly beautiful with traditional design elements such as mosaics and hand knotted rugs. Whilst it may give the impression it was built hundreds of years ago it has modern plumbing, elevator, beautiful pool and amazing Moroccan and western food in the restaurant with a great view. Our room was a one bedroom suite, plenty of room, separate wardrobe and guest powder room. The quality of the finishes is excellent. The staff are incredibly friendly and multi-lingual, if you speak, English, French, German or Arabic they can accommodate you. We met the General Manager, Albrecht, who made us feel incredibly welcome. Chatting to everyone at dinner and making people…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 April 2022,5,THE MOST SPECTACULAR HOTEL IN FEZ . There is a reason Palais Faraz,"THE MOST SPECTACULAR HOTEL IN FEZ ! The entire hotel is a work of art, every room is stunningly beautiful, the food is absolutely flawless and the service incredible. The staff are genuinely kind and caring people who want you to have the best experience possible The staff are definitely the icing on the cake Palais Faraj is the ultimate hotel experience",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 March 2022,5,Exceptional experience,"Loved this hotel, Extraordinarily friendly and efficient staff, the reception and its employees are one of the best you can wish for, great restaurant,and a wonderful spa.Rooms are large and quiet, Mine had a nice view over the swimming pool and the patio,a truly wonderful and worthwhile experience!! we would love to come back!! Thank you for your great hospitality!!",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 March 2022,5,Wonderful,"Absolutely Wonderful, the view, the room, feels like a dream. The team very welcoming, the food was so good combining moroccan & international flavors.everything was just amazing in this palace i highly recommend it.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 February 2022,5,Hello,the hotel was so nice and comfortable with amazing view from the room the food was great and delicious all staff are friendly also the front office are very welcoming and excellent service 💚💚💯 Thank you for all,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 March 2022,5,A Nice Hotel,"My wife and I spent three nights at the Palais Faraj in early March 2022. Overall, it was a good stay. The hotel is built on the side of a hill and has a great view of the Fez medina. The area outside the hotel appears to be safe. But I never felt unsafe in Morocco – the people are very friendly. The building was built around 1900 as the Bensouda Palace, a home for the extended Bensouda family. It was purchased about 2000 and renovated into a hotel. The room we had was very nice, overlooking the pool. It was adequately large and the bed was comfortable. The Internet access was easy to connect to and adequately fast – I had about 38Mbps down and 15mbps up. The restaurant on the top floor was nice and the food was good. Service was a bit slow, however. The hotel had a…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 March 2022,5,"Mesmerizing, beautiful, well kept","It truly is sad this country was shut down for so long. This was by far one of the coolest hotels I have ever stayed at. I mean I should say Palace!!!! The rooms are all unique but what stands out is how well kept the grounds are and more importantly the nooks and crannies of the space. From the library to the piano room to the courtyard everything is top notch! The furniture, berber rugs, lighting and VIEWS are spectacular. Hands down, this is one of the coolest places I have ever stayed at!",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 February 2022,5,A truly upscale place to stay in Fez!,This is a hotel where people make an effort to personally get to know you and to make sure you are absolutely satisfied with their services! The hotel is steps away from the Medina. It has a very elegant architecture and decoration. Our room was extremely comfortable and beautifully furnished. The breakfast was very rich and satisfying. The restaurant was located on the top floor and had great view. The food was amazing and the service impeccable. Overall this hotel meets very high standards and I would recommend it without reservations. You can not find a better choice!,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2021,4,Great views and traditional rooms!!!,"We stayed with a tour group for three nights at the Palais Faraj Suites & Spa and loved it. The property had some much Moroccan charm, both the common areas as well as the guest rooms. The food and service were exceptional. We enjoying the use of the pool and was a fantastic way to cool down each day! Fun to also see a couple resident cats!!!",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 November 2021,2,Beautiful but painfully loud,"Beautiful, clean hotel but painfully loud. Can hear every noise throughout the entire hotel. Rooms are large and traditional Moroccan design. Do not expect wifi. Would not stay again or recommend based purely on how incredibly noisy it is. Too bad.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 November 2021,5,Nice spot in Fez for a drink,"Really nice bar on top level of Palais Faraj Hotel. One of the best views of Fez, specially at the sunset, don't miss it if you can. Nice and professional staff, very good atmosphere and a super Gin on the rocks, highly recommended.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2021,5,A great hotel that captures the essence of Fes,"One of the most memorable hotel stays. Great location, food, staff, amenities contribute to the experience. Our arrival and check-in experience signaled a different experience to what we're used to and it got better from there. Our suite was amazing with ample space and authentic decor, capturing the essence of Fes. The location adjoins the medina so it's walking distance if you want to. The hotel GM, Albrecht, was always present and engaged with the guests. Highly recommended",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2021,5,Great experience,"Food, service, amenities and staff were all first class. Our suite was stunning, with tiled floors, carved walls, and painted ceiling. No request was too much trouble. The hotel itself is quite beautiful with many gathering rooms and alcoves. The location is perfect, right on the edge of the Medina.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2021,5,Excellent,"Excellent food in an overwhelming old palace. Amazing view from the terrace restaurant. Service flawless, always attentive. There is nothing better in Fes and, of course, it’s not for free. But it is still a lot less expensive than a 5 star experience in Europe.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2021,5,Great Hotel Reflecting the Beauty of Morocco,"We stayed with a tour group for three nights at the Palais Faraj Suites & Spa and loved it. Loved the Moroccan charm of the hotel and rooms, great food and exceptional service. Use of the pool was a fantastic way to cool down each day and the fabulous breakfast a great way to start the day. Will definitely return to this hotel and advise it for others.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2021,4,Elegant characterful hotel,"We spent two nights in this delightful sparkling clean property and would have stayed longer had we not had previous commitments.First impressions are of a property that radiates charm and elegance in a fantastic Moroccan style .The property is very conveniently located near the Medina and Jewish quarter with a range of sights , shops and restaurants, that aside check in and out is very efficient and friendly as is baggage and parking service. Our suite was attractively presented , individual rooms were not very large but overall the suite was spacious and well equipped unfortunately connectivity is not very good . Sleep quality was excellent with very good quality linen on a comfortable bed. The bathrooms reflected the same quality as the main rooms with superb quality…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 August 2021,5,Excellent Dining with very friendly service,I came with a group of 12 to have dinner at one of the locations with the best views of the Medina in Fes. The staff were very welcoming and friendly. The food was very authentically Moroccan and delicious. I managed to try four of the items on the menu at subsequent visits and all of them tasted amazing. Having dinner with a live calming Moroccan Oud playing in the background is definitely an amazing way to spend your evening.,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 August 2021,5,Absolutely Must Stay!,"Last week, I had the great pleasure of spending 8 glorious days at the Palais Faraj in Fez, Morocco. Initially I had planned to spend just two nights here, but then after experiencing the amazing hospitality and luxurious surroundings of the Palais, I decided to extend my visit. This beautifully appointed riyad combines the best of modern decor juxtaposed with artfully installed and beautifully hand crafted traditional mosaic tiles. Most rooms seem to overlook the main courtyard and pretty azure tiled swimming pool. My room was a beautifully appointed suite, with its own gem colored living room, and an adjoining main bedroom situated with a very comfortable king-sized bed and modern ensuite, walk-in closet and additional half bath. But as beautiful as the Palais was, the staff…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 March 2020,5,Amazing Amazing Amazing,"Breathtaking palace building, service second to none, staff could not be more helpful, very close to old town for amazing walks, stunning grounds, and world class Spa. If you are coming to ages - stay here - it’s as simple as that",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 February 2020,4,Palatial,"If you like big, impressive, palatial spaces, easy access (you can drive up in a car and forego getting lost in the medina) then this is your place. Super amazing breakfast buffet with outstanding service, very large suites and swimming pool. It is NOT small, dainty, authentic nor exudes a residents feeling, so expect also quite a lot more travellers around you, sometimes even larger groups. Style is a bit out-dated, glossy wood and heavy furniture, so quite masculine, but you do feel very well taken care of with the ever efficient and smiling team.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
