 December 2022,5,Wonderful hotel close to many things,"We stayed as a family for 3 nights on the Tangier part of our Moroccan vacation. This hotel was across from the train station and Tangier city mall and a block or so south of the main Tangier beach and boardwalk, so easy walking distance (1/2 hr or so in either direction) of the marina and Malabata area. Room was very comfy and modern, nice size pull out bed for our daughter. Nespresso and water in room free of charge. Breakfast was good, lots of variety. Front desk arranged a tour for us with a guide, which was fantastic and hit all the sights we wanted to see. The bar could’ve been a bit better, but we were able to get a cold beer and a glass of wine. Overall a great hotel!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 October 2021,3,"Just okay, nothing special.","This is your typically business hotel. Something you company would book if you had a short business trip. I would not call this hotel a 5 star. This is a 3 star by all standards. The price of course reflects this. If you are staying in the city a couple night then it’s okay but I couldn’t spend a week here. Staff is friendly, decently clean and breakfast was okay. Otherwise, a three star experience.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2021,5,Welcome home,"From the first moment you enter the hotel until your departure, you are not only a guest, but the master of the house. The hotel and facilities are first class and constantly maintained. The interior is a very chic design, everything seems to be coordinated. The spa and wellness area is just world class, a great atmosphere for sauna, hammam and your wellness :) The rooms are equipped with all comforts, and for little surprises the friendly polite and courteous staff is always around. A perfect team that is second to none. Reception, lounge, restaurant and especially the breakfast buffet. Simply a dream. You have the feeling of individual care by professional staff, who read your every wish from your eyes. Pure luxury. This rating goes to the entire staff, which was unanimously…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2021,1,Horrible Hotel,"I would give 0 if I could! Absolutely disgusting.. first room was promised with sea view got placed infront of noisy main road! It was dirty mouldy bathroom and broken dirty fridge. Went to speak to the staff lying and rude saying they were full, as soon as we say we want a refund they found us ""magically "" a ""better "" room! Managed to get another room after arguing about it for ages .. and then the worst thing happened to my husband, he got stuck in the lift with no oxygen for more than 40 min until someone came to help.. if it wasn't for my parents in law and other room guests my husband would have died in that lift. Even the rooms telephone had no signal so there was no way to call for help! No one came to help! And then as an apology they offered food for free! And made…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2021,4,Very good city center hotel,"very ggod hotel in the city center, where a car is not really needed. the rooms space is great, clear, and comfortable. The breakfast is good too. for negative points, I feel the hotel quite crowded and under staffed, with a need to wait to be serviced sometimes. In overall, we had a good stay.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2021,1,Objective feedback,"I will be very objective in my feedback, I have made several hotels in Morocco of different categories. I spent three nights at the Royal Tulipe and it does not deserve its 5 stars, it is at most a 3 stars. the quality of service is very low. the food is cheap. the room service is very bad, the reception is not professional. the breakfast which is included in the stay is of very poor quality, you can eat in a cafe better than that. the hotel is soundproofed there is traffic and there is noise from outside. the wifi is very bad I had to work on my data. It is a pity that a hotel to be well located is to degrade that its level of reception, rooms, catering. the hotel is expensive compared to the other hotel whose quality is 10 times better",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2021,5,Outstanding service and wonderful view,"Houssaine the Concierge and Mohammed the bellhop were just outstanding in their helpfulness and kindness. I had a great view with a balcony overlooking the ocean. The room was spacious and comfortable. The bathroom was modern. The gym was quite large and they had fun classes. I enjoyed my massage, along with the pool and sauna (they could be a little quieter in the spa area as there were staffs taking loudly outside my massage room for half the massage). Breakfast was plentiful, and they made efforts to provide me with Vegan options. Houssaine even sent me up lovely flowers and a fruit platter. I'll definitely be back!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2020,5,Great hotel,"I was there in january with my husband. We’ve booked 5 days. First we had a normal room. After a problem they did not only gived us a suite, but they also sent us flowers and a really sweet letter ( i think here name was hajar who wrote the letter) i also really want to thank Saad, he called us a 3 or 4 times to make Sure everyting is fine.believe me, i went to a lot of hotels in tanger, but this is the best. They really listen to the visiters and do the best they can to make sure you enjoy your stay. At The breakfast you have a lot to choose.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,5,Perfect,I was planning to stay just two nights in this hotel. It was ended to be four nights. Location is the best in Tangier. Breakfast was amazing. When it comes to staff they were the best part of my stay. Mr. Yassir is one of the most enthusiastic and supportive hoteliers i have ever met. He gave me precious advices to discover Tangier the best. Mr. Ahmed & Mr. El-Hassan were very nice and professional. Highly recommended hotel for all types of travellers.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,5,"Outstanding Hotel, Better Staff","We were making our way north from Marrakech eventually leaving to Spain from Tangier. We stumbled upon the Royal Tulip City Center because it was near the train station. Our intent was to stay one night and search for other hotels in the area; we ended staying at the Royal Tulip all three nights. We were in a large comfortable room on a higher floor with views of the mountains. Since we wanted to travel to Chefchaouen, Hajar at the front desk arranged a driver for a day trip there. She was charming and beautiful and loved practicing her English with my wife. She seemed genuinely excited when my wife asked to extend our stay. All of the staff was wonderful. Hussein, the evening desk clerk, made sure we had transportation to the Tangier-Med port when our ferry from Tangier-Ville…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,5,The best in town,A great hotel with extremely friendly staff. Very generous and welcoming. Especially Mr. Hussein. I highly Recommend this facility and it is definitely worthy. Located in a great spot near the see and many cafés.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2020,3,Okay stay,"We stayed for two nights--and, that's one night too many to stay in Fez. We took a taxi from the airport to the hotel and made the mistake of not deciding on a price before they took us. Upon getting out of the taxi, we tried to settle the bill, and the driver tried to pull one on us, but the concierge helped us with setting things straight. So that was nice. We got in around 21:00 or so and were only given Moroccan tea on our arrival (some people have said a snack, too?--we didn't get any and were super hungry.) Check-in was simple. Bell hop took our suitcases to the room. Our room was HUGE and HOT. This is December, why in the world is it so hot in the room? Glad that we could open the patio door. We kept it open all stay. The AC wouldn't work. Our bed was comfortable and…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2020,1,New Year's Eve Fiasco!,"We spent four nights at this hotel over the New Year's period and bought tickets for the hotel's New Year's Eve dinner and party. What a disaster! After asking several times when they would begin serving the dinner for New Years, I was told 9:00 PM. We arrived at 9:20PM, hoping we wouldn't be too late or too early. We were too early by three hours as it turned out. We sat down and after an hour we were presented with a chocolate bon bon. Weird. Then about 30 minutes after that we were presented with a martini glass half-filled with a cold seafood bisque. No spoon, you just had to find a way to gulp it down. It got to be around 11:30PM with no other food presented to us, and we had gone through several stages of denial, anger, acceptance to the whole nightmare, when they…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,5,Everything was just perfect,"PROS: - Top design with spacious and modern lobby - The view of the waterfront was amazing, in the morning hours we could see clearly the Spanish coast of another continent - The attached gym has its own building and two additional class rooms (spinning and yoga), fantastic Tchnogym equipments - Perfect breakfast buffet with everything we wanted - Superb service —> highly recommend!!!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,3,Good hotel for short stay,"I have stayed only 2 nights , the breakfast was great but the dinner need some improvement to have more variety like rice and macaroni The reception was really nice but my room was city view which was little bit boring",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,5,Highly recommended,"I had the pleasure to be guest in Royal Tulip, Tangier, Morocco. I will use this hotel again next time, higly recommand. Thanks to Ms. Hiba i have a new understanding of Hospitality management, Manner, Professionalisym and taking royal care of the customer! Please Thank your employees for their hard work and consider, without them this can be quite ordinary hotel.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Best hotel we had in Morocco!,"Great hotel - spacious room, very clean and nicely designed. We stayed with a group. Breakfast was plentiful and versatile - very tasty! Great location! Very good service, friendly staff. We spent 10 days in Morocco - this was our best hotel in Morocco! Highly recommended.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,5,Excellent !,"We very very much enjoyed our stay at Tulip hotel. We were very warmly greeted with delicious mint tea and pastries and helped out with our lugagge. The staff are great, big congrats for the attentive and helpful staff ! Location is excellent! We felt so good! The room was perfect, the view amazing, the breakfast so delicious. We loved our stay, will definitely return!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,5,Beautiful hotel with an amazing staff on our first time to Morocco,"This is our first time to Morocco and we could not have been more impressed. The hotel had luxury accommodations and was very clean. The staff was very kind, generous , and gracious. They were very eager and willing to help us. Reception helped us the most; we asked for recommendations regarding restaurants and sights around Tangier and we’re not disappointed!. They called us taxis whenever we needed and even changed our currency for us. Meryem ,one of the receptionists,was a huge help to us. She was so kind and helpful, and answered every question we had. You can easily tell she is passionate about her work and was eager to help. The food was excellent and room service was easy and quick. Wassima was also a very helpful receptionist and helped us feel at ease and excited for…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,3,Nice Hotel Good Service,"I stayed in this hotel on a 9 day business trip to Tangier. I found the accommodation to be neat and tidy, with all of the services I needed. There are two main restaurants. One is a buffet at a fixed price and the second is an al la carte restaurant. The buffet is excellent with a wide range of starters, entrees and deserts. However, the coffee machine is not available. Vasco, the al la carte restaurant is excellent also , with a good choice of fish or meat. On a slight downside, I found the room cleaning service a little lacking. As:- - Carpet not vacuumed daily - Used bathroom items not removed. - Only one sachet of Nescafé left daily, which is a little mean! - No coffee whitener/ milk sachets to accompany room coffee. There’s also a bar which specialises in…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,5,"Great Experience, a true 5* in Tangier","Nice experience. Smooth check-in process, welcome drinks. A special thank you to Saad Boumraya, the Rooms Division Director, for it's warm welcome and for upgrading one of our rooms to a Suite, we were a family of 4, so it couldn't be more timely. Rooms are clean, cozy and spacious. Staff in general was nice and ready to help at any time. Easy check out. Great service all around. This will definitely be my go to Hotel any time I am in Tangier. Thank you !",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,3,Friendly Staff; Not family friendly,"The staff was very friendly. From the receptionist to the poolside waitress, we received friendly and helpful service. The room was clean. The amenities were nice. We enjoyed massages at the spa. Breakfast was ok. The music at the pool was very loud, and although there were primarily families at the pool, the music was very inappropriate. Not only was it filled with curse words, but it was also very explicitly sexual and raunchy. At dinner, it was a bit difficult to enjoy the meal because of the little children running around the restaurant without any supervision.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2019,5,Clean and friendly staff,"The location is centrally located, the room was very clean, and the staff were friendly and courteous! Additionally, the breakfast was out of this world, one of the best hotel breakfasts I've ever had and I've stayed at a lot of hotels! I highly recommend staying at this hotel.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2019,5,Enjoyable Family Stay,"We booked one week in this hotel, It was an enjoyable stay, perfect location, room was clean, big with comfortable beds & nice balcony, the staff were so kind, the receptionist Yessir, restaurant manager Noufel, smiley waiter Ismail, lifeguard Sofian & housekeeping lady who kept our room to high standard every day, leaving chocolate & flowers in our room made us feel special. Hotel downside, it should have more variation in fruits especially when you are in country like morocco, music was little bit loud afternoon & should include more kids channels. Overall the experience was brilliant as family, we will definitely would stay there again & recommend it to family & friends.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2019,5,Beautiful hotel,"I stayed here for 4 nights in June and have to say the hotel is absolutely fantastic, food was beautiful, pool was great, all the staff were brilliant. We ate in the al a Carte restaurant one night and the food was out of this world , would definitely recommend it. The staff were really good if you needed anything and always there at your beckoned call. I can also recommend the brandy and cigar bar, it has a great relaxed feel to it and the drinks are reasonably priced with a great selection. I think I will be back soon on another business trip and will definitely book into this hotel again. Fantastic place",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,4,Very pleasant stay,"The staff were fantastic, highly professional and welcoming from reception check in to the house crews. The room was lovely and very comfortable, spacious, bright and with a balcony to 'people spot' from. Plenty of coffee/tea in the room and bathroom complimentary toiletries too. Shortly after my check in, the floor manager checked that everything was to my satisfaction. I don't know who was more surprised? Either me about being asked or the floor manager finding me in my jammies mid-afternoon. I didn't eat in the restaurant that evening, however went down to breakfast by 0815 ( early by my standards!) the next morning and found the buffet a bit lacking as they had obviously been very busy before I got there. That said, the waiting staff were tremendous and made sure that I…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2019,4,A pleasant stay,"We stayed last week 4 nights in this lovely hotel. De staff was very kind, especially two of them, unfortunately i don’t remember their names. One was a man who was working there at the 2nd of June in the morning, and the other one was a girl who was working the 30th of May. This girl gave me so many good advices for places to visit. The staff at the breakfast room was very kind too. The room was very clean and the view was great. We had an upgrade, what we loved of course:) Two points of critic; There was a misunderstanding about the dinner. I thought dinner was 340 dirham for two person (one adult one child) but it was for one person. That’s very expensive, especially when one of us is a child and the other one vegetarian. But they solved it very slightly. So thank you for…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,2,Not 5 star hotel reception/restaurant - Reception et restaurantes pas au nivex d'un 5 etoiles,Positive: + Room with balcony Negative: - Reception/Conciarge: The reception is not good in turist advices and it is practically absent in any assistence after sales. - Restaurants: There is only one restaurant in the evening and the service is very slow. - Swimming pool,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,1,Bad Experience!,"First 5 star hotel where we got stolen our money! We were three girls travelling from Spain and booked a room from May 4 to May 5. First even though there is indoor pool at the hotel, you have to pay in order to use it! So we paid and entered and put our bags in lockers . After being in swimming pool and massage (also paid) we took our bag and only in the evening during dinner found out that there is no cash left in the bag. As it was hidden in the wallet under bills from shops it could not fall. After we went to check the room if everything is ok, we realized that from a bag of one money has also disappeared. We went to the reception to ask about the clarification for which they said it is issue of spa department and we should come here in the morning. Ok we waited the morning…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,5,An amazingly beautiful hotel,"i went to this fancy hotel, my friends and i to enjoy a tea corner that they have ( el momento ) , my 2 other friends slept in the hotel and they find it very nice , it’s a new hotel where the food is delicious and the personals are professional & kind !i highly recommend it.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,5,X.O Bar,Located in the Royal Tulip is a piano lounge called X.O Bar. Naoufel and Mohamed Guenouni made our night caps pleasant as we listened to the amazing piano player. The hotel is very nice but this was the icing.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2019,5,Excellent hotel,"I spent two night in this great hotel with very professional staff. The service was fantastic, the facilities are clean and room is very convenient. The hotel is situated in a very touristic area, walking distance to the beach and a mall. As the parking space is limited, we came late in the evening but the staff took care of the car. The breakfast buffet is awesome with variety of Moroccan food. I recommend this hotel.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,4,Very comfortable hotel,"I have stayed in Tangier many times in other hotels and areas. This was my first stay in this one and in this area. No regrets whatsoever, on the contrary, i'll be back. Nice staff, large comfortable rooms, incredible breakfast, good hammam... Everything to make your stay an enjoyable experience is there.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,5,Awesome stay,"I loved this hotel. Centrally located in the city centre and close to malls, the corniche, restaurants, cafes and the train station. Tangier now is only 2 hours from Casablanca by LGV (high-speed train). The room is very nice and staff are friendly. All rooms have balcony.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2018,5,Best staff and service,"The Royal Tulip is situated very close to the train station and mall. The rooms are beautiful, clean and the hotel provides free breakfast. Best of all is the staff--specifically Sabrine and Ahmad. They helped us get acquainted, gave us restaurant recommendations, booked tours for us and were just so friendly and pleasant. I can't say enough about how great the staff is.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2018,4,"Disappointed walk-in, management made it up to me","I'm a regular here and have previously left a glowing review. Disappointed last night to arrive as a walk-in at 8pm and being quoted the same price as any other customer, despite clearly signaling I'm a frequent customer. Complained on TripAdvisor and directly to management the next morning and I received the apologies I wanted and a complementary upgrade. The management, specifically Mehdi, was very attentive and responsive to my complaints, which is ultimately the best one can expect. I still recommend the hotel.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,5,Most Friendly staff,I had the best experience in Royal Tulip Tangier. At the check-in they gave me a free upgrade to a see view room. Whenever I called the reception they were always available and friendly. I totally recommand this hotel for its staff and luxury sercices.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2018,5,"Very good hotel, close to railway station","Very good hotel, close to railway station. Good amenities (restaurants, bars, wifi/internet, concierge service). Rather calm, not too far from city center and medina. Large choice of food and wines. Taxi service on request.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
