 February 2021,3,Solid budget lodging,"This riad provides basic, simple accommodation for a very reasonable price. It is not fancy at all, though the decor is pleasant and the rooftop terrace is nice. My room was small but what I needed for a quick 2 nights, and had a private bathroom en suite. The curtains didn't really block out enough of the ambient light from the medina outside, so if you're light-sensitive that could be tough, but I was able to sleep through that just fine. However, even with the current curfew in place, there was a lot of noise from outside in the evening, and someone was banging really loudly at about 2am one night. Not sure if it was on the door of this riad or someplace else, but it went on for close to half an hour and kept most of us in the hotel awake, as I could hear others talking and…",hotelName,city
 January 2017,5,Amazing staff,The hotel is situated in the heart of the medina but tricky to get to but once you find it you will realise everything is seconds away from you the beach is 5 mins strolling pace away lots of places to eat and drink but the staff at this hotel can't do enough for you we came here for 10 days and are on day 7 so far so we are still here but it is a great place to stay there is no tv in the rooms but when your here last thing you want to do is watch tv but overall very pleased with this hotel,Riad_Le_Grand_Large,Essaouira
 June 2016,1,Double charged - ripped off,"I stayed here in a double room for 3 nights in June after making my booking through booking.com. Upon check out the hotel receptionist requested I pay my hotel room charge in local currency (dirhams) despite having in advance my MasterCard credit card details through the booking.com site and I was happy to do so. However it was not until I obtained my credit card statement that I realised that the Riad had charged my credit card as well for the 3 nights accommodation. All efforts made direct to the hotel and also through booking.com over the past 5 weeks have proven unsuccessful. Obviously the receptionist found this an easy way just to pocket a lot of money, so I would caution ever staying or using this Riad based on these practices. I am also now somewhat hesitant about…",Riad_Le_Grand_Large,Essaouira
 April 2016,5,one night in Essaouira,"I love visiting Essaouira, I am a big fan of Morocco. I have never spent a night in Essaouira so on a recent visit to Marrakech, I looked at the prices of a Riad for the night there. So cheap!!! my friend and I booked travel through SupraTours, cost around £7 one way. the Riad is easy to find and in the heart of the Medina. Its a beautiful place and the atmosphere was wonderful. Stayed in a twin room which looked out over the Medina. The staff were friendly but not English speakers, that always makes it more fun and challenges you to use another language. the room was tidy, clean and perfect for our needs. the beds were comfortable. Breakfast was amazing, filled up nicely and lovely fresh orange juice and good coffee!",Riad_Le_Grand_Large,Essaouira
 February 2016,3,Really not that great,"The place is cheap which is great. The rooms however are quite ugly and problematic. Both rooms we checked, the windows had huge gaps and didn't close well. This means that on the (really) cold February night we had to turn the heater to the maximum, cover with two bedcovers and close the curtains to partially stop the crazy flow of cold air. Also the windows are so thin that you can hear everything on the street below. Staff was accomodating, breakfast nice and the terrace is quite good. But nothing really like the photos you see here or expect from the reviews. We stayed at other Riads for a fraction of a higher price which make this one look like a run down motel. Would not suggest it further.",Riad_Le_Grand_Large,Essaouira
 February 2016,4,Very nice and clean...,"We had One night there... the house is simple but clean... good and comfortable bed... maybe a bit hard. . But we like that.. Basic but good breakfast... booked over booking.com and paid 19€ for the Room for two people... good price for what weve got... nice people that running the riad. .. Service in french, they dont speak english...",Riad_Le_Grand_Large,Essaouira
 December 2015,5,Great place and amazing value for money!,"I booked a twin room for one night and when we got there it was so nice we decided to stay a second night. Communication with staff is a little tricky in english (everyone speaks french and arabic) so we had a bit of a miscommunication about our second night - but then they upgraded us to an even nicer room! The staff were really nice and helped us to find a great hammam and cooking class at Villa Maroc (highly recommend). Breakfast on the rooftop is simple and great and served with a smile :) oh, and it was good value for money! It's also only a 15 minute walk from the bus station.",Riad_Le_Grand_Large,Essaouira
 November 2015,5,mint tea upstairs in the terrace,"the staff is very kind. on our arrival we were welcomed with mint tea upstairs in the terrace :) in generally the room was spacious and clean. fresh bedlinen and towels. great breakfast - delicious and fresh. good location - easy to find, medina, not far from the ocean.",Riad_Le_Grand_Large,Essaouira
 October 2015,5,Stay,"Nice riad with very nice people. Good value for money, they clean the rooms daily and the breakfast is good (and included in the price). Location is perfect in the medina, would recommend to stay here! We also did the cooking workshop to know how to cook a tajine which was fun. Don't expect it to be difficult though ;)",Riad_Le_Grand_Large,Essaouira
 August 2015,3,not the best place...,"Stayed there for 2 nights. I was charged for one night in advance, but during the checkout the host insisted that I was not charged and therefore I should pay for 2 nights. After lots of arguing he finally agreed. So, if I hadn't checked my bank account, I would have overpaid. Soon after arrival I noticed that my wallet is gone [I had it in my hand, so there is a small chance that I dropped it just before entering the riad. Therefore cannot say for sure that it was stolen.] The sign of the riad is very high, there are no markings on or near the entrance door. No A/C, thankfully it was not hot in Essaouira [in August]. Just 2 power outlets in the room [and if you use a lamp, that uses one of them]. The sheets/room felt damp. The bathroom is small [shower and sink are almost…",Riad_Le_Grand_Large,Essaouira
 August 2015,5,"Great staff, great location :)","Purely by coincidence, we heard about this lovely place the heart of the medina in Essaouira. We planned to go from Taghazout to Essaouira and another couple we met recommended this place to us. It was one of the nicest places we stayed at of our two weeks travelling. The location is absolutely perfect, the beach is walking distance and if you are looking to go on a camel/quad trip, the staff can arrange this for you. The breakfast was great and the ladies who prepared it were delightful, always friendly and helpful. Our first night we spend at the roof terrace room, which is absolutely great. The second and third night we spend in a room on the third floor with a view onto the bustling street of the medina. Because of its location, it can be quite noisy at the night (in the…",Riad_Le_Grand_Large,Essaouira
 July 2015,5,A Riad with a Grand large heart.,"Great value Riad in a wonderfully central location, staffed by truly lovely people. The staff are so kind, warm and willing to do anything to make you happy. The staff keep the place immaculately clean, provide delicious filling breakfasts (included in the price) and are very informative and helpful. The rooms are well-spaced, very well kept and are cleaned obsessively every day. The Riad itself is situated one one of the main tourist thoroughfares in the Medina and is very accessible in terms of getting to and from the beach, and around the rest of the Medina. The rooftop terrace provides a lovely space to chill and appreciate the city from above. All in all a wonderful choice if you're staying in Essaouira.",Riad_Le_Grand_Large,Essaouira
 March 2015,5,Lovely riad,"We stayed here 3 years ago. On return to essaouira we looked at a few other raids before returning here, the staff a lovely and the street itself is right in the heart of the medina. We love this riad and would recommended it. The riad is old with open wood beams, high ceilings and carved wooden painted doors. The cleaners are excellent and the staff are very helpful.",Riad_Le_Grand_Large,Essaouira
 March 2015,5,"Lovely people, good location, nice breakfast","This place has a very friendly feel and represents very good value for money. It is right in the heart of the medina (so don't expect it to be super quiet), but the beds were comfortable, the rooms clean and the breakfasts on the terrace great (you can't beat Moroccan bread and honey or orange juice squeezed on the spot). All in all, we had a great couple of nights there. If you arrive at night by bus (as we did), its probably worth taking up one of the many offers of assistance you'll get at the bus station - as finding your way round the windy streets of the medina can be a challenge.",Riad_Le_Grand_Large,Essaouira
 November 2014,5,Loved it,"Even if I had to walk up some 50 steps to get to the terrace it was worth it. Located in the midst of the Medina it is not easy to find, but that is how it goes in the Medinas. The room was lovely, the service good, could have stayed longer if they were not already fully booked. Very good value. So had to move on to another Riad.",Riad_Le_Grand_Large,Essaouira
 November 2014,3,"Nice location, great breakfast, good price","We booked this Riad for our one night stay in Essaouira and we were satisfied with what we got. The location is great in the middle of Medina. We had 3 rooms (7,8,9) on the top floor and the rooms were quite OK. One of them had no window to the outside but only to the inner staircase which resulted a bit of a bad smell inside the room but was tolerable. The rooms and especially bathrooms needs a bit of renovation but are clean and suites basic needs. Breakfast on the roof terrace was amazing and huge...all the staff were extremely polite and friendly. Price-Performance ratio is great especially if you are in the town just for a couple of days and you manage to get Booking.com price of 23€ per room/night with breakfast included :-) Normal room prices are a bit high from 48€ per…",Riad_Le_Grand_Large,Essaouira
 October 2014,4,Nice location - noisy in upper bedroom,"This riad is in a great location in the heart of Essaouria, close to all the windings streets and cafes, and not far from the port and beach. The breakfast was lovely and the staff were friendly. The only thing that let it down was that the top room (where we stayed) gets a lot of noise from seagulls ALL night - so I really would recommend that you choose a room on one of the other floors.",Riad_Le_Grand_Large,Essaouira
 October 2014,1,Had to leave after one night,"We had booked to stay for 7 nights but had to leave after one night. A group of men congregated outside our room, sniffing glue, smoking weed and drinking. The noise became unbearable, so got dressed and went to reception, security said this happens all the time and the police do nothing, he did ring the police straight away and they did nothing!! I got very little sleep and to see the men in this state was not a pretty sight. We were offered to wait until 12 noon to see if another room may become available. But decided to get out ASAP as we didn't feel comfortable in the hotel. We paid for our one night stay, should have been €37 but was charged €43, the receptionist was very rude and we were grateful that we decided to leave. Staying on a very nice hotel nearby in the Medina…",Riad_Le_Grand_Large,Essaouira
 October 2014,5,Great for the price,"We stayed for two nights and booked through booking.com. The staff were friendly and the room was clean and spacious. For the price (bout 25 euros), this hotel is a steal! Just be prepared not to get a great nights sleep, but this is probably the same anywhere in the Medina.",Riad_Le_Grand_Large,Essaouira
 August 2014,2,good location. fair price.,"We stayed for 2 nights. When we arrived at this Riad, the receptionist told us ""hot water is not working at the moment, but it will recover at 10pm"". But when we came back from a short walk around 11pm, not only the hot water, but the shower itself did not work! It happened quite regularly during our stay. When we went to the reception to complain about this, the girl told us that it is same everywhere in Essaouira.., but we doubt it. Wifi worked Okay. The breakfast was just average. The room was tidy but small, nothing like you see on photos. Location is great in the middle of Medina. When we asked about Quad activity to a guy at the reception, he did not know and had to call to another guy friend of him to explain to us.",Riad_Le_Grand_Large,Essaouira
 August 2014,5,"Great place, great location.","We stayed here 2 nights, lovely breakfast on the gorgeous roof terrace. Great place for chilling after trekking in the high atlas. location of hotel in centre of old town meant a little noisy at night but we liked being in the hustle & bustle of the city. Not far to walk from supratours bus stop which was handy. Also not far to walk to the harbour & beach. lovely staff and a nice room.",Riad_Le_Grand_Large,Essaouira
 November 2013,5,An amazing find,"Great hotel with a fantastic location, very easy to find.It is in the middle of Essaouira , next a commercial street.Walking distance to bus station, short walk to beach, harbour or city walls. The staff was wonderful, very attentive and helpful with every tourist. The breakfast was the best in my Morrocan trip, very tasty and fresh.It was served on a splendid rooftop terrace with a lot of comfortable chairs.Some sea-gulls will try to eat some food in the same place. My room was basic but I had a lot of space for me and my bag.Very clean room and comfortable.Wifi was OK.I had hot water all the time in the shower.No lift. It was a little noise around the hotel but the place have a relaxing atmosphere . I had a lovely time here and wished I was staying longer.",Riad_Le_Grand_Large,Essaouira
 May 2014,3,Central location,We stayed two nights at the riad. It was about a 10 minute walk from the bus station and we only got lost once but people were helpful and showed us where to go. The sign for the riad was only facing one direction and of course it was not the direction we were walking. Upon our arrival we were given a glass of mint tea that was very good. The room was comfortable and had a view to the side street which also created a lot of night noise. People were outside talking until 2 AM and we could hear everything they said so not a lot of sleep. The shower in the bathroom had no lip around it so when you showered the bathroom floor got wet. The location was on one of the main streets in the medina so the location was great. Breakfast on the rooftop terrace was good but slow. Three kinds…,Riad_Le_Grand_Large,Essaouira
 April 2014,4,A good place to stay,"We spent 2 nights at this raid. Before arrival we had sent them an email asking them if they could book a taxi for us from Agadir airport since we had no other means of getting to Essaouira. The taxi driver was waiting for us at the airport and we had a pleasant ride. The riad itself is in the middle of the medina, easy to find and easy to get back to anytime. We were in room 6, which was a family room ( we had only asked for twin), with two single beds and a double. It was a good size room. Since the room overlooked the street side it was very loud, but all in all it was an enjoyable stay. Breakfast on roof terrace consisted of omelette, jam, butter, different types of bread, orange juice and coffee. They also helped me find a place for a massage. I would recommend this riad…",Riad_Le_Grand_Large,Essaouira
 March 2014,1,Look elsewhere,"Unfortunately, we were bothered by construction noises in our room and could not use it to take a much needed break from the sun when we returned to the Riad around midday. Also, we had no water to take a shower on several occasions, and the shower head had no wall mount so you had to shower one-handed. Staff were unable to amend these problems, and would not agree on a discount. Hard to take seriously when basic needs like rest and shower can't be had. 1/5, 1/10, 1/20 and maybe 2/50.",Riad_Le_Grand_Large,Essaouira
 February 2014,5,Excellent Riad in Essaouira,"Centrally located Riad with comfortable rooms, good breakfast on roof terrace, staff were friendly and helpful, mint tea on arrival. The room was on the small side for a triple but bathroom was good with plenty of hot water",Riad_Le_Grand_Large,Essaouira
 June 2013,5,Great place to stay,I stayed here with a friend for a week a couple of years ago for the music festival and a few days to chill. It was quite hard to find and it is worth paying a porter to help you with your bags etc. We were given a room on the top floor of the terrace and seemed to have the terrace to ourselves for a few days. It is in the middle of the medina and close to the main squares and sea. We were greeted with tea and biscuits each afternoon and breakfast was served daily on the veranda by the two most friendly ladies. On a couple of occasions we chose to eat dinner at the hotel and the food was all fresh and good. Our room was of a good size and very clean. We loved our stay and I am only sorry to the owners and their wonderful staff that I have not got around to posting this…,Riad_Le_Grand_Large,Essaouira
 June 2013,4,above average,"this has some bad points, but the kindness of the staff compensate, for example the room was not ready by 14h30, but the man in the reception cooked us moroccan tea to apologize, which we really appreciated. the standard rooms are so small that I felt I would lack oxygen during the night, and the sunlight enters the room unavoidably at the morning due to the light curtains, so I, like many other previewers here, woke up many times since dawn. Overall, it is a good place for the price and for the location.",Riad_Le_Grand_Large,Essaouira
 December 2012,5,Simply Awesome,I had the large room to myself. 1 single bed and 1 queen. In the heart of Medina. Just below my window where I can witness all the happening of the medina at my own comfort. Though it can get noisy but it was a my company since I traveled solo. Love the decor. Love the cleanliness. Love everything about this riad. A few steps away from the public hamma (public hot bath). Pictures paint a thousand word. MUST STAY!,Riad_Le_Grand_Large,Essaouira
 December 2012,5,"Riad Le Grande Large, Essaouira","Chose this partly due to price as we are a family of six, and it was very reasonable especially as breakfast was included. Staff were friendly and we communicated well spite no English being spoken. All our rooms were clean and well presented, although ours (no1) was the smallest and smelt slightly damp. Beds were clean and made daily by the lovely female staff, breakfast was wonderful, made fresh for us each morning by the same and served on the roof terrace. We really enjoyed watching the hustle and bustle down below from the roof terrace both morning and evening. Was a little bit noisy at times in the evening/night but so conveniently located in the heart of the Medina that this was only to be expected and not that much of a negative. Would recommend this Riad.",Riad_Le_Grand_Large,Essaouira
 October 2012,5,A Little Gem,"We booked here last minute because the Riad where we had originally booked wouldnt bring our booking fwd by one night without adding a hefty charge. The riad was within easy walking distance from the bus station, and nestled in a labyrinth of streets right in the heart of the medina. The staff were so very welcoming, by far the friendliest we have encountered in Morocco, they made us feel like family. We had a really nice room with a window out onto a small street. The room was comfortable and clean, the bathroom was the cleanest hotel bathroom we have come across in Morocco and everything was working perfectly. I loved the terrace, clean and attractive and a lovely place to eat breakfast.I did find the breakfast a little boring, though I loved the coffee and juice, and again…",Riad_Le_Grand_Large,Essaouira
 October 2012,2,Basic riad,"I stayed one night at this riad. The room (no 4) was clean but smell was terrible. High humidity, probably because of proximity to the ocean. Good location in the heart of Medina, easy to find. Breakfast was ok on rooftop. Very friendly staff. Wifi only available at reception area.",Riad_Le_Grand_Large,Essaouira
 October 2012,3,Was alright - a place to stay.,"Me and my boyfriend stayed here for a couple nights towards the end of our trip to Morocco. It was ok, purely as a place to stay. I'm not overly fussy where I stay as long as its clean as I'm only there to sleep, but my boyfriend can be quite the opposite. The location is really good and easy to find, the breakfasts were really good and our room was clean, however did smell like damp - but after research prior to booking I did expect this as it seems to be something I have read often in reviews of many riads in Essaouira, but this damp smell may also be because the shower curtain didn't actually reach the floor so provided no purpose whatsoever as it didn't stop the water splashing everywhere, and flooding the bathroom haha! The riad was not as nice and staff were not as…",Riad_Le_Grand_Large,Essaouira
 October 2012,4,As central as you can find :),"The Riad is really central and it won't be any trouble to find! The Staff is nice, the room and bathroom are not new, but very confortable and clean! The room had a window for the main street from which it was really good to watch Essaouira lifestyle! :) Breakfast is very good on the terrace! :)",Riad_Le_Grand_Large,Essaouira
 September 2012,5,"Good location, great Staff and clean room!","Great time in this Riad. Essaouira was very great experience and this Riad was perfect for this. Good quality, clean room, great breakfast and young and available staff. Just perfect. Just one thing... WiFi should be available in terrace too and not just and first and second floor but... who use WiFi when you have a great city like Essaouira? :-D",Riad_Le_Grand_Large,Essaouira
 January 2012,3,Budget choice for short-term stay,We stayed in this basic hostel in winter months (january) and we were rather satisfied. It was a fair deal for the money paid but we wouldn't like to stay there longer than 3 nights. Good central location in the medina. Staff was friendly but sometimes not very communicative in English. Our room was rather cramped and a bit humid but the rooftop terrace made up for it. Decent breakfast was served. We had to run to the ATM given that no card payment was possible.,Riad_Le_Grand_Large,Essaouira
 March 2012,4,would stay again,"Having driven the whole way across Morocco I was not in the mood to have to hunt for our accomodation. My mood worsened. Granted, had we booked the Riad before we were in Morocco we would have been more prepared, but the streets are so hard to navigate and very busy, so easy to get overhwhelmed and lost looking, which makes you prey for Moroccan men to talk to you and annoy you (harsh, but true). However, once we found it, it was actually in a really easy place to find and reference to, right in the middle of all the excitement. Easy to find everything you need right on your doorstep and I would definitely return. Staff were lovely and friendly and was very refreshing and reassuring to see a female! (our experiences of Moroccan men were not at best at this point) Breakfast…",Riad_Le_Grand_Large,Essaouira
 February 2012,4,lovely riad,"we had a beautiful room with an outlook onto the street, the riad had a a lovely rooftop and breakfast was great. would thoroughly recommend.",Riad_Le_Grand_Large,Essaouira
 November 2011,5,very good hotel,"Hotel is located in Medina, very easy to find. Pleasant staff. Hotel is beautifully decorated, especially the corridors. Tasty breakfasts.",Riad_Le_Grand_Large,Essaouira
 October 2011,5,Good riad to stay in Essaouira,"Good location, middle of souks and near medina and the beach plus it was easy to find. My room was comfortable, double for one person and the water pressure in the shower was good. Breakfast was served up on the roof terrace which was also a nice place to relax during the day and early evening. The riad was quite busy/full when I stayed there and some people had to wait for others to leave before getting an available table at breakfast time. I was usually the first one up there thus it didn’t bother me ;) Fellow travellers were also friendly and I had lovely chats with many of them throughout my stay. Having my own bottle of wine was no problem at all. In fact, the staff were happy to borrow a bottle opener and a glass for me. The reception had a computer with Internet…",Riad_Le_Grand_Large,Essaouira
 August 2011,4,Nice place to stay,"Fantastic location within the medina. Step outside the door and you're in the centre of the action, yet no noise issues. Our room was perhaps not the most luxurious we stayed in during our time in Morocco, but it was clean, functional and represented fantastic value for money. Breakfast on the terrace was freshly cooked and a real delight, and the lovely staff couldn't do enough to help. Highly recommended!",Riad_Le_Grand_Large,Essaouira
