 January 2023,5,Memorable,"Everything was of top standard, delicious dishes, beautiful presentation the decoration was lovely, clean and well maintained, Nadir made our dinner most memorable he was really helpful and has left the best impressions, I had a lovely meal with my husband, thank you ❤️",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,hotelName,city
 October 2021,4,Nice Hotel downtown,Nice room. Very large room with a comfortable bed. Large bathroom with large tub and shower. The restaurant for dinner was quite impressive with beautifully presented and delicious food. The service was outstanding. The restaurant for breakfast was disappointing. Worth a stay if the location fits your needs.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2021,3,Quite disappointing,"Dear Ms. Katia Bitton, I had to research on who the GM is so I can address you properly. This is my first time in Casablanca and in your hotel. I was pretty excited cause the concierge and bell, and the guy who greeted us and served us our welcome teas were very warm and friendly. However things went downhill quickly that night. Right after I had my dinner out and got back to the hotel, I wanted to relax and de-stress cause I had quite a long day. First I requested for slippers and extra towels cause I knew instantly that the gap between the shower glass door and the step would cause the water to flood the rest of the bathroom which i totally understand so I thought the quick fix would be to place a bathmat beneath. ( I did ask for towels because I only had one towel and one…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2021,5,The best service In casablaca,"I spent one week in Jen I tower hotel, good location, in the center of Casablanca city, a good service, staff helpful, , I liked the new restaurant in the 2 end floor, a good buffet of the breakfast, and the best view of the sky 28 in the 28 floor. I recommend this hotel",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 August 2021,1,Bellow expectation.,"I am staying for 2 days met my friend in Casa, room not clean properly, bad found some hair, house keeping girl just open my door while I sleept even I hanged DND at my door and nothing to say and left, call the Reception to change the towel because yellowish color the till 3 times then 1 hour latwr coming. Overall not satisfied.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 May 2021,5,My heart touched by their hospitality,"Big thanks and big love for all staffs, your smile, your sincerity, your professionalism, your hospitality, your generousity, (especially everyone who worked on 31st May and 1st of June, any of you, front desk, housekeeping, everyone who worked in breakfast time, concierge, and any of you which I can’t mention it one by one), i felt you all did everything with your heart. I'm falling in love with Morocco because of you guys, Keep it the good things!! And hope to feel your hospitality again, soon 😘😘",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 November 2019,5,One-of-a-Kind Hotel!,"Tea master Said Makboul of Kenzi Tower Hotel was a delight! He described the featured tea so well: its origins and characteristics, as well as its rich history and culture. In addition, he demonstrated and involved us in the Moroccan tea ceremony, making our tea experience memorable. Great job, Said!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 February 2020,4,a large room with vews for miles,"We had a room on the 7th Fl, what a view of the city for miles ! Room was very spacious with a bit of sitting area. Wash area had seperate toilet, shower/Bath, double wash basins. Came with electric kettle and tea/coffee - unfortunately one has to pay for tea or coffee. We had problems with safe and kettle initially, but it was dealt with quickly and efficiently by the same staff.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 February 2020,3,Great views,This was a towering hotel in Casablanca. The rooms were very spacious. I got an entire suite with a large bed and an entire leather sofa set. Bathroom was modern and there was a separate toilet closet in keeping with other hotels through Morocco. The carpet needed cleaning. Next morning I woke up with sinus issues. The view was great from this hotel. We had our farewell dinner on the 27th floor and got 270 degree views of Casablanca including the Hassan the second mosque.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 February 2020,1,Worst hotel we stayed at in Morocco,"Thank goodness our stay here was only one night. Firstly, this is the highest building in Casablanca, maybe even all of Morocco. So, be prepared for long elevator waits. As well as having to breath in a sickly floral scent in every hallway while you wait!The top two floors are for a bar and dining and yes, you do get spectacular views if you can see through the filthy windows. The white wine at the bar tastes like turpentine and while they advertise a wide assortment of beers, they only had two when we were there. Our room was nice and large but felt like a sauna when we entered. After an hour of fiddling with the air conditioning, my husband went to the front desk to inquire if there was something he was doing wrong. The response: yes, they knew the rooms on that side of the…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 March 2020,4,Very Good Hotel,Not as luxurious a main floor layout as some but given the location understandable. Staff were pleasant. The breakfast was what you would expect from a Moroccan hotel. What is wonderful and unique is the top floor bar. The view of the city is wonderful. Drinks are decently priced. Good selection for a downtown hotel.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 March 2020,4,Luxurious Hotel by any standard,"We stayed at the Kenzi on March 6, a warm 75 degree day in Casablanca, but much much warmer in our 9th floor room. Sweltering. No A/C. Apparently the lower floor rooms are cooler. You can't open the windows. By midnight, the room was moderately cool enough to sleep in. Overlooking this, the hotel was well situated near shops and a 25 minute walk to the old Medina (well worth it). The views from the top are spectacular.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 March 2020,4,Work,"The hotel is almost good, with very helpful staff. The breakfast is various, the fitness room need to be more large, the swimming pool is very nice including jacuzzi. The hotel need to be modernized and style to be changed, we can easily smell the carpet when entering room. The hotel is good and I recommend it mainly for business purposes since it has a good business area (meeting rooms)",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 January 2020,4,Good central hotel,"Check-in : We asked to have a seat in the lounge while waiting for check in. It took awhile to get checked in (at least 30 minutes) but considering that we arrived around 11 and check in is not until 2, not too bad. Room: Room was comfortable. Restaurant: We had dinner and breakfast included in the rate. Both were fine. Not memorable. Did not use the pool",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Re-Do After Complaint - Amazing Stay,"So my girl and I spent one night here for our anniversary. We wanted to treat ourselves a bit. That night was very much a let down. So I left a very very negative review on TripAdvisor titled ""An Overpriced Letdown."" Surprisingly, I received a message from a staff member named Katia apologizing, saying they would address the issues and that we were invited back for an all expenses paid stay. I felt froggy, so I took them up on the option for our last night in Casablanca. I gotta, say, not only were we met by Katia in the lobby and greeted kindly and professionally, but they did not even take my credit card on file. We were escorted not to the same room as before, but we got an amazing upgrade, to a corner suite that had a bottle of wine and snacks waiting for us. They scheduled…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 February 2020,5,A fabulous stay,It was a wonderful stay at kenzi tower Good location and Very good staff handling sooo nice and helpful especially mrs Meriem and Mrs Afaf and hamza reception team I wish you good continuation !! I looooove kenzi,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 February 2020,4,Good Location!,Located within walking distance of a synagogue. Nice room. Good buffet breakfast and buffet dinner with many selections. Drinks are extra at dinner or were for our group. Goof WIFI too. The only negative was the slow checkin in for our group,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 January 2020,5,Excellent hotel with great views and staff,We stayed here on two different nights on either end of our 9-day visit to Morocco. Wonderful view of the mosque and the ocean. Staff was excellent. Fitness facilities were good. Bar and restaurant were good.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 January 2020,4,View of the mosque and the sea,"Our tour group stayed here on our last night in Morocco, and it really felt like any American or European capital stay due to the modern nature of the hotel, but for a last night that was fine. The room was very spacious with a great view. The rain shower and all of the other parts of the whole shower ant tub enclosure could be quite treacherous if one fell- it made us nervous, although it was lovely to look at. The bar and restaurant at the top were festive for our farewell dinner. There is a mall nearby, but not much else. Staff was not particularly helpful when there was a key problem.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 July 2019,5,Simply the best hotel in CASABLANCA,Incredible stay ...service is impeccable and attention to details is superb. The most attentive staff and the best concierge I've encountered! Would choose this hotel again in a heartbeat! Simply the best hotel in CASABLANCA,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 January 2020,5,Loved our time at the hotel,My husband and I had a wonderful time at the hotel Kenzi tower. The service we received was amazing and the staff could not have been more helpful and accommodating. We loved everything. There are so many nice touches in the room (thank you meriem !! ) .. We will definitely stay here on our next visit to Casablanca .,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 January 2020,5,Excellent,"I really enjoyed staying here. The place was clean and the staff was wonderful. They worked hard to make us feel we are the most important guests they had. Thank you for everything, we will come back for sure .",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 January 2020,5,Business,"I’m a regular guest at the Kenzi, max 2 nights as for business. The service at the breakfast is excellent. Especially Amin and Mouchsin...also the frontdesk members...always great and friendly and if possible they upgrade me. Nice warm pool that you can enjoy after a busy day.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 January 2020,5,Service Excellence,This my first time I had overnight in this hotel. The hospitality and service overall were very good. I really appreciated they are very nice. Especially I met one of guy he is staff on the restaurant during breakfast he know that I was confuse because I looking for maroccoan tea but I couldn’t find on the buffet then he tried to help me. He was very nice and keep asking what I need else. I still remember his name is Mouhcine. Thank you very much for your kindness,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 November 2019,4,Big City High Rise,"We stayed here our last night in Morocco with our tour group. It is located in a busy area of the city. A quick walk around the area didn't yield any convenience or wine shops. Anyway, we were lucky enough to be assigned a room on a high floor and the view was spectacular. It looked out to the sea and the beautiful mosque. However, we couldn't take pictures because the window was full of dots which obscured our view from close to the window. The room itself was very nice, spacious and clean. The beds were huge and very comfortable. The bathroom is big and the shampoo and other toiletries are nice. The only drawback is that it's difficult to figure out the rain shower and the other shower in the tub is hand held. The tub itself is a deathtrap-it's so slanted that you…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 January 2020,3,"Not great, but OK","Stayed here recently and after a bit of research I decided to book, the breakfast while it had many choices wasn’t great, the rooms were large and so too was the bathroom, but the shower layout was confusing and stunk and the carpet in the rooms need to be changed!! Three things going for the hotel (1) the staff are friendly (2) Sky 28 bar (although all you can smell is cigarette smoke 🤢 (3) location close to supermarket and shops. Wouldn’t stay here again, sorry.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 January 2020,4,A nice hotel,The room was spacious with an amazing bed very comfortable! The bathroom was also huge and very clean. The only disadvantage what was that it was close to the road and it had a little noise from the traffic below. the food was also good,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 December 2019,4,Modern Business Style Hotel,"A very nice business style hotel it could be anywhere in the world. The rooms were very nice with good amenities, however, whoever designed the bath/shower combination should be forced to use it. It was very attractive but not the least bit practical. Breakfast was very nice with a good selection.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 December 2019,4,Fantastic sky view,"Good Hotel with a fantastic sky view! The rooms are large and polite, the breakfast and the dinner were good but not excellent. It could be better pay the beverage at the end of the stay, so the staff would be more relaxed and smiling!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 December 2019,4,Modern Hotel with Stunning Views,Kenzi Tower Hotel is a modern hotel in Casablanca with stunning views of the city especially if you visit the 28th floor. Our room was clean and modern but could have used a bit of updating (bleach stains on the carpet). The room was very large. There was a strange smell in the hall during our entire stay. We were on the third floor so it could have been from the restaurant on the floor below.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 December 2019,4,Beautiful room and bathroom!,The bathroom was among the most beautiful I have ever seen! The room very spacious and clean with a nice view and the food was good but not excellent. The staff is very polite and the location of the hotel is near shops and a super market.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 December 2019,3,3 star hotel,"This is not a 5 star hotel. The guys at check in were the least friendly ever- room satisfactory, but not real clean, hot water doesn’t work well, toilet doesn’t flush well, not enough toilet paper, breakfast is dirty and picked over. Staff is talking in a corner and unhelpful. All in all stay elsewhere. Not a great place to stay . I met the GM who is lovely and clearly tries to do his best in spite of a staff who needs training in every aspect of running a good hotel. One highlight great concierge.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 December 2019,4,Nice hotel in the city,It was a nice hotel. We went up to 28th floor and it was a bar but you could see the whole city. The room was so nice. I only spent one night at the hotel but I wish I could stay longer. Breakfast was fine.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 April 2019,1,Never returned refundable deposit,We checked out and were told that the cash will be returned to the account to hold on and give it a few days. Never happened It’s been over 2 years. I followed up so many times with these rogues. Beware!,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 April 2019,5,Last night,"This was the last hotel of our 13 day trip. It is in the middle of the city, as far as I could see. My room was wonderful with a view on the city. It was large, king sized bed and wonderful bathroom. We only spent a few hours before we went to our farewell dinner, but many of us met at the roof top bar to say good bye to each other. No complaints, just hoping some of us will meet again on another trip!!!!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 November 2019,5,More luxury than you would even find in the US,"Beautiful modern hotel with all imaginable amenities, Beautiful views from floor to ceiling room windows of the ocean, the Hassan II Mosque and downtown Casablanca. Very good restaurants in the hotel. Interesting electronic elevator control I had never seen before, initially you may end up on the wrong floor, but easy to figure out. very high end",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Nice Western hotel in Casablanca,"This hotel is very clean and comfortable but just like most big modern hotels (a bit sterile). Bathroom was really good and aircon worked so well I got cold. View from top floor bar is extensive. Dinner on 27th floor was pretty ordinary, but buffet breakfast much better. Location of hotel is right in city but wasn’t a particularly nice area to stroll around. For the money I’d recommend staying somewhere else, like a smaller hotel with a bit of local personality and charm. I also stayed 2 nights at Melliber (next to The Mosque) and found that a better location and value with very friendly staff.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 November 2019,4,Modern and pretty,"After going to our room I looked out and we were on the front of the building with all the traffic noise. I went down and they immediately switched to the back of the building. The bed is very comfortable but the pillows awful.The appearance of the bathroom is fabulous, appriciate all the bath amenities but the designer should be fired! Getting in the bath tub I almost broke an arm, it is shaped like a deep wine glass with the plug in the middle. So you will slide down all sides and your bottom compresses the plug to drain the tub. Getting out? hope you are not alone or you will be trapped. Since the bathroom is all glass walls if one person gets up early and turns on bath lights it lights up the whole room. *Yes it has coffee and tea pot but they were not plugged up and the…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,4,Not a bad choice for our short stay,"Only spent one night there, but it was a pretty decent business hotel with almost a luxurious yet modern feel. Nothing “Moroccan” about it other than the lovely views of the city from some rooms on the higher floors - but I don’t mean anything bad with that. Rooms were clean and tasteful with brand new fancy bathrooms and all necessary amenities. Food was sort of OK but most indifferent. Its Sky 28 bar provided easily accessible good fun with amazing views. Its other bar located on the ground floor was cuter and more elegant with its live soft jazz piano playing - but no views there! Overall it wasn’t a bad hotel choice for our brief stopover in Casablanca.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Very nice,"this hotel was our last stop of the trip, sadly only very short one night. The location was central, with magnificent views of the city. The hotel is very modern, clean and we had a very nice dinner as a group of 23, everything was very tasty and pleasant to look at.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,3,An Overpriced Let Down,"We arrived for a one night stay for a special occasion to what seemed like a really nice place. It was a bit pricey but the reviews made it seem worth it. Coordinating the reservation the night before and day of was a bit confusing with bad communication from the staff. Once we got to the room - which was smaller than expected (Deluxe Sky Room) the bathroom and bed looked great - and were. The bulk of our issues were poor staff. First issue was the chairs in the room were covered in food pieces and crumbs. The carpet seemed a bit dirty too. But the view was good - despite these painted white dots that mess up any decent photo of the view, so give up that idea immediately. There was a minibar for drinks but no food snacks. There was one towel and one bathrobe. Seriously? We…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,4,Beautiful Hotel,Good clean hotel with all the usual amenities including a safe in the room. Fantastic views of Casablanca from the high bar lounge area. Staff were very friendly and helpful and spoke very good English.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,1,Hotel kenzi tower,"I really love the hotel.. The service is always perfect, the crew staff is friendly and so kind. It is the higher place in Casablanca where you can see all the city clearly. Every night the liveband and the DJ play good music in the sky 28 Bar to make us enjoy the Afterwork, its a place where we can also watch football matches when its the season. Thank you to lamia anwar karim and hamada for everything I will always advice everybody to visit this freat place.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2019,4,Good but cant say signature,"I stayed their during my business trip to marrakesh reception staff during check in were very nice they gave me a really good room with fantastic view , didn't like concierge were not helpful left me while giving me directions without to finish or apologize to do something else came up .. breakfast was just ok but not super was disappointed 9f very little choices they had.. staff first day were not smiling or helpful second day totally opposite.. very strange no consistancy .. thanks to amazing chef kamal who tried his best to make us able to have breakfast , check out was not smooth or fast kept us waiting long to solve an issue w our agent .. that's why not signature except only room I got and kamal",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2019,5,Long Weekend Getaway,"We have travelled back to what we consider the Best Hotel in Casablanca. We are greeted as family by Khalil one of the Duty Managers, his care and attention, his friendly and considered approach make him such a valuable asset to the Kenzi. He, along with Afaf and Meryam from Guest Relations are three of the main reasons we come back almost on a monthly basis. Nothing is ever too much trouble for either Khalil or Afaf, they make us feel like part of the Kenzi Family and every stay is special. Every trip starts with smiles and a genuinely warm welcome from Bushra, Younes or Sana on reception with a smooth and painless check-in. In our room we have a personal greeting from Patrick (the Hotel GM) & it's always a pleasure to catch up with him during our stay. Its safe to say…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
