 November 2022,4,"Authentic, very good staff","Wonderful people in this facility! The manager Idriss was very helpful in arranging tours, carry out, and any detail like special breakfast dishes. The staff were all friendly and attentive one of them helped us with an issue with a remote. There is a beautiful rooftop terrace which overlooks the harbor and new town we ordered carry out and Idriss arranged to have plates and utensils and wine glasses sent up. Idriss also arranged a WONDERFUL tour of old town the tour guide Mochine is the best! This is an authentic Moroccan space. The property is fairly close to the edge of old town in one of its alleys. There are traditional pictures, the tiles are ornate and the doorways are arched. The stairs do not have a hand railing so you’ll need to take your time going down. Our…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 August 2014,3,You really do get what you pay for,"Its cheap and its well located thats about it. If you are looking for somewhere to crash on a low budget this place will work for you. The rooms are so so so hot it is almost impossible to sleep and i agree with other reviews it is extremely noisy at night and noisy from the staff. There is limit comfort to the room and the wash room is not the greatest. On the first night we tried to order food through them and they told us that it was not available. They offered to walk us to a nearby restaurant but we were taken on tour of the medina and taken into lots of different shops - long story short dont except help in the form of a guide they are only after money, it is not them being friendly. So all in all if your just looking for a cheap place to crash its great if its for…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2014,2,You get what you pay for,"Cheap and that's the only pro. Cons are no ventilation (rooms humid), and a little smelly. Very noisy with late check ins. The location is great, right in the heart of the Medina, loads of things to see nearby.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2014,4,Everything you need on the edge of the medina,"This was our first experience of accommodation in Morocco, and we couldn't really say a bad thing about it. The location is ideal, out on the edge of the medina but within minutes walking distance to all of the main areas. We arrived to a warm, homely welcome with plenty of information, maps and recommendations. The beds are a little hard, but we seemed to sleep just fine. Other guests have commented on the noise, but we feel this is fairly common throughout Morocco - we stayed in room number 7 at the top of the building (easily the best room) and did not really hear too much during the night. The breakfast is simple but the coffee is good. Here is how you find the place (it is not hard despite testimony to the contrary): Step one - ask your cab driver how much it will cost to…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2014,2,"Meh, not that good","The location is pretty good, but that's about it. The rooms were very small and the beds extremely hard, and the noise late at night was terrible. The disappointing thing was the noise was from the staff, loud talking and the T.V going til late.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2014,4,good value and location,"Very welcoming, I arrived on wet and windy day and was offered tea immediately. the room was warm and cosy and clean.Lots of helpful advice on how to get around and where to eat. Location ideal for exploring and walking the medina.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2014,5,Great value & location,"We really appreciated our stay at Dar Bargach. The receptionist Catty (I hope I spelt it right) was helpful and gave us good advice about hustlers, where to eat, what to do etc. If coming in from the port I recommend taking a blue petit taxi and asking for Dar Bargach near hotel continental. Should not cost more than 15D as it is 2/3mins away from the port. Room was lovely and clean, shower was hot and breakfast was delicious. Only complaint would be the light in our room was very dim and I found it hard to read. Overall very enjoyable stay!",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2014,4,Perfect Start to the New Year,"I stayed on New Years Eve and seriously chilled out with Mohammed and another member of the staff all night in the guest lounge. They taught me Arabic and talked about cultural differences in gender. The receptionist was also very sweet. At the end of our trip we came back through Tangiers and went straight to Dar Bargach but it was all booked up, so the receptionist found us a room at the bed and breakfast next door for the same price. The place is just when you walk into the medina, its easy to find, its cozy and you meet nice people. The breakfast was nice and everything was clean. I woke up to a new day in a new year to friendly people and mint tea in a new country. deserves great reviews.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2013,4,Good budget option,"I had a good stay at Dar Bargach. The hosts were friendly, the room was clean and had its own bathroom, breakfast was included, and the wifi on the first floor was okay. The place is a little hard to find. The trick is to walk up th hill towards Hotel Continental and keep an eye out on your left for signage to Dar Bargach. Dar Bargach's location makes it a convenient choice for those arriving by ferry. I arrived from the train station, which is 4km away in the ville nouvelle (in my infinite wisdom, I walked). All the same, it's a convenient start point for those who want to explore Tangier's medina and surrounds.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2013,5,Dar Bargach - Highly recommended,"We had an amazing seven nights stay at Dar Bargach. The location of the hostel right within the Medina is fantastic and the staff are extremely helpful, discrete and friendly. The rooms are small, but clean and comfortable with windows facing the court yard. Breakfast served in Moroccan style, was tasty and filling. The roof terrace, where we spend many happy afternoons and evenings, offers amazing views over the Medina and Tangier. For the price, location, roof terrace and friendly staff this place truly is a bargain! We highly recommend a stay here!",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2013,4,Idyllic Moroccan guesthouse,"If you're looking for a typical Moroccan style guesthouse, this is it! Right in the middle of medina, the ancient section of Tanger. Though at night it is incredibly hard to find, there is no street lighting and the medina is a maze so I would not advise you to arrive too late at night. Though there will probably always be a guide to bring you there (for a small fee of course). The rooms are great and the beds are clean, so is the shower and bathroom. The service isn't amazing, they slightly overcharged compared to the price that was state on the Internet. The WiFi will barely work in the rooms, partially because of the the thick stone walls. Overall it's a great place to stay and for the price it's very reasonable!",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2013,1,Stolen items!,"We were on our first trip in Morocco and we wanted to really have the chance to experience the charm as well as the fascinating culture. As a young couple, we are on a limited budget so we chose to go to Dar Bargach because of their price and other reviews on TripAdvisor... What a mistake we made. The gravest qualm we had was the theft from our luggage by a member (yes, they allow multiple staff members into rooms). Upon arrival, we were told that we arrived too early (10:00am) and to 'walk around' until our time to check-in at noon. This was not very hospitable but that was fine and we left. Upon returning, it was as if every question ended with a ""Yes and it will cost you..."" We asked if we could borrow any washing facilities ""It costs!"", coffee maker to make our own hot…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2013,4,Cosy Riad with friendly staff,"The Dar Bargach is conveniently located in the Medina of Tangier, with the Petit Socco, the Kasbah but also the sea side within walking distance. The rooms are small but cosy and very clean, so are the bathrooms. They have a very nice terasse from which you can overlook Tangier. The breakfast was richer than the typical Moroccan (hotel) breakfast, with some small pasteries, cake, bread, white cheese, honey, olive oil and olives (and tea and coffee, of course). The staff is exceptionally friendly and discreet, we were made to feel at home. We enjoyed our stay at the Dar Bargach. A very good budget option, I would go there again. We knew what to expect of a Riad or Dar, so the following is not intended as criticism but rather as info for first-time visitors to Morocco: you…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2012,5,A gem of an hotel,"Tasteful decor, facilities which worked, just inside the medina, and above all extremely helpful staff. Excellent service and value for money - if we pass through Tangier another time, we'll stay again!",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
