 October 2022,4,Stay here if you visit Tangiers,Beautiful hotel in the middle of the best part of Tangiers for seeing the sights. The French influence is in every pore. Mainly French guests which was good for me as l can just about make myself understood. The staff were amazing. Highly recommended. Just don't drink in the bar. The prices were seriously taking the P.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 July 2019,4,Beautiful historic hotel,"The Grand is a beautiful hotel, located at the top of a hill and a short walk down to the medina. Great views. Architechturally this is a n impressive grand old house that has has been well maintained and stocked with some lovely antique furnishings. Elegant dining room. Lovely chandeliers. Bedrooms are well proportioned and furnished well. Marbled bathrooms a little dated but good shower over tub. Staff were ok but did not deliver a 5 star experience. Breakfast was also lacking for a 5 star hotel.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2019,1,Has great potential but rude staff,Only stayed at this hotel for one night and from the outside on arrival I went this place looks amazing but from then on it was like “faulty towers”. The room was small but well set out. The main reason for giving this hotel such a poor rating was the rude staff especially the waiting staff. The man attending to the tables from the outset was rude and not willing to listen to what was being asked of the clients. A glass of wine for 5€ should be a full glass not a half glass. I hope the staff in the future are better trained as the hotel has a great history but will be lost quickly with its current staffing and management. Time not for it to improve as the area has many other options regarding accommodation.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2019,5,I'd go back just to stay in this hotel again!,"I only had one night in this hotel, as I was boarding the ferry the next morning to Spain, but I really wish I could have stayed longer. The hotel is on a hill with a wonderful view of the city and of the ocean. Originally built in 1880, this gorgeous old hotel has been beautifully restored. The staff is really nice and helpful, and they all spoke English (which I needed)—and also Arabic, Spanish, and French. The room was spacious, comfortable, and really beautifully designed. I had a wonderful view of the courtyard below (a great place for drinks or a meal if it's not too windy), and it was nice and quiet. I was able to just walk down the hill to the Medina and explore the city, and, being a walking person, I loved that. I really loved this hotel and hope to get back to it…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2019,4,Beautiful Boutique Hotel,Cute hotel located close to the ferry terminal in Tangier. Old hotel which has been renovated. We stayed here with a large group and everyone complained that the air-conditioning did not work. Food at the breakfast buffet was good. Interesting history with Matisse as a former guest. Ask to see his room and art collection.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2019,2,Nice hotel but unfriendly stafr,"It's a nice hotel, but the staff is unfriendly and treated us badly. Nice pool area, nice rooms, good view. It's located in the centre of Tanger. The staff refused my Moroccan friend to stay in the hotel.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2019,3,OK but not 5 star,"Nice hotel but past it's prime and definitely not 5 star. The amenities are getting old and some are in other ""sister"" hotels so don't expect them there. Breakfast is ordinary - nothing to write home about. Great views and close to port but service is slow and prices are high.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,5,Amazing Experience and Views at the Grand Hotel,"Karim was an amazing host during our stay at the Grand Hotel. We were at the tail end of a three-week trip and we couldn't believe the oasis we stepped into. Our room was spectacular. Just a short step from our patio to a beautiful pool. From the upstairs balcony, the views were amazing. Karim provided great support for our visit. Arranging some excellent tours, helping us get some medicine, and making great recommendations for enjoying the city. We also very much enjoyed the hotel restaurant and lounge. The Grand Hotel provided an experience that we'll talk about for many years to come.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2019,1,Yuck!,This hotel is in a dump of a neighborhood and is so old how could it be a 5 star hotel? They need to fix this. It was for sure a 2 star. The breakfast was the worst we have had and the rooms were weird. They didn’t have hand towels and when we asked for some they brought up old with holes regular shower towels. The keys never worked and each time you had to go down to get it fixed. The sheets were like sandpaper and the room refrigerator was locked. So we had to call to get it unlocked just to put our pizza in it. That was weird. Then we had our room cleaned and they didn’t refill the toilet paper. It was too late at night to get a new one so we were stuck with no toilet paper for a night. That was ridiculous. The couch was the most uncomfortable and the pillows were detached…,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,5,A very memorable night,"We found this European type hotel very nice. We stayed across the hall from the room Matisse stayed in and painted his ""Room With a View"" The hotel is very proud of this and keeps the room just as it was. It is in a great location to be a part of all the action in the markets. The hotel restaurant is excellent and very elegant as is the service. This hotel is really good find! Stay and enjoy it!!",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,3,An Average Hotel in Tangier,"We spent one night at the Grand Hotel Villa de France during a recent trip to Morocco. Our experience was just average. From the outside, the hotel is exquisite. Sitting up on a hill, it has a nice view from the top. It a 5 Star hotel. The staff was very cordial, friendly and helpful. Our room was small, the temperature was difficult to control, there were only a few electrical outlets placed in awkward locations and our view was of a roof. The room did have a refrigerator, a safe and wifi. The water pressure in the shower was good but difficult to control. The hotel provided the two very luxurious robes for our use. Our dinner in the elegant dining room was enjoyable. Portion size was small and we had the feeling the staff was rushing us to finish our meal. Maybe…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,5,Beautiful Tangier,I spent 4 nights at this hotel and it was a great decision. It is a jewel in a beautiful city. It cost 40 dirham from train station. The staff are very attentive and the property is in great condition. Pool was clean and the lounge chairs very comfortable. It has an awesome piano bar with fabulous views of Medina which is 3 minutes walk away. Rooms are very spacious and room 407 had an incredible view.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,5,One night stay,Charming hotel remodernised some years ago. We were very lucky to be taken around the building by a very nice young man. He showed us the old entrance to and the famous Henri Matisse roo. Where he stated and painted pictures as seen in the room to day of views from his window. The roof top is fun to watch the coming and goings of markets and amazing street noise. The food and service in the restaurant was up market and good choice of wine and food. There are 2 bars to relax in. Our room was tastefully furnished with charming views too. I would certainly choose this hotel again,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,4,Lovely Hotel/Beautiful View,"Charming older hotel; room was well appointed with nice sitting area and lovely view of the ocean. We ate lunch on the patio, food and service were good. The Medina is very close by, but a bit difficult to navigate. The hotel doesn’t provide a city map or brochures on points of interest. One cautionary note, if you want a guided tour of the city don’t go through the hotel. Having only one full day in Tangier we had the hotel arrange a driving tour with an English speaking driver. Our driver was quite pleasant, but arrived an hour late and spoke very little English. He wasn’t able to give us any history of the city, couldn’t explain what he was showing us, and we never saw a glimpse of the Kasbah.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2019,4,A great place to relax,We stayed 2 nights at this hotel and were very happy with everything. It is about 20 minutes walk (along the outside of the medina) from the port. The location is great for visiting the sights in the medina. The tourist office is in the more modern area of city and were very helpful. We walked to the bus station which was 45mins downhill. The hotel staff were really helpful with our questions. We changed our money at the hotel and rate was reasonable. The facilities were nice. The room was very spacious and soundproof (though you will hear the call to prayer). Only thing that would have made things even better is a welcome morrocan tea as it is a 5 star hotel.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,4,Great Location for Exploring Tangier,"This is a really nice hotel for Tangier right next to the Medina. It is set on a hill behind walls with great views of the Mediterranean from many of the rooms. The Duplex rooms set at the back of the property next to the pool are a great choice. #4 is on the end with great views from the patio, living room and upstairs bedroom. Staff is accommodating and helpful. Restaurant is just okay. It was too cool when we were there, but there is a patio restaurant that looks lovely. I think the El MInzah is a more famous hotel given all the celebrity pictures, but the Villa de France is certainly on par with any hotel that we saw.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2019,1,Don't let the beautiful exterior fool you. A very poor experience.,"We had anticipated our stay here on the last night of a seven day tour of Morocco based upon others' reviews. The exterior of the property exudes charm (age) and dignity but the illusion was quickly dispelled. The hallway to our room was carpeted but was covered with loose dirt, lint, and who knows what else. It didn't look to have been vacuumed in weeks or longer. Upon entering our room we were overwhelmed by the smell of sewage. We traced the source to the shower drain so we used the bath mat to cover the drain for the duration of our stay. The room was furnished with dated and minimal pieces. We tried to sit on the bed to watch TV but the TV didn't work and the bed slid away from the headboard immediately. We were adjacent to a service well between buildings where…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,5,"Exceptional Service, Location, and Asthetic","We booked our room here through Cancelon, which was an option on Tripadvisor. We paid and received a confirmation, so we thought that we were all set. We arrived a couple hours early with confirmation in hand to find out that this third party booking agency had not secured us a room here. The reception manager took care of everything for us. He got us a refund and secured us a better rom than we had booked for a little bit less than we had originally paid. They ensured that this incredibly stressful situation was defused, and went above and beyond in every way our entire stay. We booked a guided tour of the Old Medina and Kasbah through them, which I would definitely recommend. This hotel is located perfectly for the best sightseeing itinerary. They served us complementary…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,5,Very nice hotel with historic past.,"My first night in Morocco was spent in this very nice hotel. It is an older facility but has been kept up very well. Staff most accommodating. Room was a very nice size and the bathroom quite adequate. One suggestion about room location: unless you like hearing Moroccan music late into the night, ask for a room which is not located just above the dining room. Music is played there during dinner hour which runs to about 11 PM. I had dinner in the dining room and it was quite nice. Breakfast is served in another room and food selection was good. They make Moroccan ""pancakes"" as you wait. The hotel is proud of its history, especially the fact that the artist Matisse spent a number of years in the hotel. They will gladly take you to the room he and his wife stayed in…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,5,grand old lady - beautiful villa,"this used to be someone's villa and now is a hotel. the rooming number and lift is a challenge but you will get used to it after a while. the rooms are old but clean and spacious. it is high up on a hill and you get a lovely view of the sea. it is also walking distance to the market and to get a cheap bite. lots of black/white photos along its walk way showing the place and it is quite unique. as we were part of a tour group and one morning we had to have a very early start, the waiter isn't a morning person and he was a bit grumpy but other than that, the place is just showing old charm.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,5,Attentive service and amazing location,"We only stayed at this hotel for one evening, but we felt completely taken care of the whole time. We were traveling to Marrakesh the next day, and had not yet booked our train tickets. The hotel concierges and bellhop were incredibly helpful and helped us search tickets for airplanes, which they said would be similar price and cut down dramatically in the travel time. Since we would be leaving at the crack of Don, they also arrange for us to have breakfast delivered at 5 AM as well as arrange for a taxi in the early morning. We were so appreciative of their help in coordinating our itinerary. We stayed in the Villa which was overlooking the pool and had a view of the Mediterranean, and it was incredibly beautiful. All of the amenities were in great quality. We actually wish we…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2019,5,Very friendly and well located hotel,"We have stayed in Tangier many times in several different hotels but this one is by far the best. Large, stylish and comfortable bedrooms with decent bath facilities. Great breakfast and a large separate Eden dining room serving a good choice of local food and wine. The hotel has two good bars. The staff could not have been more friendly or helpful. The hotel is very well located near the Kasbah and a good walk down the hill to the bay. There were good outdoor areas and a nice looking pool. Too cold for us to use in February but we will certainly be back later in the year.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2019,4,Great Location and Staff,"We arrived early and the staff went out of their way to make us feel welcome and even got us a room early and, at that, they upgraded us to a nicer room with a view. Later in the day, they even delivered a wonderful fruit basket to our room which came in handy come dinner time (keep reading). The location is perfect with easy access to the Medina. Great selection at breakfast. Our only complaint was that the restaurant for dinner was fine dining only and it didn't open until 7:30p. Not many options for vegetarians either so, keep that in mind if this would effect you.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2019,5,Classy Hotel with Great Location & Service,"This is a classy and old school hotel with great service and staff for a great price. Location was good too and included free parking. The room we had was spacious, clean and quiet. There was extensive variety at breakfast with great service - they served the best Moroccan pancakes along with so much more. The terraces were beautiful. We enjoyed our short stay here and would recommend this hotel.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2018,4,The Duplex Suites are a must,"This one of the older hotels that really gives you a sense of what the heyday of the 30s, 40s & 50's must have been like. It has been updated with modern plumbing and outlets and such. The lobby bar and piano bars were nice and cozy, although we only popped into the piano to look around and only had one drink at the lobby bar. The Duplex Suites are where you want to stay. There are only 6 so book early. I did not see any of the actual rooms in the main part of the hotel, but was told they were all recently updated. The duplexes are 2 story villas that overlook the pool, each with a private 2nd story balcony off the bedroom overlooking the pool and a large private patio of the living room that goes directly out to the pool. It feels like you are staying at an authentic…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2019,5,Oasis of tranquility,"After walking through the hustle and bustle of the medina and the souk, tea (or wine) in the lounge of the hotel settles your nerves. Well situated in a lovely park setting, the recently renovated hotel is on the boundary between modern and traditional Tangier. The staff is helpful and friendly, breakfast is varied and plentiful, the Moroccan dinner is a treat. Ask for a sea view room and ask to visit room 35 where Henri Matisse painted his masterpieces of Saint Andrew church (currently in the Pushkin museum in Moscow) and Tangier life. A great place from which to explore!",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,5,Great stay!,"A fabulous and beautiful hotel. Five star ammentities and service for a great price. We loved staying here and certainly will stay again. Thanks to all the staff for a great experience, including the help getting to the port and for excellent breakfast service.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,5,Be treated royally in old Tangier,"From the moment we arrived from the ferry until we left after two nights, we enjoyed excellent service. When our prescription glasses broke, reception took the frames to have them repaired. When we needed directions, someone came with us to show us the way. Breakfast room and dining room as well as living room area off the reception all served excellent food and drinks with personal touches. We loved being treated to this level of care, resulting in a very pleasant stay.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2018,5,Affordable Elegant!!,"The hotel is located in the city centre and is 5 mins walk to Medina. It is surrounded by wall and with big garden and pool, which isolated the hotel from the crowded city. The building itself is charming, I felt like back to the 1940 in TV movie. Staffs are polite and can speak fluent english.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2019,4,Very nice except...,"The hotel is very nice, food staff excellent! It would be a five if it wasn't for one man who greeted us as we entered. Unfortunately we did not get his name. This man was trying to get every penny he could squeeze out of us. He was constantly asking us where we want to go. If it was a bite to eat he would tell us a person will show you where to go for a couple of Euros. The bank, again a person would show us for a couple of Euros. When we first arrived he wrote down two places to eat, you guessed it, someone can show you for a couple of Euros. We looked up reviews for the restaurants and found that they were the restaurants that tour guides bring you to that pay the guides commission. We found our own taxi to drive us to Chefchaouen. When he came to pick us up this same man…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2018,5,Unforgettable!!!!,"We've been around, stayed in many hotels, in many countries but the degree of friendliness of ALL personnel in this hotel is unsurpassable, from the front desk clerks, the maître d' and waiters in the breakfast room, the dining room personnel, to the wonderful chambermaid. We deliberately chose an authentic hotel versus international chain hotel, and authentic it was: on top of a hill overlooking the Socco Grande, built around a central blue-tiled courtyard, an old-time beautiful dining room with sparkling chandeliers, artfully carved room doors & ceilings. The food is superb (think lambTajine!!!), the breakfast buffet plenty, varied and fresh and not to forget: the ever-served mint tea. As mentioned above: un-for-get-table!!",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
