 June 2022,4,Nice Riad,Large and clean rooms. The hotel was not far from Medina. Breakfast was good. There is no 27/7 reception service but you can enter the building using your key. not all rooms have AC. One of our rooms had only a fan.,hotelName,city
 April 2022,5,A riad for special guests,"Situated in the center of the Medina, very close to the main entrance to the old city, live, full of restaurants and all kinds of shops. Very close to the tram station, which takes you all around the city. The riad is very cozy and the staff extremely hospitable and friendly. you can enjoy the unique atmosphere of a real riad when having breakfast, which is rich, many fruits, dried fruits as well, hot bread, pies, mint tea, special jams, etc. The rooms are big and clean, argan oil cosmetics in the bathroom, unique decoration, with antique furniture, lamps, rags and colourful pillows. We have been very satisfied with the services offered.",Riad_Meftaha,Rabat
 October 2021,5,Great staff and superb location,"Staff was great and very welcoming. Rooms were comfortable and clean. Breakfast was great (eggs, crepes, fresh juices and jams). The rooftop terrace was really nice. Parking space in the quiet streets. Superb location (close to Rabat Medina and Ocean).",Riad_Meftaha,Rabat
 October 2021,1,Very unprofessional,"Very unprofessional. We booked with booking.com way in advance and made the payment. A few days before they stay they cancelled the booking saying they had no rooms available. Do not recommend, as it can damage all your plans.",Riad_Meftaha,Rabat
 September 2021,5,"Totally Enchanting and Perfect Location - Easy to Find, Quiet, Close to Seashore & Medina","Absolutely the most delightful stay; comfortable, clean and welcoming! Riad Meftaha is a perfect oasis of quiet in the most perfect imaginable location - easy, quick access to the ocean front as well as to the old Medina while being so incredibly easy to find. Truly a perfect stay in every way. (Except it was for only one night!!)",Riad_Meftaha,Rabat
 March 2020,3,Friendly staff,"Friendly staff and good location, rooms are smelly, and breakfast is terible. Roof is not very spatious and without any view. Rooms are spatious, but smelly especially in bathrooms. Riad staff is very friendly and helpfull",Riad_Meftaha,Rabat
 January 2020,5,Nice Riad with friendly service,"We had a very good time here. The Riad organised a transfer from the airport and was also very helpful with restaurant recommendations, trip advice for trains to Cassablanca and any other concerns you could possibly think of. As we had to leave very early in the morning to get to the airport the sweet lady from the team prepared a fantastic lunch packet with a lot of tasty goodies inside. We highly recommend this place.",Riad_Meftaha,Rabat
 February 2020,5,Nice hotel,"Very nice rooms and big clean bathroom, with Moroccan traditional soap as an option next to normal soap. Both cooking and heating system. Calm neighborhood and a nice view over the city in the rooftop terrace. Very friendly staff who could communicate in English as well. It is a bit hard to find though, down a side alley with no light and very small signs.",Riad_Meftaha,Rabat
 February 2020,5,Best Riad of the four we stayed at in Morocco,"Beautiful riad with truly lovely staff. Most of the rooms only face courtyard, though our room on top floor had a window to the outside. Great location near the ocean and medina. Good breakfasts of standard Moroccan breakfast fare - though the coffee was better than any other we had in Morocco. And great recorded music to listen to in the courtyard! Only blip was they wanted 10% 'city tax' which hadn't been mentioned. I would stay here again for sure!",Riad_Meftaha,Rabat
 December 2019,5,Beautiful Traditional Riad,"The stayed here for one night on December 27. I's a very conveniently located traditional Riad. The owner of the place was very welcoming and she was very helpful in to find a place where to dine. The room was nicely decorated, warm and with a big bathroom. Breakfast was delicious. Great stay, thank you.",Riad_Meftaha,Rabat
 December 2019,5,"Warmest Welcome, traditional riad, friendly manager","Rabat is our first stop in Morocco and I am very happy that I have selected this riad to kick start my journey, the manager Samira is more than happy to introduce not just Rabat but also help me to plan my Morocco journey more smoothly. We stayed at the room ground floor, no external view but The room itself is beautiful enough as we just spent a night there, so not an issue for us. The handmade black soap they offered is so nourishing I love it so much I bought one for myself!",Riad_Meftaha,Rabat
 July 2019,5,Beutiful small place.,"We were happy to find this location. We got to the place late after shops closed. We asked if they help get food for us and our kids. Although it was not their responsibility, they went out of their way to get us food. Free Breakfast and WIFI is great. We asked for a laundry services, there was non. So, we asked the host if they can help. Again, it was not their responsibility, but they helped. great people.",Riad_Meftaha,Rabat
 December 2018,5,Wonderful place in Rabat,"After a great accommodation in Chefchaouen I went to Rabat knowing that the mark on booking.com was good but I didn't expect so much from the place I will review today. Riad Meftaha was carefully chosen after I studied many accommodation offers in Rabat. You see, I wanted something really close to the Medina and the important sights because I didn't wanted to take cabs or worse drive from one place to another. And after studying a bit I chose perfectly. The Riad is about 200 meters away from one of the gates to the old Medina. So it is really hard beating this in terms of proximity. Now I know what you're thinking. Being so close to the medina isn't it chaotic? Well it isn't. Because the Riad is part from a group of buildings pointing to a secondary street and not…",Riad_Meftaha,Rabat
 September 2019,5,Lovely room,"Comfortable bed, clean bathroom, and AC! Breakfast was Euro-style with cheese, meats, breads, eggs and yogurts. By far the nicest we had while in Morocco. Location is good - just a short walk out to the Ocean to watch sunset and take a walk.",Riad_Meftaha,Rabat
 August 2019,5,Beautiful,"I stay here 2 nights, It was very nice everything, the room was big and clean,the receptionist Always ready to help,the breakfast plentiful and delicious.The Riad Is at 5 minuta by walk to Kasbah and medina",Riad_Meftaha,Rabat
 April 2019,5,Fantastic,"I am 1 week into my 2 week trip through Morocco and this has been the best riad so far in this price range. Highly recommended. Spacious rooms with amazing showers, comfy beds, and fast wifi. The staff is friendly and very helpful with directions and recommendations. Located a close walk to just about anywhere you need to go (including the train station), but secluded enough to be quiet at night. Even the breakfast here is better than most riads we've stayed at elsewhere, allowing the convenience of self service so things don't go to waste. I would definitely stay here again.",Riad_Meftaha,Rabat
 March 2019,5,Excellent,"It is really brilliant riad with good stuff, good breakfast and spacious bathroom. The room was clean, cozy and the location was great! If u r travelling by the car like us, so u can find the parking near, what is very comfortable. Highly recommend",Riad_Meftaha,Rabat
 February 2019,5,Beautiful riad with helpful staff,We stayed here after a long flight. The Riad is beautiful and the staff very helpful. We were given clear direction on where to go for food and sights. The room was clean and comfortable. The breakfast was the best for our 17 days trip in Morocco. It is also very close to the medina. Highly recommended.,Riad_Meftaha,Rabat
 January 2019,5,Can I give it six stars?,"This amazing little b and b was difficult to find but what a great little place. The manager greeted us, set us up with mint tea and cookies in the breakfast area, brought us a map to peruse while we waited five minutes for the paperwork. She was very friendly and service oriented. Our room had a double and a single bed and the beds were very comfortable and super clean. There was black soap for our use in the bathrooms (which we bought some to bring home). Breakfast was very good and served again by the friendly manager. Excellent service and Excellent accommodations. NO Elevator to get to the rooms.",Riad_Meftaha,Rabat
 February 2019,5,"Amazing welcome, peaceful sleep","After a long day traveling to Morocco then a drive in pouring rain Meftaha was a beautiful place to end our day. Rooms were quiet and staff were incredibly gracious and helpful. We were directed out for a delicious meal and did a great 2hr walking tour of many of the seafront sights. Medina is great without pushy vendors. Our breakfast was to die for, kept us going until dinner that night. Would highly recommend",Riad_Meftaha,Rabat
 December 2018,5,Stay in riad,"Great place. We came with friends, amazing people and good breakfast, not very common in Morocco. Comfortable rooms. Raja, the manager, was very helpful. We stayed for one night. They have all amenities, great wifi reception.",Riad_Meftaha,Rabat
 November 2018,5,Best stay,"We spent one night in this hotel and it was amazing! Our room was ridiculously comfortable and had its own separate shower/bathroom. We slept so well here. On the plus side, we had the ability to eat dinner and have drinks here! It was super close to the Medina without being in the Medina, which gave us a break from the mayhem. The only thing I regret is that we only stayed one night!!",Riad_Meftaha,Rabat
 November 2018,5,Lovely Riad with a pleasant staff,"We had a really nice time at Riad Meftaha. Staff was very welcoming and made sure that we feel comfortable at all times. Room was nicely decorated and was spacious. Unlike other Riads, Riad Meftaha gave us a complimentary bottle of water in our room.Our Bathroom had a Jacuzzi plus shower which was quite relaxing. Breakfast was great. It had fruits, pancake like Moroccan bread (which tasted delish with honey), jams, boiled eggs, lemonade, orange juice and Moroccan bread. Staff was also very helpful and guided us about sights and Medina through a map. All in all we really enjoyed our stay and look forward to going back again.",Riad_Meftaha,Rabat
 November 2018,5,Big room with excellent breakfast,"Stayed one night in the Riad, the room was about 8x4m, plus bathroom, breakfast was excellent with fruits, boiled egg and a variety of bread with condiments. The location is about 150 m from the medina.",Riad_Meftaha,Rabat
 December 2018,4,Great family room,"Our accommodation had one bedroom with a king size bed (very comfortable) plus an entry room that had another single bed and Queen size bed. Slept 5 very easily. The bathroom had a two persons spa bath send separate shower which had consistent water temperature and pressure. The included breakfast was delicious and ample - yoghurt, bread, dried fruit, boiled egg, fresh fruit, olives, crepes and pikelets. Very nice and quiet.",Riad_Meftaha,Rabat
 November 2018,5,Great Riad with Convenient Parking,"We were able to park our car in the hotel ally way. Lovely but not fancy ground floor area, but comfortable for having a drink of wine and breakfast, with the latter outstanding. Had a room just of the ground floor that was spacious. Staff helpful. Close to medina and sights.",Riad_Meftaha,Rabat
 October 2018,5,Few nights at Riad Meftaha: very positive experience!,"Spending a few nights at Riad Meftaha was a very positive experience! They welcome you with typical mint the and delicious biscuits even if you are very late! The room is spacious, full of precious decorative details and well decored in a Moroccan style, with a very comfortable bed and pillows. The bathroom is also very nice and they provide all possible product (high quality) including a very good black soap! Breakfast is absolutely satisfactory. It was raining and we couldn't spend much time there, but there is a fantastic terrace also available for guests. They also have umbrellas available at the entrance :) I would definitely recommend this place If you go to Rabat.",Riad_Meftaha,Rabat
 October 2018,5,Wonderful Stay,"We stayed here one night- our last day of a 3 week trip in Morocco. This was a great riad with wonderful staff. Frank will provide a map and orient you. Its a short walk to the ocean and kasbah. The rooms are comfortable and clean with modern bathrooms, lots of hot water and star trek showers. We had an early flight and Frank arranged to have breakfast in a bag ready to go. The staff was helpful and considerate. Would definitely stay here again.",Riad_Meftaha,Rabat
 November 2018,5,Meftaha Ocean Apartment,"Riad Meftaha rents out a self contained apartment in the Océane district about a 10 minute walk from the Riad near the sea. We stayed there for two nights from 4-6 November and found it pretty, impeccably clean, comfortable and practical. It has been decorated in a modern style and everything is fresh and new and well thought out. There is a small, but functional kitchen with a dishwasher and even a washing machine and a clothes drying rack. It felt very homey to us. You really could spend a very comfortable week here recovering from a desert trek, or other voyage. It is set up for two to four people, but just one bedroom so best for a couple, or a couple with one or two children. We were welcomed warmly by Frank, Safiane, and Rajae at the Riad and all communication was simple…",Riad_Meftaha,Rabat
 November 2018,5,Nice and clean riad,"We stayed here for one night. The Riad is clean and gorgeous. Samira the stuff was very helpful and kind. We had a own roof top! The breakfast was really delicious, especially the olive pesto! Thanks for everything",Riad_Meftaha,Rabat
 October 2018,4,Great location close to important tourist attractions.,"Good location - Short walk to Kasbah, medina souks, beach and small downtown ""metropolitan"" upscale district. Good for travellers who want to be centrally located to attractions and short walking (5 minutes). Staff is very friendly and want to help tourists. One sat down and outlined all useful things on a free map of the city! In house restaurant and beverage service. Has beer and wine which is hard to find outside of Rabat! Had problem with leaking water. Staff was attentive at 11pm and owner had repairman out to fix problem next morning! He was very concerned, offered a discount and very responsive. Random occurance that had NOTHING to do do with quality of establishment, but owner and staff took care of it VERY quickly and professionally. Would stay here again. Tip -…",Riad_Meftaha,Rabat
 October 2018,5,1st stay in Morocco,We were glad that we spent our first night in Morocco in this riad. It is very homey and the staff are very accommodating and attentive. They helped us adjust to life in Morocco by giving us tips where to go and estimate cost of transportation and goods. It was really a great experience staying in this riad!,Riad_Meftaha,Rabat
 October 2018,5,A very pleasant surprise!,"Upon arrival in Casablanca, we decided to go direct to Rabat for an overnight stay. We booked one night in this riad based on the good reviews we had read. And we were glad we did! The photos we have seen do not do the riad justice. It is more beautiful! The room we got was huge with 2 queen beds and a sofa bed. There was bottled water in the room and tea. We were welcomed with delicious mint tea and peanut cookies. Breakfast was very good! Thank you for an excellent service Chimaa.",Riad_Meftaha,Rabat
 August 2018,5,Warmest of welcomes,"Our overnight in this delightful Riad was marked by the warm welcome and excellent service from Samira, who gave us a delicious dinner and wonderful breakfast. Our large room had a functioning TV and fan, a great shower and even the only water kettle to make tea in all our Morocco accommodation. The guesthouse has an attractive covered courtyard and a lovely roof garden, comfortably furnished for lounging and available for smokers.",Riad_Meftaha,Rabat
 September 2018,5,Welcome to Morocco,We arrived in Morocco to spend our first night in the ultimate riad experience. The magnificent entrance opens to the warmest of welcomes and magical decor that draws your eye to every corner. We were able to stay in the terrace suite that had all tbe comforts of home. An evening on the roof terrace allowed us to enjoy the prayer calls from nearby mosques and tbe cool evening breeze. When you didn't think anything could get better you wake up to the best breakfast experience that was a taste sensation. We were sorry to leave but our Morrocan experience was waiting.,Riad_Meftaha,Rabat
 September 2018,5,"Great hotel, friendly staff",This Riad is located just 15 mintutea walk from the major tourist attractions (like the kasbah of the Udayas). There’s also a moroc telecom store (just ask the host) where you can get a SIM card and 2gb of data for only 40 dh (4.5usd). The Riad is beautiful and the hosts extremely accommodating. Our host gave us a map of Rabat and told us about the best ways to get around and what the typical touristy walk through Rabat would look like,Riad_Meftaha,Rabat
 August 2018,5,Hidden Gem in Rabat,"We flew into Casablanca from Sydney. The owner Franck was helpful and organised an airport taxi transfer for a small fee. Samira, the manager checked us in and gave us information on Rabat, and booked us a table for dinner in town. Things we love: - Beautiful room, dining area and rooftop terrace. It was very clean as well - Delicious breakfast with great variety of fruits, bread and protein - Hotel staff was attentive and helpful all the time Things we would have liked to have: - Air conditioning We had a wonderful stay and would have no hesitation recommending Riad Meftaha to our friends and family.",Riad_Meftaha,Rabat
 July 2018,5,The best place I've seen in my Morocco trip,"The whole experience was perfect. Even if we got late, they waited for us til almost 10pm. The staff in general makes you feel at home. The Riad is so nice and the room was big and cosy. I also loved the bathroom and the style used in the room. The breakfast was the best I've ever had and it made me completely fall in love with the Riad. The location is super close to everything just walking. There's also a terrace where you can relax. I wish I had spent more time there.",Riad_Meftaha,Rabat
 July 2018,4,Beautiful and well located,"Riad easy to locate and with quick access to all the interesting places to visit in Rabat. Reception was warm and we were given a small explanation on what to visit in Rabat. Simple rooms, comfortable and very clean. Great breakfast",Riad_Meftaha,Rabat
 July 2018,5,A Truly Wonderful Experience,"I don’t write reviews often; it’s probably a flaw in my character. I’m just lazy about it. However, my experience with Riad Meftaha was so incredibly positive that I MUST write to speak about it. When I arrived, the two young ladies who run the Riad were so helpful and kind. They do everything and anything to make your stay better. At one point, my friend and I were very tired and decided to order pizza(I know, really immersing ourself in the culture of Morocco) and when we asked Raja(one of the ladies) where we could order from, she took our money and went out and bought pizza and brought it to us in our room. This is just one example of the “over and above” attitude that these ladies have. They provide the best customer service I’ve ever seen. Secondly, the Riad is…",Riad_Meftaha,Rabat
 June 2018,5,The best Riad in Rabat,The service and the attention of both receptionists Rajaa and Chaymae. The room and the breakfast were incredible too! The best Riad in Rabat ! Highly recommended !!! We recommend it to all our friends ! Thank you for everything !,Riad_Meftaha,Rabat
 April 2018,5,Indulge yourself in a real riad feeling,"This is possibly not an original dhar but it is well restyled. In fact this is a well-served (free bottle of water every day, tea service, skin cream Moroccan style and scents everywhere) nice atmosphere that brings you in a complete oriental mode and is good to spent your days in Rabat. Breakfast is abundant with lots of fresh things, actually it was the biggest variety we have had throughout Morocco during our holidays. We took the liberty of using their restaurant one night. It is around the corner and owned also by the same person. It is not so decorated and lacks a bit of atmosphere. But that is corrected by the nice service and the good food. They serve a daily menu, but they honour specific diet requests. Our room on the ground floor was spacious and attentively decorated…",Riad_Meftaha,Rabat
 March 2018,5,"Modest riad, great location, lovely service","We found this a modest and very good value riad, in a very convenient location. It is just outside the medina, walking distance to the kasbah and coast, yet also only 20 minutes walk down to the train station and Ville Nouvelle (Rabat is not a very large city despite being the capital). Our stay of three nights, at the start of our two week holiday in Morocco, was made very enjoyable by the delightful service of the two ladies, Raja and Chaymae. Raja did her very best to welcome us, though spoke very little English, and used a voice translation app on her phone. It would have been good to have been given more information and guidance, and it was unfortunate that we did not meet the owner Franck at all. Our ground floor room was comfortable, the kettle and tea provided was much…",Riad_Meftaha,Rabat
 April 2018,5,Lovely and unforgettable stay,"My family stayed in this Riad for 1 night. The manager named Shama (sp?) greeted us with warm and kind smile. Although she only started working there for 6 months, she was so very knowledgeable and helpful that she answered all our questions about Rabat. There were 2 other ladies who work there as both cooks and cleaners. During dinner, one of them served us food first since she knew that our boy might be hungry although there was a big group of adults sitting ahead of us. Another lady named Raja (sp?) gave my boy 2 lollipops before leaving. They were all very thoughtful, considerate and kind. Thank you, Ladies. You had made our trip memorable in Morocco. I highly recommend whoever visit Rabat to stay in this riad. D",Riad_Meftaha,Rabat
 April 2018,5,Beautiful riad in a great location,We loved the tilework and general style of this recently remodeled riad. The staff was extremely friendly and helpful. They took their time answering all of our questions and helping us get oriented to the medina.,Riad_Meftaha,Rabat
 April 2018,5,3 Nights of Wonderful Moroccan Hospitality,"We arrived super late because of cancelled flights and were warmly, warmly welcomed. We had a unique tiled room with a super comfy big bed and a strong hot ultra-modern shower. (Looks like a space pod out of Star Trek!) Every corner of the Riad is beautifully decorated and soft Moroccan music is played in the common areas. Breakfast is included and generous with a changing variety of fresh local breads with jams and honey, fruit (fresh & dried), hard boiled egg, yogurt, fresh squeezed juice, strong coffee, and mint tea. All served with a smile. More than enough to get you going. The STAFF (all female the days we were there) were kind, hospitable, eager to help organize outings or call a taxi for you. Important to note you can (by reservation only) have a lovely dinner in…",Riad_Meftaha,Rabat
 March 2018,4,First stop in Morocco,Bad: no windows or fresh air; no WiFi on rooftop area and main floor rooms feel the brunt of the noise. Good: Hospitality. The women in charge are helpful and polite. Breakfast every morning and room cleaned. Close to everything. Room decor is true Moroccan style with decent toiletries and bottled water. Tea at anytime of day. Sitting area in lobby or rooftop,Riad_Meftaha,Rabat
 March 2018,5,Fabulous!,"We had the pleasure of staying in this charming Riad for 6 nights. The location was perfect, in a quiet neighbourhood with wonderful access to the tram and two excellent restaurants: Dar Nani and Yamel Alchem. Our room was carefully thought out with a very comfortable bed and a ultra modern shower but what we really enjoyed was interacting with the staff. A special thank you to Raja for sharing her recipe of baghrir.",Riad_Meftaha,Rabat
 January 2018,5,Love at first sight!,"This hotel is amazing. From outside you might wonder how f you made the best choice but once you walk inside you won't believe it. It is like one of the 1000 nights take!! The lounge is the dinner and breakfast room, Let's say the patio of the house. The room was super clean, big and beautiful. The bed was comfy, we had a good rest. There is a small TV (just the right size as you are not here to watch TV), a small safe, some gear for tea. The bathroom is awesome. That shower will stay in my memory. It is all the right combination between local style and luxury. They provide shampoo and shower gel. Staff is supper friendly. WiFi good but in some places the signal was weak. Breakfast is a nice combination of local tastes.",Riad_Meftaha,Rabat
 January 2018,5,Amazing,"Lovely staff, friendly, helpful and great environment. Very central. Advisable 100%. Only negative issue is the poor English they speak but they manage to be understood and to understand you. The room was amazing with terrace and very clean and tidy",Riad_Meftaha,Rabat
 December 2017,4,"Great Riad, Avoid Annex Restaurant","We stayed for 2 nights at this excellent Riad - people were friendly, breakfast was plentiful but not to everyone's taste, the rooms were clean. The main concern, which is keeping them from getting 5 stars, was the sister restaurant - advertised in the room and in the lobby of the Riad. They serve only people staying at the Riad (or perhaps who know about the place) and only a few doors down and a few dors to the left. We were told they have a set menu, and serve from 7:30 till 10:00? or so. We booked 7:30 as we'd just arrived that day and wanted an early dinner and bed. We arrived about 7:35, greeted and seated, and started w/ a bottle of wine. About 20 minutes later our server left, but said someone else would be there to take care of us. It's a small place, but we…",Riad_Meftaha,Rabat
 December 2017,4,Clean and new stay in rabat,"Very neat and clean, the attendant was very nice and helpful. The location is great next to the Medina and the market. The hotel has clean rooms and a great breakfast with self-service, but we were in a room next to reception and common area from where we heard everything. The restaurant of the hotel was nice and we had a good couscous. However it didn't have much choice other than the daily menu.",Riad_Meftaha,Rabat
 November 2017,5,Excellent Stay,"We were very pleased with our 1-night stay at Riad Meftaha. Pros: - Great location: Within walking distance to the major landmarks in Rabat. Under 10 min blue taxi ride to train station (metered price: 7.5 DH, or Uber ~15 DH). Hotel informed me that blue taxi can cost maximum price of 50 dirhams/$5.32 USD or come on foot (it takes about 12 minutes). We recommend Uber or metered taxi, which came out much lower than 50 dirhams. - Very helpful and friendly manager / front desk lady who spoke great English. She walked us through our afternoon itinerary, gave us restaurant recommendations, and when I asked about train schedules to Fes, she printed quickly printed out the schedule for me. - The Riad is beautiful, ornate, clean, and quiet. Our double room ($78.21/night with bfast…",Riad_Meftaha,Rabat
 November 2017,5,Very nice and cozy Riad,"This Riad was very nice and very clean. The hosts were kind and welcoming. The breakfast was delicious. When we arrived we got invited to some mint tea and thereafter, the girl explained on a map places we should go to and how long the distances were by walking, it was very informative.",Riad_Meftaha,Rabat
 October 2017,5,Perfect for a night,"The riad is ideal for a night...the rooms are very clean and the hosts are really friendly..they even offer you free parking places Breakfast is also good..includes pastries, bread, eggs, organs juice, yoghurt, honey and jam We had the room on the ground floor so the only problem was that we could hear all the voices (anything happening within the riad) but luckily the guests wake up around 9 am so we managed to sleep till 9 am :)",Riad_Meftaha,Rabat
 October 2017,4,Nice riad with lovely staff,"+: very pretty riad, with big rooms. Although we were on the ground floor next to the breakfast, it was very quiet. The staff was very welcoming and extremely nice. You can park right outside the hotel, a guard looks after your car. All in all, very good value for money. -: can’t think of any in fact.",Riad_Meftaha,Rabat
 September 2017,5,Really nice Riad in Rabat.,"This Riad is at the edge of the Medina, a few blocks away, and a taxi can take you to its front door. As with every Riad we stayed in, you just can't tell what is inside the large door that opens to the interior - but we were always pleasantly surprised. Riad Meftaha is a delightful Riad at the corner of Rue Pakistan and Rue Iran (for some reason, that amused me) Once inside, you enter a large open courtyard, beautifully decorated with couches,tables and chairs. Our hostess brought us tea and cookies while we signed in, and showed us where various sights were on the map. Our room, on the second floor was colorful, tastefully decorated and spacious enough for the two of us. The wi fi was good. Our room opened onto the corridor, but we were at one end, and had a nice little couch…",Riad_Meftaha,Rabat
 September 2017,5,Pleasant and excellent hospitality,"From the beginning to the end you feel very welcome. The place itself is authentic and charming. Breakfast was very good. The location is excellent, just by the Medina. Khadija and her generous hospitality makes it excellent. Highly recommended.",Riad_Meftaha,Rabat
 September 2017,5,What a great little place!,In a great location just outside the gate of old medina. We stayed in the room with private terrace. It was wonderful. Great breakfast. The service is fantastic. The lovely lady helped us with many questions and directions.,Riad_Meftaha,Rabat
 September 2017,5,Beautifully decorated riad,"We loved this Riad! It is beautifully decorated and it seemed recently renovated. It is located very centrally, just a few minutes walking distance from the medina. The owners are very nice and the breakfast was delicious and elaborate. We had a room at the courtyard and we can imagine that it might be a bit noisy, bur in our case everyone was very silent until 9.00 in the morning so that was great! I really cannot think of anything they need to improve, so I gave them 5/5!",Riad_Meftaha,Rabat
 July 2017,5,Beautiful Raid well decorated,"We stayed in the Riad from the 23-27.07 and we really enjoyed. We had our 3 teenager children, and it was wonderful. The Riad is very clean and beautiful. Rooms are spacious and well decorated. Breakfast very good and special thanks to Khadija, she really made our stay very welcoming and enjoyable. Khadija well done and hope to see you soon. This won't be our last. I will really recommend the Riad",Riad_Meftaha,Rabat
 July 2017,5,A great stay,"This is a beautiful riad, decorated in typical Moroccan tiles, with a bright airy indoor courtyard, and lovely terrace. The manager was extremely welcoming and always ready to help. On our departure she even gave us a bag of fruit for our long journey! Breakfast was great and the rooms were clean.",Riad_Meftaha,Rabat
 July 2017,5,Definitely recommended,You certainly get Good value for money. When booking this riad. Breakfast was very good. Staff were so nice and friendly and go out of their way to help you. It is a Very beautiful riad and was very clean. Towels provided upon request. Spacious rooms with good wifi. Would certainly return again because the service was very good,Riad_Meftaha,Rabat
 July 2017,5,Highly recommended,We service very tired travelling for a a few days from Spain. The manager offered us some motto on tea and explain us absolutely everything we need to know about rabat and the hotel. The breakfast is very good and and the rooms clean and comfortable. Love that jacuzzi in our room. The last day we were leaving at 6.30am and the managers make a breakfast to take away for us. She is great!!,Riad_Meftaha,Rabat
