 January 2023,5,Lovely hotel!,"We were very happy with the hotel, the staff and the food! The beautiful riad is located in the center of the medina but in a quite street. The service and the food were fantastic and we even received a lot of tips for our time in Fès! We definitely recommend:)",Dar_7_Louyat-Fes_Fes_Meknes,hotelName,city
 November 2019,5,A wonderful birthday venue,"I spent a few wonderful days at Dar 7 Louyat to celebrate a big birthday with a group of friends. The riad was the best possible choice and everyone was delighted with their own beautiful room. We had an amazing birthday meal and there was even a special birthday cake. It was the perfect place to rest after a long walk through the ancient city of Fes, exploring the medina and coming back with all sorts of things that are on offer. Dar Louyat was supremely comfortable and we were told all about its history by Mohammed who was also very helpful showing us some special places to visit. Altogether an unforgettable experience which I hope to repeat one of these days.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 November 2019,2,Looks nice but really disappointed,"The only good thins is that the place looks really nice and the pics are accurate. But honestly, was disappointed by the service. They charged for the tourist map that in every other place I've stayed was free. Every other place in Morocco greeted one with complimentary mint tea at check in. They charged for it. They managed to not have mint tea the rest of our stay. (Don't know how a place in Morocco doesn't have mint tea). Our room wasn't cleaned on the last day of our stay. We had to check and recheck about ordering a taxi to the train station. On the good side, the night manager seemed to be on top of things and helpful. But otherwise, it seemed like there were no adults in charge. I can only speculate that's because the owner lives in France and was not around. …",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 September 2019,5,"Homey, with great food","My dinner here was a highlight of my trip -- wonderful home-cooked food, with a really nice range of little salads, good variety beyond what I'd usually been getting in restaurants. I think I might have been the only guest the night I stayed, which made the place a bit magical feeling! Very comfortable bed, and I loved the lightbox artwork in my room. I personally was glad not to have a/c, because I prefer not to use it--especially in these houses, which are designed to stay cool. (My room had a big floor-stand fan.) But I'm mentioning it because other people might be expecting it, and fault the place for not having it.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2019,4,Amazing location,We received a very warm welcome from Rida where the taxi had dropped us off. This Riad is stunningly beautiful. Rida even took our extremely large luggage up the stairs to our room and informed us on times for breakfast. The standard room was well STANDARD! The room itself needs a little love and attention and a bit of decorative warmth. Bed is very squeaky. The bed has more squeak than Bubble and Squeak!! Would recommend ear plugs so you can’t hear the squeak every time you turnover. Room seems neglected but nonetheless comfortable and almost soundproof and pitch black. Best night sleep we’ve had since we arrived in Morocco. The bathroom was beautiful. Very quirky. The shower was great. Breakfast was delicious and served on time every morning. The staff are amazingly…,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 October 2019,4,Fabulous place to stay,The riad is well within the medina and a good job we were collected form outside the medina as we might have had a problem finding it. The taxi to and from the airport was organised by the riad and all went well. The food in the evening was very good but we were the only ones dining but ok. We went out around Fes for most of the day and relaxed on the roof area in the sun in the late afternoon. The staff were very attentive Eunice and Red ( apologies for the spelling but he did body building ) they were both very good and Red organised some beers and wine for us which were very welcome. The room we had was big and very comfortable no problems at all Lovely place to stay and a true oasis a beautiful riad.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 October 2019,1,Over rated - scope to improve a lot,"One reason for the low mark is to a degree the fault of the high ratings this hotel has received in the past, which boosted our expectations. Firstly let us say the property is beautiful, the cooking is excellent and the welcome was just what you needs all of which deserve five stars. However too many other things that let this hotel down. 1. Comfort - the room we had was small and the beds, especially the spare bed was extremely uncomfortable 2. The design of the Raid means that when other guests wake up you wake up - not ideal when you haven't slept well. Unfortunately this also applies at night and you have to listen to singing of other guests as you try to sleep. 3. People describe the Riad as peaceful and quiet, but we had a lot of street noise and the smell of the…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 June 2019,5,Paradise in Fez,Our stay in Fez was a delight. Our hotel arranged for a taxi to be waiting for us at the airport. Then there was a cart waiting to bring us to Dar 7 Louyat. Dar 7 Louyat is located in the old Medina. Rich with history. Dar 7 Louyat is in it self an oasis. Stunning to see and a pleasure to rest our bones from the long walks of the day. We were greeted by Soufiane Dayi. A well informed and charming expert at Dar 7 Louyat. He was very friendly and helpful to us. He helped us set up very reasonable excursions during our stay. Arranged dinners at Dar 7 Louyat and even took a request from us for a dinner. The staff at Dar 7 Louyat were most reliable and friendly. There are fruit drink specials that are freshly made and they are delicious. I especially loved the Lemon Mint drink. So…,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2019,5,"Excellent staff, warm atmosphere","Cannot write enough about how great of a Riad this was to stay at. Not only was the cooking fantastic, the actual riad beautiful, and the location nestled into old Fes, the staff were fantastic. Soufian is a great guy who helped us every step of the way and coordinated meals, guides, showed us around town, and even jammed on a guitar with us. Really can’t say enough for how lucky we were to become friends with such a great host.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2019,5,What a wonderful Riad!,The riad is as nice as in the pictures and it simply takes away your breath as soon as you enter. Instantly you can relax and enjoy Fès and this wonderful riad with it's perfect staff! The view from the roof terrace is unbeatable and the reception and care during the stay by Sufyan couldn't be better! One of the best riads we stayed in and we definitely will be back!,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2019,5,Amazing riad with even better hospitality. Here you really are a family.,"I cannot say enough nice things about this place. The riad is absolutely stunning, from the vaulted ceiling’s with amazing carvings to the home cooked meals and lastly the amazing hospitality. I read many reviews about how this place made you feel at home. I can honestly say staying here was the best decision I made in morocco. I particularly have to thank Sufiyan for making my stay so so memorable. From offering me his own personal hand lotion to bring me a guitar from home, I do not have enough nice things to say about him. He really made the place feel like home. Cannot give this place more than five stars unfortunately, otherwise I’d give it 10. Location is amazing and is in such a place that is easy to find.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2019,5,Outstanding,"So many riads and hotels in Fes, it was so hard to chose where to stay! Staying at Dar 7 Louyat was the best choice! This riad is absolutely stunning, the service is great and the food is delicious. Very friendly atmosphere. If we come back in Fes, no doubt that we will be back at Dar 7 Louyat. Thanks Sufyan and all the team! (Lexie says: Hello Sufyan ;) )",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 March 2019,5,Best hotel guide in Morocco!,Thank Sufyan大禹 so much for guiding us to the hotel! It was really a good surprise that he could even speak Chinese to us! 謝謝大禹讓我們在非斯感到安全，親切。你的工作熱情還有對我們中國人的友好好客令我們覺得非常非常激動開心！很希望下一次如果再來摩洛哥還可以見到你！We really enjoyed our stay here. Thank the hotel and Sufyan大禹 for everything!,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 March 2019,5,Amazing,"We stayed at this Riad for 2 nights. The place itself is well maintained and very nicely decorated. It has a lovely view from the terrace. The host soufiane he is great, very nice lovely person he greeted us at the gates and took us to the Riad. His English is perfect no problems with communication.He treated us like family helping with anything and everything. The Riad was fully booked on the days we stayed but yet he attended to each and every guest with great respect and politeness arranging tours in and out of fez. I highly recommend this place.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 March 2019,5,Best Riad in Marocco,Whe stayed at the Riad 5 days and felt so comfortable about this beautiful and relaxing place. It has been the best Riad of our hole Marocco roundtrip and a big thank you to Sufyan who has been the best guide in marocco. He helpt us with really everything and told us a lot about the maroccans and their culture. He always had time for us and made our trip just perfect.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 March 2019,5,Elegant riad in the heart of the medina,"We spent five nights in this oasis of calm in the midst of the bustling medina - a traditional riad elegantly refurbished at the end of a street with ""7 turns"". The staff were super helpful and kind, really catering to our every request. Delicious homecooked dinners (especially the chicken tajine). The terrace.has places to sit out and enjoy a superb view over the medina. We slept in the rooms next to the patio - everything super clean and well-cared for. This part of the medina is away from the mass-tourism of the Bab Boujdoul (Blue Gate). Recommended.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 February 2019,4,Beautiful Dar,"The Dar is beautiful and the courtyard is traditional with intricate detail giving a nice ambience. We booked a superior room on the 3rd floor - this room was clean, the bed was comfortable and the bathroom was great with amenities! A tip: The one window in this room was very tiny and the wooden roof was a bit low giving it a very claustrophobic feeling, however, I think other rooms in the Dar are larger and have big windows so I would recommend you book one of those rooms. The location is pretty central and we did not get lost so don't be discouraged about the location. We had somewhat of an average experience with the night staff. We checked-in late and the Dar was very accommodating and we appreciated this immensely. We had a rented car and picked this Dar because of…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 May 2018,5,You Feel Like You're at Home,"I have lived and traveled all over Morocco since 1980 and as I work in the film business, I have stayed in all the big cities and rural regions of the country. To best describe my stay, I can simply say I have rarely been as well looked after anywhere in Morocco as in Dar 7 Louyat. From the first moment following your luggage as it winds through the streets of the medina of Fes to your final good-bye, the staff makes you feel totally at home and taken under their wing. Naima and Rachid attend to every need, and Khadija delights you with traditional Fassi home cooking, known to be the best in Morocco. Besides the wonderful, friendly service, the traditional Moroccan house is a lovely mix of both Moroccan decorative work (carved plaster and wood, traditionally painted doors) and…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2018,5,Central Riad in Fes,I visited fast for the first time and my stay in this we had made the trip feel like I returned home every night. The staff at the Riyadh way really friendly and the food is the best I’ve had in Morocco. The room was really big and had an extra bed. I visited Fes for the first time and my stay in this Riad made the trip feel like I returned home every night. The staff at the Riad way really friendly and the food the best I’ve had in Morocco. The room was really big and had an extra bed. The Riad is really close to all the souks. I would recommend visitors take a taxi from the airport which is organised by the Riad and to be brought to the hotel it is quite hard to find but once you know the way it’s easy to find your way back.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2018,5,"Getting to the hotel, is not its selling point, but you'll love staying there","We arrived in Fez airport at dusk, and we were picked up by our bus and our guide. We were a group of 18 people, both adults and kids aged 10-12yo. We were taken first to a restaurant immediately after arriving and we finally arrived at the entrance of the medina, quite late (for our travelling standards), that is past 11pm. I had checked that the hotel was well inside the medina and no vehicle can get near there. So, upon getting off the bus, our guide helped us hire too ""karossas"", namely hand-drawn ""trolleys"" who loaded all our luggage and started walking to the hotel. We walked under the Bab (Gate) R'cif and through the Place R'cif and then the interesting part started. The alleys that take you in the medina become gradually very narrow and, at places, were not very well…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2018,4,Looked after like family,"We had a wonderful stay at this beautiful riad. Don't be put off by the fact that there are a few twists and turns down small laneways to the riad. The hospitality you will receive is amazing. My partner wasn't well before we arrived and everyone went out of their way to make him comfortable and look after us.The breakfast and dinners served in the beautiful internal courtyard are incredible, so delicious!",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2018,5,Fantastic stay,"We had the fortune of staying at Dar 7 Louyat after a mishap with our original booking (we had booked a room at Riad Oulyia but due to a mix up, they ended up not having a room for us). Everyone at Dar 7 Louyat was absolutely wonderful from the minute we walked in! The ladies who take care of the place immediately greeted us with the biggest and warmest smiles, and the customary mint tea. The manager (who spoke perfect English) took the time to walk us through just enough of the basics for our first night and because we were exhausted from our trip, left the rest of the details for the following morning. They were kind enough to order food for us so we wouldn't have to go outside and try to find a decent place to eat, and the next day we had one of the best breakfasts of our…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2017,5,Charming guesthouse but don't expect to find it without help,"I foolishly overlooked the instructions sent to me by Bertrand, the French doctor who owns the guesthouse, about arriving at Dar 7 Louyat. Arriving in the medina by taxi, I tried to find a path through the labyrinth of small streets. Almost impossible. The ""louyat"" in the name means ""turnings"". There are seven of them, and that's AFTER you find the Place es-Sefarrine, itself no mean feat. There are signs to the guesthouse but these are only really useful as reference once you already know the way. So my advice is, do not follow my example. The manager, Rachid, will be happy to arrange an escort for you. Once you have been shown the way, it will be easier to find it yourself a second time. What can you expect in the guesthouse? Large rooms, tastefully decorated, with many…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 November 2017,5,Caring Staff,"Nice rooms and bedding, taseful decor, great breakfast and caring staff. Location is also good and close to the main tannery. I had to go to the train station in the middle of the night and the staff organized a reliable escort to ensure that I was save.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 September 2017,5,Best place in Fes,"We had the most wonderful time here. The place is absolutely beautiful and the staff made the stay incredible. We will definitely go back to this Riad. Breakfast was really good, room was nice, clean and the Riad is absolutely gorgeous. We travelled with a 2 years old who was very comfortable and loved his time there. The staff even made him French fries when he got hungry. Highly recommend this Riad.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 September 2017,2,"nice hotel, but management has no class","great interior though very very hard to find. Staff was nice but lying to me about taxi price and not apoligizing or even admitting to ripping me off shows very little class. Avoid if you can, there are better riads in fes",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 September 2017,5,Our favorite place in Morocco,"This Riad is the best accommodation we have had while in Morocco and probably one of the best of our lives! The hospitality of the people that run this place has made our stay unforgettable, and we will come back for sure!",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 September 2017,5,Great Experience in Heart of Fez,"The location was perfect and the entrance to the Riad is truly an experience about life in Fez. They received us with an amazing mint tea while explaining the architecture of the place and how to get through the medina in Fez... and the staff is absolutely amazing, always smiling and willing to help in all of our requests. Cant wait to be back at this riad and amazing town.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 September 2017,5,Beautiful Riad + Best Staff Ever!,"We loved our stay at Dar 7 Louyat. With help from the staff it was easy to find the building even though it is tucked away in the medina. The entryway is a wonderful experience -- walking through the small medina alleys until you come upon the riad and it opens up to a huge courtyard with intricate tiles and tall ceilings. The building's restoration has been done very nicely. We were greeted warmly. Our room was very clean and cozy. Nice bed, separate dressing room and very nice bathroom. Our favorite part: The staff! The chef was always smiling and laughing and showed us our most hospitable experience in Morocco yet. Rashid was very helpful and available if we needed anything. We were interested in connecting with local artisans and the managers of the hotel helped us find…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2017,5,Amazing place,Amazing Riad hidden among winding and extremely narrow alleys of old medina. Extraordinary impression when you go inside to this beautiful interior... Very friendly staff. An unforgettable experience. You miss this place just when you have left it!,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 June 2017,5,4 Days in Fes,"Probably 5 points are not enough! The riad is wonderful and clean with everything you need. But for sure what makes the difference is people working there. I just talk by email with the owner for reservation and he has always been kind. In Fes we have met Mounsieur Rachid (the riad manager) and all his staff: everybody has has been helpful, always kind and smiling. He has helped us with everything: suggestions, tour organisation and all the small things. The food is excellent (best dinner we had in the 4 days) and the woman working in the kitchen has conquered our hearts with her smiles. I really hope to come back one day!!!",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2017,5,Good experience,My friends and I stayed at the hotel for two days. Very well located in the inner medina. Don´t get afraid of the way in through the medina. At first sight can seem imposible to find the way bakc but once you get around is very easy. Extremelly nice and helpfull staff. Nice breakfast included. I specially recommed having lunch or dinner at the place. It was the best foodie experience in all Marocco.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 March 2017,5,Pleasant stay,"The Riad is in a very convenient location, rooms are clean, nice and well furnished, the roof terrace gives an impressive view on the medina, but the real added value of the Dar 7 Louyat is the staff, as they all are more than kind. The breakfasts have been quite an experience as well as the dinner.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 March 2017,5,A true gem at the heart of the old Fes,It was like a trip back in time. The house looks and feels very majestic. It's very well kept and maintained. The staff are as helpful as it gets. They go out of their way to offer the best help they could. Would definitely stay there again when I'm back.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 March 2017,5,Good experience,My friends and I have a great time in this riad.highly recommend!good breakfast.best service in Fez.please come to this riad. The room is big and very clean.The lunch and dinner is best in morocco. 强力推荐，大家不要错过，老板人很好，吃的一级棒，很符合中国人的口味，房间很大，很干净，强烈推荐在这里吃午餐和中午餐。,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2017,4,"Hard to find, but worth the search!","This is so nice, friendly and tranquil - once you're inside. My goodness, it was so difficult to find in the middle of the souk! ""Streets"" (most of them just about wide enough for two people to pass) all seemed the same to the untrained eye! Our train to Fes ran very late and instead of arriving while it was daylight, came in so late that it was dark and there were very few people around. Eventually a young man realised we were lost (and he would have the chance to make a few dirhams!) so he led us to our destination. We got a great welcome, with mint tea and big smiles. Breakfast was very nice, with a wonderful selection of freshly prepared foods, served by people who really appeared to enjoy their job. We stayed there for 3 nights and it was really only by the last…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 February 2017,5,Exquisite place!,"Talk about time travel into a beautiful past! Kudos for your restoration of this gorgeous Riad. When we first arrived at the Place de Rcif, we followed Rachid thru the labyrinthian turns in the maze-like medina with great trepidation wondering if we had made a mistake. When we finally stepped into the riad, it was a world apart! Soaring courtyard, with exquisitely restored moldings and doors, it was beyond our expectations. And the reception, Rachid was courtly and courteous and helpful. Naima was pure delight, always cheerful and an excellent cook. We hope to return when you finish your renovations/restorations next door. One suggestion would be that you provide guests with a map indicating location of riad and how to get about, as well as places of interest and restaurants to…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2017,5,Perfect birthday weekend,"One word, awesome! I had a perfect 4 night stay at Dar 7 Louyat. A beautiful hidden gem. So quiet and peaceful. I'm so in love with this place. The rooftop was amazing! Naima and Rachid was such a sweetheart. Can't wait to be back..",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2017,5,Beautiful old raid in Fes,"This hotel is a very old traditional and beautiful raid in the medina in Fes , everything is very clean and order , the interior is really amazing and the view on the roof is also very nice . the staff there are also very nice people . only thing not so good is the location , though it is near the main gate however it is too deep in the short lane and the lane is very dark in the night , it will be hard to find the way in the night . Anyway it is a very beautiful and nice raid . it is a good choice for travellers who interested in the traditional raids in morocco . recommend it to everyone who will travel to Fes",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2016,4,Beautiful hidden Gem,"The place is amazing, very traditional decor. Not for you if you're looking for a place with all the mod-cons but is great if you're looking for an authentic, traditional Moroccan experience. The people were very helpful. Rachid was great with helping out in terms of what to see and where to go, Naema was a fantastic help and super friendly. When my son fell sick she walked us to the nearest pharmacy. The food that was prepared was delicious! All in all a great stay and would definitely recommend.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2016,5,Perfection,We were met by the owner's sister nearby and personally escorted back to the beautiful Riad. The initial experience upon entering the Riad was breathtaking. There were several gas powered heaters running so the atrium was warm and cozy. It was obvious that a lot of attention went into making the guest experience comfortable. The cook and riad attendants were very sweet and took care of all our needs and wishes. The rooms were amazing and roomy. One of the most comfortable beds/room we stayed in during our 3 week tour of Morocco. The meals prepared on sight were done with TLC and with a lot of pride. Great location topped off our experience; easy to get in and easy to get out.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2016,5,Three days with great experience with great host!,"Stayed here for three days, great host and great chef cooking Moroccan dinner - there's no menu, but everyday is different depending on what's in the kitchen:). Breakfast is included and it always feels like a king/queens serving. The host are Raschid, Naima, and Hardijia. Although I don't speak French, they are super friendly and helped me with all the trips arrangement and tour guide. After a couple days in other cities in Morocco, I always had the feeling that everyone is trying to cheat me until I met this lovely people at this Riad. Three days two nights with them, as a solo traveler, they become friends. I am very grateful and I will recommend all my friends to come here as well, whether you are with family, solo traveler or a couple. (At the same time of my stay, there…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 October 2016,5,Unforgettable stay at Dar 7 Louayat - recommended,"We were a party of 4 that spent a few days in the best accommodation we found in Morocco. The Service offered is top notch: Rasheed came to pick us up outside the Medina and helped us with the luggage. The personnel is kind and cheerful. We were offered a warm welcome, with tea and a chat in a sumptuous Palace. The restored Riad is just awesome with splendid middle ages features. Hisham and her mum turned out to be awesome chefs, and we happened to eat in twice in 3 days. The food was fresh, varied, generous in terms of quanties and stylish at the same time. We were totally satisfied with that. The rooms are spacious, tastefully decorated with spectacular Moroccan bathrooms in respect of the traditional features. We really felt at home and totally relaxed, with a good…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 October 2016,5,The perfect place in Fes!!,"I have to admit this is my first review, but this time it is not possible to share with others the amazing experience we had at Dar Louyat 7. Everything was simply perfect, the perfect mix of availability and discretion very difficult to find, and very much appreciated. We arrived late in the evening in Fes when it was already dark, and fortunately Rochdi came and pick us up, it is better to have an experienced guide for the impact with the Medina after the sunset. Entering in the Riad was really an experience, everything is so beautiful, peaceful and clean. We were alone in the Riad and we stayed in big room cosy and colourful. Everything was perfect, and I believe I want to spend some more few words for Nahima and Khdija: they’ve been absolutely amazing, preparing the best…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 October 2016,5,Amazing historically renovated Riad in old Medina -Fes,"The experience was fantastic: Food (the cooking was the best we've experienced in Morocco), attention to guests and riad in itself were all excellent. Staff was very helpful, friendly and honestly concerned about our well being. The riad is located centrally in old Medina. After several trips to Fes, this is the best and more authentic place that i've seen. We would stay here again for sure and we highly recommend this Riad to anyone visiting Fes.!!",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 August 2016,5,Absolutely Perfect!,"Staying at Dar 7 Louyat absolutely made our stay in Fes. Rochdi met us in the square nearby and brought us to the Riad. There is absolutely no way we would have found it in the maze of Fes. It is imperative that you arrange a pick up with the Riad prior to your arrival! Rochdi also arranged a walking tour for us through the maze of Fes which was great. I have a really good sense of direction but still got lost because street names change, Gates are closed at various hours of the day and everyone on the street tries to tell you things are closed or in the other direction. Given the hecticness of the city we were so thankful for being able to return to the Riad to relax and cool down. As it was August and crazy hot, we were the only guests. We were graciously upgraded us to a…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
