 January 2023,5,10 out of 10 Stay at Riad Verus! - My favourite place to be in Fes,"My Incredible week and a half spent in this magical place! what can i say, the whole place is decorated, furnished at the most high quality it can be - and love the style about this whole place. The Breakfast at Riad Verus was the best BREAKFAST i had in ALL MOROCCO! you will definitely be skipping lunch. 10 out of 10 experience especially on my first & 3rd night staying here they had wine night which was so cool , and also in the week they did an impressive dinner for all the guest -free of charge! Thank you Riad Verus for your Impeccable Hospitality & to all the Staff. P.S - Unlimited Moroccan Tea! :)",Riad_Verus-Fes_Fes_Meknes,hotelName,city
 December 2022,5,"Friendly, Heart Warming hostel","We stayed at Riad Verus for our trip to Fes and we loved it! Bed was comfy and warm. We were greeted by Zach, who was extremely helpful and welcoming, who also offered us tea. The breakfast was simply delicious and amazing, for this price. You can’t find anything better than Riad Verus. Would highly recommend it!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Two nights at Riad Verus,"Had a great two nights at Riad Verus. Met loads of fun people, the hostel is beautiful and incredibly well located. The breakfast much raved about in the other reviews is absolutely justified — best breakfast I’ve had in my two weeks in Morocco. Zakaria is an awesome host. He was really helpful and made the stay even better. 10/10 Highly recommend",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Very nice hostel with good community,"Zackeriah was very helpful during my stay, and it is a very nice hostel with a good community. The room i had initially booked was under construction, however they provided me an upgrade at no cost to me :) very nice terrace and lovely breakfast included",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Great stay,It was great stay there. When you come inside the hostel there is a huge comfortable guest room with hundred lamps to hang out and chill which was also my favorite part of this hostel here. Nice and friendly staff and even the breakfast was included which I didn’t even know. Zakariya was the nicest person there and helped me with with a lot of things and answers.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Very nice experience and beautiful people!,"The location is amazing, with a typical Moroccan style! Coffee and mint the (oh my god, sooo delicious) are served at every ime for free, just to make you feel like at home. At my first night they prepared for all the people a free dinner with typical. Stuff was always available and very ready to support you in any possible way. Beautiful rooms. Simone",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Outstanding hostel,"Fantastic place to stay if you are in Fez! Absolutely beautiful decoration, great facilities and friendly staff who went above and beyond - we arrived very late in the night and were allowed a late check-out and given free coffee!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,AMAZING HOSTEL,"The Riad Verus is by far the best hostel I've ever stayed in! The terrace is an amazing place to chill and relax, the bed are amazing and the staff are incredible! Shoutout to Zak, he is an amazing guy and he is so hospitable and you can tell he loves what he does! He is a very good friend now and I would say go see him when in Fes.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,great experience!,nice people working here - very helpful!! cool terrace great view and very cozy. perfect location at the entrance of the medina. shisha was amazing as well. best tea I’ve had in marocco by zakaryae would go again :),Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Great place and very kind people,I only stayed 2 nights at Riad Verus but was a beautiful experience. The staff is very attentive with every single traveler and makes them feel like home. They even cooked a family dinner for all of us staying in the riad where we chatted and laughed and got to know each other. Thank you Zakaria for your tips on where to go in the city and for the endless cups of tea.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Short but magical,"Stayed for three nights. The hostel was such a beautiful place to stay in. The location was good. Definitely going back in the near future. The staff were really friendly, special thanks to Zakaryae for his kindness !",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Fantastic,"Beautiful place with the best athmosphere. The central patio is amazing, as it is the rooftop with amazing views to the Medina. Special mention to Zacarias, an amazing guy always ready to help. Also included with the price I got an amazing breakfast served at the nice rooftop. Absolutelly recomendable!!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,"Very nice experience, such good value","Amazing hostel with good atmosphere. Feels safe and the location is very central, right in the medina. Breakfast was incredible, especially for the price. Thanks to the friendly staff for being so helpful and Zakaria for providing recommendations what to do in Fes!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2021,5,Good hostel in Fes! Riad Verus!,"First walking in I already loved the environment of this Riad. The terrace is very comfortable, aesthetic and plays good music. Staff are super friendly, Zakaria was always there for good conversation or to help out. Beds are comfortable and the showers are hot and have good water pressure. If I am ever back in Fes this is where I would stay!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Amazing Riad and super friendly staff,I had a good time at Riad Verus. Staff were really friendly and welcoming. I especially enjoyed all the free tea and the nice conversations with Zakaryae. Free breakfast was nice and everything is within walking distance from the hostel. My favorite part about the hostel was the chill out area and the rooftop terrace.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Perfect!,Amazing service in a great area! Staff were very kind especially Zac and the free breakfast was exactly what I needed to start the day. The tea was delicious and it offers an expansive view over the median and into the mountains.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,"Very good, highly recommended.","Very clean, tidy and really good vibes. Staff is super friendly and helpful. Breakfast is fantastic and plentiful. The riad is central, 10-20 minutes from anything worth seeing. Zakaryae is the man, the legend in the riad. Anything you want he can help you with.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Cool vibe and great location,"Really lovely welcoming Riad. Great breakfast with a wide selection brought to you, a lovely roof terrace and a good location for the medina and blue gate. We are saying in a private room and the bed is very comfy.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Great hostel!!!!,"Had an amazing stay here. Everyone was very welcoming and the facilities are great! The rooms are nice and comfortable, the rooftop terrace was really nice to chill on and the free breakfast and mint tea are next level. Would definitely recommend.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,"Bed, breakfast & cool vibes","One of the best hostels I stayed in!! Thanks to Ayoub and Zakaria for making the place as comfortable and chill as it is (music, tea, etc.) The rooftop was awesome to get higher and see the Médina from above! Free breakfast, ""family dinner"", I had to leave before booking this place for a year! Choukran! Hope to see you soon!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Fantastic stay,"I never stayed at a hostel before and it was probably the best first experience you can get. The guys running this place are very young, welcoming and friendly and Zakaryae gave me some great advice where to go. I would especially recommend it to solo travellers as it was very easy to connect with other especially on the stunning Terrasse.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,4,Good position and spectacular architecture,"My friend and I stayed in a private room, it was cozy and had the basic essentials. The atmosphere is really good and enjoyable, they organize lots of social activities (for example family dinner for free). In the terrace a very rich & delicious breakfast is served, you can also have mint tea for free. Staff is very kind and available, but we suggest more attention and organization as for the guests’ needs. In general we would suggest staying in Riad Verus, position is perfect and we felt safe.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Amazing stay - totally recommend!,"The Riad Verus was one of the best Hostels I've ever been to. The yard and rooftop are just stunning, beds are very comfortable and the included breakfast is really good, they serve you a whole menu including sweet and savory options. Also the stuff is super friendly and it is a very cozy, welcoming and relaxed vibe in the hostel :)",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Incredible hostel experience in Fez,"An amazing hostel with a great atmosphere. The rooftop terrace is a great place to socialise with other travellers and enjoy the free breakfast. The staff are incredibly friendly, Zachari was incredibly welcoming host and makes the best mint tea in town.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,A memorable stay in the best way,"Friendly staff (shout out to Zacharias and Ayub in particular); amazing terrace for meeting people as a solo traveller; good location right by the medina and blue gate; comfortable beds; big free breakfast, and; strong WiFi. Couldn't really ask for anything more. Also nicely decorated, an added extra.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,"Incredible terrace, great facilities and staff",Highly recommend this place! For starters they give you a large breakfast which certainly keeps you going past lunch. The dorm facilities are well maintained and aside from the en suite for each dorm there are also lots of bathrooms on each floor. The staff working at the hostel are super welcoming and extremely hospitable - big shout out to Ayoub and Zachari for making my stay amazing!,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Beautiful Riad,"Stayed here for two nights on my solo trip through Morocco. This hostel is beautifully decorated and has a great roof terrace for meeting people or seeing the sunset. The rooms are really comfortable, stayed in one with a private bathroom. Zakaryar was really helpful, welcoming me with tea, giving directions, etc. Highly recommend!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Riad Verus Fes,"The Riad Verus is amazing. The location is good, friendly staff, an awesome view from the terrace and breakfast ist just delicious. Zakaryar is very kind, always available and had good recommendations for us. Definitely recommend the hostel.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Best place to stay in Fès,"Perfect place to stay in fès. Free Breakfast. Beautiful interior and comfortable lovely terrace. Very friendly and helpful staff. Zakaryae and Ayoub where always there to help. Felt very safe there, even as a solo female! Thank you for the amazing time there.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Great hostel with amazing hosts!,"The facilities of VERUS Hostel were very good. Room and bathroom were always clean, no matter the hour. You could always see Staff around cleaning and tidying up. Zakaryae and Ayoub were very friendly and encourage everyone to meet each other, which is always very important for a solo traveler! They were very kind and helpful. Thank you guys!!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Totally advised,"Great environment with lots of backpackers and the best terrace ever when you want to create some network or you can also just enjoy the awesome view. Nice breakfast too, thanks to the owner Zakaryae.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Amazing Atmosphere And 100% Best Place To Stay In Fes No Doubt,This was just a great stay ill be completely honest safe and very amazing staff. Their breakfast is amazing and eating it in the rooftop terrace is just next level. If your going to stay in fes stay here. Staff will be super welcoming and just helpful. Im a real person and yes ive stayed here 120% recomended. Cheers,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,I would come back next time I’m town,"Great location near the Madina, excellent terrace with lots of comfortable places to relax and an amazing view overlooking the entire city. The staff is very friendly. The free breakfast has lots of variety and is great, Zakariya will take good care of you.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,"Great, highly recommend","Great hostel, highly recommend. Comfortable rooms, breathtaking terrace with an incredible view overlooking Fes. Ayub and Zakarya were great hosts, very welcoming and kind. Breakfast in the morning is also great.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Super lovely place!,"I stayed in the eiad for 2 nights and all in all I had an amazing experience! The staff Zakaryae and Ayoub were super nice, they‘d do everything for you and hang out with the guests a lot. In general the atmosphere is super chill and they treat you like family. Thank you and see you next time!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Best Riad ever,"Riad Verus is the best riad that you could ever choose to make your stay in Fes perfect. Tha staff is super helpful and friendly, especially Zakaryae and Ayoub. Thank you for all the good energy and good vibes.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,"Frendly staff, good location, good facilities, comfy bad","Tje hostel has really good energy going. Very plesent and staff + good location. I definetly recomend it. Zakaryae and Ayub vere super friendly when we were spending time on the terrace, made our evenings much more fun :) definetly recomend staying here",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Fantastic experience!,"Stayed for 2 nights, Had an absolutely amazing stay Zakaryae and Ayyoub. made me feel really welcome. I was very tired the first day when I arrived, so I kept to myself a bit, but he tried to get me to socialize. Which I appreciated very much. The next day, breakfast was fantastic. Way more than you usually get at a hostel. Location is very nice also. Lockers are under the bed but hard to access due to people leaving their stuff scattered around. Hostel door is always open, but I didn't have any unsafe feeling regarding my belongings. If you go to Fes, definitely stay here!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Amazing hostel with great hosts,The most amazing hostel ive been to. Zakaria was super nice and very helpful with everything. I would definitely recommend this place for anyone visiting Fes. The breakfast on the roof was super amazing,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,3 night stay,"Was a lovely few days in the hostel, the food was great the atmosphere was incredible and the hosts were extremely hospitable zakaryae was a ledgend and a great waiter, everyone was welcoming and I will definitely come back.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Freinds,"Zakaryae was a great host! Amazing accommodation, the free breakfast is next level. The top terrace is a great spot to meet other guests and they host several events each week to encourage a community vibe.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Best hostel in Fes,"Beautiful riad in a great location. Staff are super friendly and helpful. Particularly Zakaryae who was always available when needed. The terrace is the best you'll find in all of Morocco and the same with the breakfast. Also very social, a must stay!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Excellent stay,Great stay overall. Excellent staff. Great location. Beautiful building. Good energy bringing lots of fascinating and fun people. Special thanks to zakaryae he helped us a lot with our special request and went out of his way to do so.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Holiday in fes,Great hospitality and a great environment. friendly staff like zackeria helped us prepare our chicken curry in a tangia very helpful people and they make you feel right at home. would recommend a stay at this place for sure if you are staying in fes.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Very friendly and hospitable staff,"Good value in a very beautiful riad with a rooftop terrace. The staff (especially Zakaryae, Samy, Ayub) were very hospitable and were always available to help. The free breakfast and tea is amazing as well.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,What a place to visit!,"Hostel Riad Verus was one of, if not, the best hostel I have stayed in. Set in a wonderful location near the old city, the hustle and bustle of Fes, is close but not intrusive. The hostel is spectacular, a palace within a city. We were greeted by friendly and immensely polite staff, who showed us to our rainbow lit dorm; gave us excellent recommendations and served mint tea to us on a rooftop terrace as the sunset. Zachary and Sammie, were fantastic hosts, who laid up such breakfasts and dinner (Fridays) which will leave you filled and fulled. I can’t recommend Riad Verus enough, it will make your visit to Fes even better than you imagined. Make the most of the hospitality offered by Zachary and the whole staff offer, makes a palace feel like a home.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,The best hostel in Fes,Amazing hostel with amazing staff. Big shoutout to Zacharia who made our stay very enjoyable. The best free breakfast at a hostel. The rooftop terrace has an awesome view and the common area is fantastic. Free dinner on Fridays which was great.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Beautifull rooftop,Beautifull hostel with nice rooftop. Friendly people and Zakaryae helped us a lot! He made u feel very welcome. We had the most amazing breakfast. They can also help with trips and where to go or arrange a taxi.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,"Amazing hostel, great staff","Amazing hostel, great view from the rooftop. The staff is amazing, super friendly and helpfull. Especially Zakaryae gave us great advice, explained a lot and makes you feel very welcome. LOVED the breakfast 😍",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Great Hotel with wonderful staff,"This is a very friendly hotel with nice interior, very good located. Breakfast at the roof top is perfect. Staff member Zakaryae welcomed us with very tasty tea and helped a lot with recommendations. We are definitely coming again and highly recommend this beautiful place",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 November 2022,5,Trip in fez,"This hostel is beautiful and the staff is really welcoming, especially Zachariah It’s a wonderful place, really beautiful! You’re welcomed with good tea, the rooms are beautiful and it’s a good place to meet people from all around the world !",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 October 2022,3,"Not the best, not the worst","I stayed in the 4 person rooms on the bottom floor. 1 thing to note is you are essentially in the common area there, the doors open up to where everyone hangs out. The place was moderately clean but only 1 shower was not great. One things to note** it’s noisy. It seems one of the owners family lives there so there were countless times their kids would be screaming or crying. Also they have a bird cage with birds that chirp all the time. Finally, the beds are so uncomfortable. They definitely went the cheapest route and you can feel it. If you get over all of that the views from the terrace are amazing, and the breakfast is very good. Although it starts at 9:30 which I feel is kinda late if you are trying to catch a bus it is still worth it. The location is next to where the…",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 October 2022,5,Amazing place to stay,Amazing place to stay Very clean staff are kind and very helpful The breakfast is huge and delicious and they organise so many activities which I recommend To do through the riad like Sahara tour And Hamam and cooking class which i experience with them and they were amazing after all very good stay Don’thesitate to stay here,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 October 2022,5,Great hostel,"Great hostel. Staff, terrace, rooms all excellent. Great location at the centre of old town. Would highly recommend. Staff are very attentive and friendly, any need they will be on it. Great place to chill",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 October 2022,5,Oasis in the city,"Came here after a longs days travel and found myself on the most lovely terrace I've been on. Lovely staff and space!! That help you around the 10 thousand alleys, mind boggling experience with our lovely guide!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 October 2022,5,Amazing,Amazing place to stay! Everything exceeds expectation from the ad and the terrace is really beautiful! All the staff are very accommodating and welcoming. I couldn’t be happier with our stay here!!!!,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 October 2022,5,Amazing!,"I really loved this hostal, very clean the stuff is super friendly and helpful, the first day I stayed they had a free dinner offered! I could hang out with other great interesting travelers there. Breakfast is absolutely the best breakfast I've tried so far in Morocco! I'd definitely come back! Thank you for the wonderful service!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 October 2022,5,Awesome,"Riad Verus is well decorated Riad with Morroco style. It’s nice and clean and the staff is attentions. And also it is well located, inside the Medina, and supported by local markets, ATMs, restaurants. To complete that, it is easy to make trips and excursions because local providers easily pick you up there.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 October 2022,5,Plenty of activities for travelers,"I had the best time here at Verus meeting people from all over, loved the wine night and the tour of Fes el Bali. The dorms are good, multiple spaces to chill, clean, best breakfast and convenient location. It was just me and the staff were friendly and it was easy to be included. Will definitely be recommending this hostel!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 October 2022,5,Good vibes al around,Good vibes all around As a LGBT Traveller I was made to feel welcome; not many places did in Morocco so that was refreshing. The staff were polite and non intrusive. Available when I needed to ask a question. Great on email and responsive. The price was on point. Overall a great place to meet a tonne of people.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,2,Would stay elsewhere - especially as a solo female traveler.,"The riad itself is in good location: quiet and walkable to most things. It has a nice roof deck area that was a comfortable place to eat breakfast and to hang out. We booked a private room that was good sized and generally comfortable. The price was very reasonable, and the support staff was very friendly. There were however several issues that arose during our stay that prevent me from leaving a positive review. The first issue was at check in. Only after we arrived were we informed that the riad was cash only. Not ideal communication, but fine. We paid for two nights and said that we would go to an atm while out for dinner. When we returned to the riad there was no one in the office so we went to bed. Rather late in the evening there was a knock on the door demanding payment.…",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,2,Time to move this Riad down from #26,My honest opinion is the previous reviews are over rated. This Riad is unkempt and tired. The bathrooms are filthy. The highest price room smells like a sewer and the cheap perfume put in the room makes it even worse. The staff is very nice except the manager who thinks way too highly of himself and as a woman left me feeling unsettled. He is often seen laying around on the furniture in the entry room very unprofessional. When he did speak to me he came across very insincere. I have traveled the world. Low cost does not need to be low quality. The management here needs to improve the quality of this Riad to clean Morocco standards and conditions.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,"Fantastic stay at Riad Verus, would definitely recommend it and hope to be back soon myself!",Definitely recommend staying at Riad Verus! Everyone working there is super kind and they go out of there way to make your stay as comfortable as possible. The Riad is very clean and comes with free breakfast too. The lobby is definitely the most beautiful one I’ve seen during my time in Morocco and the rooftop has plenty of room to enjoy a break from the busy streets of Fes. Here you are not just a guest but part of the family.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Great spot! Good vibes,My friend and I had a great stay at Riad Verus. We had a super late check in (past midnight) and there was a freak thunderstorm going on. the owner made sure that we were picked up at the airport and transported to the hostel. He was very friendly when we checked in. The room was great! We booked a room for two that had a bunk bed. Also had an en suite toilet and shower. Everything was clean and working great. The riad is also very beautiful and had great vibes. Always had toilet paper and they even provide towels which was a plus. The laundry service was great and very prompt. The breakfast was glorious. They cook it to order and bring it to you. Hospitality of the staff was top notch. Definitely recommend this hostel.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,3,Great ambiance and views,"Stayed here briefly with 2 of my friends. Lovely views and overall vibe of the riad. Staff was also lovely and accommodating despite us not being in the best mood after traveling all day. One thing to note are that the dorms are co-ed and don’t offer much privacy. No curtains which is unusual. Bathrooms are not the cleanest, sometimes I felt dirtier leaving than entering. It’s a very fair price though and besides a couple things, everything else was great.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Very good value for money,"Very good value for money backpackers that was clean. Restroom was big, bed comfortable, nice decor and the location was very convenient. Must mention the chill outs as it was easy to meet other travellers and relax.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,A very chill and welcoming atmosphere,"To everyone who is looking for a place to stay in Fes, this is the spot!! The breakfast is very versatile and the staff is friendly and helpful. We also booked a trip to the desert and chefchausen through them and enjoyed it a ton. I stayed in the room of 10 and everything went smoothly!! The atmosphere and looks of the place were top notch.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Stay in Verus,Whole stay was great and staff made us feel like home. They helped us to organize our week in marocco for instance trip to sahara. But greatest of them all is the rooftop bar/terrace or something like that.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Amazing stay with very friendly owner,We had a very pleasant stay at the riad! The owner was super friendly despite the late check in due to.our late arrival! Very social hostel and the breakfast was lovely! We would stay again anytime! Thanks,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 September 2022,5,Wonderful Hostel,"The place is one of the nicest hostels I have stayed in. It in an old building (1370ad) that has been restored bij the new owner with care and love, leaving the old atmosphere intact. The owner was vriendly and very helpful. My gf was sick for a couple of days and he made sure she got what she needed to recover. The facilities are clean, the water pressure is good, and the aircos work well. Loved the breakfast...have it on the roof tarrase overlooking Fez. Beautiful. 10/10.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
