 January 2023,4,Good Location + Facilities,"There is a lot that's right about this place, Clean apartments and suites set in nicely maintained gardens with peacocks wandering around . Good facilities including a heated outdoor pool. We are swimming in January! Quiet and relaxing. Easy 15 minute drive into Essaouira",hotelName,city
 March 2020,5,"Perfect place to stay near Essaouira, and brilliant value!","This was our third visit to fabulous Essaouira, but the first time we had booked to stay at Essaouira Lodge. The website had looked amazing, the peaceful location outside the town with a free shuttle service sounded ideal, but the prices seemed so very reasonable that we booked for just 5 nights in case we were going to be disappointed. As it turned out we fell in love with this delightful hotel, and stayed another 5 nights! We loved our comfortable, secluded apartment with it`s panoramic view from the terrace, the delightful flower filled gardens and beautiful warm pool, and the buffet style food at every meal was simply delicious and very reasonably priced. The icing on the cake was the exceptional service, especially the excellent Pool House staff and in particular delightful…",Lodge,Essaouira
 January 2020,5,nice place outside Essaouira,"We booked two nights at Essaouira Lodge and really liked this place although you cannot expect the typical Morrocan Riad-style. The lodge is built in a way that you have a lot of separate houses which are connected through lovely gardens and small walkways. You have a main building with a restaurant, a pool-area and a chillout-zone. Also, you have a separate reception area where e. g. you can book a shuttle-bus-service to downtown Essaouira etc. The Lodge is lovely, very clean, very well looked after, with beautiful gardens, excellent traditional food and very friendly staff. It is located a bit outside Essaouira, which is not a problem at all as the Lodge offers a free shuttle-service. All in all we highly recommend this place.",Lodge,Essaouira
 January 2020,5,Divine Oasis,Essaouira lodge is a lovely little gem just outside of Essaouira. The staff were professional and friendly and constantly checked in to make sure our family was enjoying our time. From the yoga to the hammam to the lovely New Years celebration that the staff worked so hard on. The massage from Boucha was also lovely. Thank you for making our stay perfect.,Lodge,Essaouira
 January 2020,5,Just what we wanted,"We travelled as a group of 5 and rented a 2 bedroom 1 bathroom house with an independent suite and ensuite for 2 on the floor above. Spacious, simple accomodation with a lovely shaded courtyard and gardens front and back. There is a large public room/lounge and dining kitchen. The Pool House is even prettier than in the photographs and there were always sun loungers and towels to hand. But the highlight of this venue is the courteous, friendly and attentive staff. Jamel, the concierge, provided us a good orientation and was on hand and very ready to help and enquire that we were satisfied. The waiters were great guys who quickly picked up our preferences and were kind and professional in equal measures.They did not let us Scots forget a certain World Cup match we at least had…",Lodge,Essaouira
 December 2019,5,Best hostel in essaouira,"I actually spend a nice time on the hostel Moga i really enjoyed my time in this place everything was lovely, the rooms are clean and the food was delicious the nice views from the terrasse also The staff were very friendly especially (Galileo)",Lodge,Essaouira
 October 2019,5,Another perfect stay,Another lovely stay here. Lovely accommodation. Jamal and all the wonderful team are always on hand to make sure you have everything you need. I particularly recommend the freshly squeezed orange juice.,Lodge,Essaouira
 November 2019,5,Paradis,"The place to be.where you can have the quite. With who ever you choose., 😊♥️❤️🤗 My first recommendation at you all guys ' Where in should start...... The welcome in or the food or.... I let discover by your self",Lodge,Essaouira
 October 2019,5,Luxurious stay!,"We were 4 people and spent one night at 5 October 2019. Everything was perfect! The rooms were clean and spacious, the pool was clean though! Jamal also was very helpful! we arrived with a stomachache at the Lodge so we asked him if he could serve us something out of the menu and he took it over! Great spaces, very relaxing and quite place.. I recommend it for more than one night !! They also have a van service that drives you in the town every half hour and then it comes to pick you up !!",Lodge,Essaouira
 October 2019,5,5* service,"We have just returned from a 4 night break at Essaouira Lodge, which was very enjoyable. The hotel is located around 30mins from the airport (25euros on way transfer available via hotel) off a well beaten track, it is pretty isolated and around 20 mins drive from the medina. We went for the B&B option, with the breakfast being basic but decent. The staff around the reception are very helpful and make you extras such as omelettes or mint tea at request. We had dinner at the hotel a few times which was again nice and cost around £18 each. The shuttle bus as mentioned before was useful to travel into the medina to get lunch or dinner. The rooms were decent size, however ours lacked a TV, iron (ironing service available at 50MD for 1kg of clothing) or a fridge which would…",Lodge,Essaouira
 September 2019,5,Brilliant,"My partner, myself and our 21month old stayed here for 7 nights and I cannot fault it. We stayed in an apartment which was great as we had the freedom to do our own meals and we had plenty of space. But we could also have meals in the main part if we wanted to. The heated pool was so nice and we spent a lot of time hanging around there, most of the time without many others around. It was so relaxing and peaceful. The staff were all super friendly and helpful at all times. My partner and I both had massages which were lovely. And we used the free shuttle bus too which was so smooth and worked well. I really cannot fault this place and would recommend it to anyone at any stage of life, visiting with friends or family.",Lodge,Essaouira
 October 2019,5,Amazing,Beautiful clean apartment with a lovely clean swimming pool and delicious food. Super helpful staff. The free shuttle into town every hour was brilliant. Great location. Really quiet. Could not recommend more.,Lodge,Essaouira
 September 2019,5,8 Days of Bliss,"We were here for a 7-day dance workshop, and stayed an extra day afterwards. I did not want to leave! Our workshop was held in a beautiful tented room during the day and evenings. Jamal and the entire staff were so helpful and accommodating for our group of 32 people from all over the world. He always checked in with us to make sure we were happy and had what we needed. On the property and accommodations: This property is a nice mix of modern minimalism with Moroccan styling. The air conditioning worked great in our villa and had everything we needed to stay comfortable during 90+ degree days, including a private pool at our villa. We moved to a single room for the last night, which had a lovely terrace and seating area. The food was excellently prepared for our group…",Lodge,Essaouira
 August 2019,1,Unrelaxing and rude,"DO NOT STAY HERE if you are expecting a romantic couples retreat. We made the mistake of booking into Essaouira Lodge for 2 nights with the hope of a peaceful, tranquil and relaxing break. We were greeted with the complete opposite, with hundreds of uncontrollable screaming kids splashing in the pool non stop. It was more like a playground than a luxury hotel. Furthermore, management were extremely rude and unwilling to do anything to make our stay more comfortable. Essaouira Lodge is ok for young families, but if you’re expecting any kind of ‘switch off’ then your money is better spent elsewhere.",Lodge,Essaouira
 August 2019,5,Strongly recommended !!!!,"We stayed the 2 of us for 3 night at Essaouira lodge ! We advise any1 to repeat out choice. Very warm welcome, very pro team, 3 days by the pool, very Good wifi, value for money ! Chery on the cake : when we left, my wife Forgeot her mobile phone. Within 25 mins, they had called us in my mobile French nb so we could still u turn and pick it up back.",Lodge,Essaouira
 August 2019,5,A lovely quiet haven with superb facilities.,"We stayed in villa 5 as a family of 6. The villa was much bigger than we expected, lots of room for parents and 4 young adults to have their own space. Good facilities. The pool was cold but lovely once you got used to it and it was so quiet. You had no indication you were part of a small complex but you then had the advantage of a 5 minute walk to the large pool, bar and restaurant. Very friendly attentive staff. Food quality really good. Lots of choice and reasonably priced. Hourly shuttle bus to and from the town is a must as you are away from town but I think you get best of both worlds. Beach in town family friendly and also worth a visit. Would definitely return.",Lodge,Essaouira
 July 2019,5,We booked for 8 nights and stayed for 16!!!,"Myself and my wife booked this hotel for 8 nights and ended up extending our booking to 16 nights! The individual villas are built to a really high standard and the whole atmosphere of the place and the gardens and the flowers and plants mean it's incredibly peaceful and relaxing. The swimming pool is a really good size and we spent a lot of time hanging out around the swimming pool and relaxing. The shuttle bus service was excellent, meaning that we could be outside of central Essaouira and going in andIf returning pretty much whenever we wanted. We were extremely happy to be out of the hustle and bustle of the main city. The staff were all incredibly helpful and friendly. It was just a pleasure to stay there! Staying here is the true meaning of affordable luxury!",Lodge,Essaouira
 June 2019,5,Fantastic stay,"This place is wonderful!! So peaceful and with lovely flowers everywhere. I spent a lot of time listening to the wind through the trees. Pool was wonderful, the staff was so so nice. They were so accommodating. Comfortable beds, pretty decor. Nice shuttle downtown. Very affordable. Highly recommend!!!",Lodge,Essaouira
 June 2019,4,Incredible Value for the price,"When I paid 120€ for two nights with breakfast included, I did not expect such quality. Perfect place to disconnect and refocus on yourself, the staff is friendly and the rooms take you to another era. Could use some little touches in the rooms (equipment, Shower and bath product ) but for the price, it is hard to complain.",Lodge,Essaouira
 May 2019,5,Peace and quiet,"A beautiful place to stay, so relaxing with just the tweet tweet of the birds, surrounded by colorful flowers everywhere. A friendly staff with an attentive service and comfortable rooms, the hamam + exfoliation was authentic and felt great !! it was the perfect break in our hectic lives !!!",Lodge,Essaouira
 May 2019,5,Another perfect stay,"This is around our fifth stay here with our family over the past 4 or 5 years - with our 20, 16 and 13 year old daughters. There is nothing we would change. We love the accommodation. Lovely big rooms. We love being by the pool. The wonderful team are always on hand to make sure you have everything you need. I particularly recommend the freshly squeezed orange juice. All the staff are lovely, genuine people. It is great to be slightly inland at Essaouira lodge and escape the wind by the sea sometimes. I hesitate to recommend this place as I would prefer it wasn’t hard to book - but here it is!",Lodge,Essaouira
 April 2019,5,SPIRIT OF NATURE,"Amazing place surrounded by sublime nature ! Very friendly staff,nice snacks and delicious Moroccan dishes and a perfect size swimming pool to chill make you want to stay there for ever And on the top of this a shuttle bus every half an hour to and from Essaouira centre Thank you Antoine for the amazing Hospitality and for the unique life experience at Lodge !",Lodge,Essaouira
 May 2019,5,"26 April 2019 , Aïta and magic .
Essaouira lodge","Such a warm and beautiful place . Great spot To spend the night and even the day in. The rooms are comfy and well equipped , the service is on point . The food is delicious and the breakfast was appetizing. We spent such a magical night next to the pool and under the stars of Essaouira. I’ll be back for sure , hotel Essaouira thank u for having us .",Lodge,Essaouira
 April 2019,5,"""Isitt""University assignment",A very nice place with breathtaking views and nice stuff they helped us a lot and checked on our comfort all the time without forgetting the nice and delicious Moroccan food they prepare it is really a place that you would go to whenever you want to relax and enjoy the beauty of the nature!,Lodge,Essaouira
 April 2019,5,University Assignment “ISITT “,"This hotel is absolutely gorgeous, the staff is really friendly and helpful! As students at ISITT , we really did appreciate your services. I would definitely come back alone with my friends and family . Thank you for this amazing stay !",Lodge,Essaouira
 April 2019,5,Stunning oasis of calm outside Essaouira,"We came to Essaouira at the last minute due to a health issue, and were lucky to find the Essaouira Lodge. Though located 15 minutes outside of the medina, there is a free shuttle that operates frequently and reliably. This is a lovely small resort with heated (necessary in April) pool, full service restaurant and excellent masseuse on call. Our “room” was a 3 bedroom, 3 bath villa with kitchen and private pool, also fully serviced each day...for the price of a small hotel room in the US! The staff was helpful and kind and allowed us to get by on our limited French. Enough of the staff were English speaking so that it never was problematic. A special shout out to Moukless, who went out of his way to make us feel welcome: he even located the NBA playoff game so we could watch…",Lodge,Essaouira
 March 2019,5,SEVEN DAYS IN PARADISE,"Essaouira Lodge is definitely the place to stay if you are visiting Essaouira. It is in such a beautiful setting. The accommodation is perfect whether staying in one of the villas or apartments. There is nothing better than spending an afternoon chilling around the pool after a leisurely lunch. This was the second Retreat we have held here, our party of 12 loved it & cant wait to come back again next year. Antoine & Jamal make sure that everything runs smoothly. PaulsPilates",Lodge,Essaouira
 March 2019,3,Visiting the coast,"Wonderful resort, pool area is absolutely lovely. Our apartment with terrace towards small garden was not at its best. Take the stars off for the not so clean interior, under carpets, behind beds or in the shower/bathroom. Lunch / desert was tasty! Friendly staff.",Lodge,Essaouira
 February 2019,5,An oasis of calm and luxury,In all honesty we were so surprised to find accommodation this good in the middle of nowhere - although obviously a posh area judging by the villas round about. It is just out of Essaouira itself (which is a really nice city on the coast) and runs a courtesy bus all day and evenings. The accommodation was spacious and well equipped with lovely sun terraces and cleaned every day. Massive bed. The pool was heated so was warm despite it being early February. The food and drink were excellent and not expensive. Finally the staff were all very pleasant and very helpful. We look forward to another winter break there.,Lodge,Essaouira
 December 2018,5,Perfect christmas holidays,"It was my second time in this hotel for Christmas holidays. In a word: Perfect!!!!! Crew was so gently, using pool in december is amazing and all new facilities for Yoga make my wife happy and serene. Usualy i hire an apparment but this time i've got a house. All facilities included, perfect for familly vacation. highly recommended.",Lodge,Essaouira
 July 2018,5,A wonderful authentic Morrocan experience,"My husband and I have gone to Morocco often and Essaouira never disappoints. We have always loved to take a chance and get lost in the Medina and lottery pick a place to stay but decided something a bit more quiet. We Googled and found Essaouira Lodge; the pictures looked impressive and the resort seemed to lend itself to something a little more authentic than the average jet setter hotel. From the time we arrived to the moment we left we felt catered to by staff and management. The room had attention to detail and was very clean. The hammam was very relaxing and the yoga instructor led us both into a mindful vinyasa session. The only complaint is that we couldn't stay longer; also, there was a slight delay in our shuttle from Marrakech airport to Essaouira, however, we…",Lodge,Essaouira
 December 2018,5,The place to be in Essaouira,"It is our second stay in this great residence where we took our family vacation during holidays. We were there last year with some friends but the place is perfect for all kind of vacations :-) Everything is perfect : the charming surroundings of nature, the views, the peacefull pool, the warm welcome of all employees, the local and fresh food, the convenience of free transportation to Essaouira or low-cost rental car, the confortable rooms/appartments/houses, the massages, the yoga installation, the recommandation of the staff for visits and leisures in Essaouira and around ... and all of that at a very good price :-) HELP ... I want to go back and so does my friends and family. You will see us again next year :-) Thank you so much to all the team",Lodge,Essaouira
 December 2018,5,Definitely worth a stay,"Since my frequent stays in Morocco, I always tend to spend a few days at the Lodge. Sometimes with friends, sometimes alone. Staff is just great and superfriendly, food is good and it is a very respectful environment. If you want to live an experience of Moroccan hospitality and charm, it's the right place. As the lodge is situated on the countryside, it is close to nature and really calm. For me the perfect fit to relax and explore the region.",Lodge,Essaouira
 December 2018,1,Not a great place for families,We stayed one night but did not feel good there. There are two main problems: one is that it is not clean. The toilet leaked and it stank but they came to repair it. The kitchen is not clean and the bed smells. The other problem is keeping a healthy distance between your children and the advances of some of the make staff. It feels quite uncomfortable. The pool area is nice and the breakfast is OK. Food and drinks are reasonably priced but the apartments have seen better days and are too expensive,Lodge,Essaouira
 December 2018,1,Don't stay there with children,"One male member of staff tried to kiss our daughter on the mouth. We managed to intervene just in time. Baffling, however, was the manager's response: ""this is normal in Morocco"". Well, it has not been in the past 30 years that we have been coming here. Other than that the place is well-designed but it isn't clean. This can be an issue when travelling with kids.",Lodge,Essaouira
 September 2018,5,Great !!!,"This is a magic place. Amazing service, great, clean hotel. I recommend this place. People work there are making very positive atmosphere. If you have a car you can drive to the city 15 minutes. Also hotel offer shuttle a few times per day.",Lodge,Essaouira
 November 2018,5,"Excellent hotel, friendly staff, wonderful experience","We appreciated and continue to chat about how much we loved everything about this hotel. Great value, wonderful sunrise and sunsets from our terrace, excellent service, friendly happy staff, spacious suite which had everything we needed. The only reason I'd not tell anyone about this place would be so it could stay quiet and undiscovered - we had an amazing, relaxing stay and would go again, in fact we're already talking about a return visit.",Lodge,Essaouira
 October 2018,4,Nice country hotel,"The hotel is a 20-minute drive outside the city, a rustic hotel in the heart of the hills with a good dirt road leading to it. The hotel is very special, organized in the shape of a village with small houses scattered among the trees, a small and nice pool. Dinner was reasonable, breakfast also.... Some rooms have no air conditioning but there is a fan, the rooms are huge and clean, the bed is comfortable, a small kitchenette for those who want to make something for themselves. The WiFi is available just in some of the hotels Recommended mainly for families.",Lodge,Essaouira
 September 2018,5,A lovely collection of villas with a beautiful clean pool.,We had a great stay here. It is really tranquil and relaxing and we also felt very safe. The pool was a big highlight being large and clean with sun-loungers around the side. The shuttle bus to Essaouira was really useful and we very much enjoyed the town with plenty of good value restaurants to eat in. All in all a great stay.,Lodge,Essaouira
 September 2018,5,So good we stayed an extra day!,"Yes friends, This is it, a jewel hidden atop a mountain secluded away from everywhere! Pure paradise, great food and outstanding service! We rented a 3 bedroom private villa with our own private pool, full kitchen and bbq outdoors just in case you go like us and get some great bbq going.)",Lodge,Essaouira
 August 2018,5,A total paradise,"wonderful spot for vacation alone or with family for the people that Looking after a land skip, where they can find peace ,inside or out the walls of essaouira lodge garder everywhere that take your breath away, helpful stuff that welcome in with big generous smile that touch your heart , thoughtful, kind and friendly Nice rooms, and Spaces as we rent an apartment . clean and heated swimming pool, the view very beautiful , nice terrasse, plus free shuttle services to essaouira beach and to the Medina only 15 minutes, oh the food is Just delicious , honestly My kids and I, WE will never forget this vacation and for sure we will be back very soon total paradise ..",Lodge,Essaouira
 August 2018,2,A total disappointment,"When I made the reservation, the description said that the room had a "" panoramic view"" . The room I was given ( SM7) had 2 tiny windows and a third one a little bigger, but NO VIEW at all. The view was to a dirty patio of the next building under construction. Even the small varanda outside had tall walls that obliterated any outside view ! Coffee served at breakfast was so bad and cold that I ordered an expresso . One lavazza expresso cost US$ 12,00 ( Dh 120,00). This hotel was a total disappointment and I left after the first night (even though I was charged for the 3 nights). Lots of flies around the pool and tables also.",Lodge,Essaouira
 July 2018,4,"Set in beautiful gardens, well off the beaten track.","The lodge was comfortable and clean, the pool and restaurant areas were attractive and pleasant. Staff were friendly and helpful. This was a relaxing oasis to stay when visiting Essouria, the lodge provided free transport into town and back whenever needed. In the heart of the argon oil producing area, my tip is don't miss out on visiting one of the argon oil co-operatives nearby, quality produce where the profit goes directly to the producers. Better than buying in town.",Lodge,Essaouira
 August 2018,5,Excellent,"Very good hotel, Nice rooms, swimming pool and good breakfast in the morning. The service is excellent. The view is very beautiful. Also, the staff is very friendly, especially Mr. Jamal who have spoken with us in Dutch 😀 Is very helpfull! We will certainly book again in this hotel!",Lodge,Essaouira
 July 2018,5,A hidden gem of a hotel,A great hotel about 20 minutes outside Essaouira. It is very beautiful with great amenities. The staff could not be friendlier or motre helpful. The free shuttle bus meant that we could enjoy a lazy day by the pool and then go into the medina for the evening.,Lodge,Essaouira
 July 2018,1,Extremely disappointing,"Booked an appartement in the lodge after I read the positive reviews but my experience was so disappointing. I must say that I booked it for 5 nights but because of personal circumstances I had to leave after the first night and to be honest, I wouldn’t have stayed longer anyway. Thankfully the reception staff were friendly and dealt with us professionally. The apartment we’ve been allocated was ground floor and as soon as we got in, we got overwhelmed with the mouldy smelt. Then we saw ants, hundreds, thousands of them in the kitchen. They were also those very very noisy fans in the room and a very old “ manual” air con in the sitting room. I turned it off and opened the door to the little garden only to find it filthy with disgusting table and chairs and more, more lines of…",Lodge,Essaouira
 June 2018,5,Blossful,"After the madness of Marrakech this place is a haven of calm, good service and beauty. Drive from Marrakech was long not helped by the less than helpful staff when leaving the Riad. Thankfully a google search found me a driver who was perfect. Found Essaouira Lodge on Hotels.com and booking was easy. wish I had escaped to here earlier. Plenty of choice at breakfast to cater for everyone but not mass touristy. Friendly welcoming staff and I have just had the most relaxing massage :) courtesy bus service to Essaouira just book giving an hours notice. Last night there was a festival in Essaouira and I did think I had been left stranded but no not at all. The lodge driver arrived on foot leaving his vehicle at the barrier to come and find waiting guest. Top man going above and…",Lodge,Essaouira
 May 2018,5,My 9 Day Yoga Retreat,"What can I say except this location & team blew me away. This is a place who values customer service, great food & creating special moments in the glorious and varied locations available on the property. Our 20 person retreat (Swedish, German, Dutch, Spanish, French & Kiwi group) enjoyed amazing food, beautiful rooms, exceptional service & a feeling of real magic. The newly built yoga hall with gorgeous views over the flowery country side, portable walls, organic wooden floors & new yiga equipment was an integral part of the retreat. Jamal the property manager was present & always helpful with a big beautiful smile - and accomodated every need of mine in a professional and welcoming manner. Mokhkess the Food & Beverage manager was an absolute delight to deal with. His team…",Lodge,Essaouira
 June 2018,4,Incredibly relaxing 🤗,"A lovely relaxing holiday - super staff, delicious food and very reasonably priced when eating and drinking in. We went into essouira one afternoon but were very happy staying at the hotel for the remainder of the trip. Only word of caution - our taxi ride from airport to hotel took far longer due to him attempting to pull over for his friends (stitching us up to earn extra cash) - return taxi much better!",Lodge,Essaouira
 May 2018,5,Another 10 days of bliss !,"Another trip back to our fabulous find! As always excellent service, food and atmosphere! Highly recommend away from the busy town but with a complimentary shuttle. Just so relaxing. Same staff so it’s comfortable from the moment we arrive. Issam is the best cappuccino (English style!) maker. Staff go above and beyond to make your stay fabulous! 💕",Lodge,Essaouira
 May 2018,5,Just perfect!,"Very impressed with this place. It is slightly inland from the main town but they run free shuttles whenever you want – just give them an hour notice. Beautiful, clean pool. Plenty of sunbeds and sofas. Attentive and friendly staff who can’t do enough for you. We rented an apartment between 3 of us and it was plenty big enough. Lovely bathroom, comfy beds and rooms made up each day. None of us had breakfast, but lunch was a lovely hot and cold buffet – very healthy and great tasting food. The evening meal (which we had once) was also very good. The reception are super helpful and will make phone calls and bookings for you whenever you need. It is a quiet, relaxing atmosphere and although we didn’t use any of the spa treatments, we might do next time as we were only here for 3…",Lodge,Essaouira
 April 2018,3,Not Chic,Good value for 3 star. If you don't want to change your clothes every day this is for you.Kids look miserable and bored stiff. Food is a good value buffet. 20 .euros each. Breakfast good value 5 euros. Free shuttle to town. Iron and hairdryer on request. 1 bottle of water on day one.Coffee machine and kettle but no shop to buy anything. Bed rock hard and I mean HARD. Towels just as hard.Water in shower is hot. You could be in Spain rooms very basic Staff very helpful and pleasant. Surroundings are very pleasant and well looked after.,Lodge,Essaouira
 April 2018,5,Tranquil day trips to the lodge,"My two friends and I were staying in Essaouira but found the Essaouira Lodge offered day trips to their pool with a buffet for 150Dh. It was a fantastic experience and brilliant food for such a small price. We emailed before to confirm and they provided on time and reliable transport from Essaouira to the lodge, free of charge. We enjoyed the day so much that we rebooked it for two days later with treatments. We all booked the hammam package which included a full body massage for 600Dh pp. Money definitely well spent! We all left feeling like new women! Would highly recommend for a day trip and we are contemplating returning to stay at the lodge on our next Essaouira visit! A great way to get away from the hustle and bustle of the town.",Lodge,Essaouira
 April 2018,4,Great escape,"Good access even with our tiny car. Great friendly, service. Comfortable large rooms with kitchenettes, and terraces. Nice pool area and quiet atmosphere. Food was okay, but drinks were great. Overall great value for money!",Lodge,Essaouira
 April 2018,5,Fantastic place - would highly recommend,"I loved Essaouira Lodge, the staff were friendly, efficient, helpful and generally lovely to the children. The apartment was huge and beautifully set within the forest, meaning we could see thousands of stars. We didn't have a car but the minibus took us down to the town whenever we wanted and always picked us up again. I would definitely recommend staying here and we will be back!",Lodge,Essaouira
 March 2018,3,Not so amazing,"The lodge is very lovely on pictures and in real. However once we got there, it was 20/25 mins to the center by shuttle. Hardly much for children to do other than the pools. Not ideal with children. The walk on the pebble pathway could do with more pebbles as it was long and painful at times wearing sandles. One of the rooms smelled a lot of damp and mould. We did report and they sent someone to clean the room. The villa came with a kitchen that was well equipped for cooking, how ever the kettle was not usable, we did swap it but still very scaled up. There was alot of ants around the house on outside which we did report and some thing was put around to kill them, but unfortunately on our 3rd night in one of the bedrooms and the bed itself had a lot of ants in it. The staff in…",Lodge,Essaouira
 April 2018,5,Beautiful oasis,"Stayed here for 4 nights but it wasn’t enough! The staff were lovely and helpful. The pool area and the gardens were beautiful. We had a lovely room with a large terrace. The food was excellent, ended up having the salad bar every night as there was so much to choose from. The free shuttle bus is great for getting into Essaouria, takes 20 mins and you just book it at the reception for when you’d like to be taken into town. Would definitely recommend this place to stay as a calm oasis away from the hustle and bustle of Essaouria",Lodge,Essaouira
 February 2018,4,Lovely location,"We had a fantastic holiday here as a young family of 4. The hotel is 20 minutes ride away from the colourful and chaotic medina with free shuttle bus rides running several times a day. The hotel is simple but stylish in a peaceful and beautiful country environment. Food buffets were mainly vegetarian and very good choices. It felt authentic too. My youngest daughter was excited to have a new soup every evening as her starter. Heated pool was greatly enjoyed by children. Small splash pool for babies is handy too. We thoroughly enjoyed the Hamam experience as a family. Staff were extremely polite and welcoming, they offered to light a fire for us each evening. We had a fantastic camel ride on the beach with Mostafa from ‘Lima Dromadarie’. We ate in Essaouira a few times: Ocean…",Lodge,Essaouira
 November 2017,2,Not what we expected,"This is set quite a way out of town they provide transport to the town and back which is a bonus. The rooms were really basic concidering it was a mindful and wellbeing center, we could have been in any hotel room. The pool and bar area was nice and relaxing probably the best bit. We ordered lunch when we arrived and it was a stale buffet not enjoyable just wrapped up and left they do yoga but think you would need to ask",Lodge,Essaouira
 November 2017,5,Beautiful spot to stay,"Such a great and affordable place to stay in Essaouira! The grounds are beautiful, the pool is perfect and the rooms are huge! The free shuttle was the best, you could go into town when you wanted to then escape the hustle and bustle with a free pick up back to the hotel. Would stay here again",Lodge,Essaouira
