 August 2022,4,Good choice,Sofitel is our favorite hotel to stay in Essaouira. We love that it is away from the city in yet still close. The grounds are breathtaking. You can get rooms with views on the Atlantic. However Corona has left the hotel in a bad shape. We heard there are new owners so looking forward to the new changes. The pool has no pool tiles and they are quite sharp. My kid had a bad cut from those tiles,hotelName,city
 January 2023,2,Dirty and old,"This place is dirty, not maintained and smelly. Our room smelt like ashtray. The furniture was worn down. This place has not been refurbished for 20+ years. The lunch bar by the pool smells like cat urine. It is a shame considering the really nice area and its closeness to Essouira.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2022,5,Perfect Sunny Christmas stay at the Sofitel 🌞,"Such a delight to be able to stay at the Sofitel Essaouira again after so long! I had the pleasure of being looked after by marveloss Souad and Nadia, both beautiful ladies welcomed me in a wonderfully professional, warm and super friendly way! A Big thank you to the management, Amani Mohamed and Nabil Benjelloun for making sure I had an excredibly stay! Thank you to the entire fantastic staff for their hard work and dedication! Unfortunately I cannot remember everyone’s names so I will go by departments... like the men who helped me with my luggage and the lovely taxi driver Anas, the cleaners who cleaned my room, the team who served the delicious breakfast and lovely Younesse in the spa and finally I am super excited to see Siham is now working for the sofitel she's amazing…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2022,5,Excellent,Good hotel with very nice personnel I loved the two days I spent there Staff is professional and knows how to provide service Breakfast is good with variety of food Swimming pool is big and very clean,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2022,1,Disappointed,"They bathtub wasn't clean in most of our rooms, so we didnt use it. We used the shower and since there is isnt a door on it, the whole room becomes humid. The room was hot and several of us changes rooms twice. They said Europeans like it hot and its catered for them. However, we couldn't tolerate it. Also, the concierge put another groups bag in our bus. They called us two hours later realising. We of course stopped the bus and checked the bags and our guide returned it somehow later the next day. The room has no slippers. Some asked and got it, others asked and their request was denied. There is no iron in the rooms. So we asked for one and got it after 3 reminders and going to the desk. Must admit the lobby was cool and so was their breakfast. Overall Sofitel is…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2022,3,Room for Improvement,"The good part: Our room was pretty nice and large. Bed was comfortable. The less good part: It could/should be much better maintained. The carpets in the hallways are getting old and represent a safety hazard; One of the pool was beyond dirty and unusable; exteriors in general could use some clean up... But the one thing which annoyed me the most is that they have a music playlist with roughly 4 songs running at the pool. needless to say that after 1 hour you can't stand it any more. I complained about it and they said they will look into it but the next day, nothing had changed... This is unfortunate because the location offers so much potential.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2022,1,The hotel is in terrible situation.It seems like it is no one is care about the maintance. it is not 5 star hotel!!!,"The hotel management is aware that the rooms are smells like ruten eggs. they adopted ""no maintenance ""policy... It is highly overrated and over price. If you want to enjoy your stay, go to another hotel!!!! It is NOT 5 STAR HOTEL!!!!!!!!!!!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2022,4,New experience!,"The property itself is good though it needs some maintenance when it comes to hygiene especially the corridors and part of the rooms they smell quiet humid. The value for money is poor we consider it expensive for the options you get,you have to pay for every single thing including small bottle of water by the pool and access to indoor pool. However the staff there are nice and helpful,they do what they can to make customers happy,and let me talk about the guy in the lounge,his name is ANOUAR,he is soooo helpful respectful welcoming and genuine,he knows essaouira like the palm of his hand he gave us plenty of information and the way he talks and welcomes customers is sooo special and he doesn’t h expect anything in return but customers happy. If we ll return he will be one…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2022,3,A plea to Accor,"This is a message for the Accor group. The Sofitel in Essaouira should be one of the star hotels in your portfolio. It is in a unique setting with stunning views to the Atlantic over a golf course and coastal forest. The hotel when it opened was simply perfect with rooms designed with style and comfort in mind. The pools are sublime and there’s golf, tennis, surfing, kitesurfing available within 5 minutes’ drive. The staff are caring, friendly and professional. I loved staying here. So with all of these advantages and assets why has the Accor group not carried out any renovation work to the hotel over the last 5+ years? Shame on you Accor! The hotel is now dated with chipped furniture and bathroom fittings, old sun loungers and is desperately in need of painting and renovation…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2022,1,Bugs inside the shower,"I booked my stay with you because it was the anniversary with my husband and I specifically asked for a nice room. When I arrived at check in I was told that I had made the reservation for the month before and that it had gone on no show. I state that no one has ever notified me of this no show, if I had known by email I would have acted immediately. Unfortunately it was my mistake but I asked the front office manager to give me a discount or help me with the price because only suites were available and I would have paid double of what I booked. I was given a discount of around € 60,00 and promised a nice room with an ocean view. First of all I was shocked that you didn't give me a credit with the money from the previous booking but I didn't want to ruin my vacay and I went to…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2022,5,7 stars,"What a nice hotel. Recommend to everyone. Nice food, clean rooms. Very helpful, kind staff specially Mustafa in the restaurant. Definitely visit again. Nice golf course. Big rooms. Nothing to say bad about the hotel. Enjoyed a lot 4 days stay with 2 kids. Love it",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2022,5,Good times,"It was a great weekend, we thank all the stuff and hope to get back soon. Jogging in the forest to the ocean was the best part for me, the breakfast was great. the floor in the balcony need to be fixed !",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2022,4,Nice hotel but needs renovations badly!,"The hotel is nice, food was great as well. Some of the reception staff were rude and had an attitude. Once I spoke to the manager on duty, the issue was fixed promptly! Hicham (the guy who serves tea at the lobby) was extremely sweet and hospitable. He took the time to show us how to prepare his special tea with different ingredients. His smile and good vibes are contagious! Please stop by and try it for yourself!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2022,2,Not worthy Sofitel brand,The hotel is in a really bad shape and needs renovation urgently. The hotel is not worthy the Sofitel brand. Staff is great though. We planned to stay longer because we had such good experiences in 2015. But really everything in the villa was broken or damaged. This really not acceptable for the price we’ve paid.,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 July 2022,3,Need better customer service and renovations,"Great hotel in terms of views and luxury, but needs renovations. Our room got flooded as the walk in shower had mo barrier, so floods of water everyday after showing. The service very slow, we arrived after our car broke car only to wait a further 30 mins in the lobby waiting to check in. Staff are helpful but slow in addressing needs quickly and professionally ! Had yo request 3 times yo see the manager and never got yo feed back yo him. Europeans are particular about prompt service and addressing client needs quickly ! Well at least ism. We have to come relax and unwind not take on more stresses.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 July 2022,5,Summer 2022,"This has always been one of the best Summer retreats for me. The hotel is amazing the rooms are just complete. What I like the most is the very chill vibe to the place. You just feel relaxed and at peace. Different pools from heated to algae pool. The beach location next to hotel is also incredible. The staff is super friendly always smiling and cheerful. Mister Houcam at the reception was incredible as well as the staff members at the restaurant thank you for everything. I’ve been to many different places around the world, but this will always be one of my best summer retreats. See you soon !",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2022,1,Never again !,How the hell can you offer such a poor experience to your customers ? You already got tons of negative feedbacks !!! Accor brand is badly damaged by such a bad experience. We even found excrement in the corridor in front of our room !!! And got food poisoning after diner,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2022,2,it’s the last time to book there .😒,"the bad sheet was dirty and the furniture is old for a 5 star hotel . we found a cockroach on our way to the room . the tv was not working as well with no remote . and there was no trash bin in the room . we tried to call the reception several time to complain but no one was answering so we went to the reception to ask them to change the room they told as it’s not possible as it’s fully booked ( which is not true, the hotel facilities were empty) overall it’s the last time to book there .",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2022,4,nice hotel,"this is a Sofitel which have not a standard of SOFITEL but the service is making it back, good employees and very friendly made our stay nice and unforgettable from the reservation manager to the security",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2022,5,Stunning property and location,Very nice and friendly reservation procedure in perfect english (yasmin) Very petfriendly All staff have always a smile View over the Atlantic is amazing Big breakfast buffet with everything Speedy and efficient procedure by checkout. Normally you have always to wait too long but they are quick,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2022,5,A beautiful experience,"Everything was perfect, the hotel is clean and the view is amazing, the food was very delicious, and the staff was very friendly,, couldn’t ask for anything more.. one of the best experiences I’ve ever had ⭐️ ⭐️⭐️⭐️⭐️⭐️⭐️",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2022,2,NOT A GOOD EXPERIENCE,Not a good experience at all. I would not stay there again if they paid me to do so. I felt insulted on more than 1 occasion by Reception staff. If you do stay there my advice would be to keep receipted invoices with you at all times for what you have booked and paid for as staff don't seem to know what they have taken payment and provided receipts for.. We checked out on day 3 at 5 am in the morning to be presented with an invoice for a payment already made. No time to spend another hour sorting that problem as a 3 hour drive and a flight to catch. We were also accused of taking a breakfast one morning that we had not paid for. Very embarrassing and untrue. On principle I will never use a Sofitel again. 👎👎,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2022,4,Great place for a golf break,"This place is the place to play ""millionaires golf"". Great course well maintained and very quiet. Can highly recommend making the effort and going into town for your evening meal. There are some great restaurants to enjoy just a short cab ride away. Didn't eat in the hotel, apart from breakfast which has plenty of choice, as the A La Carte restaurant was closed. Hopefully it will be open for our next visit. Hotel itself is a bit tired however given the challenges of the last two years it was no big deal for us. Stayed in a Mogador Villa which has plenty of indoor and outdoor space - including a pool for a cooling dip after a game of golf. Would highly recommend this room choice. We would personally like to thank Ibraham who provided us with the evening turndown service and…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2022,1,Stay well away!,I think this is one of the worst hotels we’ve ever been. Everything it’s just wrong from the way the staff is behaving to the ridiculously high prices and the poor condition of the rooms. Let me just add that the hotel needs maintenance work ASAP. Aside that our room was very dirty when we arrived it had a strong smell of mold everywhere and after one night we decided to leave this horrible place. Everything is overpriced and if you are considering visiting this place here’s a friendly suggestion: Don’t!!!,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 April 2022,2,Old and not taken care of,"This hotel did not live up to our expectations at all. The resort looks absolutely stunning on pictures but in real life it is worn out completely. Floors and ceilings are damaged, our room smelled like mold, service is bellow 5* standars. Also we chose this hotel particularly because online it says they have a bustransfer to Essaouira, but this no longer exists so either you need to have a car or take a taxi everytime you want to go to the city center which is still around 5km away so not really doable by foot. Anyway, I personally think they should close this resort and give it a complete makeover because the domain has a lot of potential but right now it's not a 5* in any way!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 April 2022,1,Be aware before booking,"Good staff did not make up for a tired hotel. One pool was fine - other was green/dirty and not fit for use. Broken/rusty cabanas, rooms left open to the elements that would be dangerous if a child found, exposed electrical wires….list goes on (see photos). We ended up checking out early. We are in touch with the hotel and regional management of Accor Group (waiting to hear back from them), but do check before booking (and if there are services that are important to you, double check as not everything listed is available ….such as shuttle / laundry). It’s a hotel that is in dire need of investment and until that happens, it cannot market itself as a 5* hotel / charge same prices.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 April 2022,3,It’s ok - Just don’t eat there,"The room is a good size, (albeit slightly dated) and the staff are great, attentive and ensure cleanliness is at a constantly high standard - however the same cannot be said for the dinner buffet. An array of rogue cold options that were 5/10 on a good day, there was a ‘hot section’ that was just awful, it consisted of lukewarm tagines, poorly grilled meat and very uninspiring pasta. All of this was capped off when I saw the bill of 700DHR (~£55) for 2… considering our lunch was made up of a full seafood platter for 2 near the beach for 370DHR (~£28), 700DHR for this buffet is nothing short of daylight robbery. We had come off the back of spending 4 days in the Sahara Desert, where we can comfortably say the food there would be considered Michelin star in comparison to this…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 April 2022,5,Flawless,This hotel is an undiscovered gem. The staff are fantastic and do all they can to enhance the experience. Breakfast is fantastic with a wide selection and fresh quality. We stayed during Ramadan and the staff were incredibly professional throughout the day. I would strongly recommend this hotel to any friend and will be back soon.,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 March 2022,4,Amazing staff in a tired hotel,"We turned up here looking for somewhere better to stay than a riad we had booked in Essaouira. The staff were so helpful, showing us multiple room options, the spa and pools and then held a room for us whilst we returned to town to gather our belongings. In it’s hay day this hotel would have been amazing, it was in fact winning awards until 2017 but it’s been a while since any money has been reinvested in the property and then with COVID-19 closing it for a long time, the evidence of neglect is obvious. It’s such a shame. On the plus side the views over the pools,the golf course and dunes to the sea are fantastic,you can hear the waves break from your balcony. The beds are enormous and unbelievably comfortable. The food options at breakfast vast and fresh. But what really…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 January 2022,5,2 lovely days,"We spent 2 nights for the second time in the sofitel essaouira, and it was again perfect. Unfortunately the SPA was closed, but in this pandemic time, it is something we can understand. Service, room, bar were perfect. Quiet and lovely SPecial thanks to Abderrahim from night house keeping for our Villa",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2021,4,.,"Cozy, Liked the food specially cocktails, even more the musician Mr Simo who I enjoyed his amazing voice and good music , he is one of the nicest guys that we meet in Essaouira , hope we could neet again soon …",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2021,5,Imane and abdarahman wedding 29/11/2021,"Imane and abdarahman wedding 29/11/2021 I can never thank Sofitel mogador team enough for making my day so perfect . Everything was beyond my expectations. The organization, food , service and everything was astonishing. A special thank to Mme Soumia nassiri the sales director for taking care of every small detail of the ceremony. The guests were amazed by the royalty and beauty of our wedding. And i can’t forget the magnificent villa and the decorations and attentions made especially for us . The breakfast by the pool was a beautiful surprise. Thank you again sofitel mogador team ; the service was excellent.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2021,4,Sofitel essaouira,"The staff was kind, but I think the hotel need some refreshment regarding room's equipment ,specially mattresses it was not confortable at all, hope that for my next stay things will be better.. . but globally the stay was good",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2021,5,What a wonderful stay,"2 nights stay at this resort with my family, very nice hotel location , all services are luxurious and the ratio of price and quality is good. Restaurants are recommended, staff are very helpful and freindly , big thanks to yasmine ikrou and El Mehdi Erraji from the reservation team for all their assistance and advices . Surely i'll come back .",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2021,5,Excellent,"Excellent service and location, i will come back again to this hotel and i will invite my friends or family who plan to visit essaouira to take this hotel. Thanks to much for all workers to helping us to enjoy our visit",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2021,1,Inexistent service. Rude front desk staff.,"I booked my reservation through Amex Travel as this hotel is being advertised as 5 stars. My first disappointment was the big sign in front of the lobby asking guest to self park their cars. I dropped my mother off and went to park the car as the parking lot is quiet some ways from the lobby entrance. There were only 3 other cars parked there, which indicated that the hotel had very low occupancy. As I walked towards the front desk to check, the attendant was casually carrying a conversation on his cell phone, and made me wait until he was finished talking before he acknowledged my presence. The whole check in process took 25 minutes too by long since no one else was attempting to check in or check out at the time that I was standing there. Once checked in, the room was ok…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2021,1,Disgusting reception and room standards,"First day a big leak from shower to hallway, shower room all piled off , receptionist took full payment for my 3 nights before I even stayed in ( instead of a deposit) breakfast and dinner very poor plastic knifes and folks and cheap paper serviettes, services very poor , first time and that will be the last , not a good standards of a 5* Hotel",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2021,5,Enjoyable stay at Sofitel,"I was so fascinated by the hotel when i first came in then i ended up at Tikiso Bar watching that amazing sunset view with few Tasty cocktails and great music I enjoyed that warm atmosphere, Thanks to Mehdi, Hanan and the Sinnger Simo",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2021,5,A day to remember!,"My friends and I experienced a lovely day at Mogador filled with good food, wonderful live music by Simo Khzami, various tasteful drinks made by the lovely bartender Hanane, and while all this happening we enjoyed a beautiful sunset. PS: the spa was also amazing! 🙌🏻 Looking forward to next time 🕺🏼",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2021,5,Magical place,"Wonderful place, a piece of heaven, everything was just fantatstic, yummy food, nice people, and the music, very dreamy, special thanks to the musician at the bar Simo for the great repertoire i will definetly return",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2021,1,Very bad rooms.. service … food,"Im very disappointed. The room is not clean at all service so slow they dont even respond to the phone , also the food was not fresh for a 5 stars hotel, the only think is beautiful is the view and the spot is really beautiful,",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 July 2021,1,Sofitel Essaouira unworthy of Sofitel,"I usually don’t post reviews, but I believe this review should help both the Sofitel guests and Sofitel management. I had a short 2 x days stay at the Sofitel Essaouira Mogador Golf & Spa hotel. Each of these days have been a challenge for my family and myself. The service level has greatly depreciated, I can only compare it with a previous and longer stay at the same hotel back in March 2020. We’ve booked the Villa Mogador, and to our disappointment we found the Villa poorly maintained. Below is a brief of our short 2 x days (14th to 16th of July): 14th July: 2:30PM Arrival at the hotel, receptionist welcomes us and explain that an IT trouble caused an issue with our reservation. Our Villa isn’t ready. She proposed to stay at room within the hotel while the Villa is being…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 July 2021,4,Nice experience !,"- good room service, breakfast, desk office - could not test the kids club as it was closed - nice room and view on the golf - diner to be improved - swimming pool : its borders can hurt easily (sharp)",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 July 2021,3,Disappointing - needs urgent renovation,"Positives Great location Good food Very nice staff Suberp pools and golf Views Negatives Extremely poor overall maintenance (toilets, floors, paint, lights) - shocking condition of common areas Rooms are old, old phone, old tv, outdated decoration feels like a 2-3 star hotel Cheap quality of toilet paper and face tissues",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 July 2021,1,Mr,Very bad … we booked a room with 2 separate beds and paid for it … when we arrived we got one single bed …. The spa is a jock … we had a hammam and it was like taking a bath in your room … service to slow not much fun .,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2021,5,"Excellent management, staff, service & contribution to the event's success","Big Thanks and a lot of gratitude to the Sofitel Essaouira Mogador Golf & Spa management (Soumia - the Sales Manager) and staff ( Gabriel, Chraibi, Hassan...) for their professionalism, their dedication and their service throughout the period of the group's stay. Regardless of the hour during the day, the team has been at the service of our relatively large group with a smile on their faces. Everyone has gone the extra mile. The facilities are clean and up to the standards expected and the Sofitel Essaouira's location and scenery remains uniquely beautiful. Highly recommend the stay !",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2021,1,AVOID SOFITEL ESSAOUIRA DONT WASTE YOUR TIME & HOLIDAYS EVER‘’ horrific experience HOsTEL IN A DILAPIDATED STATE,"Firstly please feel free to contact me if you want more pictures or videos of the villa they rented me out without any respect. Also, I’m sorry for any typo as I’m writing very fast and won’t make any grammatical effort at this stage if that make sense. I sincerely recommend you guys to read this review till the end so you understand the scam and the drawing of my very bad experience. we’ve rented out this haunted castle and we heavily regretted it. I wish I did left one I’ve checked in but i was tired to do so. Regrettably being ripped off. Extremely disappointed with the fake AD. after several years of loyalty our stay was a disaster. It is understandable that an old hotel can looks aged and potentially spoiled however investing in a 5 stars hôtel You’re legitimately…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2021,5,Excellent,"We recommand this hotel Perfect place with perfect people. I fall in love with this aerea i did enjoy the food in restaurant, tasty cake , Many thanks to anas,amal,meryem We will be back soon to taste the mojito of Naima. Reaaly we are proud of you :) J",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 June 2021,5,Luxury in a gorgeous place,"This place is amazing! The view, the pool, the breakfast. But the best part was the staff – they were all so nice, friendly and helpful. COVID protocols were well maintained, but not over the top. I am already planning my next trip. My only suggestion would be for Sofitel to show a bit more cultural sensitivity as a French company doing business in a former French colony and get rid of the ugly sculpture display. Why not highlight local art?",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2021,4,Wonderful View on Golf,"I Like the location, peace and offering wonderful view on golf, the staff are very friendly, i liked the room with open bathroom, good swimming pool, breakfast need some improvement but believe with COVID-19 and limited guests, it’s normal to adapt and minimize the cost. Honestly it’s great place to relax and have some rest.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 May 2021,5,Top service,"Already not the first time we are staying in this hotel . And all the time the service was on the top . Room was with a nice view on swimming pool and nature . Very good room service . Chef is super . Food all the time was very tasty . Breakfast , dinner and room service . Here we also celebrated 2 birthdays in villa . Thank you so much for organization . Decoration and suprices were nice . Especially when you entering villa with a romantic music and flowers with written good wishes. Also they cooked a cake that I asked and it come very tasty .",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2020,5,What a find. Can’t wait to go back!,"We absolutely loved this hotel! You would be hard pressed to find better value for money for an equivalent standaed of hotel anywhere in Europe. Having stayed in Marrakech many times, we were looking for something more relaxing, and we found it. We loved the feeling of space and the quirky French interiors. The hotel has not one but two beautiful pool areas. Breakfast was varied and plentiful. Gym was great. Boyfriend played golf one day (the hotel has its own golf course). All of the staff were charming and helpful, and we had a really chilled, enjoyable holiday!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 March 2021,5,AN OUTSTANDING STAY !,"I had the chance to spend one of the most exciting weekends at this place, such a cozy hotel with breathtaking views, and the staff is just PERFECT ! Once we arrived we were welcomed with a hot mint tea,some delicious moroccan pastry and a big big smile from the main door people (Abdelhadi & Tarik), were helped with our laguage and accompanied to our spectacular room with a pool,golf and an ocean view by the FOM him self ( Yassine boulhi ) who was so sweet and very helpful while our installation. The HK staff were also very caring,mainly ( Abdessadek,Hind & Hafid) who were very caring for us. We went to have an apero at the bar and (Hanane) the barmaid was just so talented as usual and made for us the best cocktails. When it comes to the SPA, everything went as expected and…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 April 2021,4,Always a pleasure to stay in a Mogador's Villa but ...,"We have enjoyed staying in the villas at this hotel for a very long time. We haven't had the opportunity to come back for a while. Always a pleasure to find Mr Amine at the head of the catering and his excellent service! Glad to see Madame Hanane again, who this time took the head of the SPA and spoiled us. Our buttler also, Mr Chraibi took perfect care of us ! Unfortunnately, in the common areas of the hotel and the swimming pool of the villa that we had, we've noticed that materials are aging hotel is aging what unfortunately lowers the standards we've been used to. Aso certain standards as the disappearance of some amenities and change of brands from Hermes to local products are damaging for the hotel (bath products etc. ...) . We strongly recommend planning a renovation of…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2020,5,One of my favorite stays and hands down the best in Essaouira,"I came to this place with high hopes and it really exceeded all of my expectations. It was so beautifully located and had one of the nicest interiors I have seen. I haven't had the chance to try the food but I definitely will next time. The golf was so vast and beautiful and perfect to play a game and relax. A little tip, if you love riding bicycles don't forget to rent one and you'll be delighted with a nice ride that takes you up the beach. Special mention to the staff and especially Mariem who was so professional and friendly and made our entire experience so enjoyable and smooth. Definitely recommend!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
