 November 2021,1,Do not trust pictures…,"Lack of hygiene… Bedclothes are not regularly changed, bathroom was not clean, shower floods every time (I thought it was me throwing water out but it wasn’t) excellent location in Casablanca, close to most place of interest. Breakfast cost 3€ and it’s supposed to be served from 8:00 but the concierge was sleeping until 8:30 in the reception’s couch…. After he woke up and was asked about breakfast told me to wait for him to buy it in the street and bring it into the hotel…. 😀 Of course I told him not to do it! If you need a place just to sleep one night and do not have booked a better option it’s ok but take in consideration that it is not a clean place at all!",Point_du_Jour-Casablanca_Casablanca_Settat,hotelName,city
 October 2018,5,"Lovely staff, clean room and nice location","The staff were very friendly and always willing to help. The location is just in the center, can walk to some sightseeing spot and restaurant. The taxi in casablenca was like hell to us, we need to negotiate so many time in order to get into hotel... So walking is good!! Just for the reference, the taxi we paid from CTM bus station is 40MAD. To mosque is 20MAD. To airport (hotel arranged) is 300 MAD. The room us very clean, big and the bed is comfy. They do have elevator and their staff were all friendly and amazing. Thank you!",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 October 2018,4,Good choice,"This hotel is really well located. They have an elevator, which made me really happy. Staff was really nice. Room is small but clean, air condition works well. They don’t have a safe box, I wish they did. The shower was terrible and I had trouble woth the toilet. I was disappointed that they didn’t change towels, refresh, clean or make the room during your stay. Other then that, it’s a decent 2 stars hotel.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 October 2018,4,"Good Value, Helpful Staff, Close to City Centre","This is a 2 star hotel. Our family booked 3 rooms. The staff were very accommodating. The beds and linen clean. The water pressure and temperature were fine. Internet connection was also fine, never dropped out, albeit a bit slow but normal for Moroccan standards. The location very central to the centre of Casablanca. Breakfast is offered, i would recommend trying breakfast in a local cafe around the corner.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 September 2018,5,Great hotel for a short stay,My boyfriend and I stayed here for one night before flying out from Casablanca. The staff was super friendly! The hotel is small but we found it to be clean and centrally located. Would definitely recommend for a stay in Casablanca.,Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 May 2018,5,"Excellent, great Location","Stayed 6 nights and were treated as one of the family. Only 2 star but with 5 star service, excellent value for money and a great location, very quiet. Manager and ALL staff were more than happy to help in any way, advised on great places to eat with local/traditional food, arranged transport, etc. Would most definitely stay again and highly recommend.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 April 2018,5,Very nice hotel,I was stay here 1 night .easy to find . Very clean room . good location . Reception very friendly . Good price too.easy go to old medina. Palace mohamed. Safe place . Breakfast so good . Quiet at night easy sleep,Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 April 2018,3,Amazing helpful staff,"The hotel is nothing to talk about, but the staff was extremely helpful and nice to us. They wend out of the way to show us restaurants and exchange options. Location is good, but the rooms are very basic, no safe/hairdryer/coffee maker etc. Could only get coffee after 7.30 in the morning.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 April 2018,5,A hidden gem,"We visited Casablanca twice during our trip to Morocco and stayed at Hotel Point du Jour each time. The staff were truly fantastic, especially Jalal and Redouane, and would go out of their way to make sure we were having an excellent stay. They were also very helpful in pointing out places to visit and providing directions or advice on how to get there. The location is excellent - only a few minutes walk away from many of the main attractions of Casablanca while also on a quiet street with very little traffic noise. The rooms were also spotless and well set out. Make sure you stay here when you visit Casablanca!",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 March 2018,5,This is the best choice,"I'm an expat currently working in Morocco. Even there are some great 5 star hotels in Casablanca, when it comes to midrange hotel which is appropriate both for business and leisure it's very difficult to find a good one (this happens in other cities in Morocco, most of budget hotels are old and not well maintained). So this hotel is the best choice for travelers who don't need a luxury hotel but need good service and cleanliness to rest. Why I recommend this hotel: Casa port station is walking distance. 1 min walk from tramway station. Located in central area. Quiet and safe area (in weekend bars and restaurants around make some noise but till 0 a.m.) Cleanliness. Shower works well. Beds are comfortable. Decor and lighting are simple and chic. Good amenities for this price. …",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 March 2018,5,Very attentive staff,"I could go on and on, but suffice it to say the POINT DU JOUR Hotel was Central, very clean, and well run. The staff was ready to answer any question, give all kinds of help. On our first day in town, one of the staff actually WALKED US DOWN to his favorite restaurant ( four blocks away ) , so as to make sure we didn't get lost. That is something I consider beyond the call of duty.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 January 2018,5,Small Hotel and Good location Value for money,"Noisy at night due to a bar or disco nearby. Small hotel in good location, 2mins walk to Tramway. Rapid check in &out. Staff are welcoming. Room is clean and comfortable bed. Special thanks to Manager Mr. Redouane, Mr Jalal and Samira for their warm welcome. I highly recommend this hotel and will return back next holiday to Casablanca.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 December 2017,5,"If you say you'd stay there again, it must be nice.","This hotel is a great find. It's small. The owner and staff friendly and helpful. Clean, comfortable, and simple. The hot water is hot, the bed is comfortable, and the internet works. The breakfast is okay for the money, and the neighborhood is perfect for getting to know your way around this amazing city by foot...don't want to walk? The Tram is a short block away and will take you for 80 cents to the two main train stations or to the beach...a nice trip through the city's outskirts.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 October 2018,4,"Good Value, Helpful Staff, Close to City Centre","This is a 2 star hotel. Our family booked 3 rooms. The staff were very accommodating. The beds and linen clean. The water pressure and temperature were fine. Internet connection was also fine, never dropped out, albeit a bit slow but normal for Moroccan standards. The location very central to the centre of Casablanca. Breakfast is offered, i would recommend trying breakfast in a local cafe around the corner.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 September 2018,5,Great hotel for a short stay,My boyfriend and I stayed here for one night before flying out from Casablanca. The staff was super friendly! The hotel is small but we found it to be clean and centrally located. Would definitely recommend for a stay in Casablanca.,Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 May 2018,5,"Excellent, great Location","Stayed 6 nights and were treated as one of the family. Only 2 star but with 5 star service, excellent value for money and a great location, very quiet. Manager and ALL staff were more than happy to help in any way, advised on great places to eat with local/traditional food, arranged transport, etc. Would most definitely stay again and highly recommend.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 April 2018,5,Very nice hotel,I was stay here 1 night .easy to find . Very clean room . good location . Reception very friendly . Good price too.easy go to old medina. Palace mohamed. Safe place . Breakfast so good . Quiet at night easy sleep,Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 April 2018,3,Amazing helpful staff,"The hotel is nothing to talk about, but the staff was extremely helpful and nice to us. They wend out of the way to show us restaurants and exchange options. Location is good, but the rooms are very basic, no safe/hairdryer/coffee maker etc. Could only get coffee after 7.30 in the morning.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
