 November 2022,5,Excellent accomodation,"Wonderful time here, clean - bright and fresh interiors - gorgeous airy room with fabulous views out to the sea. Very well placed for easy access to all of Essaouira Staff were pleasant and friendly. Food available on the roof. Highly recommended.",hotelName,city
 December 2019,5,Magical atmosphère !,"I was lucky to spend and envoy my week in ATLANTIC HOSTEL XD ! the view from the terace its so cool to relax to enjoy the mixed populaire music in all the world .. comfort beds, clean bathroom, A lovely area to walk around the staff will help you show you all you need to made you trip.. thanks to all the people there are so Nice (rachi-simoo-chala-redone-abdull-galilo) I will back for sure",Atlantic_Hostel,Essaouira
 November 2019,5,I was in atlantic hostel and the place was beautiful,Nice atmosphere. Nice staff.thanks Galileo for the wonderful reception I really enjoyed it.in the first i wanted to spand one night but in the and I cancelled my plans and stayed here a week. In the firs floor there is a restaurant names hungry nomad the food was amazing and the menus are changed every day and there is live music after dinner dancing and I slept on the second floor in dormitory 16 bad and take breakfast in the rooftops it was very beautiful and varied with a beautiful look and everything is cleaned and replaced every morning the bathroom was good and there is hot water and there is another floor that looks like the second floor and the wonderful things is the rooftop is amazing and it overlooks the sunset and old Madina all . I highly recommend this wonderful…,Atlantic_Hostel,Essaouira
 December 2019,5,Great !,"Very nice place well located . Very friendly staff , amazing rooftop . I highly recommend :) live music everyday . Possibility to have dinner there and drinks at the bar . The hostel can organise you also trip to desert .",Atlantic_Hostel,Essaouira
 December 2019,5,So comfortable,"Great hostel to stay in, beautiful sunsets at the rooftop, and I loved the vibes. It feels like home away from home! Thanks again to Simo for making me feel so welcome, you are the best :) And ofcourse all the others for making this hostel the place to be.",Atlantic_Hostel,Essaouira
 November 2019,5,The best hostel i had,Actualy i don't know from where i'm gonna start cose u can't say every thing the hostel is really amazing the dtaff is very friendly redone was amazing and very welcoming the roof-toop is the best is the highiest roof with the sunset from there amazing so all what i wanna say is the best hostel i had very recommend,Atlantic_Hostel,Essaouira
 November 2019,5,The best hostel!,"The hostel Was amazing. it was a beautiful place, the dinners were fantastic, the atmosphere was incredible and we stayed much longer than planned. The hosts were fab, especially Redaune who made us feel so welcomed and at home! They really make the place what it is. Will definitely return!",Atlantic_Hostel,Essaouira
 November 2019,5,Incredible people and Location,"Stayed here for a week, the experience was very enjoyable. Beds are really comfortable with lockers below for valuables. The location is central with amazing view from the terrace. Plenty of nights playing cards and chatting with others! The team are really friendly and will help you In anyway they can. Special thanks to Redone for all his help and recommendations! Shukron!",Atlantic_Hostel,Essaouira
 November 2019,5,Essaouiras place to be,"I was looking for a nice and cheap accomodation and got so much more than that! Wow, what a wonderful place with amazing people that care so much about you. The terrace on the rooftop is amazing, the dinners are yummy and the jamsessions afterwards are super nice. Definately the place to be in Essaouira!",Atlantic_Hostel,Essaouira
 October 2019,5,Food and stay at Atlantic hostel essouaira,Excellent youth hostel stayed for 23 days was amazing.The staff were really friendly and helpful The evening meal was spot on great value for a 3 course meal 60 dirhams by the very talented Cous Cous who is renowned world wide for his cooking . People travel from all over just to eat here.,Atlantic_Hostel,Essaouira
 October 2019,5,Amazing,From the start to the end of my stay it was just an amazing time. The staff is super friendly and always very helpful. They have a beautiful rooftop terrace where you easily can find friends. A big thanks to Chef Couscous for the excellent service and the most delicious food!!!,Atlantic_Hostel,Essaouira
 October 2019,4,Perfect hostel,"Very nice hostel with the best people. Perfect for when you want to have fun, play music and eat food together. Location is easy to find and in the middle of the medina. Thanks again Kamel for giving us such a good time!",Atlantic_Hostel,Essaouira
 August 2019,5,i love this place,"I do not have the words to say a very good place for young people, if you visit 'Essaouira' you have to spend some nights in this hotel, big thank you for the manager, the staff is smiling, thank you very much",Atlantic_Hostel,Essaouira
 August 2019,5,Great,"Stuff so friendly everything was amazing will definitely be back!! Breakfast top , rooms top, service extra top also the animation and the activities at night I would come back to this hostel whenever i visit essaouira i stay in it anytime!!",Atlantic_Hostel,Essaouira
 August 2019,5,Awesome hostel,"I loved the vibe of this hostel ! The rooms are chill, the rooms are clean. The rooftop is definitely a nice place where to chill at night. Rachid is very friendly and his sirfing classes were very ludicrous. I definitely recommend it.",Atlantic_Hostel,Essaouira
 August 2019,5,wonderful,"heart warming place, wondrful reception and clean rooms and common spaces. i really enjoyed my stay here, the staff was amazing and friendly. essaouira is one the best destinations in morocco if you are a fan of surfing and jus chilling around. i am definitly coming back.",Atlantic_Hostel,Essaouira
 March 2019,5,Best hostel in Essaouira!,"We came to Essaouira and Atlantic hostel after two weeks travelling in Morocco, only planning to stay two nights...we ended up staying for about two weeks! The vibe is so welcoming and relaxed, the roof terrace is so beautiful and the ultimate chill out zone away from the hustle and bustle. But the best is the staff, they will become like your family and you won't want to leave, you will also meet other amazing travellers and you will eat the best food in the whole of Morocco made by CousCous. If you are a light sleeper it can be a bit noisy and the rooms are dorms, proper traveller style, I am quite a light sleeper but did not find it was much of a problem. Plus there is traditional live music every evening and a lot of dancing! Do not miss this place! We miss you Atlantic!…",Atlantic_Hostel,Essaouira
 August 2019,5,Review about atlantic hostel,"Atlantic hostel is one of the best hostel that i had visit in essouira.. The rooms are really cleaan .. and excellent room service, Actually all the staff are very kind and polite toward us .. U could easy make some friends and have fun .. At night there is some poeple from all kind ghather around stay talking or making songs, it's really awesome and cool place to visit !",Atlantic_Hostel,Essaouira
 August 2019,5,The best hostel in essaouira,Coin convivial. Très bon service. Wafaa ♥️ is super friendly The staff is very genuine and helpful and the place is very cozy Good food with a reasonable price. Live african music by local musicians. We enjoyed our night. Hippy vibes,Atlantic_Hostel,Essaouira
 August 2019,5,Amazing place and great staff,"The Atlantic hostel is a place with a magic vibe and a beautiful terasse looking over the entiere city. You can have an amazing dinner, dance with musicians and talk to travelers from all over the world. Special thanks to all the staff.",Atlantic_Hostel,Essaouira
 July 2019,5,Mustapha approves,"Crazy staff, nice atmosphere. The best headquarters for venturing into Essaouira’s chaotic streets. In the morning you can enjoy a nice varied breakfast. You will need to keep an eye out for Fatha though, a dangerous nomad who throws bees at unsuspecting guests. The rooftop terrace is a destination for sightseeing all on its own, you could spend a couple of days there and still enjoy yourself properly.",Atlantic_Hostel,Essaouira
 May 2019,5,Chris 8,"We stayed there for 8 days then travelled around and then came back again for another 4 days. So we really liked it. The whole atmosphere is pretty relaxed and the staff was very easy going and polite to us. We did not try the dinner in the hostel even though many guests recommended it. Everything was clean and allright, the rooftop has probably the best view of any hostel in Essaouira. We also really liked the jam sessions on the ground-floor that happend frequently. We had a great time there and would definitely go there again.",Atlantic_Hostel,Essaouira
 July 2019,1,No sleep,"Very nice hostel but overpriced, we slept at a private room : it was just some wooden planks smashed together. It was under the terrace so we did not sleep at all because when someone walked on the terrace it made a lot of noise. The window was also broken; it didn't close. They should not ask €20 for something like that.",Atlantic_Hostel,Essaouira
 May 2019,4,Nice live music events!!,"When I was in Essaouira, I slept in Moga Hostel. But in the evenings, we used to go to Atlantic Hostel to enjoy the live music sessions over there. :) we were there in 3 evenings and everytime there was a group of young guys playing guitar, drumming and singing traditional berber music. I just lived the music and the atmosphere! :)",Atlantic_Hostel,Essaouira
 July 2019,5,goood,"Great hostel in the middle of the city. I stayed at the hostel for 2 nights , it's was wonderful , I like the atmosphere there . I was lucky that I choose this hostel , it has a nice terrace and the best staff they were friendly guys I've met and always helped us whenever they could , highly recommend it.",Atlantic_Hostel,Essaouira
 May 2019,5,Great moment i had ever,"I had a great time at Atlantic hostel it was my first time going to a place where I really feel like my home , guys there are amazing they are welcoming all the time and the smile always in their faces , I like the rooftop it was incredible place for real chilling , I planned to stay just for 2 day and it ended of stay 3 more days .will come back for sure . Go there",Atlantic_Hostel,Essaouira
 June 2019,5,Authentic Essaouira Atmosphere,"Are you looking for a real moroccon experience, then you are at the right places to stay. With its cozy design and friendly staf, this place will be an unforgettable memory on your journey. Also you will meet many travellers from all around the world",Atlantic_Hostel,Essaouira
 July 2019,5,Best hostel ever!,"Atlantic hostel is a magic place. I came here and intended to stay for just a few days but ended up staying nearly two weeks. The vibes are just amazing! My favourite place is the roof terrace. It is really comfy and has an awesome view! There is always nice people there to hang around with. Also the whole staff is extraordinarily friendly and helpful. They always have a smile on their faces and they do everything to make your stay as enjoyable as possible. Also they play amazing music every evening after the dinner! Thank you Salmane and Jamal for always having a friendly chat and for never getting tired of my daily ""... I think I stay one more night."" And also thank you for taking care of my backpack when I went to Sidikaouki or somewhere for one night. Thank you Fatah (or…",Atlantic_Hostel,Essaouira
 June 2019,5,It's a magical place,"It was my first time in Morocco and coming to Essaouira was the best I could do. I stayed in this town for a bit over a week, and would still be there if I didn't had to go back home. I checked in the Atlantic Hostel right after the Festival, I got a nice room, I could even choose my bed, the receptionist Jamal showed me the Rooftop and told me a few things I could do in town. From the start they made me feel like home. Hospitality is a very important part there. The hostel fits in perfectly with the whole Essaouira vibe - really laid back and chill atmosphere, plenty of space to get to meet travellers and locals. Watching the sunset on the rooftop terrace is definitely a highlight as well as joining the dinner. After my time there, the staff has become like a family and it…",Atlantic_Hostel,Essaouira
 May 2019,5,TOP HOSTEL IN ESSAOUIRA,"So welcoming! So kick-back & kool. Staff were all awesome & Zora in particular was very kind & helpful. Food is freaking fabulous. And great to share with other travellers from all over the world. The guys played music for us & entertained us all evening. Breakfast from the rooftop is a treat. After experiencing so many hassles in Marrakech, it was such a relief to be embraced with such warm hospitality. Great location. Great markets.",Atlantic_Hostel,Essaouira
 April 2019,5,Ideal hostel,"An ideal hostel should be clean, well located, and have a cool vibe. This place ticked all those boxes and then some. Power sockets for each bed, clean bathrooms, comfy beds, epic rooftop area, friendly staff, amazing personable host, right by the market area, and great social vibe. I'm only gutted I could only stay 1 night. Couscous, the manager, was amazing - friendly, helpful, and a good time! His dinner which you can pay 60DH for was delicious and a great way to meet other travellers over a traditional meal in a beautifully decorated set up. Will return again!",Atlantic_Hostel,Essaouira
 April 2019,5,Best meal in Morocco,"The best hostel in our 7 days stay in Morocco. The staff are very nice and humane people. They give us information about the city, food and culture and they even show us different sites on the field. The rooftop is astonishing and having the breakfast there was one of the best experiences in the city. We have to do an special mention to the big chef Couscous, a great chef and better guy. He cook with love and the guests can feel it. It's a must place to go next time we visit the country.",Atlantic_Hostel,Essaouira
 April 2019,3,Potential serious bug problem - health hazard,"The staff very nice and dinners too. However, it is quite likely that my bed had bedbugs as I was badly bitten at certain locations of my body. A series red-bump pattern appeared on my body which is the tell-tell sign of bed-bugs. The itching was quite intense. This is a health hazard.",Atlantic_Hostel,Essaouira
 March 2019,5,naic experian,istayed in atlantic hostel for 3 nights and i love it the staff are friendly and helpful the make family dinner for everybody i the make moroccan traditional food it is also amazing place to relax i recommend it to everyone,Atlantic_Hostel,Essaouira
 April 2019,5,Best hostel on earth,"The highest rooftop in Essaouira, some of the best food in Morocco, traditional music, amazing friends. This was the center of my stay in Morocco, I met so many great people that I traveled with in all directions. It’s the kind of place you’re happy to linger at. Can’t wait to get back.",Atlantic_Hostel,Essaouira
 March 2019,5,Perfect place,"This hostel is absolutely superb, the staff are friendly, helpful, full of local knowledge and go the extra mile. The facilities are cleaned daily, rooms are spacious, free wireless,Breakfast is good ,just inform them first if you need to get some stuff done, but anyway at that time you should be exploring the wonderful city of Essaouira It's location is in the heart of medina and it's an easy walk to get anywhere I stayed in a 4 bed mixed and moved to 5 bed mixed and had no complaints whatsoever - of course reviews like this and the ones below makes this a popular place to stay, I don't think there was one day when this place wasn't fully booked - book early.",Atlantic_Hostel,Essaouira
 March 2018,5,Awesome stop,"This place has chill vibes, loved the atmosphere and the people working here. Jam sessions, breakfast, the type of people it attracts. It is hippie and the view is just amazing especially at subswt. Have fun and make sure you visit Tagazhout :)",Atlantic_Hostel,Essaouira
 December 2018,5,Best Hostel in Morocco!,"Feeling homesick? Tired of the travel? Chef Couscous invites you to his family with love, a smile and an astounding family meal. Hostel is warm and comforting, but the FOOD! Come for the vibes, stay for the food. The terrace has amazing panoramic views, and gosh darn does it feel welcoming. I can't rate this place enough. I'll be back, and I know I'll be welcomed back with open arms. Much love to Couscous and the whole family XOXO",Atlantic_Hostel,Essaouira
 December 2018,4,"We ate here, didn't stay - great food & friendly staff",We booked through a surf camp and stayed at a local riad and ate at the hostel. The food there was lovely and the staff were very friendly and helpful. The hostel itself definitely needs some tlc and a bit of a makeover! The roof terrace was lovely and the music in the evening great but it was nice to sleep in a lovely clean riad!,Atlantic_Hostel,Essaouira
 November 2018,5,I'll be back,"Amazing time spent in Atlantic Hostel.. I was lucky to try the Pastilla from chef Couscous and it was just incredible!! Staff is so friendly, helpful and fun. Amazing live music every night with Bastos!! Really good to meet fellow travelers... thanks you guys it was so nice to meet you & see you again inshalla",Atlantic_Hostel,Essaouira
 November 2018,5,BEST HOSTEL IN ESSAOUIRA!,"Atlantis is a great place, cool building, really colourfully painted, dorms and bathrooms are decent, the terrasse is a great place to chill and the panoramic view is stunning! Best of all is the amazing people working here; STRIVING to make this hostel a great stay for everyone! I love you all ❤️",Atlantic_Hostel,Essaouira
 October 2018,5,THIS IS THE BEST HOSTEL I'VE EVER STAYED AT,"Everything about this place is incredible. I would have stayed there longer if I could have. You meet the most amazing people and the staff is the coolest ! They host family dinners every night with the most delicious traditional foods! They later play the drums and electric guitar with incredibly talented artists playing african music from the sahara. The rooftop has an incredible view and is the perfect spot to chill with friends, meeting new people. I will never forget this experience and feel extremely lucky to have been able to spend some days there. I will definitely go back!!",Atlantic_Hostel,Essaouira
 October 2018,5,best experience ever,"atlantic hostel or paradise Atlantic is one of my best destinations since I arrive to Morocco, the vibe there is totally great, the work team are so nice with travelers. The roaf top terrace they have is just great. i mean you can chill there and relax.",Atlantic_Hostel,Essaouira
 October 2018,4,Great hostel,"Enjoyed our stay here very much. The room was well decorated but the window/door was very difficult to open/close and noisy too meaning I couldn’t close it early morning and a cricket kept me awake for ages. The bathroom arrangement is very communal and would benefit from a bathroom door. Plus one of the showers doesn’t drain. Hot though, and clean. The roof terrace is amazing, properly stunning and a great place to chill. You can see the whole city. Best roof terrace in Africa. Probably. We went for the communal food, but sadly the famous CousCous was having a day or two off! That’s ok, but maybe provide a decent alternative. Great breakfast, great live music and a chilled vibe. We will return.",Atlantic_Hostel,Essaouira
 October 2018,5,Would Recommend to a Friend,The atmosphere in this place is what makes the place definitely worth visiting. The rooftop terrace is great for meeting other travellers and all the staff are ridiculously friendly. The rooms might not be outrageously nice but thats irrelevant when you take in everything else the place has to offer.,Atlantic_Hostel,Essaouira
 September 2018,5,Feels like home,"What a nice place!!!! We’ve had such a great time! Cous-cous cooks the best food I would totally recommend to have dinner with everyone in the hostel. It all feels like a huge family. All the staff makes you feel welcomed. The terrace is beautiful and huge and makes you just wanna chill out there for the rest of the day!i totally recommend this hostel for everyone who wants to meet awesome people, enjoys hostel backpacker life, and wants to eat really good marrocan food!",Atlantic_Hostel,Essaouira
 September 2018,5,Wonderful stay,"We arrived pretty late at Atlantic hostel (9pm) and immediately got invited to join dinner made by the famous Couscous, who even took care of our veganism 😇 Our private room was clean and nice and the terrace there is awesome, with a view all over the area and perfect for sunsets. We would definitely recommend staying here!",Atlantic_Hostel,Essaouira
 August 2018,5,"Unforgettable trip, must-try","It was my first time going to Essaouira, I felt like I’m home thanks to the staff and teamwork in this beautiful luxurious architecture mixed with traditional lifestyle, I like the way Jimmy welcomed me and the continuous smile on the faces of all the teamwork, they helped me find my way to the main center of the city and as the hostel is near to the beach, I was amazed and felt so happy. The detailed map they provided me was more than enough to easily get directions. Beautiful terrace where breakfast is served, and on which you can see the whole city, nice view and stunning atmosphere. The nightlife will never be forgotten, after dinner, they get gathered and play different kinds of Moroccan berber musics and they light candles and make the mood so stunning. It was my first…",Atlantic_Hostel,Essaouira
 August 2018,5,My best experience in whole Morocco!!,"This hostel just felt like home. The people are one of the sweetest people I have met in Morocco, after just 1 day I already felt like we were all family. Couscous, the cook of the hostels, cooks the best and super traditional Moroccan dishes every evening, the price is super cheap in comparison to restaurants, and it's super delicious. Also every night, you can chill on the rooftop: a very spatious place with lots of couches and blankets for when it gets chilly. I could also experience some traditional Moroccan music there - the people of the hostel have instruments placed everywhere in the hostel and LOVE playing it; drums, guitar, Berber instruments.. I have left my heart in this hostel!! Big recommentation!",Atlantic_Hostel,Essaouira
 September 2018,5,This is the best hostel in the world!!,"I really liked this hostel the first minute I walked in, not because the building is good looking inside out, but it’s the staff, the food and the hospitality in general is all on point. Not to mention the people I’ve met here from all over the world, this place gets a lot of traffic and is booked most of the time. And kudos to Atlantic hostel team for their hospitality.",Atlantic_Hostel,Essaouira
 August 2018,5,Great family atmosphere,The staff are all absolutely lovely. The chef couscous is a great bloke who let us join in with the cooking and gave us a free lesson. The nightly meals aren’t to be missed! Everyone makes you feel very welcome,Atlantic_Hostel,Essaouira
 August 2018,5,Perfect hostel for your stay!,"Friendly staff and lovely vibes :) we enjoyed the weather with friends, food is tottaly great and the hostel is decorated in a cool way, it makes between tradition and modernity. Nb: i would like to send a special thanks to. Ayoub, jimmy, simba, redone, cous cous, and targui.",Atlantic_Hostel,Essaouira
 August 2018,5,Awesome place,"The most common place in the heart of the medina near the beach i had the a great time with the amazing people, With the highest and cool rooftop terrace. We had also a good family dinner with nice people there. I propose to anyone who want a great commodation this place. Nb: thank you guys ayoub,simba,cous cous, targui,jimmy, and redone.",Atlantic_Hostel,Essaouira
 August 2018,5,SUCH A GOOD VIBE!!,"Atlantic Hostel is an epic place to stay if your backpacking through Essaouira!! Huge place, perfect location, bright-funky art, inscents burning, incredible music, gorgeous rooftop, THE BEST FOOD, and the best dudes you’ll meet in Morocco! Everyone who works here became an instant friend. (Shout out Abdul, Paul and I love you man!!!!) Highly highly recommend the dinners here! They are a big family dinner, great way to get to know everyone in a beautiful environment. The food was seriously better than my moms cooking! Best I’ve eaten in a long time!!!! And they feed you SOOOO MUCH!!! We had a 6 course meal lol!! Bang for your buck considering the rooms are so cheap!! If you like good music, funky art, socializing and/or chillin hard - this place is for you! Thanks for…",Atlantic_Hostel,Essaouira
 July 2018,5,Music all and good atmosphere!,"I had an excellent stay with the most wonderful hosts! (Cous cous and Abdul from breakfast, among others) They make sure you're always happy and confortable wherever you are! Atlantic is definitely a hostel for people who like to have fun and are not too Divas. There's music in the common room every night and everybody who can clap, whistle, sing play instruments or basically make any sort of noise is welcome to join! The most delicious and filling breakfast is served there for only 20dh. with an amazing view to the medina! Best of luck in everything and keep your great effort going! Your friend from Mexico, Leo!",Atlantic_Hostel,Essaouira
 July 2018,5,Home away from home,"We had the best time at Atlantic Hostel. We felt at home from the minute we arrived. All team members are very welcoming and enthusiastic. A special shout out to Couscous for the best food I ate during the trip, and to all others for making every night a great night filled with music and laughter. I would definitely recommend you to stay here.",Atlantic_Hostel,Essaouira
 June 2018,5,ACHKIDE = COME IN THE BEREBERE LANGUAGE,i did spend one of my best holiday in this place the people working there are so kind and you get to make some freind from all the world .it's a great place to shill out i love it and i will go back there definitely,Atlantic_Hostel,Essaouira
 June 2018,5,Great hostel,"Had a really fun time here, fantastic atmosphere which is down to enthusiasm of the staff and guests. There was a communal dinner for who wanted it every night that were deliciosa. The rooftop area was fantastic to just relax and socialise in location pretty Perfect, right in the medina.l",Atlantic_Hostel,Essaouira
 December 2017,5,The best in Morocco!,"I was travelling around Morocco for a while and once I stumbled upon this place, I couldn't leave! I ended up staying weeks longer than I had initially planned to, simply because the atmosphere and crowd at the hostel were so welcoming and interesting. Location is great, right in the heart of the Medina and for such a reasonable price! The staff were also amazing - especially Ayoub, who helped me with food and would take groups to the beach to play football. All round, a beautiful hostel that easily outclasses all the other options in Essaouira.",Atlantic_Hostel,Essaouira
 January 2018,5,Best hostel in Morocco !,"Wonderful hostel in wonderful essaouira. I spent 5 days in Essaouira and it was the best days for me in Morocco ! The hostel is right in the center, very easy to find, The staff was very nice, very helpful. Great environment on the terrace and at the sharing dinner. Definitely go back there again !!",Atlantic_Hostel,Essaouira
 June 2018,5,Amazing hostel,"I went to essaouira for two days but my stay was longer, the staff in Atlantic are very friendly and helpful. The rooftop terrace is amazing, and I loved to be there in every sunset. Thanks a lot for everythings :) <3",Atlantic_Hostel,Essaouira
 June 2018,5,Fantastic Days in the Windy City,"Had an amazing time in the hostel. Good atmosphere and good people. They provide different kinds of rooms, good for groups and solo travellers. The beds are good and facilities are clean. The hostel has a fun artsy look and the rooftop is the best place to chill in Morocco!",Atlantic_Hostel,Essaouira
 May 2018,5,Good base in beautiful place,"I came back for a second stay to this hostel. Essaouira is amazing and so is the hostel. They have a beautiful roof top terrace with a bar and super friendly stuff. The hostel is located directly in the Medina, so everything around is in walking distance. Nice place to stop for more than two days!",Atlantic_Hostel,Essaouira
 May 2018,5,Nice people & beautiful terrace ❤️,Thanks guys! I really enjoyed my stay! ;-) The terrace is very beautiful and the people in the hostel are very HELPFUL and KIND. I will come back soon! I can also recommend you to go on a surfing lesson with Simba! H,Atlantic_Hostel,Essaouira
 May 2018,5,Great spot and laid back,"Atlantic hostel was a great spot during our trip Essouira. The staff was very friendly,helpful, and fun. They made us feel welcome and we enjoyed all the people traveling through the hostel during our 3 day stay. The rooms are spartan and inexpensive but that’s exactly what we were looking for. I would absolutely recommend the Atlantic and look forward to staying here again in the future.",Atlantic_Hostel,Essaouira
 May 2018,5,"Good vibes, friendly people, great service, best omelettes","My friends and I stayed at Atlantic Hostel 3 nights and couldn't be more happy with the place. The staff were warm and friendly, the beds were comfortable, and the food was amazing and readily available. The live music and foosball was a cherry on top. Two tips: I highly recommend taking a surfing lesson with Simba, and don't laugh at Ayoub's jokes - it only encourages him ;)",Atlantic_Hostel,Essaouira
 May 2018,5,Great Hostel,"I was here already a few times and I always enjoyed my stay. After reading the other reviews I have to say that of course: its not a fancy hotel or riad. So of course there isn't that much fancy stuff as there. I think that for this price it can't be better. The staff is amazing and I will for sure come back to this place over and over again. When i stayed there, there wasn't any bedbugs, but also this can happen. Still my favorite place to go to in Essaouira :)",Atlantic_Hostel,Essaouira
 May 2018,4,Just made my trip to Essaouire,"This hostel is affiliated with the majorelle hostel in Marrakech. Again the staff gave the hostel its warm and friendly atmosphere. I booked for one night and ended up staying 4. Best to book a smaller dorm, 6 bed, as these are more private and comfortable. The terrace is the place to be when not venturing around Essaouire. A really comfortable and a bit bazaar space to stay, right in the medina and close to the markets, beach and harbour.",Atlantic_Hostel,Essaouira
 February 2018,5,Best Hostel in Town,"Simply the best, great staff. Beautiful rooftop where you can relax, chill out, meet people with panoramic view. The food was excellent. Nice rooms. Was my thirt time I stayed there.It always feels like coming back home..",Atlantic_Hostel,Essaouira
 May 2018,5,Best roof in town,"This is a gem in the souk with a lovely terrace on top with some great views of the town. Tagine omelette was very nice as well as the fresh juices. We bought some fresh shrimps in the docks and Ayoub, the guy running the roof, was very helpful with our own preparation. Also he's very bad at table football. Also, also, beware of the fierce predator cat Couscous. 10/10 Would recommend Will be back",Atlantic_Hostel,Essaouira
 May 2018,5,Go there!!!,"Stayed at atlantic the second time. Its just lovely people around, greatest staff and the best rooftop that exists! The view over the city is excellent, beds are comfortable and the breakfast is nice. When you're bored just go and cuddle couscous, the cat! The staff never fails to help you if you need any information or help. Going back anytime!",Atlantic_Hostel,Essaouira
 May 2018,5,"Friendly staff, nice rooftops, good people","Hostel was nice, not Riad, they offer local food for low prices. Staff are very nice and helpful. The rooms itself could be improved, same with showers, It is all quite old comparing to other hostels in morocco. Location is great - right in the centre.",Atlantic_Hostel,Essaouira
 May 2018,4,Perfect hostel,"The location is great, staff is very nice, friendly and helpful. The room was very comfy and the terrace is amazing. Thank you for everything, staying with you was the best experience in Essoeira. see you soon!",Atlantic_Hostel,Essaouira
 May 2018,5,Thanks to ayoub and galilio,"The best hostel I have ever stayed in. Atmosphere is cozy, the hostel staff are friendly and attentive, the facilities are perfect, everything very clean and organized. The best breakfast in a hostel I've ever stayed in. The location is very good. I will come back soon guys",Atlantic_Hostel,Essaouira
 May 2018,5,Good vibes,"Perfect hostel to match the funky & chill vibes of Essaouira, chill on the terrace to watch the beautiful sunset every evening, energetic and kind staff who will always help you, fun music at night :)",Atlantic_Hostel,Essaouira
 May 2018,5,Perfect,"the hostel is amazing, clean and comfortable beds. The staff are very freindly, and always in the service. The breakfast was nice in the beautiful terrace, i can not forget the dinner and the music. 100 % to recommend it.",Atlantic_Hostel,Essaouira
