 February 2020,5,Good base for exploring Ouarzazate,"We stayed a couple of nights here in February 2020, having spent a coup,e of nights out in the mountain villages we wanted to be in town and experience a bit of the city. It is in walking distance to the town centre and close to the airport. The room was lovely and clean, comfortable and with a clean bathroom. Breakfast was very good for a couple of euros extra. The staff were all really helpful and kind. It is slightly noisy at night as the road is busy but I think you would get this anywhere in town and we wanted to experience a bit of the bustle of the city so this was to be expected. Otherwise all was very good.",hotelName,city
 May 2016,4,Above expectations,"We stayed here 3 nights to break the journey from the desert back to Kesh. The hotel is near the supratours drop off point, and the grand taxi and local bus station is just a 5 minute walk away. Handy for gettng to Ait Benhaddou, It's a good 5 minute walk to the local square, but the neighbourhood around the hotel is a quiet local one and pleasant to walk around. The hotel has a cafe on the ground floor, where you can have breakfast. Service was good and the breakfast was nice. The cafe did get a touch noisy one or two evenings as we stayed in a room on the floor above, but it certainly wasn't rowdy. The internal doors of the hotel do bang quite loudly so we could always here people coming and going. The room itself was very clean and the shower was top quality. Good…",Hotel_marmar,Ouarzazate
 April 2016,5,"Clean, Comfortable","We spent two nights and had a room on the second floor in the back. The double bed was comfortable and the room was very clean, basic but modern. Breakfast was included and was served in the cafe downstairs. The rooms in the front may be noisy due to traffic on the main road. Located close to grand taxi and Supratours. It was a 15 minute walk to the medina.",Hotel_marmar,Ouarzazate
 April 2016,5,"Clean, helpful staff and very good value","The hotel is ideally situated near the main bus/taxi station. The rooms are very clean, all of them with ensuite bathroom, there is a spacious café downstairs is you want to drink something and the breakfast is copious. On top of all this, the price is amazingly low. Brilliant place! Wifi available at the reception.",Hotel_marmar,Ouarzazate
 March 2016,4,Good functional staff,"Nice, clean hotel with reasonable prices. Staff were friendly and helpful. It is well located for the local bus and taxi rank, but a bit further walk to many of the attractions and city centre. Reasonable breakfast and free wi-fi.",Hotel_marmar,Ouarzazate
 February 2016,4,"Good, clean, but a bit noisy","It was nice to stay a couple of nights in a hotel with loads of hot water, a shower that actually drained, and a very clean room. We were lucky that the hotel was quiet while we were there and most of the rooms empty; the echo inside the building amplifies all sound and the few other guests we encountered were the source of a lot of noise, not because they were being loud but because of the echo and the thin walls. It's a 20 minute walk to the centre, which is entirely manageable. We picked this place because of the free parking spot across the street; we rented a car during our stay, though not from the company associated with Marmar (they quoted us much higher prices for no reason - we decided on a smaller can rental agency, most are situated on the main street in the centre…",Hotel_marmar,Ouarzazate
 February 2016,5,Comfiest bed in Morocco,"First of all, the room is great: spacious and clean. The toilet and shower is an actual bathroom that's separated from the bedroom with a door to close. The bed is super comfy with the firmest pillows. We've been traveling in Morocco for about 5 weeks now and have stayed in hostels, riads, hotels, and airbnb's, and this is the best bed we've slept in. It was a bit cold at night, but there was already an extra blanket in the room that we used and it was fine. we nearly missed breakfast in the morning and the kindest gentleman ever offered to take breakfast up to our room to enjoy! Talk about great customer service, that guy was so nice I wish we had gotten his name! We stayed here only one night as this was just a stop on our way to Mhamid. Definitely worth what you pay for!",Hotel_marmar,Ouarzazate
 January 2016,4,Nice hotel for one night,"Nice hotel for one night stay. We stayed 3 couples. Clean Room, hot water, nice breakfast but no cheese, free wifi, good price, helpfull personel. Close to cinema museum. Parking lot is nearby. Extra % 3 för credit card Payments.",Hotel_marmar,Ouarzazate
 December 2015,3,Good value for money,"We stayed for one night at 135 Dh each, which is a very convenient price for a hotel. Rooms are tidy with nice bathroom. The biggest disadvantage is the cold in the hotel. Had to crawl under two blankets not to feel chilly thru the night. Breakfast could be a little bit better.",Hotel_marmar,Ouarzazate
 November 2015,5,Good base for exploring Ouarzazate,"After my initial arrival in Marrakech and some time getting acclimated to the exciting country of Morocco, I realized that it was time for the obligatory visit to the desert and camel ride. I took a bus over the breathtaking High Atlas Mountains to Ouarzazate, and spent three days exploring the film industry there and in the historic walled ksar of Aït Ben Haddou (Lawerence of Arabia and Gladiator, for example). Hotel Marmar provided a very comfortable and place to stay, and a good base for my exploration. The location is excellent, just a few blocks from the Supratours Bus Office and the main taxi stand for both Grand and Petit Taxis. I also enjoyed grilled kabobs at locals joint of El Bahja (and made a cat very full and happy). Another night I feasted on Chevreau M’Kalli,…",Hotel_marmar,Ouarzazate
 July 2015,5,Excellent budget hotel in a transit town,"This hotel is an oasis in this town with not a lot of things to see. The rooms are new, clean, big and the bathrooms aswell. The breakfast was fresh and delicious. The man who welcomed us (desk staff) was very friendly and energetic, told us of our options to see the town and the area around.",Hotel_marmar,Ouarzazate
 July 2015,4,Excellent Budget Hotel,"I had an excellent stay at Hotel Marmar. My room was big and spotless; there was no AC so the room was quite hot. The man at the front desk was extremely helpful and went above and beyond his duties to help me out (he called the bus station to reserve me tickets, organized a half day tour to Ait Ben Haddou, provided information about Ouarzazate and was just generally helpful). I would definitely recommend Hotel Marmar.",Hotel_marmar,Ouarzazate
 July 2015,4,Very nice hotel,"Hotel Marmar is a nice place to stay when visiting Ouarzazate. The staff is very kind and helpful. Our room was decent and clean, although the shower was slightly defective. The location is good, but kind of far from the city centre (Ouarzazate is pretty spread out). All in all we recommend this hotel!",Hotel_marmar,Ouarzazate
 July 2015,5,Very nice place to stay over night before going to desert,"We received good suggestions on how to go to desert. Hotel is nice and very clean, really good option for this price with breakfast included. It is walking distance from CTM bus station and it is easy to find, close to musk. If you are there in summer, I would suggest to pay little extra for air condition.",Hotel_marmar,Ouarzazate
 April 2015,5,"Marmar hotel, ouarzazate","Stayed in hotel Marmara in April 2015,staff extremely helpful price really good, couldn't fault it really especially for the price.good convenient location for supratours stop and the kasbah which is around a 10-15 minute walk.",Hotel_marmar,Ouarzazate
 March 2015,4,Nice and easy place to stay,"Hotel Marmar was a nice and cheap place to stay after our desert tour and before returning to Marrakech. It is very close to Supratours so easy to depart early in the morning. Our room was clean, breakfast was good, and the staff was friendly!",Hotel_marmar,Ouarzazate
 February 2015,5,"Clean, comfortable, friendly and great value","Hotel Marmar is extremely clean, comfortable and has a great location, just on the edge of the town centre so it is easy to walk everywhere yet still quiet and peaceful for a great nights sleep. The hotel is quite new and facilities are all in excellent condition, the shower hot and powerful, beds and bedding fresh and comfortable, rooms surprising large. The included breakfast is served in the cafe downstairs that belongs to the hotel, freshly squeezed orange juice, yogurt, cheese, jam, croissants or pain au chocolate, fresh bread and probably the best coffee I had in Morocco were an enjoyable treat. The cafe is busy with locals relaxing most of the day so you know it is good and very reasonably priced, I much prefer this than being in a tourist only environment. We checked…",Hotel_marmar,Ouarzazate
 December 2014,5,"Clean, spartan, hotel","If ouy are looking for a simple clean hotel this is a nice place to stay. I stayed in Dec. The room was a bit cool and the ""heater"" takes a while to warm up the room. NOt much in the room but a bed ad a bathroom. I don't know if there are any nice restaurants near by, I took a car to a restaurant for dinner.",Hotel_marmar,Ouarzazate
 November 2014,4,Marmar? More like give me moremore!!,"Clean cheap and good location - great and friendly English speaking staff. - really happy to help. Be a bit mindful if you get them to book you a cab though. We got one to the airport, literally 5 minutes drive in a petit taxi and he charged us 75d! Ouch! Otherwise good - coffee for breakfast is wsy above moroccan normal standards.",Hotel_marmar,Ouarzazate
 November 2014,5,A great place to stay,This is a handy spot if you're hoping to spend a bit of time checking out the city. Parking is adjacent to the hotel. Room was not enormous but had ensure and everything was spotless. Breakfast was basic but very adequate and it was not expensive to supplement the meal in any local restaurant. At the top of our experience was the friendliness of the staff and how accomodating they were. They were more than happy to speak English which was a big help given that we had one word of Berber which we slipped in as many times as possible when appropriate. (Spelt how it sounds-shookran which means thankyou). I reckon we'll be back in the Hotel Marmar.,Hotel_marmar,Ouarzazate
 October 2014,4,Great value for money,"We stayed one night in the hotel while travelling around in Marocco at the end of October. The hotel is situated outside the city centre on the road to the airport. We did not mind as we were travelling with a car and therefore could do trips to the center any time. The room was clean and comfortable. The AC did not work, however. And the level of noise from the street was quite high at night when you needed to open the window to get some fresh air. Overall, it is a very decent hotel with a great price/value ratio. By the way, the breakfast was yummy :)",Hotel_marmar,Ouarzazate
 September 2014,3,You paid for a room to sleep (perfect for Supratour traveler),"We picked this hotel solely because it's within walking distance to the Supratour office in Ouarzazate. It's amazing how Ouarzazate differs from most other cities we visited in Morocco. It's extremely quiet and not nearly as populated. Getting a taxi here is not as easy as we thought! It's very affordable. At the same time, you get nothing more than a bed and a decent shower. (No AC if that matters to you). There is free wifi in the common area but the staff turned off the wifi before midnight when they went to bed. There are plenty other hotels much closer to the town centre and CTM bus station. I would not recommend someone to stay here unless you are travelling with Supratour and making a brief overnight stay in the city.",Hotel_marmar,Ouarzazate
 July 2014,4,Decent hotel at a good price,"Hotel Marmar is an affordable place to stay if Ouarzazate is simply a stop off point for you. It is located close to the Supratours office and bus/taxi station and not far from the city centre. The room is adequate and a nice size with a clean, modern bathroom. Service was very friendly, mainly from the guy sitting at the front desk, who is always willing to help. Breakfast, like most places we stayed, is rather basic but will suffice. Overall it's a decent hotel that gets the job done.",Hotel_marmar,Ouarzazate
 January 2014,4,Marmar,"The hostel is nice. Clean, close to bus station that drops you from Kesh or Merzouga, and close to city centre but not too much close. The breakfast is exellent. Rooms are big, clean and nice, with own bathroom. Guys who work there very friendly.",Hotel_marmar,Ouarzazate
 May 2014,4,"Cheap, Clean and Lean","I'm rating this very good for the cheap price (165 durhames) and the fact the room was clean and did the job. There was no TV or AC so it was a bit noisy during the night with the window open. The price included breakfast which was coffee/tea, bread, cheese, fresh juice, croissant and a yogourt. The front desk was helpful - they helped me add credits to my Moroccan SIM card and pointed me in the right direction to get a grand taxi out of the town to other sights. It's a 10-15 min walk to the city centre.",Hotel_marmar,Ouarzazate
 March 2014,4,"Great location, big rooms","You can not beat the price and the location is great. I wish I remember the name of the Berber man working on the reception, who made a hand map of everything I wanted to see and haver some priceless tips for the next trip. Rooms and bathrooms were very big, clean, and I couldn't ask for more. Even though I arrived in the middle of the night, and had some airport pick up misunderstanding I did recommended the hotel already to some people I met during my trip.",Hotel_marmar,Ouarzazate
 December 2013,3,"Very useful if you come by Supratours, but lacks quality in service","Period of Stay: 6th Dec - 8th Dec 2013 (2 nights) Cost (PER NIGHT): 15 Euros (170 Dirhams)(including taxes, via Booking.com) for a single room (Room 212) + points: (1) Location - less than 5 minutes walk from the Supratours drop off point (I came in from Marrakech). NOTE: apparently there are two Supratours ticket offices and the one that you are dropped off at is along Avenue Moulay Abdellah (NOT the one on the main road of Avenue Mohammed V which is the one you will see when you use Google Map) - I was a bit confused initially due to this, not good to be lost at night trying to find your hotel in Morocco! So all you need to do is walk along the road that you are dropped off at (in the direction that the bus is facing) and you will see Hotel Marmar on your right within 5…",Hotel_marmar,Ouarzazate
 November 2013,4,"clean, comfortable and affordable","Unlike our Marrakesh Riad experience this was more of a modern building and rooms. We did not pre-book this hotel but as we took Supratours bus from Marrakesh and were dropped off 2 blocks away walked up to inspect it. As it was quiet season we managed to negotiate a slightly better rate than advertised which was great. Our room was a decent size, with enuite bathroom. The shower was nice and hot and the hotel was spotlessly clean. Breakfast was included and was good with lovely espresso coffee, orange juice, yoghurt and lots of bread. Wifi only works on the lower floors. Location is a slight negative as others have mentioned, but once you know your way through the streets its really only 10 mins max to walk to the square. There are some great cheap local restaurants nearby as…",Hotel_marmar,Ouarzazate
 October 2013,1,"Discourteous, rude, incompetent. Hand out keys of your room to strangers.",They rudely insist you leave key behind while out of hotel. I acquired the keys to another room because if this. The staff are quite demeaning towards women and they charged me a full night's stay for being 1 hour late at checkout.,Hotel_marmar,Ouarzazate
 May 2013,4,cheap hotel and nice staffs,"It costed me 138 DH/night in this hotel. It is a little bit hard to find it. 5 mins walk from Supratour bus ticket office. The room is good but wifi is not covered in all the rooms. Staffs are nice and English speaking. The room price includes breakfast in a small cafe inside the hotel. But please pay attention to the staffs, they always want you to join the tour or rent a care. Anyway, the staffs are nice and do not ask for tips aggressively unlike somewhere else in the country.",Hotel_marmar,Ouarzazate
 June 2013,4,Good value,"Although not in the centre of town, hotel Marmar represented good value for money. Rooms were clean and simple, staff even bought a fan to ensure we were comfortable. We were greeted with Berbere whiskey (Moroccan tea) and Ali made us feel very welcome, he also provided us with a useful map and information about the town and surrounding areas. We would recommend a tour of the atlas studios for 50dh each and the atmosphere in the square at night was relaxed without the hassle of Marrakech. All in all a great stay!",Hotel_marmar,Ouarzazate
 April 2013,2,"ok hotel, NOT ok service","The location is near the taxi station and around the corner you will find the Supratours bus office. It is a minimum 30 minute walk from the CTM bus office. I only recommend staying here if you want to find a place near Supratours or taxis. The rooms are basic. Mine had toilet and shower with a small balcony overlooking the street. Sometimes you have to wait several minutes for hot water or ask reception to fix the problem. The wifi will only work on the ground floor and up to the 1st floor. Breakfast is in the cafe attached to the hotel. The hotel is fine but I cannot recommend the services they offer (car rentals, tours, excursions) because I had a very bad experience with them. Tripadvisor will not allow me to write about their services in this review because it is under…",Hotel_marmar,Ouarzazate
 February 2013,5,Large and luxurious room,"This was a splendid and comfortable room, and there was even a bathtub! Everything was spotlessly clean. The staff, too, was very obliging. An excellent breakfast with plenty of good hot coffee. Very economical. The only drawback: its distance from the center of town.",Hotel_marmar,Ouarzazate
 March 2013,5,Warm Excellent Value Hotel,"This hotel is just a few blocks walk from the Supratours Bus Ticket Office as well as the main Gare Routiere (bus station) and taxi station for short trips out of town such as to Skoura. Besides an excellent location for travel, it has one of he warmest staff I have encountered on 4 trips to Morocco, which is saying alot as Morocco is known for warm, kind people. The hospitality is 5 star and most the staff speak some English and good French. The wonderful breakfast, which is included in low priced large rooms with large bathrooms, consists of delicious Moroccan bread, a large croisant with a touch of chocolate, yougurt, strawberry preserves, delicious coffee with foamed milk, fresh orange juice and 2 cheese wedges. They have couches in the lobby where you are made to feel…",Hotel_marmar,Ouarzazate
 February 2013,5,Clean and cheap,"Brand new hotel with clean rooms, maybe a bit essential, but you can't complain for what you pay! Very helpful staff: they helped us to organise days out from Ouarzazate, renting a car with driver. Even though it is located quite far from the town centre it is very close to Sopratours bus stop and grand taxi stop.",Hotel_marmar,Ouarzazate
 March 2013,5,Really nice people and great breakfast!!,Hotel Marmar is one of the nicest hotels I have stayed in during my trip in Morocco. It is great value. The staff is really friendley and the rooms are clean and spacious. There is free wifi access and the view from our room is great. The breakfast is amazing and the coffee is even better. And all of this for only 22 euro a night for a double room.,Hotel_marmar,Ouarzazate
 November 2012,3,"Cold night, no hot shower","Room was small, poor but clean, just after restoration. There was no TV-set and closet. A large and tasty breakfest was included. Hotel had a power outage at night, so we had no light. There was also terrible cold in our room. The room wasn't equipped in heater and we had less then 10C outside. There was no hot water to take a shower and to warm up.",Hotel_marmar,Ouarzazate
 October 2012,5,great clean hotel friendly host,"Very clean rooms, new bathrooms, great breakfest, wifi and host super helpful. I would recommend this hôtel to anyone, familiers or backpackers ans couples. Je recommande cet hôtel a tout le monde. Le proprio nous a trouve un taxi pour seulement 500 dirham pour aller a ait benhabou et ensuite a agdz. Vraiment bon deal",Hotel_marmar,Ouarzazate
 October 2012,3,Nice stay,"It's a clean and friendly hotel! Not new, toilettes may need a refresh but the staff is very helpfull and friendly. Well, they will always ask you to leave the key at the reception...if you have a trouble with that just for you to know! Not central but very close to the gare routiere. Breakfast simple but enough!",Hotel_marmar,Ouarzazate
 October 2012,5,Great location and staff,"We only stayed one night in Ouarzazate and just walked in to this hotel as it was the nearest one from the Bus Stop., We managed to get a room for 20 Euros with breakfast which was really cheap for this town, as online the cheapest fare I found was 35 Euros!. The reception guy really helped us with everything and to get a tax next day to see Kasbah Ait Benhaddou. This hotel is very modern (only 3 years old).Bathrooms are very new and nice and there is toilet paper (as many hotels we stayed in Morocco didn;t have one). Rooms are very clean and staff very nice. Breakfast was typical Moroccan - bread, butter, jam, coffee, tea and they even had cheese!. Also to walk to the main square it only takes 10 minutes. Good hotel for a good price.",Hotel_marmar,Ouarzazate
 September 2012,4,Great value for the money,"The staff were great with everyone speaking English which was helpful. Hotel was clean with en-suite. Free wi-fi that was useable in the room (had a front room). Unfortunately due to no air conditioning or cross breeze, it was very hot in the room. Slept with the windows open but without much relief. The down side of an open window is a VERY noisy street.",Hotel_marmar,Ouarzazate
 August 2012,5,Great value for price,"Hotel is clean, new and really you cant find better value for money around. If you can, choose rooms with no window on main street, since there is no aircondition in rooms,mand traffic could be noisy. But stil it is worth the price. Breakfast is also good value, so I recomend it.",Hotel_marmar,Ouarzazate
 September 2011,5,Great Staff and Hotel,Great new hotel located 10 minutes outside of the main part of town. The owner Iddir is very friendly and helpful. The rooms are large and clean with an en-suite and WIFI is free.,Hotel_marmar,Ouarzazate
 April 2012,5,Film city,"The hotel is easy to find and near the gare routiere. The personal is very friendly (they speak english). It is very cheap and clean and the building seems new. Breakfast is good and continental. This has nothing to do with the hotel itself, because we really liked the hotel. But we didn't like Ouarzazate, it's not much going on here.",Hotel_marmar,Ouarzazate
 March 2012,4,Would stay there again,"We spent there just one night on our way to the desert but i have no complaints. Room was spacious, no problems with hot water, very friendly and helpfull staff, great breakfast, kept very clean. Would recommand it! Great value for money.",Hotel_marmar,Ouarzazate
 March 2012,4,A warm welcome at a great price,"We received a warm welcome from Hassan and his team and he even came to meet us at the bus station to help with our bags.  The service was friendly and helpful and we were given a map of Ouarzazate and suggestions for places to visit. Our room and the ensuite bathroom were very clean, simply furnished and we had a lovely comfortable bed.  Breakfast was served at whatever time we wanted and we were also offered complementary tea and coffee on our last night when we returned from a long day sightseeing. This hotel provides excellent value for money and great hospitality. Only negative is that noise travels in the hotel although this didn't disturb us during the night - we slept well.",Hotel_marmar,Ouarzazate
