 November 2022,5,Hidden arabesque boutique cozy home,"Absolutely loved the Riad! Hidden gem inside the madina in Rabat. Quiet, beautiful interior, little boutique and cozy place with arebesque modern details, beautiful courtyard, and outdoor area garden with a pool. Staff very friendly and accommodating. Highly recommend for a unique and cozy traditional modern experience in Morocco!",hotelName,city
 November 2022,5,The jewel of Rabat,"Riad Kalaa is an execptionally beautiful boutique hotel in the medina of Rabat. The interior of the hotel and the beautiful roof terrace with pool oozes history and luxury. All of the staff, but especially Raina, are super friendly and helpful. We only stayed 1 night there with a group of friends but I will certainly come back with my family. What a find!!",Riad_Kalaa,Rabat
 September 2022,5,A lovely gem within the Medina,Upon arrival we were welcomed into the lovely courtyard by a beautiful young woman for a traditional Moroccan tea before shown to our 2 beautiful suites on the main floor. We enjoyed a delicious dinner in the magically lit courtyard and would highly recommend this raid. The bonus is the beautiful rooftop patio and pool!,Riad_Kalaa,Rabat
 August 2022,5,Great place to stay at the Medina in style,"Clearly a bit higher priced, but if you like to spend your holiday in style, that is the place. Rooms are an interesting combination of traditional and modern design: we had a room with 4 beds, two downstairs & two in the loft. Shower worked well and was very hot. Very friendly staff. Terrace and small swimming pool on the roof, you just need to remind your kids no to splash too much, otherwise the water lands right on the breakfast tables 3 floors down .-). Practically all main sights of Rabat are in walking distance. Note: We were in the riad no. 2, but we had a look also in the no. 1 around the corner; they are similarly equipped.",Riad_Kalaa,Rabat
 July 2022,5,Lovely riad,"This is a beautiful, peaceful riad/hotel, great hospitality, excellent location. The rooms are spacious and perfectly clean. Our kids appreciated the super wifi connection too. We had an excellent late dinner in the beautiful courtyard.",Riad_Kalaa,Rabat
 July 2022,5,Great Stay at the Riad in Rabat,"This was one of our favorite Riad's stays in Morocco. The Riad is well located and there are so many places to explore that are within walking distance of the Riad. The staff are very friendly and accommodating. We didn't have the opportunity to have dinner at the Riad; however, I had a few cold beers at night while sitting in the square of the Riad. The rooms have great air conditioning and are all well decorated.",Riad_Kalaa,Rabat
 June 2022,5,Amazing stay,"My wife and I had a great time at Riad Kalaa! Rania helped check us in and was friendly, accommodating and explained how to get around the Medina/city. The breakfast was great in the morning and the room was great! We will definitely try and stay here again next time we are in Morocco.",Riad_Kalaa,Rabat
 June 2022,2,Loud disco music cannot sleep,"We thought this would be a nice place to sleep but The night we arrived they turn this into a discotheque blaring music on the rooftop so that no one could sleep. The owner decided to throw a party for his friends with complete disregard for hotel guess who actually wanted to sleep instead of party all night. As it was getting late and we had children with us and we’re all very tired from an early morning flight we went to the front desk to complain because the music seems like it would never stop, A person at the front desk ran upstairs and came back. Instead of an apology he just said they told him that the music would end sometime soon and there was nothing we could do about it",Riad_Kalaa,Rabat
 June 2022,4,Lovely Riad,"We had a lovely stay at this Riad in the middle of Rabat’s Medina. Our favourite thing was the beautiful roof terrace, filled with plants and an adequately sized pool for a splash around. We adored drinking wine at sunset by the pool. The rooms are very beautifully done, and our bathroom was a very good size. We had an excellent hammam - extremely thorough and relaxing. Really recommend - 300 Dirhams for an hours hamman and a further 300 for a massage. The reason I have rated it 4 stars is because I think that for the price, the breakfast could have been more varied. It is a typical Moroccan breakfast with a variety of different breads, jam and butter, accompanied by a plate of fruit, orange juice and tea/coffee. It is quite typical of Morocco yet there were some staples…",Riad_Kalaa,Rabat
 May 2022,5,Great dining experience,We only went here for dinner as we stayed in the sister-Riad Dar Dar but we where mesmerized by the place. One of the prettiest Riads we have seen in Morocco. The variety of the menu and quality of food where great. They also serve nice wine from the region. The ambiance is stunning and I can imaging sleeping here must surely be as nice as coming for dinner.,Riad_Kalaa,Rabat
 March 2022,5,Traditional Riad,"This was our first experience in a Riad and it was great! The staff was very helpful. The setting was very atmospheric and beautiful. It felt like a respite from the outside world even though its located in a very quiet part of the Medina. They have excellent food here and unless you are staying in Rabat for several days or more, we would see no reason to eat dinner elsewhere. Our upstairs room was very quiet and comfortable.",Riad_Kalaa,Rabat
 March 2022,4,"Nice Courtyard, Two Level Rooms","Close to the edge of the Rabat Medina, it is relatively asy to reach and leave. We were warmly greeted by the host with mint tea as is the habit in Morocco. We were lead to our room on the bottom floor of the Riad, an oddity. The ground level of our room had two single beds; the bathroom, well appointed but a little dark was on the second floor, on the same level as the comfortable queen bed. The staircase is narrow and awkward making it a challenge for someone with balance issues. The decor is definitely Moroccan and it’well done. The inner courtyard is very nice. The breakfast and dinner we had there were ample and tasty. If it wasn’t for the awkward staircase, we would recommend this Riad without reserve.",Riad_Kalaa,Rabat
 September 2021,5,A Great First Step into the World of Moroccan Riads,"The Riad Kalaa was our first experience with a Riad in Morocco. For the uninitiated, a riad is a type of traditional Moroccan interior garden or courtyard associated with a house or, even in some cases, a palace. The Riad Kalaa is old and beautifully maintained, and the staff was attentive, knowledgeable, and genuinely friendly. Like so many riads, Kalaa is a sanctuary of sorts from the hustle and bustle of the city. We were warmly greeted and shared mint tea and cookies which is a time honored tradition in Morocco. Our hosts were helpful giving us the lay of the land and encouraged us to have a glass of wine on the roof before dinner. The sunset was amazing. Our room was decorated in traditional Moroccan style and amazingly similar to a place we stayed in Bukhara,…",Riad_Kalaa,Rabat
 October 2021,5,3 week Moroccan Holiday,"When people speak of Moroccan Riads you just can't imagine until you are in one. This place was truly an oasis of calm and tranquility. Tea offered upon arrival, to just chill after the noise and heat of the day. We called ahead so lunch was waiting for us. I can't say enough about the woman who greeted us, so good at her job. Wine was available with our lunch and then onto the rooftop. After lugging our baggage upstairs we sat on the roof for yet another glass of wine. Morocco in October was way more hot than I expected. Note to self, visit in November. Pool is not big but the area is just so relaxing. walk up another stair to the terrace for views of the city. Our room was tight with all our stuff but the bathroom is large and good counter space. Water and fruit in the room.…",Riad_Kalaa,Rabat
 October 2021,5,Charming Riad,"A charming riad. Our first location on our trip. We stayed 3 nights. The staff is very welcoming and you are made to feel comfortable as soon as you arrive. The rooms are very spacious. Each room has a bottom room and a second floor connected by a staircase. If you have difficulty going up and down stairs, this may not be the best place for you. The food was also excellent.",Riad_Kalaa,Rabat
 October 2021,5,Highly recommend,"Perfect accomodation. The staff treat you like family and are beautiful people, the food is wonderful, massage amazing and the decor is beautiful. Really enjoyed reading a book by the pool in the sun. Highly recommend.",Riad_Kalaa,Rabat
 September 2021,5,Amazing stay,"Staff, especially Zachariah, were top notch and very helpful in making plans to visit sites in rabat. Lovely hamman treatment that helped ease jetlag Meals were fabulous and the enchanting setting was so memorable.",Riad_Kalaa,Rabat
 September 2021,5,Must stay accommodation,"Amazing, made to feel like a V.I.P from the moment I arrived. The room was the biggest iv ever stayed in with a bath for two and a bed for 8. The swimming pool on the roof with birds coming down to drink was magical. Had local massage and hamman, which blew my mind followed by a loverly evening meal on site. A definite return visit in needed.",Riad_Kalaa,Rabat
 March 2020,5,A Wonderful Oasis,"Riad Kalaa was an exquisite place to stay while in Rabat. It was our first night of a 10-day adventure and it helped get us off on the right track. The mint tea and treat welcome was especially nice. When in Morocco, staying in riads proved to be so much better than hotels.",Riad_Kalaa,Rabat
 December 2019,4,Warm and welcoming boutique hotel,"Riad Kalaa was our first hotel stay (1 night) on a multi-city trip to Morocco. It was an interesting walk and journey to the the Riad through the narrow alleyways (keep your eyes peeled for all sorts of things that you can step in accidentally :-) ). Guests are were welcomed with a glass of wonderful Moroccan mint tea and a wine list. The hostess was very warm and welcoming.     The hotel itself is lovely and cosy (ish) with nice and clean rooms/bathrooms. The Riad is built around a central courtyard like traditional Riads. The rooms downstairs open out straight into the courtyard / restaurant. We enjoyed the Riad for what it was (boutique, authentic hotel), however, it could do with some more modern levels of comfort (which unfortunately would make the hotel less authentic).…",Riad_Kalaa,Rabat
 December 2019,5,Excellent launch point,"Coming into Rabat for the start of our Moroccan journey, this was an amazing introduction to food, service and culture. The food here is just as amazing as the decor, and the wonderful service. From arrival tea to departing breakfast.",Riad_Kalaa,Rabat
 January 2020,5,One Nighter,"Half the fun is getting there. It’s an oasis with gorgeous, clean rooms, super friendly staff, a great courtyard and restaurant. Very nice bathrooms and we were welcomed with a glass of tea and a wine list.",Riad_Kalaa,Rabat
 December 2019,5,Finest to Stay In Rabat,"Thank you Team @ Riad Kalaa. Great place to stay very quiet, simply great breakfast of the freshly baked croissants, and of course some great choice of cheese and bread and of course freshly home made yoghurt The Hostess Ms. Fatima was great who took proper care of our amenities ( 9 people in all ) and surely recommend one to stay",Riad_Kalaa,Rabat
 December 2019,5,Amazing stay and food,"We stayed 3 night at Riad Kalaa. Had 2 out 3 suppers in Rabat and everything was amazing. From the staff, to the rooms, to the decor, cleanliness, to the food, atmosphere etc all perfect or more. We lived 4 years in Rabat in late 70ies and early 80ies and came back for this emotional visit surprised one can now stay at the Medina. I decided to go for this more authentic hotel rather than a traditional hotel. We were 10 people in our party, 5 adukts, 2 teens and 3 kids... and everyone was delighted. Kids had space to roam inside the hotel. All rooms give on an internal courtyard, so you don’t even need to lick your room to go dine and after the chaos of the day visit, we were more than happy to cone back to our Oasis of peace for supper. The food was authentic and at a…",Riad_Kalaa,Rabat
 December 2019,5,Amazing Wedding Location,"We had the chance to celebrate our wedding at Riad Kalaa. It was an amazing day at a unique location! Riad Kalaa team made our dream come true to marry in the Medina of Rabat, having a Riad for one weekend just for us, friends and family. All your support before, during and after the wedding was absolutely outstanding! We will definitely come back to celebrate our wedding anniversaries ;-)",Riad_Kalaa,Rabat
 December 2019,5,Modern riad,Very nice modern style riad with stylized features in the rooms. Nice departure from all the traditional ones for a change. Have to walk a bit to get there from the nearest car park so if you have lots of luggage it can be a pain.,Riad_Kalaa,Rabat
 October 2019,4,Quaint and welcoming establishment,"We used a travel agent to book our hotels on our trip to Morocco and so we expected to be lodged in full-service establishments, which this is not. We were somewhat taken aback when we arrived here to find a fairly basic Riad. And then offered a room right off the central courtyard, affording very little privacy. However, upon some discussion with our agent, we were offered a more private room upstairs, which was lovely. The Riad has very updated rooms and bathrooms and we were very comfortable. Our host was gracious and we had a good night. Just know before you go that it is a quiet part of the Medina, and so not sure if there is anyplace to go after dark and you will not have a glass of wine or a beer at the end of a long travel day unless you bring your own. Also, we did need…",Riad_Kalaa,Rabat
 September 2019,4,"A pleasant stay, friendly staff","The location of Riad Kalaa is def a plus, providing a good accessibility to different sides of Rabat city. The riad itself is great with a modern twist and very clean. I felt that the only downside was that there were no slippers inside the room (but the staff provided me with them as soon as I asked).",Riad_Kalaa,Rabat
 July 2019,5,Beautiful and welcoming,What an amazing hotel. They sent a bellman to the street to help us get parked. Essential! Then we were welcomed into a lovely on the inside garden home w rooftop pool near the heart of the Médina and the Kasbah of the Uydayas. Breakfast was lovely fruit and breads and eggs to order.,Riad_Kalaa,Rabat
 June 2019,5,Simply exceptional in every way!,"From the moment of arrival until our departure, this beautiful Riad was our quiet sanctuary in the bustling city of Rabat! Centrally located near all the best sites, and a short stroll through the narrow streets of the Medina, we loved the privacy and beautifully adorned accommodations. The staff were all attentive to any requests. The roof top pool and lounge areas added to the luxury. Our most favorite surprise... dinner in the Riad with world class cuisine and service! The best meal in Rabat and a big “must” for any visitor! Thank you to everyone at Riad Kalaa for such a wonderful stay!",Riad_Kalaa,Rabat
 May 2019,5,Excellent Stay,Spent 2 nights at Riad Kalaa and had a lovely stay. Riad is well located and a great base from which to spend a couple of days to explore Rabat (2 nights in Rabat is enough as not that much to do).Staff lovely and room very comfortable - it’s a Riad so a bit quirky but that’s what to expect. Dinner was pretty good although it’s a set menu. Breakfast excellent. Overall would highly recommend.,Riad_Kalaa,Rabat
 April 2019,5,Exquisite,"During our tour of Morocco in April our stay in Rabat was made even more enjoyable by the Riad Kalaa. A truly delightful riad with a great atmosphere, a friendly and courteous staff, and wonderful food. The otherplust aspect is it's location in the medina which made it easy to wander around and find our way back. A definite enthusiastic endorsement from us.",Riad_Kalaa,Rabat
 April 2019,3,Be sure you prefer the style to the practical virtues of a normal hotel,"Riad Kalaa in Rabat is a very stylish and comfortable place but imperfect in certain respects: - The ground floor rooms open onto the reception and dining area, and have extremely poor sound insulation. Consequently we had to ask for the dining room music to be turned off at 10.45 pm one evening, and even after that some of our fellow guests were very noisy. In fairness this was a one-off during our four night stay, and M Mohammed was very apologetic, but it was a problem - The same problem presents itself in the morning; with kitchen and guests starting breakfast, on one occasion at 7.15 am - You can hear people walking around upstairs on the uninsulated wooden floors - The very stylish door openings into the room and the en suite are not practical for tall people, I banged my…",Riad_Kalaa,Rabat
 April 2019,5,Wonderful stay,"This was where we spent our first night in Morocco and we were very impressed with the beauty, comfort and attention to detail this riad offered. Staff helped with our luggage and helped us negotiate the narrow streets of the Medina. We were greeted with lovely mint tea and our room had some fresh fruit for us to enjoy. It was novel for us to have a sitting area on one floor and to find the sleeping area and WC on the 2nd floor. It was nice to enjoy a local beer while we waited to meet friends and go out to dinner in Rabat. Breakfast in the courtyard was lovely.",Riad_Kalaa,Rabat
 November 2018,4,Well maintained with friendly staff.,"We were a family of 3 couples with 2 little grand daughters ,driving from FES,in November 2018.The Riad as expected is in old part of town.The manager sent a friendly staff to escort from parking lot thru winding streets which was great .We were given refreshing cool drink & warm milk for infant child.The Riad is well maintained , check in was quick. We needed wine for dinner which was served in 1 of the 3 rooms we had.,The breakfast next morning was very good.The manager was very helpful in guiding us for our walking tour of nearby places.We were there for only 1 night as we were to visit Markesh next day,wish could have spent another night in Rabat.Our room was duplex with sitting downstairs ,bed & bath upstairs.Overall we were happy to be there in Riad Kalaa.",Riad_Kalaa,Rabat
 April 2019,4,Moroccan hospitality,"We were met at the entrance to the Medina by a staff member who took our luggage and guided us to the Riad. Check in was accompanied by cookies and super sweet mint tea. Our room was titled ‘Favorite’ and was a sitting room downstairs opening up onto the central courtyard, with the bedroom & bathroom upstairs. Whilst it was really well appointed, the bathroom lovely and the bed was super comfortable, going up and down stairs was a little tiresome. The staircase was so narrow there was no way our suitcases were going upstairs so our clothes were downstairs and we were upstairs 😂. Hubby swam in the rooftop pool which was a welcome relief after a long hot day. The dinner (included) experience was a little confusing. It seemed from the menu to be three courses but when we asked…",Riad_Kalaa,Rabat
 April 2019,4,visited as a party of 9 friends and family,"Deep in the bowels of an old fort - got there through long, narrow winding streets through a busy souk . The place was wonderfully well appointed, well furnished and the staff were all very friendly and were prepared to bend over backwards to help their guests. The meals were excellent and well prepared the Wi-Fi was good. As expected it was a long walk to the Riad and is easy to get lost but the staff will happily give you a map to find your way back. It would be best if your cell phone has GPS capability to help getting back. In spite of all the hustle and bustle on the streets one felt very safe there was not one incident for all 9 of us in all of Morrocco that made us feel uncomfortable.",Riad_Kalaa,Rabat
 March 2019,5,Exactly what I imagined!,"The place is set in the medina, so walking is a must. This was difficult for my 85 yr old mother, but she managed. Once there, WOW. There's a huge door that has a smaller door built in. You enter a dark foyer and then walk out onto a bright center courtyard. There are plenty of seats and tables with palm trees and greenery all around. We stayed in room Touareg on the lower level since Mom doesn't like to do stairs. I was inviting and cozy, nicely decorated with 2 beds, a sitting area (the chairs were way too small to sit in, maybe for children), TV, fireplace. The separate bath had a sunken tub, toilet, sink and bench to sit on. Very spacious. Tile floors were not sealed, so there seemed to be a little dust, but overall everywhere was spotless clean. We ate dinner here, 3…",Riad_Kalaa,Rabat
 April 2019,5,Fabulous in Rabat,"After 2 weeks of traveling throughout Morocco we had the great pleasure to check into Riad Kalaa2 within the Medina of Rabat. It is a little interesting walking through the alleys to get there but absolutely worth it! We were greeted with the biggest smile by Ms. Zimeb who sat us down to a delightful cup of Green Mint Tea while we registered. She showed us our amazing room (crystal clean and beautifully decorated), the roof terrace and roof pool, and asked what time we would like our breakfast. All with warmth and the desire for us to feel ""at home"". We decided to have our dinner at the Riad on the first night rather than seek out a new place. Dinner was being served in their sister Riad a 3 minute walk away - which Zimeb accompanied us to. The cuisine under chef Ms.…",Riad_Kalaa,Rabat
 March 2019,4,Almost perfect,"First off the Riad is very nice. Absolutely charming with lots of nice touches. Rooftop pool area is great for relaxing. Food and services were top notched. Check in was a bit disappointing. We were traveling with an agency, so booking was handled by our agency. Our driver called ahead of time before we arrived. Somehow check in was just confusing. They couldn’t find out who we were, not sure if they have our reservation, and waited like an eternity(after a long flight and all day of touring) before we can get our room. We have good experience with our travel agency, so I am pretty sure the problem is on the hotel’s end. The management just seem unorganized. The other thing would be NOT having a door separating the bedroom and the bathroom. They have a curtain there. …",Riad_Kalaa,Rabat
 March 2019,5,First night in Morocco,"We stayed here our first night after arriving in Casablanca. Our tour Company Best Travel Morooco had arranged our stay. We were greeted with mint tea and cookies , relaxed in their foyer than were escorted to our rooms. Our room was on the second floor overlooking courtyard. Lovely room and lovely Riad, since we did not know what to expect. A pool was located on the floor as well, as a lounging area and another courtyard. Breakfast was exvcellent in the morning.",Riad_Kalaa,Rabat
 March 2019,5,Very Hospitable and Lovely,"This Riad is in a perfect location for exploring Rabat. The staff was very hospitable and helpful. Some reviewers have commented on the darkness of the rooms. I had a room on the first floor as I requested, and it was certainly dark. To me, this is to be expected when you book at a riad in the medina with thick walls all around. I would definitely stay here again and I highly recommend it.",Riad_Kalaa,Rabat
 February 2019,5,Nice place to sleep off the jet lag,"We stayed here our first night in Morocco. We were greeted with mint tea and cookies in the courtyard and then shown to our room. The room was small, but well-decorated on the upper floor. They had a nice deck up there with a rooftop pool. It was too chilly for us to get in, but it was the only riad pool that I saw that seemed like I would like to use it in Morocco. The others were all in the courtyards and quite exposed! The breakfast was very nice and included with the room.",Riad_Kalaa,Rabat
 March 2019,4,Lovely little riad,"Stayed here for one night. Lovely clean place, though the room was very tiny and poorly lit. Besides that everything was perfect. Amin went out of his way to drag our suitcases down a long alley to reach the riad. Also organized some very good traditional dinner for us. Great breakfast too. Would surely recommend the place. Ask for ground level rooms if climbing stairs is a problem for you.",Riad_Kalaa,Rabat
 February 2019,4,"A pleasing, small and comfortable Riad","My wife and I stayed at this Riad whilst on a journey through Morocco during February. We decided that using trains and staying at Riad’s would form a central part of our journey theme and are awfully glad we did. Our main advice and booking was aided by Andy and Dawn Rediscover the world UK. They work with “Plan-it Morocco”, to make bookings. This Riad was very thoughtfully converted to the current use and is not too large. We spent a very short time in Rabat and were thankful for the handy positioning of this Riad. The breakfast was reasonably wide ranging. The staff were really helpful.",Riad_Kalaa,Rabat
 February 2019,5,A wonderful welcome to Morocco,"After travelling overnight and no sleep, we were welcomed to Riad Kalaa with mint tea and a wonderful room. Since we were too early for dinner in the hotel, we took a tour of the Medina (old city), with maps provided (very important). They even arranged for a Hammam (Moroccan spa/bath) at one of their other properties. It was to die for, washing away all of the aches and pains of a very long flight and car ride. Dinner was excellent, as was breakfast. The hotel staff were so warm and helpful.",Riad_Kalaa,Rabat
 February 2019,3,Dark rooms,Stayed here for our last night in Morocco. Staff came and met us at the car park to lead us to the riad. The riad is modern and trendy. Aesthetically very pleasing. The staff are friendly and helpful. The main problem are the rooms. They are dark. The door and windows open onto the terrace and pool so no privacy if you open the windows. The floor has sandy tiles but no slippers are provided. Overall there is more attention to looks but not practical.,Riad_Kalaa,Rabat
 January 2019,5,The best accommodation on our trip,"We spent two weeks in Morocco but only one night in this beautiful Riad. Our jaws dropped when we walked through the unassuming door into the gorgeous courtyard. The architecture and interior design were stunning. We had two rooms that were equally beautiful and we didn't mind that they were a bit small. The light fittings had me mesmerised, and really set the ambience. It is a little dim compared to western hotel room lighting, but you're in exotic Morocco, go with it! We had dinner in the restaurant of their other property and it was one of the best meals (although a bit expensive) that we had in Morocco. Breakfast in the courtyard the next day was an abundant feast. The food and the service was faultless. If I had to point out one negative I would say that the shower…",Riad_Kalaa,Rabat
 December 2018,4,Beautiful Riad,"The Riad has a beautiful courtyard inside. Life revolves around the courtyard with most rooms connecting to it. This results in some issues with privacy, but does make it easy to put the kids to bed and continue eating dinner. The Riad serves breakfast, lunch, and dinner in the courtyard. We had all three and all were good. Dinner is somewhat expensive though, and the pricing a bit quirky. On the other hand, the omelette I had at lunch was one of the best I've ever tasted. We were warmly welcomed on arrival and the staff were pleasant and helpful throughout Our room was a bit idiosyncratic, with one bedroom downstairs and one upstairs. The infrastructure seemed a bit ropey with poor wi-fi connectivity and power blinks. We paid quite a bit and I would say did not quite get…",Riad_Kalaa,Rabat
 December 2018,5,Very beautiful and cosy riad,We were very overwhelmed by its coziness and beautifully designed and decorated rooms. Each room is different and impressive. We arrived early in the morning and Amin was kind enough to wake up and helped us with our luggage through the alleys. Breakfast was delicious and nice. The only regret is that we could only stay for one night.,Riad_Kalaa,Rabat
 November 2018,4,Down a dark alley to a surprising gem,"We had our transport parked outside the walls of the Rabat Medina, with little idea as to what to expect having told our agent that we wanted to avoid international hotel brands and rather enjoy the local Riad hospitality. After a trek down alleys that one would really not like to venture through after sunset, faced with a door in a nondescript wall, entry was gained into the Riad Kalaa. Immediately received by our proprietor hosts with an offering of Moroccan Tea (Chinese Green Tea with a few Moroccan additives, wonderfully refreshing and a platter of biscuits, while we filled in the obligatory government registration forms. Our reception took place in a wonderful tranquil courtyard with a central fountain. We were then shown to our very comfortable doubled bedded room, with a…",Riad_Kalaa,Rabat
 September 2018,4,A gem,"Riad Kalaa was the first stop of our 11-nights Moroccan tour. We arrived in Rabat late in the afternoon and when we roamed through the maze of narrow streets with our guide, we were apprehensive as the surroundings looked sketchy, and getting there was not easy (even our guide got lost). We even witnessed a fight that erupted between a group of locals, so it was a relief when we finally made it to the riad and gosh, were we all pleasantly surprised. The place was beautiful and the staff most welcoming. We loved our room, which smelled clean and fresh, as was the bathroom. The terrace made a good hang-out place and was cozy. The only downside is the location. Being in the middle of nowhere, we did not dare venture out on our own. We made the error of entrusting our dinner…",Riad_Kalaa,Rabat
 May 2018,5,Spectacular Riad,"Visited Rabat in May and stayed at the Riad Kailas. Great value for money, beautiful Riad, amazing food,very clean Moroccan bedrooms. Nice terrace with a pool. Good location in the Medina, highly recommended!",Riad_Kalaa,Rabat
 September 2018,5,Very nice place!,"Most of the rooms open directly into the common space. There is a nice pool and sunbathing area on the roof. The staff were very nice and the food was excellent. It was a little difficult to find, but the staff came out to meet us at the car and direct us in. Highly recommend!",Riad_Kalaa,Rabat
 September 2018,4,Amazing cozy room,"We stayed at the Riad Kalaa on our first night in Morocco. I must say, approaching did not give us much confidence, but once inside, we were amazed. From the courtyard you will find in almost every riad to the 30+ foot ceilings in the room, we liked everything we encountered. The upstairs pool is small, and certainly not perfect, but I am sure it is very much appreciated during the summer months. The staff was very friendly, spoke passing English and the included breakfast was good. Count on bringing your bags in a few blocks over cobblestone/brick streets.",Riad_Kalaa,Rabat
 September 2018,5,Beautiful Riad and Great Customer Service!,"We went directly to Riad Kalaa after arriving in Casablanca from New York and it was like arriving in paradise! The interior courtyard is beautiful and there is a great little pool on the roof. Also the customer service that this riad extended to us was incredible. Everyone was courteous and helpful. They gave us and map, pointed out some sights to see and made sure that we knew how to find our way back to the hotel. They also made sure that my international cell service worked and showed me how to call the hotel if we needed anything. At my request, they had arranged a driver to pick us up at the airport and the same driver then drove us the next day to Fez with stops in Meknes and Volubilis. (His name is Abderrahmane Lidya and I would highly recommend him. Ask for him…",Riad_Kalaa,Rabat
 September 2018,4,Pleasant Riad,"We enjoyed our stay. Lobby atrium was pretty. Room was nice but smaller than other Riad’s we stayed in. Breakfast was good, with plenty of food. The Riad was hard to find so you may want to call and have them send someone to get you.",Riad_Kalaa,Rabat
 September 2018,5,Loved It,This Riad was awesome believe the hype. A little challenging to find via Taxi but overall a great experience and would definitely return. The court yard is beautiful as is the art work inside and loved the roof top pool.,Riad_Kalaa,Rabat
 August 2018,5,Beautiful Riad,"We really enjoyed our stay at Kalaa. It was a quiet oasis right in the historic medina, The rooms were a great surprise as they were really luxurious. The pool area on the roof top was a bonus. Would highly recommend you stay here as it will meet all your needs.",Riad_Kalaa,Rabat
 August 2018,4,Haven,"Small rooms but well air conditioned and staff v good. Has a good little pool on the roof, although could do with more seating sun beds. Food was good, but was expensive, the set meal that as $50 each. Breakfast as with everywhere in morroco is v substantial. Staff great and v welcoming.",Riad_Kalaa,Rabat
