 December 2022,5,The best of both worlds!,"My family of 5 loved La Maison Arabe! It was a perfect home base for us in Marrekesh for 4 days. We had a deluxe room and a standard suite for our 3 kids (older teenagers). Both rooms were lovely. The suite was especially nice because the 3rd bed was in its own little niche so it wasn't so crowded in the main space. Rooms were good-sized and clean. Beds were very comfortable with soft sheets. Bathroom was nice - clean, spacious and good products with fluffy towels. I have read a few comments about the hot water - we had no problem at all. Plenty of hot water and good water pressure (weak water pressure is a pet peeve of mine). The hotel itself is very unique & charming, with lots of different areas to explore. The bar was old-school with dim lights and dark furniture. We…",hotelName,city
 November 2022,5,Exquisite Riad in Marrakech,"We were on a private tour with Youssef of Morocco Expert Tours. He booked La Maison Arabe as our riad in Marrakech. What an excellent choice! The riad is exquisite with stunning Moroccan decor. The rooms have all the modern amenities. We ate dinner twice in the gorgeous indoor/outdoor dining room. The menu is diverse with traditional Moroccan as well as western dishes. The staff was very attentive and friendly. The riad is about 10-15 minutes walk from the main square for shopping. I wish we had stayed longer, I would have loved to try their hamman.",La_Maison_Arabe,Marrakech
 December 2022,5,Traditional & beautiful boutique hotel situated in a perfect location,"So happy we chose this over other more modern hotels and those further out of town. A very traditional, charming and historic boutique hotel situated inside the medina but close enough to walk to the modern parts of the city. We booked a regular suite with access to a forecourt but got upgraded to the three storey Chem suite, which was fabulous with a private rooftop terrace complete with a cabana & jacuzzi. It also gave us the convenience of two bathrooms and a huge living room. The hotel itself has lots of beautiful space, nooks, crannies and historic artefacts so be sure to explore. We tried the pool side Trios restaurant which serves a fusion so there should something for everyone on the menu. On the pricey side, portions aren’t that generous and a bit too quite out…",La_Maison_Arabe,Marrakech
 December 2022,5,Best hotel in Morocco,"I’d give a 7 out of 5 if possible This is the most spectacular hotel and room we’ve ever stayed in anywhere in the world! Our room is staggering. We have the entire floor including a balcony with chaise lounges and covered canopy. There’s a living room with fireplace and desk. Wine with crystal glasses as well as water in silver tumbler. The bedroom is out of a movie and the bathroom could be in a design magazine. Carved wood walls and a walk in closet built larger than most homes in Canada. The hotel is a maze- think Harry Potter meets Aladdin, with intriguing nooks and cranny’s everywhere. The restaurant offers fine dining at reasonable prices. Did I mention the cooking classes? Omg! And there a spa that’s just WOW! Oh, and happy hour in the courtyard.",La_Maison_Arabe,Marrakech
 December 2022,5,Small cookery class in a 5* hotel.,"We discovered that this 5* hotel offered cookery classes when one of my friends visited it several years ago for some mint tea, so we booked it. The class was brilliant, with the cookery demonstrator, Houda, and the workshops manager and interpreter, Simo, both being exceptional. We watched flatbreads being baked in a wood oven and drank mint tea while Simo explained how the day would progress. Off to the kitchen to meet Houda and bake some cookies before getting down to business. Everything was really well organised and explained and help was on hand while we cooked the chicken and lemon tagine, a hot tomato salad and an aubergine salad. There were 4 of us, so easy to watch the cook and easy to get help if necessary. We learned how to make flowers from the tomato skin - a case…",La_Maison_Arabe,Marrakech
 August 2022,5,Excellent,"Excellent hotel with a really cool history and phenomenal staff. We booked a suite, which was nice and spacious and the decor was wonderful. The only ding is that both of our rugs would definitely benefit from a deep cleaning (not just vacuuming). Other than that, this place was a lovely oasis in the medina and the breakfast was unbelievably good. We'd definitely stay again.",La_Maison_Arabe,Marrakech
 November 2022,5,A cracking 3 night stay!,This is an amazing place in central Marrakech. Nothing was too much trouble. Room and restaurant were superb. One to stay at if you are in Marrakech! Haman was very good and the cooking class was one we would repeat again!,La_Maison_Arabe,Marrakech
 November 2022,5,A beautiful stay with unparalleled Moroccan hospitality and the best food in Marrakech,"My stay here was a dream. There’s a spirit of generosity and hospitality here I’ve not encountered anywhere else. The riad was built in the 1930’s and I couldn’t help but be swept away by the hotel’s history - oh, the things and people it has seen! I made sure to venture out to eat, hit the top spots recommended by Trip Advisor, but at the end of the day, the best food I had was right here in the hotel. I had a blissful Hammam/massage experience here, ten out of ten, and had a blast in the cooking class they offered. I’m usually an Airbnber, but this is one experience I’m so glad I went for. Thank you, La Maison Arabe for bringing such care and kindness to the art of hospitality.",La_Maison_Arabe,Marrakech
 November 2022,5,excellent hotel,"very good hotel at the marrakech medina, 10 minutes walk from jemaa el fna square. i had booked a standard room, but was upgraded to the royal suite which was superb. thee floors with luxurious decor: low floor was an impressive living room with a fully equiped bathroom with jacuzzi, sofas, large tv... second floor was the bedroom with a king size very comfortable bed under a wooden ceiling, coffered,, a large tv, a full bathroom. third floor was a large courtyard with a big jacuzzi and deck charis and small garden. we had very good bathrobes and excellent towels, slippers,a nespresso coffe maker, ipad dock, large wardrobes, a good safe box, free water and a complimentary blottle of moroccan wine. lightning was good. soundproofing could improve: noises from the corridor were…",La_Maison_Arabe,Marrakech
 November 2022,5,Luxury Riad in ideal location,We had a lovely stay at La Maison Arabe and would not hesitate to recommend this riad to future guests. The location was superb. The staff were excellent and accommodation very comfortable. The restaurants offered a good choice of food to cater for all tastes.,La_Maison_Arabe,Marrakech
 November 2022,5,Highly recommended beautiful riad in the heart of Marrakesh!,"Beautiful riad in the heart of Marrakesh. Staff all very welcoming and friendly, and helped us everyday with booking/confirming tours, guides and taxis. The location was perfect for us as it could be accessed by car but was also only an 10 min walk from the main square. Our room was in a beautiful internal courtyard with stained glass windows. There was also a lovely spa and amazing cookery class offered by the hotel. Highly recommended for first time travellers to Marrakesh who want a lovely base from which to relax and explore!",La_Maison_Arabe,Marrakech
 November 2022,4,Authentic Marrakech comfort,"A truly authentic Moroccan hotel with beautiful rooms, courtyard tea areas, bar and restaurant. I didn't get to the hammam but wish I had - the space is magnificent and felt very private and intimate. The pool area is picturesque although loungers are on a different level. A bonus is this hotel is within walking distance of one of the main entrances into the medina (souk/market area) which was useful.",La_Maison_Arabe,Marrakech
 November 2022,5,Excellent Hotel!,"This hotel is a gem. It is restored, tradition architecture and design. Each room is different and charming. The towels were amazingly soft. The jazz bar is cool. The restaurant is good; included breakfast is great. The spa is gorgeous! The location is decent.",La_Maison_Arabe,Marrakech
 November 2022,5,Recent visit,Beautiful hotel combining multiple Riads in the heart of the City. Character +++. First rate amenities including jazz bar and restaurants. Cooking school was incredible with very nice cooking stations and amazing chefs. The staff was very friendly and the level of service was as good as it could be.,La_Maison_Arabe,Marrakech
 November 2022,5,Amazing stay,"Love this riad. It is gorgeous, well appointed and located in a perfect spot. What really makes this place special though, is the staff. They are amazing. Such incredible service. They went out of their way to ensure a great stay and we appreciated them very much!",La_Maison_Arabe,Marrakech
 November 2022,5,Excellent service and knowledge,"Enjoyed very much the cooking class, literally felt like a chef we then ate the food we made, was amazing and yummy, I didn't know I had being a cook in me ;D the staff was very knowledgeable they knew how to speak many languages and history and origins of herbs and spices and Moroccan cuisine. Very recommended experience 👌",La_Maison_Arabe,Marrakech
 November 2022,5,Delightful evening,"Lovely protected garden setting, delicious food with an interesting menu, traditional and Mediterranean. Top talent music throughout the evening. Definitely high end but not exorbitant. Our waiter could not have been nicer",La_Maison_Arabe,Marrakech
 October 2022,5,Peaceful retreat,"The staff at this Riyadh, La Maison Arabe, compliments the relaxing atmosphere you will experience at this location. The waiting staff at the restaurant are extremely attentive. Amin, Fatiha and others on the staff have been exceptional. Thank you all for your care.",La_Maison_Arabe,Marrakech
 October 2022,5,Hamid Cooking Class,"Best thing you can do, amazing experience and Hamid was a great addition as a translators and wonderful helper with a great smile 😊… This class is a must and you get a special gift…the information that you learn is a gem…Hope you get Hamid if you go!",La_Maison_Arabe,Marrakech
 October 2022,5,QUEENS ONLY!,"Where do I start!?? This place is EXQUISITE!!! The maison, the decor, the experiences….AMAZING!! We took the cooking class and it was the most informative, empowering and loving experience. Waffa and all the chefs were so informative and fabulous teachers!! Who knew I could make Moroccan food and it be delicious!! The chefs create such a fun, loving and bonding experience all while you cook. It was one of my favorite experiences while in Marrakech. Soukaina gave us a great tour! We also had lunch, visited the Jazz club and most especially had the Hammam experience at La Maison Arabe. No words can describe how fabulous this treatment is. It was life changing. I was reminded that I’m a Queen and was treated like one. It is the most beautiful spa ever I’ve ever seen. I loved…",La_Maison_Arabe,Marrakech
 October 2022,5,Perfection.,"Would give them 6 stars if we could. Room was quite large and comfortable with a lovely balcony overlooking the pool. Public rooms are extensive. Staff couldn't have been more helpful...at checking, checkout and mealtimes. Excellent spa facility. Fabulous meals... both breakfast and dinner. Great bar. Super location. Easy choice for lodging in Marrakech.",La_Maison_Arabe,Marrakech
 September 2022,5,Beautiful Hotel in the Medina,We stayed here for 5 nights. We had an issue with our initial room but Abdil was very customer orientated and came to our rescue and did a great job by taking care of the room situation. The food is very good and so is the breakfast. Lots of variety. The hotel is close to almost everything you need or want to do in Marrakech. We had a hammam at this hotel and it was bliss. The hotel has a shuttle bus that takes you to a resort that's roughly 15 minutes away where it has a beautiful pool and great service. You can order lunch and drinks here. It was very relaxing and peaceful. We also participated in a cooking class which was excellent. We did a tour of the medina on our first day through the hotel and the tour guide was great. Would definitely recommend!!!,La_Maison_Arabe,Marrakech
 October 2022,5,A gem,"La Maison Arabe is an incredible riad and escape from the hustle and bustle of Marrakesh! The riad is stunning and each room is a safe haven (we had 2 different rooms due to our travel plans). Being the first riad in Marrakesh gives it an authentic magic. The jazz bar with the live pianist is a perfect way to slow down and unwind, the tea foyer is a great spot to take a break and relax, and the restaurants are delicious! The spa was amazing, and I highly recommend a hammam/massage here. We also took a cooking class here, that was so fun and special. But what stands above everything was the staff! They were so welcoming and attentive. Every time we walked through the reception area we greeted with warm smiles and hellos. They are extremely helpful with any questions/needs,…",La_Maison_Arabe,Marrakech
 October 2022,5,Exceptional,"We cannot recommend La Maison Arabe too highly. Down a narrow passage off the road, stepping into it is like stepping into an oasis of calm and tranquillity after the madness and chaos of the souks of Marrakesh. A labyrinth of intimate cosy spaces leading off from the central courtyard each decorated in the Moorish tradition and carefully lit to bring out the best of the rich colours and textures. The cosy lounge area has a large picture of Sir Winston Churchill who was regular guest. The jazz bar has music as befits its name. Everywhere is immaculately cared for and maintained. Our room was on the compact side and the suitcases easily got in the way. But the room itself was very good and the bed super-comfortable. One small problem was that the bathroom was up an unguarded…",La_Maison_Arabe,Marrakech
 October 2022,5,Excellent!,"We travel a lot, with kids (7&12), and never comprise on quality. We were not dissapointed here :-) Very kind and helpfull hotel team. Good location just 5 min walk to the center of the Medina. Good breakfast and dinner. Loverly with a cool pool. And dont forget to spend an afternoon in the hotels garden/pool just 15 minutes drive away.",La_Maison_Arabe,Marrakech
 October 2022,5,Amazing stay at La Maison Arabe,We stayed here for 3 day’s on our first visit to marrakesh. We traveled with our two children 7 and 12 years old and stayed in the royal suite highly recommended. Big thanks to Everyone around at the hotel for giving us an amazing trip. Always ready to help.,La_Maison_Arabe,Marrakech
 October 2022,5,Wonderful Riad,"La Maison Arabe is a wonderful hotel and its location in Marrakech is perfect The management and staff provide the highest quality of service! The rooms are very comfortable and the public spaces are beautifully furnished in Moroccan style. The restaurant garden is a great place to enjoy a delicious meal. We loved the unique, tasty breakfast buffet and the Moroccan dishes at dinner. We loved our stay at the riad. Philip and Ellen Stout",La_Maison_Arabe,Marrakech
 October 2022,5,Calm oasis,"Lovely hotel within the Medina, a tranquil oasis away from the hustle and bustle of Marrakech. Great location for all the sights, all walking distance, and, of course, the souks. Very friendly staff, extremely helpful and attentive. Excellent room, very comfortable bed, plenty of hanging space and lovely bathroom.",La_Maison_Arabe,Marrakech
 October 2022,5,Fabulous!!!!,"Myself and 13 other ladies stayed at La Maison Arabe in October 2022. Everything about this place was fabulous. The cleanliness of the hotel and rooms, the exquisite décor, the beautiful public areas to relax and unwind, fabulous dining and the exceptional service. The staff are polite, friendly and very attentive.",La_Maison_Arabe,Marrakech
 October 2022,5,Absolute gem !,"Could not recommend this hotel more highly. It has history and charm but more importantly it is run by Adil and his passionate team. This team effort and obvious enthusiasm sets it apart from other hotels and riad's in Marrakesh. Close to the media , with excellent Spa and world class cooking school.",La_Maison_Arabe,Marrakech
 October 2022,5,A wonder for all the senses.,"Stepping into La Maison Arabe is like stepping into Aladin's cave, one treasure followed by another. Each room is unique and beautifully decorated and appointed. We were delighted with our private little courtyard for late afternoon cocktails. From our delicious and refreshing welcome drinks (very welcomed) to any and every request being fulfilled, the staff were helpful and gracious. The spa and hammam were huge hits with several of the group booking multiple and repeat treatments. The dinner selection was wonderful and each meal was out of this world delicious. Breakfast had a large selection of almost everything immaginable. The location is a short walk to the medina and very central to the highlights of Marrakech. Word of caution, like many riads in the medina, there…",La_Maison_Arabe,Marrakech
 October 2022,5,An Absolute Gem,"From the minute we were greeted at reception in a most opulent setting, we knew we had chosen a very special place for our 2 nights in Marrakech. Our 2 suites were immaculate, spacious and well appointed with a lovely view of the swimming pool and courtyard. We enjoyed the beautifully presented breakfast buffet situated in the courtyard near the pool. The dining room for dinner was absolutely breathtaking, the service and food was exceptional, including the delicious mango sorbet! This is the only place to stay when you come to Marrakech!",La_Maison_Arabe,Marrakech
 October 2022,5,"Outstanding residing in a historical palace, an architecure-artwork.","La Maison Arabe asked me to write a review about their house. I am happy to comply. To say it's just a historic riad would not do it enough credit. It is truly a venerable architectural work of art right in the centre, close to the souk alleys, a hidden gem. There is also modern technology in the house, the wifi is absolutely stable, flat screen in the room, but if you are looking for minimalist, contemporary furnishings, this is not the place for you. This riad has aged gracefully and wants you to continue to see its age. Nevertheless, everything has been neatly restored. The staff place a very high value on cleanliness. Even under the carpet tables, they are always wiped. Of course, every now and then there can be a small mistake, a little something can be forgotten. But with…",La_Maison_Arabe,Marrakech
 October 2022,5,One of the best,Best service. I am traveling now for nearly 40 years. The service was simply not topable. Thanks for the wonderful experience. I would recommend to take the suite instead gab normal room. The investment is really worth because the jacuzzi and the patio is the perfect way for the pure Marrakech experience,La_Maison_Arabe,Marrakech
 September 2022,5,Stunning restaurant,"Our hotel concierge recommended Le Maison Arabe for dinner and we are glad he did. A short walk from our Riad we managed to get lost, but two local friendly children soon showed us the way! Glad we found it as it was quite simply superb, from start to finish every course was excellent and our first time trying Moroccan wine did not disappoint. Our server was excellent and made our evening very enjoyable, would thoroughly recommend this excellent restaurant.",La_Maison_Arabe,Marrakech
 September 2022,5,What an amazing hotel!,"La Maison Arabe - a beautiful riad with fantastic customer service. From the moment we stepped into the riad we were greeted by the friendly staff and offered a delicious non-alcoholic drink. We were upgraded to a spectacular room with a balcony overlooking the garden, pool and restaurants - such a pleasant surprise! The decor of the hotel is beautiful throughout. The food in the pool-side restaurant was perfect. Unfortunately we ran out of time and did not have an opportunity to experience the other restaurants but if the one we ate in was any indication... The staff were pleasant and very helpful. Thank you everyone at La Maison Arabe for making our stay such a wonderful experience!",La_Maison_Arabe,Marrakech
 September 2022,5,Perfect hotel!,"We absolutely loved our stay at La Maison Arabe. When we first arrived the outside (like most in Morocco) didn't look like much, but step inside and it is absolutely beautiful! The staff without exception were so helpful and friendly. They knew guests by name and went out of their way to help. We used the shuttle bus to visit their country club one day - definitely recommended. It was a beautiful oasis away from the bustle of the city. The restaurant around the pool had a lovely atmosphere and great food. We also enjoyed nightly drinks in the cosy jazz bar. Don't stay anywhere else if you visit Marrakech.",La_Maison_Arabe,Marrakech
 September 2022,5,Couldn't have been better,"We have just returned from a three week stay at La Maison Arabe - of which we cannot speak highly enough. We in turn were recommended it by friends who also appreciated the spotless housekeeping, exceptional food, magical hamman, stunning decor, proximity to places of interest and extremely helpful staff, who suggested ideas to ensure we saw the best of Marrakech. Add to this a courtesy shuttle to take you at your request to the annexed Country Club and you have the recipe for a perfect holiday. Nothing was too much trouble - even when we arrived late at night, they ensured we had something to eat. Thanks for you customer care throughout - it was much appreciated.",La_Maison_Arabe,Marrakech
 September 2022,5,Quality and class from start to finish.,"Fantastic traditional Moroccan riad with the best quality everything and amazing staff througout. Big shout out to Yousef and Hakim on front of house and the fabulous ladies who looked after us so well at the poolside restaurant. The food and wine were top quality, the rooms were spacious and in keeping with the style of the hotel. There were lots of little extra touches to make our stay extra special. Quality and class from start to finish.",La_Maison_Arabe,Marrakech
 September 2022,4,Nice atmosphere and authentic decoration,"La Maison Arabe has a Nice atmosphere and authentic decoration that reflects the richness of the Moroccan culture, it's definitely one of the best addresses in Marrakech Morocco. I highly recommend it.",La_Maison_Arabe,Marrakech
 September 2022,5,Exceptional experience,We had such a memorable stay at La Madison Arabe. The rooms were spacious and clean and the service was best in class. We also enjoyed a romantic poolside dinner where there was live music and the most delicious salmon and lamb. The entire staff was kind and made us feel like we were the only guests at the hotel- paying attention to every detail. I would absolutely recommend this hotel for anyone traveling to Marrakech,La_Maison_Arabe,Marrakech
 September 2022,5,"They put the ""home"" in Maison","We started our two week Moroccan advanture in Merrakesh and at La Maison Arabe. The few nights we stayed at this riad were beautiful. Located at the entrance to the medican, made it quite easy to navigate our sightseeing during the day and return to a pleasant and quiet oasis. The team members were very friendly and accommodating. While I had one of the lower category rooms (since I was the single traveler in our group) the room was still extremely comfortable. The bed was comfortable and the shower pressure was great. The meals we had were wonderful. Breakfast was included in our room and was quite a delicious spread and able to eat outside poolside. The one group dinner we had was wonderful and delicious as well. The gym is very small and limited but I was able to locate a…",La_Maison_Arabe,Marrakech
 August 2022,5,Wonderful stay,"My wife and I stayed at this hotel in the beginning of our trip in Morocco, and should have stayed here at the end of our trip as well. Upon arrival, we not only received an upgrade of our room but also a bottle of wine and large bottle of water was included. Our room was large with good lighting and plenty of outlets for charging devices. Everything about this riad was excellent. The staff was very friendly and helpful. The buffet breakfast was beyond excellent. Although not included in the price, we ate dinner at their restaurant every night because the food was phenomenal. In addition to the various tagine's (which everyplace in Morocco has) the dinner menu included other dishes, Despite the fact we didn't use it, the La Maison Arabe also had a hammam, thereby…",La_Maison_Arabe,Marrakech
 September 2022,5,An amazing hotel staffed by amazing people,A hotel where you are treated as family and the staff each have a unique personality that adds to the effortless service they provide you. Adil and his team work tirelessly to make sure you have the best possible experience while staying in Marrakech. The food in the two restaurants in the hotel have an almost Michelin feel and presentation - if you come to this amazing city you must make this hotel central to your visit,La_Maison_Arabe,Marrakech
 September 2022,5,"Designer, Artist, Retreat Leader","LA Maison Arabe was the perfect location. It is located centrally to get to all the souks, really great restaurants and other activities. A charming boutique Riad with all the amenities to fully luxuriate and enjoy the magic of Morocco. The staff was top notch and very attentive. I especially enjoyed the daily breakfast of fresh farm to table foods.",La_Maison_Arabe,Marrakech
 September 2022,5,Beautiful hotel and exceptional service,"La Maison Arabe and their staff were absolutely wonderful. They made you feel welcome and were genuinely happy to see you. The service they provided was top notch, every room was full of intricate beauty and no details were overlooked. From the guest rooms, common areas, restaurants, cooking classes, spa, etc. everything at La Maison Arabe was 10/10.",La_Maison_Arabe,Marrakech
 August 2022,5,Gorgeous,This is a beautiful Riad that is located very close to the Medina and Square. The building is gorgeous and the rooms are wonderful. The beds are extremely comfortable as well. The food in the restaurants is delicious. I had the opportunity to take advantage of the spa with a Hammam treatment and a massage. Both were wonderful and I would absolutely recommend. I also had the opportunity to take the 3 hour cooking class offered with 5 friends. It was awesome and I would recommend this as well. The chef and translator were both delightful. Overall an amazing experience !,La_Maison_Arabe,Marrakech
 August 2022,5,One of the best vacations I've had,"I was traveling in Europe for weeks, I finally had a relaxing vacation in Marrakesh, thanks to La Maison Arabe. I picked this wonderful piece of paradise to stay at since it had everything - a riad that we got to explore, a hammam where we got a royal treatment in, a world-class cooking school where we learned to make traditional Morrocan dishes, two pools to lounge at, a sumptuous restaurant that served French, Morrocan and Asian dishes, and best of all, the friendliest, most helpful and delightful staff. We stayed at multiple 5-star hotels throughout our journey and this staff is the best yet. They arranged our tours for us to share their food, to teach us their rich culture and to take instagram photos. They went out of their way to make sure that my cousin and I had…",La_Maison_Arabe,Marrakech
