 March 2020,5,Exceptional!,There are some places that you simply fall in love with and this was one such place!! The kasbah is also a museum with one of the most funny and informative guide (Rida) who spoke 5 languages fluently! The restaurant in the hotel is exceptional and so is the accomodation. Incredible experience and a rare find. Definitely stop here .. off the beaten tourist path on you way to the sahara,hotelName,city
 March 2016,4,"A unique, memorable kasbah experience!","How often does one get to experience a real kasbah in the middle of an oasis! There were so many wonderful things about our stay here. - Early morning walk through the oasis - A tour of the famous and beautifully preserved Kasbah Amridil - Spectacular views of the sunset from the ramparts of the kasbah - Our charming, entertaining host Reda and long conversation with him about Moroccan culture, how he met his wife, his marriage, his dreams and aspirations - YUM dinner (especially the turkey kebabs were mouth watering) cooked by his lovely wife - fun playing with his cute daughter Note: The rooms are simple and small but the ambience is so genuine and unique and warm that one is willing to forgo some of the comforts that one can expect in a standard hotel.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 December 2015,5,A stand out property,"It is a rare combination of simplicity and elegance and one of the 2 very nice kasbahs where you can stay that we encountered on our recent tour - the other is Kasbah des Caids at Tamnougalt. Reda has a sense of charm and humour and looks after his quests well. The Kasbah tour is more than recommended and combines the attributes of the Kasbah and Reda's infectious enthusiasm rather well. Food is very good. You can have it in the hall or courtyard downstairs or in the terrace upstairs. I took two walks in the oasis. One early, crispy winter morning walk into the village and oasis behind the kasbah to listen to the village waking up. And a late morning walk across the dry river bed onto the oasis on the opposite bank. Both are recommended - you probably don't need a guide if…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 October 2015,5,Great and Unique place in the middle of a peaceful Oasis !,"This place was recommended by a friend of mind who visited Morocco three years ago. I truly enjoyed this peaceful place in a beautiful Oasis. The owner is a young Moroccan, Reda, who is the very proud owner of this historical hotel. The 16th century Kasbah is still owned by the same family, Reda's family. Reda is a courteous host, who surprisingly speaks Spanish as well. I was surprised when he addressed me in well spoken Spanish. He is speaks fluent English as well. When I arrived at the Kasbah, mid afternoon, I was asked if I was going to eat dinner and to chose from the menu. I found this a bit strange, but later on I realized that dinner is cooked from scratch by Reda's wife. I would advise to eat an early lunch, because the servings are plentiful. My dinner included…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 June 2015,5,Wonderful Kasbah hotel and manager,"This was hotel was a random find for us- and how lucky we were. The host, Reda, was so nice and pleasant. The food cooked for us in the evening was one of our best meals in Morocco. The room was clean and had good AC. It was so quiet and peaceful.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 May 2015,5,Perfect and simple place for the tired traveller,"We stayed here for one night coming from the desert and on our way to the Dadés area. The place is very easy to find, a sign will direct you left off the main road before Skoura. The atmosphere is relaxed, safe parking in front of the hotel, and basically you sleep almost inside of the kashab itself, so it is a special experience. The room was simple and clean. The bathroom is extremely small, as others before me have already mentioned and warm water is only available in the evening. Other than this, we had a friendly welcome and a quiet night here. Breakfast was one of the bests we had in Morocco: everything fresh, plenty for two, served with a smile on the face, accompanied by funny (and positive) remarks. Wi-fi is available, it works both in the room and on the terrace, but…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 April 2015,5,"Once upon a time in a land far, far away...","By now you’ve probably read all the awesome reviews of Kasbah Ameridil, and its charismatic host Reda – all of which are true. And if you’re reading this then you’re thinking of staying here – which is something I can wholeheartedly recommend. I won’t go into details of the Kasbah tour – it is great, and you can’t really do anything like it elsewhere, so you should definitely come here and do that with Reda (just email or call him the day before to arrange it). And, unless you're enroute to somewhere else, you should really consider staying here to just decompress, soak up the atmosphere, and enjoy the environment. The Kasbah is located inside the Skoura Oasis across a wide dry riverbed, and is completely isolated from Skoura town proper. The only other people you’re likely to…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 April 2015,3,Pluses and minuses,"The staff is very friendly, the room was clean but spartan, and the bathroom small and cramped. The proximity to the Kasbah is great, but be aware that there are two separate charges to tour the whole facility. We went for a nice walk around the oasis. The food was just adequate (and may--or may not--have been the source of a bacterial illness). We would explore other options before recommending.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 March 2015,5,lovley place,"nice place. funny friendly owner, speaks 4 languages, propper food und silence. loudest noise was the birds in the morning. a rack in the room would be a possible improvment. even werth to mention is the view from the terasse over the snow covered mountains. we had 4 nice days here and can recommend it.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 November 2014,5,Best stay in Morocco,"We stayed in this Kasbah on our way to Sahara Desert. It was an amazing stay. The fact we staying in a 300 year old kasbah was an amazing experience, the couple who owns the place were friendly and helpful. The wife cooks amazing Moroccan meal and even showed us around the kitchen area and explain to us what the concept of tagine is like. We were the only couple that night at the kasbah, it felt amazing. We loved our stay there and will definitely recommend people to stay here!",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 December 2013,5,Original kasbah in Scoura.,"I spent one night in thiis charming Kasbah, and I shall returne. It is an old Kasbah restored and now is a hotel kasbah. Very helpful personal, and very delicious diner. I regret I could spend more time there, but I shall pey another visit. I do recommand it to everyone.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 May 2014,5,You must not miss this place,"Unreal! Fantastic hosts, great food, a real Kasbah. Walking around the roads in nearby you get such a sense of what this place has been for hundreds of years. Really, it is quite untouched. The new guest house part of the kasbah is literally attached to the ancient kasbah, and you can walk the grounds - a guided tour is recommended, very entertaining! If you've ever seen the movie ""Hanna"" many scenes are filmed in this old kasbah. This was one of the highlights of our trip! Thank you Mr. Reda and company!",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 May 2014,5,One of the highlights of our trip!!,"My husband, two children, mother and father in law toured the historic Kasbah and stayed overnight in the attached modernized section of the Kasbah. It is truly magical. We stayed in a room up in one of the turrets of the Kasbah and ate dinner in the main courtyard. The dinner was delicious and was delightfully and humorously serviced by Reda. Reda who manages the property, hosted during our stay. It was such a pleasure to talk with Reda and meet his beautiful family. We had a tour of the historical section of the Kasbah that was informative and engaging. Our family would highly recommend this place to all travellers.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 April 2014,5,True Kasbah,"We discovered the Kasbah Amridil by chance. As we were dryving through the region, we were frustrated by the lack of information on how to find an appropriate place to spend the night and where to have supper. We found both by knoking on the doors of this enchnating building well after the sun had set. We were tired and frustrated but the warm reception we received by the inn keaper changed our moods instantly. after receiving a wonderful Moroccan homemade meal we chnaged oue travel plans for the next day to explore the historic Kasbah, a building tha figures in many well known movies. Also, the inn keaper guided us in exploring thr immediate region and transformed our frustrations of the evening befor into a truly memeroble experience. The Kasbah Amridil is a must stay for…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 April 2014,5,"Beautiful, friendly, relaxing, fantastic!","This new Kasbah/Hotel is attached to a fantastic many hundred years old Kasbah Museum that you can visit as well. The hotel is beautiful and very relaxing just to chill in the courtyard. The staff are EXTREMELY friendly and helpful. Good fast wifi, hot water, aircon! Great scenery and views from the hotel rooms",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 March 2014,5,"Stay here, and for more than one night!","What a remarkable place! I echo the other reviewers who wished they had stayed longer than one night. It truly has the feel of being in an ancient place, with the enclosed garden, the semi-ruin of the great kasbah with which the riad shares a wall and the garden of the old kasbah, with cats lounging in the sun under a trellis of grape vines, and outside the high walls the palmeraie with its olive groves and date palms and dozens of old kasbahs and village lanes to the west, and to the east the desert... food is excellent, you can sit at separate tables but we joined with another couple from Italy at our table and had a blast telling stories. Thank you, Reda and Amina, for your hospitality and warmth, and thank you to the guides who led us through the old kasbah museum for your…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 March 2014,5,A really special Kasbah,"Kasbah Amridil is an incredible place, built in the traditional mud and straw style (in keeping with the old Kasbah next door) it is also comfortable and modern where it matters. Reda was extremely welcoming, and gave us local dates with Moroccan tea when we arrived, and a delicious evening tagine. Located down a side road just outside Skoura, Kasbah Amridil is well signposted and easy to find even though we arrived as it was going dark (just head for the massive old Kasbah). Reda gave us a fascinating tour of the old Kasbah the next day, full of enthusiasm and knowledge of the old ways of life. The surrounding oasis is worth exploring too.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 November 2013,5,"Excellent Kasbah, you must stop here","This Kasbah is the real thing! We stooped here for one night when traveling across the mountains from the desert to Marrakesh and wished we had stayed for several more nights. It is a traditional mud and straw building with all mod cons in the hotel part, There is an archway to the older Kasbah that has been partly restored and guided tours are provided by the local family its well worth the stay just for this! The hotel is nestled within a large palm oasis (25Km) of which you can spend days exploring, the hotel can provide guides, maps, bikes, whatever you need. The staff are very friendly and are keen to tell you as much as you like about the history, architecture, or culture of the area. The food is excellent, very fresh and prepared exactly as you would like.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 October 2013,5,BEST KASBAH IN MOROCCO,"Kasbah Amridil was just the best place we stayed in Morocco. The food was out of this world, cooked with Love by Redas beautiful wife, Amina. The bed was very comfortable and the room quiet and cool. The Shower was great also. Rada was the perfect host and always took time to show us round the Old Kasbah,( An amazing place to visit) tell us stories about his ancestors and make maps for us to go biking. The biking was one of our greatest adventures The panoramic view of the Oasis and mountains was stunning. Just riding through the date palms and olives sprinkled with green alfalfa was a joy on a sunny day.Skoura is the best place to relax!!Thankyou Rada and Amina for making our trip to Morocco so memorable. We never laughed so much. It was such fun and the dates were to die…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 April 2013,5,Best place by far in Marocco,"We were traveling 300 km across Marocco by bikes last month and,by chance we discovered this piece of Heaven.Our host was reda a perfect gentleman and a very nice person,who made our stay even more delightful .The old palace is attached to the new mansion,but is hard to tell which is which and the whole site lies on a river shore,sorounded by beatufull palm trees ,like an oasis from 1001 Nights fair tale .Everything,from accommodation to service and food is just perfect.If I were to come again to Marocco,for sure this place would be the main reason.Thank you Reda!",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 April 2013,5,very nice place,"i can only recommend this place. the room was very clean and the staff is sooo friendly. nice athmosphere and it is next to a nice landscape, exellent for walking and famous historic site. the food was good, allways enough. also good for vegetarians.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 March 2013,5,Friendliest stay in Morocco,"I spent two nights at Kasbah Amridil with my parent. We were welcomed by Reda and from then until the end of our stay we thoroughly enjoyed his friendliness and hospitality. The meals that were included in the half board were delicious and served at our leisure. Our rooms had both heat and air conditioning with a remote and hot showers and there were really great common areas to hang out in. Reda gave us a map for a 2-3 hour hike through the palmeries and past crumbling kasbahs that we split up with a lunch break in the middle. The hotel was a good base for us to do a day trip to the Dades Gorge (we had a rental vehicle). Our stay at Amridil was one of the highlights of our trip,",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 February 2013,5,Terrific kasbah stay,"Spent 2 wonderful nights at this traditional hotel that is actually attached to the Kasbah Amridil, the area's top architectural attraction. The number one attraction are the beautiful palm groves that surround it for miles around. Reda was as friendly and helpful as any hotel manager we've met - giving us information on the area, describing a hike and arranging transportation. The rooms are small but nice and have individual heaters, there is wifi on the bottom level and the food was great. It is about 2 kilometres outside of Skoura - easy by car, or a 30dr ride in a tri-moto. Highly recommended.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 December 2012,5,Excellent hotel next to original kasbah,"We visited the kasbah, very authentic. The hotel staff were very friendly and went out of their way to accommodate us. Pleasant walking area through fields and homes nearby. The people living nearby were also very friendly and we felt very safe.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 October 2012,5,Friendly welcome,"I stayed here a couple of weeks ago. I arrived late in Skoura without having booked a hotel, but a local shopkeeper knew the owner of Espace Kasbah Amridil, who sent a guy on a moped to pick me up. The manager, Reda, gave a very friendly welcome and supplied good home-cooked food. You can hire bikes to visit the palmeraie or simply take a walk; the manager can supply a simple map with a good 2 hour route, recommended. The palmeraie is beautiful, particularly if you walk or bike to a place with a good view. Overall, I highly recommend this place: very friendly welcome, calm and quiet, right next door to the historic monument, good food and good value.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 August 2009,4,Friendly Maison d'Hotes in impressive old Kasbah,"Espace Kasbah Amridil, in the Skoura oasis, is housed in what is actually a new extension to one of the oldest and largest kasbahs in Morocco (and one of the most well know, since it featured on the old 50 dirham note and on the carton of a large brand of orange juice). This means you are more or less spending the night in a monument of national importance. The rooms are not very exceptional (and a bit dusty - but this is unavoidable with mud brick architecture, I suppose), but this is overshadowed by the fact that your sleeping in an impressive fortified house, with a view over the oasis. The Maison d'Hotes is run by a very friendly and helpful young manager, who also acts as a guide to the historic parts of the kasbah, and serves lovely home cooked food.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
